context: That's mean, Kacchan. response:	Can't you see he's crying?
context: Someone!\Catch me if you can!\Huh? There's no hero around.\Normally someone would come right away.\This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks.\There's no end to them.\There is an end. response:	Why?
context: Catch me if you can!\Huh? There's no hero around.\Normally someone would come right away.\This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks.\There's no end to them.\There is an end.\Why? response:	Because I am here!
context: Huh? There's no hero around.\Normally someone would come right away.\This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks.\There's no end to them.\There is an end.\Why?\Because I am here! response:	Hey, let's go to karaoke!
context: Normally someone would come right away.\This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks.\There's no end to them.\There is an end.\Why?\Because I am here!\Hey, let's go to karaoke! response:	Sure, nothing better to do.
context: This guy's taking advantage of the chaos from this morning.\There are tons of people around who don't know what to do with their Quirks.\There's no end to them.\There is an end.\Why?\Because I am here!\Hey, let's go to karaoke!\Sure, nothing better to do. response:	The incident this morning is all over the headlines!
context: There are tons of people around who don't know what to do with their Quirks.\There's no end to them.\There is an end.\Why?\Because I am here!\Hey, let's go to karaoke!\Sure, nothing better to do.\The incident this morning is all over the headlines! response:	I wanna hurry up and go home so I can write it down in my notebook.
context: There's no end to them.\There is an end.\Why?\Because I am here!\Hey, let's go to karaoke!\Sure, nothing better to do.\The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook. response:	We're not done talking yet, Deku.
context: There is an end.\Why?\Because I am here!\Hey, let's go to karaoke!\Sure, nothing better to do.\The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku. response:	Katsuki, what's that?
context: Why?\Because I am here!\Hey, let's go to karaoke!\Sure, nothing better to do.\The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku.\Katsuki, what's that? response:	Huh?
context: Because I am here!\Hey, let's go to karaoke!\Sure, nothing better to do.\The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku.\Katsuki, what's that?\Huh? response:	Hero Analysis for the Future?
context: Hey, let's go to karaoke!\Sure, nothing better to do.\The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku.\Katsuki, what's that?\Huh?\Hero Analysis for the Future? response:	Seriously?
context: Sure, nothing better to do.\The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku.\Katsuki, what's that?\Huh?\Hero Analysis for the Future?\Seriously? response:	Midoriya...
context: The incident this morning is all over the headlines!\I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku.\Katsuki, what's that?\Huh?\Hero Analysis for the Future?\Seriously?\Midoriya... response:	I-It's fine, isn't it? Give it back!
context: I wanna hurry up and go home so I can write it down in my notebook.\We're not done talking yet, Deku.\Katsuki, what's that?\Huh?\Hero Analysis for the Future?\Seriously?\Midoriya...\I-It's fine, isn't it? Give it back! response:	That's mean...
context: We're not done talking yet, Deku.\Katsuki, what's that?\Huh?\Hero Analysis for the Future?\Seriously?\Midoriya...\I-It's fine, isn't it? Give it back!\That's mean... response:	What?!
context: Katsuki, what's that?\Huh?\Hero Analysis for the Future?\Seriously?\Midoriya...\I-It's fine, isn't it? Give it back!\That's mean...\What?! response:	Most top first-string heroes have stories about them from their school days.
context: Huh?\Hero Analysis for the Future?\Seriously?\Midoriya...\I-It's fine, isn't it? Give it back!\That's mean...\What?!\Most top first-string heroes have stories about them from their school days. response:	I want the shine of being able to be called the only student to make it into U.A.
context: Hero Analysis for the Future?\Seriously?\Midoriya...\I-It's fine, isn't it? Give it back!\That's mean...\What?!\Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A. response:	from this mediocre city junior high school.
context: Seriously?\Midoriya...\I-It's fine, isn't it? Give it back!\That's mean...\What?!\Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school. response:	I mean, I'm a perfectionist.
context: Midoriya...\I-It's fine, isn't it? Give it back!\That's mean...\What?!\Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school.\I mean, I'm a perfectionist. response:	He's so petty.
context: I-It's fine, isn't it? Give it back!\That's mean...\What?!\Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school.\I mean, I'm a perfectionist.\He's so petty. response:	So anyway...
context: That's mean...\What?!\Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school.\I mean, I'm a perfectionist.\He's so petty.\So anyway... response:	Come on, you could at least say something back.
context: What?!\Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school.\I mean, I'm a perfectionist.\He's so petty.\So anyway...\Come on, you could at least say something back. response:	Don't say that.
context: Most top first-string heroes have stories about them from their school days.\I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school.\I mean, I'm a perfectionist.\He's so petty.\So anyway...\Come on, you could at least say something back.\Don't say that. response:	He's pathetic.
context: I want the shine of being able to be called the only student to make it into U.A.\from this mediocre city junior high school.\I mean, I'm a perfectionist.\He's so petty.\So anyway...\Come on, you could at least say something back.\Don't say that.\He's pathetic. response:	He still can't face reality.
context: from this mediocre city junior high school.\I mean, I'm a perfectionist.\He's so petty.\So anyway...\Come on, you could at least say something back.\Don't say that.\He's pathetic.\He still can't face reality. response:	If you wanna be a hero that badly, there's a quick way to do it.
context: I mean, I'm a perfectionist.\He's so petty.\So anyway...\Come on, you could at least say something back.\Don't say that.\He's pathetic.\He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it. response:	Believe that you'll be born with a Quirk in your next life
context: He's so petty.\So anyway...\Come on, you could at least say something back.\Don't say that.\He's pathetic.\He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life response:	and take a last chance dive off the roof!
context: So anyway...\Come on, you could at least say something back.\Don't say that.\He's pathetic.\He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof! response:	What?
context: Come on, you could at least say something back.\Don't say that.\He's pathetic.\He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof!\What? response:	Idiot!
context: Don't say that.\He's pathetic.\He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof!\What?\Idiot! response:	If I really jumped, that would mean you instigated a suicide!
context: He's pathetic.\He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof!\What?\Idiot!\If I really jumped, that would mean you instigated a suicide! response:	Think before you speak!
context: He still can't face reality.\If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof!\What?\Idiot!\If I really jumped, that would mean you instigated a suicide!\Think before you speak! response:	That's not fish food, stupid.
context: If you wanna be a hero that badly, there's a quick way to do it.\Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof!\What?\Idiot!\If I really jumped, that would mean you instigated a suicide!\Think before you speak!\That's not fish food, stupid. response:	That's my notebook...
context: Believe that you'll be born with a Quirk in your next life\and take a last chance dive off the roof!\What?\Idiot!\If I really jumped, that would mean you instigated a suicide!\Think before you speak!\That's not fish food, stupid.\That's my notebook... response:	Stupid...
context: and take a last chance dive off the roof!\What?\Idiot!\If I really jumped, that would mean you instigated a suicide!\Think before you speak!\That's not fish food, stupid.\That's my notebook...\Stupid... response:	Stupid bastard...
context: What?\Idiot!\If I really jumped, that would mean you instigated a suicide!\Think before you speak!\That's not fish food, stupid.\That's my notebook...\Stupid...\Stupid bastard... response:	Mom!
context: Idiot!\If I really jumped, that would mean you instigated a suicide!\Think before you speak!\That's not fish food, stupid.\That's my notebook...\Stupid...\Stupid bastard...\Mom! response:	Mom, the computer!
context: If I really jumped, that would mean you instigated a suicide!\Think before you speak!\That's not fish food, stupid.\That's my notebook...\Stupid...\Stupid bastard...\Mom!\Mom, the computer! response:	Again?
context: Think before you speak!\That's not fish food, stupid.\That's my notebook...\Stupid...\Stupid bastard...\Mom!\Mom, the computer!\Again? response:	Hurry!
context: That's not fish food, stupid.\That's my notebook...\Stupid...\Stupid bastard...\Mom!\Mom, the computer!\Again?\Hurry! response:	Jeez, you have probably added ten thousand views just by yourself, Izuku.
context: That's my notebook...\Stupid...\Stupid bastard...\Mom!\Mom, the computer!\Again?\Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku. response:	It's too scary for me. I can't watch it.
context: Stupid...\Stupid bastard...\Mom!\Mom, the computer!\Again?\Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it. response:	That was an old video.
context: Stupid bastard...\Mom!\Mom, the computer!\Again?\Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it.\That was an old video. response:	A disaster that happened a long time ago.
context: Mom!\Mom, the computer!\Again?\Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it.\That was an old video.\A disaster that happened a long time ago. response:	The video of a hero that debuted right after that.
context: Mom, the computer!\Again?\Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it.\That was an old video.\A disaster that happened a long time ago.\The video of a hero that debuted right after that. response:	Can you see that? He's already saved a hundred people!
context: Again?\Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it.\That was an old video.\A disaster that happened a long time ago.\The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people! response:	That's crazy! It hasn't even been ten minutes!
context: Hurry!\Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it.\That was an old video.\A disaster that happened a long time ago.\The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes! response:	That's crazy!
context: Jeez, you have probably added ten thousand views just by yourself, Izuku.\It's too scary for me. I can't watch it.\That was an old video.\A disaster that happened a long time ago.\The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy! response:	He's laughing!
context: It's too scary for me. I can't watch it.\That was an old video.\A disaster that happened a long time ago.\The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing! response:	It's fine now.
context: That was an old video.\A disaster that happened a long time ago.\The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now. response:	Why?
context: A disaster that happened a long time ago.\The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why? response:	Because I am here.
context: The video of a hero that debuted right after that.\Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here. response:	He's so cool!
context: Can you see that? He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here.\He's so cool! response:	Once I get my Quirk, I wanna be like him, too!
context: That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too! response:	You should probably give it up.
context: That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\You should probably give it up. response:	That's...
context: He's laughing!\It's fine now.\Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\You should probably give it up.\That's... response:	Is something wrong with him after all?
context: It's fine now.\Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\You should probably give it up.\That's...\Is something wrong with him after all? response:	Most of the other kindergarteners' Quirks have already manifested...
context: Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\You should probably give it up.\That's...\Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested... response:	He's the only one...
context: Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too!\You should probably give it up.\That's...\Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested...\He's the only one... response:	Excuse me, but you're fourth generation, right, ma'am?
context: He's so cool!\Once I get my Quirk, I wanna be like him, too!\You should probably give it up.\That's...\Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested...\He's the only one...\Excuse me, but you're fourth generation, right, ma'am? response:	May I ask about your Quirk?
context: Once I get my Quirk, I wanna be like him, too!\You should probably give it up.\That's...\Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested...\He's the only one...\Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk? response:	Yes, of course.
context: You should probably give it up.\That's...\Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested...\He's the only one...\Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk?\Yes, of course. response:	I can pull small objects to me.
context: That's...\Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested...\He's the only one...\Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk?\Yes, of course.\I can pull small objects to me. response:	My husband can breathe fire.
context: Is something wrong with him after all?\Most of the other kindergarteners' Quirks have already manifested...\He's the only one...\Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk?\Yes, of course.\I can pull small objects to me.\My husband can breathe fire. response:	Normally, by age four, he would have manifested one of those Quirks,
context: Most of the other kindergarteners' Quirks have already manifested...\He's the only one...\Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk?\Yes, of course.\I can pull small objects to me.\My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks, response:	or some combination of the two.
context: He's the only one...\Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk?\Yes, of course.\I can pull small objects to me.\My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two. response:	In the past, when the superpowers first started showing up, the results of an early research study were published.
context: Excuse me, but you're fourth generation, right, ma'am?\May I ask about your Quirk?\Yes, of course.\I can pull small objects to me.\My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published. response:	It became common practice to see if the pinky toe was missing a joint or not.
context: May I ask about your Quirk?\Yes, of course.\I can pull small objects to me.\My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not. response:	When parts of the body aren't used, they're deemed unnecessary.
context: Yes, of course.\I can pull small objects to me.\My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary. response:	People who didn't have the joint were thought to be a newly evolved form.
context: I can pull small objects to me.\My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form. response:	You can see by looking at this x-ray
context: My husband can breathe fire.\Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray response:	that Izuku has two joints.
context: Normally, by age four, he would have manifested one of those Quirks,\or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray\that Izuku has two joints. response:	It's unusual to see that these days,
context: or some combination of the two.\In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray\that Izuku has two joints.\It's unusual to see that these days, response:	but that means he has no Quirk.
context: In the past, when the superpowers first started showing up, the results of an early research study were published.\It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray\that Izuku has two joints.\It's unusual to see that these days,\but that means he has no Quirk. response:	Can you see that?
context: It became common practice to see if the pinky toe was missing a joint or not.\When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray\that Izuku has two joints.\It's unusual to see that these days,\but that means he has no Quirk.\Can you see that? response:	He's already saved a hundred people!
context: When parts of the body aren't used, they're deemed unnecessary.\People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray\that Izuku has two joints.\It's unusual to see that these days,\but that means he has no Quirk.\Can you see that?\He's already saved a hundred people! response:	That's crazy! It hasn't even been ten minutes!
context: People who didn't have the joint were thought to be a newly evolved form.\You can see by looking at this x-ray\that Izuku has two joints.\It's unusual to see that these days,\but that means he has no Quirk.\Can you see that?\He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes! response:	That's crazy!
context: You can see by looking at this x-ray\that Izuku has two joints.\It's unusual to see that these days,\but that means he has no Quirk.\Can you see that?\He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy! response:	He's laughing!
context: that Izuku has two joints.\It's unusual to see that these days,\but that means he has no Quirk.\Can you see that?\He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing! response:	It's fine now.
context: It's unusual to see that these days,\but that means he has no Quirk.\Can you see that?\He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now. response:	Why?
context: but that means he has no Quirk.\Can you see that?\He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why? response:	Because I am here.
context: Can you see that?\He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here. response:	Mom...
context: He's already saved a hundred people!\That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here.\Mom... response:	He saves everyone with a smile, no matter what trouble they're in...
context: That's crazy! It hasn't even been ten minutes!\That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here.\Mom...\He saves everyone with a smile, no matter what trouble they're in... response:	He's such a cool hero...
context: That's crazy!\He's laughing!\It's fine now.\Why?\Because I am here.\Mom...\He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero... response:	Can I... be a hero, too?
context: He's laughing!\It's fine now.\Why?\Because I am here.\Mom...\He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero...\Can I... be a hero, too? response:	I'm sorry, Izuku!
context: It's fine now.\Why?\Because I am here.\Mom...\He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero...\Can I... be a hero, too?\I'm sorry, Izuku! response:	I'm sorry. I'm sorry!
context: Why?\Because I am here.\Mom...\He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero...\Can I... be a hero, too?\I'm sorry, Izuku!\I'm sorry. I'm sorry! response:	No, that's not it.
context: Because I am here.\Mom...\He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero...\Can I... be a hero, too?\I'm sorry, Izuku!\I'm sorry. I'm sorry!\No, that's not it. response:	That's not it, Mom.
context: Mom...\He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero...\Can I... be a hero, too?\I'm sorry, Izuku!\I'm sorry. I'm sorry!\No, that's not it.\That's not it, Mom. response:	What I wanted you to say back then was...
context: He saves everyone with a smile, no matter what trouble they're in...\He's such a cool hero...\Can I... be a hero, too?\I'm sorry, Izuku!\I'm sorry. I'm sorry!\No, that's not it.\That's not it, Mom.\What I wanted you to say back then was... response:	You decided back then, didn't you?
context: He's such a cool hero...\Can I... be a hero, too?\I'm sorry, Izuku!\I'm sorry. I'm sorry!\No, that's not it.\That's not it, Mom.\What I wanted you to say back then was...\You decided back then, didn't you? response:	That's right.
context: Can I... be a hero, too?\I'm sorry, Izuku!\I'm sorry. I'm sorry!\No, that's not it.\That's not it, Mom.\What I wanted you to say back then was...\You decided back then, didn't you?\That's right. response:	Don't worry about what other people think!
context: I'm sorry, Izuku!\I'm sorry. I'm sorry!\No, that's not it.\That's not it, Mom.\What I wanted you to say back then was...\You decided back then, didn't you?\That's right.\Don't worry about what other people think! response:	Hold your head up high and plunge forward!
context: I'm sorry. I'm sorry!\No, that's not it.\That's not it, Mom.\What I wanted you to say back then was...\You decided back then, didn't you?\That's right.\Don't worry about what other people think!\Hold your head up high and plunge forward! response:	A villain?!
context: No, that's not it.\That's not it, Mom.\What I wanted you to say back then was...\You decided back then, didn't you?\That's right.\Don't worry about what other people think!\Hold your head up high and plunge forward!\A villain?! response:	A medium-sized invisibility cloak...
context: That's not it, Mom.\What I wanted you to say back then was...\You decided back then, didn't you?\That's right.\Don't worry about what other people think!\Hold your head up high and plunge forward!\A villain?!\A medium-sized invisibility cloak... response:	Don't worry.
context: What I wanted you to say back then was...\You decided back then, didn't you?\That's right.\Don't worry about what other people think!\Hold your head up high and plunge forward!\A villain?!\A medium-sized invisibility cloak...\Don't worry. response:	I'm just going to take over your body.
context: You decided back then, didn't you?\That's right.\Don't worry about what other people think!\Hold your head up high and plunge forward!\A villain?!\A medium-sized invisibility cloak...\Don't worry.\I'm just going to take over your body. response:	Calm down.
context: That's right.\Don't worry about what other people think!\Hold your head up high and plunge forward!\A villain?!\A medium-sized invisibility cloak...\Don't worry.\I'm just going to take over your body.\Calm down. response:	It'll only hurt for about 45 seconds.
context: Don't worry about what other people think!\Hold your head up high and plunge forward!\A villain?!\A medium-sized invisibility cloak...\Don't worry.\I'm just going to take over your body.\Calm down.\It'll only hurt for about 45 seconds. response:	You'll feel better soon.
context: Hold your head up high and plunge forward!\A villain?!\A medium-sized invisibility cloak...\Don't worry.\I'm just going to take over your body.\Calm down.\It'll only hurt for about 45 seconds.\You'll feel better soon. response:	I can't... breathe...
context: A villain?!\A medium-sized invisibility cloak...\Don't worry.\I'm just going to take over your body.\Calm down.\It'll only hurt for about 45 seconds.\You'll feel better soon.\I can't... breathe... response:	You can't grab me. I'm fluid!
context: A medium-sized invisibility cloak...\Don't worry.\I'm just going to take over your body.\Calm down.\It'll only hurt for about 45 seconds.\You'll feel better soon.\I can't... breathe...\You can't grab me. I'm fluid! response:	Thanks for your help.
context: Don't worry.\I'm just going to take over your body.\Calm down.\It'll only hurt for about 45 seconds.\You'll feel better soon.\I can't... breathe...\You can't grab me. I'm fluid!\Thanks for your help. response:	You're my hero.
context: I'm just going to take over your body.\Calm down.\It'll only hurt for about 45 seconds.\You'll feel better soon.\I can't... breathe...\You can't grab me. I'm fluid!\Thanks for your help.\You're my hero. response:	I didn't think that had come to this city.
context: Calm down.\It'll only hurt for about 45 seconds.\You'll feel better soon.\I can't... breathe...\You can't grab me. I'm fluid!\Thanks for your help.\You're my hero.\I didn't think that had come to this city. response:	My body...
context: It'll only hurt for about 45 seconds.\You'll feel better soon.\I can't... breathe...\You can't grab me. I'm fluid!\Thanks for your help.\You're my hero.\I didn't think that had come to this city.\My body... response:	There's no strength...
context: You'll feel better soon.\I can't... breathe...\You can't grab me. I'm fluid!\Thanks for your help.\You're my hero.\I didn't think that had come to this city.\My body...\There's no strength... response:	I'm dying... Am I dying?
context: I can't... breathe...\You can't grab me. I'm fluid!\Thanks for your help.\You're my hero.\I didn't think that had come to this city.\My body...\There's no strength...\I'm dying... Am I dying? response:	I'm dying...
context: You can't grab me. I'm fluid!\Thanks for your help.\You're my hero.\I didn't think that had come to this city.\My body...\There's no strength...\I'm dying... Am I dying?\I'm dying... response:	Somebody... Somebody...!
context: Thanks for your help.\You're my hero.\I didn't think that had come to this city.\My body...\There's no strength...\I'm dying... Am I dying?\I'm dying...\Somebody... Somebody...! response:	No...!
context: You're my hero.\I didn't think that had come to this city.\My body...\There's no strength...\I'm dying... Am I dying?\I'm dying...\Somebody... Somebody...!\No...! response:	It's all right now, young man.
context: I didn't think that had come to this city.\My body...\There's no strength...\I'm dying... Am I dying?\I'm dying...\Somebody... Somebody...!\No...!\It's all right now, young man. response:	I am here!
context: My body...\There's no strength...\I'm dying... Am I dying?\I'm dying...\Somebody... Somebody...!\No...!\It's all right now, young man.\I am here! response:	Texas Smash!
context: There's no strength...\I'm dying... Am I dying?\I'm dying...\Somebody... Somebody...!\No...!\It's all right now, young man.\I am here!\Texas Smash! response:	Wind pressure...?!
context: I'm dying... Am I dying?\I'm dying...\Somebody... Somebody...!\No...!\It's all right now, young man.\I am here!\Texas Smash!\Wind pressure...?! response:	All... Migh...
context: I'm dying...\Somebody... Somebody...!\No...!\It's all right now, young man.\I am here!\Texas Smash!\Wind pressure...?!\All... Migh... response:	Hey! Hey! He Oh.
context: Somebody... Somebody...!\No...!\It's all right now, young man.\I am here!\Texas Smash!\Wind pressure...?!\All... Migh...\Hey! Hey! He Oh. response:	Thank goodness!
context: No...!\It's all right now, young man.\I am here!\Texas Smash!\Wind pressure...?!\All... Migh...\Hey! Hey! He Oh.\Thank goodness! response:	I'm glad you're okay!
context: It's all right now, young man.\I am here!\Texas Smash!\Wind pressure...?!\All... Migh...\Hey! Hey! He Oh.\Thank goodness!\I'm glad you're okay! response:	Sorry'bout getting you caught up in my villain fighting.
context: I am here!\Texas Smash!\Wind pressure...?!\All... Migh...\Hey! Hey! He Oh.\Thank goodness!\I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting. response:	I don't usually make mistakes like this,
context: Texas Smash!\Wind pressure...?!\All... Migh...\Hey! Hey! He Oh.\Thank goodness!\I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this, response:	but I was in high spirits on my day off in a new place.
context: Wind pressure...?!\All... Migh...\Hey! Hey! He Oh.\Thank goodness!\I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place. response:	But, you were a big help. Thanks!
context: All... Migh...\Hey! Hey! He Oh.\Thank goodness!\I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks! response:	I captured him safely!
context: Hey! Hey! He Oh.\Thank goodness!\I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks!\I captured him safely! response:	The number one hero... All Might...
context: Thank goodness!\I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks!\I captured him safely!\The number one hero... All Might... response:	H-He's the real thing...
context: I'm glad you're okay!\Sorry'bout getting you caught up in my villain fighting.\I don't usually make mistakes like this,\but I was in high spirits on my day off in a new place.\But, you were a big help. Thanks!\I captured him safely!\The number one hero... All Might...\H-He's the real thing... response:	He looks completely different in person!
