context: Wind Selection? response:	Yeah. I got it in a dungeon,
context: It's me! Mike from the House of Kentall.\You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles.\To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you?\My answer won't change.\Does someone already have your heart? response:	Who are you?
context: You've become even more beautiful!\You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles.\To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you?\My answer won't change.\Does someone already have your heart?\Who are you? response:	I've been friends with Emma since we were little.
context: You're as dashing as ever, Lord Mike. You have a way with words, as usual.\Emma is used to dealing with nobles.\To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you?\My answer won't change.\Does someone already have your heart?\Who are you?\I've been friends with Emma since we were little. response:	My name is Noir Stardia. I belong to a baronet family.
context: Emma is used to dealing with nobles.\To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you?\My answer won't change.\Does someone already have your heart?\Who are you?\I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family. response:	Ah, a baronet...
context: To be honest, she seems a bit distant.\Miss Emma... would you reconsider my request to court you?\My answer won't change.\Does someone already have your heart?\Who are you?\I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet... response:	Why don't we have a little competition?
context: Miss Emma... would you reconsider my request to court you?\My answer won't change.\Does someone already have your heart?\Who are you?\I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet...\Why don't we have a little competition? response:	Let's see who can lead Miss Emma better in this dance.
context: My answer won't change.\Does someone already have your heart?\Who are you?\I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet...\Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance. response:	We'll be wagering a date with her.
context: Does someone already have your heart?\Who are you?\I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet...\Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her. response:	Hey, I didn't agree to this!
context: Who are you?\I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet...\Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her.\Hey, I didn't agree to this! response:	I accept.
context: I've been friends with Emma since we were little.\My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet...\Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her.\Hey, I didn't agree to this!\I accept. response:	Huh?!
context: My name is Noir Stardia. I belong to a baronet family.\Ah, a baronet...\Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her.\Hey, I didn't agree to this!\I accept.\Huh?! response:	Then it's settled.
context: Ah, a baronet...\Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her.\Hey, I didn't agree to this!\I accept.\Huh?!\Then it's settled. response:	The applause from the crowd will tell us who the winner is.
context: Why don't we have a little competition?\Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her.\Hey, I didn't agree to this!\I accept.\Huh?!\Then it's settled.\The applause from the crowd will tell us who the winner is. response:	I will be going first.
context: Let's see who can lead Miss Emma better in this dance.\We'll be wagering a date with her.\Hey, I didn't agree to this!\I accept.\Huh?!\Then it's settled.\The applause from the crowd will tell us who the winner is.\I will be going first. response:	N-Noir...
context: We'll be wagering a date with her.\Hey, I didn't agree to this!\I accept.\Huh?!\Then it's settled.\The applause from the crowd will tell us who the winner is.\I will be going first.\N-Noir... response:	It's okay. Don't worry.
context: Hey, I didn't agree to this!\I accept.\Huh?!\Then it's settled.\The applause from the crowd will tell us who the winner is.\I will be going first.\N-Noir...\It's okay. Don't worry. response:	It's not like me to just accept a challenge like that.
context: I accept.\Huh?!\Then it's settled.\The applause from the crowd will tell us who the winner is.\I will be going first.\N-Noir...\It's okay. Don't worry.\It's not like me to just accept a challenge like that. response:	But I couldn't bear to watch
context: Huh?!\Then it's settled.\The applause from the crowd will tell us who the winner is.\I will be going first.\N-Noir...\It's okay. Don't worry.\It's not like me to just accept a challenge like that.\But I couldn't bear to watch response:	Emma enjoying a conversation with someone else.
context: Then it's settled.\The applause from the crowd will tell us who the winner is.\I will be going first.\N-Noir...\It's okay. Don't worry.\It's not like me to just accept a challenge like that.\But I couldn't bear to watch\Emma enjoying a conversation with someone else. response:	You're up next, Noir.
context: The applause from the crowd will tell us who the winner is.\I will be going first.\N-Noir...\It's okay. Don't worry.\It's not like me to just accept a challenge like that.\But I couldn't bear to watch\Emma enjoying a conversation with someone else.\You're up next, Noir. response:	R-Right...
context: I will be going first.\N-Noir...\It's okay. Don't worry.\It's not like me to just accept a challenge like that.\But I couldn't bear to watch\Emma enjoying a conversation with someone else.\You're up next, Noir.\R-Right... response:	I have high hopes for you...
context: N-Noir...\It's okay. Don't worry.\It's not like me to just accept a challenge like that.\But I couldn't bear to watch\Emma enjoying a conversation with someone else.\You're up next, Noir.\R-Right...\I have high hopes for you... response:	Lord Baronet.
context: It's okay. Don't worry.\It's not like me to just accept a challenge like that.\But I couldn't bear to watch\Emma enjoying a conversation with someone else.\You're up next, Noir.\R-Right...\I have high hopes for you...\Lord Baronet. response:	Mike's dance was top-notch... but I have to win.
context: It's not like me to just accept a challenge like that.\But I couldn't bear to watch\Emma enjoying a conversation with someone else.\You're up next, Noir.\R-Right...\I have high hopes for you...\Lord Baronet.\Mike's dance was top-notch... but I have to win. response:	Noir Stardia LP. 5400
context: But I couldn't bear to watch\Emma enjoying a conversation with someone else.\You're up next, Noir.\R-Right...\I have high hopes for you...\Lord Baronet.\Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400 response:	Noir Stardia LP. 5200
context: Emma enjoying a conversation with someone else.\You're up next, Noir.\R-Right...\I have high hopes for you...\Lord Baronet.\Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400\Noir Stardia LP. 5200 response:	Get Creative hhhhh
context: You're up next, Noir.\R-Right...\I have high hopes for you...\Lord Baronet.\Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400\Noir Stardia LP. 5200\Get Creative hhhhh response:	O-Okay...
context: R-Right...\I have high hopes for you...\Lord Baronet.\Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400\Noir Stardia LP. 5200\Get Creative hhhhh\O-Okay... response:	Hi-yah!
context: I have high hopes for you...\Lord Baronet.\Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400\Noir Stardia LP. 5200\Get Creative hhhhh\O-Okay...\Hi-yah! response:	You're too tense, Noir.
context: Lord Baronet.\Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400\Noir Stardia LP. 5200\Get Creative hhhhh\O-Okay...\Hi-yah!\You're too tense, Noir. response:	W-Well, yeah, but...
context: Mike's dance was top-notch... but I have to win.\Noir Stardia LP. 5400\Noir Stardia LP. 5200\Get Creative hhhhh\O-Okay...\Hi-yah!\You're too tense, Noir.\W-Well, yeah, but... response:	We actually get to dance with each other. Let's enjoy it.
context: Noir Stardia LP. 5400\Noir Stardia LP. 5200\Get Creative hhhhh\O-Okay...\Hi-yah!\You're too tense, Noir.\W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it. response:	Emma is right in front of you, Lord Noir.
context: Noir Stardia LP. 5200\Get Creative hhhhh\O-Okay...\Hi-yah!\You're too tense, Noir.\W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir. response:	Right.
context: Get Creative hhhhh\O-Okay...\Hi-yah!\You're too tense, Noir.\W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir.\Right. response:	They look lovely.
context: O-Okay...\Hi-yah!\You're too tense, Noir.\W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir.\Right.\They look lovely. response:	Noir...
context: Hi-yah!\You're too tense, Noir.\W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir.\Right.\They look lovely.\Noir... response:	When did he become such a good dancer?
context: You're too tense, Noir.\W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir.\Right.\They look lovely.\Noir...\When did he become such a good dancer? response:	Damn it.
context: W-Well, yeah, but...\We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir.\Right.\They look lovely.\Noir...\When did he become such a good dancer?\Damn it. response:	That was so much fun!
context: We actually get to dance with each other. Let's enjoy it.\Emma is right in front of you, Lord Noir.\Right.\They look lovely.\Noir...\When did he become such a good dancer?\Damn it.\That was so much fun! response:	Yeah.
context: Emma is right in front of you, Lord Noir.\Right.\They look lovely.\Noir...\When did he become such a good dancer?\Damn it.\That was so much fun!\Yeah. response:	We really are the best pair!
context: Right.\They look lovely.\Noir...\When did he become such a good dancer?\Damn it.\That was so much fun!\Yeah.\We really are the best pair! response:	Emma...
context: They look lovely.\Noir...\When did he become such a good dancer?\Damn it.\That was so much fun!\Yeah.\We really are the best pair!\Emma... response:	What's going on?
context: Noir...\When did he become such a good dancer?\Damn it.\That was so much fun!\Yeah.\We really are the best pair!\Emma...\What's going on? response:	Ladies and gentlemen!
context: When did he become such a good dancer?\Damn it.\That was so much fun!\Yeah.\We really are the best pair!\Emma...\What's going on?\Ladies and gentlemen! response:	The one you've all been waiting for, Phantom Thief Phantom, is here!
context: Damn it.\That was so much fun!\Yeah.\We really are the best pair!\Emma...\What's going on?\Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here! response:	As I proclaimed, I've come for the Mermaid's Tear
context: That was so much fun!\Yeah.\We really are the best pair!\Emma...\What's going on?\Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear response:	and the baron's daughter, Emma Brightness!
context: Yeah.\We really are the best pair!\Emma...\What's going on?\Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness! response:	Sh-She's here to take Emma?
context: We really are the best pair!\Emma...\What's going on?\Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma? response:	You probably wouldn't notice if someone took me from you.
context: Emma...\What's going on?\Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you. response:	She must've received a notice, too... But I didn't even realize...
context: What's going on?\Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize... response:	Curse you, Phantom!
context: Ladies and gentlemen!\The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize...\Curse you, Phantom! response:	We're counting on you, adventurers from Lahmu!
context: The one you've all been waiting for, Phantom Thief Phantom, is here!\As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize...\Curse you, Phantom!\We're counting on you, adventurers from Lahmu! response:	Leader Leila!
context: As I proclaimed, I've come for the Mermaid's Tear\and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize...\Curse you, Phantom!\We're counting on you, adventurers from Lahmu!\Leader Leila! response:	Leave it to me!
context: and the baron's daughter, Emma Brightness!\Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize...\Curse you, Phantom!\We're counting on you, adventurers from Lahmu!\Leader Leila!\Leave it to me! response:	Sh-She's fast!
context: Sh-She's here to take Emma?\You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize...\Curse you, Phantom!\We're counting on you, adventurers from Lahmu!\Leader Leila!\Leave it to me!\Sh-She's fast! response:	E-Emma, take my hand!
context: You probably wouldn't notice if someone took me from you.\She must've received a notice, too... But I didn't even realize...\Curse you, Phantom!\We're counting on you, adventurers from Lahmu!\Leader Leila!\Leave it to me!\Sh-She's fast!\E-Emma, take my hand! response:	You should be more careful.
context: She must've received a notice, too... But I didn't even realize...\Curse you, Phantom!\We're counting on you, adventurers from Lahmu!\Leader Leila!\Leave it to me!\Sh-She's fast!\E-Emma, take my hand!\You should be more careful. response:	Emma!
context: Curse you, Phantom!\We're counting on you, adventurers from Lahmu!\Leader Leila!\Leave it to me!\Sh-She's fast!\E-Emma, take my hand!\You should be more careful.\Emma! response:	N-Noir!
context: We're counting on you, adventurers from Lahmu!\Leader Leila!\Leave it to me!\Sh-She's fast!\E-Emma, take my hand!\You should be more careful.\Emma!\N-Noir! response:	I'll be taking her. Thanks!
context: Leader Leila!\Leave it to me!\Sh-She's fast!\E-Emma, take my hand!\You should be more careful.\Emma!\N-Noir!\I'll be taking her. Thanks! response:	Emma!
context: Leave it to me!\Sh-She's fast!\E-Emma, take my hand!\You should be more careful.\Emma!\N-Noir!\I'll be taking her. Thanks!\Emma! response:	Where's the thief?!
context: Sh-She's fast!\E-Emma, take my hand!\You should be more careful.\Emma!\N-Noir!\I'll be taking her. Thanks!\Emma!\Where's the thief?! response:	Where's Phantom?!
context: E-Emma, take my hand!\You should be more careful.\Emma!\N-Noir!\I'll be taking her. Thanks!\Emma!\Where's the thief?!\Where's Phantom?! response:	Th-The Mermaid's Tear!
context: You should be more careful.\Emma!\N-Noir!\I'll be taking her. Thanks!\Emma!\Where's the thief?!\Where's Phantom?!\Th-The Mermaid's Tear! response:	I-It's safe...
context: Emma!\N-Noir!\I'll be taking her. Thanks!\Emma!\Where's the thief?!\Where's Phantom?!\Th-The Mermaid's Tear!\I-It's safe... response:	Wh-Who are you?!
context: N-Noir!\I'll be taking her. Thanks!\Emma!\Where's the thief?!\Where's Phantom?!\Th-The Mermaid's Tear!\I-It's safe...\Wh-Who are you?! response:	You let your guard down, Earl.
context: I'll be taking her. Thanks!\Emma!\Where's the thief?!\Where's Phantom?!\Th-The Mermaid's Tear!\I-It's safe...\Wh-Who are you?!\You let your guard down, Earl. response:	Now we've taken both things we said we'd take.
context: Emma!\Where's the thief?!\Where's Phantom?!\Th-The Mermaid's Tear!\I-It's safe...\Wh-Who are you?!\You let your guard down, Earl.\Now we've taken both things we said we'd take. response:	Have a wonderful evening, everyone!
context: Where's the thief?!\Where's Phantom?!\Th-The Mermaid's Tear!\I-It's safe...\Wh-Who are you?!\You let your guard down, Earl.\Now we've taken both things we said we'd take.\Have a wonderful evening, everyone! response:	There were two of them?
context: Where's Phantom?!\Th-The Mermaid's Tear!\I-It's safe...\Wh-Who are you?!\You let your guard down, Earl.\Now we've taken both things we said we'd take.\Have a wonderful evening, everyone!\There were two of them? response:	I'll go after the guy! Leila, go after the woman!
context: Th-The Mermaid's Tear!\I-It's safe...\Wh-Who are you?!\You let your guard down, Earl.\Now we've taken both things we said we'd take.\Have a wonderful evening, everyone!\There were two of them?\I'll go after the guy! Leila, go after the woman! response:	Roger!
context: I-It's safe...\Wh-Who are you?!\You let your guard down, Earl.\Now we've taken both things we said we'd take.\Have a wonderful evening, everyone!\There were two of them?\I'll go after the guy! Leila, go after the woman!\Roger! response:	I'm sorry!
context: Wh-Who are you?!\You let your guard down, Earl.\Now we've taken both things we said we'd take.\Have a wonderful evening, everyone!\There were two of them?\I'll go after the guy! Leila, go after the woman!\Roger!\I'm sorry! response:	I-I'm coming, too!
context: You let your guard down, Earl.\Now we've taken both things we said we'd take.\Have a wonderful evening, everyone!\There were two of them?\I'll go after the guy! Leila, go after the woman!\Roger!\I'm sorry!\I-I'm coming, too! response:	Who are you?
context: Now we've taken both things we said we'd take.\Have a wonderful evening, everyone!\There were two of them?\I'll go after the guy! Leila, go after the woman!\Roger!\I'm sorry!\I-I'm coming, too!\Who are you? response:	I'm Noir Stardia. I'm an adventurer belonging to Odin!
context: Have a wonderful evening, everyone!\There were two of them?\I'll go after the guy! Leila, go after the woman!\Roger!\I'm sorry!\I-I'm coming, too!\Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin! response:	Sorry, but you need to stay out of this.
context: There were two of them?\I'll go after the guy! Leila, go after the woman!\Roger!\I'm sorry!\I-I'm coming, too!\Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this. response:	Not because you belong to a rival guild,
context: I'll go after the guy! Leila, go after the woman!\Roger!\I'm sorry!\I-I'm coming, too!\Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this.\Not because you belong to a rival guild, response:	but this is just too dangerous for an ordinary adventurer.
context: Roger!\I'm sorry!\I-I'm coming, too!\Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this.\Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer. response:	Let us handle this
context: I'm sorry!\I-I'm coming, too!\Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this.\Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer.\Let us handle this response:	No!
context: I-I'm coming, too!\Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this.\Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer.\Let us handle this\No! response:	I won't...
context: Who are you?\I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this.\Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer.\Let us handle this\No!\I won't... response:	I won't let anyone take Emma!
context: I'm Noir Stardia. I'm an adventurer belonging to Odin!\Sorry, but you need to stay out of this.\Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer.\Let us handle this\No!\I won't...\I won't let anyone take Emma! response:	All right.
context: Sorry, but you need to stay out of this.\Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer.\Let us handle this\No!\I won't...\I won't let anyone take Emma!\All right. response:	I'm Leila. Make sure you don't slow me down.
context: Not because you belong to a rival guild,\but this is just too dangerous for an ordinary adventurer.\Let us handle this\No!\I won't...\I won't let anyone take Emma!\All right.\I'm Leila. Make sure you don't slow me down. response:	The Hidden Dungeon Only I Can Enter.
context: but this is just too dangerous for an ordinary adventurer.\Let us handle this\No!\I won't...\I won't let anyone take Emma!\All right.\I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter. response:	Hmph. You're awfully persistent.
context: Let us handle this\No!\I won't...\I won't let anyone take Emma!\All right.\I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent. response:	Phan Bertholda Lv. 190
context: No!\I won't...\I won't let anyone take Emma!\All right.\I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent.\Phan Bertholda Lv. 190 response:	Age Occupation Skills Skills Skills
context: I won't...\I won't let anyone take Emma!\All right.\I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent.\Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills response:	Be careful of her Summoning skill!
context: I won't let anyone take Emma!\All right.\I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent.\Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills\Be careful of her Summoning skill! response:	Are you using Discerning Eye? That's quite the skill.
context: All right.\I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent.\Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills\Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill. response:	Well, I guess I don't need to hide that skill anymore.
context: I'm Leila. Make sure you don't slow me down.\The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent.\Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills\Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore. response:	Firebird Lv. 50
context: The Hidden Dungeon Only I Can Enter.\Hmph. You're awfully persistent.\Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills\Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50 response:	Skill
context: Hmph. You're awfully persistent.\Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills\Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50\Skill response:	This is your only chance to back off.
context: Phan Bertholda Lv. 190\Age Occupation Skills Skills Skills\Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50\Skill\This is your only chance to back off. response:	Emma is my precious friend! I'd rather die than abandon her!
context: Age Occupation Skills Skills Skills\Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50\Skill\This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her! response:	Well, aren't you a feisty one?
context: Be careful of her Summoning skill!\Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50\Skill\This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one? response:	O-Oh, no!
context: Are you using Discerning Eye? That's quite the skill.\Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50\Skill\This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one?\O-Oh, no! response:	This is the Demon Fist?! Whoa...
context: Well, I guess I don't need to hide that skill anymore.\Firebird Lv. 50\Skill\This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one?\O-Oh, no!\This is the Demon Fist?! Whoa... response:	What's the matter?
context: Firebird Lv. 50\Skill\This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one?\O-Oh, no!\This is the Demon Fist?! Whoa...\What's the matter? response:	You won't be able to save your precious friend like that.
context: Skill\This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one?\O-Oh, no!\This is the Demon Fist?! Whoa...\What's the matter?\You won't be able to save your precious friend like that. response:	That firebird is in the way!
context: This is your only chance to back off.\Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one?\O-Oh, no!\This is the Demon Fist?! Whoa...\What's the matter?\You won't be able to save your precious friend like that.\That firebird is in the way! response:	If I can just delete Summoning...
context: Emma is my precious friend! I'd rather die than abandon her!\Well, aren't you a feisty one?\O-Oh, no!\This is the Demon Fist?! Whoa...\What's the matter?\You won't be able to save your precious friend like that.\That firebird is in the way!\If I can just delete Summoning... response:	LP needed to delete: 6000 Available LP: 5200
context: Well, aren't you a feisty one?\O-Oh, no!\This is the Demon Fist?! Whoa...\What's the matter?\You won't be able to save your precious friend like that.\That firebird is in the way!\If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200 response:	I can't! I don't have enough LP!
context: O-Oh, no!\This is the Demon Fist?! Whoa...\What's the matter?\You won't be able to save your precious friend like that.\That firebird is in the way!\If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP! response:	Every time we get closer, she escapes above!
context: This is the Demon Fist?! Whoa...\What's the matter?\You won't be able to save your precious friend like that.\That firebird is in the way!\If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP!\Every time we get closer, she escapes above! response:	I wonder who's gonna die first.
context: What's the matter?\You won't be able to save your precious friend like that.\That firebird is in the way!\If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP!\Every time we get closer, she escapes above!\I wonder who's gonna die first. response:	I-I'll just have to...
context: You won't be able to save your precious friend like that.\That firebird is in the way!\If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP!\Every time we get closer, she escapes above!\I wonder who's gonna die first.\I-I'll just have to... response:	H-He has a lightning spell?
context: That firebird is in the way!\If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP!\Every time we get closer, she escapes above!\I wonder who's gonna die first.\I-I'll just have to...\H-He has a lightning spell? response:	I was able to see that you're weak against lightning with my Discerning Eye.
context: If I can just delete Summoning...\LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP!\Every time we get closer, she escapes above!\I wonder who's gonna die first.\I-I'll just have to...\H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye. response:	Yeah? So... what?
context: LP needed to delete: 6000 Available LP: 5200\I can't! I don't have enough LP!\Every time we get closer, she escapes above!\I wonder who's gonna die first.\I-I'll just have to...\H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what? response:	You can't hit me if I'm out of range!
context: I can't! I don't have enough LP!\Every time we get closer, she escapes above!\I wonder who's gonna die first.\I-I'll just have to...\H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what?\You can't hit me if I'm out of range! response:	The range for Lightning Strike is just three meters...
context: Every time we get closer, she escapes above!\I wonder who's gonna die first.\I-I'll just have to...\H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what?\You can't hit me if I'm out of range!\The range for Lightning Strike is just three meters... response:	Looks like she's having a hard time, too. She's getting steamed quite nicely.
context: I wonder who's gonna die first.\I-I'll just have to...\H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what?\You can't hit me if I'm out of range!\The range for Lightning Strike is just three meters...\Looks like she's having a hard time, too. She's getting steamed quite nicely. response:	Leila physically strikes her opponents.
context: I-I'll just have to...\H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what?\You can't hit me if I'm out of range!\The range for Lightning Strike is just three meters...\Looks like she's having a hard time, too. She's getting steamed quite nicely.\Leila physically strikes her opponents. response:	Going up against that bird is the worst for her.
context: H-He has a lightning spell?\I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what?\You can't hit me if I'm out of range!\The range for Lightning Strike is just three meters...\Looks like she's having a hard time, too. She's getting steamed quite nicely.\Leila physically strikes her opponents.\Going up against that bird is the worst for her. response:	But now that the woman's away...
context: I was able to see that you're weak against lightning with my Discerning Eye.\Yeah? So... what?\You can't hit me if I'm out of range!\The range for Lightning Strike is just three meters...\Looks like she's having a hard time, too. She's getting steamed quite nicely.\Leila physically strikes her opponents.\Going up against that bird is the worst for her.\But now that the woman's away... response:	Phoenix
context: Yeah? So... what?\You can't hit me if I'm out of range!\The range for Lightning Strike is just three meters...\Looks like she's having a hard time, too. She's getting steamed quite nicely.\Leila physically strikes her opponents.\Going up against that bird is the worst for her.\But now that the woman's away...\Phoenix response:	LP. 5200 To Get Creative and Bestow
