context: What happened...? response:	Pu-Re-Mi-A-Mu...
context: Isn't that a striking introduction?\Is this for a horror magazine?\No, a boys' magazine!\Is there something odd about it?\Not exactly...\Splort\Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart? response:	I'll call it the Snuff Note.
context: Is this for a horror magazine?\No, a boys' magazine!\Is there something odd about it?\Not exactly...\Splort\Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart?\I'll call it the Snuff Note. response:	Like friendship, hard work...
context: No, a boys' magazine!\Is there something odd about it?\Not exactly...\Splort\Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart?\I'll call it the Snuff Note.\Like friendship, hard work... response:	Are you crazy?!
context: Is there something odd about it?\Not exactly...\Splort\Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart?\I'll call it the Snuff Note.\Like friendship, hard work...\Are you crazy?! response:	If I sent in a typical honor and justice manga, nobody would read it!
context: Not exactly...\Splort\Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart?\I'll call it the Snuff Note.\Like friendship, hard work...\Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it! response:	Blood! Flesh! Entrails exploding!
context: Splort\Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart?\I'll call it the Snuff Note.\Like friendship, hard work...\Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding! response:	The righteous getting crushed!
context: Shouldn't it have more of the usual boys' magazine stuff?\The one whose name is written bursts apart?\I'll call it the Snuff Note.\Like friendship, hard work...\Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding!\The righteous getting crushed! response:	A protagonist on the dark side!
context: The one whose name is written bursts apart?\I'll call it the Snuff Note.\Like friendship, hard work...\Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding!\The righteous getting crushed!\A protagonist on the dark side! response:	A complex bromance with a close friend who's actually the enemy!
context: I'll call it the Snuff Note.\Like friendship, hard work...\Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding!\The righteous getting crushed!\A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy! response:	A heroine who naturally fades out after just one chapter!
context: Like friendship, hard work...\Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding!\The righteous getting crushed!\A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter! response:	But, children will be
context: Are you crazy?!\If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding!\The righteous getting crushed!\A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter!\But, children will be response:	Society demands story elements it has never seen before!
context: If I sent in a typical honor and justice manga, nobody would read it!\Blood! Flesh! Entrails exploding!\The righteous getting crushed!\A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter!\But, children will be\Society demands story elements it has never seen before! response:	Yes! Like having the heroine's best friend's grandpa as the final boss!
context: Blood! Flesh! Entrails exploding!\The righteous getting crushed!\A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter!\But, children will be\Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss! response:	W-Well, considering the current trends, I guess it's a good manga
context: The righteous getting crushed!\A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter!\But, children will be\Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga response:	Please read it to the very end.
context: A protagonist on the dark side!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter!\But, children will be\Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end. response:	Then give me your impressions!
context: A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out after just one chapter!\But, children will be\Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end.\Then give me your impressions! response:	If it's no good, tell me!
context: A heroine who naturally fades out after just one chapter!\But, children will be\Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end.\Then give me your impressions!\If it's no good, tell me! response:	Be honest, even if you don't think I can handle the truth!
context: But, children will be\Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end.\Then give me your impressions!\If it's no good, tell me!\Be honest, even if you don't think I can handle the truth! response:	But...
context: Society demands story elements it has never seen before!\Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end.\Then give me your impressions!\If it's no good, tell me!\Be honest, even if you don't think I can handle the truth!\But... response:	You don't really want to hear it!
context: Yes! Like having the heroine's best friend's grandpa as the final boss!\W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end.\Then give me your impressions!\If it's no good, tell me!\Be honest, even if you don't think I can handle the truth!\But...\You don't really want to hear it! response:	Read these to understand manga.
context: W-Well, considering the current trends, I guess it's a good manga\Please read it to the very end.\Then give me your impressions!\If it's no good, tell me!\Be honest, even if you don't think I can handle the truth!\But...\You don't really want to hear it!\Read these to understand manga. response:	I'm not getting involved with manga artists ever again.
context: Please read it to the very end.\Then give me your impressions!\If it's no good, tell me!\Be honest, even if you don't think I can handle the truth!\But...\You don't really want to hear it!\Read these to understand manga.\I'm not getting involved with manga artists ever again. response:	Many-Many Ink Drops
context: Then give me your impressions!\If it's no good, tell me!\Be honest, even if you don't think I can handle the truth!\But...\You don't really want to hear it!\Read these to understand manga.\I'm not getting involved with manga artists ever again.\Many-Many Ink Drops response:	I'd only told Miwa-chan that I planned to be a manga artist someday.
context: If it's no good, tell me!\Be honest, even if you don't think I can handle the truth!\But...\You don't really want to hear it!\Read these to understand manga.\I'm not getting involved with manga artists ever again.\Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday. response:	But then I got carried away and even showed him my manuscript!
context: Be honest, even if you don't think I can handle the truth!\But...\You don't really want to hear it!\Read these to understand manga.\I'm not getting involved with manga artists ever again.\Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript! response:	What'll I do if Sensei tells the villagers about it?
context: But...\You don't really want to hear it!\Read these to understand manga.\I'm not getting involved with manga artists ever again.\Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it? response:	Unlike Naru...
context: You don't really want to hear it!\Read these to understand manga.\I'm not getting involved with manga artists ever again.\Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it?\Unlike Naru... response:	Tama does manga!
context: Read these to understand manga.\I'm not getting involved with manga artists ever again.\Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it?\Unlike Naru...\Tama does manga! response:	The whole village will find out I'm a geek!
context: I'm not getting involved with manga artists ever again.\Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it?\Unlike Naru...\Tama does manga!\The whole village will find out I'm a geek! response:	A complex bromance with a close friend who's actually the enemy!
context: Many-Many Ink Drops\I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it?\Unlike Naru...\Tama does manga!\The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy! response:	A heroine who naturally fades out!
context: I'd only told Miwa-chan that I planned to be a manga artist someday.\But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it?\Unlike Naru...\Tama does manga!\The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out! response:	They might not just think I'm a geek...
context: But then I got carried away and even showed him my manuscript!\What'll I do if Sensei tells the villagers about it?\Unlike Naru...\Tama does manga!\The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out!\They might not just think I'm a geek... response:	Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.
context: What'll I do if Sensei tells the villagers about it?\Unlike Naru...\Tama does manga!\The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out!\They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. response:	They'll think I'm a fujoshi!
context: Unlike Naru...\Tama does manga!\The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out!\They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi! response:	Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)
context: Tama does manga!\The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out!\They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) response:	Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi
context: The whole village will find out I'm a geek!\A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out!\They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi response:	That can't happen! I just love manga, is all!
context: A complex bromance with a close friend who's actually the enemy!\A heroine who naturally fades out!\They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all! response:	My interests are purely literary!
context: A heroine who naturally fades out!\They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all!\My interests are purely literary! response:	I'm not some vulgar fujoshi!
context: They might not just think I'm a geek...\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all!\My interests are purely literary!\I'm not some vulgar fujoshi! response:	I must make that clear...
context: Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances.\They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all!\My interests are purely literary!\I'm not some vulgar fujoshi!\I must make that clear... response:	Here. I made today's dinner too.
context: They'll think I'm a fujoshi!\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all!\My interests are purely literary!\I'm not some vulgar fujoshi!\I must make that clear...\Here. I made today's dinner too. response:	Oh... thanks again.
context: Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy)\Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all!\My interests are purely literary!\I'm not some vulgar fujoshi!\I must make that clear...\Here. I made today's dinner too.\Oh... thanks again. response:	Something happen? You don't look so good.
context: Fujoshi (Rotten Girl): a woman who prefers novels and manga that depict male-male romances. Related: BL (Boys Love), Yaoi, Fudanshi(Rotten Boy) Formula: Girl Who Likes Manga Fujoshi\That can't happen! I just love manga, is all!\My interests are purely literary!\I'm not some vulgar fujoshi!\I must make that clear...\Here. I made today's dinner too.\Oh... thanks again.\Something happen? You don't look so good. response:	No, just thinking about how girls these days can be really passionate.
context: That can't happen! I just love manga, is all!\My interests are purely literary!\I'm not some vulgar fujoshi!\I must make that clear...\Here. I made today's dinner too.\Oh... thanks again.\Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate. response:	And how I have to grind all my ink from now on.
context: My interests are purely literary!\I'm not some vulgar fujoshi!\I must make that clear...\Here. I made today's dinner too.\Oh... thanks again.\Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on. response:	It's got me down...
context: I'm not some vulgar fujoshi!\I must make that clear...\Here. I made today's dinner too.\Oh... thanks again.\Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on.\It's got me down... response:	Oh! So you couldn't buy ink? Thought so.
context: I must make that clear...\Here. I made today's dinner too.\Oh... thanks again.\Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on.\It's got me down...\Oh! So you couldn't buy ink? Thought so. response:	Thought so?
context: Here. I made today's dinner too.\Oh... thanks again.\Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on.\It's got me down...\Oh! So you couldn't buy ink? Thought so.\Thought so? response:	They have penmanship homework for summer vacation, so ink sells out right away.
context: Oh... thanks again.\Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on.\It's got me down...\Oh! So you couldn't buy ink? Thought so.\Thought so?\They have penmanship homework for summer vacation, so ink sells out right away. response:	So...
context: Something happen? You don't look so good.\No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on.\It's got me down...\Oh! So you couldn't buy ink? Thought so.\Thought so?\They have penmanship homework for summer vacation, so ink sells out right away.\So... response:	I brought you this worn-out bottle we had at home.
context: No, just thinking about how girls these days can be really passionate.\And how I have to grind all my ink from now on.\It's got me down...\Oh! So you couldn't buy ink? Thought so.\Thought so?\They have penmanship homework for summer vacation, so ink sells out right away.\So...\I brought you this worn-out bottle we had at home. response:	If I don't clear up the misunderstanding,
context: And how I have to grind all my ink from now on.\It's got me down...\Oh! So you couldn't buy ink? Thought so.\Thought so?\They have penmanship homework for summer vacation, so ink sells out right away.\So...\I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding, response:	and get falsely accused of being a fujoshi,
context: It's got me down...\Oh! So you couldn't buy ink? Thought so.\Thought so?\They have penmanship homework for summer vacation, so ink sells out right away.\So...\I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi, response:	I'll no longer be able to live in this village.
context: Oh! So you couldn't buy ink? Thought so.\Thought so?\They have penmanship homework for summer vacation, so ink sells out right away.\So...\I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village. response:	I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.
context: Thought so?\They have penmanship homework for summer vacation, so ink sells out right away.\So...\I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist. response:	Could I have mistakenly lent him my most secret book?!
context: They have penmanship homework for summer vacation, so ink sells out right away.\So...\I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?! response:	Overtime Lovers Sandro Tamura Huh? You're still here?!
context: So...\I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?! response:	It happened my first year of middle school...
context: I brought you this worn-out bottle we had at home.\If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school... response:	Tama, you got some manga from one of your cousins.
context: If I don't clear up the misunderstanding,\and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school...\Tama, you got some manga from one of your cousins. response:	Yay! All right!
context: and get falsely accused of being a fujoshi,\I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school...\Tama, you got some manga from one of your cousins.\Yay! All right! response:	Tama sure does love manga.
context: I'll no longer be able to live in this village.\I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school...\Tama, you got some manga from one of your cousins.\Yay! All right!\Tama sure does love manga. response:	What is this? Two men doing that?! Ewww!
context: I'll tell him, When I said I wanted to be a manga artist, I really meant a novelist.\Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school...\Tama, you got some manga from one of your cousins.\Yay! All right!\Tama sure does love manga.\What is this? Two men doing that?! Ewww! response:	Now I'm traumatized for life!
context: Could I have mistakenly lent him my most secret book?!\Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school...\Tama, you got some manga from one of your cousins.\Yay! All right!\Tama sure does love manga.\What is this? Two men doing that?! Ewww!\Now I'm traumatized for life! response:	That's filthy, stupid!
context: Overtime Lovers Sandro Tamura Huh? You're still here?!\It happened my first year of middle school...\Tama, you got some manga from one of your cousins.\Yay! All right!\Tama sure does love manga.\What is this? Two men doing that?! Ewww!\Now I'm traumatized for life!\That's filthy, stupid! response:	Grown-ups are all dirty!
context: It happened my first year of middle school...\Tama, you got some manga from one of your cousins.\Yay! All right!\Tama sure does love manga.\What is this? Two men doing that?! Ewww!\Now I'm traumatized for life!\That's filthy, stupid!\Grown-ups are all dirty! response:	Peek...
context: Tama, you got some manga from one of your cousins.\Yay! All right!\Tama sure does love manga.\What is this? Two men doing that?! Ewww!\Now I'm traumatized for life!\That's filthy, stupid!\Grown-ups are all dirty!\Peek... response:	So that I'd never forget what occurred that day, I've secured that manga!
context: Yay! All right!\Tama sure does love manga.\What is this? Two men doing that?! Ewww!\Now I'm traumatized for life!\That's filthy, stupid!\Grown-ups are all dirty!\Peek...\So that I'd never forget what occurred that day, I've secured that manga! response:	I keep it separate from the others,
context: Tama sure does love manga.\What is this? Two men doing that?! Ewww!\Now I'm traumatized for life!\That's filthy, stupid!\Grown-ups are all dirty!\Peek...\So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others, response:	so I couldn't have accidentally lent it out.
context: What is this? Two men doing that?! Ewww!\Now I'm traumatized for life!\That's filthy, stupid!\Grown-ups are all dirty!\Peek...\So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others,\so I couldn't have accidentally lent it out. response:	In any case, I must protect my reputation as a proper, literary girl!
context: Now I'm traumatized for life!\That's filthy, stupid!\Grown-ups are all dirty!\Peek...\So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others,\so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl! response:	Sensei!
context: That's filthy, stupid!\Grown-ups are all dirty!\Peek...\So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others,\so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl!\Sensei! response:	Ah, thanks for that.
context: Grown-ups are all dirty!\Peek...\So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others,\so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl!\Sensei!\Ah, thanks for that. response:	I didn't expect my foot to slip...
context: Peek...\So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others,\so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl!\Sensei!\Ah, thanks for that.\I didn't expect my foot to slip... response:	Okay, okay, just get your balance back already!
context: So that I'd never forget what occurred that day, I've secured that manga!\I keep it separate from the others,\so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl!\Sensei!\Ah, thanks for that.\I didn't expect my foot to slip...\Okay, okay, just get your balance back already! response:	I was so happy about the ink, that I got a little dizzy.
context: I keep it separate from the others,\so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl!\Sensei!\Ah, thanks for that.\I didn't expect my foot to slip...\Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy. response:	You're gonna conk your head and die at some point!
context: so I couldn't have accidentally lent it out.\In any case, I must protect my reputation as a proper, literary girl!\Sensei!\Ah, thanks for that.\I didn't expect my foot to slip...\Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point! response:	Wait, the champon!
context: In any case, I must protect my reputation as a proper, literary girl!\Sensei!\Ah, thanks for that.\I didn't expect my foot to slip...\Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point!\Wait, the champon! response:	What?!
context: Sensei!\Ah, thanks for that.\I didn't expect my foot to slip...\Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point!\Wait, the champon!\What?! response:	Huh?
context: Ah, thanks for that.\I didn't expect my foot to slip...\Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point!\Wait, the champon!\What?!\Huh? response:	Huh?
context: I didn't expect my foot to slip...\Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point!\Wait, the champon!\What?!\Huh?\Huh? response:	You've brought champon a lot lately.
context: Okay, okay, just get your balance back already!\I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point!\Wait, the champon!\What?!\Huh?\Huh?\You've brought champon a lot lately. response:	What am I doing over here?
context: I was so happy about the ink, that I got a little dizzy.\You're gonna conk your head and die at some point!\Wait, the champon!\What?!\Huh?\Huh?\You've brought champon a lot lately.\What am I doing over here? response:	We got noodles as a midsummer gift.
context: You're gonna conk your head and die at some point!\Wait, the champon!\What?!\Huh?\Huh?\You've brought champon a lot lately.\What am I doing over here?\We got noodles as a midsummer gift. response:	I must finish my manuscript.
context: Wait, the champon!\What?!\Huh?\Huh?\You've brought champon a lot lately.\What am I doing over here?\We got noodles as a midsummer gift.\I must finish my manuscript. response:	Manuscript...
context: What?!\Huh?\Huh?\You've brought champon a lot lately.\What am I doing over here?\We got noodles as a midsummer gift.\I must finish my manuscript.\Manuscript... response:	Manuscri...
context: Huh?\Huh?\You've brought champon a lot lately.\What am I doing over here?\We got noodles as a midsummer gift.\I must finish my manuscript.\Manuscript...\Manuscri... response:	Manu...
context: Huh?\You've brought champon a lot lately.\What am I doing over here?\We got noodles as a midsummer gift.\I must finish my manuscript.\Manuscript...\Manuscri...\Manu... response:	Man...
context: You've brought champon a lot lately.\What am I doing over here?\We got noodles as a midsummer gift.\I must finish my manuscript.\Manuscript...\Manuscri...\Manu...\Man... response:	Stupid, stupid adolescence!
context: What am I doing over here?\We got noodles as a midsummer gift.\I must finish my manuscript.\Manuscript...\Manuscri...\Manu...\Man...\Stupid, stupid adolescence! response:	Huh?
context: We got noodles as a midsummer gift.\I must finish my manuscript.\Manuscript...\Manuscri...\Manu...\Man...\Stupid, stupid adolescence!\Huh? response:	What do you mean?
context: I must finish my manuscript.\Manuscript...\Manuscri...\Manu...\Man...\Stupid, stupid adolescence!\Huh?\What do you mean? response:	That writing was a masterpiece!
context: Manuscript...\Manuscri...\Manu...\Man...\Stupid, stupid adolescence!\Huh?\What do you mean?\That writing was a masterpiece! response:	There's no way it could've failed to win!
context: Manuscri...\Manu...\Man...\Stupid, stupid adolescence!\Huh?\What do you mean?\That writing was a masterpiece!\There's no way it could've failed to win! response:	You're kidding, right?
context: Manu...\Man...\Stupid, stupid adolescence!\Huh?\What do you mean?\That writing was a masterpiece!\There's no way it could've failed to win!\You're kidding, right? response:	Sensei! Let's play!
context: Man...\Stupid, stupid adolescence!\Huh?\What do you mean?\That writing was a masterpiece!\There's no way it could've failed to win!\You're kidding, right?\Sensei! Let's play! response:	What's with this stagnant air?
context: Stupid, stupid adolescence!\Huh?\What do you mean?\That writing was a masterpiece!\There's no way it could've failed to win!\You're kidding, right?\Sensei! Let's play!\What's with this stagnant air? response:	What the heck's that?
context: Huh?\What do you mean?\That writing was a masterpiece!\There's no way it could've failed to win!\You're kidding, right?\Sensei! Let's play!\What's with this stagnant air?\What the heck's that? response:	What's wrong, Sensei?
context: What do you mean?\That writing was a masterpiece!\There's no way it could've failed to win!\You're kidding, right?\Sensei! Let's play!\What's with this stagnant air?\What the heck's that?\What's wrong, Sensei? response:	Yer makin' gloom-fumes.
context: That writing was a masterpiece!\There's no way it could've failed to win!\You're kidding, right?\Sensei! Let's play!\What's with this stagnant air?\What the heck's that?\What's wrong, Sensei?\Yer makin' gloom-fumes. response:	What's he mutterin'?
context: There's no way it could've failed to win!\You're kidding, right?\Sensei! Let's play!\What's with this stagnant air?\What the heck's that?\What's wrong, Sensei?\Yer makin' gloom-fumes.\What's he mutterin'? response:	Sensei says he got second place in the calligraphy contest.
