context: Do you think I'll let you score any more points? response:	Here I come!
context: I heard that big breasts sag earlier.\You're saying that my breasts will sag...\You little brat.\What are you doing, you milk cow!\Now, now...\Shut up, Tsukune!\You don't even wear a bra yet!\That doesn't matter! response:	You...
context: You're saying that my breasts will sag...\You little brat.\What are you doing, you milk cow!\Now, now...\Shut up, Tsukune!\You don't even wear a bra yet!\That doesn't matter!\You... response:	Moka-san...
context: You little brat.\What are you doing, you milk cow!\Now, now...\Shut up, Tsukune!\You don't even wear a bra yet!\That doesn't matter!\You...\Moka-san... response:	You idiot, why did you go near the pool?
context: What are you doing, you milk cow!\Now, now...\Shut up, Tsukune!\You don't even wear a bra yet!\That doesn't matter!\You...\Moka-san...\You idiot, why did you go near the pool? response:	It's natural that you feel this way when you come into contact with water.
context: Now, now...\Shut up, Tsukune!\You don't even wear a bra yet!\That doesn't matter!\You...\Moka-san...\You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water. response:	Water is a vampire's weakness.
context: Shut up, Tsukune!\You don't even wear a bra yet!\That doesn't matter!\You...\Moka-san...\You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness. response:	Water has a strong purification effect, which is why vampires fear water.
context: You don't even wear a bra yet!\That doesn't matter!\You...\Moka-san...\You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water. response:	When our demonic powers clash with water, then...
context: That doesn't matter!\You...\Moka-san...\You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then... response:	This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.
context: You...\Moka-san...\You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs. response:	Your body is also a host for me!
context: Moka-san...\You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me! response:	You must calm down and not let that man fool around with you.
context: You idiot, why did you go near the pool?\It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me!\You must calm down and not let that man fool around with you. response:	Tsukune...
context: It's natural that you feel this way when you come into contact with water.\Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me!\You must calm down and not let that man fool around with you.\Tsukune... response:	Everyone! It's starting!
context: Water is a vampire's weakness.\Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me!\You must calm down and not let that man fool around with you.\Tsukune...\Everyone! It's starting! response:	I don't know why my tears can't stop flowing.
context: Water has a strong purification effect, which is why vampires fear water.\When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me!\You must calm down and not let that man fool around with you.\Tsukune...\Everyone! It's starting!\I don't know why my tears can't stop flowing. response:	I should be happy but my tears came flowing again.
context: When our demonic powers clash with water, then...\This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me!\You must calm down and not let that man fool around with you.\Tsukune...\Everyone! It's starting!\I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again. response:	It hurts!
context: This is also the reason why Moka-san washes her face or something, she uses water which has been neutralized by herbs.\Your body is also a host for me!\You must calm down and not let that man fool around with you.\Tsukune...\Everyone! It's starting!\I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again.\It hurts! response:	Yahoo!
context: Your body is also a host for me!\You must calm down and not let that man fool around with you.\Tsukune...\Everyone! It's starting!\I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again.\It hurts!\Yahoo! response:	I won't forgive you!
context: You must calm down and not let that man fool around with you.\Tsukune...\Everyone! It's starting!\I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again.\It hurts!\Yahoo!\I won't forgive you! response:	Lets go, everybody!
context: Tsukune...\Everyone! It's starting!\I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again.\It hurts!\Yahoo!\I won't forgive you!\Lets go, everybody! response:	Yahohoo! I'm first!
context: Everyone! It's starting!\I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again.\It hurts!\Yahoo!\I won't forgive you!\Lets go, everybody!\Yahohoo! I'm first! response:	Hey! You're getting in my way!
context: I don't know why my tears can't stop flowing.\I should be happy but my tears came flowing again.\It hurts!\Yahoo!\I won't forgive you!\Lets go, everybody!\Yahohoo! I'm first!\Hey! You're getting in my way! response:	Oh my, I didn't notice...
context: I should be happy but my tears came flowing again.\It hurts!\Yahoo!\I won't forgive you!\Lets go, everybody!\Yahohoo! I'm first!\Hey! You're getting in my way!\Oh my, I didn't notice... response:	White and black...
context: It hurts!\Yahoo!\I won't forgive you!\Lets go, everybody!\Yahohoo! I'm first!\Hey! You're getting in my way!\Oh my, I didn't notice...\White and black... response:	No, we must settle this between the whites and reds!
context: Yahoo!\I won't forgive you!\Lets go, everybody!\Yahohoo! I'm first!\Hey! You're getting in my way!\Oh my, I didn't notice...\White and black...\No, we must settle this between the whites and reds! response:	Let's go!
context: I won't forgive you!\Lets go, everybody!\Yahohoo! I'm first!\Hey! You're getting in my way!\Oh my, I didn't notice...\White and black...\No, we must settle this between the whites and reds!\Let's go! response:	Yahohoo!
context: Lets go, everybody!\Yahohoo! I'm first!\Hey! You're getting in my way!\Oh my, I didn't notice...\White and black...\No, we must settle this between the whites and reds!\Let's go!\Yahohoo! response:	Hey Yukari-chan! That's cheating!
context: Yahohoo! I'm first!\Hey! You're getting in my way!\Oh my, I didn't notice...\White and black...\No, we must settle this between the whites and reds!\Let's go!\Yahohoo!\Hey Yukari-chan! That's cheating! response:	Your huge breasts are just too much!
context: Hey! You're getting in my way!\Oh my, I didn't notice...\White and black...\No, we must settle this between the whites and reds!\Let's go!\Yahohoo!\Hey Yukari-chan! That's cheating!\Your huge breasts are just too much! response:	Moka-san...
context: Oh my, I didn't notice...\White and black...\No, we must settle this between the whites and reds!\Let's go!\Yahohoo!\Hey Yukari-chan! That's cheating!\Your huge breasts are just too much!\Moka-san... response:	You seem depressed...
context: White and black...\No, we must settle this between the whites and reds!\Let's go!\Yahohoo!\Hey Yukari-chan! That's cheating!\Your huge breasts are just too much!\Moka-san...\You seem depressed... response:	Is the performance of our Swimming club not up to your standards?
context: No, we must settle this between the whites and reds!\Let's go!\Yahohoo!\Hey Yukari-chan! That's cheating!\Your huge breasts are just too much!\Moka-san...\You seem depressed...\Is the performance of our Swimming club not up to your standards? response:	No, that's not the problem...
context: Let's go!\Yahohoo!\Hey Yukari-chan! That's cheating!\Your huge breasts are just too much!\Moka-san...\You seem depressed...\Is the performance of our Swimming club not up to your standards?\No, that's not the problem... response:	How about going for a swim with me?
context: Yahohoo!\Hey Yukari-chan! That's cheating!\Your huge breasts are just too much!\Moka-san...\You seem depressed...\Is the performance of our Swimming club not up to your standards?\No, that's not the problem...\How about going for a swim with me? response:	I'll let you forget all your frustrations.
context: Hey Yukari-chan! That's cheating!\Your huge breasts are just too much!\Moka-san...\You seem depressed...\Is the performance of our Swimming club not up to your standards?\No, that's not the problem...\How about going for a swim with me?\I'll let you forget all your frustrations. response:	Yahohoo!
context: Your huge breasts are just too much!\Moka-san...\You seem depressed...\Is the performance of our Swimming club not up to your standards?\No, that's not the problem...\How about going for a swim with me?\I'll let you forget all your frustrations.\Yahohoo! response:	N-No!
context: Moka-san...\You seem depressed...\Is the performance of our Swimming club not up to your standards?\No, that's not the problem...\How about going for a swim with me?\I'll let you forget all your frustrations.\Yahohoo!\N-No! response:	Don't even think of going back to the Swimming club.
context: You seem depressed...\Is the performance of our Swimming club not up to your standards?\No, that's not the problem...\How about going for a swim with me?\I'll let you forget all your frustrations.\Yahohoo!\N-No!\Don't even think of going back to the Swimming club. response:	Do you still want to experience that feeling again?
context: Is the performance of our Swimming club not up to your standards?\No, that's not the problem...\How about going for a swim with me?\I'll let you forget all your frustrations.\Yahohoo!\N-No!\Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again? response:	Stop having relationships with humans.
context: No, that's not the problem...\How about going for a swim with me?\I'll let you forget all your frustrations.\Yahohoo!\N-No!\Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again?\Stop having relationships with humans. response:	That guy doesn't even understand you a single bit.
context: How about going for a swim with me?\I'll let you forget all your frustrations.\Yahohoo!\N-No!\Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again?\Stop having relationships with humans.\That guy doesn't even understand you a single bit. response:	He doesn't think of you at all.
context: I'll let you forget all your frustrations.\Yahohoo!\N-No!\Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again?\Stop having relationships with humans.\That guy doesn't even understand you a single bit.\He doesn't think of you at all. response:	No way... Tsukune isn't anything like that!
context: Yahohoo!\N-No!\Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again?\Stop having relationships with humans.\That guy doesn't even understand you a single bit.\He doesn't think of you at all.\No way... Tsukune isn't anything like that! response:	Even if you go to the Swimming club,
context: N-No!\Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again?\Stop having relationships with humans.\That guy doesn't even understand you a single bit.\He doesn't think of you at all.\No way... Tsukune isn't anything like that!\Even if you go to the Swimming club, response:	you can't swim together with everyone anyway.
context: Don't even think of going back to the Swimming club.\Do you still want to experience that feeling again?\Stop having relationships with humans.\That guy doesn't even understand you a single bit.\He doesn't think of you at all.\No way... Tsukune isn't anything like that!\Even if you go to the Swimming club,\you can't swim together with everyone anyway. response:	That's all right.
context: Do you still want to experience that feeling again?\Stop having relationships with humans.\That guy doesn't even understand you a single bit.\He doesn't think of you at all.\No way... Tsukune isn't anything like that!\Even if you go to the Swimming club,\you can't swim together with everyone anyway.\That's all right. response:	I only want to be with Tsukune.
context: Stop having relationships with humans.\That guy doesn't even understand you a single bit.\He doesn't think of you at all.\No way... Tsukune isn't anything like that!\Even if you go to the Swimming club,\you can't swim together with everyone anyway.\That's all right.\I only want to be with Tsukune. response:	Do you care about Akashiya Moka that much?
context: That guy doesn't even understand you a single bit.\He doesn't think of you at all.\No way... Tsukune isn't anything like that!\Even if you go to the Swimming club,\you can't swim together with everyone anyway.\That's all right.\I only want to be with Tsukune.\Do you care about Akashiya Moka that much? response:	Forget about her and look at me...
context: He doesn't think of you at all.\No way... Tsukune isn't anything like that!\Even if you go to the Swimming club,\you can't swim together with everyone anyway.\That's all right.\I only want to be with Tsukune.\Do you care about Akashiya Moka that much?\Forget about her and look at me... response:	How about it, Tsukune-kun?
context: No way... Tsukune isn't anything like that!\Even if you go to the Swimming club,\you can't swim together with everyone anyway.\That's all right.\I only want to be with Tsukune.\Do you care about Akashiya Moka that much?\Forget about her and look at me...\How about it, Tsukune-kun? response:	Ichinose-senpai...
context: Even if you go to the Swimming club,\you can't swim together with everyone anyway.\That's all right.\I only want to be with Tsukune.\Do you care about Akashiya Moka that much?\Forget about her and look at me...\How about it, Tsukune-kun?\Ichinose-senpai... response:	Just call me Tamao.
context: you can't swim together with everyone anyway.\That's all right.\I only want to be with Tsukune.\Do you care about Akashiya Moka that much?\Forget about her and look at me...\How about it, Tsukune-kun?\Ichinose-senpai...\Just call me Tamao. response:	You know, I've had my eyes on you since school started.
context: That's all right.\I only want to be with Tsukune.\Do you care about Akashiya Moka that much?\Forget about her and look at me...\How about it, Tsukune-kun?\Ichinose-senpai...\Just call me Tamao.\You know, I've had my eyes on you since school started. response:	I've always been fascinated by you.
context: I only want to be with Tsukune.\Do you care about Akashiya Moka that much?\Forget about her and look at me...\How about it, Tsukune-kun?\Ichinose-senpai...\Just call me Tamao.\You know, I've had my eyes on you since school started.\I've always been fascinated by you. response:	I'm sorry, Tamao-senpai.
context: Do you care about Akashiya Moka that much?\Forget about her and look at me...\How about it, Tsukune-kun?\Ichinose-senpai...\Just call me Tamao.\You know, I've had my eyes on you since school started.\I've always been fascinated by you.\I'm sorry, Tamao-senpai. response:	I really have to go... I have to find Moka-san.
context: Forget about her and look at me...\How about it, Tsukune-kun?\Ichinose-senpai...\Just call me Tamao.\You know, I've had my eyes on you since school started.\I've always been fascinated by you.\I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san. response:	Oh my... You can't do that.
context: How about it, Tsukune-kun?\Ichinose-senpai...\Just call me Tamao.\You know, I've had my eyes on you since school started.\I've always been fascinated by you.\I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san.\Oh my... You can't do that. response:	I won't let anyone escape.
context: Ichinose-senpai...\Just call me Tamao.\You know, I've had my eyes on you since school started.\I've always been fascinated by you.\I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san.\Oh my... You can't do that.\I won't let anyone escape. response:	T-This is...
context: Just call me Tamao.\You know, I've had my eyes on you since school started.\I've always been fascinated by you.\I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san.\Oh my... You can't do that.\I won't let anyone escape.\T-This is... response:	Don't blame me...
context: You know, I've had my eyes on you since school started.\I've always been fascinated by you.\I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san.\Oh my... You can't do that.\I won't let anyone escape.\T-This is...\Don't blame me... response:	For luring the guys into the water then sucking their life energy out.
context: I've always been fascinated by you.\I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san.\Oh my... You can't do that.\I won't let anyone escape.\T-This is...\Don't blame me...\For luring the guys into the water then sucking their life energy out. response:	This is originally how mermaids survived.
context: I'm sorry, Tamao-senpai.\I really have to go... I have to find Moka-san.\Oh my... You can't do that.\I won't let anyone escape.\T-This is...\Don't blame me...\For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived. response:	Mermaids are known as the unlucky monsters of the sea who cause sea troubles.
context: I really have to go... I have to find Moka-san.\Oh my... You can't do that.\I won't let anyone escape.\T-This is...\Don't blame me...\For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles. response:	They are also very famous amongst seafarers.
context: Oh my... You can't do that.\I won't let anyone escape.\T-This is...\Don't blame me...\For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers. response:	It is rumored that they lure humans with their beautiful bodies,
context: I won't let anyone escape.\T-This is...\Don't blame me...\For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies, response:	causing them to sink their ships.
context: T-This is...\Don't blame me...\For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships. response:	T-Tamao-senpai!
context: Don't blame me...\For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships.\T-Tamao-senpai! response:	Haven't I said before?
context: For luring the guys into the water then sucking their life energy out.\This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships.\T-Tamao-senpai!\Haven't I said before? response:	I've had my eyes on you since school started.
context: This is originally how mermaids survived.\Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships.\T-Tamao-senpai!\Haven't I said before?\I've had my eyes on you since school started. response:	Because you... Smell just like a human!
context: Mermaids are known as the unlucky monsters of the sea who cause sea troubles.\They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships.\T-Tamao-senpai!\Haven't I said before?\I've had my eyes on you since school started.\Because you... Smell just like a human! response:	Hogging him is unfair...
context: They are also very famous amongst seafarers.\It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships.\T-Tamao-senpai!\Haven't I said before?\I've had my eyes on you since school started.\Because you... Smell just like a human!\Hogging him is unfair... response:	Give me some too...
context: It is rumored that they lure humans with their beautiful bodies,\causing them to sink their ships.\T-Tamao-senpai!\Haven't I said before?\I've had my eyes on you since school started.\Because you... Smell just like a human!\Hogging him is unfair...\Give me some too... response:	Me too...
context: causing them to sink their ships.\T-Tamao-senpai!\Haven't I said before?\I've had my eyes on you since school started.\Because you... Smell just like a human!\Hogging him is unfair...\Give me some too...\Me too... response:	Tsukune!
context: T-Tamao-senpai!\Haven't I said before?\I've had my eyes on you since school started.\Because you... Smell just like a human!\Hogging him is unfair...\Give me some too...\Me too...\Tsukune! response:	Tsukune-san!
context: Haven't I said before?\I've had my eyes on you since school started.\Because you... Smell just like a human!\Hogging him is unfair...\Give me some too...\Me too...\Tsukune!\Tsukune-san! response:	Move aside!
context: I've had my eyes on you since school started.\Because you... Smell just like a human!\Hogging him is unfair...\Give me some too...\Me too...\Tsukune!\Tsukune-san!\Move aside! response:	I'll take care of you if you get in our way!
context: Because you... Smell just like a human!\Hogging him is unfair...\Give me some too...\Me too...\Tsukune!\Tsukune-san!\Move aside!\I'll take care of you if you get in our way! response:	This is...!
context: Hogging him is unfair...\Give me some too...\Me too...\Tsukune!\Tsukune-san!\Move aside!\I'll take care of you if you get in our way!\This is...! response:	Tsukune!!!
context: Give me some too...\Me too...\Tsukune!\Tsukune-san!\Move aside!\I'll take care of you if you get in our way!\This is...!\Tsukune!!! response:	Wait for me! I'll rescue you right now-!
context: Me too...\Tsukune!\Tsukune-san!\Move aside!\I'll take care of you if you get in our way!\This is...!\Tsukune!!!\Wait for me! I'll rescue you right now-! response:	You idiot! Do you want to die?!
context: Tsukune!\Tsukune-san!\Move aside!\I'll take care of you if you get in our way!\This is...!\Tsukune!!!\Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?! response:	Seems like the rumors are true.
context: Tsukune-san!\Move aside!\I'll take care of you if you get in our way!\This is...!\Tsukune!!!\Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?!\Seems like the rumors are true. response:	Akashiya Moka's true form.
context: Move aside!\I'll take care of you if you get in our way!\This is...!\Tsukune!!!\Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?!\Seems like the rumors are true.\Akashiya Moka's true form. response:	Water is a vampire's weakness!
context: I'll take care of you if you get in our way!\This is...!\Tsukune!!!\Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?!\Seems like the rumors are true.\Akashiya Moka's true form.\Water is a vampire's weakness! response:	If this goes on, Moka-san will...!
context: This is...!\Tsukune!!!\Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?!\Seems like the rumors are true.\Akashiya Moka's true form.\Water is a vampire's weakness!\If this goes on, Moka-san will...! response:	Moka-san!
context: Tsukune!!!\Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?!\Seems like the rumors are true.\Akashiya Moka's true form.\Water is a vampire's weakness!\If this goes on, Moka-san will...!\Moka-san! response:	I won't let you escape.
context: Wait for me! I'll rescue you right now-!\You idiot! Do you want to die?!\Seems like the rumors are true.\Akashiya Moka's true form.\Water is a vampire's weakness!\If this goes on, Moka-san will...!\Moka-san!\I won't let you escape. response:	You're mine.
context: You idiot! Do you want to die?!\Seems like the rumors are true.\Akashiya Moka's true form.\Water is a vampire's weakness!\If this goes on, Moka-san will...!\Moka-san!\I won't let you escape.\You're mine. response:	Let go!
context: Seems like the rumors are true.\Akashiya Moka's true form.\Water is a vampire's weakness!\If this goes on, Moka-san will...!\Moka-san!\I won't let you escape.\You're mine.\Let go! response:	Quickly! Take this chance!
context: Akashiya Moka's true form.\Water is a vampire's weakness!\If this goes on, Moka-san will...!\Moka-san!\I won't let you escape.\You're mine.\Let go!\Quickly! Take this chance! response:	Moka-san... Just for me...
context: Water is a vampire's weakness!\If this goes on, Moka-san will...!\Moka-san!\I won't let you escape.\You're mine.\Let go!\Quickly! Take this chance!\Moka-san... Just for me... response:	Just to rescue me...
context: If this goes on, Moka-san will...!\Moka-san!\I won't let you escape.\You're mine.\Let go!\Quickly! Take this chance!\Moka-san... Just for me...\Just to rescue me... response:	You jumped into the water...
context: Moka-san!\I won't let you escape.\You're mine.\Let go!\Quickly! Take this chance!\Moka-san... Just for me...\Just to rescue me...\You jumped into the water... response:	Once the rosary on her chest is removed,
context: I won't let you escape.\You're mine.\Let go!\Quickly! Take this chance!\Moka-san... Just for me...\Just to rescue me...\You jumped into the water...\Once the rosary on her chest is removed, response:	The vampire blood within Moka will awaken.
context: You're mine.\Let go!\Quickly! Take this chance!\Moka-san... Just for me...\Just to rescue me...\You jumped into the water...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken. response:	You dare...
context: Let go!\Quickly! Take this chance!\Moka-san... Just for me...\Just to rescue me...\You jumped into the water...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\You dare... response:	You dare do as you wish?
context: Quickly! Take this chance!\Moka-san... Just for me...\Just to rescue me...\You jumped into the water...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\You dare...\You dare do as you wish? response:	Such an oppressive feeling...
context: Moka-san... Just for me...\Just to rescue me...\You jumped into the water...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\You dare...\You dare do as you wish?\Such an oppressive feeling... response:	I've never expected it to be such,
context: Just to rescue me...\You jumped into the water...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\You dare...\You dare do as you wish?\Such an oppressive feeling...\I've never expected it to be such, response:	but you're still a vampire after all.
context: You jumped into the water...\Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\You dare...\You dare do as you wish?\Such an oppressive feeling...\I've never expected it to be such,\but you're still a vampire after all. response:	Take this!
context: Once the rosary on her chest is removed,\The vampire blood within Moka will awaken.\You dare...\You dare do as you wish?\Such an oppressive feeling...\I've never expected it to be such,\but you're still a vampire after all.\Take this! response:	Take this!
context: The vampire blood within Moka will awaken.\You dare...\You dare do as you wish?\Such an oppressive feeling...\I've never expected it to be such,\but you're still a vampire after all.\Take this!\Take this! response:	I won't let you girls do as you like!
context: You dare...\You dare do as you wish?\Such an oppressive feeling...\I've never expected it to be such,\but you're still a vampire after all.\Take this!\Take this!\I won't let you girls do as you like! response:	Heh.
context: You dare do as you wish?\Such an oppressive feeling...\I've never expected it to be such,\but you're still a vampire after all.\Take this!\Take this!\I won't let you girls do as you like!\Heh. response:	Mind your own business.
context: Such an oppressive feeling...\I've never expected it to be such,\but you're still a vampire after all.\Take this!\Take this!\I won't let you girls do as you like!\Heh.\Mind your own business. response:	What're you talking about!?
context: I've never expected it to be such,\but you're still a vampire after all.\Take this!\Take this!\I won't let you girls do as you like!\Heh.\Mind your own business.\What're you talking about!? response:	Since you're weak in water, just be frank and accept others' help!
context: but you're still a vampire after all.\Take this!\Take this!\I won't let you girls do as you like!\Heh.\Mind your own business.\What're you talking about!?\Since you're weak in water, just be frank and accept others' help! response:	You poor thing...
context: Take this!\Take this!\I won't let you girls do as you like!\Heh.\Mind your own business.\What're you talking about!?\Since you're weak in water, just be frank and accept others' help!\You poor thing... response:	Getting such a reaction just from getting wet
context: Take this!\I won't let you girls do as you like!\Heh.\Mind your own business.\What're you talking about!?\Since you're weak in water, just be frank and accept others' help!\You poor thing...\Getting such a reaction just from getting wet response:	must feel very painful, isn't it?
context: I won't let you girls do as you like!\Heh.\Mind your own business.\What're you talking about!?\Since you're weak in water, just be frank and accept others' help!\You poor thing...\Getting such a reaction just from getting wet\must feel very painful, isn't it? response:	Stop pushing yourself and just die.
context: Heh.\Mind your own business.\What're you talking about!?\Since you're weak in water, just be frank and accept others' help!\You poor thing...\Getting such a reaction just from getting wet\must feel very painful, isn't it?\Stop pushing yourself and just die. response:	You don't have to care about me.
context: Mind your own business.\What're you talking about!?\Since you're weak in water, just be frank and accept others' help!\You poor thing...\Getting such a reaction just from getting wet\must feel very painful, isn't it?\Stop pushing yourself and just die.\You don't have to care about me. response:	I can finish a small fish like you even with my eyes closed!
context: What're you talking about!?\Since you're weak in water, just be frank and accept others' help!\You poor thing...\Getting such a reaction just from getting wet\must feel very painful, isn't it?\Stop pushing yourself and just die.\You don't have to care about me.\I can finish a small fish like you even with my eyes closed! response:	Small fish?
context: Since you're weak in water, just be frank and accept others' help!\You poor thing...\Getting such a reaction just from getting wet\must feel very painful, isn't it?\Stop pushing yourself and just die.\You don't have to care about me.\I can finish a small fish like you even with my eyes closed!\Small fish? response:	I won't lose even if I die!
context: You poor thing...\Getting such a reaction just from getting wet\must feel very painful, isn't it?\Stop pushing yourself and just die.\You don't have to care about me.\I can finish a small fish like you even with my eyes closed!\Small fish?\I won't lose even if I die! response:	Water is a vampire's weakness, yet water is a mermaid's territory!
context: Getting such a reaction just from getting wet\must feel very painful, isn't it?\Stop pushing yourself and just die.\You don't have to care about me.\I can finish a small fish like you even with my eyes closed!\Small fish?\I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory! response:	You have no chance of victory!
context: must feel very painful, isn't it?\Stop pushing yourself and just die.\You don't have to care about me.\I can finish a small fish like you even with my eyes closed!\Small fish?\I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory! response:	Take this chance and beg for your life!
context: Stop pushing yourself and just die.\You don't have to care about me.\I can finish a small fish like you even with my eyes closed!\Small fish?\I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory!\Take this chance and beg for your life! response:	Don't make me laugh.
context: You don't have to care about me.\I can finish a small fish like you even with my eyes closed!\Small fish?\I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory!\Take this chance and beg for your life!\Don't make me laugh. response:	You're too slow!
context: I can finish a small fish like you even with my eyes closed!\Small fish?\I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory!\Take this chance and beg for your life!\Don't make me laugh.\You're too slow! response:	You actually fell for my trap so easily...
context: Small fish?\I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory!\Take this chance and beg for your life!\Don't make me laugh.\You're too slow!\You actually fell for my trap so easily... response:	You're really a fish after all.
context: I won't lose even if I die!\Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory!\Take this chance and beg for your life!\Don't make me laugh.\You're too slow!\You actually fell for my trap so easily...\You're really a fish after all. response:	Die!
context: Water is a vampire's weakness, yet water is a mermaid's territory!\You have no chance of victory!\Take this chance and beg for your life!\Don't make me laugh.\You're too slow!\You actually fell for my trap so easily...\You're really a fish after all.\Die! response:	Know your place!
context: You have no chance of victory!\Take this chance and beg for your life!\Don't make me laugh.\You're too slow!\You actually fell for my trap so easily...\You're really a fish after all.\Die!\Know your place! response:	I actually got defeated so easily...
context: Take this chance and beg for your life!\Don't make me laugh.\You're too slow!\You actually fell for my trap so easily...\You're really a fish after all.\Die!\Know your place!\I actually got defeated so easily... response:	This week's winner was determined in 85 seconds!
