context: Intro response:	So you're not confident, huh?
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Title
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title response:	The
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The response:	The
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The\The response:	Hero
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The\The\Hero response:	Hero
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The\The\Hero\Hero response:	Barges
context: Overlord at Work!\Overlord at Work!\Title\The\The\Hero\Hero\Barges response:	Barges
context: Overlord at Work!\Title\The\The\Hero\Hero\Barges\Barges response:	into
context: Title\The\The\Hero\Hero\Barges\Barges\into response:	into
context: The\The\Hero\Hero\Barges\Barges\into\into response:	a Fight
context: The\Hero\Hero\Barges\Barges\into\into\a Fight response:	a Fight
context: Hero\Hero\Barges\Barges\into\into\a Fight\a Fight response:	Part A
context: Hero\Barges\Barges\into\into\a Fight\a Fight\Part A response:	Huh?
context: Barges\Barges\into\into\a Fight\a Fight\Part A\Huh? response:	You're cooking in place of Ashiya while he has heatstroke?!
context: Barges\into\into\a Fight\a Fight\Part A\Huh?\You're cooking in place of Ashiya while he has heatstroke?! response:	Oh, so that's how it was.
context: into\into\a Fight\a Fight\Part A\Huh?\You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was. response:	Wow.
context: into\a Fight\a Fight\Part A\Huh?\You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was.\Wow. response:	You've chopped the shiso up so finely. Looks great!
context: a Fight\a Fight\Part A\Huh?\You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was.\Wow.\You've chopped the shiso up so finely. Looks great! response:	It's easy to do.
context: a Fight\Part A\Huh?\You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was.\Wow.\You've chopped the shiso up so finely. Looks great!\It's easy to do. response:	You just need to cut them in half, gather them together, and cut again.
context: Part A\Huh?\You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was.\Wow.\You've chopped the shiso up so finely. Looks great!\It's easy to do.\You just need to cut them in half, gather them together, and cut again. response:	And why's the red leaf lettuce so crisp?
context: Huh?\You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was.\Wow.\You've chopped the shiso up so finely. Looks great!\It's easy to do.\You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp? response:	I rinsed them thoroughly and then dried them.
context: You're cooking in place of Ashiya while he has heatstroke?!\Oh, so that's how it was.\Wow.\You've chopped the shiso up so finely. Looks great!\It's easy to do.\You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them. response:	Wow!
context: Oh, so that's how it was.\Wow.\You've chopped the shiso up so finely. Looks great!\It's easy to do.\You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them.\Wow! response:	You're amazing, Suzuno!
context: Wow.\You've chopped the shiso up so finely. Looks great!\It's easy to do.\You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them.\Wow!\You're amazing, Suzuno! response:	Man, there's too many people here.
context: You've chopped the shiso up so finely. Looks great!\It's easy to do.\You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them.\Wow!\You're amazing, Suzuno!\Man, there's too many people here. response:	Do we really have enough chopsticks and fried rice for everyone?
context: It's easy to do.\You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them.\Wow!\You're amazing, Suzuno!\Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone? response:	Oh, don't worry. I brought some myself.
context: You just need to cut them in half, gather them together, and cut again.\And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them.\Wow!\You're amazing, Suzuno!\Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself. response:	That so?
context: And why's the red leaf lettuce so crisp?\I rinsed them thoroughly and then dried them.\Wow!\You're amazing, Suzuno!\Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself.\That so? response:	Guess it's time to tuck in.
context: I rinsed them thoroughly and then dried them.\Wow!\You're amazing, Suzuno!\Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself.\That so?\Guess it's time to tuck in. response:	Sorry for putting you through so much trouble, Kamazuki.
context: Wow!\You're amazing, Suzuno!\Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself.\That so?\Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki. response:	Oh.
context: You're amazing, Suzuno!\Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself.\That so?\Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki.\Oh. response:	Time for breakfast already?
context: Man, there's too many people here.\Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself.\That so?\Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki.\Oh.\Time for breakfast already? response:	Huh?
context: Do we really have enough chopsticks and fried rice for everyone?\Oh, don't worry. I brought some myself.\That so?\Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki.\Oh.\Time for breakfast already?\Huh? response:	Where am I supposed to sit?
context: Oh, don't worry. I brought some myself.\That so?\Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki.\Oh.\Time for breakfast already?\Huh?\Where am I supposed to sit? response:	What the hell?
context: That so?\Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki.\Oh.\Time for breakfast already?\Huh?\Where am I supposed to sit?\What the hell? response:	Why am I being treated worse than Emi?!
context: Guess it's time to tuck in.\Sorry for putting you through so much trouble, Kamazuki.\Oh.\Time for breakfast already?\Huh?\Where am I supposed to sit?\What the hell?\Why am I being treated worse than Emi?! response:	Guests get preferential treatment.
context: Sorry for putting you through so much trouble, Kamazuki.\Oh.\Time for breakfast already?\Huh?\Where am I supposed to sit?\What the hell?\Why am I being treated worse than Emi?!\Guests get preferential treatment. response:	And aren't these the Sugiya containers from the other day?!
context: Oh.\Time for breakfast already?\Huh?\Where am I supposed to sit?\What the hell?\Why am I being treated worse than Emi?!\Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?! response:	Thanks for the food!
context: Time for breakfast already?\Huh?\Where am I supposed to sit?\What the hell?\Why am I being treated worse than Emi?!\Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?!\Thanks for the food! response:	Thanks for the food.
context: Huh?\Where am I supposed to sit?\What the hell?\Why am I being treated worse than Emi?!\Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?!\Thanks for the food!\Thanks for the food. response:	Hey!
context: Where am I supposed to sit?\What the hell?\Why am I being treated worse than Emi?!\Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?!\Thanks for the food!\Thanks for the food.\Hey! response:	I wish I was as good at cooking as Suzuno.
context: What the hell?\Why am I being treated worse than Emi?!\Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?!\Thanks for the food!\Thanks for the food.\Hey!\I wish I was as good at cooking as Suzuno. response:	You'll improve in no time, Chiho.
context: Why am I being treated worse than Emi?!\Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?!\Thanks for the food!\Thanks for the food.\Hey!\I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho. response:	Really?
context: Guests get preferential treatment.\And aren't these the Sugiya containers from the other day?!\Thanks for the food!\Thanks for the food.\Hey!\I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho.\Really? response:	It sounds all well and good that I'm cooking for them,
context: And aren't these the Sugiya containers from the other day?!\Thanks for the food!\Thanks for the food.\Hey!\I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho.\Really?\It sounds all well and good that I'm cooking for them, response:	but in truth, all I'm doing is getting them to help me finish off my food reserves.
context: Thanks for the food!\Thanks for the food.\Hey!\I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho.\Really?\It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves. response:	I got these in order to minimize food expenditures until I got a job,
context: Thanks for the food.\Hey!\I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho.\Really?\It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves.\I got these in order to minimize food expenditures until I got a job, response:	Huh? I thought I saw some fried chicken earlier.
context: Hey!\I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho.\Really?\It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves.\I got these in order to minimize food expenditures until I got a job,\Huh? I thought I saw some fried chicken earlier. response:	but this is entirely too much to finish off in one summer.
context: I wish I was as good at cooking as Suzuno.\You'll improve in no time, Chiho.\Really?\It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves.\I got these in order to minimize food expenditures until I got a job,\Huh? I thought I saw some fried chicken earlier.\but this is entirely too much to finish off in one summer. response:	Wasn't there chicken?
context: You'll improve in no time, Chiho.\Really?\It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves.\I got these in order to minimize food expenditures until I got a job,\Huh? I thought I saw some fried chicken earlier.\but this is entirely too much to finish off in one summer.\Wasn't there chicken? response:	Hey, where'd it go?
context: Really?\It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves.\I got these in order to minimize food expenditures until I got a job,\Huh? I thought I saw some fried chicken earlier.\but this is entirely too much to finish off in one summer.\Wasn't there chicken?\Hey, where'd it go? response:	By the way, what kind of job do you have in mind?
context: It sounds all well and good that I'm cooking for them,\but in truth, all I'm doing is getting them to help me finish off my food reserves.\I got these in order to minimize food expenditures until I got a job,\Huh? I thought I saw some fried chicken earlier.\but this is entirely too much to finish off in one summer.\Wasn't there chicken?\Hey, where'd it go?\By the way, what kind of job do you have in mind? response:	Did you finish it all off? Hey!
