context: Oh, we're finally back! response:	Hey! Don't touch me in weird places!
context: I had not imagined that Mistress Charlotte\would bring a friend back with her.\So Charlotte is that girl's real name?\Who is it?\I have just returned, Mother.\Stand back! How impolite!\Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name? response:	She never says anything about herself.
context: would bring a friend back with her.\So Charlotte is that girl's real name?\Who is it?\I have just returned, Mother.\Stand back! How impolite!\Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name?\She never says anything about herself. response:	Studying in another country was ordered by her uncle, the King.
context: So Charlotte is that girl's real name?\Who is it?\I have just returned, Mother.\Stand back! How impolite!\Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name?\She never says anything about herself.\Studying in another country was ordered by her uncle, the King. response:	Uncle? Just as I thought, she's a member of the royal family.
context: Who is it?\I have just returned, Mother.\Stand back! How impolite!\Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name?\She never says anything about herself.\Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family. response:	Lady Charlotte's father, the late Count Orleans,
context: I have just returned, Mother.\Stand back! How impolite!\Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name?\She never says anything about herself.\Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans, response:	was the younger brother of the current king.
context: Stand back! How impolite!\Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name?\She never says anything about herself.\Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king. response:	I see. So her father has already passed away.
context: Our mistress calls herself Tabitha?\Why did she come studying abroad, using a fake name?\She never says anything about herself.\Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king.\I see. So her father has already passed away. response:	He was murdered.
context: Why did she come studying abroad, using a fake name?\She never says anything about herself.\Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king.\I see. So her father has already passed away.\He was murdered. response:	If the mistress trusts her heart with you, I am sure it is all right.
context: She never says anything about herself.\Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king.\I see. So her father has already passed away.\He was murdered.\If the mistress trusts her heart with you, I am sure it is all right. response:	I will trust you, Lady Zerbst, in telling you this.
context: Studying in another country was ordered by her uncle, the King.\Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king.\I see. So her father has already passed away.\He was murdered.\If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this. response:	You're someone from the royal family, aren't you?!
context: Uncle? Just as I thought, she's a member of the royal family.\Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king.\I see. So her father has already passed away.\He was murdered.\If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?! response:	Are you going to kill my Charlotte, just like you did my husband?!
context: Lady Charlotte's father, the late Count Orleans,\was the younger brother of the current king.\I see. So her father has already passed away.\He was murdered.\If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?! response:	Count Orleans, despite being the second son of the royal family,
context: was the younger brother of the current king.\I see. So her father has already passed away.\He was murdered.\If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family, response:	was more adept as a mage than his older brother Lord Joseph.
context: I see. So her father has already passed away.\He was murdered.\If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph. response:	Furthermore, he was quite full of charisma and talent.
context: He was murdered.\If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent. response:	Five years ago, when the previous king passed away,
context: If the mistress trusts her heart with you, I am sure it is all right.\I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away, response:	the palace was split in two over
context: I will trust you, Lady Zerbst, in telling you this.\You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away,\the palace was split in two over response:	which son was more worthy of taking the throne.
context: You're someone from the royal family, aren't you?!\Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away,\the palace was split in two over\which son was more worthy of taking the throne. response:	A battle for the heir, huh?
context: Are you going to kill my Charlotte, just like you did my husband?!\Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away,\the palace was split in two over\which son was more worthy of taking the throne.\A battle for the heir, huh? response:	In the midst of that filthy battle,
context: Count Orleans, despite being the second son of the royal family,\was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away,\the palace was split in two over\which son was more worthy of taking the throne.\A battle for the heir, huh?\In the midst of that filthy battle, response:	Count Orleans was murdered by conspiracy.
context: was more adept as a mage than his older brother Lord Joseph.\Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away,\the palace was split in two over\which son was more worthy of taking the throne.\A battle for the heir, huh?\In the midst of that filthy battle,\Count Orleans was murdered by conspiracy. response:	Those that put Lord Joseph to the throne,
context: Furthermore, he was quite full of charisma and talent.\Five years ago, when the previous king passed away,\the palace was split in two over\which son was more worthy of taking the throne.\A battle for the heir, huh?\In the midst of that filthy battle,\Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne, response:	to rid themselves of hassles in the future,
context: Five years ago, when the previous king passed away,\the palace was split in two over\which son was more worthy of taking the throne.\A battle for the heir, huh?\In the midst of that filthy battle,\Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future, response:	next went after the daughter...
context: the palace was split in two over\which son was more worthy of taking the throne.\A battle for the heir, huh?\In the midst of that filthy battle,\Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future,\next went after the daughter... response:	One evening, our Lady and our Mistress were invited to a banquet.
context: which son was more worthy of taking the throne.\A battle for the heir, huh?\In the midst of that filthy battle,\Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future,\next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet. response:	It was laced with water-magic poison that induces insanity.
context: A battle for the heir, huh?\In the midst of that filthy battle,\Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future,\next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity. response:	That became public knowledge,
context: In the midst of that filthy battle,\Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future,\next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity.\That became public knowledge, response:	and the noble responsible for the act was convicted.
context: Count Orleans was murdered by conspiracy.\Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future,\next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity.\That became public knowledge,\and the noble responsible for the act was convicted. response:	The Lady sacrificed herself to save our mistress.
context: Those that put Lord Joseph to the throne,\to rid themselves of hassles in the future,\next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity.\That became public knowledge,\and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress. response:	Ever since... our Lady...
context: to rid themselves of hassles in the future,\next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity.\That became public knowledge,\and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress.\Ever since... our Lady... response:	How horrible...
context: next went after the daughter...\One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity.\That became public knowledge,\and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress.\Ever since... our Lady...\How horrible... response:	To think that this girl might someday go after the throne...
context: One evening, our Lady and our Mistress were invited to a banquet.\It was laced with water-magic poison that induces insanity.\That became public knowledge,\and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress.\Ever since... our Lady...\How horrible...\To think that this girl might someday go after the throne... response:	We just want to live in peace.
context: It was laced with water-magic poison that induces insanity.\That became public knowledge,\and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress.\Ever since... our Lady...\How horrible...\To think that this girl might someday go after the throne...\We just want to live in peace. response:	Get back!
context: That became public knowledge,\and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress.\Ever since... our Lady...\How horrible...\To think that this girl might someday go after the throne...\We just want to live in peace.\Get back! response:	Nobody...
context: and the noble responsible for the act was convicted.\The Lady sacrificed herself to save our mistress.\Ever since... our Lady...\How horrible...\To think that this girl might someday go after the throne...\We just want to live in peace.\Get back!\Nobody... response:	Nobody can take her away from me!
context: The Lady sacrificed herself to save our mistress.\Ever since... our Lady...\How horrible...\To think that this girl might someday go after the throne...\We just want to live in peace.\Get back!\Nobody...\Nobody can take her away from me! response:	This girl... Charlotte is my dear daughter.
context: Ever since... our Lady...\How horrible...\To think that this girl might someday go after the throne...\We just want to live in peace.\Get back!\Nobody...\Nobody can take her away from me!\This girl... Charlotte is my dear daughter. response:	I will come see you again.
context: How horrible...\To think that this girl might someday go after the throne...\We just want to live in peace.\Get back!\Nobody...\Nobody can take her away from me!\This girl... Charlotte is my dear daughter.\I will come see you again. response:	Mother...
context: To think that this girl might someday go after the throne...\We just want to live in peace.\Get back!\Nobody...\Nobody can take her away from me!\This girl... Charlotte is my dear daughter.\I will come see you again.\Mother... response:	Tabitha is the name of the doll that the Lady
context: We just want to live in peace.\Get back!\Nobody...\Nobody can take her away from me!\This girl... Charlotte is my dear daughter.\I will come see you again.\Mother...\Tabitha is the name of the doll that the Lady response:	once gave our mistress as a present.
context: Get back!\Nobody...\Nobody can take her away from me!\This girl... Charlotte is my dear daughter.\I will come see you again.\Mother...\Tabitha is the name of the doll that the Lady\once gave our mistress as a present. response:	From that day, the active and bright Lady Charlotte
context: Nobody...\Nobody can take her away from me!\This girl... Charlotte is my dear daughter.\I will come see you again.\Mother...\Tabitha is the name of the doll that the Lady\once gave our mistress as a present.\From that day, the active and bright Lady Charlotte response:	behaved as if she was someone else.
context: Nobody can take her away from me!\This girl... Charlotte is my dear daughter.\I will come see you again.\Mother...\Tabitha is the name of the doll that the Lady\once gave our mistress as a present.\From that day, the active and bright Lady Charlotte\behaved as if she was someone else. response:	As if she had sealed words and expressions all within herself.
context: This girl... Charlotte is my dear daughter.\I will come see you again.\Mother...\Tabitha is the name of the doll that the Lady\once gave our mistress as a present.\From that day, the active and bright Lady Charlotte\behaved as if she was someone else.\As if she had sealed words and expressions all within herself. response:	Since the incident with the Lady,
context: I will come see you again.\Mother...\Tabitha is the name of the doll that the Lady\once gave our mistress as a present.\From that day, the active and bright Lady Charlotte\behaved as if she was someone else.\As if she had sealed words and expressions all within herself.\Since the incident with the Lady, response:	nobody has dared try to take the life of the mistress.
context: Mother...\Tabitha is the name of the doll that the Lady\once gave our mistress as a present.\From that day, the active and bright Lady Charlotte\behaved as if she was someone else.\As if she had sealed words and expressions all within herself.\Since the incident with the Lady,\nobody has dared try to take the life of the mistress. response:	In return, the Palace used the mistress' high magical powers
context: Tabitha is the name of the doll that the Lady\once gave our mistress as a present.\From that day, the active and bright Lady Charlotte\behaved as if she was someone else.\As if she had sealed words and expressions all within herself.\Since the incident with the Lady,\nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers response:	as reason to force her into difficult tasks,
context: once gave our mistress as a present.\From that day, the active and bright Lady Charlotte\behaved as if she was someone else.\As if she had sealed words and expressions all within herself.\Since the incident with the Lady,\nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks, response:	of which many said the chances for survival were slim.
context: From that day, the active and bright Lady Charlotte\behaved as if she was someone else.\As if she had sealed words and expressions all within herself.\Since the incident with the Lady,\nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks,\of which many said the chances for survival were slim. response:	However, our mistress was able to complete
context: behaved as if she was someone else.\As if she had sealed words and expressions all within herself.\Since the incident with the Lady,\nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks,\of which many said the chances for survival were slim.\However, our mistress was able to complete response:	each and every unjust mission.
context: As if she had sealed words and expressions all within herself.\Since the incident with the Lady,\nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks,\of which many said the chances for survival were slim.\However, our mistress was able to complete\each and every unjust mission. response:	In order to protect herself and the Lady,
context: Since the incident with the Lady,\nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks,\of which many said the chances for survival were slim.\However, our mistress was able to complete\each and every unjust mission.\In order to protect herself and the Lady, response:	putting her own life at risk.
context: nobody has dared try to take the life of the mistress.\In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks,\of which many said the chances for survival were slim.\However, our mistress was able to complete\each and every unjust mission.\In order to protect herself and the Lady,\putting her own life at risk. response:	And the reason why she started studying in Tristein?
context: In return, the Palace used the mistress' high magical powers\as reason to force her into difficult tasks,\of which many said the chances for survival were slim.\However, our mistress was able to complete\each and every unjust mission.\In order to protect herself and the Lady,\putting her own life at risk.\And the reason why she started studying in Tristein? response:	The Palace, seeing that things weren't going according to plan,
context: as reason to force her into difficult tasks,\of which many said the chances for survival were slim.\However, our mistress was able to complete\each and every unjust mission.\In order to protect herself and the Lady,\putting her own life at risk.\And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan, response:	gave her only the title of Chevalier, though her merits
context: of which many said the chances for survival were slim.\However, our mistress was able to complete\each and every unjust mission.\In order to protect herself and the Lady,\putting her own life at risk.\And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits response:	proved her worthy of being given ample property to govern,
context: However, our mistress was able to complete\each and every unjust mission.\In order to protect herself and the Lady,\putting her own life at risk.\And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern, response:	and sent her to a foreign country, as if to do away with trouble.
context: each and every unjust mission.\In order to protect herself and the Lady,\putting her own life at risk.\And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble. response:	Doing away with troubles?
context: In order to protect herself and the Lady,\putting her own life at risk.\And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles? response:	Geez, you're late, Tabitha.
context: putting her own life at risk.\And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles?\Geez, you're late, Tabitha. response:	I want to rid myself of the sweat from this long journey.
context: And the reason why she started studying in Tristein?\The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles?\Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey. response:	It's done.
context: The Palace, seeing that things weren't going according to plan,\gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles?\Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey.\It's done. response:	I've come back to life!
context: gave her only the title of Chevalier, though her merits\proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles?\Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey.\It's done.\I've come back to life! response:	Man, in the end, Japanese people need a good bathtub.
context: proved her worthy of being given ample property to govern,\and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles?\Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey.\It's done.\I've come back to life!\Man, in the end, Japanese people need a good bathtub. response:	Japanese people?
context: and sent her to a foreign country, as if to do away with trouble.\Doing away with troubles?\Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey.\It's done.\I've come back to life!\Man, in the end, Japanese people need a good bathtub.\Japanese people? response:	Oh? What is that?
context: Doing away with troubles?\Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey.\It's done.\I've come back to life!\Man, in the end, Japanese people need a good bathtub.\Japanese people?\Oh? What is that? response:	Siesta?
context: Geez, you're late, Tabitha.\I want to rid myself of the sweat from this long journey.\It's done.\I've come back to life!\Man, in the end, Japanese people need a good bathtub.\Japanese people?\Oh? What is that?\Siesta? response:	Mr. Saito?
context: I want to rid myself of the sweat from this long journey.\It's done.\I've come back to life!\Man, in the end, Japanese people need a good bathtub.\Japanese people?\Oh? What is that?\Siesta?\Mr. Saito? response:	Um, uh, this is...
context: It's done.\I've come back to life!\Man, in the end, Japanese people need a good bathtub.\Japanese people?\Oh? What is that?\Siesta?\Mr. Saito?\Um, uh, this is... response:	Oh, I did it again...
context: I've come back to life!\Man, in the end, Japanese people need a good bathtub.\Japanese people?\Oh? What is that?\Siesta?\Mr. Saito?\Um, uh, this is...\Oh, I did it again... response:	I'm going to get scolded.
context: Man, in the end, Japanese people need a good bathtub.\Japanese people?\Oh? What is that?\Siesta?\Mr. Saito?\Um, uh, this is...\Oh, I did it again...\I'm going to get scolded. response:	Oh, my, my clothes are soaked...
context: Japanese people?\Oh? What is that?\Siesta?\Mr. Saito?\Um, uh, this is...\Oh, I did it again...\I'm going to get scolded.\Oh, my, my clothes are soaked... response:	Are you all right?
context: Oh? What is that?\Siesta?\Mr. Saito?\Um, uh, this is...\Oh, I did it again...\I'm going to get scolded.\Oh, my, my clothes are soaked...\Are you all right? response:	Yes.
context: Siesta?\Mr. Saito?\Um, uh, this is...\Oh, I did it again...\I'm going to get scolded.\Oh, my, my clothes are soaked...\Are you all right?\Yes. response:	What are you doing in there?
context: Mr. Saito?\Um, uh, this is...\Oh, I did it again...\I'm going to get scolded.\Oh, my, my clothes are soaked...\Are you all right?\Yes.\What are you doing in there? response:	Oh, this? This is how you take baths in my country,
context: Um, uh, this is...\Oh, I did it again...\I'm going to get scolded.\Oh, my, my clothes are soaked...\Are you all right?\Yes.\What are you doing in there?\Oh, this? This is how you take baths in my country, response:	though this is a very old-fashioned way of doing so.
context: Oh, I did it again...\I'm going to get scolded.\Oh, my, my clothes are soaked...\Are you all right?\Yes.\What are you doing in there?\Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so. response:	Is it a bath?
context: I'm going to get scolded.\Oh, my, my clothes are soaked...\Are you all right?\Yes.\What are you doing in there?\Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so.\Is it a bath? response:	I found it being thrown out, so I made it myself.
context: Oh, my, my clothes are soaked...\Are you all right?\Yes.\What are you doing in there?\Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so.\Is it a bath?\I found it being thrown out, so I made it myself. response:	I see. How wonderful!
context: Are you all right?\Yes.\What are you doing in there?\Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so.\Is it a bath?\I found it being thrown out, so I made it myself.\I see. How wonderful! response:	I'd like to try it!
context: Yes.\What are you doing in there?\Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so.\Is it a bath?\I found it being thrown out, so I made it myself.\I see. How wonderful!\I'd like to try it! response:	Then, care to join me?
context: What are you doing in there?\Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so.\Is it a bath?\I found it being thrown out, so I made it myself.\I see. How wonderful!\I'd like to try it!\Then, care to join me? response:	Just kidding.
context: Oh, this? This is how you take baths in my country,\though this is a very old-fashioned way of doing so.\Is it a bath?\I found it being thrown out, so I made it myself.\I see. How wonderful!\I'd like to try it!\Then, care to join me?\Just kidding. response:	Is it all right?
context: though this is a very old-fashioned way of doing so.\Is it a bath?\I found it being thrown out, so I made it myself.\I see. How wonderful!\I'd like to try it!\Then, care to join me?\Just kidding.\Is it all right? response:	Wait, this won't be good, Siesta!
context: Is it a bath?\I found it being thrown out, so I made it myself.\I see. How wonderful!\I'd like to try it!\Then, care to join me?\Just kidding.\Is it all right?\Wait, this won't be good, Siesta! response:	Nobody will be here, and it's dark, so it's all right.
context: I found it being thrown out, so I made it myself.\I see. How wonderful!\I'd like to try it!\Then, care to join me?\Just kidding.\Is it all right?\Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right. response:	Um, Miss Siesta, you know, I am a guy...
context: I see. How wonderful!\I'd like to try it!\Then, care to join me?\Just kidding.\Is it all right?\Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy... response:	I know that you wouldn't do anything strange, Mr. Saito.
context: I'd like to try it!\Then, care to join me?\Just kidding.\Is it all right?\Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito. response:	It's kinda complicated to be told that so easily...
context: Then, care to join me?\Just kidding.\Is it all right?\Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily... response:	Hi. Been waiting?
context: Just kidding.\Is it all right?\Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily...\Hi. Been waiting? response:	I'm sorry I called you out here.
context: Is it all right?\Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily...\Hi. Been waiting?\I'm sorry I called you out here. response:	But the moon was just so beautiful.
context: Wait, this won't be good, Siesta!\Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily...\Hi. Been waiting?\I'm sorry I called you out here.\But the moon was just so beautiful. response:	I can dry my clothes out too, so it was just perfect.
context: Nobody will be here, and it's dark, so it's all right.\Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily...\Hi. Been waiting?\I'm sorry I called you out here.\But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect. response:	Really?
context: Um, Miss Siesta, you know, I am a guy...\I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily...\Hi. Been waiting?\I'm sorry I called you out here.\But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect.\Really? response:	Please don't be so shy.
context: I know that you wouldn't do anything strange, Mr. Saito.\It's kinda complicated to be told that so easily...\Hi. Been waiting?\I'm sorry I called you out here.\But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect.\Really?\Please don't be so shy. response:	You're making me embarrassed too.
context: It's kinda complicated to be told that so easily...\Hi. Been waiting?\I'm sorry I called you out here.\But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect.\Really?\Please don't be so shy.\You're making me embarrassed too. response:	Well... You can look over here...
context: Hi. Been waiting?\I'm sorry I called you out here.\But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect.\Really?\Please don't be so shy.\You're making me embarrassed too.\Well... You can look over here... response:	It's dark so you can't really see.
context: I'm sorry I called you out here.\But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect.\Really?\Please don't be so shy.\You're making me embarrassed too.\Well... You can look over here...\It's dark so you can't really see. response:	Your country's baths feel nice, Mr. Saito.
context: But the moon was just so beautiful.\I can dry my clothes out too, so it was just perfect.\Really?\Please don't be so shy.\You're making me embarrassed too.\Well... You can look over here...\It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito. response:	You know how the baths here are all steam, right?
context: I can dry my clothes out too, so it was just perfect.\Really?\Please don't be so shy.\You're making me embarrassed too.\Well... You can look over here...\It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right? response:	I just have to have it like this.
context: Really?\Please don't be so shy.\You're making me embarrassed too.\Well... You can look over here...\It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right?\I just have to have it like this. response:	What kind of place is your country, Mr. Saito?
context: Please don't be so shy.\You're making me embarrassed too.\Well... You can look over here...\It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right?\I just have to have it like this.\What kind of place is your country, Mr. Saito? response:	My country?
context: You're making me embarrassed too.\Well... You can look over here...\It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right?\I just have to have it like this.\What kind of place is your country, Mr. Saito?\My country? response:	Yes, please let me hear about it.
context: Well... You can look over here...\It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right?\I just have to have it like this.\What kind of place is your country, Mr. Saito?\My country?\Yes, please let me hear about it. response:	Let's see... There's only one moon, and there are no mages,
context: It's dark so you can't really see.\Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right?\I just have to have it like this.\What kind of place is your country, Mr. Saito?\My country?\Yes, please let me hear about it.\Let's see... There's only one moon, and there are no mages, response:	but you can do most things with electricity.
context: Your country's baths feel nice, Mr. Saito.\You know how the baths here are all steam, right?\I just have to have it like this.\What kind of place is your country, Mr. Saito?\My country?\Yes, please let me hear about it.\Let's see... There's only one moon, and there are no mages,\but you can do most things with electricity. response:	And...
context: You know how the baths here are all steam, right?\I just have to have it like this.\What kind of place is your country, Mr. Saito?\My country?\Yes, please let me hear about it.\Let's see... There's only one moon, and there are no mages,\but you can do most things with electricity.\And... response:	Mr. Saito!
context: I just have to have it like this.\What kind of place is your country, Mr. Saito?\My country?\Yes, please let me hear about it.\Let's see... There's only one moon, and there are no mages,\but you can do most things with electricity.\And...\Mr. Saito! response:	One moon and no mages?
context: What kind of place is your country, Mr. Saito?\My country?\Yes, please let me hear about it.\Let's see... There's only one moon, and there are no mages,\but you can do most things with electricity.\And...\Mr. Saito!\One moon and no mages? response:	You're making fun of me because I'm from a rural village, aren't you?!
