context: Abe no Seimei? response:	Yes. A powerful onmyoji from the Heian period.
context: Ancestors?\Your grandpa's grandpa's grandpa... a long way back.\My former owner.\You've been here that long, Yuki?\Yup.\In the last century or so, you're the only one who's been able to see me.\I see...\Yuki's been here... all alone... protecting the storehouse. response:	Okay, why not go with us and watch over them?
context: Your grandpa's grandpa's grandpa... a long way back.\My former owner.\You've been here that long, Yuki?\Yup.\In the last century or so, you're the only one who's been able to see me.\I see...\Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them? response:	You must be bored in here all the time, right?
context: My former owner.\You've been here that long, Yuki?\Yup.\In the last century or so, you're the only one who's been able to see me.\I see...\Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them?\You must be bored in here all the time, right? response:	My ancestor wouldn't have wanted you to stay in the darkness forever.
context: You've been here that long, Yuki?\Yup.\In the last century or so, you're the only one who's been able to see me.\I see...\Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them?\You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever. response:	But...
context: Yup.\In the last century or so, you're the only one who's been able to see me.\I see...\Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them?\You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever.\But... response:	I want to be with you.
context: In the last century or so, you're the only one who's been able to see me.\I see...\Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them?\You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever.\But...\I want to be with you. response:	Is that okay?
context: I see...\Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them?\You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever.\But...\I want to be with you.\Is that okay? response:	Arata!
context: Yuki's been here... all alone... protecting the storehouse.\Okay, why not go with us and watch over them?\You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever.\But...\I want to be with you.\Is that okay?\Arata! response:	I'm so happy!
context: Okay, why not go with us and watch over them?\You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever.\But...\I want to be with you.\Is that okay?\Arata!\I'm so happy! response:	I actually... I actually...
context: You must be bored in here all the time, right?\My ancestor wouldn't have wanted you to stay in the darkness forever.\But...\I want to be with you.\Is that okay?\Arata!\I'm so happy!\I actually... I actually... response:	I was so lonely by myself.
context: My ancestor wouldn't have wanted you to stay in the darkness forever.\But...\I want to be with you.\Is that okay?\Arata!\I'm so happy!\I actually... I actually...\I was so lonely by myself. response:	I'm sorry, Yuki.
context: But...\I want to be with you.\Is that okay?\Arata!\I'm so happy!\I actually... I actually...\I was so lonely by myself.\I'm sorry, Yuki. response:	I should've realized sooner.
context: I want to be with you.\Is that okay?\Arata!\I'm so happy!\I actually... I actually...\I was so lonely by myself.\I'm sorry, Yuki.\I should've realized sooner. response:	Being alone is...
context: Is that okay?\Arata!\I'm so happy!\I actually... I actually...\I was so lonely by myself.\I'm sorry, Yuki.\I should've realized sooner.\Being alone is... response:	Arata, this place is huge!
context: Arata!\I'm so happy!\I actually... I actually...\I was so lonely by myself.\I'm sorry, Yuki.\I should've realized sooner.\Being alone is...\Arata, this place is huge! response:	It's not like the storehouse at all.
context: I'm so happy!\I actually... I actually...\I was so lonely by myself.\I'm sorry, Yuki.\I should've realized sooner.\Being alone is...\Arata, this place is huge!\It's not like the storehouse at all. response:	Of course.
context: I actually... I actually...\I was so lonely by myself.\I'm sorry, Yuki.\I should've realized sooner.\Being alone is...\Arata, this place is huge!\It's not like the storehouse at all.\Of course. response:	Hey, you.
context: I was so lonely by myself.\I'm sorry, Yuki.\I should've realized sooner.\Being alone is...\Arata, this place is huge!\It's not like the storehouse at all.\Of course.\Hey, you. response:	Over here.
context: I'm sorry, Yuki.\I should've realized sooner.\Being alone is...\Arata, this place is huge!\It's not like the storehouse at all.\Of course.\Hey, you.\Over here. response:	Miyako Arata, right?
context: I should've realized sooner.\Being alone is...\Arata, this place is huge!\It's not like the storehouse at all.\Of course.\Hey, you.\Over here.\Miyako Arata, right? response:	Arata, you know him?
context: Being alone is...\Arata, this place is huge!\It's not like the storehouse at all.\Of course.\Hey, you.\Over here.\Miyako Arata, right?\Arata, you know him? response:	Taroubou-sa...
context: Arata, this place is huge!\It's not like the storehouse at all.\Of course.\Hey, you.\Over here.\Miyako Arata, right?\Arata, you know him?\Taroubou-sa... response:	What happened to you? Those bruises...
context: It's not like the storehouse at all.\Of course.\Hey, you.\Over here.\Miyako Arata, right?\Arata, you know him?\Taroubou-sa...\What happened to you? Those bruises... response:	Well, some stuff happened.
context: Of course.\Hey, you.\Over here.\Miyako Arata, right?\Arata, you know him?\Taroubou-sa...\What happened to you? Those bruises...\Well, some stuff happened. response:	I got beat up.
context: Hey, you.\Over here.\Miyako Arata, right?\Arata, you know him?\Taroubou-sa...\What happened to you? Those bruises...\Well, some stuff happened.\I got beat up. response:	Everybody's against it,
context: Over here.\Miyako Arata, right?\Arata, you know him?\Taroubou-sa...\What happened to you? Those bruises...\Well, some stuff happened.\I got beat up.\Everybody's against it, response:	and my dad and her relatives are fighting a lot.
context: Miyako Arata, right?\Arata, you know him?\Taroubou-sa...\What happened to you? Those bruises...\Well, some stuff happened.\I got beat up.\Everybody's against it,\and my dad and her relatives are fighting a lot. response:	I don't know what'll happen now, honestly.
context: Arata, you know him?\Taroubou-sa...\What happened to you? Those bruises...\Well, some stuff happened.\I got beat up.\Everybody's against it,\and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly. response:	But you cheered us on, didn't you?
context: Taroubou-sa...\What happened to you? Those bruises...\Well, some stuff happened.\I got beat up.\Everybody's against it,\and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly.\But you cheered us on, didn't you? response:	I really thought you made a good couple. That's all.
context: What happened to you? Those bruises...\Well, some stuff happened.\I got beat up.\Everybody's against it,\and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly.\But you cheered us on, didn't you?\I really thought you made a good couple. That's all. response:	That made me pretty happy.
context: Well, some stuff happened.\I got beat up.\Everybody's against it,\and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly.\But you cheered us on, didn't you?\I really thought you made a good couple. That's all.\That made me pretty happy. response:	So... thanks.
context: I got beat up.\Everybody's against it,\and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly.\But you cheered us on, didn't you?\I really thought you made a good couple. That's all.\That made me pretty happy.\So... thanks. response:	I'm happy, too!
context: Everybody's against it,\and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly.\But you cheered us on, didn't you?\I really thought you made a good couple. That's all.\That made me pretty happy.\So... thanks.\I'm happy, too! response:	Since I get to talk to you!
context: and my dad and her relatives are fighting a lot.\I don't know what'll happen now, honestly.\But you cheered us on, didn't you?\I really thought you made a good couple. That's all.\That made me pretty happy.\So... thanks.\I'm happy, too!\Since I get to talk to you! response:	I always wanted to!
context: I don't know what'll happen now, honestly.\But you cheered us on, didn't you?\I really thought you made a good couple. That's all.\That made me pretty happy.\So... thanks.\I'm happy, too!\Since I get to talk to you!\I always wanted to! response:	Yeah. Me, too.
context: But you cheered us on, didn't you?\I really thought you made a good couple. That's all.\That made me pretty happy.\So... thanks.\I'm happy, too!\Since I get to talk to you!\I always wanted to!\Yeah. Me, too. response:	Section Chief Director
context: I really thought you made a good couple. That's all.\That made me pretty happy.\So... thanks.\I'm happy, too!\Since I get to talk to you!\I always wanted to!\Yeah. Me, too.\Section Chief Director response:	Senda
context: That made me pretty happy.\So... thanks.\I'm happy, too!\Since I get to talk to you!\I always wanted to!\Yeah. Me, too.\Section Chief Director\Senda response:	Unsolved Missing Girl Cases in Tokyo
context: So... thanks.\I'm happy, too!\Since I get to talk to you!\I always wanted to!\Yeah. Me, too.\Section Chief Director\Senda\Unsolved Missing Girl Cases in Tokyo response:	May 13th
context: I'm happy, too!\Since I get to talk to you!\I always wanted to!\Yeah. Me, too.\Section Chief Director\Senda\Unsolved Missing Girl Cases in Tokyo\May 13th response:	Shinjuku Imperial Gardens
context: Since I get to talk to you!\I always wanted to!\Yeah. Me, too.\Section Chief Director\Senda\Unsolved Missing Girl Cases in Tokyo\May 13th\Shinjuku Imperial Gardens response:	The Anothers are quiet today, huh?
context: I always wanted to!\Yeah. Me, too.\Section Chief Director\Senda\Unsolved Missing Girl Cases in Tokyo\May 13th\Shinjuku Imperial Gardens\The Anothers are quiet today, huh? response:	Wish it were always like this.
context: Yeah. Me, too.\Section Chief Director\Senda\Unsolved Missing Girl Cases in Tokyo\May 13th\Shinjuku Imperial Gardens\The Anothers are quiet today, huh?\Wish it were always like this. response:	What's that?
context: Section Chief Director\Senda\Unsolved Missing Girl Cases in Tokyo\May 13th\Shinjuku Imperial Gardens\The Anothers are quiet today, huh?\Wish it were always like this.\What's that? response:	A bird?
context: Senda\Unsolved Missing Girl Cases in Tokyo\May 13th\Shinjuku Imperial Gardens\The Anothers are quiet today, huh?\Wish it were always like this.\What's that?\A bird? response:	No, it's way too big for that.
context: Unsolved Missing Girl Cases in Tokyo\May 13th\Shinjuku Imperial Gardens\The Anothers are quiet today, huh?\Wish it were always like this.\What's that?\A bird?\No, it's way too big for that. response:	What's on top of it?
context: May 13th\Shinjuku Imperial Gardens\The Anothers are quiet today, huh?\Wish it were always like this.\What's that?\A bird?\No, it's way too big for that.\What's on top of it? response:	A person?
context: Shinjuku Imperial Gardens\The Anothers are quiet today, huh?\Wish it were always like this.\What's that?\A bird?\No, it's way too big for that.\What's on top of it?\A person? response:	May 13th
context: The Anothers are quiet today, huh?\Wish it were always like this.\What's that?\A bird?\No, it's way too big for that.\What's on top of it?\A person?\May 13th response:	Morning.
context: Wish it were always like this.\What's that?\A bird?\No, it's way too big for that.\What's on top of it?\A person?\May 13th\Morning. response:	Hey, morning.
context: What's that?\A bird?\No, it's way too big for that.\What's on top of it?\A person?\May 13th\Morning.\Hey, morning. response:	Everybody's here now.
context: A bird?\No, it's way too big for that.\What's on top of it?\A person?\May 13th\Morning.\Hey, morning.\Everybody's here now. response:	We have something we need to deal with immediately.
context: No, it's way too big for that.\What's on top of it?\A person?\May 13th\Morning.\Hey, morning.\Everybody's here now.\We have something we need to deal with immediately. response:	On the Shibuya Ward side of the Shinjuku Imperial Gardens,
context: What's on top of it?\A person?\May 13th\Morning.\Hey, morning.\Everybody's here now.\We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens, response:	somebody witnessed a kisha.
context: A person?\May 13th\Morning.\Hey, morning.\Everybody's here now.\We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha. response:	A kisha?
context: May 13th\Morning.\Hey, morning.\Everybody's here now.\We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha.\A kisha? response:	Kisha
context: Morning.\Hey, morning.\Everybody's here now.\We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha.\A kisha?\Kisha response:	This is a kisha.
context: Hey, morning.\Everybody's here now.\We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha.\A kisha?\Kisha\This is a kisha. response:	A Chinese Another. A monstrous bird that brings disaster.
context: Everybody's here now.\We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha.\A kisha?\Kisha\This is a kisha.\A Chinese Another. A monstrous bird that brings disaster. response:	It's got ten necks and nine heads, so it's also called a nine-headed bird.
context: We have something we need to deal with immediately.\On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha.\A kisha?\Kisha\This is a kisha.\A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird. response:	We've been getting reports of sightings for a while now, actually.
context: On the Shibuya Ward side of the Shinjuku Imperial Gardens,\somebody witnessed a kisha.\A kisha?\Kisha\This is a kisha.\A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually. response:	In January, it was seen in Kyoto.
context: somebody witnessed a kisha.\A kisha?\Kisha\This is a kisha.\A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto. response:	February, Aichi. And then it kept heading east.
context: A kisha?\Kisha\This is a kisha.\A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east. response:	Aichi in February?
context: Kisha\This is a kisha.\A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east.\Aichi in February? response:	Yes. The Izuna Incident.
context: This is a kisha.\A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east.\Aichi in February?\Yes. The Izuna Incident. response:	What are you talking about? Izuna?
context: A Chinese Another. A monstrous bird that brings disaster.\It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east.\Aichi in February?\Yes. The Izuna Incident.\What are you talking about? Izuna? response:	Aichi Izuna Incident Video Documentation
context: It's got ten necks and nine heads, so it's also called a nine-headed bird.\We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east.\Aichi in February?\Yes. The Izuna Incident.\What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation response:	Aichi Nocturnal Community Relations
context: We've been getting reports of sightings for a while now, actually.\In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east.\Aichi in February?\Yes. The Izuna Incident.\What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations response:	First, look at this.
context: In January, it was seen in Kyoto.\February, Aichi. And then it kept heading east.\Aichi in February?\Yes. The Izuna Incident.\What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations\First, look at this. response:	Senpai, do we have to do this?
context: February, Aichi. And then it kept heading east.\Aichi in February?\Yes. The Izuna Incident.\What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations\First, look at this.\Senpai, do we have to do this? response:	An izuna is a type of weasel Another.
context: Aichi in February?\Yes. The Izuna Incident.\What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations\First, look at this.\Senpai, do we have to do this?\An izuna is a type of weasel Another. response:	Of course we do, it's our job.
context: Yes. The Izuna Incident.\What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations\First, look at this.\Senpai, do we have to do this?\An izuna is a type of weasel Another.\Of course we do, it's our job. response:	Its tail is made of a metal so supple, it's called living iron.
context: What are you talking about? Izuna?\Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations\First, look at this.\Senpai, do we have to do this?\An izuna is a type of weasel Another.\Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron. response:	It's used in rituals.
context: Aichi Izuna Incident Video Documentation\Aichi Nocturnal Community Relations\First, look at this.\Senpai, do we have to do this?\An izuna is a type of weasel Another.\Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron.\It's used in rituals. response:	Is that them?
context: Aichi Nocturnal Community Relations\First, look at this.\Senpai, do we have to do this?\An izuna is a type of weasel Another.\Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron.\It's used in rituals.\Is that them? response:	B-Blood!
context: First, look at this.\Senpai, do we have to do this?\An izuna is a type of weasel Another.\Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron.\It's used in rituals.\Is that them?\B-Blood! response:	Miyako-kun, got it?
context: Senpai, do we have to do this?\An izuna is a type of weasel Another.\Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron.\It's used in rituals.\Is that them?\B-Blood!\Miyako-kun, got it? response:	Izuna with their tails cut off were found in large numbers in Aichi Prefecture.
context: An izuna is a type of weasel Another.\Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron.\It's used in rituals.\Is that them?\B-Blood!\Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture. response:	That's the Izuna Incident.
context: Of course we do, it's our job.\Its tail is made of a metal so supple, it's called living iron.\It's used in rituals.\Is that them?\B-Blood!\Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident. response:	But that's not all.
context: Its tail is made of a metal so supple, it's called living iron.\It's used in rituals.\Is that them?\B-Blood!\Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident.\But that's not all. response:	That's the one from before?
context: It's used in rituals.\Is that them?\B-Blood!\Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident.\But that's not all.\That's the one from before? response:	Yeah, it was there.
context: Is that them?\B-Blood!\Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident.\But that's not all.\That's the one from before?\Yeah, it was there. response:	Shinjuku Imperial Gardens
context: B-Blood!\Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident.\But that's not all.\That's the one from before?\Yeah, it was there.\Shinjuku Imperial Gardens response:	Head to the gardens and look for traces of the kisha.
context: Miyako-kun, got it?\Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident.\But that's not all.\That's the one from before?\Yeah, it was there.\Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha. response:	One of its necks is continually weeping blood, after all.
context: Izuna with their tails cut off were found in large numbers in Aichi Prefecture.\That's the Izuna Incident.\But that's not all.\That's the one from before?\Yeah, it was there.\Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all. response:	Look at all this blood.
context: That's the Izuna Incident.\But that's not all.\That's the one from before?\Yeah, it was there.\Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all.\Look at all this blood. response:	It's settled, then.
context: But that's not all.\That's the one from before?\Yeah, it was there.\Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all.\Look at all this blood.\It's settled, then. response:	Is this kisha thing that bad?
context: That's the one from before?\Yeah, it was there.\Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all.\Look at all this blood.\It's settled, then.\Is this kisha thing that bad? response:	This blood excites Anothers.
context: Yeah, it was there.\Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all.\Look at all this blood.\It's settled, then.\Is this kisha thing that bad?\This blood excites Anothers. response:	If a kisha shows up, assume that Another incidents are going to more than double.
context: Shinjuku Imperial Gardens\Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all.\Look at all this blood.\It's settled, then.\Is this kisha thing that bad?\This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double. response:	That is bad.
context: Head to the gardens and look for traces of the kisha.\One of its necks is continually weeping blood, after all.\Look at all this blood.\It's settled, then.\Is this kisha thing that bad?\This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double.\That is bad. response:	All we can do is be careful and work overtime.
context: One of its necks is continually weeping blood, after all.\Look at all this blood.\It's settled, then.\Is this kisha thing that bad?\This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double.\That is bad.\All we can do is be careful and work overtime. response:	And pray it goes away as soon as possible.
context: Look at all this blood.\It's settled, then.\Is this kisha thing that bad?\This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double.\That is bad.\All we can do is be careful and work overtime.\And pray it goes away as soon as possible. response:	Could we talk to it?
context: It's settled, then.\Is this kisha thing that bad?\This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double.\That is bad.\All we can do is be careful and work overtime.\And pray it goes away as soon as possible.\Could we talk to it? response:	I can understand its language.
context: Is this kisha thing that bad?\This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double.\That is bad.\All we can do is be careful and work overtime.\And pray it goes away as soon as possible.\Could we talk to it?\I can understand its language. response:	So I could tell it that it's causing problems and ask it to leave.
context: This blood excites Anothers.\If a kisha shows up, assume that Another incidents are going to more than double.\That is bad.\All we can do is be careful and work overtime.\And pray it goes away as soon as possible.\Could we talk to it?\I can understand its language.\So I could tell it that it's causing problems and ask it to leave. response:	Listen, it's an Another. Not a person.
context: If a kisha shows up, assume that Another incidents are going to more than double.\That is bad.\All we can do is be careful and work overtime.\And pray it goes away as soon as possible.\Could we talk to it?\I can understand its language.\So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person. response:	Talking to them is like talking to a typhoon or a volcano.
context: That is bad.\All we can do is be careful and work overtime.\And pray it goes away as soon as possible.\Could we talk to it?\I can understand its language.\So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano. response:	But...
context: All we can do is be careful and work overtime.\And pray it goes away as soon as possible.\Could we talk to it?\I can understand its language.\So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano.\But... response:	It's a side effect of the Ears of Sand.
context: And pray it goes away as soon as possible.\Could we talk to it?\I can understand its language.\So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano.\But...\It's a side effect of the Ears of Sand. response:	You've got the ability to understand them, as well as guts.
context: Could we talk to it?\I can understand its language.\So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano.\But...\It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts. response:	It's making them seem closer than they are.
context: I can understand its language.\So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano.\But...\It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts.\It's making them seem closer than they are. response:	What will you do if they demand your life in exchange?
context: So I could tell it that it's causing problems and ask it to leave.\Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano.\But...\It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts.\It's making them seem closer than they are.\What will you do if they demand your life in exchange? response:	Human common sense doesn't work with them.
context: Listen, it's an Another. Not a person.\Talking to them is like talking to a typhoon or a volcano.\But...\It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts.\It's making them seem closer than they are.\What will you do if they demand your life in exchange?\Human common sense doesn't work with them. response:	You should learn more about the scary parts of Anothers.
context: Talking to them is like talking to a typhoon or a volcano.\But...\It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts.\It's making them seem closer than they are.\What will you do if they demand your life in exchange?\Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers. response:	Human common sense doesn't work with them, huh?
context: But...\It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts.\It's making them seem closer than they are.\What will you do if they demand your life in exchange?\Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh? response:	We can't fly for a while.
context: It's a side effect of the Ears of Sand.\You've got the ability to understand them, as well as guts.\It's making them seem closer than they are.\What will you do if they demand your life in exchange?\Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh?\We can't fly for a while. response:	Those guys are awful.
context: You've got the ability to understand them, as well as guts.\It's making them seem closer than they are.\What will you do if they demand your life in exchange?\Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh?\We can't fly for a while.\Those guys are awful. response:	That's right.
context: It's making them seem closer than they are.\What will you do if they demand your life in exchange?\Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh?\We can't fly for a while.\Those guys are awful.\That's right. response:	But we can't fight them, so what do we do?
context: What will you do if they demand your life in exchange?\Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh?\We can't fly for a while.\Those guys are awful.\That's right.\But we can't fight them, so what do we do? response:	We'll be attacked by a cat or something.
context: Human common sense doesn't work with them.\You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh?\We can't fly for a while.\Those guys are awful.\That's right.\But we can't fight them, so what do we do?\We'll be attacked by a cat or something. response:	You can't fly?
context: You should learn more about the scary parts of Anothers.\Human common sense doesn't work with them, huh?\We can't fly for a while.\Those guys are awful.\That's right.\But we can't fight them, so what do we do?\We'll be attacked by a cat or something.\You can't fly? response:	He found us!
context: Human common sense doesn't work with them, huh?\We can't fly for a while.\Those guys are awful.\That's right.\But we can't fight them, so what do we do?\We'll be attacked by a cat or something.\You can't fly?\He found us! response:	A human found us!
context: We can't fly for a while.\Those guys are awful.\That's right.\But we can't fight them, so what do we do?\We'll be attacked by a cat or something.\You can't fly?\He found us!\A human found us! response:	Run!
context: Those guys are awful.\That's right.\But we can't fight them, so what do we do?\We'll be attacked by a cat or something.\You can't fly?\He found us!\A human found us!\Run! response:	At a time when we can't fly?
context: That's right.\But we can't fight them, so what do we do?\We'll be attacked by a cat or something.\You can't fly?\He found us!\A human found us!\Run!\At a time when we can't fly? response:	I know this guy!
context: But we can't fight them, so what do we do?\We'll be attacked by a cat or something.\You can't fly?\He found us!\A human found us!\Run!\At a time when we can't fly?\I know this guy! response:	He's the lowest on the totem pole at Shinjuku City Hall!
context: We'll be attacked by a cat or something.\You can't fly?\He found us!\A human found us!\Run!\At a time when we can't fly?\I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall! response:	The lowest?
context: You can't fly?\He found us!\A human found us!\Run!\At a time when we can't fly?\I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall!\The lowest? response:	The lowest!
context: He found us!\A human found us!\Run!\At a time when we can't fly?\I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall!\The lowest?\The lowest! response:	Listen, you guys!
context: A human found us!\Run!\At a time when we can't fly?\I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall!\The lowest?\The lowest!\Listen, you guys! response:	What is it, Miyako?
context: Run!\At a time when we can't fly?\I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall!\The lowest?\The lowest!\Listen, you guys!\What is it, Miyako? response:	Sakaki-san?
context: At a time when we can't fly?\I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall!\The lowest?\The lowest!\Listen, you guys!\What is it, Miyako?\Sakaki-san? response:	The fairies are upset about not being able to fly.
context: I know this guy!\He's the lowest on the totem pole at Shinjuku City Hall!\The lowest?\The lowest!\Listen, you guys!\What is it, Miyako?\Sakaki-san?\The fairies are upset about not being able to fly. response:	We need powder for our wings.
context: He's the lowest on the totem pole at Shinjuku City Hall!\The lowest?\The lowest!\Listen, you guys!\What is it, Miyako?\Sakaki-san?\The fairies are upset about not being able to fly.\We need powder for our wings. response:	But some weird person on a big bird took our powder.
context: The lowest?\The lowest!\Listen, you guys!\What is it, Miyako?\Sakaki-san?\The fairies are upset about not being able to fly.\We need powder for our wings.\But some weird person on a big bird took our powder. response:	It was a pretty man with long hair.
