context: All right! response:	We're done for... This is the end...
context: Pai-Pai? D-san?\You're acting weird.\The crazed bird has appeared once more,\scattering the innocent with iron.\Hands off this one, guys!\How can you say that?\There's already been several deaths!\We don't know for certain that an alien is behind them! response:	But if it is,
context: You're acting weird.\The crazed bird has appeared once more,\scattering the innocent with iron.\Hands off this one, guys!\How can you say that?\There's already been several deaths!\We don't know for certain that an alien is behind them!\But if it is, response:	we have to deal with it, as Gatchaman.
context: The crazed bird has appeared once more,\scattering the innocent with iron.\Hands off this one, guys!\How can you say that?\There's already been several deaths!\We don't know for certain that an alien is behind them!\But if it is,\we have to deal with it, as Gatchaman. response:	Listen, do not become involved!
context: scattering the innocent with iron.\Hands off this one, guys!\How can you say that?\There's already been several deaths!\We don't know for certain that an alien is behind them!\But if it is,\we have to deal with it, as Gatchaman.\Listen, do not become involved! response:	That's a direct order!
context: Hands off this one, guys!\How can you say that?\There's already been several deaths!\We don't know for certain that an alien is behind them!\But if it is,\we have to deal with it, as Gatchaman.\Listen, do not become involved!\That's a direct order! response:	I'm talking especially to you, Newbie! Don't do anything!
context: How can you say that?\There's already been several deaths!\We don't know for certain that an alien is behind them!\But if it is,\we have to deal with it, as Gatchaman.\Listen, do not become involved!\That's a direct order!\I'm talking especially to you, Newbie! Don't do anything! response:	Boo!
context: There's already been several deaths!\We don't know for certain that an alien is behind them!\But if it is,\we have to deal with it, as Gatchaman.\Listen, do not become involved!\That's a direct order!\I'm talking especially to you, Newbie! Don't do anything!\Boo! response:	Sugane, Utsutsu, keep an eye on her!
context: We don't know for certain that an alien is behind them!\But if it is,\we have to deal with it, as Gatchaman.\Listen, do not become involved!\That's a direct order!\I'm talking especially to you, Newbie! Don't do anything!\Boo!\Sugane, Utsutsu, keep an eye on her! response:	That will be all! No more discussion!
context: But if it is,\we have to deal with it, as Gatchaman.\Listen, do not become involved!\That's a direct order!\I'm talking especially to you, Newbie! Don't do anything!\Boo!\Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion! response:	Are you scared?
context: we have to deal with it, as Gatchaman.\Listen, do not become involved!\That's a direct order!\I'm talking especially to you, Newbie! Don't do anything!\Boo!\Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion!\Are you scared? response:	You're pathetic, Leader.
context: Listen, do not become involved!\That's a direct order!\I'm talking especially to you, Newbie! Don't do anything!\Boo!\Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion!\Are you scared?\You're pathetic, Leader. response:	I can't let this pass.
context: That's a direct order!\I'm talking especially to you, Newbie! Don't do anything!\Boo!\Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion!\Are you scared?\You're pathetic, Leader.\I can't let this pass. response:	Let's split up and find it.
context: I'm talking especially to you, Newbie! Don't do anything!\Boo!\Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion!\Are you scared?\You're pathetic, Leader.\I can't let this pass.\Let's split up and find it. response:	Stop, all of you.
context: Boo!\Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion!\Are you scared?\You're pathetic, Leader.\I can't let this pass.\Let's split up and find it.\Stop, all of you. response:	What?
context: Sugane, Utsutsu, keep an eye on her!\That will be all! No more discussion!\Are you scared?\You're pathetic, Leader.\I can't let this pass.\Let's split up and find it.\Stop, all of you.\What? response:	You, too, Hajime-chan. Do as Pai-Pai says.
context: That will be all! No more discussion!\Are you scared?\You're pathetic, Leader.\I can't let this pass.\Let's split up and find it.\Stop, all of you.\What?\You, too, Hajime-chan. Do as Pai-Pai says. response:	Newbie.
context: Are you scared?\You're pathetic, Leader.\I can't let this pass.\Let's split up and find it.\Stop, all of you.\What?\You, too, Hajime-chan. Do as Pai-Pai says.\Newbie. response:	I'm Hajime!
context: You're pathetic, Leader.\I can't let this pass.\Let's split up and find it.\Stop, all of you.\What?\You, too, Hajime-chan. Do as Pai-Pai says.\Newbie.\I'm Hajime! response:	What's on your mind?
context: I can't let this pass.\Let's split up and find it.\Stop, all of you.\What?\You, too, Hajime-chan. Do as Pai-Pai says.\Newbie.\I'm Hajime!\What's on your mind? response:	What else? What we should do next?
context: Let's split up and find it.\Stop, all of you.\What?\You, too, Hajime-chan. Do as Pai-Pai says.\Newbie.\I'm Hajime!\What's on your mind?\What else? What we should do next? response:	We have to do something!
context: Stop, all of you.\What?\You, too, Hajime-chan. Do as Pai-Pai says.\Newbie.\I'm Hajime!\What's on your mind?\What else? What we should do next?\We have to do something! response:	I mean, the bad Gatchaman said it's all our fault, right?
context: What?\You, too, Hajime-chan. Do as Pai-Pai says.\Newbie.\I'm Hajime!\What's on your mind?\What else? What we should do next?\We have to do something!\I mean, the bad Gatchaman said it's all our fault, right? response:	Isn't that really bad?!
context: You, too, Hajime-chan. Do as Pai-Pai says.\Newbie.\I'm Hajime!\What's on your mind?\What else? What we should do next?\We have to do something!\I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?! response:	Jou-san?
context: Newbie.\I'm Hajime!\What's on your mind?\What else? What we should do next?\We have to do something!\I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?!\Jou-san? response:	If we don't do something...
context: I'm Hajime!\What's on your mind?\What else? What we should do next?\We have to do something!\I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?!\Jou-san?\If we don't do something... response:	Miss, don't worry.
context: What's on your mind?\What else? What we should do next?\We have to do something!\I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?!\Jou-san?\If we don't do something...\Miss, don't worry. response:	I'll settle the score with that insane bird.
context: What else? What we should do next?\We have to do something!\I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?!\Jou-san?\If we don't do something...\Miss, don't worry.\I'll settle the score with that insane bird. response:	That's not it!
context: We have to do something!\I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?!\Jou-san?\If we don't do something...\Miss, don't worry.\I'll settle the score with that insane bird.\That's not it! response:	I'm not talking about that!
context: I mean, the bad Gatchaman said it's all our fault, right?\Isn't that really bad?!\Jou-san?\If we don't do something...\Miss, don't worry.\I'll settle the score with that insane bird.\That's not it!\I'm not talking about that! response:	I'm dreamy...
context: Isn't that really bad?!\Jou-san?\If we don't do something...\Miss, don't worry.\I'll settle the score with that insane bird.\That's not it!\I'm not talking about that!\I'm dreamy... response:	It can't be helped, Pai-Pai.
context: Jou-san?\If we don't do something...\Miss, don't worry.\I'll settle the score with that insane bird.\That's not it!\I'm not talking about that!\I'm dreamy...\It can't be helped, Pai-Pai. response:	That's all you could've said to them.
context: If we don't do something...\Miss, don't worry.\I'll settle the score with that insane bird.\That's not it!\I'm not talking about that!\I'm dreamy...\It can't be helped, Pai-Pai.\That's all you could've said to them. response:	I'm the only one who understands.
context: Miss, don't worry.\I'll settle the score with that insane bird.\That's not it!\I'm not talking about that!\I'm dreamy...\It can't be helped, Pai-Pai.\That's all you could've said to them.\I'm the only one who understands. response:	We're done for!
context: I'll settle the score with that insane bird.\That's not it!\I'm not talking about that!\I'm dreamy...\It can't be helped, Pai-Pai.\That's all you could've said to them.\I'm the only one who understands.\We're done for! response:	Once it comes, this planet will be wiped out!
context: That's not it!\I'm not talking about that!\I'm dreamy...\It can't be helped, Pai-Pai.\That's all you could've said to them.\I'm the only one who understands.\We're done for!\Once it comes, this planet will be wiped out! response:	Calm down, Pai-Pai!
context: I'm not talking about that!\I'm dreamy...\It can't be helped, Pai-Pai.\That's all you could've said to them.\I'm the only one who understands.\We're done for!\Once it comes, this planet will be wiped out!\Calm down, Pai-Pai! response:	How can I calm down?!
context: I'm dreamy...\It can't be helped, Pai-Pai.\That's all you could've said to them.\I'm the only one who understands.\We're done for!\Once it comes, this planet will be wiped out!\Calm down, Pai-Pai!\How can I calm down?! response:	I'm talking about it!
context: It can't be helped, Pai-Pai.\That's all you could've said to them.\I'm the only one who understands.\We're done for!\Once it comes, this planet will be wiped out!\Calm down, Pai-Pai!\How can I calm down?!\I'm talking about it! response:	It's a demon who's destroyed countless planets..
context: That's all you could've said to them.\I'm the only one who understands.\We're done for!\Once it comes, this planet will be wiped out!\Calm down, Pai-Pai!\How can I calm down?!\I'm talking about it!\It's a demon who's destroyed countless planets.. response:	And it doesn't just destroy them.
context: I'm the only one who understands.\We're done for!\Once it comes, this planet will be wiped out!\Calm down, Pai-Pai!\How can I calm down?!\I'm talking about it!\It's a demon who's destroyed countless planets..\And it doesn't just destroy them. response:	It never gets its own hands dirty.
context: We're done for!\Once it comes, this planet will be wiped out!\Calm down, Pai-Pai!\How can I calm down?!\I'm talking about it!\It's a demon who's destroyed countless planets..\And it doesn't just destroy them.\It never gets its own hands dirty. response:	It loves watching the planets' inhabitants destroy each other.
context: Once it comes, this planet will be wiped out!\Calm down, Pai-Pai!\How can I calm down?!\I'm talking about it!\It's a demon who's destroyed countless planets..\And it doesn't just destroy them.\It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other. response:	If only I'd managed to defeat it...
context: Calm down, Pai-Pai!\How can I calm down?!\I'm talking about it!\It's a demon who's destroyed countless planets..\And it doesn't just destroy them.\It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it... response:	OD, don't be rash.
context: How can I calm down?!\I'm talking about it!\It's a demon who's destroyed countless planets..\And it doesn't just destroy them.\It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it...\OD, don't be rash. response:	You know what I mean, right?
context: I'm talking about it!\It's a demon who's destroyed countless planets..\And it doesn't just destroy them.\It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it...\OD, don't be rash.\You know what I mean, right? response:	If you spread your wings...
context: It's a demon who's destroyed countless planets..\And it doesn't just destroy them.\It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it...\OD, don't be rash.\You know what I mean, right?\If you spread your wings... response:	I know.
context: And it doesn't just destroy them.\It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it...\OD, don't be rash.\You know what I mean, right?\If you spread your wings...\I know. response:	If that happens, all will be destroyed.
context: It never gets its own hands dirty.\It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it...\OD, don't be rash.\You know what I mean, right?\If you spread your wings...\I know.\If that happens, all will be destroyed. response:	I know...
context: It loves watching the planets' inhabitants destroy each other.\If only I'd managed to defeat it...\OD, don't be rash.\You know what I mean, right?\If you spread your wings...\I know.\If that happens, all will be destroyed.\I know... response:	I also lost my best friend because of it...
context: If only I'd managed to defeat it...\OD, don't be rash.\You know what I mean, right?\If you spread your wings...\I know.\If that happens, all will be destroyed.\I know...\I also lost my best friend because of it... response:	I don't want to experience that ever again!
context: OD, don't be rash.\You know what I mean, right?\If you spread your wings...\I know.\If that happens, all will be destroyed.\I know...\I also lost my best friend because of it...\I don't want to experience that ever again! response:	But why did it come
context: You know what I mean, right?\If you spread your wings...\I know.\If that happens, all will be destroyed.\I know...\I also lost my best friend because of it...\I don't want to experience that ever again!\But why did it come response:	to this backwaters planet under protective observation?
context: If you spread your wings...\I know.\If that happens, all will be destroyed.\I know...\I also lost my best friend because of it...\I don't want to experience that ever again!\But why did it come\to this backwaters planet under protective observation? response:	It probably found out...
context: I know.\If that happens, all will be destroyed.\I know...\I also lost my best friend because of it...\I don't want to experience that ever again!\But why did it come\to this backwaters planet under protective observation?\It probably found out... response:	Found out what?
context: If that happens, all will be destroyed.\I know...\I also lost my best friend because of it...\I don't want to experience that ever again!\But why did it come\to this backwaters planet under protective observation?\It probably found out...\Found out what? response:	A trigger that'll cause humans to destroy each other.
context: I know...\I also lost my best friend because of it...\I don't want to experience that ever again!\But why did it come\to this backwaters planet under protective observation?\It probably found out...\Found out what?\A trigger that'll cause humans to destroy each other. response:	Go up in a big, red blaze...
context: I also lost my best friend because of it...\I don't want to experience that ever again!\But why did it come\to this backwaters planet under protective observation?\It probably found out...\Found out what?\A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze... response:	That must be the hint.
context: I don't want to experience that ever again!\But why did it come\to this backwaters planet under protective observation?\It probably found out...\Found out what?\A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze...\That must be the hint. response:	It'll be sure to guide this planet to destruction, slowly but surely.
context: But why did it come\to this backwaters planet under protective observation?\It probably found out...\Found out what?\A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze...\That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely. response:	That's the ultimate pleasure for Berg-Katze, after all...
context: to this backwaters planet under protective observation?\It probably found out...\Found out what?\A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze...\That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all... response:	Sugane, I'm going to do it.
context: It probably found out...\Found out what?\A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze...\That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it. response:	Next time, I will beat it up.
context: Found out what?\A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze...\That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it.\Next time, I will beat it up. response:	Of course. I will come with you.
context: A trigger that'll cause humans to destroy each other.\Go up in a big, red blaze...\That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it.\Next time, I will beat it up.\Of course. I will come with you. response:	I only became a Gatchaman because of you, Jou-san.
context: Go up in a big, red blaze...\That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it.\Next time, I will beat it up.\Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san. response:	I've heard that line too many times.
context: That must be the hint.\It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it.\Next time, I will beat it up.\Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times. response:	Hey, Sugane, come for a drink?
context: It'll be sure to guide this planet to destruction, slowly but surely.\That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it.\Next time, I will beat it up.\Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times.\Hey, Sugane, come for a drink? response:	Like I keep saying, I'm a minor.
context: That's the ultimate pleasure for Berg-Katze, after all...\Sugane, I'm going to do it.\Next time, I will beat it up.\Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times.\Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor. response:	Oh, right.
context: Sugane, I'm going to do it.\Next time, I will beat it up.\Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times.\Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor.\Oh, right. response:	Well, off I go, then.
context: Next time, I will beat it up.\Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times.\Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor.\Oh, right.\Well, off I go, then. response:	Who knows how long you can have fun drinking?
context: Of course. I will come with you.\I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times.\Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor.\Oh, right.\Well, off I go, then.\Who knows how long you can have fun drinking? response:	Why are the assaults our fault?
context: I only became a Gatchaman because of you, Jou-san.\I've heard that line too many times.\Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor.\Oh, right.\Well, off I go, then.\Who knows how long you can have fun drinking?\Why are the assaults our fault? response:	I'm kind of hung up over it.
context: I've heard that line too many times.\Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor.\Oh, right.\Well, off I go, then.\Who knows how long you can have fun drinking?\Why are the assaults our fault?\I'm kind of hung up over it. response:	Pai-Pai and D-san were acting weird, too.
context: Hey, Sugane, come for a drink?\Like I keep saying, I'm a minor.\Oh, right.\Well, off I go, then.\Who knows how long you can have fun drinking?\Why are the assaults our fault?\I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too. response:	That was the first time I saw D-san acting so serious, too.
context: Like I keep saying, I'm a minor.\Oh, right.\Well, off I go, then.\Who knows how long you can have fun drinking?\Why are the assaults our fault?\I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too. response:	Oh, wow! This area's crazy.
context: Oh, right.\Well, off I go, then.\Who knows how long you can have fun drinking?\Why are the assaults our fault?\I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy. response:	The police are there,
context: Well, off I go, then.\Who knows how long you can have fun drinking?\Why are the assaults our fault?\I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy.\The police are there, response:	and the self-defense forces are across from them.
context: Who knows how long you can have fun drinking?\Why are the assaults our fault?\I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy.\The police are there,\and the self-defense forces are across from them. response:	There's the riot police, the fire station,
context: Why are the assaults our fault?\I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy.\The police are there,\and the self-defense forces are across from them.\There's the riot police, the fire station, response:	and the city hall is that way, too.
context: I'm kind of hung up over it.\Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy.\The police are there,\and the self-defense forces are across from them.\There's the riot police, the fire station,\and the city hall is that way, too. response:	Isn't Tachikawa going to be okay, no matter what?
context: Pai-Pai and D-san were acting weird, too.\That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy.\The police are there,\and the self-defense forces are across from them.\There's the riot police, the fire station,\and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what? response:	Don't you think, Utsutsu-chan?
context: That was the first time I saw D-san acting so serious, too.\Oh, wow! This area's crazy.\The police are there,\and the self-defense forces are across from them.\There's the riot police, the fire station,\and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan? response:	Utsutsu-chan, are you always this quiet?
context: Oh, wow! This area's crazy.\The police are there,\and the self-defense forces are across from them.\There's the riot police, the fire station,\and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet? response:	It's like you're here, but not really.
context: The police are there,\and the self-defense forces are across from them.\There's the riot police, the fire station,\and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet?\It's like you're here, but not really. response:	That's how...
context: and the self-defense forces are across from them.\There's the riot police, the fire station,\and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet?\It's like you're here, but not really.\That's how... response:	Huh, what? What's how?
context: There's the riot police, the fire station,\and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet?\It's like you're here, but not really.\That's how...\Huh, what? What's how? response:	Oh, sorry.
context: and the city hall is that way, too.\Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet?\It's like you're here, but not really.\That's how...\Huh, what? What's how?\Oh, sorry. response:	That's how my body is.
context: Isn't Tachikawa going to be okay, no matter what?\Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet?\It's like you're here, but not really.\That's how...\Huh, what? What's how?\Oh, sorry.\That's how my body is. response:	Huh? What do you mean?
context: Don't you think, Utsutsu-chan?\Utsutsu-chan, are you always this quiet?\It's like you're here, but not really.\That's how...\Huh, what? What's how?\Oh, sorry.\That's how my body is.\Huh? What do you mean? response:	This body is a copy.
context: Utsutsu-chan, are you always this quiet?\It's like you're here, but not really.\That's how...\Huh, what? What's how?\Oh, sorry.\That's how my body is.\Huh? What do you mean?\This body is a copy. response:	You're a copy, Utsutsu-chan?
context: It's like you're here, but not really.\That's how...\Huh, what? What's how?\Oh, sorry.\That's how my body is.\Huh? What do you mean?\This body is a copy.\You're a copy, Utsutsu-chan? response:	I can make any number of copies.
context: That's how...\Huh, what? What's how?\Oh, sorry.\That's how my body is.\Huh? What do you mean?\This body is a copy.\You're a copy, Utsutsu-chan?\I can make any number of copies. response:	Wow!
context: Huh, what? What's how?\Oh, sorry.\That's how my body is.\Huh? What do you mean?\This body is a copy.\You're a copy, Utsutsu-chan?\I can make any number of copies.\Wow! response:	I wish I could, too.
context: Oh, sorry.\That's how my body is.\Huh? What do you mean?\This body is a copy.\You're a copy, Utsutsu-chan?\I can make any number of copies.\Wow!\I wish I could, too. response:	You can't.
context: That's how my body is.\Huh? What do you mean?\This body is a copy.\You're a copy, Utsutsu-chan?\I can make any number of copies.\Wow!\I wish I could, too.\You can't. response:	I can because my body is weird.
context: Huh? What do you mean?\This body is a copy.\You're a copy, Utsutsu-chan?\I can make any number of copies.\Wow!\I wish I could, too.\You can't.\I can because my body is weird. response:	Wow, that's great.
context: This body is a copy.\You're a copy, Utsutsu-chan?\I can make any number of copies.\Wow!\I wish I could, too.\You can't.\I can because my body is weird.\Wow, that's great. response:	It's not great.
context: You're a copy, Utsutsu-chan?\I can make any number of copies.\Wow!\I wish I could, too.\You can't.\I can because my body is weird.\Wow, that's great.\It's not great. response:	I see.
context: I can make any number of copies.\Wow!\I wish I could, too.\You can't.\I can because my body is weird.\Wow, that's great.\It's not great.\I see. response:	You don't like it.
context: Wow!\I wish I could, too.\You can't.\I can because my body is weird.\Wow, that's great.\It's not great.\I see.\You don't like it. response:	I don't.
context: I wish I could, too.\You can't.\I can because my body is weird.\Wow, that's great.\It's not great.\I see.\You don't like it.\I don't. response:	I can't touch anyone.
context: You can't.\I can because my body is weird.\Wow, that's great.\It's not great.\I see.\You don't like it.\I don't.\I can't touch anyone. response:	Because I hurt them.
context: I can because my body is weird.\Wow, that's great.\It's not great.\I see.\You don't like it.\I don't.\I can't touch anyone.\Because I hurt them. response:	That's the kind of life form I am.
context: Wow, that's great.\It's not great.\I see.\You don't like it.\I don't.\I can't touch anyone.\Because I hurt them.\That's the kind of life form I am. response:	So even if I'm happy, I soon want to cry, disappear, or...
context: It's not great.\I see.\You don't like it.\I don't.\I can't touch anyone.\Because I hurt them.\That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or... response:	Or hurt someone?
context: I see.\You don't like it.\I don't.\I can't touch anyone.\Because I hurt them.\That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone? response:	Aren't I scary?
context: You don't like it.\I don't.\I can't touch anyone.\Because I hurt them.\That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone?\Aren't I scary? response:	Hey, Utsutsu-chan.
context: I don't.\I can't touch anyone.\Because I hurt them.\That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone?\Aren't I scary?\Hey, Utsutsu-chan. response:	What does that streetlight look like to you?
context: I can't touch anyone.\Because I hurt them.\That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone?\Aren't I scary?\Hey, Utsutsu-chan.\What does that streetlight look like to you? response:	A streetlight is a streetlight.
context: Because I hurt them.\That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone?\Aren't I scary?\Hey, Utsutsu-chan.\What does that streetlight look like to you?\A streetlight is a streetlight. response:	From here, it looks round and smiley.
context: That's the kind of life form I am.\So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone?\Aren't I scary?\Hey, Utsutsu-chan.\What does that streetlight look like to you?\A streetlight is a streetlight.\From here, it looks round and smiley. response:	Utsutsu-chan, you're just fine the way you are.
context: So even if I'm happy, I soon want to cry, disappear, or...\Or hurt someone?\Aren't I scary?\Hey, Utsutsu-chan.\What does that streetlight look like to you?\A streetlight is a streetlight.\From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are. response:	That's what I think.
context: Or hurt someone?\Aren't I scary?\Hey, Utsutsu-chan.\What does that streetlight look like to you?\A streetlight is a streetlight.\From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are.\That's what I think. response:	I mean, you're so cute!
context: Aren't I scary?\Hey, Utsutsu-chan.\What does that streetlight look like to you?\A streetlight is a streetlight.\From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are.\That's what I think.\I mean, you're so cute! response:	I'm happy, no matter what.
context: Hey, Utsutsu-chan.\What does that streetlight look like to you?\A streetlight is a streetlight.\From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are.\That's what I think.\I mean, you're so cute!\I'm happy, no matter what. response:	I don't want to vanish.
context: What does that streetlight look like to you?\A streetlight is a streetlight.\From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are.\That's what I think.\I mean, you're so cute!\I'm happy, no matter what.\I don't want to vanish. response:	It's all okay!
context: A streetlight is a streetlight.\From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are.\That's what I think.\I mean, you're so cute!\I'm happy, no matter what.\I don't want to vanish.\It's all okay! response:	Liar...
context: From here, it looks round and smiley.\Utsutsu-chan, you're just fine the way you are.\That's what I think.\I mean, you're so cute!\I'm happy, no matter what.\I don't want to vanish.\It's all okay!\Liar... response:	I want to talk to the real Utsutsu-chan, someday!
context: Utsutsu-chan, you're just fine the way you are.\That's what I think.\I mean, you're so cute!\I'm happy, no matter what.\I don't want to vanish.\It's all okay!\Liar...\I want to talk to the real Utsutsu-chan, someday! response:	What's wrong, Utsutsu?
context: That's what I think.\I mean, you're so cute!\I'm happy, no matter what.\I don't want to vanish.\It's all okay!\Liar...\I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu? response:	Head... hurts.
context: I mean, you're so cute!\I'm happy, no matter what.\I don't want to vanish.\It's all okay!\Liar...\I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu?\Head... hurts. response:	Is Hajime-chan saying something to you?
context: I'm happy, no matter what.\I don't want to vanish.\It's all okay!\Liar...\I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu?\Head... hurts.\Is Hajime-chan saying something to you? response:	I don't want copies anymore...
context: I don't want to vanish.\It's all okay!\Liar...\I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu?\Head... hurts.\Is Hajime-chan saying something to you?\I don't want copies anymore... response:	Yeah.
context: It's all okay!\Liar...\I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu?\Head... hurts.\Is Hajime-chan saying something to you?\I don't want copies anymore...\Yeah. response:	But we're all like that.
context: Liar...\I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu?\Head... hurts.\Is Hajime-chan saying something to you?\I don't want copies anymore...\Yeah.\But we're all like that. response:	Having special powers is something
context: I want to talk to the real Utsutsu-chan, someday!\What's wrong, Utsutsu?\Head... hurts.\Is Hajime-chan saying something to you?\I don't want copies anymore...\Yeah.\But we're all like that.\Having special powers is something response:	to be glad about, but sad as well.
context: What's wrong, Utsutsu?\Head... hurts.\Is Hajime-chan saying something to you?\I don't want copies anymore...\Yeah.\But we're all like that.\Having special powers is something\to be glad about, but sad as well. response:	Minomiya Rui-kun.
context: Head... hurts.\Is Hajime-chan saying something to you?\I don't want copies anymore...\Yeah.\But we're all like that.\Having special powers is something\to be glad about, but sad as well.\Minomiya Rui-kun. response:	You have gained the power to materialize a person's soul.
