context: I was wrong. response:	These pieces of shit in this castle are a blight!
context: Go get shot!\I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder.\The rumor about the Drifters spread\throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle response:	returned to their villages,
context: I will cut their heads off and pay my respects.\No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder.\The rumor about the Drifters spread\throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle\returned to their villages, response:	the confusion about the rumor turned into the assurance of joy.
context: No matter how much we hated them, they all became souls after death.\We'll use their bodies for black powder.\The rumor about the Drifters spread\throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle\returned to their villages,\the confusion about the rumor turned into the assurance of joy. response:	However, those women returned with
context: We'll use their bodies for black powder.\The rumor about the Drifters spread\throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle\returned to their villages,\the confusion about the rumor turned into the assurance of joy.\However, those women returned with response:	the scrupulous gifts sent by Nobunaga.
context: The rumor about the Drifters spread\throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle\returned to their villages,\the confusion about the rumor turned into the assurance of joy.\However, those women returned with\the scrupulous gifts sent by Nobunaga. response:	It was a Proclamation.
context: throughout the surrounding villages in no time.\Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle\returned to their villages,\the confusion about the rumor turned into the assurance of joy.\However, those women returned with\the scrupulous gifts sent by Nobunaga.\It was a Proclamation. response:	The content was classic Nobunaga.
context: Drifters Rescue Elven Village and Attack Occupying Magistrate.\Then, after the female Elves confined at the lord's castle\returned to their villages,\the confusion about the rumor turned into the assurance of joy.\However, those women returned with\the scrupulous gifts sent by Nobunaga.\It was a Proclamation.\The content was classic Nobunaga. response:	It touched readers' hearts but manipulated their minds.
context: Then, after the female Elves confined at the lord's castle\returned to their villages,\the confusion about the rumor turned into the assurance of joy.\However, those women returned with\the scrupulous gifts sent by Nobunaga.\It was a Proclamation.\The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds. response:	Do you want to have your own state? Then, I'll give it to you.
context: returned to their villages,\the confusion about the rumor turned into the assurance of joy.\However, those women returned with\the scrupulous gifts sent by Nobunaga.\It was a Proclamation.\The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you. response:	Join us in battle!
context: the confusion about the rumor turned into the assurance of joy.\However, those women returned with\the scrupulous gifts sent by Nobunaga.\It was a Proclamation.\The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you.\Join us in battle! response:	Are you going to hand over your women yet again
context: However, those women returned with\the scrupulous gifts sent by Nobunaga.\It was a Proclamation.\The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you.\Join us in battle!\Are you going to hand over your women yet again response:	to a newly appointed magistrate?
context: the scrupulous gifts sent by Nobunaga.\It was a Proclamation.\The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you.\Join us in battle!\Are you going to hand over your women yet again\to a newly appointed magistrate? response:	Will you let them be used as playthings once more?
context: It was a Proclamation.\The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you.\Join us in battle!\Are you going to hand over your women yet again\to a newly appointed magistrate?\Will you let them be used as playthings once more? response:	He also wrote a memorandum that proved how Orte has reached its limits,
context: The content was classic Nobunaga.\It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you.\Join us in battle!\Are you going to hand over your women yet again\to a newly appointed magistrate?\Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits, response:	attaching the contents of the document collected from the magistrate's office...
context: It touched readers' hearts but manipulated their minds.\Do you want to have your own state? Then, I'll give it to you.\Join us in battle!\Are you going to hand over your women yet again\to a newly appointed magistrate?\Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office... response:	What a jerk to pull a trick like that!
context: Do you want to have your own state? Then, I'll give it to you.\Join us in battle!\Are you going to hand over your women yet again\to a newly appointed magistrate?\Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that! response:	Subsequently, the Elf villages began rising in revolt one after another.
context: Join us in battle!\Are you going to hand over your women yet again\to a newly appointed magistrate?\Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another. response:	The Elven Revolts Spread
context: Are you going to hand over your women yet again\to a newly appointed magistrate?\Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread response:	The Elves are breaking away from Orte's subjugation.
context: to a newly appointed magistrate?\Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation. response:	What the heck is this?!
context: Will you let them be used as playthings once more?\He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation.\What the heck is this?! response:	What the hell's is going on?! That idiot Murasaki!
context: He also wrote a memorandum that proved how Orte has reached its limits,\attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation.\What the heck is this?!\What the hell's is going on?! That idiot Murasaki! response:	Who... Who... Who gives a damn about Drifters?!
context: attaching the contents of the document collected from the magistrate's office...\What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation.\What the heck is this?!\What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?! response:	We are losing on the eastern and western fronts.
context: What a jerk to pull a trick like that!\Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation.\What the heck is this?!\What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts. response:	There is the mysterious force in the far north.
context: Subsequently, the Elf villages began rising in revolt one after another.\The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation.\What the heck is this?!\What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts.\There is the mysterious force in the far north. response:	Furthermore, the Elves are rising up.
context: The Elven Revolts Spread\The Elves are breaking away from Orte's subjugation.\What the heck is this?!\What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts.\There is the mysterious force in the far north.\Furthermore, the Elves are rising up. response:	Oh, my, this empire is finished.
context: The Elves are breaking away from Orte's subjugation.\What the heck is this?!\What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts.\There is the mysterious force in the far north.\Furthermore, the Elves are rising up.\Oh, my, this empire is finished. response:	The status of the war continues to deteriorate.
context: What the heck is this?!\What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts.\There is the mysterious force in the far north.\Furthermore, the Elves are rising up.\Oh, my, this empire is finished.\The status of the war continues to deteriorate. response:	Anyhow, we don't have enough forces to fight this war.
context: What the hell's is going on?! That idiot Murasaki!\Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts.\There is the mysterious force in the far north.\Furthermore, the Elves are rising up.\Oh, my, this empire is finished.\The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war. response:	We've been engaged in war for forty years.
context: Who... Who... Who gives a damn about Drifters?!\We are losing on the eastern and western fronts.\There is the mysterious force in the far north.\Furthermore, the Elves are rising up.\Oh, my, this empire is finished.\The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years. response:	We've even been transferring soldiers in from the remote territories.
context: We are losing on the eastern and western fronts.\There is the mysterious force in the far north.\Furthermore, the Elves are rising up.\Oh, my, this empire is finished.\The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories. response:	Supplies are running short.
context: There is the mysterious force in the far north.\Furthermore, the Elves are rising up.\Oh, my, this empire is finished.\The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories.\Supplies are running short. response:	Tax revenue and seized assets from mainland
context: Furthermore, the Elves are rising up.\Oh, my, this empire is finished.\The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories.\Supplies are running short.\Tax revenue and seized assets from mainland response:	and occupied territories are both about to run dry.
context: Oh, my, this empire is finished.\The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories.\Supplies are running short.\Tax revenue and seized assets from mainland\and occupied territories are both about to run dry. response:	Shouldn't we consider a peaceful solution?
context: The status of the war continues to deteriorate.\Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories.\Supplies are running short.\Tax revenue and seized assets from mainland\and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution? response:	Are you serious?!
context: Anyhow, we don't have enough forces to fight this war.\We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories.\Supplies are running short.\Tax revenue and seized assets from mainland\and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution?\Are you serious?! response:	It was Father's idea that the empire was never to fall.
context: We've been engaged in war for forty years.\We've even been transferring soldiers in from the remote territories.\Supplies are running short.\Tax revenue and seized assets from mainland\and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution?\Are you serious?!\It was Father's idea that the empire was never to fall. response:	It became the national policy. No way we can give in that easily.
context: We've even been transferring soldiers in from the remote territories.\Supplies are running short.\Tax revenue and seized assets from mainland\and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution?\Are you serious?!\It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily. response:	However...
context: Supplies are running short.\Tax revenue and seized assets from mainland\and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution?\Are you serious?!\It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily.\However... response:	So sorry I am late. Please forgive me.
context: Tax revenue and seized assets from mainland\and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution?\Are you serious?!\It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily.\However...\So sorry I am late. Please forgive me. response:	Sorry to have kept you all waiting.
context: and occupied territories are both about to run dry.\Shouldn't we consider a peaceful solution?\Are you serious?!\It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily.\However...\So sorry I am late. Please forgive me.\Sorry to have kept you all waiting. response:	Long time no see.
context: Shouldn't we consider a peaceful solution?\Are you serious?!\It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily.\However...\So sorry I am late. Please forgive me.\Sorry to have kept you all waiting.\Long time no see. response:	C-Count Saint-Germi...
context: Are you serious?!\It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily.\However...\So sorry I am late. Please forgive me.\Sorry to have kept you all waiting.\Long time no see.\C-Count Saint-Germi... response:	I am late, so late. I got caught up with an unexpected incident right before I left.
context: It was Father's idea that the empire was never to fall.\It became the national policy. No way we can give in that easily.\However...\So sorry I am late. Please forgive me.\Sorry to have kept you all waiting.\Long time no see.\C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left. response:	What's with those twinkies?
context: It became the national policy. No way we can give in that easily.\However...\So sorry I am late. Please forgive me.\Sorry to have kept you all waiting.\Long time no see.\C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies? response:	Don't talk so loud!
context: However...\So sorry I am late. Please forgive me.\Sorry to have kept you all waiting.\Long time no see.\C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies?\Don't talk so loud! response:	If he hears you, you never know what he'll do to you.
context: So sorry I am late. Please forgive me.\Sorry to have kept you all waiting.\Long time no see.\C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies?\Don't talk so loud!\If he hears you, you never know what he'll do to you. response:	He is that Count Saint-Germi...
context: Sorry to have kept you all waiting.\Long time no see.\C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies?\Don't talk so loud!\If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi... response:	Huh?! H-Him?!
context: Long time no see.\C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies?\Don't talk so loud!\If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi...\Huh?! H-Him?! response:	He is a powerful aristocrat who owns a quarter of the empire.
context: C-Count Saint-Germi...\I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies?\Don't talk so loud!\If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi...\Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire. response:	When Father founded the country, he was the first aristocrat to defect.
context: I am late, so late. I got caught up with an unexpected incident right before I left.\What's with those twinkies?\Don't talk so loud!\If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi...\Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect. response:	It has been said the Orte Empire could not have existed without his betrayal.
context: What's with those twinkies?\Don't talk so loud!\If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi...\Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal. response:	Since then, no one has been able to stand up to him.
context: Don't talk so loud!\If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi...\Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him. response:	He has never taken up arms in war. He is free to live as he pleases.
context: If he hears you, you never know what he'll do to you.\He is that Count Saint-Germi...\Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases. response:	You just said he helped Father...
context: He is that Count Saint-Germi...\Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father... response:	Wasn't that fifty years ago?
context: Huh?! H-Him?!\He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father...\Wasn't that fifty years ago? response:	That's right.
context: He is a powerful aristocrat who owns a quarter of the empire.\When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father...\Wasn't that fifty years ago?\That's right. response:	How ancient is... that old twinkie?
context: When Father founded the country, he was the first aristocrat to defect.\It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father...\Wasn't that fifty years ago?\That's right.\How ancient is... that old twinkie? response:	As my apology for being tardy, I have something interesting to tell you all.
context: It has been said the Orte Empire could not have existed without his betrayal.\Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father...\Wasn't that fifty years ago?\That's right.\How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all. response:	This may be a quite surprise for you.
context: Since then, no one has been able to stand up to him.\He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father...\Wasn't that fifty years ago?\That's right.\How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you. response:	You are aware of our naval fleet
context: He has never taken up arms in war. He is free to live as he pleases.\You just said he helped Father...\Wasn't that fifty years ago?\That's right.\How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you.\You are aware of our naval fleet response:	that transports supplies to the battlefields in the west, are you not?
context: You just said he helped Father...\Wasn't that fifty years ago?\That's right.\How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you.\You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not? response:	Does anyone have something to take this down?
context: Wasn't that fifty years ago?\That's right.\How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you.\You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down? response:	Something to write with, quickly now!
context: That's right.\How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you.\You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down?\Something to write with, quickly now! response:	Princess, please use my lipstick!
context: How ancient is... that old twinkie?\As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you.\You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down?\Something to write with, quickly now!\Princess, please use my lipstick! response:	No, use mine!
context: As my apology for being tardy, I have something interesting to tell you all.\This may be a quite surprise for you.\You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down?\Something to write with, quickly now!\Princess, please use my lipstick!\No, use mine! response:	Shut up! Give it to me now!
context: This may be a quite surprise for you.\You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down?\Something to write with, quickly now!\Princess, please use my lipstick!\No, use mine!\Shut up! Give it to me now! response:	Didn't I repeatedly inquire of you whether or not...
context: You are aware of our naval fleet\that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down?\Something to write with, quickly now!\Princess, please use my lipstick!\No, use mine!\Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not... response:	Our fleet has been seized and sunk to the bottom of the ocean by now.
context: that transports supplies to the battlefields in the west, are you not?\Does anyone have something to take this down?\Something to write with, quickly now!\Princess, please use my lipstick!\No, use mine!\Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now. response:	-Wh... -What?!
context: Does anyone have something to take this down?\Something to write with, quickly now!\Princess, please use my lipstick!\No, use mine!\Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?! response:	Another ship has been hit.
context: Something to write with, quickly now!\Princess, please use my lipstick!\No, use mine!\Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?!\Another ship has been hit. response:	Damn it! They're going down!
context: Princess, please use my lipstick!\No, use mine!\Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?!\Another ship has been hit.\Damn it! They're going down! response:	Another got hit.
context: No, use mine!\Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?!\Another ship has been hit.\Damn it! They're going down!\Another got hit. response:	How many are left?
context: Shut up! Give it to me now!\Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?!\Another ship has been hit.\Damn it! They're going down!\Another got hit.\How many are left? response:	They're coming at us!
context: Didn't I repeatedly inquire of you whether or not...\Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?!\Another ship has been hit.\Damn it! They're going down!\Another got hit.\How many are left?\They're coming at us! response:	Damn those merchants!
context: Our fleet has been seized and sunk to the bottom of the ocean by now.\-Wh... -What?!\Another ship has been hit.\Damn it! They're going down!\Another got hit.\How many are left?\They're coming at us!\Damn those merchants! response:	That damn merchant guild of Gu Binnen!
context: -Wh... -What?!\Another ship has been hit.\Damn it! They're going down!\Another got hit.\How many are left?\They're coming at us!\Damn those merchants!\That damn merchant guild of Gu Binnen! response:	We provide home delivery service with the mark of Griffon
context: Another ship has been hit.\Damn it! They're going down!\Another got hit.\How many are left?\They're coming at us!\Damn those merchants!\That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon response:	by Shylock Co. of the Gu Binnen Guild.
context: Damn it! They're going down!\Another got hit.\How many are left?\They're coming at us!\Damn those merchants!\That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild. response:	I'm sorry to have kept you waiting!
context: Another got hit.\How many are left?\They're coming at us!\Damn those merchants!\That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting! response:	Gentlemen of Orte,
context: How many are left?\They're coming at us!\Damn those merchants!\That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting!\Gentlemen of Orte, response:	how do you like the Gu Binnen specialty mix of fish oil and animal fat?
context: They're coming at us!\Damn those merchants!\That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting!\Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat? response:	Eat your fill, you jackasses!
context: Damn those merchants!\That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting!\Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses! response:	Consider this a gift to your country's mustached Father!
context: That damn merchant guild of Gu Binnen!\We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting!\Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father! response:	Tora! Tora! Tora!
context: We provide home delivery service with the mark of Griffon\by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting!\Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father!\Tora! Tora! Tora! response:	Commander, what is this Tora, Tora, Tora?
context: by Shylock Co. of the Gu Binnen Guild.\I'm sorry to have kept you waiting!\Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father!\Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora? response:	Eh?! Admiral taught me...
context: I'm sorry to have kept you waiting!\Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father!\Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me... response:	Tora! Tora! Tora!
context: Gentlemen of Orte,\how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father!\Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me...\Tora! Tora! Tora! response:	Tora! Tora! Tora! Tora!
context: how do you like the Gu Binnen specialty mix of fish oil and animal fat?\Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father!\Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me...\Tora! Tora! Tora!\Tora! Tora! Tora! Tora! response:	Perhaps we won this time.
context: Eat your fill, you jackasses!\Consider this a gift to your country's mustached Father!\Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me...\Tora! Tora! Tora!\Tora! Tora! Tora! Tora!\Perhaps we won this time. response:	June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral
context: Consider this a gift to your country's mustached Father!\Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me...\Tora! Tora! Tora!\Tora! Tora! Tora! Tora!\Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral response:	It must be payback for the fights we instigated in all the neighboring states.
context: Tora! Tora! Tora!\Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me...\Tora! Tora! Tora!\Tora! Tora! Tora! Tora!\Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states. response:	At the very least, we shouldn't have made an
context: Commander, what is this Tora, Tora, Tora?\Eh?! Admiral taught me...\Tora! Tora! Tora!\Tora! Tora! Tora! Tora!\Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an response:	enemy of the merchant guild of the east.
context: Eh?! Admiral taught me...\Tora! Tora! Tora!\Tora! Tora! Tora! Tora!\Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an\enemy of the merchant guild of the east. response:	How foolish was that?!
context: Tora! Tora! Tora!\Tora! Tora! Tora! Tora!\Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an\enemy of the merchant guild of the east.\How foolish was that?! response:	Furthermore, there are rebellions in the occupied territories.
context: Tora! Tora! Tora! Tora!\Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an\enemy of the merchant guild of the east.\How foolish was that?!\Furthermore, there are rebellions in the occupied territories. response:	I heard that the Elves have risen in revolt.
context: Perhaps we won this time.\June 6, 1942 Yamaguchi Tamon Imperial Japanese Navy Admiral\It must be payback for the fights we instigated in all the neighboring states.\At the very least, we shouldn't have made an\enemy of the merchant guild of the east.\How foolish was that?!\Furthermore, there are rebellions in the occupied territories.\I heard that the Elves have risen in revolt. response:	Oh, my, we are talking about Elves, aren't we? How cute!
