context: 5 Days Until the Prefectural Tournament!! response:	Amazing, Haruka-senpai!
context: Half luck?\Huh? What's going on?\Half luck? Never seen that before.\Does that mean half your luck is good?\What's the other half?\Nice!\That doesn't seem to make sense?\What? I think it does. response:	Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.
context: Huh? What's going on?\Half luck? Never seen that before.\Does that mean half your luck is good?\What's the other half?\Nice!\That doesn't seem to make sense?\What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others. response:	I have to disagree.
context: Half luck? Never seen that before.\Does that mean half your luck is good?\What's the other half?\Nice!\That doesn't seem to make sense?\What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree. response:	What?!
context: Does that mean half your luck is good?\What's the other half?\Nice!\That doesn't seem to make sense?\What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree.\What?! response:	Matsuoka-senpai, you're not taking the bus
context: What's the other half?\Nice!\That doesn't seem to make sense?\What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree.\What?!\Matsuoka-senpai, you're not taking the bus response:	to prefecturals with everyone else?!
context: Nice!\That doesn't seem to make sense?\What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree.\What?!\Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?! response:	I need to go somewhere else first.
context: That doesn't seem to make sense?\What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree.\What?!\Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?!\I need to go somewhere else first. response:	Where are you going?
context: What? I think it does.\Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree.\What?!\Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?!\I need to go somewhere else first.\Where are you going? response:	Why do you care?
context: Focus on your studies. Your business will do well. You'll make lots of good memories. You will be reunited with the person you want to see. Try not to lose anything. You will make good friends. Your wishes will come true with help from others.\I have to disagree.\What?!\Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?!\I need to go somewhere else first.\Where are you going?\Why do you care? response:	Are you stalking me or something?
context: I have to disagree.\What?!\Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?!\I need to go somewhere else first.\Where are you going?\Why do you care?\Are you stalking me or something? response:	Are you going to see Nanase-san?
context: What?!\Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?!\I need to go somewhere else first.\Where are you going?\Why do you care?\Are you stalking me or something?\Are you going to see Nanase-san? response:	I'm not!
context: Matsuoka-senpai, you're not taking the bus\to prefecturals with everyone else?!\I need to go somewhere else first.\Where are you going?\Why do you care?\Are you stalking me or something?\Are you going to see Nanase-san?\I'm not! response:	I told you to stop worrying about me and focus on your own event.
context: to prefecturals with everyone else?!\I need to go somewhere else first.\Where are you going?\Why do you care?\Are you stalking me or something?\Are you going to see Nanase-san?\I'm not!\I told you to stop worrying about me and focus on your own event. response:	But!
context: I need to go somewhere else first.\Where are you going?\Why do you care?\Are you stalking me or something?\Are you going to see Nanase-san?\I'm not!\I told you to stop worrying about me and focus on your own event.\But! response:	What is it?
context: Where are you going?\Why do you care?\Are you stalking me or something?\Are you going to see Nanase-san?\I'm not!\I told you to stop worrying about me and focus on your own event.\But!\What is it? response:	I'm upset.
context: Why do you care?\Are you stalking me or something?\Are you going to see Nanase-san?\I'm not!\I told you to stop worrying about me and focus on your own event.\But!\What is it?\I'm upset. response:	Huh?
context: Are you stalking me or something?\Are you going to see Nanase-san?\I'm not!\I told you to stop worrying about me and focus on your own event.\But!\What is it?\I'm upset.\Huh? response:	You're only entering free when you have the ability to do more,
context: Are you going to see Nanase-san?\I'm not!\I told you to stop worrying about me and focus on your own event.\But!\What is it?\I'm upset.\Huh?\You're only entering free when you have the ability to do more, response:	while I can't even enter my preferred event.
context: I'm not!\I told you to stop worrying about me and focus on your own event.\But!\What is it?\I'm upset.\Huh?\You're only entering free when you have the ability to do more,\while I can't even enter my preferred event. response:	I feel so useless.
context: I told you to stop worrying about me and focus on your own event.\But!\What is it?\I'm upset.\Huh?\You're only entering free when you have the ability to do more,\while I can't even enter my preferred event.\I feel so useless. response:	Sorry if I offended you.
context: But!\What is it?\I'm upset.\Huh?\You're only entering free when you have the ability to do more,\while I can't even enter my preferred event.\I feel so useless.\Sorry if I offended you. response:	No.
context: What is it?\I'm upset.\Huh?\You're only entering free when you have the ability to do more,\while I can't even enter my preferred event.\I feel so useless.\Sorry if I offended you.\No. response:	You have endurance.
context: I'm upset.\Huh?\You're only entering free when you have the ability to do more,\while I can't even enter my preferred event.\I feel so useless.\Sorry if I offended you.\No.\You have endurance. response:	The 400 m free is a better event for you than the 100 m.
context: Huh?\You're only entering free when you have the ability to do more,\while I can't even enter my preferred event.\I feel so useless.\Sorry if I offended you.\No.\You have endurance.\The 400 m free is a better event for you than the 100 m. response:	Th-Thank you very much!
context: You're only entering free when you have the ability to do more,\while I can't even enter my preferred event.\I feel so useless.\Sorry if I offended you.\No.\You have endurance.\The 400 m free is a better event for you than the 100 m.\Th-Thank you very much! response:	I'm going to see my dad.
context: while I can't even enter my preferred event.\I feel so useless.\Sorry if I offended you.\No.\You have endurance.\The 400 m free is a better event for you than the 100 m.\Th-Thank you very much!\I'm going to see my dad. response:	Er, I thought that your father passed away a long time ago...
context: I feel so useless.\Sorry if I offended you.\No.\You have endurance.\The 400 m free is a better event for you than the 100 m.\Th-Thank you very much!\I'm going to see my dad.\Er, I thought that your father passed away a long time ago... response:	No! Don't do it, Senpai!
context: Sorry if I offended you.\No.\You have endurance.\The 400 m free is a better event for you than the 100 m.\Th-Thank you very much!\I'm going to see my dad.\Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai! response:	You can't die!
context: No.\You have endurance.\The 400 m free is a better event for you than the 100 m.\Th-Thank you very much!\I'm going to see my dad.\Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai!\You can't die! response:	I'm not gonna die!
context: You have endurance.\The 400 m free is a better event for you than the 100 m.\Th-Thank you very much!\I'm going to see my dad.\Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai!\You can't die!\I'm not gonna die! response:	I'm just visiting his grave!
context: The 400 m free is a better event for you than the 100 m.\Th-Thank you very much!\I'm going to see my dad.\Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai!\You can't die!\I'm not gonna die!\I'm just visiting his grave! response:	Thank you very much.
context: Th-Thank you very much!\I'm going to see my dad.\Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai!\You can't die!\I'm not gonna die!\I'm just visiting his grave!\Thank you very much. response:	Oh, I don't think I told you about my dad.
context: I'm going to see my dad.\Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai!\You can't die!\I'm not gonna die!\I'm just visiting his grave!\Thank you very much.\Oh, I don't think I told you about my dad. response:	Yes.
context: Er, I thought that your father passed away a long time ago...\No! Don't do it, Senpai!\You can't die!\I'm not gonna die!\I'm just visiting his grave!\Thank you very much.\Oh, I don't think I told you about my dad.\Yes. response:	Apparently, he was the best swimmer in Iwatobi
context: No! Don't do it, Senpai!\You can't die!\I'm not gonna die!\I'm just visiting his grave!\Thank you very much.\Oh, I don't think I told you about my dad.\Yes.\Apparently, he was the best swimmer in Iwatobi response:	when he was young.
context: You can't die!\I'm not gonna die!\I'm just visiting his grave!\Thank you very much.\Oh, I don't think I told you about my dad.\Yes.\Apparently, he was the best swimmer in Iwatobi\when he was young. response:	He won tournaments all over the place
context: I'm not gonna die!\I'm just visiting his grave!\Thank you very much.\Oh, I don't think I told you about my dad.\Yes.\Apparently, he was the best swimmer in Iwatobi\when he was young.\He won tournaments all over the place response:	and brought home lots of trophies and medals.
context: I'm just visiting his grave!\Thank you very much.\Oh, I don't think I told you about my dad.\Yes.\Apparently, he was the best swimmer in Iwatobi\when he was young.\He won tournaments all over the place\and brought home lots of trophies and medals. response:	His dream was to become an Olympic swimmer.
context: Thank you very much.\Oh, I don't think I told you about my dad.\Yes.\Apparently, he was the best swimmer in Iwatobi\when he was young.\He won tournaments all over the place\and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer. response:	But he never achieved that dream.
context: Oh, I don't think I told you about my dad.\Yes.\Apparently, he was the best swimmer in Iwatobi\when he was young.\He won tournaments all over the place\and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer.\But he never achieved that dream. response:	He got married and had me.
context: Yes.\Apparently, he was the best swimmer in Iwatobi\when he was young.\He won tournaments all over the place\and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer.\But he never achieved that dream.\He got married and had me. response:	He became a fisherman.
context: Apparently, he was the best swimmer in Iwatobi\when he was young.\He won tournaments all over the place\and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer.\But he never achieved that dream.\He got married and had me.\He became a fisherman. response:	Then he died, just like that.
context: when he was young.\He won tournaments all over the place\and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer.\But he never achieved that dream.\He got married and had me.\He became a fisherman.\Then he died, just like that. response:	Late one summer, a huge typhoon hit.
context: He won tournaments all over the place\and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer.\But he never achieved that dream.\He got married and had me.\He became a fisherman.\Then he died, just like that.\Late one summer, a huge typhoon hit. response:	A lot of fisherman died when their boats sank.
context: and brought home lots of trophies and medals.\His dream was to become an Olympic swimmer.\But he never achieved that dream.\He got married and had me.\He became a fisherman.\Then he died, just like that.\Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank. response:	My dad
context: His dream was to become an Olympic swimmer.\But he never achieved that dream.\He got married and had me.\He became a fisherman.\Then he died, just like that.\Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank.\My dad response:	was one of them.
context: But he never achieved that dream.\He got married and had me.\He became a fisherman.\Then he died, just like that.\Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank.\My dad\was one of them. response:	I want to achieve the dream my dad couldn't.
context: He got married and had me.\He became a fisherman.\Then he died, just like that.\Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank.\My dad\was one of them.\I want to achieve the dream my dad couldn't. response:	And there's someone I have to beat before I can make that happen.
context: He became a fisherman.\Then he died, just like that.\Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank.\My dad\was one of them.\I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen. response:	Is that Nanase-san?
context: Then he died, just like that.\Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank.\My dad\was one of them.\I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen.\Is that Nanase-san? response:	He has incredible talent,
context: Late one summer, a huge typhoon hit.\A lot of fisherman died when their boats sank.\My dad\was one of them.\I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen.\Is that Nanase-san?\He has incredible talent, response:	but all he talks about is nonsense
context: A lot of fisherman died when their boats sank.\My dad\was one of them.\I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen.\Is that Nanase-san?\He has incredible talent,\but all he talks about is nonsense response:	like how much he loves water and wants to feel it.
context: My dad\was one of them.\I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen.\Is that Nanase-san?\He has incredible talent,\but all he talks about is nonsense\like how much he loves water and wants to feel it. response:	He doesn't swim to set records or win events.
context: was one of them.\I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen.\Is that Nanase-san?\He has incredible talent,\but all he talks about is nonsense\like how much he loves water and wants to feel it.\He doesn't swim to set records or win events. response:	And I still couldn't...
context: I want to achieve the dream my dad couldn't.\And there's someone I have to beat before I can make that happen.\Is that Nanase-san?\He has incredible talent,\but all he talks about is nonsense\like how much he loves water and wants to feel it.\He doesn't swim to set records or win events.\And I still couldn't... response:	Senpai...
context: And there's someone I have to beat before I can make that happen.\Is that Nanase-san?\He has incredible talent,\but all he talks about is nonsense\like how much he loves water and wants to feel it.\He doesn't swim to set records or win events.\And I still couldn't...\Senpai... response:	If I can't beat him,
context: Is that Nanase-san?\He has incredible talent,\but all he talks about is nonsense\like how much he loves water and wants to feel it.\He doesn't swim to set records or win events.\And I still couldn't...\Senpai...\If I can't beat him, response:	I can't move forward.
context: He has incredible talent,\but all he talks about is nonsense\like how much he loves water and wants to feel it.\He doesn't swim to set records or win events.\And I still couldn't...\Senpai...\If I can't beat him,\I can't move forward. response:	0 Days Until the Prefectural Tournament!! It's Today!!
context: but all he talks about is nonsense\like how much he loves water and wants to feel it.\He doesn't swim to set records or win events.\And I still couldn't...\Senpai...\If I can't beat him,\I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!! response:	Sorry about that, Haru.
context: like how much he loves water and wants to feel it.\He doesn't swim to set records or win events.\And I still couldn't...\Senpai...\If I can't beat him,\I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru. response:	Yeah.
context: He doesn't swim to set records or win events.\And I still couldn't...\Senpai...\If I can't beat him,\I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru.\Yeah. response:	Today's the big day.
context: And I still couldn't...\Senpai...\If I can't beat him,\I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru.\Yeah.\Today's the big day. response:	Matsuoka Family
context: Senpai...\If I can't beat him,\I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru.\Yeah.\Today's the big day.\Matsuoka Family response:	Dad, watch me.
context: If I can't beat him,\I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru.\Yeah.\Today's the big day.\Matsuoka Family\Dad, watch me. response:	I'm going to win.
context: I can't move forward.\0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru.\Yeah.\Today's the big day.\Matsuoka Family\Dad, watch me.\I'm going to win. response:	Haru-chan! Mako-chan!
context: 0 Days Until the Prefectural Tournament!! It's Today!!\Sorry about that, Haru.\Yeah.\Today's the big day.\Matsuoka Family\Dad, watch me.\I'm going to win.\Haru-chan! Mako-chan! response:	Over here!
context: Sorry about that, Haru.\Yeah.\Today's the big day.\Matsuoka Family\Dad, watch me.\I'm going to win.\Haru-chan! Mako-chan!\Over here! response:	Check this out!
context: Yeah.\Today's the big day.\Matsuoka Family\Dad, watch me.\I'm going to win.\Haru-chan! Mako-chan!\Over here!\Check this out! response:	Rei-chan was so nervous that he didn't get any sleep!
context: Today's the big day.\Matsuoka Family\Dad, watch me.\I'm going to win.\Haru-chan! Mako-chan!\Over here!\Check this out!\Rei-chan was so nervous that he didn't get any sleep! response:	I wish I had nerves of steel like you.
context: Matsuoka Family\Dad, watch me.\I'm going to win.\Haru-chan! Mako-chan!\Over here!\Check this out!\Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you. response:	You'll get there soon enough.
context: Dad, watch me.\I'm going to win.\Haru-chan! Mako-chan!\Over here!\Check this out!\Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you.\You'll get there soon enough. response:	Just relax.
context: I'm going to win.\Haru-chan! Mako-chan!\Over here!\Check this out!\Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you.\You'll get there soon enough.\Just relax. response:	That's right.
context: Haru-chan! Mako-chan!\Over here!\Check this out!\Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you.\You'll get there soon enough.\Just relax.\That's right. response:	Okay! It's time for the tournament!
context: Over here!\Check this out!\Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you.\You'll get there soon enough.\Just relax.\That's right.\Okay! It's time for the tournament! response:	Let's do our best to make a good showing
context: Check this out!\Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you.\You'll get there soon enough.\Just relax.\That's right.\Okay! It's time for the tournament!\Let's do our best to make a good showing response:	and get ourselves a bigger budget!
context: Rei-chan was so nervous that he didn't get any sleep!\I wish I had nerves of steel like you.\You'll get there soon enough.\Just relax.\That's right.\Okay! It's time for the tournament!\Let's do our best to make a good showing\and get ourselves a bigger budget! response:	Yeah!
context: I wish I had nerves of steel like you.\You'll get there soon enough.\Just relax.\That's right.\Okay! It's time for the tournament!\Let's do our best to make a good showing\and get ourselves a bigger budget!\Yeah! response:	Swimming Tournament
context: You'll get there soon enough.\Just relax.\That's right.\Okay! It's time for the tournament!\Let's do our best to make a good showing\and get ourselves a bigger budget!\Yeah!\Swimming Tournament response:	Iwatobi High School.
context: Just relax.\That's right.\Okay! It's time for the tournament!\Let's do our best to make a good showing\and get ourselves a bigger budget!\Yeah!\Swimming Tournament\Iwatobi High School. response:	Um...
context: That's right.\Okay! It's time for the tournament!\Let's do our best to make a good showing\and get ourselves a bigger budget!\Yeah!\Swimming Tournament\Iwatobi High School.\Um... response:	Yes, go ahead.
context: Okay! It's time for the tournament!\Let's do our best to make a good showing\and get ourselves a bigger budget!\Yeah!\Swimming Tournament\Iwatobi High School.\Um...\Yes, go ahead. response:	That reminds me.
context: Let's do our best to make a good showing\and get ourselves a bigger budget!\Yeah!\Swimming Tournament\Iwatobi High School.\Um...\Yes, go ahead.\That reminds me. response:	When we gave our names at a tournament in grade school,
context: and get ourselves a bigger budget!\Yeah!\Swimming Tournament\Iwatobi High School.\Um...\Yes, go ahead.\That reminds me.\When we gave our names at a tournament in grade school, response:	they started checking the girls' list.
context: Yeah!\Swimming Tournament\Iwatobi High School.\Um...\Yes, go ahead.\That reminds me.\When we gave our names at a tournament in grade school,\they started checking the girls' list. response:	You're right.
context: Swimming Tournament\Iwatobi High School.\Um...\Yes, go ahead.\That reminds me.\When we gave our names at a tournament in grade school,\they started checking the girls' list.\You're right. response:	Rei-chan also has a girly name, so it's too bad.
context: Iwatobi High School.\Um...\Yes, go ahead.\That reminds me.\When we gave our names at a tournament in grade school,\they started checking the girls' list.\You're right.\Rei-chan also has a girly name, so it's too bad. response:	What's too bad?
context: Um...\Yes, go ahead.\That reminds me.\When we gave our names at a tournament in grade school,\they started checking the girls' list.\You're right.\Rei-chan also has a girly name, so it's too bad.\What's too bad? response:	I don't understand what you're saying.
context: Yes, go ahead.\That reminds me.\When we gave our names at a tournament in grade school,\they started checking the girls' list.\You're right.\Rei-chan also has a girly name, so it's too bad.\What's too bad?\I don't understand what you're saying. response:	It's been a long time since we've been in this atmosphere.
context: That reminds me.\When we gave our names at a tournament in grade school,\they started checking the girls' list.\You're right.\Rei-chan also has a girly name, so it's too bad.\What's too bad?\I don't understand what you're saying.\It's been a long time since we've been in this atmosphere. response:	Brings back memories.
context: When we gave our names at a tournament in grade school,\they started checking the girls' list.\You're right.\Rei-chan also has a girly name, so it's too bad.\What's too bad?\I don't understand what you're saying.\It's been a long time since we've been in this atmosphere.\Brings back memories. response:	Are you okay?
context: they started checking the girls' list.\You're right.\Rei-chan also has a girly name, so it's too bad.\What's too bad?\I don't understand what you're saying.\It's been a long time since we've been in this atmosphere.\Brings back memories.\Are you okay? response:	Haven't you been in track tournaments?
context: You're right.\Rei-chan also has a girly name, so it's too bad.\What's too bad?\I don't understand what you're saying.\It's been a long time since we've been in this atmosphere.\Brings back memories.\Are you okay?\Haven't you been in track tournaments? response:	Th-This is my first swimming tournament...
context: Rei-chan also has a girly name, so it's too bad.\What's too bad?\I don't understand what you're saying.\It's been a long time since we've been in this atmosphere.\Brings back memories.\Are you okay?\Haven't you been in track tournaments?\Th-This is my first swimming tournament... response:	Here's the program for the first day.
context: What's too bad?\I don't understand what you're saying.\It's been a long time since we've been in this atmosphere.\Brings back memories.\Are you okay?\Haven't you been in track tournaments?\Th-This is my first swimming tournament...\Here's the program for the first day. response:	They're starting with free in the morning.
context: I don't understand what you're saying.\It's been a long time since we've been in this atmosphere.\Brings back memories.\Are you okay?\Haven't you been in track tournaments?\Th-This is my first swimming tournament...\Here's the program for the first day.\They're starting with free in the morning. response:	Haruka-senpai is in the fourth heat.
context: It's been a long time since we've been in this atmosphere.\Brings back memories.\Are you okay?\Haven't you been in track tournaments?\Th-This is my first swimming tournament...\Here's the program for the first day.\They're starting with free in the morning.\Haruka-senpai is in the fourth heat. response:	Wait.
context: Brings back memories.\Are you okay?\Haven't you been in track tournaments?\Th-This is my first swimming tournament...\Here's the program for the first day.\They're starting with free in the morning.\Haruka-senpai is in the fourth heat.\Wait. response:	Haru-chan and Rin-chan are in neighboring lanes.
context: Are you okay?\Haven't you been in track tournaments?\Th-This is my first swimming tournament...\Here's the program for the first day.\They're starting with free in the morning.\Haruka-senpai is in the fourth heat.\Wait.\Haru-chan and Rin-chan are in neighboring lanes. response:	Matsuoka Rin
context: Haven't you been in track tournaments?\Th-This is my first swimming tournament...\Here's the program for the first day.\They're starting with free in the morning.\Haruka-senpai is in the fourth heat.\Wait.\Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin response:	Nanase Haruka
context: Th-This is my first swimming tournament...\Here's the program for the first day.\They're starting with free in the morning.\Haruka-senpai is in the fourth heat.\Wait.\Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin\Nanase Haruka response:	The heats were drawn based on qualifying times, right?
context: Here's the program for the first day.\They're starting with free in the morning.\Haruka-senpai is in the fourth heat.\Wait.\Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin\Nanase Haruka\The heats were drawn based on qualifying times, right? response:	Yes.
context: They're starting with free in the morning.\Haruka-senpai is in the fourth heat.\Wait.\Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin\Nanase Haruka\The heats were drawn based on qualifying times, right?\Yes. response:	That means they're even.
context: Haruka-senpai is in the fourth heat.\Wait.\Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin\Nanase Haruka\The heats were drawn based on qualifying times, right?\Yes.\That means they're even. response:	The eight fastest times from each event advance to the final
context: Wait.\Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin\Nanase Haruka\The heats were drawn based on qualifying times, right?\Yes.\That means they're even.\The eight fastest times from each event advance to the final response:	and qualify for regionals.
context: Haru-chan and Rin-chan are in neighboring lanes.\Matsuoka Rin\Nanase Haruka\The heats were drawn based on qualifying times, right?\Yes.\That means they're even.\The eight fastest times from each event advance to the final\and qualify for regionals. response:	It'll be fine.
context: Matsuoka Rin\Nanase Haruka\The heats were drawn based on qualifying times, right?\Yes.\That means they're even.\The eight fastest times from each event advance to the final\and qualify for regionals.\It'll be fine. response:	No need to get nervous.
context: Nanase Haruka\The heats were drawn based on qualifying times, right?\Yes.\That means they're even.\The eight fastest times from each event advance to the final\and qualify for regionals.\It'll be fine.\No need to get nervous. response:	Just swim the way you usually do.
context: The heats were drawn based on qualifying times, right?\Yes.\That means they're even.\The eight fastest times from each event advance to the final\and qualify for regionals.\It'll be fine.\No need to get nervous.\Just swim the way you usually do. response:	The most important thing is to never give up.
context: Yes.\That means they're even.\The eight fastest times from each event advance to the final\and qualify for regionals.\It'll be fine.\No need to get nervous.\Just swim the way you usually do.\The most important thing is to never give up. response:	There's a quote by Napoleon.
context: That means they're even.\The eight fastest times from each event advance to the final\and qualify for regionals.\It'll be fine.\No need to get nervous.\Just swim the way you usually do.\The most important thing is to never give up.\There's a quote by Napoleon. response:	Five minutes make the difference between victory and defeat!
context: The eight fastest times from each event advance to the final\and qualify for regionals.\It'll be fine.\No need to get nervous.\Just swim the way you usually do.\The most important thing is to never give up.\There's a quote by Napoleon.\Five minutes make the difference between victory and defeat! response:	Five minutes?
context: and qualify for regionals.\It'll be fine.\No need to get nervous.\Just swim the way you usually do.\The most important thing is to never give up.\There's a quote by Napoleon.\Five minutes make the difference between victory and defeat!\Five minutes? response:	Miss Amakata, that's too long.
context: It'll be fine.\No need to get nervous.\Just swim the way you usually do.\The most important thing is to never give up.\There's a quote by Napoleon.\Five minutes make the difference between victory and defeat!\Five minutes?\Miss Amakata, that's too long. response:	Huh?
context: No need to get nervous.\Just swim the way you usually do.\The most important thing is to never give up.\There's a quote by Napoleon.\Five minutes make the difference between victory and defeat!\Five minutes?\Miss Amakata, that's too long.\Huh? response:	Well, see...
context: Just swim the way you usually do.\The most important thing is to never give up.\There's a quote by Napoleon.\Five minutes make the difference between victory and defeat!\Five minutes?\Miss Amakata, that's too long.\Huh?\Well, see... response:	Well, guys.
context: The most important thing is to never give up.\There's a quote by Napoleon.\Five minutes make the difference between victory and defeat!\Five minutes?\Miss Amakata, that's too long.\Huh?\Well, see...\Well, guys. response:	Do the best you can in each event.
context: There's a quote by Napoleon.\Five minutes make the difference between victory and defeat!\Five minutes?\Miss Amakata, that's too long.\Huh?\Well, see...\Well, guys.\Do the best you can in each event. response:	Let's make sure we can leave with no regrets!
context: Five minutes make the difference between victory and defeat!\Five minutes?\Miss Amakata, that's too long.\Huh?\Well, see...\Well, guys.\Do the best you can in each event.\Let's make sure we can leave with no regrets! response:	Yeah!
context: Five minutes?\Miss Amakata, that's too long.\Huh?\Well, see...\Well, guys.\Do the best you can in each event.\Let's make sure we can leave with no regrets!\Yeah! response:	That's Oga South High School, known as Oga South.
context: Miss Amakata, that's too long.\Huh?\Well, see...\Well, guys.\Do the best you can in each event.\Let's make sure we can leave with no regrets!\Yeah!\That's Oga South High School, known as Oga South. response:	They have a swimmer who's known as the Whitebait of the Sea of Japan.
context: Huh?\Well, see...\Well, guys.\Do the best you can in each event.\Let's make sure we can leave with no regrets!\Yeah!\That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan. response:	They have someone with that nickname?
context: Well, see...\Well, guys.\Do the best you can in each event.\Let's make sure we can leave with no regrets!\Yeah!\That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname? response:	And over there is Saijouin High School.
context: Well, guys.\Do the best you can in each event.\Let's make sure we can leave with no regrets!\Yeah!\That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname?\And over there is Saijouin High School. response:	They have a swimmer who's known as Joe the Flying Fish.
context: Do the best you can in each event.\Let's make sure we can leave with no regrets!\Yeah!\That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname?\And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish. response:	He has an incredible vertical.
context: Let's make sure we can leave with no regrets!\Yeah!\That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname?\And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical. response:	That seems kind of cool.
context: Yeah!\That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname?\And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical.\That seems kind of cool. response:	I want a nickname, too.
context: That's Oga South High School, known as Oga South.\They have a swimmer who's known as the Whitebait of the Sea of Japan.\They have someone with that nickname?\And over there is Saijouin High School.\They have a swimmer who's known as Joe the Flying Fish.\He has an incredible vertical.\That seems kind of cool.\I want a nickname, too. response:	You always stretch yourself out more near the end of a race.
