context: I'm thinking of quitting the rental girlfriend job. response:	Ruka-chan
context: But now I know what a rental girlfriend is all about.\And I have zero intention of criticizing your line of work.\But let me just say one thing.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Drop this fake couple business right now.\I mean, the people at college seriously believe it's real.\I can't watch it go on. response:	I feel sorry for Kazu-kun, too.
context: And I have zero intention of criticizing your line of work.\But let me just say one thing.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Drop this fake couple business right now.\I mean, the people at college seriously believe it's real.\I can't watch it go on.\I feel sorry for Kazu-kun, too. response:	As long as he has a rental girlfriend, he'll never find a real one.
context: But let me just say one thing.\Mizuhara Chizuru\A pure and refined high-class girlfriend\Drop this fake couple business right now.\I mean, the people at college seriously believe it's real.\I can't watch it go on.\I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one. response:	And this... loveless relationship of yours,
context: Mizuhara Chizuru\A pure and refined high-class girlfriend\Drop this fake couple business right now.\I mean, the people at college seriously believe it's real.\I can't watch it go on.\I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours, response:	his paying money to show you off as his girlfriend,
context: A pure and refined high-class girlfriend\Drop this fake couple business right now.\I mean, the people at college seriously believe it's real.\I can't watch it go on.\I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours,\his paying money to show you off as his girlfriend, response:	and your fake-ass smile...
context: Drop this fake couple business right now.\I mean, the people at college seriously believe it's real.\I can't watch it go on.\I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours,\his paying money to show you off as his girlfriend,\and your fake-ass smile... response:	It all pisses me off just a teensy bit.
context: I mean, the people at college seriously believe it's real.\I can't watch it go on.\I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours,\his paying money to show you off as his girlfriend,\and your fake-ass smile...\It all pisses me off just a teensy bit. response:	Thank you! Come again!
context: I can't watch it go on.\I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours,\his paying money to show you off as his girlfriend,\and your fake-ass smile...\It all pisses me off just a teensy bit.\Thank you! Come again! response:	Karaoke Village
context: I feel sorry for Kazu-kun, too.\As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours,\his paying money to show you off as his girlfriend,\and your fake-ass smile...\It all pisses me off just a teensy bit.\Thank you! Come again!\Karaoke Village response:	Kazuya-kun, what were you about to say earlier?
context: As long as he has a rental girlfriend, he'll never find a real one.\And this... loveless relationship of yours,\his paying money to show you off as his girlfriend,\and your fake-ass smile...\It all pisses me off just a teensy bit.\Thank you! Come again!\Karaoke Village\Kazuya-kun, what were you about to say earlier? response:	Sorry, Ruka-chan.
context: And this... loveless relationship of yours,\his paying money to show you off as his girlfriend,\and your fake-ass smile...\It all pisses me off just a teensy bit.\Thank you! Come again!\Karaoke Village\Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan. response:	Not right now.
context: his paying money to show you off as his girlfriend,\and your fake-ass smile...\It all pisses me off just a teensy bit.\Thank you! Come again!\Karaoke Village\Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan.\Not right now. response:	She knew!
context: and your fake-ass smile...\It all pisses me off just a teensy bit.\Thank you! Come again!\Karaoke Village\Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan.\Not right now.\She knew! response:	I have to return your money.
context: It all pisses me off just a teensy bit.\Thank you! Come again!\Karaoke Village\Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan.\Not right now.\She knew!\I have to return your money. response:	There did seem to be money involved.
context: Thank you! Come again!\Karaoke Village\Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan.\Not right now.\She knew!\I have to return your money.\There did seem to be money involved. response:	It all pisses me off just a teensy bit.
context: Karaoke Village\Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan.\Not right now.\She knew!\I have to return your money.\There did seem to be money involved.\It all pisses me off just a teensy bit. response:	And Mami-chan seemed mad!
context: Kazuya-kun, what were you about to say earlier?\Sorry, Ruka-chan.\Not right now.\She knew!\I have to return your money.\There did seem to be money involved.\It all pisses me off just a teensy bit.\And Mami-chan seemed mad! response:	So did she rent Mizuhara after finding out we were lying?
context: Sorry, Ruka-chan.\Not right now.\She knew!\I have to return your money.\There did seem to be money involved.\It all pisses me off just a teensy bit.\And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying? response:	Mizuhara's not in the wrong here.
context: Not right now.\She knew!\I have to return your money.\There did seem to be money involved.\It all pisses me off just a teensy bit.\And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here. response:	I am!
context: She knew!\I have to return your money.\There did seem to be money involved.\It all pisses me off just a teensy bit.\And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here.\I am! response:	She's just going along with my scheme out of pity!
context: I have to return your money.\There did seem to be money involved.\It all pisses me off just a teensy bit.\And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here.\I am!\She's just going along with my scheme out of pity! response:	I can't let her take all the heat!
context: There did seem to be money involved.\It all pisses me off just a teensy bit.\And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here.\I am!\She's just going along with my scheme out of pity!\I can't let her take all the heat! response:	Glug glug glug glug
context: It all pisses me off just a teensy bit.\And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here.\I am!\She's just going along with my scheme out of pity!\I can't let her take all the heat!\Glug glug glug glug response:	What's wrong with you, Kinoshita?!
context: And Mami-chan seemed mad!\So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here.\I am!\She's just going along with my scheme out of pity!\I can't let her take all the heat!\Glug glug glug glug\What's wrong with you, Kinoshita?! response:	Did you throw up?
context: So did she rent Mizuhara after finding out we were lying?\Mizuhara's not in the wrong here.\I am!\She's just going along with my scheme out of pity!\I can't let her take all the heat!\Glug glug glug glug\What's wrong with you, Kinoshita?!\Did you throw up? response:	Kazuya-kun?!
context: Mizuhara's not in the wrong here.\I am!\She's just going along with my scheme out of pity!\I can't let her take all the heat!\Glug glug glug glug\What's wrong with you, Kinoshita?!\Did you throw up?\Kazuya-kun?! response:	U g h...
context: I am!\She's just going along with my scheme out of pity!\I can't let her take all the heat!\Glug glug glug glug\What's wrong with you, Kinoshita?!\Did you throw up?\Kazuya-kun?!\U g h... response:	I'm sorry... I just got sick all of a sudden...
context: She's just going along with my scheme out of pity!\I can't let her take all the heat!\Glug glug glug glug\What's wrong with you, Kinoshita?!\Did you throw up?\Kazuya-kun?!\U g h...\I'm sorry... I just got sick all of a sudden... response:	Are you okay?!
context: I can't let her take all the heat!\Glug glug glug glug\What's wrong with you, Kinoshita?!\Did you throw up?\Kazuya-kun?!\U g h...\I'm sorry... I just got sick all of a sudden...\Are you okay?! response:	Don't apologize! Is it the flu?! Go on home already!
context: Glug glug glug glug\What's wrong with you, Kinoshita?!\Did you throw up?\Kazuya-kun?!\U g h...\I'm sorry... I just got sick all of a sudden...\Are you okay?!\Don't apologize! Is it the flu?! Go on home already! response:	Thank you. I'll go see a doctor.
context: What's wrong with you, Kinoshita?!\Did you throw up?\Kazuya-kun?!\U g h...\I'm sorry... I just got sick all of a sudden...\Are you okay?!\Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor. response:	I'll take you there!
context: Did you throw up?\Kazuya-kun?!\U g h...\I'm sorry... I just got sick all of a sudden...\Are you okay?!\Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor.\I'll take you there! response:	Nah.
context: Kazuya-kun?!\U g h...\I'm sorry... I just got sick all of a sudden...\Are you okay?!\Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor.\I'll take you there!\Nah. response:	I don't want to pass it on to you, and we can't both take off work at once.
context: U g h...\I'm sorry... I just got sick all of a sudden...\Are you okay?!\Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor.\I'll take you there!\Nah.\I don't want to pass it on to you, and we can't both take off work at once. response:	Kazuya-kun...
context: I'm sorry... I just got sick all of a sudden...\Are you okay?!\Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor.\I'll take you there!\Nah.\I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun... response:	I'm sorry.
context: Are you okay?!\Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor.\I'll take you there!\Nah.\I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun...\I'm sorry. response:	Which way did they go?!
context: Don't apologize! Is it the flu?! Go on home already!\Thank you. I'll go see a doctor.\I'll take you there!\Nah.\I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun...\I'm sorry.\Which way did they go?! response:	The station? They can't have gotten too far!
context: Thank you. I'll go see a doctor.\I'll take you there!\Nah.\I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun...\I'm sorry.\Which way did they go?!\The station? They can't have gotten too far! response:	This is all on me!
context: I'll take you there!\Nah.\I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun...\I'm sorry.\Which way did they go?!\The station? They can't have gotten too far!\This is all on me! response:	Drop this fake couple business right now.
context: Nah.\I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun...\I'm sorry.\Which way did they go?!\The station? They can't have gotten too far!\This is all on me!\Drop this fake couple business right now. response:	It's all on me for trying to act cool in front of my friends!
context: I don't want to pass it on to you, and we can't both take off work at once.\Kazuya-kun...\I'm sorry.\Which way did they go?!\The station? They can't have gotten too far!\This is all on me!\Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends! response:	Mizuhara's about to quit the business, too.
context: Kazuya-kun...\I'm sorry.\Which way did they go?!\The station? They can't have gotten too far!\This is all on me!\Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too. response:	Why'd this have to happen right before it all ended?!
context: I'm sorry.\Which way did they go?!\The station? They can't have gotten too far!\This is all on me!\Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?! response:	Sorry, Mizuhara...
context: Which way did they go?!\The station? They can't have gotten too far!\This is all on me!\Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?!\Sorry, Mizuhara... response:	I'm so sorry!
context: The station? They can't have gotten too far!\This is all on me!\Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?!\Sorry, Mizuhara...\I'm so sorry! response:	F-Found them.
context: This is all on me!\Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?!\Sorry, Mizuhara...\I'm so sorry!\F-Found them. response:	Rent - a - Girlfriend
context: Drop this fake couple business right now.\It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?!\Sorry, Mizuhara...\I'm so sorry!\F-Found them.\Rent - a - Girlfriend response:	Mizuhara!
context: It's all on me for trying to act cool in front of my friends!\Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?!\Sorry, Mizuhara...\I'm so sorry!\F-Found them.\Rent - a - Girlfriend\Mizuhara! response:	Don't be seen
context: Mizuhara's about to quit the business, too.\Why'd this have to happen right before it all ended?!\Sorry, Mizuhara...\I'm so sorry!\F-Found them.\Rent - a - Girlfriend\Mizuhara!\Don't be seen response:	Don't be seen
context: Why'd this have to happen right before it all ended?!\Sorry, Mizuhara...\I'm so sorry!\F-Found them.\Rent - a - Girlfriend\Mizuhara!\Don't be seen\Don't be seen response:	I'm good from here.
context: Sorry, Mizuhara...\I'm so sorry!\F-Found them.\Rent - a - Girlfriend\Mizuhara!\Don't be seen\Don't be seen\I'm good from here. response:	Again, sorry about the nasty surprise.
context: I'm so sorry!\F-Found them.\Rent - a - Girlfriend\Mizuhara!\Don't be seen\Don't be seen\I'm good from here.\Again, sorry about the nasty surprise. response:	But hey, nothing wrong with a girl renting you, right?
context: F-Found them.\Rent - a - Girlfriend\Mizuhara!\Don't be seen\Don't be seen\I'm good from here.\Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right? response:	Has it happened before?
context: Rent - a - Girlfriend\Mizuhara!\Don't be seen\Don't be seen\I'm good from here.\Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right?\Has it happened before? response:	No, not with me.
context: Mizuhara!\Don't be seen\Don't be seen\I'm good from here.\Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right?\Has it happened before?\No, not with me. response:	Well, that's unexpected, with so many lonely people around nowadays.
context: Don't be seen\Don't be seen\I'm good from here.\Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right?\Has it happened before?\No, not with me.\Well, that's unexpected, with so many lonely people around nowadays. response:	To be clear, I'm not about to reject your line of work.
context: Don't be seen\I'm good from here.\Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right?\Has it happened before?\No, not with me.\Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work. response:	I just thought it'd be weird not to let you know that I know.
context: I'm good from here.\Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right?\Has it happened before?\No, not with me.\Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know. response:	Don't worry. I won't tell anyone at college.
context: Again, sorry about the nasty surprise.\But hey, nothing wrong with a girl renting you, right?\Has it happened before?\No, not with me.\Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college. response:	I got my point across, and I had fun along the way.
context: But hey, nothing wrong with a girl renting you, right?\Has it happened before?\No, not with me.\Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way. response:	You're so cute.
context: Has it happened before?\No, not with me.\Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way.\You're so cute. response:	I bet you have all the boys up in seventh heaven.
context: No, not with me.\Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way.\You're so cute.\I bet you have all the boys up in seventh heaven. response:	Well, later.
context: Well, that's unexpected, with so many lonely people around nowadays.\To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way.\You're so cute.\I bet you have all the boys up in seventh heaven.\Well, later. response:	How do you feel?
context: To be clear, I'm not about to reject your line of work.\I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way.\You're so cute.\I bet you have all the boys up in seventh heaven.\Well, later.\How do you feel? response:	About Kazuya-san.
context: I just thought it'd be weird not to let you know that I know.\Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way.\You're so cute.\I bet you have all the boys up in seventh heaven.\Well, later.\How do you feel?\About Kazuya-san. response:	He has mentioned to me that he swore he'd make you happy...
context: Don't worry. I won't tell anyone at college.\I got my point across, and I had fun along the way.\You're so cute.\I bet you have all the boys up in seventh heaven.\Well, later.\How do you feel?\About Kazuya-san.\He has mentioned to me that he swore he'd make you happy... response:	That you aren't someone he could just forget.
context: I got my point across, and I had fun along the way.\You're so cute.\I bet you have all the boys up in seventh heaven.\Well, later.\How do you feel?\About Kazuya-san.\He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget. response:	Deleting those feelings so easily just seems shallow to me.
context: You're so cute.\I bet you have all the boys up in seventh heaven.\Well, later.\How do you feel?\About Kazuya-san.\He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me. response:	I'm such scum, huh?
context: I bet you have all the boys up in seventh heaven.\Well, later.\How do you feel?\About Kazuya-san.\He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh? response:	Getting all pathetic over something that's in the past...
context: Well, later.\How do you feel?\About Kazuya-san.\He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh?\Getting all pathetic over something that's in the past... response:	I'm sure you still hold a special place in his heart.
context: How do you feel?\About Kazuya-san.\He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh?\Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart. response:	And you?
context: About Kazuya-san.\He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh?\Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart.\And you? response:	How do you feel about him?
context: He has mentioned to me that he swore he'd make you happy...\That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh?\Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart.\And you?\How do you feel about him? response:	What do you mean?
context: That you aren't someone he could just forget.\Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh?\Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart.\And you?\How do you feel about him?\What do you mean? response:	I mean, it's been a year.
context: Deleting those feelings so easily just seems shallow to me.\I'm such scum, huh?\Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart.\And you?\How do you feel about him?\What do you mean?\I mean, it's been a year. response:	You've played his girlfriend for an entire year.
context: I'm such scum, huh?\Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart.\And you?\How do you feel about him?\What do you mean?\I mean, it's been a year.\You've played his girlfriend for an entire year. response:	Does your agency know about this?
context: Getting all pathetic over something that's in the past...\I'm sure you still hold a special place in his heart.\And you?\How do you feel about him?\What do you mean?\I mean, it's been a year.\You've played his girlfriend for an entire year.\Does your agency know about this? response:	You could've fallen for him while being his rental girlfriend.
context: I'm sure you still hold a special place in his heart.\And you?\How do you feel about him?\What do you mean?\I mean, it's been a year.\You've played his girlfriend for an entire year.\Does your agency know about this?\You could've fallen for him while being his rental girlfriend. response:	It's possible, isn't it?
context: And you?\How do you feel about him?\What do you mean?\I mean, it's been a year.\You've played his girlfriend for an entire year.\Does your agency know about this?\You could've fallen for him while being his rental girlfriend.\It's possible, isn't it? response:	He's my boyfriend!
context: How do you feel about him?\What do you mean?\I mean, it's been a year.\You've played his girlfriend for an entire year.\Does your agency know about this?\You could've fallen for him while being his rental girlfriend.\It's possible, isn't it?\He's my boyfriend! response:	Wow. Way to dodge the question.
context: What do you mean?\I mean, it's been a year.\You've played his girlfriend for an entire year.\Does your agency know about this?\You could've fallen for him while being his rental girlfriend.\It's possible, isn't it?\He's my boyfriend!\Wow. Way to dodge the question. response:	Is that part of your shtick, too?
context: I mean, it's been a year.\You've played his girlfriend for an entire year.\Does your agency know about this?\You could've fallen for him while being his rental girlfriend.\It's possible, isn't it?\He's my boyfriend!\Wow. Way to dodge the question.\Is that part of your shtick, too? response:	Well, you must have your reasons. I'm not gonna poke and pry.
context: You've played his girlfriend for an entire year.\Does your agency know about this?\You could've fallen for him while being his rental girlfriend.\It's possible, isn't it?\He's my boyfriend!\Wow. Way to dodge the question.\Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry. response:	But hey, you're only human, right?
context: Does your agency know about this?\You could've fallen for him while being his rental girlfriend.\It's possible, isn't it?\He's my boyfriend!\Wow. Way to dodge the question.\Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right? response:	That's enough.
context: You could've fallen for him while being his rental girlfriend.\It's possible, isn't it?\He's my boyfriend!\Wow. Way to dodge the question.\Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right?\That's enough. response:	I just thought it was a possibility.
context: It's possible, isn't it?\He's my boyfriend!\Wow. Way to dodge the question.\Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right?\That's enough.\I just thought it was a possibility. response:	You've done enough, Mizuhara.
context: He's my boyfriend!\Wow. Way to dodge the question.\Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right?\That's enough.\I just thought it was a possibility.\You've done enough, Mizuhara. response:	Goodbye.
context: Wow. Way to dodge the question.\Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right?\That's enough.\I just thought it was a possibility.\You've done enough, Mizuhara.\Goodbye. response:	You have no idea how much I liked Mami-chan,
context: Is that part of your shtick, too?\Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right?\That's enough.\I just thought it was a possibility.\You've done enough, Mizuhara.\Goodbye.\You have no idea how much I liked Mami-chan, response:	or how hurt I was when she dumped me!
context: Well, you must have your reasons. I'm not gonna poke and pry.\But hey, you're only human, right?\That's enough.\I just thought it was a possibility.\You've done enough, Mizuhara.\Goodbye.\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me! response:	I'm so sorry, Mizuhara.
context: But hey, you're only human, right?\That's enough.\I just thought it was a possibility.\You've done enough, Mizuhara.\Goodbye.\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\I'm so sorry, Mizuhara. response:	I really don't know what's wrong with me.
context: That's enough.\I just thought it was a possibility.\You've done enough, Mizuhara.\Goodbye.\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\I'm so sorry, Mizuhara.\I really don't know what's wrong with me. response:	Wait.
context: I just thought it was a possibility.\You've done enough, Mizuhara.\Goodbye.\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\I'm so sorry, Mizuhara.\I really don't know what's wrong with me.\Wait. response:	Wait, please!
context: You've done enough, Mizuhara.\Goodbye.\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\I'm so sorry, Mizuhara.\I really don't know what's wrong with me.\Wait.\Wait, please! response:	We're not done here!
context: Goodbye.\You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\I'm so sorry, Mizuhara.\I really don't know what's wrong with me.\Wait.\Wait, please!\We're not done here! response:	Give it some more thought!
context: You have no idea how much I liked Mami-chan,\or how hurt I was when she dumped me!\I'm so sorry, Mizuhara.\I really don't know what's wrong with me.\Wait.\Wait, please!\We're not done here!\Give it some more thought! response:	Give him a chance!
context: or how hurt I was when she dumped me!\I'm so sorry, Mizuhara.\I really don't know what's wrong with me.\Wait.\Wait, please!\We're not done here!\Give it some more thought!\Give him a chance! response:	Being a rental girlfriend helped me realize just how important love really is,
context: I'm so sorry, Mizuhara.\I really don't know what's wrong with me.\Wait.\Wait, please!\We're not done here!\Give it some more thought!\Give him a chance!\Being a rental girlfriend helped me realize just how important love really is, response:	and how difficult it really is to fall in love with someone!
context: I really don't know what's wrong with me.\Wait.\Wait, please!\We're not done here!\Give it some more thought!\Give him a chance!\Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone! response:	Have you ever faced his feelings for you head-on and in good faith?
context: Wait.\Wait, please!\We're not done here!\Give it some more thought!\Give him a chance!\Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith? response:	Have you ever seriously tried to engage with his love for you?
context: Wait, please!\We're not done here!\Give it some more thought!\Give him a chance!\Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you? response:	Have you...
context: We're not done here!\Give it some more thought!\Give him a chance!\Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you?\Have you... response:	ever considered that he could be the one to make you happy for life?
context: Give it some more thought!\Give him a chance!\Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you?\Have you...\ever considered that he could be the one to make you happy for life? response:	Buzz off.
context: Give him a chance!\Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you?\Have you...\ever considered that he could be the one to make you happy for life?\Buzz off. response:	That's between him and me.
context: Being a rental girlfriend helped me realize just how important love really is,\and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you?\Have you...\ever considered that he could be the one to make you happy for life?\Buzz off.\That's between him and me. response:	Kinoshita
context: and how difficult it really is to fall in love with someone!\Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you?\Have you...\ever considered that he could be the one to make you happy for life?\Buzz off.\That's between him and me.\Kinoshita response:	Kinoshita
context: Have you ever faced his feelings for you head-on and in good faith?\Have you ever seriously tried to engage with his love for you?\Have you...\ever considered that he could be the one to make you happy for life?\Buzz off.\That's between him and me.\Kinoshita\Kinoshita response:	Hey.
context: Have you ever seriously tried to engage with his love for you?\Have you...\ever considered that he could be the one to make you happy for life?\Buzz off.\That's between him and me.\Kinoshita\Kinoshita\Hey. response:	You're in my way.
context: Have you...\ever considered that he could be the one to make you happy for life?\Buzz off.\That's between him and me.\Kinoshita\Kinoshita\Hey.\You're in my way. response:	S-Sorry.
context: ever considered that he could be the one to make you happy for life?\Buzz off.\That's between him and me.\Kinoshita\Kinoshita\Hey.\You're in my way.\S-Sorry. response:	And thanks.
context: Buzz off.\That's between him and me.\Kinoshita\Kinoshita\Hey.\You're in my way.\S-Sorry.\And thanks. response:	I saw the whole thing... with Mami-chan.
context: That's between him and me.\Kinoshita\Kinoshita\Hey.\You're in my way.\S-Sorry.\And thanks.\I saw the whole thing... with Mami-chan. response:	What?!
context: Kinoshita\Kinoshita\Hey.\You're in my way.\S-Sorry.\And thanks.\I saw the whole thing... with Mami-chan.\What?! response:	What do you mean, you saw it?!
context: Kinoshita\Hey.\You're in my way.\S-Sorry.\And thanks.\I saw the whole thing... with Mami-chan.\What?!\What do you mean, you saw it?! response:	Ichinose
context: Hey.\You're in my way.\S-Sorry.\And thanks.\I saw the whole thing... with Mami-chan.\What?!\What do you mean, you saw it?!\Ichinose response:	I wasn't stalking or anything!
context: You're in my way.\S-Sorry.\And thanks.\I saw the whole thing... with Mami-chan.\What?!\What do you mean, you saw it?!\Ichinose\I wasn't stalking or anything! response:	I wasn't stalking or anything!!
context: S-Sorry.\And thanks.\I saw the whole thing... with Mami-chan.\What?!\What do you mean, you saw it?!\Ichinose\I wasn't stalking or anything!\I wasn't stalking or anything!! response:	I work at that karaoke place!
context: And thanks.\I saw the whole thing... with Mami-chan.\What?!\What do you mean, you saw it?!\Ichinose\I wasn't stalking or anything!\I wasn't stalking or anything!!\I work at that karaoke place! response:	You work there!?
context: I saw the whole thing... with Mami-chan.\What?!\What do you mean, you saw it?!\Ichinose\I wasn't stalking or anything!\I wasn't stalking or anything!!\I work at that karaoke place!\You work there!? response:	You work there?!
