context: GDF Base on the Front Lines Undina Air Space response:	<The primitive beings! Hunt them down to the last one!>
context: Hurry.\Yes, sir...\Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us?\They wouldn't!\Special training?\And here I was in the groove... response:	Seriously?
context: Yes, sir...\Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us?\They wouldn't!\Special training?\And here I was in the groove...\Seriously? response:	Hurry on board.
context: Team Rabbits, report to Gate 0131 ASAP.\Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us?\They wouldn't!\Special training?\And here I was in the groove...\Seriously?\Hurry on board. response:	Thank you for the candy.
context: Gate 0131? Doesn't that gate lead to outer space?\Why? Are they gonna exile us?\They wouldn't!\Special training?\And here I was in the groove...\Seriously?\Hurry on board.\Thank you for the candy. response:	Yes?
context: Why? Are they gonna exile us?\They wouldn't!\Special training?\And here I was in the groove...\Seriously?\Hurry on board.\Thank you for the candy.\Yes? response:	If possible, could I have that one?
context: They wouldn't!\Special training?\And here I was in the groove...\Seriously?\Hurry on board.\Thank you for the candy.\Yes?\If possible, could I have that one? response:	Scumbag!
context: Special training?\And here I was in the groove...\Seriously?\Hurry on board.\Thank you for the candy.\Yes?\If possible, could I have that one?\Scumbag! response:	Pervert!
context: And here I was in the groove...\Seriously?\Hurry on board.\Thank you for the candy.\Yes?\If possible, could I have that one?\Scumbag!\Pervert! response:	You gotta respect that.
context: Seriously?\Hurry on board.\Thank you for the candy.\Yes?\If possible, could I have that one?\Scumbag!\Pervert!\You gotta respect that. response:	Respect what?
context: Hurry on board.\Thank you for the candy.\Yes?\If possible, could I have that one?\Scumbag!\Pervert!\You gotta respect that.\Respect what? response:	That was lost on me.
context: Thank you for the candy.\Yes?\If possible, could I have that one?\Scumbag!\Pervert!\You gotta respect that.\Respect what?\That was lost on me. response:	Izuru, you're also a pervert.
context: Yes?\If possible, could I have that one?\Scumbag!\Pervert!\You gotta respect that.\Respect what?\That was lost on me.\Izuru, you're also a pervert. response:	Awesome!
context: If possible, could I have that one?\Scumbag!\Pervert!\You gotta respect that.\Respect what?\That was lost on me.\Izuru, you're also a pervert.\Awesome! response:	Uh, there are five units...
context: Scumbag!\Pervert!\You gotta respect that.\Respect what?\That was lost on me.\Izuru, you're also a pervert.\Awesome!\Uh, there are five units... response:	I can see that!
context: Pervert!\You gotta respect that.\Respect what?\That was lost on me.\Izuru, you're also a pervert.\Awesome!\Uh, there are five units...\I can see that! response:	Don't tell me...
context: You gotta respect that.\Respect what?\That was lost on me.\Izuru, you're also a pervert.\Awesome!\Uh, there are five units...\I can see that!\Don't tell me... response:	Team Rabbits!
context: Respect what?\That was lost on me.\Izuru, you're also a pervert.\Awesome!\Uh, there are five units...\I can see that!\Don't tell me...\Team Rabbits! response:	Team Rabbits will hereby depart for Undina.
context: That was lost on me.\Izuru, you're also a pervert.\Awesome!\Uh, there are five units...\I can see that!\Don't tell me...\Team Rabbits!\Team Rabbits will hereby depart for Undina. response:	Uh, isn't Undina currently under Wulgaru attack...?
context: Izuru, you're also a pervert.\Awesome!\Uh, there are five units...\I can see that!\Don't tell me...\Team Rabbits!\Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...? response:	You will be briefed about your mission upon boarding Godinion.
context: Awesome!\Uh, there are five units...\I can see that!\Don't tell me...\Team Rabbits!\Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion. response:	Transport the AHSMB units into the Pit.
context: Uh, there are five units...\I can see that!\Don't tell me...\Team Rabbits!\Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit. response:	I repeat: Transport the AHSMB into the Pit.
context: I can see that!\Don't tell me...\Team Rabbits!\Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit. response:	Sir, this would be our first time piloting actual units...
context: Don't tell me...\Team Rabbits!\Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units... response:	Their basic commands are the same as the practice units.
context: Team Rabbits!\Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units. response:	In fact, they should prove easier to pilot.
context: Team Rabbits will hereby depart for Undina.\Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot. response:	The JURIA-SYSTEM has been uploaded into them.
context: Uh, isn't Undina currently under Wulgaru attack...?\You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them. response:	Who's Juria again?
context: You will be briefed about your mission upon boarding Godinion.\Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them.\Who's Juria again? response:	The system architect.
context: Transport the AHSMB units into the Pit.\I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them.\Who's Juria again?\The system architect. response:	By incorporating the pilot's DNA, this system increases AHSMB's precision.
context: I repeat: Transport the AHSMB into the Pit.\Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them.\Who's Juria again?\The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision. response:	We have already uploaded your DNA data into the JURIA-SYSTEM.
context: Sir, this would be our first time piloting actual units...\Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them.\Who's Juria again?\The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM. response:	Now then, I shall announce your formation.
context: Their basic commands are the same as the practice units.\In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them.\Who's Juria again?\The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation. response:	Gunner: Suruga.
context: In fact, they should prove easier to pilot.\The JURIA-SYSTEM has been uploaded into them.\Who's Juria again?\The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation.\Gunner: Suruga. response:	Control Unit: Kei.
context: The JURIA-SYSTEM has been uploaded into them.\Who's Juria again?\The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation.\Gunner: Suruga.\Control Unit: Kei. response:	Booster Unit: Tamaki.
context: Who's Juria again?\The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation.\Gunner: Suruga.\Control Unit: Kei.\Booster Unit: Tamaki. response:	Forward Unit: Asagi.
context: The system architect.\By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation.\Gunner: Suruga.\Control Unit: Kei.\Booster Unit: Tamaki.\Forward Unit: Asagi. response:	And the leader... is Izuru Hitachi.
context: By incorporating the pilot's DNA, this system increases AHSMB's precision.\We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation.\Gunner: Suruga.\Control Unit: Kei.\Booster Unit: Tamaki.\Forward Unit: Asagi.\And the leader... is Izuru Hitachi. response:	You will be the leader in this operation.
context: We have already uploaded your DNA data into the JURIA-SYSTEM.\Now then, I shall announce your formation.\Gunner: Suruga.\Control Unit: Kei.\Booster Unit: Tamaki.\Forward Unit: Asagi.\And the leader... is Izuru Hitachi.\You will be the leader in this operation. response:	The leader?
context: Now then, I shall announce your formation.\Gunner: Suruga.\Control Unit: Kei.\Booster Unit: Tamaki.\Forward Unit: Asagi.\And the leader... is Izuru Hitachi.\You will be the leader in this operation.\The leader? response:	Our leader?
context: Gunner: Suruga.\Control Unit: Kei.\Booster Unit: Tamaki.\Forward Unit: Asagi.\And the leader... is Izuru Hitachi.\You will be the leader in this operation.\The leader?\Our leader? response:	The leader...
context: Control Unit: Kei.\Booster Unit: Tamaki.\Forward Unit: Asagi.\And the leader... is Izuru Hitachi.\You will be the leader in this operation.\The leader?\Our leader?\The leader... response:	For real?
context: Booster Unit: Tamaki.\Forward Unit: Asagi.\And the leader... is Izuru Hitachi.\You will be the leader in this operation.\The leader?\Our leader?\The leader...\For real? response:	This is Godinion. Requesting permission for takeoff.
context: Forward Unit: Asagi.\And the leader... is Izuru Hitachi.\You will be the leader in this operation.\The leader?\Our leader?\The leader...\For real?\This is Godinion. Requesting permission for takeoff. response:	This is control. Godinion is cleared for takeoff.
context: And the leader... is Izuru Hitachi.\You will be the leader in this operation.\The leader?\Our leader?\The leader...\For real?\This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff. response:	Cleared for takeoff. All ranges: Green.
context: You will be the leader in this operation.\The leader?\Our leader?\The leader...\For real?\This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green. response:	Increasing backup engine output.
context: The leader?\Our leader?\The leader...\For real?\This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green.\Increasing backup engine output. response:	Activating turbine activation sequence.
context: Our leader?\The leader...\For real?\This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green.\Increasing backup engine output.\Activating turbine activation sequence. response:	External power has been established. Disconnect all equipment.
context: The leader...\For real?\This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green.\Increasing backup engine output.\Activating turbine activation sequence.\External power has been established. Disconnect all equipment. response:	AUP activated. All hatches closed.
context: For real?\This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green.\Increasing backup engine output.\Activating turbine activation sequence.\External power has been established. Disconnect all equipment.\AUP activated. All hatches closed. response:	External pressure increasing. Turbines activated.
context: This is Godinion. Requesting permission for takeoff.\This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green.\Increasing backup engine output.\Activating turbine activation sequence.\External power has been established. Disconnect all equipment.\AUP activated. All hatches closed.\External pressure increasing. Turbines activated. response:	Main engine military!
context: This is control. Godinion is cleared for takeoff.\Cleared for takeoff. All ranges: Green.\Increasing backup engine output.\Activating turbine activation sequence.\External power has been established. Disconnect all equipment.\AUP activated. All hatches closed.\External pressure increasing. Turbines activated.\Main engine military! response:	Take off!
context: Cleared for takeoff. All ranges: Green.\Increasing backup engine output.\Activating turbine activation sequence.\External power has been established. Disconnect all equipment.\AUP activated. All hatches closed.\External pressure increasing. Turbines activated.\Main engine military!\Take off! response:	I will explain the operation.
context: Increasing backup engine output.\Activating turbine activation sequence.\External power has been established. Disconnect all equipment.\AUP activated. All hatches closed.\External pressure increasing. Turbines activated.\Main engine military!\Take off!\I will explain the operation. response:	Undina is the GDF's frontline base, located at coordinates CR-34.
context: Activating turbine activation sequence.\External power has been established. Disconnect all equipment.\AUP activated. All hatches closed.\External pressure increasing. Turbines activated.\Main engine military!\Take off!\I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34. response:	It is currently under enemy attack.
context: External power has been established. Disconnect all equipment.\AUP activated. All hatches closed.\External pressure increasing. Turbines activated.\Main engine military!\Take off!\I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack. response:	We are to evacuate and abandon this base.
context: AUP activated. All hatches closed.\External pressure increasing. Turbines activated.\Main engine military!\Take off!\I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack.\We are to evacuate and abandon this base. response:	The operation is simple.
context: External pressure increasing. Turbines activated.\Main engine military!\Take off!\I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack.\We are to evacuate and abandon this base.\The operation is simple. response:	You must buy time while the personnel evacuate Undina Base.
context: Main engine military!\Take off!\I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack.\We are to evacuate and abandon this base.\The operation is simple.\You must buy time while the personnel evacuate Undina Base. response:	That is all.
context: Take off!\I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack.\We are to evacuate and abandon this base.\The operation is simple.\You must buy time while the personnel evacuate Undina Base.\That is all. response:	They will finish evacuating in three hours.
context: I will explain the operation.\Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack.\We are to evacuate and abandon this base.\The operation is simple.\You must buy time while the personnel evacuate Undina Base.\That is all.\They will finish evacuating in three hours. response:	We expect the base to fall in 2.5 hours.
context: Undina is the GDF's frontline base, located at coordinates CR-34.\It is currently under enemy attack.\We are to evacuate and abandon this base.\The operation is simple.\You must buy time while the personnel evacuate Undina Base.\That is all.\They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours. response:	All you have to do is throw the enemy into disarray and
context: It is currently under enemy attack.\We are to evacuate and abandon this base.\The operation is simple.\You must buy time while the personnel evacuate Undina Base.\That is all.\They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and response:	upset their plans for thirty minutes.
context: We are to evacuate and abandon this base.\The operation is simple.\You must buy time while the personnel evacuate Undina Base.\That is all.\They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes. response:	Okay?
context: The operation is simple.\You must buy time while the personnel evacuate Undina Base.\That is all.\They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes.\Okay? response:	Yes, ma'am!
context: You must buy time while the personnel evacuate Undina Base.\That is all.\They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes.\Okay?\Yes, ma'am! response:	Don't respond without thinking!
context: That is all.\They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes.\Okay?\Yes, ma'am!\Don't respond without thinking! response:	Do you realize how hard this is gonna be?
context: They will finish evacuating in three hours.\We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes.\Okay?\Yes, ma'am!\Don't respond without thinking!\Do you realize how hard this is gonna be? response:	But we have to pull this off...
context: We expect the base to fall in 2.5 hours.\All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes.\Okay?\Yes, ma'am!\Don't respond without thinking!\Do you realize how hard this is gonna be?\But we have to pull this off... response:	Why the sigh of relief?
context: All you have to do is throw the enemy into disarray and\upset their plans for thirty minutes.\Okay?\Yes, ma'am!\Don't respond without thinking!\Do you realize how hard this is gonna be?\But we have to pull this off...\Why the sigh of relief? response:	Today, this is the first time no one snapped at me.
context: upset their plans for thirty minutes.\Okay?\Yes, ma'am!\Don't respond without thinking!\Do you realize how hard this is gonna be?\But we have to pull this off...\Why the sigh of relief?\Today, this is the first time no one snapped at me. response:	This is our leader...?
context: Okay?\Yes, ma'am!\Don't respond without thinking!\Do you realize how hard this is gonna be?\But we have to pull this off...\Why the sigh of relief?\Today, this is the first time no one snapped at me.\This is our leader...? response:	Our leader...
context: Yes, ma'am!\Don't respond without thinking!\Do you realize how hard this is gonna be?\But we have to pull this off...\Why the sigh of relief?\Today, this is the first time no one snapped at me.\This is our leader...?\Our leader... response:	Our leader?
context: Don't respond without thinking!\Do you realize how hard this is gonna be?\But we have to pull this off...\Why the sigh of relief?\Today, this is the first time no one snapped at me.\This is our leader...?\Our leader...\Our leader? response:	That's what we want to nitpick over the most.
context: Do you realize how hard this is gonna be?\But we have to pull this off...\Why the sigh of relief?\Today, this is the first time no one snapped at me.\This is our leader...?\Our leader...\Our leader?\That's what we want to nitpick over the most. response:	That is all I have to say.
context: But we have to pull this off...\Why the sigh of relief?\Today, this is the first time no one snapped at me.\This is our leader...?\Our leader...\Our leader?\That's what we want to nitpick over the most.\That is all I have to say. response:	Commander!
context: Why the sigh of relief?\Today, this is the first time no one snapped at me.\This is our leader...?\Our leader...\Our leader?\That's what we want to nitpick over the most.\That is all I have to say.\Commander! response:	As you heard, Undina Base is in a dire situation.
context: Today, this is the first time no one snapped at me.\This is our leader...?\Our leader...\Our leader?\That's what we want to nitpick over the most.\That is all I have to say.\Commander!\As you heard, Undina Base is in a dire situation. response:	But we can still change the tide of war if we swiftly evacuate
context: This is our leader...?\Our leader...\Our leader?\That's what we want to nitpick over the most.\That is all I have to say.\Commander!\As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate response:	as many people as possible.
context: Our leader...\Our leader?\That's what we want to nitpick over the most.\That is all I have to say.\Commander!\As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate\as many people as possible. response:	What are your dreams at present?
context: Our leader?\That's what we want to nitpick over the most.\That is all I have to say.\Commander!\As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate\as many people as possible.\What are your dreams at present? response:	Our dreams?
context: That's what we want to nitpick over the most.\That is all I have to say.\Commander!\As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate\as many people as possible.\What are your dreams at present?\Our dreams? response:	That's right.
context: That is all I have to say.\Commander!\As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate\as many people as possible.\What are your dreams at present?\Our dreams?\That's right. response:	My dream has already come true!
context: Commander!\As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate\as many people as possible.\What are your dreams at present?\Our dreams?\That's right.\My dream has already come true! response:	It was my dream to fight piloting
context: As you heard, Undina Base is in a dire situation.\But we can still change the tide of war if we swiftly evacuate\as many people as possible.\What are your dreams at present?\Our dreams?\That's right.\My dream has already come true!\It was my dream to fight piloting response:	a cutting-edge unit as a member of the GDF.
context: But we can still change the tide of war if we swiftly evacuate\as many people as possible.\What are your dreams at present?\Our dreams?\That's right.\My dream has already come true!\It was my dream to fight piloting\a cutting-edge unit as a member of the GDF. response:	And you?
context: as many people as possible.\What are your dreams at present?\Our dreams?\That's right.\My dream has already come true!\It was my dream to fight piloting\a cutting-edge unit as a member of the GDF.\And you? response:	I-I guess that goes for me, too.
context: What are your dreams at present?\Our dreams?\That's right.\My dream has already come true!\It was my dream to fight piloting\a cutting-edge unit as a member of the GDF.\And you?\I-I guess that goes for me, too. response:	I never put any thought into what my dream is.
context: Our dreams?\That's right.\My dream has already come true!\It was my dream to fight piloting\a cutting-edge unit as a member of the GDF.\And you?\I-I guess that goes for me, too.\I never put any thought into what my dream is. response:	M-my dweam ish...
context: That's right.\My dream has already come true!\It was my dream to fight piloting\a cutting-edge unit as a member of the GDF.\And you?\I-I guess that goes for me, too.\I never put any thought into what my dream is.\M-my dweam ish... response:	Uh, well, I...
context: My dream has already come true!\It was my dream to fight piloting\a cutting-edge unit as a member of the GDF.\And you?\I-I guess that goes for me, too.\I never put any thought into what my dream is.\M-my dweam ish...\Uh, well, I... response:	I want to become a hero!
context: It was my dream to fight piloting\a cutting-edge unit as a member of the GDF.\And you?\I-I guess that goes for me, too.\I never put any thought into what my dream is.\M-my dweam ish...\Uh, well, I...\I want to become a hero! response:	A hero?
context: a cutting-edge unit as a member of the GDF.\And you?\I-I guess that goes for me, too.\I never put any thought into what my dream is.\M-my dweam ish...\Uh, well, I...\I want to become a hero!\A hero? response:	What the heck?
context: And you?\I-I guess that goes for me, too.\I never put any thought into what my dream is.\M-my dweam ish...\Uh, well, I...\I want to become a hero!\A hero?\What the heck? response:	What a moron...
context: I-I guess that goes for me, too.\I never put any thought into what my dream is.\M-my dweam ish...\Uh, well, I...\I want to become a hero!\A hero?\What the heck?\What a moron... response:	Huh? Why's that?
context: I never put any thought into what my dream is.\M-my dweam ish...\Uh, well, I...\I want to become a hero!\A hero?\What the heck?\What a moron...\Huh? Why's that? response:	Silence!
context: M-my dweam ish...\Uh, well, I...\I want to become a hero!\A hero?\What the heck?\What a moron...\Huh? Why's that?\Silence! response:	You are the GDF's dream.
context: Uh, well, I...\I want to become a hero!\A hero?\What the heck?\What a moron...\Huh? Why's that?\Silence!\You are the GDF's dream. response:	We shall hereby commence Operation Sarvar.
context: I want to become a hero!\A hero?\What the heck?\What a moron...\Huh? Why's that?\Silence!\You are the GDF's dream.\We shall hereby commence Operation Sarvar. response:	Everyone, prepare for sortie!
context: A hero?\What the heck?\What a moron...\Huh? Why's that?\Silence!\You are the GDF's dream.\We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie! response:	The forward unit dogfights in the vanguard.
context: What the heck?\What a moron...\Huh? Why's that?\Silence!\You are the GDF's dream.\We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie!\The forward unit dogfights in the vanguard. response:	It is a versatile midrange battle unit.
context: What a moron...\Huh? Why's that?\Silence!\You are the GDF's dream.\We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie!\The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit. response:	It's set to prioritize bursts of near-instant acceleration.
context: Huh? Why's that?\Silence!\You are the GDF's dream.\We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie!\The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration. response:	Go easy on the throttle.
context: Silence!\You are the GDF's dream.\We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie!\The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle. response:	Okay!
context: You are the GDF's dream.\We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie!\The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle.\Okay! response:	The control unit uses a wide-range battle alert system,
context: We shall hereby commence Operation Sarvar.\Everyone, prepare for sortie!\The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle.\Okay!\The control unit uses a wide-range battle alert system, response:	which will be your eyes and ears on the battlefield.
context: Everyone, prepare for sortie!\The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle.\Okay!\The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield. response:	A single order from your control unit
context: The forward unit dogfights in the vanguard.\It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle.\Okay!\The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield.\A single order from your control unit response:	can determine whether your team lives or dies.
context: It is a versatile midrange battle unit.\It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle.\Okay!\The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield.\A single order from your control unit\can determine whether your team lives or dies. response:	You got that?
context: It's set to prioritize bursts of near-instant acceleration.\Go easy on the throttle.\Okay!\The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield.\A single order from your control unit\can determine whether your team lives or dies.\You got that? response:	I certainly do.
context: Go easy on the throttle.\Okay!\The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield.\A single order from your control unit\can determine whether your team lives or dies.\You got that?\I certainly do. response:	Don't be shocked by the boosters' speed.
context: Okay!\The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield.\A single order from your control unit\can determine whether your team lives or dies.\You got that?\I certainly do.\Don't be shocked by the boosters' speed. response:	This puppy can fly faster than a high-speed planetary cruiser.
context: The control unit uses a wide-range battle alert system,\which will be your eyes and ears on the battlefield.\A single order from your control unit\can determine whether your team lives or dies.\You got that?\I certainly do.\Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser. response:	Make sure to never stop.
context: which will be your eyes and ears on the battlefield.\A single order from your control unit\can determine whether your team lives or dies.\You got that?\I certainly do.\Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop. response:	Constantly move as you throw the enemy into confusion.
context: A single order from your control unit\can determine whether your team lives or dies.\You got that?\I certainly do.\Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop.\Constantly move as you throw the enemy into confusion. response:	The gunner uses...
context: can determine whether your team lives or dies.\You got that?\I certainly do.\Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop.\Constantly move as you throw the enemy into confusion.\The gunner uses... response:	Long-ranged attacks with a high-energy charged particle cannon
context: You got that?\I certainly do.\Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop.\Constantly move as you throw the enemy into confusion.\The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon response:	and radiation-guided photon resonance antiaircraft artillery, right?
context: I certainly do.\Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop.\Constantly move as you throw the enemy into confusion.\The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right? response:	At least you're knowledgeable.
context: Don't be shocked by the boosters' speed.\This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop.\Constantly move as you throw the enemy into confusion.\The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable. response:	After a full-power volley, the time lag
context: This puppy can fly faster than a high-speed planetary cruiser.\Make sure to never stop.\Constantly move as you throw the enemy into confusion.\The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable.\After a full-power volley, the time lag response:	and acceleration will be a beat off, so watch yourself.
context: Make sure to never stop.\Constantly move as you throw the enemy into confusion.\The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable.\After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself. response:	Your unit is meant for the leader.
context: Constantly move as you throw the enemy into confusion.\The gunner uses...\Long-ranged attacks with a high-energy charged particle cannon\and radiation-guided photon resonance antiaircraft artillery, right?\At least you're knowledgeable.\After a full-power volley, the time lag\and acceleration will be a beat off, so watch yourself.\Your unit is meant for the leader. response:	Like the forward unit, it is versatile.
