context: Master! Master! response:	Something's approaching.
context: And make sure to really give your bodies a good scrub...\I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor.\Has anyone actually verified that? response:	It's just speculation, apparently.
context: I can't stand how bad you reek of vomit.\First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor.\Has anyone actually verified that?\It's just speculation, apparently. response:	The roots take in nutrients that have accumulated on the seafloor,
context: First of all, I'll show you around a bit.\This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor.\Has anyone actually verified that?\It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor, response:	so the tree can grow this big even though only limited light is reflected by the force field here.
context: This Seeker Camp has been built within the hollows of a tree called a Great Porta.\Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor.\Has anyone actually verified that?\It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here. response:	Look.
context: Even now, construction to expand the interior frame is still progressing little by little.\I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor.\Has anyone actually verified that?\It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here.\Look. response:	This wall right there is the inside of a tree hollow.
context: I hear the roots of this Great Porta extend outside the Abyss...\stretching all the way to the seafloor.\Has anyone actually verified that?\It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here.\Look.\This wall right there is the inside of a tree hollow. response:	I wonder if it won't grow too big and end up getting all tangled up...
context: stretching all the way to the seafloor.\Has anyone actually verified that?\It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here.\Look.\This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up... response:	Please use this room.
context: Has anyone actually verified that?\It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here.\Look.\This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up...\Please use this room. response:	The bath is over there.
context: It's just speculation, apparently.\The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here.\Look.\This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up...\Please use this room.\The bath is over there. response:	It's actually used for washing Relics, though...
context: The roots take in nutrients that have accumulated on the seafloor,\so the tree can grow this big even though only limited light is reflected by the force field here.\Look.\This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up...\Please use this room.\The bath is over there.\It's actually used for washing Relics, though... response:	I'll go first! I'm gonna get nice and clean!
context: so the tree can grow this big even though only limited light is reflected by the force field here.\Look.\This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up...\Please use this room.\The bath is over there.\It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean! response:	Oh.
context: Look.\This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up...\Please use this room.\The bath is over there.\It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean!\Oh. response:	Flowers of Fortitude...
context: This wall right there is the inside of a tree hollow.\I wonder if it won't grow too big and end up getting all tangled up...\Please use this room.\The bath is over there.\It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean!\Oh.\Flowers of Fortitude... response:	Aren't they also called Eternal Fortunes?
context: I wonder if it won't grow too big and end up getting all tangled up...\Please use this room.\The bath is over there.\It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean!\Oh.\Flowers of Fortitude...\Aren't they also called Eternal Fortunes? response:	They really are everywhere...
context: Please use this room.\The bath is over there.\It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean!\Oh.\Flowers of Fortitude...\Aren't they also called Eternal Fortunes?\They really are everywhere... response:	Reg, I know you're a robot, but there's something strange about you...
context: The bath is over there.\It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean!\Oh.\Flowers of Fortitude...\Aren't they also called Eternal Fortunes?\They really are everywhere...\Reg, I know you're a robot, but there's something strange about you... response:	Until Riko told me, I thought you were a human.
context: It's actually used for washing Relics, though...\I'll go first! I'm gonna get nice and clean!\Oh.\Flowers of Fortitude...\Aren't they also called Eternal Fortunes?\They really are everywhere...\Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human. response:	So, I was a bit surprised when I saw your arms extend like that.
context: I'll go first! I'm gonna get nice and clean!\Oh.\Flowers of Fortitude...\Aren't they also called Eternal Fortunes?\They really are everywhere...\Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that. response:	I don't really even think of myself as a robot...
context: Oh.\Flowers of Fortitude...\Aren't they also called Eternal Fortunes?\They really are everywhere...\Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot... response:	What the heck am I in the first place...?
context: Flowers of Fortitude...\Aren't they also called Eternal Fortunes?\They really are everywhere...\Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot...\What the heck am I in the first place...? response:	Is something the matter?
context: Aren't they also called Eternal Fortunes?\They really are everywhere...\Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot...\What the heck am I in the first place...?\Is something the matter? response:	Marulk... Is it okay if I call you that?
context: They really are everywhere...\Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot...\What the heck am I in the first place...?\Is something the matter?\Marulk... Is it okay if I call you that? response:	Yes!
context: Reg, I know you're a robot, but there's something strange about you...\Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot...\What the heck am I in the first place...?\Is something the matter?\Marulk... Is it okay if I call you that?\Yes! response:	Actually, I also have something I find strange...
context: Until Riko told me, I thought you were a human.\So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot...\What the heck am I in the first place...?\Is something the matter?\Marulk... Is it okay if I call you that?\Yes!\Actually, I also have something I find strange... response:	What might that be?
context: So, I was a bit surprised when I saw your arms extend like that.\I don't really even think of myself as a robot...\What the heck am I in the first place...?\Is something the matter?\Marulk... Is it okay if I call you that?\Yes!\Actually, I also have something I find strange...\What might that be? response:	Ask away, and I'll answer if I can!
context: I don't really even think of myself as a robot...\What the heck am I in the first place...?\Is something the matter?\Marulk... Is it okay if I call you that?\Yes!\Actually, I also have something I find strange...\What might that be?\Ask away, and I'll answer if I can! response:	Um...
context: What the heck am I in the first place...?\Is something the matter?\Marulk... Is it okay if I call you that?\Yes!\Actually, I also have something I find strange...\What might that be?\Ask away, and I'll answer if I can!\Um... response:	Are you a girl?
context: Is something the matter?\Marulk... Is it okay if I call you that?\Yes!\Actually, I also have something I find strange...\What might that be?\Ask away, and I'll answer if I can!\Um...\Are you a girl? response:	Huh?!
context: Marulk... Is it okay if I call you that?\Yes!\Actually, I also have something I find strange...\What might that be?\Ask away, and I'll answer if I can!\Um...\Are you a girl?\Huh?! response:	So cold!
context: Yes!\Actually, I also have something I find strange...\What might that be?\Ask away, and I'll answer if I can!\Um...\Are you a girl?\Huh?!\So cold! response:	I see! So you have it tough too, then!
context: Actually, I also have something I find strange...\What might that be?\Ask away, and I'll answer if I can!\Um...\Are you a girl?\Huh?!\So cold!\I see! So you have it tough too, then! response:	Seems we both have our share of troubles!
context: What might that be?\Ask away, and I'll answer if I can!\Um...\Are you a girl?\Huh?!\So cold!\I see! So you have it tough too, then!\Seems we both have our share of troubles! response:	Oh, come on now, Reg!
context: Ask away, and I'll answer if I can!\Um...\Are you a girl?\Huh?!\So cold!\I see! So you have it tough too, then!\Seems we both have our share of troubles!\Oh, come on now, Reg! response:	I haven't had anything that bad done to me!
context: Um...\Are you a girl?\Huh?!\So cold!\I see! So you have it tough too, then!\Seems we both have our share of troubles!\Oh, come on now, Reg!\I haven't had anything that bad done to me! response:	Oh, I see you two are getting on well!
context: Are you a girl?\Huh?!\So cold!\I see! So you have it tough too, then!\Seems we both have our share of troubles!\Oh, come on now, Reg!\I haven't had anything that bad done to me!\Oh, I see you two are getting on well! response:	Sorry, Reg, I need something to dry off with...
context: Huh?!\So cold!\I see! So you have it tough too, then!\Seems we both have our share of troubles!\Oh, come on now, Reg!\I haven't had anything that bad done to me!\Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with... response:	I'll go get a change of clothes!
context: So cold!\I see! So you have it tough too, then!\Seems we both have our share of troubles!\Oh, come on now, Reg!\I haven't had anything that bad done to me!\Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes! response:	Are you hungry?
context: I see! So you have it tough too, then!\Seems we both have our share of troubles!\Oh, come on now, Reg!\I haven't had anything that bad done to me!\Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes!\Are you hungry? response:	These are leftovers, but go right ahead...
context: Seems we both have our share of troubles!\Oh, come on now, Reg!\I haven't had anything that bad done to me!\Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes!\Are you hungry?\These are leftovers, but go right ahead... response:	Marulk, you're about my age, but I see you're already a Blue Whistle.
context: Oh, come on now, Reg!\I haven't had anything that bad done to me!\Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes!\Are you hungry?\These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle. response:	Yeah...
context: I haven't had anything that bad done to me!\Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes!\Are you hungry?\These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah... response:	Usually you can't become a Blue Whistle until you turn 15...
context: Oh, I see you two are getting on well!\Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes!\Are you hungry?\These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah...\Usually you can't become a Blue Whistle until you turn 15... response:	but it seems being a personal apprentice of a White Whistle makes me a special case.
context: Sorry, Reg, I need something to dry off with...\I'll go get a change of clothes!\Are you hungry?\These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah...\Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case. response:	Right after I had an accident and collapsed, Master found me and took me in.
context: I'll go get a change of clothes!\Are you hungry?\These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah...\Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in. response:	And I've been here ever since.
context: Are you hungry?\These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah...\Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since. response:	Oh? You have no plans to return to the surface?
context: These are leftovers, but go right ahead...\Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah...\Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since.\Oh? You have no plans to return to the surface? response:	I'm sensitive to sunlight, so I can't live up on the surface.
context: Marulk, you're about my age, but I see you're already a Blue Whistle.\Yeah...\Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since.\Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface. response:	Oh? Is that so?
context: Yeah...\Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since.\Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so? response:	Well now, let's eat!
context: Usually you can't become a Blue Whistle until you turn 15...\but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since.\Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so?\Well now, let's eat! response:	Thanks for the food!
context: but it seems being a personal apprentice of a White Whistle makes me a special case.\Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since.\Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so?\Well now, let's eat!\Thanks for the food! response:	Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.
context: Right after I had an accident and collapsed, Master found me and took me in.\And I've been here ever since.\Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so?\Well now, let's eat!\Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp. response:	I was told that would make it so that I won't have to return to the surface time after time...
context: And I've been here ever since.\Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so?\Well now, let's eat!\Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time... response:	Of course, it's probably also something she wants deep down.
context: Oh? You have no plans to return to the surface?\I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so?\Well now, let's eat!\Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down. response:	I truly have been treated well here...
context: I'm sensitive to sunlight, so I can't live up on the surface.\Oh? Is that so?\Well now, let's eat!\Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down.\I truly have been treated well here... response:	She seems kind of scary, but she's a good master, huh?!
context: Oh? Is that so?\Well now, let's eat!\Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down.\I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?! response:	Yes, truly.
context: Well now, let's eat!\Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down.\I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?!\Yes, truly. response:	Hey, Marulk...
context: Thanks for the food!\Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down.\I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?!\Yes, truly.\Hey, Marulk... response:	What is it?
context: Ever since Master took me in, I've offered my services as a sentry here at the Seeker Camp.\I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down.\I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?!\Yes, truly.\Hey, Marulk...\What is it? response:	What's with the Relics you've got in this room?
context: I was told that would make it so that I won't have to return to the surface time after time...\Of course, it's probably also something she wants deep down.\I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?!\Yes, truly.\Hey, Marulk...\What is it?\What's with the Relics you've got in this room? response:	Riko's started playing around with them...
context: Of course, it's probably also something she wants deep down.\I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?!\Yes, truly.\Hey, Marulk...\What is it?\What's with the Relics you've got in this room?\Riko's started playing around with them... response:	Oh, that's okay.
context: I truly have been treated well here...\She seems kind of scary, but she's a good master, huh?!\Yes, truly.\Hey, Marulk...\What is it?\What's with the Relics you've got in this room?\Riko's started playing around with them...\Oh, that's okay. response:	Those won't be brought up to the surface, anyway.
context: She seems kind of scary, but she's a good master, huh?!\Yes, truly.\Hey, Marulk...\What is it?\What's with the Relics you've got in this room?\Riko's started playing around with them...\Oh, that's okay.\Those won't be brought up to the surface, anyway. response:	Those are the ones left over after sorting various Relics collected in this area...
context: Yes, truly.\Hey, Marulk...\What is it?\What's with the Relics you've got in this room?\Riko's started playing around with them...\Oh, that's okay.\Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area... response:	They're grade-4 Relics, you see.
context: Hey, Marulk...\What is it?\What's with the Relics you've got in this room?\Riko's started playing around with them...\Oh, that's okay.\Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see. response:	So these are grade-4 Relics, then!
context: What is it?\What's with the Relics you've got in this room?\Riko's started playing around with them...\Oh, that's okay.\Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see.\So these are grade-4 Relics, then! response:	Look, Reg, check this out!
context: What's with the Relics you've got in this room?\Riko's started playing around with them...\Oh, that's okay.\Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see.\So these are grade-4 Relics, then!\Look, Reg, check this out! response:	This one here is my Sun Sphere.
context: Riko's started playing around with them...\Oh, that's okay.\Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see.\So these are grade-4 Relics, then!\Look, Reg, check this out!\This one here is my Sun Sphere. response:	Although it's similar, the one found down here has a more complex shape.
context: Oh, that's okay.\Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see.\So these are grade-4 Relics, then!\Look, Reg, check this out!\This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape. response:	I hear that Relics tend to have more complex shapes the deeper down they're found.
context: Those won't be brought up to the surface, anyway.\Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see.\So these are grade-4 Relics, then!\Look, Reg, check this out!\This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found. response:	Oh...
context: Those are the ones left over after sorting various Relics collected in this area...\They're grade-4 Relics, you see.\So these are grade-4 Relics, then!\Look, Reg, check this out!\This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh... response:	About forty percent of the Relics collected around here are egg-shaped ones.
context: They're grade-4 Relics, you see.\So these are grade-4 Relics, then!\Look, Reg, check this out!\This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh...\About forty percent of the Relics collected around here are egg-shaped ones. response:	Even though they're tools used by people in the distant past...
context: So these are grade-4 Relics, then!\Look, Reg, check this out!\This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh...\About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past... response:	They're mysterious, aren't they?
context: Look, Reg, check this out!\This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh...\About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past...\They're mysterious, aren't they? response:	I'm jealous.
context: This one here is my Sun Sphere.\Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh...\About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past...\They're mysterious, aren't they?\I'm jealous. response:	I wanna excavate some.
context: Although it's similar, the one found down here has a more complex shape.\I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh...\About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past...\They're mysterious, aren't they?\I'm jealous.\I wanna excavate some. response:	If you were to stay here longer, I'm sure you could do some cave raiding.
context: I hear that Relics tend to have more complex shapes the deeper down they're found.\Oh...\About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past...\They're mysterious, aren't they?\I'm jealous.\I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding. response:	That's it! I'll go ask Master if it's okay!
context: Oh...\About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past...\They're mysterious, aren't they?\I'm jealous.\I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay! response:	So won't you please stay a bit longer and cave raid around here?
context: About forty percent of the Relics collected around here are egg-shaped ones.\Even though they're tools used by people in the distant past...\They're mysterious, aren't they?\I'm jealous.\I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here? response:	Huh?! That would be alright?!
context: Even though they're tools used by people in the distant past...\They're mysterious, aren't they?\I'm jealous.\I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?! response:	It's the first time kids around my age have come here...
context: They're mysterious, aren't they?\I'm jealous.\I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?!\It's the first time kids around my age have come here... response:	I'd like to spend more time with you two so we can work together and such.
context: I'm jealous.\I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?!\It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such. response:	Me too! I'd also like to do that!
context: I wanna excavate some.\If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?!\It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that! response:	Oh!
context: If you were to stay here longer, I'm sure you could do some cave raiding.\That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?!\It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that!\Oh! response:	Sorry, Marulk...
context: That's it! I'll go ask Master if it's okay!\So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?!\It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that!\Oh!\Sorry, Marulk... response:	Huh...?
context: So won't you please stay a bit longer and cave raid around here?\Huh?! That would be alright?!\It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that!\Oh!\Sorry, Marulk...\Huh...? response:	My mother's at the bottom of the netherworld, and I still don't know how she's doing...
context: Huh?! That would be alright?!\It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that!\Oh!\Sorry, Marulk...\Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing... response:	So, I'm not sure whether or not I should be hurrying down there...
context: It's the first time kids around my age have come here...\I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that!\Oh!\Sorry, Marulk...\Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there... response:	Since I'm not sure, I have to hurry.
context: I'd like to spend more time with you two so we can work together and such.\Me too! I'd also like to do that!\Oh!\Sorry, Marulk...\Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry. response:	I see...
context: Me too! I'd also like to do that!\Oh!\Sorry, Marulk...\Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry.\I see... response:	Well then, let's chat as much as we can today.
context: Oh!\Sorry, Marulk...\Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry.\I see...\Well then, let's chat as much as we can today. response:	That's what my master has instructed me to do, anyway!
context: Sorry, Marulk...\Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry.\I see...\Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway! response:	Yeah!
context: Huh...?\My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry.\I see...\Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway!\Yeah! response:	I need to pee...
context: My mother's at the bottom of the netherworld, and I still don't know how she's doing...\So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry.\I see...\Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway!\Yeah!\I need to pee... response:	Ozen?
context: So, I'm not sure whether or not I should be hurrying down there...\Since I'm not sure, I have to hurry.\I see...\Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway!\Yeah!\I need to pee...\Ozen? response:	Is anyone in there?
context: Since I'm not sure, I have to hurry.\I see...\Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway!\Yeah!\I need to pee...\Ozen?\Is anyone in there? response:	What the heck... was that?
context: I see...\Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway!\Yeah!\I need to pee...\Ozen?\Is anyone in there?\What the heck... was that? response:	There, there, Riko.
context: Well then, let's chat as much as we can today.\That's what my master has instructed me to do, anyway!\Yeah!\I need to pee...\Ozen?\Is anyone in there?\What the heck... was that?\There, there, Riko. response:	I used to do that too until a couple of years ago.
context: That's what my master has instructed me to do, anyway!\Yeah!\I need to pee...\Ozen?\Is anyone in there?\What the heck... was that?\There, there, Riko.\I used to do that too until a couple of years ago. response:	But, Riko, why was it MY bed that you wet?
context: Yeah!\I need to pee...\Ozen?\Is anyone in there?\What the heck... was that?\There, there, Riko.\I used to do that too until a couple of years ago.\But, Riko, why was it MY bed that you wet? response:	I-I did my best to find the toilet!
context: I need to pee...\Ozen?\Is anyone in there?\What the heck... was that?\There, there, Riko.\I used to do that too until a couple of years ago.\But, Riko, why was it MY bed that you wet?\I-I did my best to find the toilet! response:	But...
context: Ozen?\Is anyone in there?\What the heck... was that?\There, there, Riko.\I used to do that too until a couple of years ago.\But, Riko, why was it MY bed that you wet?\I-I did my best to find the toilet!\But... response:	when I woke up in the middle of the night and looked for it...
context: Is anyone in there?\What the heck... was that?\There, there, Riko.\I used to do that too until a couple of years ago.\But, Riko, why was it MY bed that you wet?\I-I did my best to find the toilet!\But...\when I woke up in the middle of the night and looked for it... response:	I saw something.
context: What the heck... was that?\There, there, Riko.\I used to do that too until a couple of years ago.\But, Riko, why was it MY bed that you wet?\I-I did my best to find the toilet!\But...\when I woke up in the middle of the night and looked for it...\I saw something. response:	It didn't seem of this world...
