context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: Ahh, thank you.\Ahh, thank you. She expresses gratitude.\She expresses gratitude. Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events. And then works on.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering. response:	I begin writing out notes... until evening into the night.
context: Ahh, thank you. She expresses gratitude.\She expresses gratitude. Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events. And then works on.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night. response:	You... you seem to be bogged down, you need any help?
context: She expresses gratitude. Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events. And then works on.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help? response:	You... you seem to be bogged down, you need any help? And then empathy.
context: Today I have to arrange and do a check of the proposals of all the participating circles for the events.\Today I have to arrange and do a check of the proposals of all the participating circles for the events. And then works on.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy. response:	And then empathy. You're top of the class anyway, so...
context: Today I have to arrange and do a check of the proposals of all the participating circles for the events. And then works on.\Today I have to arrange and do a check of the proposals of all the participating circles for the events.\I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so... response:	You're top of the class anyway, so...
context: Today I have to arrange and do a check of the proposals of all the participating circles for the events.\I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so... response:	No, just your bringing it here for me was enough, thank you.
context: I begin writing out notes... until evening into the night.\I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you. response:	No, just your bringing it here for me was enough, thank you. And then her reply.
context: I begin writing out notes... until evening into the night. And then her suffering.\I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply. response:	No, just your bringing it here for me was enough, thank you.
context: I begin writing out notes... until evening into the night.\You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you. response:	What, I'm offering you sincere help.
context: You... you seem to be bogged down, you need any help?\You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help. response:	What, I'm offering you sincere help. And then, conversation.
context: You... you seem to be bogged down, you need any help? And then empathy.\And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation. response:	And then, conversation.
context: And then empathy. You're top of the class anyway, so...\You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation.\And then, conversation. response:	Because if I'm too friendly with other boys, Arima will get lonesome.
context: You're top of the class anyway, so...\No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation.\And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome. response:	Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.
context: No, just your bringing it here for me was enough, thank you.\No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation.\And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair. response:	Because if I'm too friendly with other boys, Arima will get lonesome.
context: No, just your bringing it here for me was enough, thank you. And then her reply.\No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation.\And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome. response:	Arima fan
context: No, just your bringing it here for me was enough, thank you.\What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation.\And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan response:	Arima fan What are you saying, don't flatter yourself!!
context: What, I'm offering you sincere help.\What, I'm offering you sincere help. And then, conversation.\And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan\Arima fan What are you saying, don't flatter yourself!! response:	Cause it's true.
context: What, I'm offering you sincere help. And then, conversation.\And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan\Arima fan What are you saying, don't flatter yourself!!\Cause it's true. response:	Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.
context: And then, conversation.\Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan\Arima fan What are you saying, don't flatter yourself!!\Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. response:	Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.
context: Because if I'm too friendly with other boys, Arima will get lonesome.\Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan\Arima fan What are you saying, don't flatter yourself!!\Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand. response:	Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.
context: Because if I'm too friendly with other boys, Arima will get lonesome. And then talking about her love affair.\Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan\Arima fan What are you saying, don't flatter yourself!!\Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. response:	Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.
context: Because if I'm too friendly with other boys, Arima will get lonesome.\Arima fan\Arima fan What are you saying, don't flatter yourself!!\Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand. response:	Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.
context: Arima fan\Arima fan What are you saying, don't flatter yourself!!\Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand. response:	He cannot understand.
context: Arima fan What are you saying, don't flatter yourself!!\Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand. response:	He cannot understand.
context: Cause it's true.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand.\He cannot understand. response:	He cannot understand. Cannot understand!!
context: Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand.\He cannot understand.\He cannot understand. Cannot understand!! response:	Cannot understand!!
context: Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand.\He cannot understand.\He cannot understand. Cannot understand!!\Cannot understand!! response:	You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!
context: Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand.\He cannot understand.\He cannot understand. Cannot understand!!\Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! response:	You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.
context: Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand.\He cannot understand.\He cannot understand. Cannot understand!!\Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement. response:	You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!
context: Heh, I cannot understand it at all, why is Arima-kun with a girl like this... I'm sure there are plenty other girls he could date who are a lot more suited to him, who is more upstanding, more graceful, more lovely. He cannot understand.\He cannot understand.\He cannot understand.\He cannot understand. Cannot understand!!\Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! response:	You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.
context: He cannot understand.\He cannot understand.\He cannot understand. Cannot understand!!\Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance. response:	You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!
context: He cannot understand.\He cannot understand. Cannot understand!!\Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! response:	Boo
context: He cannot understand. Cannot understand!!\Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo response:	Boo Boo, wrong!
context: Cannot understand!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo\Boo Boo, wrong! response:	Boo, wrong! Wrong
context: You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo\Boo Boo, wrong!\Boo, wrong! Wrong response:	Wrong
context: You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, judgement.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo\Boo Boo, wrong!\Boo, wrong! Wrong\Wrong response:	Arima was the one who attacked first.
context: You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo\Boo Boo, wrong!\Boo, wrong! Wrong\Wrong\Arima was the one who attacked first. response:	I can't hear you... it's a lie!!!
context: You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!! And then, utterance.\You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo\Boo Boo, wrong!\Boo, wrong! Wrong\Wrong\Arima was the one who attacked first.\I can't hear you... it's a lie!!! response:	I can't hear you... it's a lie!!! Not listening, and then denial
context: You probably tricked innocent and unsuspecting Arima-kun into your sneaky trap and now you're using him. That must be it!!\Boo\Boo Boo, wrong!\Boo, wrong! Wrong\Wrong\Arima was the one who attacked first.\I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial response:	Not listening, and then denial
context: Boo\Boo Boo, wrong!\Boo, wrong! Wrong\Wrong\Arima was the one who attacked first.\I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial response:	Not listening, and then denial Anyway, whatever became of your revenge scheme?
context: Boo Boo, wrong!\Boo, wrong! Wrong\Wrong\Arima was the one who attacked first.\I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme? response:	Anyway, whatever became of your revenge scheme?
context: Boo, wrong! Wrong\Wrong\Arima was the one who attacked first.\I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? response:	Anyway, whatever became of your revenge scheme? And then she asked.
context: Wrong\Arima was the one who attacked first.\I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked. response:	And then she asked. Well...
context: Arima was the one who attacked first.\I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well... response:	Well...
context: I can't hear you... it's a lie!!!\I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well...\Well... response:	I'm still working on it. I haven't given up.
context: I can't hear you... it's a lie!!! Not listening, and then denial\Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well...\Well...\I'm still working on it. I haven't given up. response:	But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.
context: Not listening, and then denial\Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well...\Well...\I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person. response:	What?
context: Not listening, and then denial Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well...\Well...\I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What? response:	Oh, nothing.
context: Anyway, whatever became of your revenge scheme?\Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well...\Well...\I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What?\Oh, nothing. response:	And then he appears again.
context: Anyway, whatever became of your revenge scheme? And then she asked.\And then she asked. Well...\Well...\I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What?\Oh, nothing.\And then he appears again. response:	And then he appears again. Asapin
context: And then she asked. Well...\Well...\I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What?\Oh, nothing.\And then he appears again.\And then he appears again. Asapin response:	Asapin
context: Well...\I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What?\Oh, nothing.\And then he appears again.\And then he appears again. Asapin\Asapin response:	Oh this. I was asked asked to do this by Sawada-san.
context: I'm still working on it. I haven't given up.\But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What?\Oh, nothing.\And then he appears again.\And then he appears again. Asapin\Asapin\Oh this. I was asked asked to do this by Sawada-san. response:	Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.
context: But you know, to hold a grudge of vengeance for two whole years and be that involved with your feelings against that person.\What?\Oh, nothing.\And then he appears again.\And then he appears again. Asapin\Asapin\Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again. response:	Oh this. I was asked asked to do this by Sawada-san.
context: What?\Oh, nothing.\And then he appears again.\And then he appears again. Asapin\Asapin\Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san. response:	Thank you.
context: Oh, nothing.\And then he appears again.\And then he appears again. Asapin\Asapin\Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san.\Thank you. response:	Thank you. And then, conversation again.
context: And then he appears again.\And then he appears again. Asapin\Asapin\Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san.\Thank you.\Thank you. And then, conversation again. response:	And then, conversation again. Oh well, I better go help out in class.
context: And then he appears again. Asapin\Asapin\Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san.\Thank you.\Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class. response:	Oh well, I better go help out in class.
context: Asapin\Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san.\Thank you.\Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class. response:	Do well with your revenge.
context: Oh this. I was asked asked to do this by Sawada-san.\Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san.\Thank you.\Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class.\Do well with your revenge. response:	Do well with your revenge. And then, parting.
context: Oh this. I was asked asked to do this by Sawada-san. And then, conversation again.\Oh this. I was asked asked to do this by Sawada-san.\Thank you.\Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class.\Do well with your revenge.\Do well with your revenge. And then, parting. response:	Do well with your revenge.
context: Oh this. I was asked asked to do this by Sawada-san.\Thank you.\Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class.\Do well with your revenge.\Do well with your revenge. And then, parting.\Do well with your revenge. response:	Shut up.
context: Thank you.\Thank you. And then, conversation again.\And then, conversation again. Oh well, I better go help out in class.\Oh well, I better go help out in class.\Do well with your revenge.\Do well with your revenge. And then, parting.\Do well with your revenge.\Shut up. response:	And then, askance.
