context: So... you found yourself another arm! response:	This replacement arm...
context: Oh well... They'll learn it in good time.\Mind your own business.\I don't eat what humans eat.\I knew it!\Rin! You're the culprit!\You stole the fish from the fish preserve!\You're an orphan...\so the village took pity on you and raised you! response:	If you try this again, we'll beat you to death!
context: Mind your own business.\I don't eat what humans eat.\I knew it!\Rin! You're the culprit!\You stole the fish from the fish preserve!\You're an orphan...\so the village took pity on you and raised you!\If you try this again, we'll beat you to death! response:	Damn! What a creepy kid! Won't even cry!
context: I don't eat what humans eat.\I knew it!\Rin! You're the culprit!\You stole the fish from the fish preserve!\You're an orphan...\so the village took pity on you and raised you!\If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry! response:	Can't be helped.
context: I knew it!\Rin! You're the culprit!\You stole the fish from the fish preserve!\You're an orphan...\so the village took pity on you and raised you!\If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry!\Can't be helped. response:	Her family was killed by brigands in front of her eyes...
context: Rin! You're the culprit!\You stole the fish from the fish preserve!\You're an orphan...\so the village took pity on you and raised you!\If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry!\Can't be helped.\Her family was killed by brigands in front of her eyes... response:	and now she can't speak.
context: You stole the fish from the fish preserve!\You're an orphan...\so the village took pity on you and raised you!\If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry!\Can't be helped.\Her family was killed by brigands in front of her eyes...\and now she can't speak. response:	No thanks.
context: You're an orphan...\so the village took pity on you and raised you!\If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry!\Can't be helped.\Her family was killed by brigands in front of her eyes...\and now she can't speak.\No thanks. response:	I told you I don't need anything.
context: so the village took pity on you and raised you!\If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry!\Can't be helped.\Her family was killed by brigands in front of her eyes...\and now she can't speak.\No thanks.\I told you I don't need anything. response:	What's with those bruises on your face?
context: If you try this again, we'll beat you to death!\Damn! What a creepy kid! Won't even cry!\Can't be helped.\Her family was killed by brigands in front of her eyes...\and now she can't speak.\No thanks.\I told you I don't need anything.\What's with those bruises on your face? response:	If you don't want to talk, that's fine.
context: Damn! What a creepy kid! Won't even cry!\Can't be helped.\Her family was killed by brigands in front of her eyes...\and now she can't speak.\No thanks.\I told you I don't need anything.\What's with those bruises on your face?\If you don't want to talk, that's fine. response:	What're you smiling about?
context: Can't be helped.\Her family was killed by brigands in front of her eyes...\and now she can't speak.\No thanks.\I told you I don't need anything.\What's with those bruises on your face?\If you don't want to talk, that's fine.\What're you smiling about? response:	I only asked a question.
context: Her family was killed by brigands in front of her eyes...\and now she can't speak.\No thanks.\I told you I don't need anything.\What's with those bruises on your face?\If you don't want to talk, that's fine.\What're you smiling about?\I only asked a question. response:	What? Is this old hut yours?
context: and now she can't speak.\No thanks.\I told you I don't need anything.\What's with those bruises on your face?\If you don't want to talk, that's fine.\What're you smiling about?\I only asked a question.\What? Is this old hut yours? response:	- Wolves! - Wolves!
context: No thanks.\I told you I don't need anything.\What's with those bruises on your face?\If you don't want to talk, that's fine.\What're you smiling about?\I only asked a question.\What? Is this old hut yours?\- Wolves! - Wolves! response:	- Wolves! - Wolves!
context: I told you I don't need anything.\What's with those bruises on your face?\If you don't want to talk, that's fine.\What're you smiling about?\I only asked a question.\What? Is this old hut yours?\- Wolves! - Wolves!\- Wolves! - Wolves! response:	They've caught up already!
context: What's with those bruises on your face?\If you don't want to talk, that's fine.\What're you smiling about?\I only asked a question.\What? Is this old hut yours?\- Wolves! - Wolves!\- Wolves! - Wolves!\They've caught up already! response:	Damn!
context: If you don't want to talk, that's fine.\What're you smiling about?\I only asked a question.\What? Is this old hut yours?\- Wolves! - Wolves!\- Wolves! - Wolves!\They've caught up already!\Damn! response:	I searched for you... You thief!
context: What're you smiling about?\I only asked a question.\What? Is this old hut yours?\- Wolves! - Wolves!\- Wolves! - Wolves!\They've caught up already!\Damn!\I searched for you... You thief! response:	Now hand over the Sacred Jewel fragment you stole.
context: I only asked a question.\What? Is this old hut yours?\- Wolves! - Wolves!\- Wolves! - Wolves!\They've caught up already!\Damn!\I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole. response:	All right... I won't run.
context: What? Is this old hut yours?\- Wolves! - Wolves!\- Wolves! - Wolves!\They've caught up already!\Damn!\I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole.\All right... I won't run. response:	Thanks... You're gonna lemme go?
context: - Wolves! - Wolves!\- Wolves! - Wolves!\They've caught up already!\Damn!\I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole.\All right... I won't run.\Thanks... You're gonna lemme go? response:	Fool! I just forgot.
context: - Wolves! - Wolves!\They've caught up already!\Damn!\I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole.\All right... I won't run.\Thanks... You're gonna lemme go?\Fool! I just forgot. response:	All right! Work's done.
context: They've caught up already!\Damn!\I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole.\All right... I won't run.\Thanks... You're gonna lemme go?\Fool! I just forgot.\All right! Work's done. response:	I'll going on ahead.
context: Damn!\I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole.\All right... I won't run.\Thanks... You're gonna lemme go?\Fool! I just forgot.\All right! Work's done.\I'll going on ahead. response:	You can stay in the village and eat what you like.
context: I searched for you... You thief!\Now hand over the Sacred Jewel fragment you stole.\All right... I won't run.\Thanks... You're gonna lemme go?\Fool! I just forgot.\All right! Work's done.\I'll going on ahead.\You can stay in the village and eat what you like. response:	What's the matter, Kagome?
context: Now hand over the Sacred Jewel fragment you stole.\All right... I won't run.\Thanks... You're gonna lemme go?\Fool! I just forgot.\All right! Work's done.\I'll going on ahead.\You can stay in the village and eat what you like.\What's the matter, Kagome? response:	You've been so quiet.
context: All right... I won't run.\Thanks... You're gonna lemme go?\Fool! I just forgot.\All right! Work's done.\I'll going on ahead.\You can stay in the village and eat what you like.\What's the matter, Kagome?\You've been so quiet. response:	Hmm... It's very slight, but I can sense a Sacred Jewel fragment.
context: Thanks... You're gonna lemme go?\Fool! I just forgot.\All right! Work's done.\I'll going on ahead.\You can stay in the village and eat what you like.\What's the matter, Kagome?\You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment. response:	Is that true, Kagome?!
context: Fool! I just forgot.\All right! Work's done.\I'll going on ahead.\You can stay in the village and eat what you like.\What's the matter, Kagome?\You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?! response:	In which direction?
context: All right! Work's done.\I'll going on ahead.\You can stay in the village and eat what you like.\What's the matter, Kagome?\You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?!\In which direction? response:	Lord Sesshomaru!
context: I'll going on ahead.\You can stay in the village and eat what you like.\What's the matter, Kagome?\You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?!\In which direction?\Lord Sesshomaru! response:	Lord Sesshomaru!
context: You can stay in the village and eat what you like.\What's the matter, Kagome?\You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?!\In which direction?\Lord Sesshomaru!\Lord Sesshomaru! response:	Please answer!
context: What's the matter, Kagome?\You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?!\In which direction?\Lord Sesshomaru!\Lord Sesshomaru!\Please answer! response:	Where are you?!
context: You've been so quiet.\Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?!\In which direction?\Lord Sesshomaru!\Lord Sesshomaru!\Please answer!\Where are you?! response:	Lord Sesshomaru!
context: Hmm... It's very slight, but I can sense a Sacred Jewel fragment.\Is that true, Kagome?!\In which direction?\Lord Sesshomaru!\Lord Sesshomaru!\Please answer!\Where are you?!\Lord Sesshomaru! response:	Is it possible that Lord Sesshomaru...
context: Is that true, Kagome?!\In which direction?\Lord Sesshomaru!\Lord Sesshomaru!\Please answer!\Where are you?!\Lord Sesshomaru!\Is it possible that Lord Sesshomaru... response:	was slain in one sweep by Inuyasha?
context: In which direction?\Lord Sesshomaru!\Lord Sesshomaru!\Please answer!\Where are you?!\Lord Sesshomaru!\Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha? response:	In one sweep?
context: Lord Sesshomaru!\Lord Sesshomaru!\Please answer!\Where are you?!\Lord Sesshomaru!\Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha?\In one sweep? response:	Talk about one sweep...
context: Lord Sesshomaru!\Please answer!\Where are you?!\Lord Sesshomaru!\Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha?\In one sweep?\Talk about one sweep... response:	At that time, Lord Sesshomaru...
context: Please answer!\Where are you?!\Lord Sesshomaru!\Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha?\In one sweep?\Talk about one sweep...\At that time, Lord Sesshomaru... response:	without any hesitation, he drew his sword.
context: Where are you?!\Lord Sesshomaru!\Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha?\In one sweep?\Talk about one sweep...\At that time, Lord Sesshomaru...\without any hesitation, he drew his sword. response:	In one sweep...!
context: Lord Sesshomaru!\Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha?\In one sweep?\Talk about one sweep...\At that time, Lord Sesshomaru...\without any hesitation, he drew his sword.\In one sweep...! response:	He mentioned that the Tenseiga was unable to kill, but...
context: Is it possible that Lord Sesshomaru...\was slain in one sweep by Inuyasha?\In one sweep?\Talk about one sweep...\At that time, Lord Sesshomaru...\without any hesitation, he drew his sword.\In one sweep...!\He mentioned that the Tenseiga was unable to kill, but... response:	could he really have been testing his sword on me?!
context: was slain in one sweep by Inuyasha?\In one sweep?\Talk about one sweep...\At that time, Lord Sesshomaru...\without any hesitation, he drew his sword.\In one sweep...!\He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?! response:	Testing his sword... Not...
context: In one sweep?\Talk about one sweep...\At that time, Lord Sesshomaru...\without any hesitation, he drew his sword.\In one sweep...!\He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?!\Testing his sword... Not... response:	Testing his sword... Not...
context: Talk about one sweep...\At that time, Lord Sesshomaru...\without any hesitation, he drew his sword.\In one sweep...!\He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?!\Testing his sword... Not...\Testing his sword... Not... response:	Testing his sword... Not...
context: At that time, Lord Sesshomaru...\without any hesitation, he drew his sword.\In one sweep...!\He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?!\Testing his sword... Not...\Testing his sword... Not...\Testing his sword... Not... response:	Testing his sword...
context: without any hesitation, he drew his sword.\In one sweep...!\He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?!\Testing his sword... Not...\Testing his sword... Not...\Testing his sword... Not...\Testing his sword... response:	He was testing his sword?!
context: In one sweep...!\He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?!\Testing his sword... Not...\Testing his sword... Not...\Testing his sword... Not...\Testing his sword...\He was testing his sword?! response:	Lord Sesshomaru!
context: He mentioned that the Tenseiga was unable to kill, but...\could he really have been testing his sword on me?!\Testing his sword... Not...\Testing his sword... Not...\Testing his sword... Not...\Testing his sword...\He was testing his sword?!\Lord Sesshomaru! response:	Would you have let me die that time?!
context: could he really have been testing his sword on me?!\Testing his sword... Not...\Testing his sword... Not...\Testing his sword... Not...\Testing his sword...\He was testing his sword?!\Lord Sesshomaru!\Would you have let me die that time?! response:	Lord Sesshomaru!
context: Testing his sword... Not...\Testing his sword... Not...\Testing his sword... Not...\Testing his sword...\He was testing his sword?!\Lord Sesshomaru!\Would you have let me die that time?!\Lord Sesshomaru! response:	Lord Sesshomaru!
context: Testing his sword... Not...\Testing his sword... Not...\Testing his sword...\He was testing his sword?!\Lord Sesshomaru!\Would you have let me die that time?!\Lord Sesshomaru!\Lord Sesshomaru! response:	Were you testing your sword on me?!
context: Testing his sword... Not...\Testing his sword...\He was testing his sword?!\Lord Sesshomaru!\Would you have let me die that time?!\Lord Sesshomaru!\Lord Sesshomaru!\Were you testing your sword on me?! response:	Weren't you looking for me out of concern?
context: Testing his sword...\He was testing his sword?!\Lord Sesshomaru!\Would you have let me die that time?!\Lord Sesshomaru!\Lord Sesshomaru!\Were you testing your sword on me?!\Weren't you looking for me out of concern? response:	Err... well...
context: He was testing his sword?!\Lord Sesshomaru!\Would you have let me die that time?!\Lord Sesshomaru!\Lord Sesshomaru!\Were you testing your sword on me?!\Weren't you looking for me out of concern?\Err... well... response:	Lord Sesshomaru, I'm so glad to see you well...
context: Lord Sesshomaru!\Would you have let me die that time?!\Lord Sesshomaru!\Lord Sesshomaru!\Were you testing your sword on me?!\Weren't you looking for me out of concern?\Err... well...\Lord Sesshomaru, I'm so glad to see you well... response:	Blood...and the smell of wolves.
context: Would you have let me die that time?!\Lord Sesshomaru!\Lord Sesshomaru!\Were you testing your sword on me?!\Weren't you looking for me out of concern?\Err... well...\Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves. response:	The smell of this blood...
context: Lord Sesshomaru!\Lord Sesshomaru!\Were you testing your sword on me?!\Weren't you looking for me out of concern?\Err... well...\Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves.\The smell of this blood... response:	What is that?
context: Lord Sesshomaru!\Were you testing your sword on me?!\Weren't you looking for me out of concern?\Err... well...\Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves.\The smell of this blood...\What is that? response:	Oh... She's a goner.
context: Were you testing your sword on me?!\Weren't you looking for me out of concern?\Err... well...\Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves.\The smell of this blood...\What is that?\Oh... She's a goner. response:	Must have been attacked by wolves.
context: Weren't you looking for me out of concern?\Err... well...\Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves.\The smell of this blood...\What is that?\Oh... She's a goner.\Must have been attacked by wolves. response:	She's been bitten to death.
context: Err... well...\Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves.\The smell of this blood...\What is that?\Oh... She's a goner.\Must have been attacked by wolves.\She's been bitten to death. response:	Lord Sesshomaru, do you know this human?
context: Lord Sesshomaru, I'm so glad to see you well...\Blood...and the smell of wolves.\The smell of this blood...\What is that?\Oh... She's a goner.\Must have been attacked by wolves.\She's been bitten to death.\Lord Sesshomaru, do you know this human? response:	Lord Sesshomaru?
context: Blood...and the smell of wolves.\The smell of this blood...\What is that?\Oh... She's a goner.\Must have been attacked by wolves.\She's been bitten to death.\Lord Sesshomaru, do you know this human?\Lord Sesshomaru? response:	I see...
context: The smell of this blood...\What is that?\Oh... She's a goner.\Must have been attacked by wolves.\She's been bitten to death.\Lord Sesshomaru, do you know this human?\Lord Sesshomaru?\I see... response:	I can see them...
context: What is that?\Oh... She's a goner.\Must have been attacked by wolves.\She's been bitten to death.\Lord Sesshomaru, do you know this human?\Lord Sesshomaru?\I see...\I can see them... response:	They are from the netherworld?
context: Oh... She's a goner.\Must have been attacked by wolves.\She's been bitten to death.\Lord Sesshomaru, do you know this human?\Lord Sesshomaru?\I see...\I can see them...\They are from the netherworld? response:	Should I try it? The power of the Tenseiga.
context: Must have been attacked by wolves.\She's been bitten to death.\Lord Sesshomaru, do you know this human?\Lord Sesshomaru?\I see...\I can see them...\They are from the netherworld?\Should I try it? The power of the Tenseiga. response:	T-test it?
context: She's been bitten to death.\Lord Sesshomaru, do you know this human?\Lord Sesshomaru?\I see...\I can see them...\They are from the netherworld?\Should I try it? The power of the Tenseiga.\T-test it? response:	Lord Sesshomaru, what did you just say?
context: Lord Sesshomaru, do you know this human?\Lord Sesshomaru?\I see...\I can see them...\They are from the netherworld?\Should I try it? The power of the Tenseiga.\T-test it?\Lord Sesshomaru, what did you just say? response:	She's come back to life!
context: Lord Sesshomaru?\I see...\I can see them...\They are from the netherworld?\Should I try it? The power of the Tenseiga.\T-test it?\Lord Sesshomaru, what did you just say?\She's come back to life! response:	Lord Sesshomaru... did you save that girl with the Tenseiga?
context: I see...\I can see them...\They are from the netherworld?\Should I try it? The power of the Tenseiga.\T-test it?\Lord Sesshomaru, what did you just say?\She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga? response:	L-Lord... Sesshomaru...
context: I can see them...\They are from the netherworld?\Should I try it? The power of the Tenseiga.\T-test it?\Lord Sesshomaru, what did you just say?\She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru... response:	Lord Sesshomaru saved a human...
context: They are from the netherworld?\Should I try it? The power of the Tenseiga.\T-test it?\Lord Sesshomaru, what did you just say?\She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru...\Lord Sesshomaru saved a human... response:	I'm almost in shock...
context: Should I try it? The power of the Tenseiga.\T-test it?\Lord Sesshomaru, what did you just say?\She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru...\Lord Sesshomaru saved a human...\I'm almost in shock... response:	But didn't he just say that he was testing it?
context: T-test it?\Lord Sesshomaru, what did you just say?\She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru...\Lord Sesshomaru saved a human...\I'm almost in shock...\But didn't he just say that he was testing it? response:	T-then... did you really test that sword on me?!
context: Lord Sesshomaru, what did you just say?\She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru...\Lord Sesshomaru saved a human...\I'm almost in shock...\But didn't he just say that he was testing it?\T-then... did you really test that sword on me?! response:	Lord Sesshomaru! I am so sad!
context: She's come back to life!\Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru...\Lord Sesshomaru saved a human...\I'm almost in shock...\But didn't he just say that he was testing it?\T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad! response:	I am so sad!
context: Lord Sesshomaru... did you save that girl with the Tenseiga?\L-Lord... Sesshomaru...\Lord Sesshomaru saved a human...\I'm almost in shock...\But didn't he just say that he was testing it?\T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad!\I am so sad! response:	So sad is Jaken!
context: L-Lord... Sesshomaru...\Lord Sesshomaru saved a human...\I'm almost in shock...\But didn't he just say that he was testing it?\T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad!\I am so sad!\So sad is Jaken! response:	Lord Sesshomaru! You are so cruel!
context: Lord Sesshomaru saved a human...\I'm almost in shock...\But didn't he just say that he was testing it?\T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad!\I am so sad!\So sad is Jaken!\Lord Sesshomaru! You are so cruel! response:	Huh?
context: I'm almost in shock...\But didn't he just say that he was testing it?\T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad!\I am so sad!\So sad is Jaken!\Lord Sesshomaru! You are so cruel!\Huh? response:	Lord Sesshomaru, please wait!
context: But didn't he just say that he was testing it?\T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad!\I am so sad!\So sad is Jaken!\Lord Sesshomaru! You are so cruel!\Huh?\Lord Sesshomaru, please wait! response:	Hmm... Tenseiga, huh?
context: T-then... did you really test that sword on me?!\Lord Sesshomaru! I am so sad!\I am so sad!\So sad is Jaken!\Lord Sesshomaru! You are so cruel!\Huh?\Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh? response:	It made me save a human.
context: Lord Sesshomaru! I am so sad!\I am so sad!\So sad is Jaken!\Lord Sesshomaru! You are so cruel!\Huh?\Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh?\It made me save a human. response:	What is this?
context: I am so sad!\So sad is Jaken!\Lord Sesshomaru! You are so cruel!\Huh?\Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh?\It made me save a human.\What is this? response:	Is anyone here?!
context: So sad is Jaken!\Lord Sesshomaru! You are so cruel!\Huh?\Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh?\It made me save a human.\What is this?\Is anyone here?! response:	The work of a wolf pack?
context: Lord Sesshomaru! You are so cruel!\Huh?\Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh?\It made me save a human.\What is this?\Is anyone here?!\The work of a wolf pack? response:	These are wolf tracks.
context: Huh?\Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh?\It made me save a human.\What is this?\Is anyone here?!\The work of a wolf pack?\These are wolf tracks. response:	And many of them.
context: Lord Sesshomaru, please wait!\Hmm... Tenseiga, huh?\It made me save a human.\What is this?\Is anyone here?!\The work of a wolf pack?\These are wolf tracks.\And many of them. response:	Could this be from the Sacred Jewel fragment Kagome sensed?
context: Hmm... Tenseiga, huh?\It made me save a human.\What is this?\Is anyone here?!\The work of a wolf pack?\These are wolf tracks.\And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed? response:	Probably. Demons have to be involved in this!
context: It made me save a human.\What is this?\Is anyone here?!\The work of a wolf pack?\These are wolf tracks.\And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this! response:	There!
context: What is this?\Is anyone here?!\The work of a wolf pack?\These are wolf tracks.\And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this!\There! response:	Man-eating wolves!
context: Is anyone here?!\The work of a wolf pack?\These are wolf tracks.\And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this!\There!\Man-eating wolves! response:	Let's have it out then!
context: The work of a wolf pack?\These are wolf tracks.\And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this!\There!\Man-eating wolves!\Let's have it out then! response:	Without the pack, they're helpless!
context: These are wolf tracks.\And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this!\There!\Man-eating wolves!\Let's have it out then!\Without the pack, they're helpless! response:	I'll get rid of you all!
context: And many of them.\Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this!\There!\Man-eating wolves!\Let's have it out then!\Without the pack, they're helpless!\I'll get rid of you all! response:	Iron-Reaver, Soul-Stealer!
context: Could this be from the Sacred Jewel fragment Kagome sensed?\Probably. Demons have to be involved in this!\There!\Man-eating wolves!\Let's have it out then!\Without the pack, they're helpless!\I'll get rid of you all!\Iron-Reaver, Soul-Stealer! response:	They're howling!
context: Probably. Demons have to be involved in this!\There!\Man-eating wolves!\Let's have it out then!\Without the pack, they're helpless!\I'll get rid of you all!\Iron-Reaver, Soul-Stealer!\They're howling! response:	Calling their comrades!
context: There!\Man-eating wolves!\Let's have it out then!\Without the pack, they're helpless!\I'll get rid of you all!\Iron-Reaver, Soul-Stealer!\They're howling!\Calling their comrades! response:	I sense Sacred Jewel fragment coming closer!
context: Man-eating wolves!\Let's have it out then!\Without the pack, they're helpless!\I'll get rid of you all!\Iron-Reaver, Soul-Stealer!\They're howling!\Calling their comrades!\I sense Sacred Jewel fragment coming closer! response:	And very fast!
context: Let's have it out then!\Without the pack, they're helpless!\I'll get rid of you all!\Iron-Reaver, Soul-Stealer!\They're howling!\Calling their comrades!\I sense Sacred Jewel fragment coming closer!\And very fast! response:	A man emerged from the wind!
context: Without the pack, they're helpless!\I'll get rid of you all!\Iron-Reaver, Soul-Stealer!\They're howling!\Calling their comrades!\I sense Sacred Jewel fragment coming closer!\And very fast!\A man emerged from the wind! response:	You...
context: I'll get rid of you all!\Iron-Reaver, Soul-Stealer!\They're howling!\Calling their comrades!\I sense Sacred Jewel fragment coming closer!\And very fast!\A man emerged from the wind!\You... response:	Why did you kill my minions?
context: Iron-Reaver, Soul-Stealer!\They're howling!\Calling their comrades!\I sense Sacred Jewel fragment coming closer!\And very fast!\A man emerged from the wind!\You...\Why did you kill my minions? response:	He... has Sacred Jewel fragments...
context: They're howling!\Calling their comrades!\I sense Sacred Jewel fragment coming closer!\And very fast!\A man emerged from the wind!\You...\Why did you kill my minions?\He... has Sacred Jewel fragments... response:	on his right arm and both his legs.
context: Calling their comrades!\I sense Sacred Jewel fragment coming closer!\And very fast!\A man emerged from the wind!\You...\Why did you kill my minions?\He... has Sacred Jewel fragments...\on his right arm and both his legs. response:	So you're their leader!
context: I sense Sacred Jewel fragment coming closer!\And very fast!\A man emerged from the wind!\You...\Why did you kill my minions?\He... has Sacred Jewel fragments...\on his right arm and both his legs.\So you're their leader! response:	A pack of wolves has attacked the village!
context: And very fast!\A man emerged from the wind!\You...\Why did you kill my minions?\He... has Sacred Jewel fragments...\on his right arm and both his legs.\So you're their leader!\A pack of wolves has attacked the village! response:	Then a man with Sacred Jewel fragments appears from the wind!
context: A man emerged from the wind!\You...\Why did you kill my minions?\He... has Sacred Jewel fragments...\on his right arm and both his legs.\So you're their leader!\A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind! response:	It seems that demons are fighting for territorial control here.
context: You...\Why did you kill my minions?\He... has Sacred Jewel fragments...\on his right arm and both his legs.\So you're their leader!\A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here. response:	An ominous shadow cuts through the wind.
context: Why did you kill my minions?\He... has Sacred Jewel fragments...\on his right arm and both his legs.\So you're their leader!\A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here.\An ominous shadow cuts through the wind. response:	I sense Sacred Jewel fragments!
context: He... has Sacred Jewel fragments...\on his right arm and both his legs.\So you're their leader!\A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here.\An ominous shadow cuts through the wind.\I sense Sacred Jewel fragments! response:	On his arms and legs?
context: on his right arm and both his legs.\So you're their leader!\A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here.\An ominous shadow cuts through the wind.\I sense Sacred Jewel fragments!\On his arms and legs? response:	No... I sense it in the sky!
context: So you're their leader!\A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here.\An ominous shadow cuts through the wind.\I sense Sacred Jewel fragments!\On his arms and legs?\No... I sense it in the sky! response:	The fragment is inside the bird-like demon!
context: A pack of wolves has attacked the village!\Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here.\An ominous shadow cuts through the wind.\I sense Sacred Jewel fragments!\On his arms and legs?\No... I sense it in the sky!\The fragment is inside the bird-like demon! response:	Kagome Kidnapped by Koga, the Wolf Demon!
context: Then a man with Sacred Jewel fragments appears from the wind!\It seems that demons are fighting for territorial control here.\An ominous shadow cuts through the wind.\I sense Sacred Jewel fragments!\On his arms and legs?\No... I sense it in the sky!\The fragment is inside the bird-like demon!\Kagome Kidnapped by Koga, the Wolf Demon! response:	Don't miss it!
