context: At the time, three years after their debut, response:	Trapnest had reached a million in sales, both in the singles and album charts.
context: We were reminded once and for all that Ren is now a superstar\and out of our reach.\It made me feel miserable.\That was refreshing.\The bath's available if you wanna take a bath, Nana.\I left towels out for you.\Sure. Thanks.\Oh, darn! I forgot to switch it back on. response:	YASU
context: and out of our reach.\It made me feel miserable.\That was refreshing.\The bath's available if you wanna take a bath, Nana.\I left towels out for you.\Sure. Thanks.\Oh, darn! I forgot to switch it back on.\YASU response:	YASU Yasu?
context: It made me feel miserable.\That was refreshing.\The bath's available if you wanna take a bath, Nana.\I left towels out for you.\Sure. Thanks.\Oh, darn! I forgot to switch it back on.\YASU\YASU Yasu? response:	YASU
context: That was refreshing.\The bath's available if you wanna take a bath, Nana.\I left towels out for you.\Sure. Thanks.\Oh, darn! I forgot to switch it back on.\YASU\YASU Yasu?\YASU response:	That's unusual. What could it be?
context: The bath's available if you wanna take a bath, Nana.\I left towels out for you.\Sure. Thanks.\Oh, darn! I forgot to switch it back on.\YASU\YASU Yasu?\YASU\That's unusual. What could it be? response:	Ren might be giving you a call.
context: I left towels out for you.\Sure. Thanks.\Oh, darn! I forgot to switch it back on.\YASU\YASU Yasu?\YASU\That's unusual. What could it be?\Ren might be giving you a call. response:	Nana! Big news!
context: Sure. Thanks.\Oh, darn! I forgot to switch it back on.\YASU\YASU Yasu?\YASU\That's unusual. What could it be?\Ren might be giving you a call.\Nana! Big news! response:	You know, you shouldn't barge in like that while someone's taking a bath...
context: Oh, darn! I forgot to switch it back on.\YASU\YASU Yasu?\YASU\That's unusual. What could it be?\Ren might be giving you a call.\Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath... response:	But this really is big news!
context: YASU\YASU Yasu?\YASU\That's unusual. What could it be?\Ren might be giving you a call.\Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news! response:	Another murder somewhere?
context: YASU Yasu?\YASU\That's unusual. What could it be?\Ren might be giving you a call.\Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news!\Another murder somewhere? response:	No! Look here! Yasu sent me an e-mail!
context: YASU\That's unusual. What could it be?\Ren might be giving you a call.\Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news!\Another murder somewhere?\No! Look here! Yasu sent me an e-mail! response:	Yasu?
context: That's unusual. What could it be?\Ren might be giving you a call.\Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news!\Another murder somewhere?\No! Look here! Yasu sent me an e-mail!\Yasu? response:	I'm sorry, Nana. I had forgotten to switch my phone back on.
context: Ren might be giving you a call.\Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news!\Another murder somewhere?\No! Look here! Yasu sent me an e-mail!\Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on. response:	Because it had to be switched off while at the concert hall?
context: Nana! Big news!\You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news!\Another murder somewhere?\No! Look here! Yasu sent me an e-mail!\Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall? response:	It's past midnight. He may have tried to call.
context: You know, you shouldn't barge in like that while someone's taking a bath...\But this really is big news!\Another murder somewhere?\No! Look here! Yasu sent me an e-mail!\Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call. response:	What's the meaning of this? Why would Yasu?
context: But this really is big news!\Another murder somewhere?\No! Look here! Yasu sent me an e-mail!\Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu? response:	I don't know. Maybe Yasu gave Ren my number.
context: Another murder somewhere?\No! Look here! Yasu sent me an e-mail!\Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number. response:	But Ren was unreachable, wasn't he?
context: No! Look here! Yasu sent me an e-mail!\Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he? response:	I don't really understand, but what should we do?
context: Yasu?\I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he?\I don't really understand, but what should we do? response:	Call Yasu.
context: I'm sorry, Nana. I had forgotten to switch my phone back on.\Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he?\I don't really understand, but what should we do?\Call Yasu. response:	- Hello. - Hello, Yasu. It's me.
context: Because it had to be switched off while at the concert hall?\It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he?\I don't really understand, but what should we do?\Call Yasu.\- Hello. - Hello, Yasu. It's me. response:	Hello, Nana. Sorry about giving out your number without asking.
context: It's past midnight. He may have tried to call.\What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he?\I don't really understand, but what should we do?\Call Yasu.\- Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking. response:	No problem.
context: What's the meaning of this? Why would Yasu?\I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he?\I don't really understand, but what should we do?\Call Yasu.\- Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking.\No problem. response:	Did Ren call?
context: I don't know. Maybe Yasu gave Ren my number.\But Ren was unreachable, wasn't he?\I don't really understand, but what should we do?\Call Yasu.\- Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking.\No problem.\Did Ren call? response:	I'm not sure.
context: But Ren was unreachable, wasn't he?\I don't really understand, but what should we do?\Call Yasu.\- Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking.\No problem.\Did Ren call?\I'm not sure. response:	Huh? Did you check your missed calls?
context: I don't really understand, but what should we do?\Call Yasu.\- Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking.\No problem.\Did Ren call?\I'm not sure.\Huh? Did you check your missed calls? response:	I forgot to turn the phone back on after the concert.
context: Call Yasu.\- Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking.\No problem.\Did Ren call?\I'm not sure.\Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert. response:	- What? - I wonder if Ren's already called.
context: - Hello. - Hello, Yasu. It's me.\Hello, Nana. Sorry about giving out your number without asking.\No problem.\Did Ren call?\I'm not sure.\Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called. response:	Who knows?
context: Hello, Nana. Sorry about giving out your number without asking.\No problem.\Did Ren call?\I'm not sure.\Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called.\Who knows? response:	What'll I do?
context: No problem.\Did Ren call?\I'm not sure.\Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called.\Who knows?\What'll I do? response:	Just wait and I'm sure he'll call again.
context: Did Ren call?\I'm not sure.\Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called.\Who knows?\What'll I do?\Just wait and I'm sure he'll call again. response:	Really?
context: I'm not sure.\Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called.\Who knows?\What'll I do?\Just wait and I'm sure he'll call again.\Really? response:	Probably. I provoked him a bit.
context: Huh? Did you check your missed calls?\I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called.\Who knows?\What'll I do?\Just wait and I'm sure he'll call again.\Really?\Probably. I provoked him a bit. response:	Don't joke around, baldy!
context: I forgot to turn the phone back on after the concert.\- What? - I wonder if Ren's already called.\Who knows?\What'll I do?\Just wait and I'm sure he'll call again.\Really?\Probably. I provoked him a bit.\Don't joke around, baldy! response:	I don't know what you told Ren, but mind your own business.
context: - What? - I wonder if Ren's already called.\Who knows?\What'll I do?\Just wait and I'm sure he'll call again.\Really?\Probably. I provoked him a bit.\Don't joke around, baldy!\I don't know what you told Ren, but mind your own business. response:	I have nothing to say to him at this point.
context: Who knows?\What'll I do?\Just wait and I'm sure he'll call again.\Really?\Probably. I provoked him a bit.\Don't joke around, baldy!\I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point. response:	Well, let me make one thing clear.
context: What'll I do?\Just wait and I'm sure he'll call again.\Really?\Probably. I provoked him a bit.\Don't joke around, baldy!\I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point.\Well, let me make one thing clear. response:	It was he who called me after noticing you at the concert hall.
context: Just wait and I'm sure he'll call again.\Really?\Probably. I provoked him a bit.\Don't joke around, baldy!\I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point.\Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall. response:	I just gave him the phone number.
context: Really?\Probably. I provoked him a bit.\Don't joke around, baldy!\I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point.\Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall.\I just gave him the phone number. response:	If you have nothing to say to him, tell him that directly.
context: Probably. I provoked him a bit.\Don't joke around, baldy!\I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point.\Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall.\I just gave him the phone number.\If you have nothing to say to him, tell him that directly. response:	If you have no need for the key to the place you and Ren used to live,
context: Don't joke around, baldy!\I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point.\Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall.\I just gave him the phone number.\If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live, response:	and the key to the padlock around Ren's neck, just get rid of them.
context: I don't know what you told Ren, but mind your own business.\I have nothing to say to him at this point.\Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall.\I just gave him the phone number.\If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them. response:	That would put an end to everything.
context: I have nothing to say to him at this point.\Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall.\I just gave him the phone number.\If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything. response:	Put yourself in his shoes.
context: Well, let me make one thing clear.\It was he who called me after noticing you at the concert hall.\I just gave him the phone number.\If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything.\Put yourself in his shoes. response:	He's bound by a woman he can never have again.
context: It was he who called me after noticing you at the concert hall.\I just gave him the phone number.\If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything.\Put yourself in his shoes.\He's bound by a woman he can never have again. response:	I understand. Give me Ren's cell number.
context: I just gave him the phone number.\If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything.\Put yourself in his shoes.\He's bound by a woman he can never have again.\I understand. Give me Ren's cell number. response:	I'm not the type to just sit around and wait.
context: If you have nothing to say to him, tell him that directly.\If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything.\Put yourself in his shoes.\He's bound by a woman he can never have again.\I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait. response:	FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER
context: If you have no need for the key to the place you and Ren used to live,\and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything.\Put yourself in his shoes.\He's bound by a woman he can never have again.\I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER response:	If you don't intend to see her, I'll take Nana for myself.
context: and the key to the padlock around Ren's neck, just get rid of them.\That would put an end to everything.\Put yourself in his shoes.\He's bound by a woman he can never have again.\I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself. response:	Ren!
context: That would put an end to everything.\Put yourself in his shoes.\He's bound by a woman he can never have again.\I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself.\Ren! response:	Hey, give me one too.
context: Put yourself in his shoes.\He's bound by a woman he can never have again.\I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself.\Ren!\Hey, give me one too. response:	Come on.
context: He's bound by a woman he can never have again.\I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself.\Ren!\Hey, give me one too.\Come on. response:	Oh, never mind.
context: I understand. Give me Ren's cell number.\I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself.\Ren!\Hey, give me one too.\Come on.\Oh, never mind. response:	I can't sleep so I'm going to Takumi's room to play cards.
context: I'm not the type to just sit around and wait.\FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself.\Ren!\Hey, give me one too.\Come on.\Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards. response:	Wanna come?
context: FROM: YASU GOOD JOB NANA KOMATSU'S NUMBER\If you don't intend to see her, I'll take Nana for myself.\Ren!\Hey, give me one too.\Come on.\Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards.\Wanna come? response:	Cards again?
context: If you don't intend to see her, I'll take Nana for myself.\Ren!\Hey, give me one too.\Come on.\Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards.\Wanna come?\Cards again? response:	Yes. We're playing Shichi Narabe again.
context: Ren!\Hey, give me one too.\Come on.\Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards.\Wanna come?\Cards again?\Yes. We're playing Shichi Narabe again. response:	Not the image of rock musicians, is it?
context: Hey, give me one too.\Come on.\Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards.\Wanna come?\Cards again?\Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it? response:	I'm fine. I'll pass.
context: Come on.\Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards.\Wanna come?\Cards again?\Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it?\I'm fine. I'll pass. response:	Being a rock musician and all.
context: Oh, never mind.\I can't sleep so I'm going to Takumi's room to play cards.\Wanna come?\Cards again?\Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it?\I'm fine. I'll pass.\Being a rock musician and all. response:	Let's play! It's no fun without you.
context: I can't sleep so I'm going to Takumi's room to play cards.\Wanna come?\Cards again?\Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it?\I'm fine. I'll pass.\Being a rock musician and all.\Let's play! It's no fun without you. response:	Takumi, Naoki and Take are all lousy players.
context: Wanna come?\Cards again?\Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it?\I'm fine. I'll pass.\Being a rock musician and all.\Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players. response:	It's no fun winning all the games.
context: Cards again?\Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it?\I'm fine. I'll pass.\Being a rock musician and all.\Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games. response:	Sorry, but I'm really tired. I'm going to bed. Good night.
context: Yes. We're playing Shichi Narabe again.\Not the image of rock musicians, is it?\I'm fine. I'll pass.\Being a rock musician and all.\Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night. response:	Is that so? Darn.
context: Not the image of rock musicians, is it?\I'm fine. I'll pass.\Being a rock musician and all.\Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn. response:	Reira.
context: I'm fine. I'll pass.\Being a rock musician and all.\Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn.\Reira. response:	Huh?
context: Being a rock musician and all.\Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn.\Reira.\Huh? response:	Your voice is a bit rough. You okay?
context: Let's play! It's no fun without you.\Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn.\Reira.\Huh?\Your voice is a bit rough. You okay? response:	Let's do our best, okay? Sixteen to go.
context: Takumi, Naoki and Take are all lousy players.\It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn.\Reira.\Huh?\Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go. response:	Who is it?
context: It's no fun winning all the games.\Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn.\Reira.\Huh?\Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go.\Who is it? response:	Nana.
context: Sorry, but I'm really tired. I'm going to bed. Good night.\Is that so? Darn.\Reira.\Huh?\Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go.\Who is it?\Nana. response:	What a way to greet me. You seem to be well.
context: Is that so? Darn.\Reira.\Huh?\Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go.\Who is it?\Nana.\What a way to greet me. You seem to be well. response:	I have something to talk to you about. Can we meet now?
context: Reira.\Huh?\Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go.\Who is it?\Nana.\What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now? response:	Sure.
context: Huh?\Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go.\Who is it?\Nana.\What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now?\Sure. response:	Where are you now?
context: Your voice is a bit rough. You okay?\Let's do our best, okay? Sixteen to go.\Who is it?\Nana.\What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now?\Sure.\Where are you now? response:	In my hotel room.
context: Let's do our best, okay? Sixteen to go.\Who is it?\Nana.\What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now?\Sure.\Where are you now?\In my hotel room. response:	Alone?
context: Who is it?\Nana.\What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now?\Sure.\Where are you now?\In my hotel room.\Alone? response:	Yeah.
context: Nana.\What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now?\Sure.\Where are you now?\In my hotel room.\Alone?\Yeah. response:	Would it be unwise for me to go there?
context: What a way to greet me. You seem to be well.\I have something to talk to you about. Can we meet now?\Sure.\Where are you now?\In my hotel room.\Alone?\Yeah.\Would it be unwise for me to go there? response:	No.
context: I have something to talk to you about. Can we meet now?\Sure.\Where are you now?\In my hotel room.\Alone?\Yeah.\Would it be unwise for me to go there?\No. response:	If you'd rather meet me outside somewhere, just tell me where.
context: Sure.\Where are you now?\In my hotel room.\Alone?\Yeah.\Would it be unwise for me to go there?\No.\If you'd rather meet me outside somewhere, just tell me where. response:	No, that would be less convenient.
context: Where are you now?\In my hotel room.\Alone?\Yeah.\Would it be unwise for me to go there?\No.\If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient. response:	It doesn't look like I'll be able to leave here.
context: In my hotel room.\Alone?\Yeah.\Would it be unwise for me to go there?\No.\If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient.\It doesn't look like I'll be able to leave here. response:	Then I'm coming right now.
context: Alone?\Yeah.\Would it be unwise for me to go there?\No.\If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient.\It doesn't look like I'll be able to leave here.\Then I'm coming right now. response:	What hotel and what's the room number?
context: Yeah.\Would it be unwise for me to go there?\No.\If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient.\It doesn't look like I'll be able to leave here.\Then I'm coming right now.\What hotel and what's the room number? response:	So many fans...
context: Would it be unwise for me to go there?\No.\If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient.\It doesn't look like I'll be able to leave here.\Then I'm coming right now.\What hotel and what's the room number?\So many fans... response:	They've found out where the band's staying.
context: No.\If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient.\It doesn't look like I'll be able to leave here.\Then I'm coming right now.\What hotel and what's the room number?\So many fans...\They've found out where the band's staying. response:	No wonder he can't go out.
context: If you'd rather meet me outside somewhere, just tell me where.\No, that would be less convenient.\It doesn't look like I'll be able to leave here.\Then I'm coming right now.\What hotel and what's the room number?\So many fans...\They've found out where the band's staying.\No wonder he can't go out. response:	What does Nana plan to do once she meets Ren?
context: No, that would be less convenient.\It doesn't look like I'll be able to leave here.\Then I'm coming right now.\What hotel and what's the room number?\So many fans...\They've found out where the band's staying.\No wonder he can't go out.\What does Nana plan to do once she meets Ren? response:	What's she gonna tell him?
context: It doesn't look like I'll be able to leave here.\Then I'm coming right now.\What hotel and what's the room number?\So many fans...\They've found out where the band's staying.\No wonder he can't go out.\What does Nana plan to do once she meets Ren?\What's she gonna tell him? response:	Nana's really stubborn, which worries me.
context: Then I'm coming right now.\What hotel and what's the room number?\So many fans...\They've found out where the band's staying.\No wonder he can't go out.\What does Nana plan to do once she meets Ren?\What's she gonna tell him?\Nana's really stubborn, which worries me. response:	I'm so worried it's not likely I'll get any sleep.
context: What hotel and what's the room number?\So many fans...\They've found out where the band's staying.\No wonder he can't go out.\What does Nana plan to do once she meets Ren?\What's she gonna tell him?\Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep. response:	Good job.
context: So many fans...\They've found out where the band's staying.\No wonder he can't go out.\What does Nana plan to do once she meets Ren?\What's she gonna tell him?\Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep.\Good job. response:	Are you a staff member?
context: They've found out where the band's staying.\No wonder he can't go out.\What does Nana plan to do once she meets Ren?\What's she gonna tell him?\Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep.\Good job.\Are you a staff member? response:	Show me your pass.
context: No wonder he can't go out.\What does Nana plan to do once she meets Ren?\What's she gonna tell him?\Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep.\Good job.\Are you a staff member?\Show me your pass. response:	Oh, my pass? It must be tough, having to check passes here as well.
context: What does Nana plan to do once she meets Ren?\What's she gonna tell him?\Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep.\Good job.\Are you a staff member?\Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well. response:	Oh? I think I left it in my room. I'll go get it.
context: What's she gonna tell him?\Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep.\Good job.\Are you a staff member?\Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it. response:	This area is off limits to the public.
context: Nana's really stubborn, which worries me.\I'm so worried it's not likely I'll get any sleep.\Good job.\Are you a staff member?\Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public. response:	It's a real problem.
context: I'm so worried it's not likely I'll get any sleep.\Good job.\Are you a staff member?\Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public.\It's a real problem. response:	Do you have any idea
context: Good job.\Are you a staff member?\Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public.\It's a real problem.\Do you have any idea response:	how much trouble obsessed fans like you cause the band members?
context: Are you a staff member?\Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public.\It's a real problem.\Do you have any idea\how much trouble obsessed fans like you cause the band members? response:	I'm not really a fan!
context: Show me your pass.\Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public.\It's a real problem.\Do you have any idea\how much trouble obsessed fans like you cause the band members?\I'm not really a fan! response:	Now go on. Go on home.
context: Oh, my pass? It must be tough, having to check passes here as well.\Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public.\It's a real problem.\Do you have any idea\how much trouble obsessed fans like you cause the band members?\I'm not really a fan!\Now go on. Go on home. response:	I asked that girl to come.
context: Oh? I think I left it in my room. I'll go get it.\This area is off limits to the public.\It's a real problem.\Do you have any idea\how much trouble obsessed fans like you cause the band members?\I'm not really a fan!\Now go on. Go on home.\I asked that girl to come. response:	Please let her through. Here's a little payment to keep it a secret.
context: This area is off limits to the public.\It's a real problem.\Do you have any idea\how much trouble obsessed fans like you cause the band members?\I'm not really a fan!\Now go on. Go on home.\I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret. response:	Oh, is that so? Well, sorry'bout that.
context: It's a real problem.\Do you have any idea\how much trouble obsessed fans like you cause the band members?\I'm not really a fan!\Now go on. Go on home.\I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that. response:	The security's really tight. Sorry, maybe I shouldn't have come.
context: Do you have any idea\how much trouble obsessed fans like you cause the band members?\I'm not really a fan!\Now go on. Go on home.\I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come. response:	Ren...
context: how much trouble obsessed fans like you cause the band members?\I'm not really a fan!\Now go on. Go on home.\I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come.\Ren... response:	Let me go!
context: I'm not really a fan!\Now go on. Go on home.\I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come.\Ren...\Let me go! response:	I have no intention of getting back together with you!
context: Now go on. Go on home.\I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come.\Ren...\Let me go!\I have no intention of getting back together with you! response:	I wanted to see you.
context: I asked that girl to come.\Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come.\Ren...\Let me go!\I have no intention of getting back together with you!\I wanted to see you. response:	I shouldn't have come.
context: Please let her through. Here's a little payment to keep it a secret.\Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come.\Ren...\Let me go!\I have no intention of getting back together with you!\I wanted to see you.\I shouldn't have come. response:	You're ingenious, Yasu.
context: Oh, is that so? Well, sorry'bout that.\The security's really tight. Sorry, maybe I shouldn't have come.\Ren...\Let me go!\I have no intention of getting back together with you!\I wanted to see you.\I shouldn't have come.\You're ingenious, Yasu. response:	Knowing Nana, naturally she's gonna feel the need to give the keys back to Ren
