context: I wonder if I'll get to see the fall next year. response:	The sun is the light for the early sleepers.
context: Let's not.\It's okay.\I want to hear.\My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat?\We need to teach her a lesson.\What the hell are you looking at? response:	What are you...
context: It's okay.\I want to hear.\My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat?\We need to teach her a lesson.\What the hell are you looking at?\What are you... response:	Do you want to stay here forever?
context: I want to hear.\My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat?\We need to teach her a lesson.\What the hell are you looking at?\What are you...\Do you want to stay here forever? response:	No!
context: My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat?\We need to teach her a lesson.\What the hell are you looking at?\What are you...\Do you want to stay here forever?\No! response:	I haven't introduced myself yet.
context: I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat?\We need to teach her a lesson.\What the hell are you looking at?\What are you...\Do you want to stay here forever?\No!\I haven't introduced myself yet. response:	I'm Mikhail Renfred.
context: Hey, have you seen the blonde brat?\We need to teach her a lesson.\What the hell are you looking at?\What are you...\Do you want to stay here forever?\No!\I haven't introduced myself yet.\I'm Mikhail Renfred. response:	Call me what you want.
context: We need to teach her a lesson.\What the hell are you looking at?\What are you...\Do you want to stay here forever?\No!\I haven't introduced myself yet.\I'm Mikhail Renfred.\Call me what you want. response:	Hey, asshole...
context: What the hell are you looking at?\What are you...\Do you want to stay here forever?\No!\I haven't introduced myself yet.\I'm Mikhail Renfred.\Call me what you want.\Hey, asshole... response:	Take a bath first.
context: What are you...\Do you want to stay here forever?\No!\I haven't introduced myself yet.\I'm Mikhail Renfred.\Call me what you want.\Hey, asshole...\Take a bath first. response:	Wait...
context: Do you want to stay here forever?\No!\I haven't introduced myself yet.\I'm Mikhail Renfred.\Call me what you want.\Hey, asshole...\Take a bath first.\Wait... response:	I didn't trust him in the slightest at the time.
context: No!\I haven't introduced myself yet.\I'm Mikhail Renfred.\Call me what you want.\Hey, asshole...\Take a bath first.\Wait...\I didn't trust him in the slightest at the time. response:	Before that, I'd grown up in a trash pit.
context: I haven't introduced myself yet.\I'm Mikhail Renfred.\Call me what you want.\Hey, asshole...\Take a bath first.\Wait...\I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit. response:	There was no way I could trust people.
context: I'm Mikhail Renfred.\Call me what you want.\Hey, asshole...\Take a bath first.\Wait...\I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit.\There was no way I could trust people. response:	But, one day...
context: Call me what you want.\Hey, asshole...\Take a bath first.\Wait...\I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit.\There was no way I could trust people.\But, one day... response:	What a pain.
context: Hey, asshole...\Take a bath first.\Wait...\I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit.\There was no way I could trust people.\But, one day...\What a pain. response:	I can't read the title.
context: Take a bath first.\Wait...\I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit.\There was no way I could trust people.\But, one day...\What a pain.\I can't read the title. response:	I told you not to open them!
context: Wait...\I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit.\There was no way I could trust people.\But, one day...\What a pain.\I can't read the title.\I told you not to open them! response:	Ow!
context: I didn't trust him in the slightest at the time.\Before that, I'd grown up in a trash pit.\There was no way I could trust people.\But, one day...\What a pain.\I can't read the title.\I told you not to open them!\Ow! response:	No, that was my fault, too.
context: Before that, I'd grown up in a trash pit.\There was no way I could trust people.\But, one day...\What a pain.\I can't read the title.\I told you not to open them!\Ow!\No, that was my fault, too. response:	I should have told you more clearly.
context: There was no way I could trust people.\But, one day...\What a pain.\I can't read the title.\I told you not to open them!\Ow!\No, that was my fault, too.\I should have told you more clearly. response:	Why?
context: But, one day...\What a pain.\I can't read the title.\I told you not to open them!\Ow!\No, that was my fault, too.\I should have told you more clearly.\Why? response:	Your face...
context: What a pain.\I can't read the title.\I told you not to open them!\Ow!\No, that was my fault, too.\I should have told you more clearly.\Why?\Your face... response:	You're hurt.
context: I can't read the title.\I told you not to open them!\Ow!\No, that was my fault, too.\I should have told you more clearly.\Why?\Your face...\You're hurt. response:	It's fine.
context: I told you not to open them!\Ow!\No, that was my fault, too.\I should have told you more clearly.\Why?\Your face...\You're hurt.\It's fine. response:	I'm glad, though.
context: Ow!\No, that was my fault, too.\I should have told you more clearly.\Why?\Your face...\You're hurt.\It's fine.\I'm glad, though. response:	You're finally getting better.
context: No, that was my fault, too.\I should have told you more clearly.\Why?\Your face...\You're hurt.\It's fine.\I'm glad, though.\You're finally getting better. response:	You shouldn't be getting yourself hurt again.
context: I should have told you more clearly.\Why?\Your face...\You're hurt.\It's fine.\I'm glad, though.\You're finally getting better.\You shouldn't be getting yourself hurt again. response:	This way.
context: Why?\Your face...\You're hurt.\It's fine.\I'm glad, though.\You're finally getting better.\You shouldn't be getting yourself hurt again.\This way. response:	I'm used to treating wounds.
context: Your face...\You're hurt.\It's fine.\I'm glad, though.\You're finally getting better.\You shouldn't be getting yourself hurt again.\This way.\I'm used to treating wounds. response:	I can do it.
context: You're hurt.\It's fine.\I'm glad, though.\You're finally getting better.\You shouldn't be getting yourself hurt again.\This way.\I'm used to treating wounds.\I can do it. response:	I'm self-taught, though.
context: It's fine.\I'm glad, though.\You're finally getting better.\You shouldn't be getting yourself hurt again.\This way.\I'm used to treating wounds.\I can do it.\I'm self-taught, though. response:	I'm sorry.
context: I'm glad, though.\You're finally getting better.\You shouldn't be getting yourself hurt again.\This way.\I'm used to treating wounds.\I can do it.\I'm self-taught, though.\I'm sorry. response:	I'll be more careful.
context: You're finally getting better.\You shouldn't be getting yourself hurt again.\This way.\I'm used to treating wounds.\I can do it.\I'm self-taught, though.\I'm sorry.\I'll be more careful. response:	I'll protect you, as your bodyguard.
context: You shouldn't be getting yourself hurt again.\This way.\I'm used to treating wounds.\I can do it.\I'm self-taught, though.\I'm sorry.\I'll be more careful.\I'll protect you, as your bodyguard. response:	I'm counting on you next time.
context: This way.\I'm used to treating wounds.\I can do it.\I'm self-taught, though.\I'm sorry.\I'll be more careful.\I'll protect you, as your bodyguard.\I'm counting on you next time. response:	Thinking about that makes me feel like shit.
context: I'm used to treating wounds.\I can do it.\I'm self-taught, though.\I'm sorry.\I'll be more careful.\I'll protect you, as your bodyguard.\I'm counting on you next time.\Thinking about that makes me feel like shit. response:	I'm sorry.
context: I can do it.\I'm self-taught, though.\I'm sorry.\I'll be more careful.\I'll protect you, as your bodyguard.\I'm counting on you next time.\Thinking about that makes me feel like shit.\I'm sorry. response:	I don't know what to say.
context: I'm self-taught, though.\I'm sorry.\I'll be more careful.\I'll protect you, as your bodyguard.\I'm counting on you next time.\Thinking about that makes me feel like shit.\I'm sorry.\I don't know what to say. response:	You don't need to think anything about it.
context: I'm sorry.\I'll be more careful.\I'll protect you, as your bodyguard.\I'm counting on you next time.\Thinking about that makes me feel like shit.\I'm sorry.\I don't know what to say.\You don't need to think anything about it. response:	I'll decide for myself whether I'm happy or miserable.
context: I'll be more careful.\I'll protect you, as your bodyguard.\I'm counting on you next time.\Thinking about that makes me feel like shit.\I'm sorry.\I don't know what to say.\You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable. response:	Thanks for hearing me out.
context: I'll protect you, as your bodyguard.\I'm counting on you next time.\Thinking about that makes me feel like shit.\I'm sorry.\I don't know what to say.\You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out. response:	All right, let's get back.
context: I'm counting on you next time.\Thinking about that makes me feel like shit.\I'm sorry.\I don't know what to say.\You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out.\All right, let's get back. response:	Yeah.
context: Thinking about that makes me feel like shit.\I'm sorry.\I don't know what to say.\You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out.\All right, let's get back.\Yeah. response:	Oh yeah, is my servant bird at your place?
context: I'm sorry.\I don't know what to say.\You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out.\All right, let's get back.\Yeah.\Oh yeah, is my servant bird at your place? response:	It's this tiny thing.
context: I don't know what to say.\You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out.\All right, let's get back.\Yeah.\Oh yeah, is my servant bird at your place?\It's this tiny thing. response:	Oh, never mind.
context: You don't need to think anything about it.\I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out.\All right, let's get back.\Yeah.\Oh yeah, is my servant bird at your place?\It's this tiny thing.\Oh, never mind. response:	I'll write you a letter again.
context: I'll decide for myself whether I'm happy or miserable.\Thanks for hearing me out.\All right, let's get back.\Yeah.\Oh yeah, is my servant bird at your place?\It's this tiny thing.\Oh, never mind.\I'll write you a letter again. response:	Thanks for coming out at the last minute.
context: Thanks for hearing me out.\All right, let's get back.\Yeah.\Oh yeah, is my servant bird at your place?\It's this tiny thing.\Oh, never mind.\I'll write you a letter again.\Thanks for coming out at the last minute. response:	No, thank you, too.
context: All right, let's get back.\Yeah.\Oh yeah, is my servant bird at your place?\It's this tiny thing.\Oh, never mind.\I'll write you a letter again.\Thanks for coming out at the last minute.\No, thank you, too. response:	I hope it works out for both of us.
context: Yeah.\Oh yeah, is my servant bird at your place?\It's this tiny thing.\Oh, never mind.\I'll write you a letter again.\Thanks for coming out at the last minute.\No, thank you, too.\I hope it works out for both of us. response:	You have a friend now. I'm happy for you.
context: Oh yeah, is my servant bird at your place?\It's this tiny thing.\Oh, never mind.\I'll write you a letter again.\Thanks for coming out at the last minute.\No, thank you, too.\I hope it works out for both of us.\You have a friend now. I'm happy for you. response:	As my big brother, do you approve?
context: It's this tiny thing.\Oh, never mind.\I'll write you a letter again.\Thanks for coming out at the last minute.\No, thank you, too.\I hope it works out for both of us.\You have a friend now. I'm happy for you.\As my big brother, do you approve? response:	She's not a bad person.
context: Oh, never mind.\I'll write you a letter again.\Thanks for coming out at the last minute.\No, thank you, too.\I hope it works out for both of us.\You have a friend now. I'm happy for you.\As my big brother, do you approve?\She's not a bad person. response:	Jeez, Ethan!
context: I'll write you a letter again.\Thanks for coming out at the last minute.\No, thank you, too.\I hope it works out for both of us.\You have a friend now. I'm happy for you.\As my big brother, do you approve?\She's not a bad person.\Jeez, Ethan! response:	I'm sorry!
context: Thanks for coming out at the last minute.\No, thank you, too.\I hope it works out for both of us.\You have a friend now. I'm happy for you.\As my big brother, do you approve?\She's not a bad person.\Jeez, Ethan!\I'm sorry! response:	Stella! Ethan!
context: No, thank you, too.\I hope it works out for both of us.\You have a friend now. I'm happy for you.\As my big brother, do you approve?\She's not a bad person.\Jeez, Ethan!\I'm sorry!\Stella! Ethan! response:	Let's head home, then.
context: I hope it works out for both of us.\You have a friend now. I'm happy for you.\As my big brother, do you approve?\She's not a bad person.\Jeez, Ethan!\I'm sorry!\Stella! Ethan!\Let's head home, then. response:	You're late.
context: You have a friend now. I'm happy for you.\As my big brother, do you approve?\She's not a bad person.\Jeez, Ethan!\I'm sorry!\Stella! Ethan!\Let's head home, then.\You're late. response:	Thanks, Elias.
context: As my big brother, do you approve?\She's not a bad person.\Jeez, Ethan!\I'm sorry!\Stella! Ethan!\Let's head home, then.\You're late.\Thanks, Elias. response:	What did you want all the way out in London?
context: She's not a bad person.\Jeez, Ethan!\I'm sorry!\Stella! Ethan!\Let's head home, then.\You're late.\Thanks, Elias.\What did you want all the way out in London? response:	And you even met with Renfred's apprentice.
context: Jeez, Ethan!\I'm sorry!\Stella! Ethan!\Let's head home, then.\You're late.\Thanks, Elias.\What did you want all the way out in London?\And you even met with Renfred's apprentice. response:	Y-You were watching?
context: I'm sorry!\Stella! Ethan!\Let's head home, then.\You're late.\Thanks, Elias.\What did you want all the way out in London?\And you even met with Renfred's apprentice.\Y-You were watching? response:	Do you know how many times you've put yourself in danger?
context: Stella! Ethan!\Let's head home, then.\You're late.\Thanks, Elias.\What did you want all the way out in London?\And you even met with Renfred's apprentice.\Y-You were watching?\Do you know how many times you've put yourself in danger? response:	You can't sneak out like that.
context: Let's head home, then.\You're late.\Thanks, Elias.\What did you want all the way out in London?\And you even met with Renfred's apprentice.\Y-You were watching?\Do you know how many times you've put yourself in danger?\You can't sneak out like that. response:	I thought you'd say no.
context: You're late.\Thanks, Elias.\What did you want all the way out in London?\And you even met with Renfred's apprentice.\Y-You were watching?\Do you know how many times you've put yourself in danger?\You can't sneak out like that.\I thought you'd say no. response:	Of course I would.
context: Thanks, Elias.\What did you want all the way out in London?\And you even met with Renfred's apprentice.\Y-You were watching?\Do you know how many times you've put yourself in danger?\You can't sneak out like that.\I thought you'd say no.\Of course I would. response:	I was with her.
context: What did you want all the way out in London?\And you even met with Renfred's apprentice.\Y-You were watching?\Do you know how many times you've put yourself in danger?\You can't sneak out like that.\I thought you'd say no.\Of course I would.\I was with her. response:	Don't be too angry, Elias.
context: And you even met with Renfred's apprentice.\Y-You were watching?\Do you know how many times you've put yourself in danger?\You can't sneak out like that.\I thought you'd say no.\Of course I would.\I was with her.\Don't be too angry, Elias. response:	Angry?
context: Y-You were watching?\Do you know how many times you've put yourself in danger?\You can't sneak out like that.\I thought you'd say no.\Of course I would.\I was with her.\Don't be too angry, Elias.\Angry? response:	This is angry? I am?
context: Do you know how many times you've put yourself in danger?\You can't sneak out like that.\I thought you'd say no.\Of course I would.\I was with her.\Don't be too angry, Elias.\Angry?\This is angry? I am? response:	I think so.
context: You can't sneak out like that.\I thought you'd say no.\Of course I would.\I was with her.\Don't be too angry, Elias.\Angry?\This is angry? I am?\I think so. response:	I'm sorry.
context: I thought you'd say no.\Of course I would.\I was with her.\Don't be too angry, Elias.\Angry?\This is angry? I am?\I think so.\I'm sorry. response:	Um...
context: Of course I would.\I was with her.\Don't be too angry, Elias.\Angry?\This is angry? I am?\I think so.\I'm sorry.\Um... response:	I went to buy this.
context: I was with her.\Don't be too angry, Elias.\Angry?\This is angry? I am?\I think so.\I'm sorry.\Um...\I went to buy this. response:	I know it's a day early, but...
context: Don't be too angry, Elias.\Angry?\This is angry? I am?\I think so.\I'm sorry.\Um...\I went to buy this.\I know it's a day early, but... response:	Merry Christmas.
context: Angry?\This is angry? I am?\I think so.\I'm sorry.\Um...\I went to buy this.\I know it's a day early, but...\Merry Christmas. response:	Elias?
context: This is angry? I am?\I think so.\I'm sorry.\Um...\I went to buy this.\I know it's a day early, but...\Merry Christmas.\Elias? response:	Oh, right.
context: I think so.\I'm sorry.\Um...\I went to buy this.\I know it's a day early, but...\Merry Christmas.\Elias?\Oh, right. response:	I didn't think you'd get me anything.
context: I'm sorry.\Um...\I went to buy this.\I know it's a day early, but...\Merry Christmas.\Elias?\Oh, right.\I didn't think you'd get me anything. response:	I didn't think I'd get you anything.
context: Um...\I went to buy this.\I know it's a day early, but...\Merry Christmas.\Elias?\Oh, right.\I didn't think you'd get me anything.\I didn't think I'd get you anything. response:	I'm sorry, Elias.
context: I went to buy this.\I know it's a day early, but...\Merry Christmas.\Elias?\Oh, right.\I didn't think you'd get me anything.\I didn't think I'd get you anything.\I'm sorry, Elias. response:	Uh...
context: I know it's a day early, but...\Merry Christmas.\Elias?\Oh, right.\I didn't think you'd get me anything.\I didn't think I'd get you anything.\I'm sorry, Elias.\Uh... response:	You're always wearing the same one, so I thought maybe it relaxes you.
context: Merry Christmas.\Elias?\Oh, right.\I didn't think you'd get me anything.\I didn't think I'd get you anything.\I'm sorry, Elias.\Uh...\You're always wearing the same one, so I thought maybe it relaxes you. response:	I-If you don't like it...
context: Elias?\Oh, right.\I didn't think you'd get me anything.\I didn't think I'd get you anything.\I'm sorry, Elias.\Uh...\You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it... response:	Thanks, Chise.
context: Oh, right.\I didn't think you'd get me anything.\I didn't think I'd get you anything.\I'm sorry, Elias.\Uh...\You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it...\Thanks, Chise. response:	One for you, too, then.
context: I didn't think you'd get me anything.\I didn't think I'd get you anything.\I'm sorry, Elias.\Uh...\You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it...\Thanks, Chise.\One for you, too, then. response:	It's big.
context: I didn't think I'd get you anything.\I'm sorry, Elias.\Uh...\You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it...\Thanks, Chise.\One for you, too, then.\It's big. response:	I've only made them for Angelica and her family.
context: I'm sorry, Elias.\Uh...\You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it...\Thanks, Chise.\One for you, too, then.\It's big.\I've only made them for Angelica and her family. response:	I thought I'd make one for you, too.
context: Uh...\You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it...\Thanks, Chise.\One for you, too, then.\It's big.\I've only made them for Angelica and her family.\I thought I'd make one for you, too. response:	You made this?
context: You're always wearing the same one, so I thought maybe it relaxes you.\I-If you don't like it...\Thanks, Chise.\One for you, too, then.\It's big.\I've only made them for Angelica and her family.\I thought I'd make one for you, too.\You made this? response:	You did?
context: I-If you don't like it...\Thanks, Chise.\One for you, too, then.\It's big.\I've only made them for Angelica and her family.\I thought I'd make one for you, too.\You made this?\You did? response:	Yeah.
context: Thanks, Chise.\One for you, too, then.\It's big.\I've only made them for Angelica and her family.\I thought I'd make one for you, too.\You made this?\You did?\Yeah. response:	Angelica told me a long time ago that she wanted a teddy bear as a gift.
context: One for you, too, then.\It's big.\I've only made them for Angelica and her family.\I thought I'd make one for you, too.\You made this?\You did?\Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift. response:	I think this year's is my best one yet.
context: It's big.\I've only made them for Angelica and her family.\I thought I'd make one for you, too.\You made this?\You did?\Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet. response:	You've been doing it ever since?
context: I've only made them for Angelica and her family.\I thought I'd make one for you, too.\You made this?\You did?\Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet.\You've been doing it ever since? response:	Yeah.
context: I thought I'd make one for you, too.\You made this?\You did?\Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet.\You've been doing it ever since?\Yeah. response:	I don't really know what else to do.
context: You made this?\You did?\Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet.\You've been doing it ever since?\Yeah.\I don't really know what else to do. response:	Thank you.
context: You did?\Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet.\You've been doing it ever since?\Yeah.\I don't really know what else to do.\Thank you. response:	It has a bit of a trick, too.
context: Yeah.\Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet.\You've been doing it ever since?\Yeah.\I don't really know what else to do.\Thank you.\It has a bit of a trick, too. response:	Also...
context: Angelica told me a long time ago that she wanted a teddy bear as a gift.\I think this year's is my best one yet.\You've been doing it ever since?\Yeah.\I don't really know what else to do.\Thank you.\It has a bit of a trick, too.\Also... response:	Those are all gifts for you.
context: I think this year's is my best one yet.\You've been doing it ever since?\Yeah.\I don't really know what else to do.\Thank you.\It has a bit of a trick, too.\Also...\Those are all gifts for you. response:	Angelica, Simon, and Lindel have gotten you gifts, too.
context: You've been doing it ever since?\Yeah.\I don't really know what else to do.\Thank you.\It has a bit of a trick, too.\Also...\Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too. response:	Gifts are meant to be opened on Christmas Day,
context: Yeah.\I don't really know what else to do.\Thank you.\It has a bit of a trick, too.\Also...\Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day, response:	so these are for tomorrow.
context: I don't really know what else to do.\Thank you.\It has a bit of a trick, too.\Also...\Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day,\so these are for tomorrow. response:	Okay.
context: Thank you.\It has a bit of a trick, too.\Also...\Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day,\so these are for tomorrow.\Okay. response:	All right, let's have dinner first.
context: It has a bit of a trick, too.\Also...\Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day,\so these are for tomorrow.\Okay.\All right, let's have dinner first. response:	I'll scold you after.
context: Also...\Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day,\so these are for tomorrow.\Okay.\All right, let's have dinner first.\I'll scold you after. response:	I was hoping he'd forgotten.
context: Those are all gifts for you.\Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day,\so these are for tomorrow.\Okay.\All right, let's have dinner first.\I'll scold you after.\I was hoping he'd forgotten. response:	You should have told me. I would have gone with you.
context: Angelica, Simon, and Lindel have gotten you gifts, too.\Gifts are meant to be opened on Christmas Day,\so these are for tomorrow.\Okay.\All right, let's have dinner first.\I'll scold you after.\I was hoping he'd forgotten.\You should have told me. I would have gone with you. response:	And I could have gotten some shopping done.
context: Gifts are meant to be opened on Christmas Day,\so these are for tomorrow.\Okay.\All right, let's have dinner first.\I'll scold you after.\I was hoping he'd forgotten.\You should have told me. I would have gone with you.\And I could have gotten some shopping done. response:	I wouldn't agree to that.
context: so these are for tomorrow.\Okay.\All right, let's have dinner first.\I'll scold you after.\I was hoping he'd forgotten.\You should have told me. I would have gone with you.\And I could have gotten some shopping done.\I wouldn't agree to that. response:	I had a secret talk with another girl about girl stuff.
context: Okay.\All right, let's have dinner first.\I'll scold you after.\I was hoping he'd forgotten.\You should have told me. I would have gone with you.\And I could have gotten some shopping done.\I wouldn't agree to that.\I had a secret talk with another girl about girl stuff. response:	Is this what Christmas is supposed to be like?
context: All right, let's have dinner first.\I'll scold you after.\I was hoping he'd forgotten.\You should have told me. I would have gone with you.\And I could have gotten some shopping done.\I wouldn't agree to that.\I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like? response:	I can't believe I'm looking forward to waking up.
context: I'll scold you after.\I was hoping he'd forgotten.\You should have told me. I would have gone with you.\And I could have gotten some shopping done.\I wouldn't agree to that.\I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like?\I can't believe I'm looking forward to waking up. response:	Oh?
context: I was hoping he'd forgotten.\You should have told me. I would have gone with you.\And I could have gotten some shopping done.\I wouldn't agree to that.\I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like?\I can't believe I'm looking forward to waking up.\Oh? response:	I see a pitiful child.
context: You should have told me. I would have gone with you.\And I could have gotten some shopping done.\I wouldn't agree to that.\I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like?\I can't believe I'm looking forward to waking up.\Oh?\I see a pitiful child. response:	An ancient being, Ashen Eye.
context: And I could have gotten some shopping done.\I wouldn't agree to that.\I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like?\I can't believe I'm looking forward to waking up.\Oh?\I see a pitiful child.\An ancient being, Ashen Eye. response:	Siblings that are at the mercy of his eternal life.
context: I wouldn't agree to that.\I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like?\I can't believe I'm looking forward to waking up.\Oh?\I see a pitiful child.\An ancient being, Ashen Eye.\Siblings that are at the mercy of his eternal life. response:	The mage and the girl lend them a hand, but...
context: I had a secret talk with another girl about girl stuff.\Is this what Christmas is supposed to be like?\I can't believe I'm looking forward to waking up.\Oh?\I see a pitiful child.\An ancient being, Ashen Eye.\Siblings that are at the mercy of his eternal life.\The mage and the girl lend them a hand, but... response:	Give him back! He's my brother!
