context: It's the start of fall. response:	Things got a little hectic in central Flognarde,
context: Oh, you guys are making too big a deal out of it.\We just helped\the continent recover a little.\The name and position of Hero King\were something they gave me, after all.\Excuse me, everyone.\Oh, Callaway.\The Hero Nanami is coming from Galette. response:	Really?
context: We just helped\the continent recover a little.\The name and position of Hero King\were something they gave me, after all.\Excuse me, everyone.\Oh, Callaway.\The Hero Nanami is coming from Galette.\Really? response:	She wants to thank Adel-sama for yesterday, she says.
context: the continent recover a little.\The name and position of Hero King\were something they gave me, after all.\Excuse me, everyone.\Oh, Callaway.\The Hero Nanami is coming from Galette.\Really?\She wants to thank Adel-sama for yesterday, she says. response:	Oh?
context: The name and position of Hero King\were something they gave me, after all.\Excuse me, everyone.\Oh, Callaway.\The Hero Nanami is coming from Galette.\Really?\She wants to thank Adel-sama for yesterday, she says.\Oh? response:	So where's she now?
context: were something they gave me, after all.\Excuse me, everyone.\Oh, Callaway.\The Hero Nanami is coming from Galette.\Really?\She wants to thank Adel-sama for yesterday, she says.\Oh?\So where's she now? response:	Well...
context: Excuse me, everyone.\Oh, Callaway.\The Hero Nanami is coming from Galette.\Really?\She wants to thank Adel-sama for yesterday, she says.\Oh?\So where's she now?\Well... response:	Adel-sama! Cou-sama! Hello!
context: Oh, Callaway.\The Hero Nanami is coming from Galette.\Really?\She wants to thank Adel-sama for yesterday, she says.\Oh?\So where's she now?\Well...\Adel-sama! Cou-sama! Hello! response:	We're coming over!
context: The Hero Nanami is coming from Galette.\Really?\She wants to thank Adel-sama for yesterday, she says.\Oh?\So where's she now?\Well...\Adel-sama! Cou-sama! Hello!\We're coming over! response:	They're almost here.
context: Really?\She wants to thank Adel-sama for yesterday, she says.\Oh?\So where's she now?\Well...\Adel-sama! Cou-sama! Hello!\We're coming over!\They're almost here. response:	Ancestor!
context: She wants to thank Adel-sama for yesterday, she says.\Oh?\So where's she now?\Well...\Adel-sama! Cou-sama! Hello!\We're coming over!\They're almost here.\Ancestor! response:	It's okay. Let them in.
context: Oh?\So where's she now?\Well...\Adel-sama! Cou-sama! Hello!\We're coming over!\They're almost here.\Ancestor!\It's okay. Let them in. response:	Adel-sama,
context: So where's she now?\Well...\Adel-sama! Cou-sama! Hello!\We're coming over!\They're almost here.\Ancestor!\It's okay. Let them in.\Adel-sama, response:	I wanted to thank you once again for the Spirit Crystal.
context: Well...\Adel-sama! Cou-sama! Hello!\We're coming over!\They're almost here.\Ancestor!\It's okay. Let them in.\Adel-sama,\I wanted to thank you once again for the Spirit Crystal. response:	No, if you can use it
context: Adel-sama! Cou-sama! Hello!\We're coming over!\They're almost here.\Ancestor!\It's okay. Let them in.\Adel-sama,\I wanted to thank you once again for the Spirit Crystal.\No, if you can use it response:	that makes me happy.
context: We're coming over!\They're almost here.\Ancestor!\It's okay. Let them in.\Adel-sama,\I wanted to thank you once again for the Spirit Crystal.\No, if you can use it\that makes me happy. response:	That crystal borrows the power of the spirits.
context: They're almost here.\Ancestor!\It's okay. Let them in.\Adel-sama,\I wanted to thank you once again for the Spirit Crystal.\No, if you can use it\that makes me happy.\That crystal borrows the power of the spirits. response:	It's the same type as one used by
context: Ancestor!\It's okay. Let them in.\Adel-sama,\I wanted to thank you once again for the Spirit Crystal.\No, if you can use it\that makes me happy.\That crystal borrows the power of the spirits.\It's the same type as one used by response:	the princess who brought me here,
context: It's okay. Let them in.\Adel-sama,\I wanted to thank you once again for the Spirit Crystal.\No, if you can use it\that makes me happy.\That crystal borrows the power of the spirits.\It's the same type as one used by\the princess who brought me here, response:	the last ruler of the Kingdom of Pastillage.
context: Adel-sama,\I wanted to thank you once again for the Spirit Crystal.\No, if you can use it\that makes me happy.\That crystal borrows the power of the spirits.\It's the same type as one used by\the princess who brought me here,\the last ruler of the Kingdom of Pastillage. response:	I remembered the one she had,
context: I wanted to thank you once again for the Spirit Crystal.\No, if you can use it\that makes me happy.\That crystal borrows the power of the spirits.\It's the same type as one used by\the princess who brought me here,\the last ruler of the Kingdom of Pastillage.\I remembered the one she had, response:	and recreated it.
context: No, if you can use it\that makes me happy.\That crystal borrows the power of the spirits.\It's the same type as one used by\the princess who brought me here,\the last ruler of the Kingdom of Pastillage.\I remembered the one she had,\and recreated it. response:	You looked very pretty after transforming, right?
context: that makes me happy.\That crystal borrows the power of the spirits.\It's the same type as one used by\the princess who brought me here,\the last ruler of the Kingdom of Pastillage.\I remembered the one she had,\and recreated it.\You looked very pretty after transforming, right? response:	Yes!
context: That crystal borrows the power of the spirits.\It's the same type as one used by\the princess who brought me here,\the last ruler of the Kingdom of Pastillage.\I remembered the one she had,\and recreated it.\You looked very pretty after transforming, right?\Yes! response:	I was taller and my hair changed color...
context: It's the same type as one used by\the princess who brought me here,\the last ruler of the Kingdom of Pastillage.\I remembered the one she had,\and recreated it.\You looked very pretty after transforming, right?\Yes!\I was taller and my hair changed color... response:	I gave my Hero Crystal to Shinku and Gaul.
context: the princess who brought me here,\the last ruler of the Kingdom of Pastillage.\I remembered the one she had,\and recreated it.\You looked very pretty after transforming, right?\Yes!\I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul. response:	I gave the Demon Crystal Valerie had to Rebecca.
context: the last ruler of the Kingdom of Pastillage.\I remembered the one she had,\and recreated it.\You looked very pretty after transforming, right?\Yes!\I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca. response:	And you get her Spirit Crystal.
context: I remembered the one she had,\and recreated it.\You looked very pretty after transforming, right?\Yes!\I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal. response:	the story of the first Hero.
context: and recreated it.\You looked very pretty after transforming, right?\Yes!\I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal.\the story of the first Hero. response:	The princess and the Hero and the Demon King combined
context: You looked very pretty after transforming, right?\Yes!\I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal.\the story of the first Hero.\The princess and the Hero and the Demon King combined response:	their three powers to
context: Yes!\I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal.\the story of the first Hero.\The princess and the Hero and the Demon King combined\their three powers to response:	defeat the demons and bring peace!
context: I was taller and my hair changed color...\I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal.\the story of the first Hero.\The princess and the Hero and the Demon King combined\their three powers to\defeat the demons and bring peace! response:	It's a story of Heroes told all over the world.
context: I gave my Hero Crystal to Shinku and Gaul.\I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal.\the story of the first Hero.\The princess and the Hero and the Demon King combined\their three powers to\defeat the demons and bring peace!\It's a story of Heroes told all over the world. response:	I see.
context: I gave the Demon Crystal Valerie had to Rebecca.\And you get her Spirit Crystal.\the story of the first Hero.\The princess and the Hero and the Demon King combined\their three powers to\defeat the demons and bring peace!\It's a story of Heroes told all over the world.\I see. response:	In the past, that was a job a Hero did.
context: And you get her Spirit Crystal.\the story of the first Hero.\The princess and the Hero and the Demon King combined\their three powers to\defeat the demons and bring peace!\It's a story of Heroes told all over the world.\I see.\In the past, that was a job a Hero did. response:	The world is really peaceful now,
context: the story of the first Hero.\The princess and the Hero and the Demon King combined\their three powers to\defeat the demons and bring peace!\It's a story of Heroes told all over the world.\I see.\In the past, that was a job a Hero did.\The world is really peaceful now, response:	but the most important part of being a Hero
context: The princess and the Hero and the Demon King combined\their three powers to\defeat the demons and bring peace!\It's a story of Heroes told all over the world.\I see.\In the past, that was a job a Hero did.\The world is really peaceful now,\but the most important part of being a Hero response:	is still the same.
context: their three powers to\defeat the demons and bring peace!\It's a story of Heroes told all over the world.\I see.\In the past, that was a job a Hero did.\The world is really peaceful now,\but the most important part of being a Hero\is still the same. response:	It's to bring smiles to everybody.
context: defeat the demons and bring peace!\It's a story of Heroes told all over the world.\I see.\In the past, that was a job a Hero did.\The world is really peaceful now,\but the most important part of being a Hero\is still the same.\It's to bring smiles to everybody. response:	So I hope you'll all...
context: It's a story of Heroes told all over the world.\I see.\In the past, that was a job a Hero did.\The world is really peaceful now,\but the most important part of being a Hero\is still the same.\It's to bring smiles to everybody.\So I hope you'll all... response:	Why am I getting this service so early in the morning?
context: I see.\In the past, that was a job a Hero did.\The world is really peaceful now,\but the most important part of being a Hero\is still the same.\It's to bring smiles to everybody.\So I hope you'll all...\Why am I getting this service so early in the morning? response:	Huh?
context: In the past, that was a job a Hero did.\The world is really peaceful now,\but the most important part of being a Hero\is still the same.\It's to bring smiles to everybody.\So I hope you'll all...\Why am I getting this service so early in the morning?\Huh? response:	Those are...
context: The world is really peaceful now,\but the most important part of being a Hero\is still the same.\It's to bring smiles to everybody.\So I hope you'll all...\Why am I getting this service so early in the morning?\Huh?\Those are... response:	This weird squishy thing jumped on me all of sudden.
context: but the most important part of being a Hero\is still the same.\It's to bring smiles to everybody.\So I hope you'll all...\Why am I getting this service so early in the morning?\Huh?\Those are...\This weird squishy thing jumped on me all of sudden. response:	Squishy?
context: is still the same.\It's to bring smiles to everybody.\So I hope you'll all...\Why am I getting this service so early in the morning?\Huh?\Those are...\This weird squishy thing jumped on me all of sudden.\Squishy? response:	This way, everybody.
context: It's to bring smiles to everybody.\So I hope you'll all...\Why am I getting this service so early in the morning?\Huh?\Those are...\This weird squishy thing jumped on me all of sudden.\Squishy?\This way, everybody. response:	Valerie!
context: So I hope you'll all...\Why am I getting this service so early in the morning?\Huh?\Those are...\This weird squishy thing jumped on me all of sudden.\Squishy?\This way, everybody.\Valerie! response:	Adel!
context: Why am I getting this service so early in the morning?\Huh?\Those are...\This weird squishy thing jumped on me all of sudden.\Squishy?\This way, everybody.\Valerie!\Adel! response:	What is this?
context: Huh?\Those are...\This weird squishy thing jumped on me all of sudden.\Squishy?\This way, everybody.\Valerie!\Adel!\What is this? response:	Snap!
context: Those are...\This weird squishy thing jumped on me all of sudden.\Squishy?\This way, everybody.\Valerie!\Adel!\What is this?\Snap! response:	I knew it.
context: This weird squishy thing jumped on me all of sudden.\Squishy?\This way, everybody.\Valerie!\Adel!\What is this?\Snap!\I knew it. response:	You were raising Muni-Muni, weren't you?
context: Squishy?\This way, everybody.\Valerie!\Adel!\What is this?\Snap!\I knew it.\You were raising Muni-Muni, weren't you? response:	Muni-Muni?
context: This way, everybody.\Valerie!\Adel!\What is this?\Snap!\I knew it.\You were raising Muni-Muni, weren't you?\Muni-Muni? response:	Muni-Muni are a quickly multiplying monster that attack people.
context: Valerie!\Adel!\What is this?\Snap!\I knew it.\You were raising Muni-Muni, weren't you?\Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people. response:	They're dangerous.
context: Adel!\What is this?\Snap!\I knew it.\You were raising Muni-Muni, weren't you?\Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous. response:	Wait, Adel!
context: What is this?\Snap!\I knew it.\You were raising Muni-Muni, weren't you?\Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous.\Wait, Adel! response:	That's not a fair way to say it!
context: Snap!\I knew it.\You were raising Muni-Muni, weren't you?\Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous.\Wait, Adel!\That's not a fair way to say it! response:	What other way am I supposed to say it?
context: I knew it.\You were raising Muni-Muni, weren't you?\Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous.\Wait, Adel!\That's not a fair way to say it!\What other way am I supposed to say it? response:	Those things don't hurt people!
context: You were raising Muni-Muni, weren't you?\Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous.\Wait, Adel!\That's not a fair way to say it!\What other way am I supposed to say it?\Those things don't hurt people! response:	They just eat cloth and metal!
context: Muni-Muni?\Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous.\Wait, Adel!\That's not a fair way to say it!\What other way am I supposed to say it?\Those things don't hurt people!\They just eat cloth and metal! response:	Cloth and metal?
context: Muni-Muni are a quickly multiplying monster that attack people.\They're dangerous.\Wait, Adel!\That's not a fair way to say it!\What other way am I supposed to say it?\Those things don't hurt people!\They just eat cloth and metal!\Cloth and metal? response:	Yes!
context: They're dangerous.\Wait, Adel!\That's not a fair way to say it!\What other way am I supposed to say it?\Those things don't hurt people!\They just eat cloth and metal!\Cloth and metal?\Yes! response:	They especially like things soaked with human sweat and bodily fluids.
context: Wait, Adel!\That's not a fair way to say it!\What other way am I supposed to say it?\Those things don't hurt people!\They just eat cloth and metal!\Cloth and metal?\Yes!\They especially like things soaked with human sweat and bodily fluids. response:	That means...
context: That's not a fair way to say it!\What other way am I supposed to say it?\Those things don't hurt people!\They just eat cloth and metal!\Cloth and metal?\Yes!\They especially like things soaked with human sweat and bodily fluids.\That means... response:	When I was Demon King,
context: What other way am I supposed to say it?\Those things don't hurt people!\They just eat cloth and metal!\Cloth and metal?\Yes!\They especially like things soaked with human sweat and bodily fluids.\That means...\When I was Demon King, response:	I'd put them right near the entrance to dungeons.
context: Those things don't hurt people!\They just eat cloth and metal!\Cloth and metal?\Yes!\They especially like things soaked with human sweat and bodily fluids.\That means...\When I was Demon King,\I'd put them right near the entrance to dungeons. response:	They're very convenient!
context: They just eat cloth and metal!\Cloth and metal?\Yes!\They especially like things soaked with human sweat and bodily fluids.\That means...\When I was Demon King,\I'd put them right near the entrance to dungeons.\They're very convenient! response:	They'd melt and eat the weapons and clothes
context: Cloth and metal?\Yes!\They especially like things soaked with human sweat and bodily fluids.\That means...\When I was Demon King,\I'd put them right near the entrance to dungeons.\They're very convenient!\They'd melt and eat the weapons and clothes response:	of the people who were so eager to attack me,
context: Yes!\They especially like things soaked with human sweat and bodily fluids.\That means...\When I was Demon King,\I'd put them right near the entrance to dungeons.\They're very convenient!\They'd melt and eat the weapons and clothes\of the people who were so eager to attack me, response:	and make them lose their will to fight and drive them off!
context: They especially like things soaked with human sweat and bodily fluids.\That means...\When I was Demon King,\I'd put them right near the entrance to dungeons.\They're very convenient!\They'd melt and eat the weapons and clothes\of the people who were so eager to attack me,\and make them lose their will to fight and drive them off! response:	I agree that's convenient, but...
context: That means...\When I was Demon King,\I'd put them right near the entrance to dungeons.\They're very convenient!\They'd melt and eat the weapons and clothes\of the people who were so eager to attack me,\and make them lose their will to fight and drive them off!\I agree that's convenient, but... response:	You don't need them anymore,
context: When I was Demon King,\I'd put them right near the entrance to dungeons.\They're very convenient!\They'd melt and eat the weapons and clothes\of the people who were so eager to attack me,\and make them lose their will to fight and drive them off!\I agree that's convenient, but...\You don't need them anymore, response:	so you promised to put them in the sealed box, right?
context: I'd put them right near the entrance to dungeons.\They're very convenient!\They'd melt and eat the weapons and clothes\of the people who were so eager to attack me,\and make them lose their will to fight and drive them off!\I agree that's convenient, but...\You don't need them anymore,\so you promised to put them in the sealed box, right? response:	Well, yeah...
context: They're very convenient!\They'd melt and eat the weapons and clothes\of the people who were so eager to attack me,\and make them lose their will to fight and drive them off!\I agree that's convenient, but...\You don't need them anymore,\so you promised to put them in the sealed box, right?\Well, yeah... response:	Lately that idiot Leasha and her friends have been getting one over on me a lot.
context: They'd melt and eat the weapons and clothes\of the people who were so eager to attack me,\and make them lose their will to fight and drive them off!\I agree that's convenient, but...\You don't need them anymore,\so you promised to put them in the sealed box, right?\Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot. response:	And so I thought I'd use them to get back at them a little...
context: of the people who were so eager to attack me,\and make them lose their will to fight and drive them off!\I agree that's convenient, but...\You don't need them anymore,\so you promised to put them in the sealed box, right?\Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little... response:	Pathetic.
context: and make them lose their will to fight and drive them off!\I agree that's convenient, but...\You don't need them anymore,\so you promised to put them in the sealed box, right?\Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little...\Pathetic. response:	You're really pathetic.
context: I agree that's convenient, but...\You don't need them anymore,\so you promised to put them in the sealed box, right?\Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little...\Pathetic.\You're really pathetic. response:	If they're after armor and clothes, is the knights barracks in danger?
context: You don't need them anymore,\so you promised to put them in the sealed box, right?\Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little...\Pathetic.\You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger? response:	The event hall!
context: so you promised to put them in the sealed box, right?\Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little...\Pathetic.\You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger?\The event hall! response:	It's not knights participating in the event, it's models!
context: Well, yeah...\Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little...\Pathetic.\You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger?\The event hall!\It's not knights participating in the event, it's models! response:	That's bad!
context: Lately that idiot Leasha and her friends have been getting one over on me a lot.\And so I thought I'd use them to get back at them a little...\Pathetic.\You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger?\The event hall!\It's not knights participating in the event, it's models!\That's bad! response:	Let's go!
context: And so I thought I'd use them to get back at them a little...\Pathetic.\You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger?\The event hall!\It's not knights participating in the event, it's models!\That's bad!\Let's go! response:	Yeah!
context: Pathetic.\You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger?\The event hall!\It's not knights participating in the event, it's models!\That's bad!\Let's go!\Yeah! response:	This is the Knight Squad!
context: You're really pathetic.\If they're after armor and clothes, is the knights barracks in danger?\The event hall!\It's not knights participating in the event, it's models!\That's bad!\Let's go!\Yeah!\This is the Knight Squad! response:	The demons appeared here,
context: If they're after armor and clothes, is the knights barracks in danger?\The event hall!\It's not knights participating in the event, it's models!\That's bad!\Let's go!\Yeah!\This is the Knight Squad!\The demons appeared here, response:	but the ones that showed up at the barracks we defeated!
context: The event hall!\It's not knights participating in the event, it's models!\That's bad!\Let's go!\Yeah!\This is the Knight Squad!\The demons appeared here,\but the ones that showed up at the barracks we defeated! response:	Nice, Leasha!
context: It's not knights participating in the event, it's models!\That's bad!\Let's go!\Yeah!\This is the Knight Squad!\The demons appeared here,\but the ones that showed up at the barracks we defeated!\Nice, Leasha! response:	We're heading for the hall!
context: That's bad!\Let's go!\Yeah!\This is the Knight Squad!\The demons appeared here,\but the ones that showed up at the barracks we defeated!\Nice, Leasha!\We're heading for the hall! response:	No!
context: Let's go!\Yeah!\This is the Knight Squad!\The demons appeared here,\but the ones that showed up at the barracks we defeated!\Nice, Leasha!\We're heading for the hall!\No! response:	Look at that!
context: Yeah!\This is the Knight Squad!\The demons appeared here,\but the ones that showed up at the barracks we defeated!\Nice, Leasha!\We're heading for the hall!\No!\Look at that! response:	They're multiplying!
context: This is the Knight Squad!\The demons appeared here,\but the ones that showed up at the barracks we defeated!\Nice, Leasha!\We're heading for the hall!\No!\Look at that!\They're multiplying! response:	And really fast!
context: The demons appeared here,\but the ones that showed up at the barracks we defeated!\Nice, Leasha!\We're heading for the hall!\No!\Look at that!\They're multiplying!\And really fast! response:	If they keep multiplying and head out into town...
context: but the ones that showed up at the barracks we defeated!\Nice, Leasha!\We're heading for the hall!\No!\Look at that!\They're multiplying!\And really fast!\If they keep multiplying and head out into town... response:	Oh no!
context: Nice, Leasha!\We're heading for the hall!\No!\Look at that!\They're multiplying!\And really fast!\If they keep multiplying and head out into town...\Oh no! response:	Let's stop them!
context: We're heading for the hall!\No!\Look at that!\They're multiplying!\And really fast!\If they keep multiplying and head out into town...\Oh no!\Let's stop them! response:	Get ready, everyone!
context: No!\Look at that!\They're multiplying!\And really fast!\If they keep multiplying and head out into town...\Oh no!\Let's stop them!\Get ready, everyone! response:	Yeah!
context: Look at that!\They're multiplying!\And really fast!\If they keep multiplying and head out into town...\Oh no!\Let's stop them!\Get ready, everyone!\Yeah! response:	We'll help, too!
context: They're multiplying!\And really fast!\If they keep multiplying and head out into town...\Oh no!\Let's stop them!\Get ready, everyone!\Yeah!\We'll help, too! response:	Yeah!
context: And really fast!\If they keep multiplying and head out into town...\Oh no!\Let's stop them!\Get ready, everyone!\Yeah!\We'll help, too!\Yeah! response:	Valerie.
context: If they keep multiplying and head out into town...\Oh no!\Let's stop them!\Get ready, everyone!\Yeah!\We'll help, too!\Yeah!\Valerie. response:	Can't you control them?
context: Oh no!\Let's stop them!\Get ready, everyone!\Yeah!\We'll help, too!\Yeah!\Valerie.\Can't you control them? response:	I can try,
context: Let's stop them!\Get ready, everyone!\Yeah!\We'll help, too!\Yeah!\Valerie.\Can't you control them?\I can try, response:	but it's not like they're that smart.
context: Get ready, everyone!\Yeah!\We'll help, too!\Yeah!\Valerie.\Can't you control them?\I can try,\but it's not like they're that smart. response:	Snap!
context: Yeah!\We'll help, too!\Yeah!\Valerie.\Can't you control them?\I can try,\but it's not like they're that smart.\Snap! response:	We can't cause problems for other people.
context: We'll help, too!\Yeah!\Valerie.\Can't you control them?\I can try,\but it's not like they're that smart.\Snap!\We can't cause problems for other people. response:	We need to resolve this quickly!
context: Yeah!\Valerie.\Can't you control them?\I can try,\but it's not like they're that smart.\Snap!\We can't cause problems for other people.\We need to resolve this quickly! response:	Right!
context: Valerie.\Can't you control them?\I can try,\but it's not like they're that smart.\Snap!\We can't cause problems for other people.\We need to resolve this quickly!\Right! response:	No way!
context: Can't you control them?\I can try,\but it's not like they're that smart.\Snap!\We can't cause problems for other people.\We need to resolve this quickly!\Right!\No way! response:	No!
context: I can try,\but it's not like they're that smart.\Snap!\We can't cause problems for other people.\We need to resolve this quickly!\Right!\No way!\No! response:	Oh no! He's tough!
context: but it's not like they're that smart.\Snap!\We can't cause problems for other people.\We need to resolve this quickly!\Right!\No way!\No!\Oh no! He's tough! response:	How awful!
context: Snap!\We can't cause problems for other people.\We need to resolve this quickly!\Right!\No way!\No!\Oh no! He's tough!\How awful! response:	Seven Tail!
context: We can't cause problems for other people.\We need to resolve this quickly!\Right!\No way!\No!\Oh no! He's tough!\How awful!\Seven Tail! response:	Oh no!
context: We need to resolve this quickly!\Right!\No way!\No!\Oh no! He's tough!\How awful!\Seven Tail!\Oh no! response:	It got me.
context: Right!\No way!\No!\Oh no! He's tough!\How awful!\Seven Tail!\Oh no!\It got me. response:	This is such a shock...
context: No way!\No!\Oh no! He's tough!\How awful!\Seven Tail!\Oh no!\It got me.\This is such a shock... response:	The Genoise were defeated?
context: No!\Oh no! He's tough!\How awful!\Seven Tail!\Oh no!\It got me.\This is such a shock...\The Genoise were defeated? response:	I can't hear Cou-sama's gunfire anymore, either.
context: Oh no! He's tough!\How awful!\Seven Tail!\Oh no!\It got me.\This is such a shock...\The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either. response:	The speed at which they multiply is fast.
context: How awful!\Seven Tail!\Oh no!\It got me.\This is such a shock...\The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast. response:	At this rate...
context: Seven Tail!\Oh no!\It got me.\This is such a shock...\The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast.\At this rate... response:	This is really bad.
context: Oh no!\It got me.\This is such a shock...\The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast.\At this rate...\This is really bad. response:	Valerie! Do something!
context: It got me.\This is such a shock...\The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast.\At this rate...\This is really bad.\Valerie! Do something! response:	That's...
context: This is such a shock...\The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast.\At this rate...\This is really bad.\Valerie! Do something!\That's... response:	That's right.
context: The Genoise were defeated?\I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast.\At this rate...\This is really bad.\Valerie! Do something!\That's...\That's right. response:	The power of the Spirit, the Demon,
context: I can't hear Cou-sama's gunfire anymore, either.\The speed at which they multiply is fast.\At this rate...\This is really bad.\Valerie! Do something!\That's...\That's right.\The power of the Spirit, the Demon, response:	and the Hero...
context: The speed at which they multiply is fast.\At this rate...\This is really bad.\Valerie! Do something!\That's...\That's right.\The power of the Spirit, the Demon,\and the Hero... response:	If we combine the three of them,
context: At this rate...\This is really bad.\Valerie! Do something!\That's...\That's right.\The power of the Spirit, the Demon,\and the Hero...\If we combine the three of them, response:	it may just work!
context: This is really bad.\Valerie! Do something!\That's...\That's right.\The power of the Spirit, the Demon,\and the Hero...\If we combine the three of them,\it may just work! response:	Rebecca! Nanami!
context: Valerie! Do something!\That's...\That's right.\The power of the Spirit, the Demon,\and the Hero...\If we combine the three of them,\it may just work!\Rebecca! Nanami! response:	I want your help.
context: That's...\That's right.\The power of the Spirit, the Demon,\and the Hero...\If we combine the three of them,\it may just work!\Rebecca! Nanami!\I want your help. response:	Demon Crystal...
context: That's right.\The power of the Spirit, the Demon,\and the Hero...\If we combine the three of them,\it may just work!\Rebecca! Nanami!\I want your help.\Demon Crystal... response:	Spirit Crystal!
context: The power of the Spirit, the Demon,\and the Hero...\If we combine the three of them,\it may just work!\Rebecca! Nanami!\I want your help.\Demon Crystal...\Spirit Crystal! response:	Activate!
context: and the Hero...\If we combine the three of them,\it may just work!\Rebecca! Nanami!\I want your help.\Demon Crystal...\Spirit Crystal!\Activate! response:	Demon King Crest!
context: If we combine the three of them,\it may just work!\Rebecca! Nanami!\I want your help.\Demon Crystal...\Spirit Crystal!\Activate!\Demon King Crest! response:	Spirit Barrier!
context: it may just work!\Rebecca! Nanami!\I want your help.\Demon Crystal...\Spirit Crystal!\Activate!\Demon King Crest!\Spirit Barrier! response:	Hero Crystal!
context: Rebecca! Nanami!\I want your help.\Demon Crystal...\Spirit Crystal!\Activate!\Demon King Crest!\Spirit Barrier!\Hero Crystal! response:	Shine, purifying light!
context: I want your help.\Demon Crystal...\Spirit Crystal!\Activate!\Demon King Crest!\Spirit Barrier!\Hero Crystal!\Shine, purifying light! response:	No, wait... seriously?
context: Demon Crystal...\Spirit Crystal!\Activate!\Demon King Crest!\Spirit Barrier!\Hero Crystal!\Shine, purifying light!\No, wait... seriously? response:	Even if those were low-rank demons, they turned them into spirits in an instant.
context: Spirit Crystal!\Activate!\Demon King Crest!\Spirit Barrier!\Hero Crystal!\Shine, purifying light!\No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant. response:	I haven't seen anybody pull off a stunt like that since my sister did.
context: Activate!\Demon King Crest!\Spirit Barrier!\Hero Crystal!\Shine, purifying light!\No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did. response:	The show was given extra time
context: Demon King Crest!\Spirit Barrier!\Hero Crystal!\Shine, purifying light!\No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time response:	and was back on.
context: Spirit Barrier!\Hero Crystal!\Shine, purifying light!\No, wait... seriously?\Even if those were low-rank demons, they turned them into spirits in an instant.\I haven't seen anybody pull off a stunt like that since my sister did.\The show was given extra time\and was back on. response:	Nobody was hurt and the building wasn't as badly damaged as we thought.
