context: eye catch response:	Helvetica Standard
context: Ah, it ran away.\Wait up!\Have a safe trip.\Perhaps that cat is also having a hard time?\Ah, I'm gonna crash!\Mio-chan, selamat pagi!\TL note: Indonesian for good morning.\Ah Yukko, good morning! response:	What should I do, I forgot to bring my student ID...
context: Wait up!\Have a safe trip.\Perhaps that cat is also having a hard time?\Ah, I'm gonna crash!\Mio-chan, selamat pagi!\TL note: Indonesian for good morning.\Ah Yukko, good morning!\What should I do, I forgot to bring my student ID... response:	Huh?
context: Have a safe trip.\Perhaps that cat is also having a hard time?\Ah, I'm gonna crash!\Mio-chan, selamat pagi!\TL note: Indonesian for good morning.\Ah Yukko, good morning!\What should I do, I forgot to bring my student ID...\Huh? response:	She ignored my selamat pagi?
context: Perhaps that cat is also having a hard time?\Ah, I'm gonna crash!\Mio-chan, selamat pagi!\TL note: Indonesian for good morning.\Ah Yukko, good morning!\What should I do, I forgot to bring my student ID...\Huh?\She ignored my selamat pagi? response:	I won't be called upon by the seniors, right?
context: Ah, I'm gonna crash!\Mio-chan, selamat pagi!\TL note: Indonesian for good morning.\Ah Yukko, good morning!\What should I do, I forgot to bring my student ID...\Huh?\She ignored my selamat pagi?\I won't be called upon by the seniors, right? response:	If that happens,
context: Mio-chan, selamat pagi!\TL note: Indonesian for good morning.\Ah Yukko, good morning!\What should I do, I forgot to bring my student ID...\Huh?\She ignored my selamat pagi?\I won't be called upon by the seniors, right?\If that happens, response:	saying I'm a third year student! should be enough, don't you think?
context: TL note: Indonesian for good morning.\Ah Yukko, good morning!\What should I do, I forgot to bring my student ID...\Huh?\She ignored my selamat pagi?\I won't be called upon by the seniors, right?\If that happens,\saying I'm a third year student! should be enough, don't you think? response:	That won't solve anything.
context: Ah Yukko, good morning!\What should I do, I forgot to bring my student ID...\Huh?\She ignored my selamat pagi?\I won't be called upon by the seniors, right?\If that happens,\saying I'm a third year student! should be enough, don't you think?\That won't solve anything. response:	What?
context: What should I do, I forgot to bring my student ID...\Huh?\She ignored my selamat pagi?\I won't be called upon by the seniors, right?\If that happens,\saying I'm a third year student! should be enough, don't you think?\That won't solve anything.\What? response:	Thunder?
context: Huh?\She ignored my selamat pagi?\I won't be called upon by the seniors, right?\If that happens,\saying I'm a third year student! should be enough, don't you think?\That won't solve anything.\What?\Thunder? response:	Even though the weather's clear?
context: She ignored my selamat pagi?\I won't be called upon by the seniors, right?\If that happens,\saying I'm a third year student! should be enough, don't you think?\That won't solve anything.\What?\Thunder?\Even though the weather's clear? response:	It might suddenly start pouring down, you know!
context: I won't be called upon by the seniors, right?\If that happens,\saying I'm a third year student! should be enough, don't you think?\That won't solve anything.\What?\Thunder?\Even though the weather's clear?\It might suddenly start pouring down, you know! response:	A shower or a hailstorm...
context: If that happens,\saying I'm a third year student! should be enough, don't you think?\That won't solve anything.\What?\Thunder?\Even though the weather's clear?\It might suddenly start pouring down, you know!\A shower or a hailstorm... response:	A kokeshi came down.
context: saying I'm a third year student! should be enough, don't you think?\That won't solve anything.\What?\Thunder?\Even though the weather's clear?\It might suddenly start pouring down, you know!\A shower or a hailstorm...\A kokeshi came down. response:	A-Are you all right, Yukko?
context: That won't solve anything.\What?\Thunder?\Even though the weather's clear?\It might suddenly start pouring down, you know!\A shower or a hailstorm...\A kokeshi came down.\A-Are you all right, Yukko? response:	Who would've thought that a kokeshi would come down?
context: What?\Thunder?\Even though the weather's clear?\It might suddenly start pouring down, you know!\A shower or a hailstorm...\A kokeshi came down.\A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down? response:	What a surprise!
context: Thunder?\Even though the weather's clear?\It might suddenly start pouring down, you know!\A shower or a hailstorm...\A kokeshi came down.\A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down?\What a surprise! response:	I wonder where it fell from...
context: Even though the weather's clear?\It might suddenly start pouring down, you know!\A shower or a hailstorm...\A kokeshi came down.\A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down?\What a surprise!\I wonder where it fell from... response:	I don't know...
context: It might suddenly start pouring down, you know!\A shower or a hailstorm...\A kokeshi came down.\A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down?\What a surprise!\I wonder where it fell from...\I don't know... response:	But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!
context: A shower or a hailstorm...\A kokeshi came down.\A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down?\What a surprise!\I wonder where it fell from...\I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime! response:	Those people are rare, you know.
context: A kokeshi came down.\A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down?\What a surprise!\I wonder where it fell from...\I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know. response:	I don't think they exist.
context: A-Are you all right, Yukko?\Who would've thought that a kokeshi would come down?\What a surprise!\I wonder where it fell from...\I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know.\I don't think they exist. response:	It might actually mean that luck is with me!
context: Who would've thought that a kokeshi would come down?\What a surprise!\I wonder where it fell from...\I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know.\I don't think they exist.\It might actually mean that luck is with me! response:	Luck is not with me...
context: What a surprise!\I wonder where it fell from...\I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know.\I don't think they exist.\It might actually mean that luck is with me!\Luck is not with me... response:	Yukko, are you okay?
context: I wonder where it fell from...\I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know.\I don't think they exist.\It might actually mean that luck is with me!\Luck is not with me...\Yukko, are you okay? response:	An Akabeko of all things...
context: I don't know...\But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know.\I don't think they exist.\It might actually mean that luck is with me!\Luck is not with me...\Yukko, are you okay?\An Akabeko of all things... response:	Akabeko...
context: But it's extremely unlikely that you'd get hit by a kokeshi in your lifetime!\Those people are rare, you know.\I don't think they exist.\It might actually mean that luck is with me!\Luck is not with me...\Yukko, are you okay?\An Akabeko of all things...\Akabeko... response:	I'm wrong, it's not that luck is not with me.
context: Those people are rare, you know.\I don't think they exist.\It might actually mean that luck is with me!\Luck is not with me...\Yukko, are you okay?\An Akabeko of all things...\Akabeko...\I'm wrong, it's not that luck is not with me. response:	We should just think of it this way, Mio-chan...
context: I don't think they exist.\It might actually mean that luck is with me!\Luck is not with me...\Yukko, are you okay?\An Akabeko of all things...\Akabeko...\I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan... response:	I should be happy that I wasn't hit by raw food.
context: It might actually mean that luck is with me!\Luck is not with me...\Yukko, are you okay?\An Akabeko of all things...\Akabeko...\I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food. response:	Thinking like that, the small mercy amongst the misfortune -
context: Luck is not with me...\Yukko, are you okay?\An Akabeko of all things...\Akabeko...\I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune - response:	It's a salmon!
context: Yukko, are you okay?\An Akabeko of all things...\Akabeko...\I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune -\It's a salmon! response:	Morning!
context: An Akabeko of all things...\Akabeko...\I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune -\It's a salmon!\Morning! response:	Good morning.
context: Akabeko...\I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune -\It's a salmon!\Morning!\Good morning. response:	Ah, Mai-chan, good morning.
context: I'm wrong, it's not that luck is not with me.\We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune -\It's a salmon!\Morning!\Good morning.\Ah, Mai-chan, good morning. response:	Selamat pagi!
context: We should just think of it this way, Mio-chan...\I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune -\It's a salmon!\Morning!\Good morning.\Ah, Mai-chan, good morning.\Selamat pagi! response:	Morning.
context: I should be happy that I wasn't hit by raw food.\Thinking like that, the small mercy amongst the misfortune -\It's a salmon!\Morning!\Good morning.\Ah, Mai-chan, good morning.\Selamat pagi!\Morning. response:	What are you reading, Mai-chan?
context: Thinking like that, the small mercy amongst the misfortune -\It's a salmon!\Morning!\Good morning.\Ah, Mai-chan, good morning.\Selamat pagi!\Morning.\What are you reading, Mai-chan? response:	A real estate information magazine.
context: It's a salmon!\Morning!\Good morning.\Ah, Mai-chan, good morning.\Selamat pagi!\Morning.\What are you reading, Mai-chan?\A real estate information magazine. response:	Eh?
context: Morning!\Good morning.\Ah, Mai-chan, good morning.\Selamat pagi!\Morning.\What are you reading, Mai-chan?\A real estate information magazine.\Eh? response:	You're moving, Mai-chan?
context: Good morning.\Ah, Mai-chan, good morning.\Selamat pagi!\Morning.\What are you reading, Mai-chan?\A real estate information magazine.\Eh?\You're moving, Mai-chan? response:	Undecided.
context: Ah, Mai-chan, good morning.\Selamat pagi!\Morning.\What are you reading, Mai-chan?\A real estate information magazine.\Eh?\You're moving, Mai-chan?\Undecided. response:	Do you even say selamat pagi?
context: Selamat pagi!\Morning.\What are you reading, Mai-chan?\A real estate information magazine.\Eh?\You're moving, Mai-chan?\Undecided.\Do you even say selamat pagi? response:	It can't be helped, I guess I'll let the phrase rest for today.
context: Morning.\What are you reading, Mai-chan?\A real estate information magazine.\Eh?\You're moving, Mai-chan?\Undecided.\Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today. response:	Yukko.
context: What are you reading, Mai-chan?\A real estate information magazine.\Eh?\You're moving, Mai-chan?\Undecided.\Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today.\Yukko. response:	Selamat malam.
context: A real estate information magazine.\Eh?\You're moving, Mai-chan?\Undecided.\Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today.\Yukko.\Selamat malam. response:	TL note: Indonesian for good evening.
context: Eh?\You're moving, Mai-chan?\Undecided.\Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today.\Yukko.\Selamat malam.\TL note: Indonesian for good evening. response:	Mai-chan, you should say selamat pagi there!
context: You're moving, Mai-chan?\Undecided.\Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today.\Yukko.\Selamat malam.\TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there! response:	What language is that?
context: Undecided.\Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today.\Yukko.\Selamat malam.\TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there!\What language is that? response:	H-Homeroom will begin.
context: Do you even say selamat pagi?\It can't be helped, I guess I'll let the phrase rest for today.\Yukko.\Selamat malam.\TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there!\What language is that?\H-Homeroom will begin. response:	Um, when I came to school this morning, this was in the shoe rack...
context: It can't be helped, I guess I'll let the phrase rest for today.\Yukko.\Selamat malam.\TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there!\What language is that?\H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack... response:	Did anyone put this in there?
context: Yukko.\Selamat malam.\TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there!\What language is that?\H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there? response:	U-Um... If there is anyone who knows about it, please tell me, okay?
context: Selamat malam.\TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there!\What language is that?\H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay? response:	Mio-chan, I wonder who did that?
context: TL note: Indonesian for good evening.\Mai-chan, you should say selamat pagi there!\What language is that?\H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that? response:	Maybe it's a prank?
context: Mai-chan, you should say selamat pagi there!\What language is that?\H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that?\Maybe it's a prank? response:	It might be something unexpected like a student who likes the teacher...
context: What language is that?\H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that?\Maybe it's a prank?\It might be something unexpected like a student who likes the teacher... response:	I don't think they would leave a Maitreya statue though.
context: H-Homeroom will begin.\Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that?\Maybe it's a prank?\It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though. response:	But, well, it's not like I don't understand people who have unachievable aspirations.
context: Um, when I came to school this morning, this was in the shoe rack...\Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that?\Maybe it's a prank?\It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations. response:	Yeah, it's that, right?
context: Did anyone put this in there?\U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that?\Maybe it's a prank?\It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right? response:	Like the way you feel about Sasahara-senpai.
context: U-Um... If there is anyone who knows about it, please tell me, okay?\Mio-chan, I wonder who did that?\Maybe it's a prank?\It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right?\Like the way you feel about Sasahara-senpai. response:	Y-You idiot!
context: Mio-chan, I wonder who did that?\Maybe it's a prank?\It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right?\Like the way you feel about Sasahara-senpai.\Y-You idiot! response:	Where am I?
context: Maybe it's a prank?\It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right?\Like the way you feel about Sasahara-senpai.\Y-You idiot!\Where am I? response:	I have to get home!
context: It might be something unexpected like a student who likes the teacher...\I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right?\Like the way you feel about Sasahara-senpai.\Y-You idiot!\Where am I?\I have to get home! response:	I'm sure the professor is worried,
context: I don't think they would leave a Maitreya statue though.\But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right?\Like the way you feel about Sasahara-senpai.\Y-You idiot!\Where am I?\I have to get home!\I'm sure the professor is worried, response:	and leaving her with the charcoal stove is dangerous.
context: But, well, it's not like I don't understand people who have unachievable aspirations.\Yeah, it's that, right?\Like the way you feel about Sasahara-senpai.\Y-You idiot!\Where am I?\I have to get home!\I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous. response:	Eh?
context: Yeah, it's that, right?\Like the way you feel about Sasahara-senpai.\Y-You idiot!\Where am I?\I have to get home!\I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous.\Eh? response:	I can't get off!
context: Like the way you feel about Sasahara-senpai.\Y-You idiot!\Where am I?\I have to get home!\I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous.\Eh?\I can't get off! response:	Eh?
context: Y-You idiot!\Where am I?\I have to get home!\I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous.\Eh?\I can't get off!\Eh? response:	My chopsticks are gone!
context: Where am I?\I have to get home!\I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous.\Eh?\I can't get off!\Eh?\My chopsticks are gone! response:	One of my shoes is gone as well!
context: I have to get home!\I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous.\Eh?\I can't get off!\Eh?\My chopsticks are gone!\One of my shoes is gone as well! response:	What should I do?!
context: I'm sure the professor is worried,\and leaving her with the charcoal stove is dangerous.\Eh?\I can't get off!\Eh?\My chopsticks are gone!\One of my shoes is gone as well!\What should I do?! response:	My hand's gone!
context: and leaving her with the charcoal stove is dangerous.\Eh?\I can't get off!\Eh?\My chopsticks are gone!\One of my shoes is gone as well!\What should I do?!\My hand's gone! response:	Now it'll be exposed that I am a robot!
context: Eh?\I can't get off!\Eh?\My chopsticks are gone!\One of my shoes is gone as well!\What should I do?!\My hand's gone!\Now it'll be exposed that I am a robot! response:	Here it goes.
context: I can't get off!\Eh?\My chopsticks are gone!\One of my shoes is gone as well!\What should I do?!\My hand's gone!\Now it'll be exposed that I am a robot!\Here it goes. response:	Thank you for the food.
context: Eh?\My chopsticks are gone!\One of my shoes is gone as well!\What should I do?!\My hand's gone!\Now it'll be exposed that I am a robot!\Here it goes.\Thank you for the food. response:	If you don't finish up quick, the bell for fifth period will ring.
context: My chopsticks are gone!\One of my shoes is gone as well!\What should I do?!\My hand's gone!\Now it'll be exposed that I am a robot!\Here it goes.\Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring. response:	Huh?
context: One of my shoes is gone as well!\What should I do?!\My hand's gone!\Now it'll be exposed that I am a robot!\Here it goes.\Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring.\Huh? response:	You didn't like sausages?
context: What should I do?!\My hand's gone!\Now it'll be exposed that I am a robot!\Here it goes.\Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring.\Huh?\You didn't like sausages? response:	Saving the most delicious food for last in a lunch box is fundamental.
context: My hand's gone!\Now it'll be exposed that I am a robot!\Here it goes.\Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring.\Huh?\You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental. response:	Then, I can finish by saying: It's delicious.
context: Now it'll be exposed that I am a robot!\Here it goes.\Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring.\Huh?\You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious. response:	Well then, here goes... I'm going to eat it!
context: Here it goes.\Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring.\Huh?\You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it! response:	It came out!
context: Thank you for the food.\If you don't finish up quick, the bell for fifth period will ring.\Huh?\You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it!\It came out! response:	Not yet!
context: If you don't finish up quick, the bell for fifth period will ring.\Huh?\You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it!\It came out!\Not yet! response:	It's over!
context: Huh?\You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it!\It came out!\Not yet!\It's over! response:	Not just yet!
context: You didn't like sausages?\Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it!\It came out!\Not yet!\It's over!\Not just yet! response:	One...
context: Saving the most delicious food for last in a lunch box is fundamental.\Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it!\It came out!\Not yet!\It's over!\Not just yet!\One... response:	Safe!
context: Then, I can finish by saying: It's delicious.\Well then, here goes... I'm going to eat it!\It came out!\Not yet!\It's over!\Not just yet!\One...\Safe! response:	You're out!
context: Well then, here goes... I'm going to eat it!\It came out!\Not yet!\It's over!\Not just yet!\One...\Safe!\You're out! response:	No way, Mio-chan!
context: It came out!\Not yet!\It's over!\Not just yet!\One...\Safe!\You're out!\No way, Mio-chan! response:	It's the three-second rule, the three-second rule.
context: Not yet!\It's over!\Not just yet!\One...\Safe!\You're out!\No way, Mio-chan!\It's the three-second rule, the three-second rule. response:	No, you were already out way before that!
context: It's over!\Not just yet!\One...\Safe!\You're out!\No way, Mio-chan!\It's the three-second rule, the three-second rule.\No, you were already out way before that! response:	It's delicious!
context: Not just yet!\One...\Safe!\You're out!\No way, Mio-chan!\It's the three-second rule, the three-second rule.\No, you were already out way before that!\It's delicious! response:	Yukko really is an idiot.
context: One...\Safe!\You're out!\No way, Mio-chan!\It's the three-second rule, the three-second rule.\No, you were already out way before that!\It's delicious!\Yukko really is an idiot. response:	First comes rock, next comes paper, rockscispaper doesn't count,
context: Safe!\You're out!\No way, Mio-chan!\It's the three-second rule, the three-second rule.\No, you were already out way before that!\It's delicious!\Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count, response:	rock paper scissors!
context: You're out!\No way, Mio-chan!\It's the three-second rule, the three-second rule.\No, you were already out way before that!\It's delicious!\Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors! response:	Yes!
context: No way, Mio-chan!\It's the three-second rule, the three-second rule.\No, you were already out way before that!\It's delicious!\Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\Yes! response:	Good morning, everyone.
context: It's the three-second rule, the three-second rule.\No, you were already out way before that!\It's delicious!\Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\Yes!\Good morning, everyone. response:	Spring has come and a new year has started,
context: No, you were already out way before that!\It's delicious!\Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\Yes!\Good morning, everyone.\Spring has come and a new year has started, response:	but the cold days are still continuing.
context: It's delicious!\Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\Yes!\Good morning, everyone.\Spring has come and a new year has started,\but the cold days are still continuing. response:	In my case, I have it twice as cold as everyone else.
context: Yukko really is an idiot.\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\Yes!\Good morning, everyone.\Spring has come and a new year has started,\but the cold days are still continuing.\In my case, I have it twice as cold as everyone else. response:	Anyway, make sure you don't catch a cold...
context: First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\Yes!\Good morning, everyone.\Spring has come and a new year has started,\but the cold days are still continuing.\In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold... response:	This is a promise with your principal, okay?
context: rock paper scissors!\Yes!\Good morning, everyone.\Spring has come and a new year has started,\but the cold days are still continuing.\In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay? response:	If you don't listen, then I'll be...
context: Yes!\Good morning, everyone.\Spring has come and a new year has started,\but the cold days are still continuing.\In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay?\If you don't listen, then I'll be... response:	Mio-chan, Mio-chan.
context: Good morning, everyone.\Spring has come and a new year has started,\but the cold days are still continuing.\In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay?\If you don't listen, then I'll be...\Mio-chan, Mio-chan. response:	What?
context: Spring has come and a new year has started,\but the cold days are still continuing.\In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay?\If you don't listen, then I'll be...\Mio-chan, Mio-chan.\What? response:	He'll get mad if you talk.
context: but the cold days are still continuing.\In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay?\If you don't listen, then I'll be...\Mio-chan, Mio-chan.\What?\He'll get mad if you talk. response:	Say, doesn't the principal notice that his jokes are way too old?
context: In my case, I have it twice as cold as everyone else.\Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay?\If you don't listen, then I'll be...\Mio-chan, Mio-chan.\What?\He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old? response:	He must know best of all that his jokes aren't received very well.
context: Anyway, make sure you don't catch a cold...\This is a promise with your principal, okay?\If you don't listen, then I'll be...\Mio-chan, Mio-chan.\What?\He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well. response:	I wonder about that...
context: This is a promise with your principal, okay?\If you don't listen, then I'll be...\Mio-chan, Mio-chan.\What?\He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well.\I wonder about that... response:	Could it be that he knows his jokes aren't received well,
context: If you don't listen, then I'll be...\Mio-chan, Mio-chan.\What?\He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well.\I wonder about that...\Could it be that he knows his jokes aren't received well, response:	and is putting on a show of even more effort to the young people nowadays?!
context: Mio-chan, Mio-chan.\What?\He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well.\I wonder about that...\Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?! response:	If that's true, then this principal...
context: What?\He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well.\I wonder about that...\Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal... response:	Mai-chan?!
context: He'll get mad if you talk.\Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well.\I wonder about that...\Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal...\Mai-chan?! response:	Mai-chan is...?!
context: Say, doesn't the principal notice that his jokes are way too old?\He must know best of all that his jokes aren't received very well.\I wonder about that...\Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal...\Mai-chan?!\Mai-chan is...?! response:	Could it be because of that old geezer gag?
context: He must know best of all that his jokes aren't received very well.\I wonder about that...\Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal...\Mai-chan?!\Mai-chan is...?!\Could it be because of that old geezer gag? response:	Above that, this is the first time I've ever seen her laughing so hard!
context: I wonder about that...\Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal...\Mai-chan?!\Mai-chan is...?!\Could it be because of that old geezer gag?\Above that, this is the first time I've ever seen her laughing so hard! response:	All right!
context: Could it be that he knows his jokes aren't received well,\and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal...\Mai-chan?!\Mai-chan is...?!\Could it be because of that old geezer gag?\Above that, this is the first time I've ever seen her laughing so hard!\All right! response:	This should do it!
context: and is putting on a show of even more effort to the young people nowadays?!\If that's true, then this principal...\Mai-chan?!\Mai-chan is...?!\Could it be because of that old geezer gag?\Above that, this is the first time I've ever seen her laughing so hard!\All right!\This should do it! response:	Mai-chan!
context: If that's true, then this principal...\Mai-chan?!\Mai-chan is...?!\Could it be because of that old geezer gag?\Above that, this is the first time I've ever seen her laughing so hard!\All right!\This should do it!\Mai-chan! response:	Why is it?
context: Mai-chan?!\Mai-chan is...?!\Could it be because of that old geezer gag?\Above that, this is the first time I've ever seen her laughing so hard!\All right!\This should do it!\Mai-chan!\Why is it? response:	If I said it here now, I feel like I'll lose everything.
context: Mai-chan is...?!\Could it be because of that old geezer gag?\Above that, this is the first time I've ever seen her laughing so hard!\All right!\This should do it!\Mai-chan!\Why is it?\If I said it here now, I feel like I'll lose everything. response:	Yukko.
