context: BETA release of Ep 5 response:	It's done!
context: She's not that cute, isn't she?\This is trivial, isn't it?!\Cheer up, Chiaki-Sama!!\Would you like to have Nodame's Mabo boiled vegetable noodle? AAAng!!\But it's something that Jiijii will typically do...\So he came here just in order to see his ex-girlfriend, right?\But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so? response:	What a surprise... That Rijichou and Stresemann-san used to be...
context: This is trivial, isn't it?!\Cheer up, Chiaki-Sama!!\Would you like to have Nodame's Mabo boiled vegetable noodle? AAAng!!\But it's something that Jiijii will typically do...\So he came here just in order to see his ex-girlfriend, right?\But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be... response:	Dad, you know Rijichou?
context: Cheer up, Chiaki-Sama!!\Would you like to have Nodame's Mabo boiled vegetable noodle? AAAng!!\But it's something that Jiijii will typically do...\So he came here just in order to see his ex-girlfriend, right?\But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou? response:	Of course, because I have the shop here since many many years ago
context: Would you like to have Nodame's Mabo boiled vegetable noodle? AAAng!!\But it's something that Jiijii will typically do...\So he came here just in order to see his ex-girlfriend, right?\But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago response:	Originally she's an excellent pianist, and moreover,
context: But it's something that Jiijii will typically do...\So he came here just in order to see his ex-girlfriend, right?\But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover, response:	that beautiful face!
context: So he came here just in order to see his ex-girlfriend, right?\But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover,\that beautiful face! response:	At that time, she was called the Jewel of The Orient!
context: But I wonder if Milch had been able to really meet Rijichou...\Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover,\that beautiful face!\At that time, she was called the Jewel of The Orient! response:	Where's Rijichou now?
context: Talking about this, recently we have not seen Rijichou for quite some time, don't you think so?\What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover,\that beautiful face!\At that time, she was called the Jewel of The Orient!\Where's Rijichou now? response:	I heard from other teachers that she's now on a long-term official trip
context: What a surprise... That Rijichou and Stresemann-san used to be...\Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover,\that beautiful face!\At that time, she was called the Jewel of The Orient!\Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip response:	So they missed each other? I feel sorry for Milch
context: Dad, you know Rijichou?\Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover,\that beautiful face!\At that time, she was called the Jewel of The Orient!\Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch response:	Love is very often such a thing
context: Of course, because I have the shop here since many many years ago\Originally she's an excellent pianist, and moreover,\that beautiful face!\At that time, she was called the Jewel of The Orient!\Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch\Love is very often such a thing response:	Well, so what's the big deal! For such a dirty old mentor to go away...
context: Originally she's an excellent pianist, and moreover,\that beautiful face!\At that time, she was called the Jewel of The Orient!\Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch\Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away... response:	Sensei!!
context: that beautiful face!\At that time, she was called the Jewel of The Orient!\Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch\Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!! response:	Milch!
context: At that time, she was called the Jewel of The Orient!\Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch\Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!!\Milch! response:	Nodame-chan!!
context: Where's Rijichou now?\I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch\Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!!\Milch!\Nodame-chan!! response:	So you didn't go back to Germany?
context: I heard from other teachers that she's now on a long-term official trip\So they missed each other? I feel sorry for Milch\Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!!\Milch!\Nodame-chan!!\So you didn't go back to Germany? response:	I jumped off from...
context: So they missed each other? I feel sorry for Milch\Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!!\Milch!\Nodame-chan!!\So you didn't go back to Germany?\I jumped off from... response:	the plane...
context: Love is very often such a thing\Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!!\Milch!\Nodame-chan!!\So you didn't go back to Germany?\I jumped off from...\the plane... response:	Aren't you hurt somewhere??
context: Well, so what's the big deal! For such a dirty old mentor to go away...\Sensei!!\Milch!\Nodame-chan!!\So you didn't go back to Germany?\I jumped off from...\the plane...\Aren't you hurt somewhere?? response:	Of course it's a lie!!
context: Sensei!!\Milch!\Nodame-chan!!\So you didn't go back to Germany?\I jumped off from...\the plane...\Aren't you hurt somewhere??\Of course it's a lie!! response:	Why...
context: Milch!\Nodame-chan!!\So you didn't go back to Germany?\I jumped off from...\the plane...\Aren't you hurt somewhere??\Of course it's a lie!!\Why... response:	does he want to see Rijichou that much?
context: Nodame-chan!!\So you didn't go back to Germany?\I jumped off from...\the plane...\Aren't you hurt somewhere??\Of course it's a lie!!\Why...\does he want to see Rijichou that much? response:	Sure I got back here!
context: So you didn't go back to Germany?\I jumped off from...\the plane...\Aren't you hurt somewhere??\Of course it's a lie!!\Why...\does he want to see Rijichou that much?\Sure I got back here! response:	Chiaki!
context: I jumped off from...\the plane...\Aren't you hurt somewhere??\Of course it's a lie!!\Why...\does he want to see Rijichou that much?\Sure I got back here!\Chiaki! response:	This is your new assignment!
context: the plane...\Aren't you hurt somewhere??\Of course it's a lie!!\Why...\does he want to see Rijichou that much?\Sure I got back here!\Chiaki!\This is your new assignment! response:	Please practice this piano piece
context: Aren't you hurt somewhere??\Of course it's a lie!!\Why...\does he want to see Rijichou that much?\Sure I got back here!\Chiaki!\This is your new assignment!\Please practice this piano piece response:	alone by yourself
context: Of course it's a lie!!\Why...\does he want to see Rijichou that much?\Sure I got back here!\Chiaki!\This is your new assignment!\Please practice this piano piece\alone by yourself response:	Piano??
context: Why...\does he want to see Rijichou that much?\Sure I got back here!\Chiaki!\This is your new assignment!\Please practice this piano piece\alone by yourself\Piano?? response:	Rachmaninoff Piano Concerto No 2
context: does he want to see Rijichou that much?\Sure I got back here!\Chiaki!\This is your new assignment!\Please practice this piano piece\alone by yourself\Piano??\Rachmaninoff Piano Concerto No 2 response:	This piece is for me to...
context: Sure I got back here!\Chiaki!\This is your new assignment!\Please practice this piano piece\alone by yourself\Piano??\Rachmaninoff Piano Concerto No 2\This piece is for me to... response:	Oh, no...why do I have to practice such a piano concerto piece now?
context: Chiaki!\This is your new assignment!\Please practice this piano piece\alone by yourself\Piano??\Rachmaninoff Piano Concerto No 2\This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now? response:	You are...
context: This is your new assignment!\Please practice this piano piece\alone by yourself\Piano??\Rachmaninoff Piano Concerto No 2\This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now?\You are... response:	a student from the Piano Division.
context: Please practice this piano piece\alone by yourself\Piano??\Rachmaninoff Piano Concerto No 2\This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now?\You are...\a student from the Piano Division. response:	What's wrong with playing the piano??
context: alone by yourself\Piano??\Rachmaninoff Piano Concerto No 2\This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now?\You are...\a student from the Piano Division.\What's wrong with playing the piano?? response:	At the coming School Festival...
context: Piano??\Rachmaninoff Piano Concerto No 2\This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now?\You are...\a student from the Piano Division.\What's wrong with playing the piano??\At the coming School Festival... response:	A-Oke?
context: Rachmaninoff Piano Concerto No 2\This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now?\You are...\a student from the Piano Division.\What's wrong with playing the piano??\At the coming School Festival...\A-Oke? response:	But for me I have S-Oke...
context: This piece is for me to...\Oh, no...why do I have to practice such a piano concerto piece now?\You are...\a student from the Piano Division.\What's wrong with playing the piano??\At the coming School Festival...\A-Oke?\But for me I have S-Oke... response:	Do not each time oppose
context: Oh, no...why do I have to practice such a piano concerto piece now?\You are...\a student from the Piano Division.\What's wrong with playing the piano??\At the coming School Festival...\A-Oke?\But for me I have S-Oke...\Do not each time oppose response:	what your MASTER told you! NAA!
context: You are...\a student from the Piano Division.\What's wrong with playing the piano??\At the coming School Festival...\A-Oke?\But for me I have S-Oke...\Do not each time oppose\what your MASTER told you! NAA! response:	As to your being S-Oke's Conductor...
context: a student from the Piano Division.\What's wrong with playing the piano??\At the coming School Festival...\A-Oke?\But for me I have S-Oke...\Do not each time oppose\what your MASTER told you! NAA!\As to your being S-Oke's Conductor... response:	Drop it off!!
context: What's wrong with playing the piano??\At the coming School Festival...\A-Oke?\But for me I have S-Oke...\Do not each time oppose\what your MASTER told you! NAA!\As to your being S-Oke's Conductor...\Drop it off!! response:	Chiaki in A-Oke?
context: At the coming School Festival...\A-Oke?\But for me I have S-Oke...\Do not each time oppose\what your MASTER told you! NAA!\As to your being S-Oke's Conductor...\Drop it off!!\Chiaki in A-Oke? response:	Dammit! That Jiijii!!
context: A-Oke?\But for me I have S-Oke...\Do not each time oppose\what your MASTER told you! NAA!\As to your being S-Oke's Conductor...\Drop it off!!\Chiaki in A-Oke?\Dammit! That Jiijii!! response:	Chiaki too just the same!!
context: But for me I have S-Oke...\Do not each time oppose\what your MASTER told you! NAA!\As to your being S-Oke's Conductor...\Drop it off!!\Chiaki in A-Oke?\Dammit! That Jiijii!!\Chiaki too just the same!! response:	He simply accepted being in A-Oke!
context: Do not each time oppose\what your MASTER told you! NAA!\As to your being S-Oke's Conductor...\Drop it off!!\Chiaki in A-Oke?\Dammit! That Jiijii!!\Chiaki too just the same!!\He simply accepted being in A-Oke! response:	So what's wrong
context: what your MASTER told you! NAA!\As to your being S-Oke's Conductor...\Drop it off!!\Chiaki in A-Oke?\Dammit! That Jiijii!!\Chiaki too just the same!!\He simply accepted being in A-Oke!\So what's wrong response:	Chiaki-Sama playing Rachmaninoff!!
context: As to your being S-Oke's Conductor...\Drop it off!!\Chiaki in A-Oke?\Dammit! That Jiijii!!\Chiaki too just the same!!\He simply accepted being in A-Oke!\So what's wrong\Chiaki-Sama playing Rachmaninoff!! response:	That will be cool!! And romantic!!
context: Drop it off!!\Chiaki in A-Oke?\Dammit! That Jiijii!!\Chiaki too just the same!!\He simply accepted being in A-Oke!\So what's wrong\Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!! response:	Surely he'll be a PRINCE!!
context: Chiaki in A-Oke?\Dammit! That Jiijii!!\Chiaki too just the same!!\He simply accepted being in A-Oke!\So what's wrong\Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!!\Surely he'll be a PRINCE!! response:	Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)
context: Dammit! That Jiijii!!\Chiaki too just the same!!\He simply accepted being in A-Oke!\So what's wrong\Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!!\Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed) response:	Yes, boo boo!!!
context: Chiaki too just the same!!\He simply accepted being in A-Oke!\So what's wrong\Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!!\Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!! response:	Chiaki-sama is going to perform Rachmaninoff?
context: He simply accepted being in A-Oke!\So what's wrong\Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!!\Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff? response:	I want to see!!
context: So what's wrong\Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!!\Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff?\I want to see!! response:	Ahhh frivolous stupid women!!
context: Chiaki-Sama playing Rachmaninoff!!\That will be cool!! And romantic!!\Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff?\I want to see!!\Ahhh frivolous stupid women!! response:	Certainly A-Oke can't beat us!!
context: That will be cool!! And romantic!!\Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff?\I want to see!!\Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!! response:	Are we going to perform S-Oke?
context: Surely he'll be a PRINCE!!\Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff?\I want to see!!\Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!!\Are we going to perform S-Oke? response:	Of course!
context: Is that a nosebleed boo? (means very attractive/sexy one gets nosebleed)\Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff?\I want to see!!\Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!!\Are we going to perform S-Oke?\Of course! response:	Then who'll be the Conductor?
context: Yes, boo boo!!!\Chiaki-sama is going to perform Rachmaninoff?\I want to see!!\Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!!\Are we going to perform S-Oke?\Of course!\Then who'll be the Conductor? response:	That, ummm...
context: Chiaki-sama is going to perform Rachmaninoff?\I want to see!!\Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!!\Are we going to perform S-Oke?\Of course!\Then who'll be the Conductor?\That, ummm... response:	WAIT A MOMENT!!
context: I want to see!!\Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!!\Are we going to perform S-Oke?\Of course!\Then who'll be the Conductor?\That, ummm...\WAIT A MOMENT!! response:	Hee, if it is okay, I don't mind doing it for you..?
context: Ahhh frivolous stupid women!!\Certainly A-Oke can't beat us!!\Are we going to perform S-Oke?\Of course!\Then who'll be the Conductor?\That, ummm...\WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..? response:	Who is he?
context: Certainly A-Oke can't beat us!!\Are we going to perform S-Oke?\Of course!\Then who'll be the Conductor?\That, ummm...\WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..?\Who is he? response:	No idea..
context: Are we going to perform S-Oke?\Of course!\Then who'll be the Conductor?\That, ummm...\WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..?\Who is he?\No idea.. response:	Thank you...
context: Of course!\Then who'll be the Conductor?\That, ummm...\WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..?\Who is he?\No idea..\Thank you... response:	Ah Chiaki-kun!
context: Then who'll be the Conductor?\That, ummm...\WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..?\Who is he?\No idea..\Thank you...\Ah Chiaki-kun! response:	I heard about it. Yoroshiku ne!
context: That, ummm...\WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..?\Who is he?\No idea..\Thank you...\Ah Chiaki-kun!\I heard about it. Yoroshiku ne! response:	Sure..
context: WAIT A MOMENT!!\Hee, if it is okay, I don't mind doing it for you..?\Who is he?\No idea..\Thank you...\Ah Chiaki-kun!\I heard about it. Yoroshiku ne!\Sure.. response:	However, I wonder what is he thinking...Maestro
context: Hee, if it is okay, I don't mind doing it for you..?\Who is he?\No idea..\Thank you...\Ah Chiaki-kun!\I heard about it. Yoroshiku ne!\Sure..\However, I wonder what is he thinking...Maestro response:	All of a sudden he seriously instructs A-Oke like that...
context: Who is he?\No idea..\Thank you...\Ah Chiaki-kun!\I heard about it. Yoroshiku ne!\Sure..\However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that... response:	Excuse me... All of a sudden he seriously instructs A-Oke like that...
context: No idea..\Thank you...\Ah Chiaki-kun!\I heard about it. Yoroshiku ne!\Sure..\However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that... response:	Excuse me...
context: Thank you...\Ah Chiaki-kun!\I heard about it. Yoroshiku ne!\Sure..\However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me... response:	Chiaki!
context: Ah Chiaki-kun!\I heard about it. Yoroshiku ne!\Sure..\However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me...\Chiaki! response:	Please tell me the reason
context: I heard about it. Yoroshiku ne!\Sure..\However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me...\Chiaki!\Please tell me the reason response:	Why do I have to play the piano...
context: Sure..\However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me...\Chiaki!\Please tell me the reason\Why do I have to play the piano... response:	Mina..
context: However, I wonder what is he thinking...Maestro\All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me...\Chiaki!\Please tell me the reason\Why do I have to play the piano...\Mina.. response:	Huh??
context: All of a sudden he seriously instructs A-Oke like that...\Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me...\Chiaki!\Please tell me the reason\Why do I have to play the piano...\Mina..\Huh?? response:	Mina!!
context: Excuse me... All of a sudden he seriously instructs A-Oke like that...\Excuse me...\Chiaki!\Please tell me the reason\Why do I have to play the piano...\Mina..\Huh??\Mina!! response:	Mina!!!
context: Excuse me...\Chiaki!\Please tell me the reason\Why do I have to play the piano...\Mina..\Huh??\Mina!!\Mina!!! response:	Mina!!!
context: Chiaki!\Please tell me the reason\Why do I have to play the piano...\Mina..\Huh??\Mina!!\Mina!!!\Mina!!! response:	Finally we can meet...
context: Please tell me the reason\Why do I have to play the piano...\Mina..\Huh??\Mina!!\Mina!!!\Mina!!!\Finally we can meet... response:	I wonder how many years since we last met?
context: Why do I have to play the piano...\Mina..\Huh??\Mina!!\Mina!!!\Mina!!!\Finally we can meet...\I wonder how many years since we last met? response:	You have become a big success
context: Mina..\Huh??\Mina!!\Mina!!!\Mina!!!\Finally we can meet...\I wonder how many years since we last met?\You have become a big success response:	it is you, Mina...
context: Huh??\Mina!!\Mina!!!\Mina!!!\Finally we can meet...\I wonder how many years since we last met?\You have become a big success\it is you, Mina... response:	you're beautiful as you always were
context: Mina!!\Mina!!!\Mina!!!\Finally we can meet...\I wonder how many years since we last met?\You have become a big success\it is you, Mina...\you're beautiful as you always were response:	If it is for Mina's sake, I can do anything...
context: Mina!!!\Mina!!!\Finally we can meet...\I wonder how many years since we last met?\You have become a big success\it is you, Mina...\you're beautiful as you always were\If it is for Mina's sake, I can do anything... response:	You never change, Franz, don't you?
context: Mina!!!\Finally we can meet...\I wonder how many years since we last met?\You have become a big success\it is you, Mina...\you're beautiful as you always were\If it is for Mina's sake, I can do anything...\You never change, Franz, don't you? response:	But it's true...
context: Finally we can meet...\I wonder how many years since we last met?\You have become a big success\it is you, Mina...\you're beautiful as you always were\If it is for Mina's sake, I can do anything...\You never change, Franz, don't you?\But it's true... response:	In the next School Festival, that elite Orchestra...
context: I wonder how many years since we last met?\You have become a big success\it is you, Mina...\you're beautiful as you always were\If it is for Mina's sake, I can do anything...\You never change, Franz, don't you?\But it's true...\In the next School Festival, that elite Orchestra... response:	This Stresemann! and that pupil!!
context: You have become a big success\it is you, Mina...\you're beautiful as you always were\If it is for Mina's sake, I can do anything...\You never change, Franz, don't you?\But it's true...\In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!! response:	for Mina's sake, will perform Rachmaninoff
context: it is you, Mina...\you're beautiful as you always were\If it is for Mina's sake, I can do anything...\You never change, Franz, don't you?\But it's true...\In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff response:	Piano Concerto
context: you're beautiful as you always were\If it is for Mina's sake, I can do anything...\You never change, Franz, don't you?\But it's true...\In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff\Piano Concerto response:	Please definitely come to see it
context: If it is for Mina's sake, I can do anything...\You never change, Franz, don't you?\But it's true...\In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff\Piano Concerto\Please definitely come to see it response:	That's my most beloved piece!!
context: You never change, Franz, don't you?\But it's true...\In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff\Piano Concerto\Please definitely come to see it\That's my most beloved piece!! response:	You remember it!!
context: But it's true...\In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff\Piano Concerto\Please definitely come to see it\That's my most beloved piece!!\You remember it!! response:	oh...I'm about to faint...
context: In the next School Festival, that elite Orchestra...\This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff\Piano Concerto\Please definitely come to see it\That's my most beloved piece!!\You remember it!!\oh...I'm about to faint... response:	So in the end, that Jiijii just want to show off in front of Rijichou...
context: This Stresemann! and that pupil!!\for Mina's sake, will perform Rachmaninoff\Piano Concerto\Please definitely come to see it\That's my most beloved piece!!\You remember it!!\oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou... response:	and thus make me play the piano...
context: for Mina's sake, will perform Rachmaninoff\Piano Concerto\Please definitely come to see it\That's my most beloved piece!!\You remember it!!\oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano... response:	Wah! Madame de Polignac!!
context: Piano Concerto\Please definitely come to see it\That's my most beloved piece!!\You remember it!!\oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano...\Wah! Madame de Polignac!! response:	Who's that?
context: Please definitely come to see it\That's my most beloved piece!!\You remember it!!\oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano...\Wah! Madame de Polignac!!\Who's that? response:	The Rose of Versailles!
context: That's my most beloved piece!!\You remember it!!\oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano...\Wah! Madame de Polignac!!\Who's that?\The Rose of Versailles! response:	Are you going to make it yourself?
context: You remember it!!\oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano...\Wah! Madame de Polignac!!\Who's that?\The Rose of Versailles!\Are you going to make it yourself? response:	Yes! Because I want to wear a dress that suits me well!
context: oh...I'm about to faint...\So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano...\Wah! Madame de Polignac!!\Who's that?\The Rose of Versailles!\Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well! response:	Wow...
context: So in the end, that Jiijii just want to show off in front of Rijichou...\and thus make me play the piano...\Wah! Madame de Polignac!!\Who's that?\The Rose of Versailles!\Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well!\Wow... response:	What about Nodame?
context: and thus make me play the piano...\Wah! Madame de Polignac!!\Who's that?\The Rose of Versailles!\Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well!\Wow...\What about Nodame? response:	But Nodame can't participate in the Oke... even if I make it...
context: Wah! Madame de Polignac!!\Who's that?\The Rose of Versailles!\Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well!\Wow...\What about Nodame?\But Nodame can't participate in the Oke... even if I make it... response:	What about this!
context: Who's that?\The Rose of Versailles!\Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well!\Wow...\What about Nodame?\But Nodame can't participate in the Oke... even if I make it...\What about this! response:	What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)
context: The Rose of Versailles!\Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well!\Wow...\What about Nodame?\But Nodame can't participate in the Oke... even if I make it...\What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division) response:	Pianika?/ Yes!
context: Are you going to make it yourself?\Yes! Because I want to wear a dress that suits me well!\Wow...\What about Nodame?\But Nodame can't participate in the Oke... even if I make it...\What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes! response:	In that case Nodame can participate too!!
context: Yes! Because I want to wear a dress that suits me well!\Wow...\What about Nodame?\But Nodame can't participate in the Oke... even if I make it...\What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes!\In that case Nodame can participate too!! response:	Me too!!
context: Wow...\What about Nodame?\But Nodame can't participate in the Oke... even if I make it...\What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes!\In that case Nodame can participate too!!\Me too!! response:	I want to participate too!!
context: What about Nodame?\But Nodame can't participate in the Oke... even if I make it...\What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes!\In that case Nodame can participate too!!\Me too!!\I want to participate too!! response:	Me too!
context: But Nodame can't participate in the Oke... even if I make it...\What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes!\In that case Nodame can participate too!!\Me too!!\I want to participate too!!\Me too! response:	Maki-chan!
context: What about this!\What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes!\In that case Nodame can participate too!!\Me too!!\I want to participate too!!\Me too!\Maki-chan! response:	Let's do it, let's do it!
context: What if Pianoka plays Pianika? (it's a pun on Pianoka or Piano Division)\Pianika?/ Yes!\In that case Nodame can participate too!!\Me too!!\I want to participate too!!\Me too!\Maki-chan!\Let's do it, let's do it! response:	Everybody, the new score is ready!!
context: Pianika?/ Yes!\In that case Nodame can participate too!!\Me too!!\I want to participate too!!\Me too!\Maki-chan!\Let's do it, let's do it!\Everybody, the new score is ready!! response:	Ooo, so we're going to play this piece!
context: In that case Nodame can participate too!!\Me too!!\I want to participate too!!\Me too!\Maki-chan!\Let's do it, let's do it!\Everybody, the new score is ready!!\Ooo, so we're going to play this piece! response:	Everybody!!
context: Me too!!\I want to participate too!!\Me too!\Maki-chan!\Let's do it, let's do it!\Everybody, the new score is ready!!\Ooo, so we're going to play this piece!\Everybody!! response:	Let's practice from today!!
