context: Oh, man! Oh, man! response:	Taking off in the middle of the night is pretty exciting!
context: Sugawara-san, here.\Nice serve!\Shinzen and Ubugawa are still in their first set?\Yeah.\Their serves are awesome!\Left!\Whoa, like, fabam!\Serve and block. response:	Destroy the opponent with the serve, then try to limit
context: Nice serve!\Shinzen and Ubugawa are still in their first set?\Yeah.\Their serves are awesome!\Left!\Whoa, like, fabam!\Serve and block.\Destroy the opponent with the serve, then try to limit response:	their opponent's attack space and block.
context: Shinzen and Ubugawa are still in their first set?\Yeah.\Their serves are awesome!\Left!\Whoa, like, fabam!\Serve and block.\Destroy the opponent with the serve, then try to limit\their opponent's attack space and block. response:	That's the most ideal method of attack next to a service ace.
context: Yeah.\Their serves are awesome!\Left!\Whoa, like, fabam!\Serve and block.\Destroy the opponent with the serve, then try to limit\their opponent's attack space and block.\That's the most ideal method of attack next to a service ace. response:	Serve and block...
context: Their serves are awesome!\Left!\Whoa, like, fabam!\Serve and block.\Destroy the opponent with the serve, then try to limit\their opponent's attack space and block.\That's the most ideal method of attack next to a service ace.\Serve and block... response:	Damn you, Tarako.
context: Left!\Whoa, like, fabam!\Serve and block.\Destroy the opponent with the serve, then try to limit\their opponent's attack space and block.\That's the most ideal method of attack next to a service ace.\Serve and block...\Damn you, Tarako. response:	Broccoli...
context: Whoa, like, fabam!\Serve and block.\Destroy the opponent with the serve, then try to limit\their opponent's attack space and block.\That's the most ideal method of attack next to a service ace.\Serve and block...\Damn you, Tarako.\Broccoli... response:	Stop that! You're being rude to food.
context: Serve and block.\Destroy the opponent with the serve, then try to limit\their opponent's attack space and block.\That's the most ideal method of attack next to a service ace.\Serve and block...\Damn you, Tarako.\Broccoli...\Stop that! You're being rude to food. response:	What?!
context: Destroy the opponent with the serve, then try to limit\their opponent's attack space and block.\That's the most ideal method of attack next to a service ace.\Serve and block...\Damn you, Tarako.\Broccoli...\Stop that! You're being rude to food.\What?! response:	We amazingly lost all our games.
context: their opponent's attack space and block.\That's the most ideal method of attack next to a service ace.\Serve and block...\Damn you, Tarako.\Broccoli...\Stop that! You're being rude to food.\What?!\We amazingly lost all our games. response:	It's actually sort of refreshing.
context: That's the most ideal method of attack next to a service ace.\Serve and block...\Damn you, Tarako.\Broccoli...\Stop that! You're being rude to food.\What?!\We amazingly lost all our games.\It's actually sort of refreshing. response:	I haven't done that many sprints since Coach Ukai was coaching.
context: Serve and block...\Damn you, Tarako.\Broccoli...\Stop that! You're being rude to food.\What?!\We amazingly lost all our games.\It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching. response:	I'm gonna borrow the tablet from Ukai-san
context: Damn you, Tarako.\Broccoli...\Stop that! You're being rude to food.\What?!\We amazingly lost all our games.\It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san response:	so we can review the synchronized attack video.
context: Broccoli...\Stop that! You're being rude to food.\What?!\We amazingly lost all our games.\It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video. response:	All right.
context: Stop that! You're being rude to food.\What?!\We amazingly lost all our games.\It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video.\All right. response:	Sure thing.
context: What?!\We amazingly lost all our games.\It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video.\All right.\Sure thing. response:	I'm gonna go hit some serves.
context: We amazingly lost all our games.\It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video.\All right.\Sure thing.\I'm gonna go hit some serves. response:	I need way more practice.
context: It's actually sort of refreshing.\I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video.\All right.\Sure thing.\I'm gonna go hit some serves.\I need way more practice. response:	Serves! I'll hit some, too.
context: I haven't done that many sprints since Coach Ukai was coaching.\I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video.\All right.\Sure thing.\I'm gonna go hit some serves.\I need way more practice.\Serves! I'll hit some, too. response:	Ah, Tsukki! I'm gonna go hit some serves. Would you
context: I'm gonna borrow the tablet from Ukai-san\so we can review the synchronized attack video.\All right.\Sure thing.\I'm gonna go hit some serves.\I need way more practice.\Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you response:	I'm gonna go take a bath and go to bed.
context: so we can review the synchronized attack video.\All right.\Sure thing.\I'm gonna go hit some serves.\I need way more practice.\Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed. response:	I-I see. Um...
context: All right.\Sure thing.\I'm gonna go hit some serves.\I need way more practice.\Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed.\I-I see. Um... response:	What?
context: Sure thing.\I'm gonna go hit some serves.\I need way more practice.\Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed.\I-I see. Um...\What? response:	I was just wondering
context: I'm gonna go hit some serves.\I need way more practice.\Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed.\I-I see. Um...\What?\I was just wondering response:	if you were gonna practice anything on your own...
context: I need way more practice.\Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed.\I-I see. Um...\What?\I was just wondering\if you were gonna practice anything on your own... response:	We've already been practicing more than anyone wants.
context: Serves! I'll hit some, too.\Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed.\I-I see. Um...\What?\I was just wondering\if you were gonna practice anything on your own...\We've already been practicing more than anyone wants. response:	Going all out in practice isn't gonna solve everything.
context: Ah, Tsukki! I'm gonna go hit some serves. Would you\I'm gonna go take a bath and go to bed.\I-I see. Um...\What?\I was just wondering\if you were gonna practice anything on your own...\We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything. response:	R-Right...
context: I'm gonna go take a bath and go to bed.\I-I see. Um...\What?\I was just wondering\if you were gonna practice anything on your own...\We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything.\R-Right... response:	That's true, but...
context: I-I see. Um...\What?\I was just wondering\if you were gonna practice anything on your own...\We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything.\R-Right...\That's true, but... response:	Oh, hey, you. Karasuno!
context: What?\I was just wondering\if you were gonna practice anything on your own...\We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything.\R-Right...\That's true, but...\Oh, hey, you. Karasuno! response:	You with the glasses!
context: I was just wondering\if you were gonna practice anything on your own...\We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything.\R-Right...\That's true, but...\Oh, hey, you. Karasuno!\You with the glasses! response:	Would you jump some blocks for us?
context: if you were gonna practice anything on your own...\We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything.\R-Right...\That's true, but...\Oh, hey, you. Karasuno!\You with the glasses!\Would you jump some blocks for us? response:	Oh, actually, I'm done for the night.
context: We've already been practicing more than anyone wants.\Going all out in practice isn't gonna solve everything.\R-Right...\That's true, but...\Oh, hey, you. Karasuno!\You with the glasses!\Would you jump some blocks for us?\Oh, actually, I'm done for the night. response:	If you'll excuse me.
context: Going all out in practice isn't gonna solve everything.\R-Right...\That's true, but...\Oh, hey, you. Karasuno!\You with the glasses!\Would you jump some blocks for us?\Oh, actually, I'm done for the night.\If you'll excuse me. response:	What?!
context: R-Right...\That's true, but...\Oh, hey, you. Karasuno!\You with the glasses!\Would you jump some blocks for us?\Oh, actually, I'm done for the night.\If you'll excuse me.\What?! response:	There's no point in practicing spikes without a blocker!
context: That's true, but...\Oh, hey, you. Karasuno!\You with the glasses!\Would you jump some blocks for us?\Oh, actually, I'm done for the night.\If you'll excuse me.\What?!\There's no point in practicing spikes without a blocker! response:	Come on!
context: Oh, hey, you. Karasuno!\You with the glasses!\Would you jump some blocks for us?\Oh, actually, I'm done for the night.\If you'll excuse me.\What?!\There's no point in practicing spikes without a blocker!\Come on! response:	Why does it have to be me?
context: You with the glasses!\Would you jump some blocks for us?\Oh, actually, I'm done for the night.\If you'll excuse me.\What?!\There's no point in practicing spikes without a blocker!\Come on!\Why does it have to be me? response:	Why not someone from Fukurodani?
context: Would you jump some blocks for us?\Oh, actually, I'm done for the night.\If you'll excuse me.\What?!\There's no point in practicing spikes without a blocker!\Come on!\Why does it have to be me?\Why not someone from Fukurodani? response:	There's no limit to Bokuto-san's spiking practice,
context: Oh, actually, I'm done for the night.\If you'll excuse me.\What?!\There's no point in practicing spikes without a blocker!\Come on!\Why does it have to be me?\Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice, response:	so everyone runs away pretty quickly.
context: If you'll excuse me.\What?!\There's no point in practicing spikes without a blocker!\Come on!\Why does it have to be me?\Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly. response:	I'm too busy whipping this guy into shape.
context: What?!\There's no point in practicing spikes without a blocker!\Come on!\Why does it have to be me?\Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape. response:	I said I'd jump some blocks!
context: There's no point in practicing spikes without a blocker!\Come on!\Why does it have to be me?\Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape.\I said I'd jump some blocks! response:	Shut up!
context: Come on!\Why does it have to be me?\Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape.\I said I'd jump some blocks!\Shut up! response:	If you want to continue as a regular on Nekoma's team,
context: Why does it have to be me?\Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape.\I said I'd jump some blocks!\Shut up!\If you want to continue as a regular on Nekoma's team, response:	you need to actually be able to receive the ball!
context: Why not someone from Fukurodani?\There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape.\I said I'd jump some blocks!\Shut up!\If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball! response:	He may not look it,
context: There's no limit to Bokuto-san's spiking practice,\so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape.\I said I'd jump some blocks!\Shut up!\If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball!\He may not look it, response:	but this guy's one of the top five spikers in the country,
context: so everyone runs away pretty quickly.\I'm too busy whipping this guy into shape.\I said I'd jump some blocks!\Shut up!\If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball!\He may not look it,\but this guy's one of the top five spikers in the country, response:	so it'll be great practice.
context: I'm too busy whipping this guy into shape.\I said I'd jump some blocks!\Shut up!\If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball!\He may not look it,\but this guy's one of the top five spikers in the country,\so it'll be great practice. response:	So he somehow didn't make it into the top three, huh?
context: I said I'd jump some blocks!\Shut up!\If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball!\He may not look it,\but this guy's one of the top five spikers in the country,\so it'll be great practice.\So he somehow didn't make it into the top three, huh? response:	Don't mind.
context: Shut up!\If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball!\He may not look it,\but this guy's one of the top five spikers in the country,\so it'll be great practice.\So he somehow didn't make it into the top three, huh?\Don't mind. response:	Don't raise me up just to let me get knocked down!
context: If you want to continue as a regular on Nekoma's team,\you need to actually be able to receive the ball!\He may not look it,\but this guy's one of the top five spikers in the country,\so it'll be great practice.\So he somehow didn't make it into the top three, huh?\Don't mind.\Don't raise me up just to let me get knocked down! response:	Besides, if you're a middle blocker,
context: you need to actually be able to receive the ball!\He may not look it,\but this guy's one of the top five spikers in the country,\so it'll be great practice.\So he somehow didn't make it into the top three, huh?\Don't mind.\Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker, response:	you should practice your blocking a bit more.
context: He may not look it,\but this guy's one of the top five spikers in the country,\so it'll be great practice.\So he somehow didn't make it into the top three, huh?\Don't mind.\Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker,\you should practice your blocking a bit more. response:	Gymnasium 1
context: but this guy's one of the top five spikers in the country,\so it'll be great practice.\So he somehow didn't make it into the top three, huh?\Don't mind.\Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker,\you should practice your blocking a bit more.\Gymnasium 1 response:	We couldn't get one quick right today.
context: so it'll be great practice.\So he somehow didn't make it into the top three, huh?\Don't mind.\Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker,\you should practice your blocking a bit more.\Gymnasium 1\We couldn't get one quick right today. response:	I need to practice.
context: So he somehow didn't make it into the top three, huh?\Don't mind.\Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker,\you should practice your blocking a bit more.\Gymnasium 1\We couldn't get one quick right today.\I need to practice. response:	If we don't manage to make this somewhat useful by next month...
context: Don't mind.\Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker,\you should practice your blocking a bit more.\Gymnasium 1\We couldn't get one quick right today.\I need to practice.\If we don't manage to make this somewhat useful by next month... response:	We'll be in trouble.
context: Don't raise me up just to let me get knocked down!\Besides, if you're a middle blocker,\you should practice your blocking a bit more.\Gymnasium 1\We couldn't get one quick right today.\I need to practice.\If we don't manage to make this somewhat useful by next month...\We'll be in trouble. response:	Oh! Are you going to practice quicks?
context: Besides, if you're a middle blocker,\you should practice your blocking a bit more.\Gymnasium 1\We couldn't get one quick right today.\I need to practice.\If we don't manage to make this somewhat useful by next month...\We'll be in trouble.\Oh! Are you going to practice quicks? response:	Balls? Want some balls?
context: you should practice your blocking a bit more.\Gymnasium 1\We couldn't get one quick right today.\I need to practice.\If we don't manage to make this somewhat useful by next month...\We'll be in trouble.\Oh! Are you going to practice quicks?\Balls? Want some balls? response:	Why is she making it sound like she's offering us a drink?
context: Gymnasium 1\We couldn't get one quick right today.\I need to practice.\If we don't manage to make this somewhat useful by next month...\We'll be in trouble.\Oh! Are you going to practice quicks?\Balls? Want some balls?\Why is she making it sound like she's offering us a drink? response:	P-Please!
context: We couldn't get one quick right today.\I need to practice.\If we don't manage to make this somewhat useful by next month...\We'll be in trouble.\Oh! Are you going to practice quicks?\Balls? Want some balls?\Why is she making it sound like she's offering us a drink?\P-Please! response:	Yeah.
context: I need to practice.\If we don't manage to make this somewhat useful by next month...\We'll be in trouble.\Oh! Are you going to practice quicks?\Balls? Want some balls?\Why is she making it sound like she's offering us a drink?\P-Please!\Yeah. response:	Haikyu!!
context: If we don't manage to make this somewhat useful by next month...\We'll be in trouble.\Oh! Are you going to practice quicks?\Balls? Want some balls?\Why is she making it sound like she's offering us a drink?\P-Please!\Yeah.\Haikyu!! response:	Haikyu!!
context: We'll be in trouble.\Oh! Are you going to practice quicks?\Balls? Want some balls?\Why is she making it sound like she's offering us a drink?\P-Please!\Yeah.\Haikyu!!\Haikyu!! response:	One more!
context: Oh! Are you going to practice quicks?\Balls? Want some balls?\Why is she making it sound like she's offering us a drink?\P-Please!\Yeah.\Haikyu!!\Haikyu!!\One more! response:	One more!
context: Balls? Want some balls?\Why is she making it sound like she's offering us a drink?\P-Please!\Yeah.\Haikyu!!\Haikyu!!\One more!\One more! response:	One more!
context: Why is she making it sound like she's offering us a drink?\P-Please!\Yeah.\Haikyu!!\Haikyu!!\One more!\One more!\One more! response:	One more!
context: P-Please!\Yeah.\Haikyu!!\Haikyu!!\One more!\One more!\One more!\One more! response:	Straight!
context: Yeah.\Haikyu!!\Haikyu!!\One more!\One more!\One more!\One more!\Straight! response:	So smart and calm...
context: Haikyu!!\Haikyu!!\One more!\One more!\One more!\One more!\Straight!\So smart and calm... response:	But...
context: Haikyu!!\One more!\One more!\One more!\One more!\Straight!\So smart and calm...\But... response:	Yes!
context: One more!\One more!\One more!\One more!\Straight!\So smart and calm...\But...\Yes! response:	You just beat all of one blocker.
context: One more!\One more!\One more!\Straight!\So smart and calm...\But...\Yes!\You just beat all of one blocker. response:	Shut up!
context: One more!\One more!\Straight!\So smart and calm...\But...\Yes!\You just beat all of one blocker.\Shut up! response:	Well, how about two, then?
context: One more!\Straight!\So smart and calm...\But...\Yes!\You just beat all of one blocker.\Shut up!\Well, how about two, then? response:	Bring it on!
context: Straight!\So smart and calm...\But...\Yes!\You just beat all of one blocker.\Shut up!\Well, how about two, then?\Bring it on! response:	Is he dead?
context: So smart and calm...\But...\Yes!\You just beat all of one blocker.\Shut up!\Well, how about two, then?\Bring it on!\Is he dead? response:	Here we go!
context: But...\Yes!\You just beat all of one blocker.\Shut up!\Well, how about two, then?\Bring it on!\Is he dead?\Here we go! response:	Four eyes, make sure you keep that straight in check!
context: Yes!\You just beat all of one blocker.\Shut up!\Well, how about two, then?\Bring it on!\Is he dead?\Here we go!\Four eyes, make sure you keep that straight in check! response:	Yeah!
context: You just beat all of one blocker.\Shut up!\Well, how about two, then?\Bring it on!\Is he dead?\Here we go!\Four eyes, make sure you keep that straight in check!\Yeah! response:	Damn it!
context: Shut up!\Well, how about two, then?\Bring it on!\Is he dead?\Here we go!\Four eyes, make sure you keep that straight in check!\Yeah!\Damn it! response:	You know, four eyes, you're great at reading attacks, but...
context: Well, how about two, then?\Bring it on!\Is he dead?\Here we go!\Four eyes, make sure you keep that straight in check!\Yeah!\Damn it!\You know, four eyes, you're great at reading attacks, but... response:	Your blocks are pretty weak.
context: Bring it on!\Is he dead?\Here we go!\Four eyes, make sure you keep that straight in check!\Yeah!\Damn it!\You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak. response:	Your arms are so frail that I'm scared I'm gonna break them.
context: Is he dead?\Here we go!\Four eyes, make sure you keep that straight in check!\Yeah!\Damn it!\You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them. response:	You need to stop the ball like you mean it!
context: Here we go!\Four eyes, make sure you keep that straight in check!\Yeah!\Damn it!\You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it! response:	I'm still a growing boy!
context: Four eyes, make sure you keep that straight in check!\Yeah!\Damn it!\You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it!\I'm still a growing boy! response:	I've just started gaining muscle and getting taller.
context: Yeah!\Damn it!\You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it!\I'm still a growing boy!\I've just started gaining muscle and getting taller. response:	Talk like that, and the little shrimp is gonna hog all the glory.
context: Damn it!\You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it!\I'm still a growing boy!\I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory. response:	You guys play the same position, right?
context: You know, four eyes, you're great at reading attacks, but...\Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it!\I'm still a growing boy!\I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right? response:	Huh?
context: Your blocks are pretty weak.\Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it!\I'm still a growing boy!\I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right?\Huh? response:	I don't think that can be helped.
context: Your arms are so frail that I'm scared I'm gonna break them.\You need to stop the ball like you mean it!\I'm still a growing boy!\I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right?\Huh?\I don't think that can be helped. response:	The difference in natural talent between me and Hinata is too great.
context: You need to stop the ball like you mean it!\I'm still a growing boy!\I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right?\Huh?\I don't think that can be helped.\The difference in natural talent between me and Hinata is too great. response:	Ah! Are you practicing spikes again?!
context: I'm still a growing boy!\I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right?\Huh?\I don't think that can be helped.\The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?! response:	Want me to block?! I can block!
context: I've just started gaining muscle and getting taller.\Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right?\Huh?\I don't think that can be helped.\The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?!\Want me to block?! I can block! response:	Hey, Lev!
context: Talk like that, and the little shrimp is gonna hog all the glory.\You guys play the same position, right?\Huh?\I don't think that can be helped.\The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?!\Want me to block?! I can block!\Hey, Lev! response:	Get your ass off the ground! Time to receive!
context: You guys play the same position, right?\Huh?\I don't think that can be helped.\The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?!\Want me to block?! I can block!\Hey, Lev!\Get your ass off the ground! Time to receive! response:	Gah! Yaku-san!
context: Huh?\I don't think that can be helped.\The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?!\Want me to block?! I can block!\Hey, Lev!\Get your ass off the ground! Time to receive!\Gah! Yaku-san! response:	What do you mean, Gah?!
context: I don't think that can be helped.\The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?!\Want me to block?! I can block!\Hey, Lev!\Get your ass off the ground! Time to receive!\Gah! Yaku-san!\What do you mean, Gah?! response:	Come on, get up! You rested long enough.
context: The difference in natural talent between me and Hinata is too great.\Ah! Are you practicing spikes again?!\Want me to block?! I can block!\Hey, Lev!\Get your ass off the ground! Time to receive!\Gah! Yaku-san!\What do you mean, Gah?!\Come on, get up! You rested long enough. response:	Well, looks like I'll be in the way,
context: Ah! Are you practicing spikes again?!\Want me to block?! I can block!\Hey, Lev!\Get your ass off the ground! Time to receive!\Gah! Yaku-san!\What do you mean, Gah?!\Come on, get up! You rested long enough.\Well, looks like I'll be in the way, response:	so if you'll excuse me.
context: Want me to block?! I can block!\Hey, Lev!\Get your ass off the ground! Time to receive!\Gah! Yaku-san!\What do you mean, Gah?!\Come on, get up! You rested long enough.\Well, looks like I'll be in the way,\so if you'll excuse me. response:	Yeah, I'm totally set!
context: Hey, Lev!\Get your ass off the ground! Time to receive!\Gah! Yaku-san!\What do you mean, Gah?!\Come on, get up! You rested long enough.\Well, looks like I'll be in the way,\so if you'll excuse me.\Yeah, I'm totally set! response:	Hey!
context: Get your ass off the ground! Time to receive!\Gah! Yaku-san!\What do you mean, Gah?!\Come on, get up! You rested long enough.\Well, looks like I'll be in the way,\so if you'll excuse me.\Yeah, I'm totally set!\Hey! response:	So I'm ready for some blocking practice...
context: Gah! Yaku-san!\What do you mean, Gah?!\Come on, get up! You rested long enough.\Well, looks like I'll be in the way,\so if you'll excuse me.\Yeah, I'm totally set!\Hey!\So I'm ready for some blocking practice... response:	Looks like you stepped on a mine, Kuroo-san.
context: What do you mean, Gah?!\Come on, get up! You rested long enough.\Well, looks like I'll be in the way,\so if you'll excuse me.\Yeah, I'm totally set!\Hey!\So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san. response:	Oh? Then let's see what you've got.
context: Come on, get up! You rested long enough.\Well, looks like I'll be in the way,\so if you'll excuse me.\Yeah, I'm totally set!\Hey!\So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got. response:	You pissed him off.
context: Well, looks like I'll be in the way,\so if you'll excuse me.\Yeah, I'm totally set!\Hey!\So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got.\You pissed him off. response:	At long last, Kuroo-kun, the master of provocation, has failed.
context: so if you'll excuse me.\Yeah, I'm totally set!\Hey!\So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got.\You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed. response:	Well, I wouldn't have thought that...
context: Yeah, I'm totally set!\Hey!\So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got.\You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that... response:	Thought what?
context: Hey!\So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got.\You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that...\Thought what? response:	The Unknown
context: So I'm ready for some blocking practice...\Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got.\You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that...\Thought what?\The Unknown response:	Karasuno's Shrimp is definitely strange and a threat,
context: Looks like you stepped on a mine, Kuroo-san.\Oh? Then let's see what you've got.\You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that...\Thought what?\The Unknown\Karasuno's Shrimp is definitely strange and a threat, response:	but in terms of technique and experience, he's like a baby bird.
context: Oh? Then let's see what you've got.\You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that...\Thought what?\The Unknown\Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird. response:	Plus he's really short.
context: You pissed him off.\At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that...\Thought what?\The Unknown\Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird.\Plus he's really short. response:	I never would've thought guy with glasses, who's far taller and much smarter,
context: At long last, Kuroo-kun, the master of provocation, has failed.\Well, I wouldn't have thought that...\Thought what?\The Unknown\Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird.\Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter, response:	would not only think they're not equal,
context: Well, I wouldn't have thought that...\Thought what?\The Unknown\Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird.\Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal, response:	but actually think the shrimp is above his level.
context: Thought what?\The Unknown\Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird.\Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal,\but actually think the shrimp is above his level. response:	Damn it. I forgot my pads.
context: The Unknown\Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird.\Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal,\but actually think the shrimp is above his level.\Damn it. I forgot my pads. response:	Gymnasium 1
context: Karasuno's Shrimp is definitely strange and a threat,\but in terms of technique and experience, he's like a baby bird.\Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal,\but actually think the shrimp is above his level.\Damn it. I forgot my pads.\Gymnasium 1 response:	One more! One more!
context: but in terms of technique and experience, he's like a baby bird.\Plus he's really short.\I never would've thought guy with glasses, who's far taller and much smarter,\would not only think they're not equal,\but actually think the shrimp is above his level.\Damn it. I forgot my pads.\Gymnasium 1\One more! One more! response:	I think the timing's a bit too fast.
