context: Kageyama Shigeo, also known as Mob. response:	A second-year in middle school.
context: The student council!\Student Council Vice President: Tokugawa\This club will now be abolished.\Abolished?\Already?!\Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room.\Q-Quit jumping the gun! response:	I'm not going to let you abolish the Telepathy Club!
context: Student Council Vice President: Tokugawa\This club will now be abolished.\Abolished?\Already?!\Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room.\Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club! response:	The Telepathy Club bond is strong.
context: This club will now be abolished.\Abolished?\Already?!\Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room.\Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong. response:	The student council's got nothing on us!
context: Abolished?\Already?!\Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room.\Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong.\The student council's got nothing on us! response:	You think you're all high-and-mighty because of how you part your hair?!
context: Already?!\Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room.\Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong.\The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?! response:	Shut up. Do you really want me to get angry?
context: Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room.\Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong.\The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry? response:	If you're that desperate to keep this club going,
context: I actually just had a brand-new club request a club room.\Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong.\The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going, response:	bring me a new club member by the end of the school day on Friday.
context: Q-Quit jumping the gun!\I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong.\The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday. response:	Telepathy Club
context: I'm not going to let you abolish the Telepathy Club!\The Telepathy Club bond is strong.\The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday.\Telepathy Club response:	B-By Friday?
context: The Telepathy Club bond is strong.\The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday.\Telepathy Club\B-By Friday? response:	That only gives us two days.
context: The student council's got nothing on us!\You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday.\Telepathy Club\B-By Friday?\That only gives us two days. response:	That's impossible.
context: You think you're all high-and-mighty because of how you part your hair?!\Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday.\Telepathy Club\B-By Friday?\That only gives us two days.\That's impossible. response:	Quit whining!
context: Shut up. Do you really want me to get angry?\If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday.\Telepathy Club\B-By Friday?\That only gives us two days.\That's impossible.\Quit whining! response:	If we ask everyone we see to join, we'll be able to snag at least one!
context: If you're that desperate to keep this club going,\bring me a new club member by the end of the school day on Friday.\Telepathy Club\B-By Friday?\That only gives us two days.\That's impossible.\Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one! response:	No, that's impossible. Recruiting season ended a long time ago.
context: bring me a new club member by the end of the school day on Friday.\Telepathy Club\B-By Friday?\That only gives us two days.\That's impossible.\Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago. response:	No! I'm going to do this!
context: Telepathy Club\B-By Friday?\That only gives us two days.\That's impossible.\Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this! response:	We have overcome so many obstacles up until now, haven't we?!
context: B-By Friday?\That only gives us two days.\That's impossible.\Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?! response:	President...
context: That only gives us two days.\That's impossible.\Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?!\President... response:	We haven't done a single thing...
context: That's impossible.\Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?!\President...\We haven't done a single thing... response:	The Next Day After School
context: Quit whining!\If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?!\President...\We haven't done a single thing...\The Next Day After School response:	Telepathy Club? Sorry, what the hell are you talking about?
context: If we ask everyone we see to join, we'll be able to snag at least one!\No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?!\President...\We haven't done a single thing...\The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about? response:	It's creepy, so no.
context: No, that's impossible. Recruiting season ended a long time ago.\No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?!\President...\We haven't done a single thing...\The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no. response:	I've got a job.
context: No! I'm going to do this!\We have overcome so many obstacles up until now, haven't we?!\President...\We haven't done a single thing...\The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no.\I've got a job. response:	Abolished? What's wrong with that?
context: We have overcome so many obstacles up until now, haven't we?!\President...\We haven't done a single thing...\The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no.\I've got a job.\Abolished? What's wrong with that? response:	You should be studying. We've got entrance exams this year.
context: President...\We haven't done a single thing...\The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no.\I've got a job.\Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year. response:	Are there hot guys? Do you have any hot guys?
context: We haven't done a single thing...\The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no.\I've got a job.\Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys? response:	I want to be able to date.
context: The Next Day After School\Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no.\I've got a job.\Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys?\I want to be able to date. response:	Girls Bathroom
context: Telepathy Club? Sorry, what the hell are you talking about?\It's creepy, so no.\I've got a job.\Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys?\I want to be able to date.\Girls Bathroom response:	I'd be worried about the stares, and it seems dangerous.
context: It's creepy, so no.\I've got a job.\Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys?\I want to be able to date.\Girls Bathroom\I'd be worried about the stares, and it seems dangerous. response:	It's creepy, so no.
context: I've got a job.\Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys?\I want to be able to date.\Girls Bathroom\I'd be worried about the stares, and it seems dangerous.\It's creepy, so no. response:	Sorry. It's creepy, so no.
context: Abolished? What's wrong with that?\You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys?\I want to be able to date.\Girls Bathroom\I'd be worried about the stares, and it seems dangerous.\It's creepy, so no.\Sorry. It's creepy, so no. response:	It's creepy, so no.
context: You should be studying. We've got entrance exams this year.\Are there hot guys? Do you have any hot guys?\I want to be able to date.\Girls Bathroom\I'd be worried about the stares, and it seems dangerous.\It's creepy, so no.\Sorry. It's creepy, so no.\It's creepy, so no. response:	Creepy.
context: Are there hot guys? Do you have any hot guys?\I want to be able to date.\Girls Bathroom\I'd be worried about the stares, and it seems dangerous.\It's creepy, so no.\Sorry. It's creepy, so no.\It's creepy, so no.\Creepy. response:	Nope.
context: I want to be able to date.\Girls Bathroom\I'd be worried about the stares, and it seems dangerous.\It's creepy, so no.\Sorry. It's creepy, so no.\It's creepy, so no.\Creepy.\Nope. response:	Creepy.
context: Girls Bathroom\I'd be worried about the stares, and it seems dangerous.\It's creepy, so no.\Sorry. It's creepy, so no.\It's creepy, so no.\Creepy.\Nope.\Creepy. response:	Nope.
context: I'd be worried about the stares, and it seems dangerous.\It's creepy, so no.\Sorry. It's creepy, so no.\It's creepy, so no.\Creepy.\Nope.\Creepy.\Nope. response:	It's creepy, so no.
context: It's creepy, so no.\Sorry. It's creepy, so no.\It's creepy, so no.\Creepy.\Nope.\Creepy.\Nope.\It's creepy, so no. response:	It really was impossible to find new members this time of the year.
context: Sorry. It's creepy, so no.\It's creepy, so no.\Creepy.\Nope.\Creepy.\Nope.\It's creepy, so no.\It really was impossible to find new members this time of the year. response:	Not to mention we just keep getting called creepy.
context: It's creepy, so no.\Creepy.\Nope.\Creepy.\Nope.\It's creepy, so no.\It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy. response:	Now even I want to quit.
context: Creepy.\Nope.\Creepy.\Nope.\It's creepy, so no.\It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy.\Now even I want to quit. response:	No!
context: Nope.\Creepy.\Nope.\It's creepy, so no.\It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy.\Now even I want to quit.\No! response:	The president's lost it!
context: Creepy.\Nope.\It's creepy, so no.\It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy.\Now even I want to quit.\No!\The president's lost it! response:	Please calm down!
context: Nope.\It's creepy, so no.\It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy.\Now even I want to quit.\No!\The president's lost it!\Please calm down! response:	The going-home club...
context: It's creepy, so no.\It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy.\Now even I want to quit.\No!\The president's lost it!\Please calm down!\The going-home club... response:	President!
context: It really was impossible to find new members this time of the year.\Not to mention we just keep getting called creepy.\Now even I want to quit.\No!\The president's lost it!\Please calm down!\The going-home club...\President! response:	I've brought him! He's not in any clubs or committees,
context: Not to mention we just keep getting called creepy.\Now even I want to quit.\No!\The president's lost it!\Please calm down!\The going-home club...\President!\I've brought him! He's not in any clubs or committees, response:	and he doesn't seem to have a girlfriend or any friends.
context: Now even I want to quit.\No!\The president's lost it!\Please calm down!\The going-home club...\President!\I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends. response:	Salt Middle School's final go-homer and all-round bum,
context: No!\The president's lost it!\Please calm down!\The going-home club...\President!\I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum, response:	Kageyama Shigeo-kun of class 2-1.
context: The president's lost it!\Please calm down!\The going-home club...\President!\I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1. response:	Well, he's basically right.
context: Please calm down!\The going-home club...\President!\I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1.\Well, he's basically right. response:	Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.
context: The going-home club...\President!\I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1.\Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun. response:	This is Kijibayashi, and Saruta.
context: President!\I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1.\Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta. response:	Nice to meet you.
context: I've brought him! He's not in any clubs or committees,\and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1.\Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta.\Nice to meet you. response:	Hey.
context: and he doesn't seem to have a girlfriend or any friends.\Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1.\Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta.\Nice to meet you.\Hey. response:	And I'm the president, Kurata Tome, from class 3-5.
context: Salt Middle School's final go-homer and all-round bum,\Kageyama Shigeo-kun of class 2-1.\Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta.\Nice to meet you.\Hey.\And I'm the president, Kurata Tome, from class 3-5. response:	Call me Tome-chan.
context: Kageyama Shigeo-kun of class 2-1.\Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta.\Nice to meet you.\Hey.\And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan. response:	The president is desperate!
context: Well, he's basically right.\Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta.\Nice to meet you.\Hey.\And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan.\The president is desperate! response:	Tome-chan... That's my grandmother's name.
context: Well done, Inukawa! Let me introduce you to the other members, Kageyama-kun.\This is Kijibayashi, and Saruta.\Nice to meet you.\Hey.\And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan.\The president is desperate!\Tome-chan... That's my grandmother's name. response:	I-I'm sure that's because of fate, too! There you have it!
context: This is Kijibayashi, and Saruta.\Nice to meet you.\Hey.\And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan.\The president is desperate!\Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it! response:	Join the Telepathy Club!
context: Nice to meet you.\Hey.\And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan.\The president is desperate!\Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club! response:	I can't today.
context: Hey.\And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan.\The president is desperate!\Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club!\I can't today. response:	What?!
context: And I'm the president, Kurata Tome, from class 3-5.\Call me Tome-chan.\The president is desperate!\Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club!\I can't today.\What?! response:	Wait a second, Mob! You actually have plans?
context: Call me Tome-chan.\The president is desperate!\Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club!\I can't today.\What?!\Wait a second, Mob! You actually have plans? response:	Yeah. After this, I have to go to my exorcism job.
context: The president is desperate!\Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club!\I can't today.\What?!\Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job. response:	E-Exorcism? What's that supposed to mean?
context: Tome-chan... That's my grandmother's name.\I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club!\I can't today.\What?!\Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean? response:	Ah, President! Actually, this guy was sort of famous in grade school.
context: I-I'm sure that's because of fate, too! There you have it!\Join the Telepathy Club!\I can't today.\What?!\Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school. response:	He could bend spoons and make erasers move...
context: Join the Telepathy Club!\I can't today.\What?!\Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move... response:	In other words...
context: I can't today.\What?!\Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move...\In other words... response:	He's an esper!
context: What?!\Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move...\In other words...\He's an esper! response:	Stop being weird and just join our club.
context: Wait a second, Mob! You actually have plans?\Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move...\In other words...\He's an esper!\Stop being weird and just join our club. response:	I'm sure the exorcism can wait a little while.
context: Yeah. After this, I have to go to my exorcism job.\E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move...\In other words...\He's an esper!\Stop being weird and just join our club.\I'm sure the exorcism can wait a little while. response:	Spirits and Such Consultation Office
context: E-Exorcism? What's that supposed to mean?\Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move...\In other words...\He's an esper!\Stop being weird and just join our club.\I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office response:	Hey, what's up, Mob?
context: Ah, President! Actually, this guy was sort of famous in grade school.\He could bend spoons and make erasers move...\In other words...\He's an esper!\Stop being weird and just join our club.\I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office\Hey, what's up, Mob? response:	Ah, Master.
context: He could bend spoons and make erasers move...\In other words...\He's an esper!\Stop being weird and just join our club.\I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office\Hey, what's up, Mob?\Ah, Master. response:	Is it all right if I'm a little late today? I'm being recruited into a club.
context: In other words...\He's an esper!\Stop being weird and just join our club.\I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office\Hey, what's up, Mob?\Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club. response:	That should be over instantly.
context: He's an esper!\Stop being weird and just join our club.\I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office\Hey, what's up, Mob?\Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly. response:	No, I actually have to wait until the student council meeting is over,
context: Stop being weird and just join our club.\I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office\Hey, what's up, Mob?\Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly.\No, I actually have to wait until the student council meeting is over, response:	and then go submit my club admission form.
context: I'm sure the exorcism can wait a little while.\Spirits and Such Consultation Office\Hey, what's up, Mob?\Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly.\No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form. response:	Uh, wait. So if I tell you I need you to come immediately, you're not going to join?
context: Spirits and Such Consultation Office\Hey, what's up, Mob?\Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly.\No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join? response:	Yes, well... Shouldn't I keep the promise I made first?
context: Hey, what's up, Mob?\Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly.\No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first? response:	So it's not like you actually want to join?
context: Ah, Master.\Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly.\No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join? response:	Not really, no.
context: Is it all right if I'm a little late today? I'm being recruited into a club.\That should be over instantly.\No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join?\Not really, no. response:	Then hurry on over.
context: That should be over instantly.\No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join?\Not really, no.\Then hurry on over. response:	Show them how fast someone in the going-home club can leave school.
context: No, I actually have to wait until the student council meeting is over,\and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join?\Not really, no.\Then hurry on over.\Show them how fast someone in the going-home club can leave school. response:	He says he needs me right away, so I'll be going now.
context: and then go submit my club admission form.\Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join?\Not really, no.\Then hurry on over.\Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now. response:	P-Put me on for a sec!
context: Uh, wait. So if I tell you I need you to come immediately, you're not going to join?\Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join?\Not really, no.\Then hurry on over.\Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now.\P-Put me on for a sec! response:	I really need Kageyama-kun to join this club, no matter what!
context: Yes, well... Shouldn't I keep the promise I made first?\So it's not like you actually want to join?\Not really, no.\Then hurry on over.\Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now.\P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what! response:	A girl, eh? She must be trying to use Mob.
context: So it's not like you actually want to join?\Not really, no.\Then hurry on over.\Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now.\P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob. response:	Mob's not the type to play any sports.
context: Not really, no.\Then hurry on over.\Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now.\P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports. response:	Forcing him into things isn't good.
context: Then hurry on over.\Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now.\P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports.\Forcing him into things isn't good. response:	We're not a sports club!
context: Show them how fast someone in the going-home club can leave school.\He says he needs me right away, so I'll be going now.\P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports.\Forcing him into things isn't good.\We're not a sports club! response:	We're the Telepathy Club!
context: He says he needs me right away, so I'll be going now.\P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports.\Forcing him into things isn't good.\We're not a sports club!\We're the Telepathy Club! response:	Huh? What the hell is that?
context: P-Put me on for a sec!\I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports.\Forcing him into things isn't good.\We're not a sports club!\We're the Telepathy Club!\Huh? What the hell is that? response:	It's a club where we train in order to feel telepathic powers.
context: I really need Kageyama-kun to join this club, no matter what!\A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports.\Forcing him into things isn't good.\We're not a sports club!\We're the Telepathy Club!\Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers. response:	Yeah, that sounds shady as hell. What do you mean telepathy?
context: A girl, eh? She must be trying to use Mob.\Mob's not the type to play any sports.\Forcing him into things isn't good.\We're not a sports club!\We're the Telepathy Club!\Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy? response:	Like you're one to talk!
context: Mob's not the type to play any sports.\Forcing him into things isn't good.\We're not a sports club!\We're the Telepathy Club!\Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk! response:	I heard that Kageyama-kun has ESP,
context: Forcing him into things isn't good.\We're not a sports club!\We're the Telepathy Club!\Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk!\I heard that Kageyama-kun has ESP, response:	but aren't you using that to get more customers?
context: We're not a sports club!\We're the Telepathy Club!\Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk!\I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers? response:	Because you're a phony!
context: We're the Telepathy Club!\Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk!\I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers?\Because you're a phony! response:	Shut your mouth, amateur!
context: Huh? What the hell is that?\It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk!\I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers?\Because you're a phony!\Shut your mouth, amateur! response:	Don't you dare try to steal away my student's precious time with your nonsense!
context: It's a club where we train in order to feel telepathic powers.\Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk!\I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers?\Because you're a phony!\Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense! response:	What?!
context: Yeah, that sounds shady as hell. What do you mean telepathy?\Like you're one to talk!\I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers?\Because you're a phony!\Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense!\What?! response:	Are you saying that you don't care if our club gets abolished?
context: Like you're one to talk!\I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers?\Because you're a phony!\Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense!\What?!\Are you saying that you don't care if our club gets abolished? response:	We're going to be kicked out of the room!
context: I heard that Kageyama-kun has ESP,\but aren't you using that to get more customers?\Because you're a phony!\Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense!\What?!\Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room! response:	Master, Senpai is about to cry, so I'm thinking about joining after all...
context: but aren't you using that to get more customers?\Because you're a phony!\Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense!\What?!\Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all... response:	Don't be fooled!
context: Because you're a phony!\Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense!\What?!\Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled! response:	Those are crocodile tears!
context: Shut your mouth, amateur!\Don't you dare try to steal away my student's precious time with your nonsense!\What?!\Are you saying that you don't care if our club gets abolished?\We're going to be kicked out of the room!\Master, Senpai is about to cry, so I'm thinking about joining after all...\Don't be fooled!\Those are crocodile tears! response:	Bonds, memories, and friendship...
