context: The Third Plate response:	Nine
context: I want to face him soon on equal terms.\So it wasn't a satisfactory victory.\I get you, Yukihira!\Now that I think about it,\what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place.\Oh?\But thanks to you, Soma-kun, the situation has slightly improved. response:	I-Isshiki-senpai!
context: So it wasn't a satisfactory victory.\I get you, Yukihira!\Now that I think about it,\what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place.\Oh?\But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai! response:	Where have you been?!
context: I get you, Yukihira!\Now that I think about it,\what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place.\Oh?\But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai!\Where have you been?! response:	Sorry, all.
context: Now that I think about it,\what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place.\Oh?\But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai!\Where have you been?!\Sorry, all. response:	I am an Elite Ten member, after all.
context: what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place.\Oh?\But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai!\Where have you been?!\Sorry, all.\I am an Elite Ten member, after all. response:	I was concerned that if I did anything rash to help the dorm,
context: They're still between a rock and a hard place.\Oh?\But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai!\Where have you been?!\Sorry, all.\I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm, response:	the Azami administration would up the ante on us.
context: Oh?\But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai!\Where have you been?!\Sorry, all.\I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us. response:	I mean, I was wondering if you'd turned on us, Isshiki-senpai.
context: But thanks to you, Soma-kun, the situation has slightly improved.\I-Isshiki-senpai!\Where have you been?!\Sorry, all.\I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai. response:	Yeah, it wouldn't have surprised me.
context: I-Isshiki-senpai!\Where have you been?!\Sorry, all.\I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me. response:	What?!
context: Where have you been?!\Sorry, all.\I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me.\What?! response:	How could I ever do that?
context: Sorry, all.\I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me.\What?!\How could I ever do that? response:	Don't you understand how much I love Polar Star Dormitory?!
context: I am an Elite Ten member, after all.\I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me.\What?!\How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?! response:	Um, Isshiki-san...
context: I was concerned that if I did anything rash to help the dorm,\the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me.\What?!\How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san... response:	What's improved?
context: the Azami administration would up the ante on us.\I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me.\What?!\How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san...\What's improved? response:	Right.
context: I mean, I was wondering if you'd turned on us, Isshiki-senpai.\Yeah, it wouldn't have surprised me.\What?!\How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san...\What's improved?\Right. response:	Upon learning of the Shokugeki's results,
context: Yeah, it wouldn't have surprised me.\What?!\How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san...\What's improved?\Right.\Upon learning of the Shokugeki's results, response:	the Azami administration has made a new announcement.
context: What?!\How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san...\What's improved?\Right.\Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement. response:	Central has agreed to accept any Shokugeki challenge from an organization
context: How could I ever do that?\Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san...\What's improved?\Right.\Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization response:	that is trying to overturn being shut down.
context: Don't you understand how much I love Polar Star Dormitory?!\Um, Isshiki-san...\What's improved?\Right.\Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down. response:	Of course, the Shokugeki will be official and judged by neutral judges!
context: Um, Isshiki-san...\What's improved?\Right.\Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges! response:	It doesn't change the fact that the academy remains under Central's control,
context: What's improved?\Right.\Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control, response:	but Eizan-kun's rigged match method has been shut down.
context: Right.\Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down. response:	You made this happen, Soma-kun!
context: Upon learning of the Shokugeki's results,\the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun! response:	You have brought the Shokugeki back to life!
context: the Azami administration has made a new announcement.\Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun!\You have brought the Shokugeki back to life! response:	Thank you, Soma-kun, for saving our home.
context: Central has agreed to accept any Shokugeki challenge from an organization\that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun!\You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home. response:	Oh, there's no need to thank me.
context: that is trying to overturn being shut down.\Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun!\You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me. response:	This place is important to me, too.
context: Of course, the Shokugeki will be official and judged by neutral judges!\It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun!\You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me.\This place is important to me, too. response:	Thanks to all of you for protecting the dorm, too.
context: It doesn't change the fact that the academy remains under Central's control,\but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun!\You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me.\This place is important to me, too.\Thanks to all of you for protecting the dorm, too. response:	Well, enough serious talk.
context: but Eizan-kun's rigged match method has been shut down.\You made this happen, Soma-kun!\You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me.\This place is important to me, too.\Thanks to all of you for protecting the dorm, too.\Well, enough serious talk. response:	Let's just enjoy the rest of the evening!
context: You made this happen, Soma-kun!\You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me.\This place is important to me, too.\Thanks to all of you for protecting the dorm, too.\Well, enough serious talk.\Let's just enjoy the rest of the evening! response:	Yeah!
context: You have brought the Shokugeki back to life!\Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me.\This place is important to me, too.\Thanks to all of you for protecting the dorm, too.\Well, enough serious talk.\Let's just enjoy the rest of the evening!\Yeah! response:	Wh-What?!
context: Thank you, Soma-kun, for saving our home.\Oh, there's no need to thank me.\This place is important to me, too.\Thanks to all of you for protecting the dorm, too.\Well, enough serious talk.\Let's just enjoy the rest of the evening!\Yeah!\Wh-What?! response:	He's naked, save for an apron?!
context: Oh, there's no need to thank me.\This place is important to me, too.\Thanks to all of you for protecting the dorm, too.\Well, enough serious talk.\Let's just enjoy the rest of the evening!\Yeah!\Wh-What?!\He's naked, save for an apron?! response:	Naked?!
context: This place is important to me, too.\Thanks to all of you for protecting the dorm, too.\Well, enough serious talk.\Let's just enjoy the rest of the evening!\Yeah!\Wh-What?!\He's naked, save for an apron?!\Naked?! response:	But with an apron?!
context: Thanks to all of you for protecting the dorm, too.\Well, enough serious talk.\Let's just enjoy the rest of the evening!\Yeah!\Wh-What?!\He's naked, save for an apron?!\Naked?!\But with an apron?! response:	How vulgar!
context: Well, enough serious talk.\Let's just enjoy the rest of the evening!\Yeah!\Wh-What?!\He's naked, save for an apron?!\Naked?!\But with an apron?!\How vulgar! response:	Look away!
context: Let's just enjoy the rest of the evening!\Yeah!\Wh-What?!\He's naked, save for an apron?!\Naked?!\But with an apron?!\How vulgar!\Look away! response:	Look away, Erina-sama!
context: Yeah!\Wh-What?!\He's naked, save for an apron?!\Naked?!\But with an apron?!\How vulgar!\Look away!\Look away, Erina-sama! response:	It's not my first time seeing this, but he still leaves quite an impression.
context: Wh-What?!\He's naked, save for an apron?!\Naked?!\But with an apron?!\How vulgar!\Look away!\Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression. response:	It wouldn't be Polar Star Dormitory without it, I guess.
context: He's naked, save for an apron?!\Naked?!\But with an apron?!\How vulgar!\Look away!\Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess. response:	Wiggle
context: Naked?!\But with an apron?!\How vulgar!\Look away!\Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle response:	Hup! Hup!
context: But with an apron?!\How vulgar!\Look away!\Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle\Hup! Hup! response:	Wh-What is going on with the people at this dorm?
context: How vulgar!\Look away!\Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle\Hup! Hup!\Wh-What is going on with the people at this dorm? response:	Wiggle
context: Look away!\Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle\Hup! Hup!\Wh-What is going on with the people at this dorm?\Wiggle response:	Wiggle
context: Look away, Erina-sama!\It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle\Hup! Hup!\Wh-What is going on with the people at this dorm?\Wiggle\Wiggle response:	Wiggle
context: It's not my first time seeing this, but he still leaves quite an impression.\It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle\Hup! Hup!\Wh-What is going on with the people at this dorm?\Wiggle\Wiggle\Wiggle response:	Wiggle
context: It wouldn't be Polar Star Dormitory without it, I guess.\Wiggle\Hup! Hup!\Wh-What is going on with the people at this dorm?\Wiggle\Wiggle\Wiggle\Wiggle response:	Wiggle
context: Wiggle\Hup! Hup!\Wh-What is going on with the people at this dorm?\Wiggle\Wiggle\Wiggle\Wiggle\Wiggle response:	Th-They're totally fine with him wearing nothing but an apron!
context: Hup! Hup!\Wh-What is going on with the people at this dorm?\Wiggle\Wiggle\Wiggle\Wiggle\Wiggle\Th-They're totally fine with him wearing nothing but an apron! response:	This dorm really is quite strange.
context: Wh-What is going on with the people at this dorm?\Wiggle\Wiggle\Wiggle\Wiggle\Wiggle\Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange. response:	It is!
context: Wiggle\Wiggle\Wiggle\Wiggle\Wiggle\Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange.\It is! response:	No, it's bizarre!
context: Wiggle\Wiggle\Wiggle\Wiggle\Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange.\It is!\No, it's bizarre! response:	Bizarre!
context: Wiggle\Wiggle\Wiggle\Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange.\It is!\No, it's bizarre!\Bizarre! response:	Bizarre! Bizarre! Bizarre!
context: Wiggle\Wiggle\Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange.\It is!\No, it's bizarre!\Bizarre!\Bizarre! Bizarre! Bizarre! response:	Erina-sama?
context: Wiggle\Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange.\It is!\No, it's bizarre!\Bizarre!\Bizarre! Bizarre! Bizarre!\Erina-sama? response:	Hisako, do you know how to use a washing machine?
context: Th-They're totally fine with him wearing nothing but an apron!\This dorm really is quite strange.\It is!\No, it's bizarre!\Bizarre!\Bizarre! Bizarre! Bizarre!\Erina-sama?\Hisako, do you know how to use a washing machine? response:	Er, a washing machine?
context: This dorm really is quite strange.\It is!\No, it's bizarre!\Bizarre!\Bizarre! Bizarre! Bizarre!\Erina-sama?\Hisako, do you know how to use a washing machine?\Er, a washing machine? response:	Well, yes.
context: It is!\No, it's bizarre!\Bizarre!\Bizarre! Bizarre! Bizarre!\Erina-sama?\Hisako, do you know how to use a washing machine?\Er, a washing machine?\Well, yes. response:	I see.
context: No, it's bizarre!\Bizarre!\Bizarre! Bizarre! Bizarre!\Erina-sama?\Hisako, do you know how to use a washing machine?\Er, a washing machine?\Well, yes.\I see. response:	It's impressive that you can use a device with so many buttons.
context: Bizarre!\Bizarre! Bizarre! Bizarre!\Erina-sama?\Hisako, do you know how to use a washing machine?\Er, a washing machine?\Well, yes.\I see.\It's impressive that you can use a device with so many buttons. response:	Um, Erina-sama?
context: Bizarre! Bizarre! Bizarre!\Erina-sama?\Hisako, do you know how to use a washing machine?\Er, a washing machine?\Well, yes.\I see.\It's impressive that you can use a device with so many buttons.\Um, Erina-sama? response:	A-Anyway, forget washing machines!
context: Erina-sama?\Hisako, do you know how to use a washing machine?\Er, a washing machine?\Well, yes.\I see.\It's impressive that you can use a device with so many buttons.\Um, Erina-sama?\A-Anyway, forget washing machines! response:	I'm just trying to say that there were a lot of things and oddities
context: Hisako, do you know how to use a washing machine?\Er, a washing machine?\Well, yes.\I see.\It's impressive that you can use a device with so many buttons.\Um, Erina-sama?\A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities response:	I had no idea about before I came to this dorm!
context: Er, a washing machine?\Well, yes.\I see.\It's impressive that you can use a device with so many buttons.\Um, Erina-sama?\A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm! response:	R-Right.
context: Well, yes.\I see.\It's impressive that you can use a device with so many buttons.\Um, Erina-sama?\A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm!\R-Right. response:	They really are very strange people.
context: I see.\It's impressive that you can use a device with so many buttons.\Um, Erina-sama?\A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm!\R-Right.\They really are very strange people. response:	And Yukihira-kun is right in their center.
context: It's impressive that you can use a device with so many buttons.\Um, Erina-sama?\A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm!\R-Right.\They really are very strange people.\And Yukihira-kun is right in their center. response:	When Polar Star Dormitory was under siege,
context: Um, Erina-sama?\A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm!\R-Right.\They really are very strange people.\And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege, response:	they seemed to feel that Yukihira-kun would be able to pull off a miracle.
context: A-Anyway, forget washing machines!\I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm!\R-Right.\They really are very strange people.\And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle. response:	You did, too, Hisako.
context: I'm just trying to say that there were a lot of things and oddities\I had no idea about before I came to this dorm!\R-Right.\They really are very strange people.\And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako. response:	What?
context: I had no idea about before I came to this dorm!\R-Right.\They really are very strange people.\And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako.\What? response:	Me, too?
context: R-Right.\They really are very strange people.\And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako.\What?\Me, too? response:	You seemed to know that Yukihira-kun would manage to do something.
context: They really are very strange people.\And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako.\What?\Me, too?\You seemed to know that Yukihira-kun would manage to do something. response:	Why'd you look that way?
context: And Yukihira-kun is right in their center.\When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako.\What?\Me, too?\You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way? response:	U-Um, well...
context: When Polar Star Dormitory was under siege,\they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako.\What?\Me, too?\You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way?\U-Um, well... response:	What can I say?
context: they seemed to feel that Yukihira-kun would be able to pull off a miracle.\You did, too, Hisako.\What?\Me, too?\You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way?\U-Um, well...\What can I say? response:	It's not like I had any reason to feel that way.
context: You did, too, Hisako.\What?\Me, too?\You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way?\U-Um, well...\What can I say?\It's not like I had any reason to feel that way. response:	I did have a premonition...
context: What?\Me, too?\You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way?\U-Um, well...\What can I say?\It's not like I had any reason to feel that way.\I did have a premonition... response:	That perhaps the one who'll save Totsuki from Azami-dono
context: Me, too?\You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way?\U-Um, well...\What can I say?\It's not like I had any reason to feel that way.\I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono response:	is that man.
context: You seemed to know that Yukihira-kun would manage to do something.\Why'd you look that way?\U-Um, well...\What can I say?\It's not like I had any reason to feel that way.\I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono\is that man. response:	Nakiri-kun, Arato-kun...
context: Why'd you look that way?\U-Um, well...\What can I say?\It's not like I had any reason to feel that way.\I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono\is that man.\Nakiri-kun, Arato-kun... response:	You should come join us!
context: U-Um, well...\What can I say?\It's not like I had any reason to feel that way.\I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono\is that man.\Nakiri-kun, Arato-kun...\You should come join us! response:	Please put on some clothes!
context: What can I say?\It's not like I had any reason to feel that way.\I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono\is that man.\Nakiri-kun, Arato-kun...\You should come join us!\Please put on some clothes! response:	It's fine.
context: It's not like I had any reason to feel that way.\I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono\is that man.\Nakiri-kun, Arato-kun...\You should come join us!\Please put on some clothes!\It's fine. response:	It's comfortable once you get used to it!
context: I did have a premonition...\That perhaps the one who'll save Totsuki from Azami-dono\is that man.\Nakiri-kun, Arato-kun...\You should come join us!\Please put on some clothes!\It's fine.\It's comfortable once you get used to it! response:	I don't even understand that!
context: That perhaps the one who'll save Totsuki from Azami-dono\is that man.\Nakiri-kun, Arato-kun...\You should come join us!\Please put on some clothes!\It's fine.\It's comfortable once you get used to it!\I don't even understand that! response:	Hup!
context: is that man.\Nakiri-kun, Arato-kun...\You should come join us!\Please put on some clothes!\It's fine.\It's comfortable once you get used to it!\I don't even understand that!\Hup! response:	Several Days Later
context: Nakiri-kun, Arato-kun...\You should come join us!\Please put on some clothes!\It's fine.\It's comfortable once you get used to it!\I don't even understand that!\Hup!\Several Days Later response:	Isshiki Satoshi, Seventh Seat of the Elite Ten.
context: You should come join us!\Please put on some clothes!\It's fine.\It's comfortable once you get used to it!\I don't even understand that!\Hup!\Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten. response:	Today, you will step down from the Totsuki Elite Ten Council,
context: Please put on some clothes!\It's fine.\It's comfortable once you get used to it!\I don't even understand that!\Hup!\Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council, response:	Totsuki Elite Ten, Eighth Seat Kuga Terunori
context: It's fine.\It's comfortable once you get used to it!\I don't even understand that!\Hup!\Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori response:	Totsuki Elite Ten, Third Seat Megishima Tosuke
context: It's comfortable once you get used to it!\I don't even understand that!\Hup!\Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke response:	along with the Third Seat, Megishima Tosuke,
context: I don't even understand that!\Hup!\Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke, response:	and the Eighth Seat, Kuga Terunori.
context: Hup!\Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori. response:	This happened faster than I thought it would.
context: Several Days Later\Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would. response:	You are calmer than I thought you'd be.
context: Isshiki Satoshi, Seventh Seat of the Elite Ten.\Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would.\You are calmer than I thought you'd be. response:	I was more than expecting it.
context: Today, you will step down from the Totsuki Elite Ten Council,\Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would.\You are calmer than I thought you'd be.\I was more than expecting it. response:	Someone who does not ascribe to Central's teachings, like me,
context: Totsuki Elite Ten, Eighth Seat Kuga Terunori\Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would.\You are calmer than I thought you'd be.\I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me, response:	in the Elite Ten would only be a hindrance, wouldn't it?
context: Totsuki Elite Ten, Third Seat Megishima Tosuke\along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would.\You are calmer than I thought you'd be.\I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it? response:	It's helpful that you require little explanation.
context: along with the Third Seat, Megishima Tosuke,\and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would.\You are calmer than I thought you'd be.\I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation. response:	The other Elite Ten members are in agreement, as well.
context: and the Eighth Seat, Kuga Terunori.\This happened faster than I thought it would.\You are calmer than I thought you'd be.\I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well. response:	But why, why?
context: This happened faster than I thought it would.\You are calmer than I thought you'd be.\I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well.\But why, why? response:	I don't think we need to kick them out of the Elite Ten! Why?
context: You are calmer than I thought you'd be.\I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well.\But why, why?\I don't think we need to kick them out of the Elite Ten! Why? response:	Well, Kobayashi Rindo was the lone protest.
context: I was more than expecting it.\Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well.\But why, why?\I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest. response:	You aren't forcing Nakiri Erina, your daughter, to step down?
context: Someone who does not ascribe to Central's teachings, like me,\in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well.\But why, why?\I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down? response:	She will eventually return to my side.
context: in the Elite Ten would only be a hindrance, wouldn't it?\It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well.\But why, why?\I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side. response:	I am certain that she will join me in my cause.
context: It's helpful that you require little explanation.\The other Elite Ten members are in agreement, as well.\But why, why?\I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side.\I am certain that she will join me in my cause. response:	Well, thanks to you, we're going to be very busy.
context: The other Elite Ten members are in agreement, as well.\But why, why?\I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side.\I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy. response:	With Shokugeki?
context: But why, why?\I don't think we need to kick them out of the Elite Ten! Why?\Well, Kobayashi Rindo was the lone protest.\You aren't forcing Nakiri Erina, your daughter, to step down?\She will eventually return to my side.\I am certain that she will join me in my cause.\Well, thanks to you, we're going to be very busy.\With Shokugeki? response:	That's right.
