context: Friendship is something that is both fascinating and beautiful. response:	It was thanks to its power that the boy was able to escape the bandits' clutches.
context: In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity.\But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now...\Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting... response:	Have the candidates for the next President been chosen yet?
context: And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity.\But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now...\Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet? response:	The word on the street is that His Excellency Morcerf is the front runner.
context: I even prayed that I would lose my sanity.\But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now...\Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner. response:	You've heard a few things from your father, right, Albert?
context: But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now...\Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert? response:	Maximilien, you should watch your step around Beauchamp.
context: I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now...\Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp. response:	He's a terrible man who will use even his friends' scandals as fodder for articles,
context: Soon... It won't be long now...\Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles, response:	That's what they call impartial journalism.
context: Boy, what a lousy drive that was...\Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism. response:	I read your articles all the time.
context: Maybe it was punishment for skipping the Cabinet meeting...\Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism.\I read your articles all the time. response:	But I do not approve of the content.
context: Have the candidates for the next President been chosen yet?\The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism.\I read your articles all the time.\But I do not approve of the content. response:	I get that all the time.
context: The word on the street is that His Excellency Morcerf is the front runner.\You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism.\I read your articles all the time.\But I do not approve of the content.\I get that all the time. response:	Where are the ladies?
context: You've heard a few things from your father, right, Albert?\Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism.\I read your articles all the time.\But I do not approve of the content.\I get that all the time.\Where are the ladies? response:	They went home, saying something about their dresses being soaked.
context: Maximilien, you should watch your step around Beauchamp.\He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism.\I read your articles all the time.\But I do not approve of the content.\I get that all the time.\Where are the ladies?\They went home, saying something about their dresses being soaked. response:	Renaud's antique, too.
context: He's a terrible man who will use even his friends' scandals as fodder for articles,\That's what they call impartial journalism.\I read your articles all the time.\But I do not approve of the content.\I get that all the time.\Where are the ladies?\They went home, saying something about their dresses being soaked.\Renaud's antique, too. response:	If they'd said something, I would have given them a lift home.
context: That's what they call impartial journalism.\I read your articles all the time.\But I do not approve of the content.\I get that all the time.\Where are the ladies?\They went home, saying something about their dresses being soaked.\Renaud's antique, too.\If they'd said something, I would have given them a lift home. response:	That'd be like tossing food to a monkey.
context: I read your articles all the time.\But I do not approve of the content.\I get that all the time.\Where are the ladies?\They went home, saying something about their dresses being soaked.\Renaud's antique, too.\If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey. response:	So, the Count of Monte Cristo, huh?
context: But I do not approve of the content.\I get that all the time.\Where are the ladies?\They went home, saying something about their dresses being soaked.\Renaud's antique, too.\If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh? response:	I can't say that the name is familiar.
context: I get that all the time.\Where are the ladies?\They went home, saying something about their dresses being soaked.\Renaud's antique, too.\If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh?\I can't say that the name is familiar. response:	There's no documents on him at the Cabinet Secretariat, either.
context: Where are the ladies?\They went home, saying something about their dresses being soaked.\Renaud's antique, too.\If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh?\I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either. response:	It's probably an alias. Or maybe...
context: They went home, saying something about their dresses being soaked.\Renaud's antique, too.\If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh?\I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe... response:	A pretender or a con man, huh?
context: Renaud's antique, too.\If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh?\I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe...\A pretender or a con man, huh? response:	I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.
context: If they'd said something, I would have given them a lift home.\That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh?\I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe...\A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home. response:	Where'd you say that you ran into this honored guest of yours, again?
context: That'd be like tossing food to a monkey.\So, the Count of Monte Cristo, huh?\I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe...\A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again? response:	At Luna's Carnival this past spring.
context: So, the Count of Monte Cristo, huh?\I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe...\A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring. response:	Apparently, the honored son of the family was abducted by bandits.
context: I can't say that the name is familiar.\There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe...\A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits. response:	That's too funny. Were you seduced by one of Luna's wily vixens?
context: There's no documents on him at the Cabinet Secretariat, either.\It's probably an alias. Or maybe...\A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens? response:	Damn it...
context: It's probably an alias. Or maybe...\A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it... response:	And that's when the Count rescued me from their clutches.
context: A pretender or a con man, huh?\I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it...\And that's when the Count rescued me from their clutches. response:	I guess you owe him your life, then.
context: I'll thank you to stop engaging in idle gossip about an honored guest of the Morcerf home.\Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it...\And that's when the Count rescued me from their clutches.\I guess you owe him your life, then. response:	It's clear that he's incredibly wealthy, as well as very kind.
context: Where'd you say that you ran into this honored guest of yours, again?\At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it...\And that's when the Count rescued me from their clutches.\I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind. response:	And would you say that this millionaire's money pouch was stuffed full of forged bills?
context: At Luna's Carnival this past spring.\Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it...\And that's when the Count rescued me from their clutches.\I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills? response:	Look at this!
context: Apparently, the honored son of the family was abducted by bandits.\That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it...\And that's when the Count rescued me from their clutches.\I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this! response:	If he wasn't of noble birth, would he have a watch as beautiful as this?
context: That's too funny. Were you seduced by one of Luna's wily vixens?\Damn it...\And that's when the Count rescued me from their clutches.\I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this? response:	Con artists use trinkets like that all the time to win people's trust.
context: Damn it...\And that's when the Count rescued me from their clutches.\I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust. response:	He's no con artist!
context: And that's when the Count rescued me from their clutches.\I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust.\He's no con artist! response:	He commands a huge spaceship,
context: I guess you owe him your life, then.\It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust.\He's no con artist!\He commands a huge spaceship, response:	In everything he does, he breaks with tradition.
context: It's clear that he's incredibly wealthy, as well as very kind.\And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust.\He's no con artist!\He commands a huge spaceship,\In everything he does, he breaks with tradition. response:	And then, once night falls,
context: And would you say that this millionaire's money pouch was stuffed full of forged bills?\Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust.\He's no con artist!\He commands a huge spaceship,\In everything he does, he breaks with tradition.\And then, once night falls, response:	I wouldn't be surprised if he did.
context: Look at this!\If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust.\He's no con artist!\He commands a huge spaceship,\In everything he does, he breaks with tradition.\And then, once night falls,\I wouldn't be surprised if he did. response:	The Count has a ruthless side that doesn't care about human life at all.
context: If he wasn't of noble birth, would he have a watch as beautiful as this?\Con artists use trinkets like that all the time to win people's trust.\He's no con artist!\He commands a huge spaceship,\In everything he does, he breaks with tradition.\And then, once night falls,\I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all. response:	Franz!
context: Con artists use trinkets like that all the time to win people's trust.\He's no con artist!\He commands a huge spaceship,\In everything he does, he breaks with tradition.\And then, once night falls,\I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all.\Franz! response:	Calm down, Albert!
context: He's no con artist!\He commands a huge spaceship,\In everything he does, he breaks with tradition.\And then, once night falls,\I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all.\Franz!\Calm down, Albert! response:	You know, there was a case of a sailor who contracted a local disease on some planet,
context: He commands a huge spaceship,\In everything he does, he breaks with tradition.\And then, once night falls,\I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all.\Franz!\Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet, response:	You should be careful, too, Albert.
context: In everything he does, he breaks with tradition.\And then, once night falls,\I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all.\Franz!\Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert. response:	I hear they prefer the blood of virgin girls and boys.
context: And then, once night falls,\I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all.\Franz!\Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys. response:	You think he's a vampire or something? That's ridiculous.
context: I wouldn't be surprised if he did.\The Count has a ruthless side that doesn't care about human life at all.\Franz!\Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous. response:	It's a lot more plausible than Lunar bandits.
context: The Count has a ruthless side that doesn't care about human life at all.\Franz!\Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits. response:	Or kindhearted rich people.
context: Franz!\Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits.\Or kindhearted rich people. response:	His Excellency, the Count of Monte Cristo.
context: Calm down, Albert!\You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits.\Or kindhearted rich people.\His Excellency, the Count of Monte Cristo. response:	Show him in at once.
context: You know, there was a case of a sailor who contracted a local disease on some planet,\You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits.\Or kindhearted rich people.\His Excellency, the Count of Monte Cristo.\Show him in at once. response:	I beg your pardon. The door was open.
context: You should be careful, too, Albert.\I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits.\Or kindhearted rich people.\His Excellency, the Count of Monte Cristo.\Show him in at once.\I beg your pardon. The door was open. response:	It's an honor to see you again.
context: I hear they prefer the blood of virgin girls and boys.\You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits.\Or kindhearted rich people.\His Excellency, the Count of Monte Cristo.\Show him in at once.\I beg your pardon. The door was open.\It's an honor to see you again. response:	The honor is all mine, Viscount Morcerf.
context: You think he's a vampire or something? That's ridiculous.\It's a lot more plausible than Lunar bandits.\Or kindhearted rich people.\His Excellency, the Count of Monte Cristo.\Show him in at once.\I beg your pardon. The door was open.\It's an honor to see you again.\The honor is all mine, Viscount Morcerf. response:	Please, call me Albert.
context: It's a lot more plausible than Lunar bandits.\Or kindhearted rich people.\His Excellency, the Count of Monte Cristo.\Show him in at once.\I beg your pardon. The door was open.\It's an honor to see you again.\The honor is all mine, Viscount Morcerf.\Please, call me Albert. response:	Surely you and I are on familiar terms by now, Count.
context: Or kindhearted rich people.\His Excellency, the Count of Monte Cristo.\Show him in at once.\I beg your pardon. The door was open.\It's an honor to see you again.\The honor is all mine, Viscount Morcerf.\Please, call me Albert.\Surely you and I are on familiar terms by now, Count. response:	And now, as promised, allow me to introduce you to my friends.
context: His Excellency, the Count of Monte Cristo.\Show him in at once.\I beg your pardon. The door was open.\It's an honor to see you again.\The honor is all mine, Viscount Morcerf.\Please, call me Albert.\Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends. response:	You already know Franz.
context: Show him in at once.\I beg your pardon. The door was open.\It's an honor to see you again.\The honor is all mine, Viscount Morcerf.\Please, call me Albert.\Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends.\You already know Franz. response:	This is Lucien Debray.
context: I beg your pardon. The door was open.\It's an honor to see you again.\The honor is all mine, Viscount Morcerf.\Please, call me Albert.\Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends.\You already know Franz.\This is Lucien Debray. response:	He is a shrewd civil servant, who already holds a key position in the Interior Ministry...
context: It's an honor to see you again.\The honor is all mine, Viscount Morcerf.\Please, call me Albert.\Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends.\You already know Franz.\This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry... response:	This is Beauchamp. He's a newspaper reporter.
context: The honor is all mine, Viscount Morcerf.\Please, call me Albert.\Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends.\You already know Franz.\This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter. response:	He can tell you anything you might want to know about Paris.
context: Please, call me Albert.\Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends.\You already know Franz.\This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris. response:	Admittedly, it's more of a third-rate gossip sheet than a newspaper.
context: Surely you and I are on familiar terms by now, Count.\And now, as promised, allow me to introduce you to my friends.\You already know Franz.\This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper. response:	Most fascinating.
context: And now, as promised, allow me to introduce you to my friends.\You already know Franz.\This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating. response:	Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.
context: You already know Franz.\This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign. response:	Nice to meet you.
context: This is Lucien Debray.\He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you. response:	Ah, the very paragon of a faithful, brave soldier, I see.
context: He is a shrewd civil servant, who already holds a key position in the Interior Ministry...\This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see. response:	You know the Captain?
context: This is Beauchamp. He's a newspaper reporter.\He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain? response:	Not at all.
context: He can tell you anything you might want to know about Paris.\Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain?\Not at all. response:	We've heard that you've come to us from somewhere far away.
context: Admittedly, it's more of a third-rate gossip sheet than a newspaper.\Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain?\Not at all.\We've heard that you've come to us from somewhere far away. response:	You're trying to interview him already? Don't be rude to our guest.
context: Most fascinating.\Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain?\Not at all.\We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest. response:	I'm just doing my job.
context: Cavalry Captain Maximilien Morrel, hero of the Eridanus campaign.\Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain?\Not at all.\We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job. response:	On many worlds, photographs are seen as an abominable custom.
context: Nice to meet you.\Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain?\Not at all.\We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job.\On many worlds, photographs are seen as an abominable custom. response:	I must ask you to abstain.
context: Ah, the very paragon of a faithful, brave soldier, I see.\You know the Captain?\Not at all.\We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job.\On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain. response:	Sorry, sorry...
context: You know the Captain?\Not at all.\We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job.\On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain.\Sorry, sorry... response:	In the course of visiting many foreign lands as a sailor,
context: Not at all.\We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job.\On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain.\Sorry, sorry...\In the course of visiting many foreign lands as a sailor, response:	I must seem quite the savage to the people of Paris.
context: We've heard that you've come to us from somewhere far away.\You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job.\On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain.\Sorry, sorry...\In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris. response:	What sorts of places have you been to?
context: You're trying to interview him already? Don't be rude to our guest.\I'm just doing my job.\On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain.\Sorry, sorry...\In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris.\What sorts of places have you been to? response:	I have traveled to many places.
context: I'm just doing my job.\On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain.\Sorry, sorry...\In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris.\What sorts of places have you been to?\I have traveled to many places. response:	To Eastern Space. To Northern Space. Even to the core of the galaxy.
context: On many worlds, photographs are seen as an abominable custom.\I must ask you to abstain.\Sorry, sorry...\In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris.\What sorts of places have you been to?\I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy. response:	Even the lmperium?
context: I must ask you to abstain.\Sorry, sorry...\In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris.\What sorts of places have you been to?\I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium? response:	Of course. To a sailor, there are no such things as borders.
context: Sorry, sorry...\In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris.\What sorts of places have you been to?\I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium?\Of course. To a sailor, there are no such things as borders. response:	Could that not be considered treason against the state?
context: In the course of visiting many foreign lands as a sailor,\I must seem quite the savage to the people of Paris.\What sorts of places have you been to?\I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium?\Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state? response:	I see no reason to swear loyalty to people who do nothing to protect me.
context: I must seem quite the savage to the people of Paris.\What sorts of places have you been to?\I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium?\Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me. response:	Do you not agree?
context: What sorts of places have you been to?\I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium?\Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree? response:	I see you possess rather bold opinions.
context: I have traveled to many places.\To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium?\Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree?\I see you possess rather bold opinions. response:	True enough.
context: To Eastern Space. To Northern Space. Even to the core of the galaxy.\Even the lmperium?\Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree?\I see you possess rather bold opinions.\True enough. response:	I suggest that you experience being cast out into the vast universe all alone.
context: Even the lmperium?\Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree?\I see you possess rather bold opinions.\True enough.\I suggest that you experience being cast out into the vast universe all alone. response:	I expect that you will soon understand that the only person one can count upon is oneself.
context: Of course. To a sailor, there are no such things as borders.\Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree?\I see you possess rather bold opinions.\True enough.\I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself. response:	Set the table for tea at once.
context: Could that not be considered treason against the state?\I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree?\I see you possess rather bold opinions.\True enough.\I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once. response:	And where do you hail from?
context: I see no reason to swear loyalty to people who do nothing to protect me.\Do you not agree?\I see you possess rather bold opinions.\True enough.\I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once.\And where do you hail from? response:	I came into this world in a land that is beyond your imagination.
context: Do you not agree?\I see you possess rather bold opinions.\True enough.\I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once.\And where do you hail from?\I came into this world in a land that is beyond your imagination. response:	A place that you'd rather not mention?
context: I see you possess rather bold opinions.\True enough.\I suggest that you experience being cast out into the vast universe all alone.\I expect that you will soon understand that the only person one can count upon is oneself.\Set the table for tea at once.\And where do you hail from?\I came into this world in a land that is beyond your imagination.\A place that you'd rather not mention? response:	Franz! Don't be rude!
