context: I begin my weekends by feeding the birds. response:	After that, I go jogging.
context: All I could figure out is that he rented porn.\Please, help me.\What's he want?\I don't know, but he sounded weak.\He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru.\Is Sawako okay? response:	She won't become a bad girl?
context: Please, help me.\What's he want?\I don't know, but he sounded weak.\He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru.\Is Sawako okay?\She won't become a bad girl? response:	Hey, look, five cakes!
context: What's he want?\I don't know, but he sounded weak.\He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru.\Is Sawako okay?\She won't become a bad girl?\Hey, look, five cakes! response:	She bought enough for us too.
context: I don't know, but he sounded weak.\He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru.\Is Sawako okay?\She won't become a bad girl?\Hey, look, five cakes!\She bought enough for us too. response:	She's so kind.
context: He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru.\Is Sawako okay?\She won't become a bad girl?\Hey, look, five cakes!\She bought enough for us too.\She's so kind. response:	Thank you.
context: Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru.\Is Sawako okay?\She won't become a bad girl?\Hey, look, five cakes!\She bought enough for us too.\She's so kind.\Thank you. response:	Oh, don't bother.
context: I wonder if she'd want to see Maru.\Is Sawako okay?\She won't become a bad girl?\Hey, look, five cakes!\She bought enough for us too.\She's so kind.\Thank you.\Oh, don't bother. response:	They're telling ghost stories in there, so I ran away.
context: Is Sawako okay?\She won't become a bad girl?\Hey, look, five cakes!\She bought enough for us too.\She's so kind.\Thank you.\Oh, don't bother.\They're telling ghost stories in there, so I ran away. response:	Just leave those there.
context: She won't become a bad girl?\Hey, look, five cakes!\She bought enough for us too.\She's so kind.\Thank you.\Oh, don't bother.\They're telling ghost stories in there, so I ran away.\Just leave those there. response:	Let me wash them.
context: Hey, look, five cakes!\She bought enough for us too.\She's so kind.\Thank you.\Oh, don't bother.\They're telling ghost stories in there, so I ran away.\Just leave those there.\Let me wash them. response:	Can I use this?
context: She bought enough for us too.\She's so kind.\Thank you.\Oh, don't bother.\They're telling ghost stories in there, so I ran away.\Just leave those there.\Let me wash them.\Can I use this? response:	I'm so awesome at washing dishes.
context: She's so kind.\Thank you.\Oh, don't bother.\They're telling ghost stories in there, so I ran away.\Just leave those there.\Let me wash them.\Can I use this?\I'm so awesome at washing dishes. response:	See, so fast, so clean!
context: Thank you.\Oh, don't bother.\They're telling ghost stories in there, so I ran away.\Just leave those there.\Let me wash them.\Can I use this?\I'm so awesome at washing dishes.\See, so fast, so clean! response:	Oh my.
context: Oh, don't bother.\They're telling ghost stories in there, so I ran away.\Just leave those there.\Let me wash them.\Can I use this?\I'm so awesome at washing dishes.\See, so fast, so clean!\Oh my. response:	See!
context: They're telling ghost stories in there, so I ran away.\Just leave those there.\Let me wash them.\Can I use this?\I'm so awesome at washing dishes.\See, so fast, so clean!\Oh my.\See! response:	Thanks, you didn't have to.
context: Just leave those there.\Let me wash them.\Can I use this?\I'm so awesome at washing dishes.\See, so fast, so clean!\Oh my.\See!\Thanks, you didn't have to. response:	Nah, I'm trying to show off here.
context: Let me wash them.\Can I use this?\I'm so awesome at washing dishes.\See, so fast, so clean!\Oh my.\See!\Thanks, you didn't have to.\Nah, I'm trying to show off here. response:	Sawako's got her dad's brows, eyes and nose.
context: Can I use this?\I'm so awesome at washing dishes.\See, so fast, so clean!\Oh my.\See!\Thanks, you didn't have to.\Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose. response:	And her mom's profile and mouth.
context: I'm so awesome at washing dishes.\See, so fast, so clean!\Oh my.\See!\Thanks, you didn't have to.\Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth. response:	That's awesome.
context: See, so fast, so clean!\Oh my.\See!\Thanks, you didn't have to.\Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth.\That's awesome. response:	Oh...
context: Oh my.\See!\Thanks, you didn't have to.\Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth.\That's awesome.\Oh... response:	Wow.
context: See!\Thanks, you didn't have to.\Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth.\That's awesome.\Oh...\Wow. response:	Later.
context: Thanks, you didn't have to.\Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth.\That's awesome.\Oh...\Wow.\Later. response:	What's up, Kazehaya?
context: Nah, I'm trying to show off here.\Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth.\That's awesome.\Oh...\Wow.\Later.\What's up, Kazehaya? response:	They're both nice girls.
context: Sawako's got her dad's brows, eyes and nose.\And her mom's profile and mouth.\That's awesome.\Oh...\Wow.\Later.\What's up, Kazehaya?\They're both nice girls. response:	See?
context: And her mom's profile and mouth.\That's awesome.\Oh...\Wow.\Later.\What's up, Kazehaya?\They're both nice girls.\See? response:	Huh?
context: That's awesome.\Oh...\Wow.\Later.\What's up, Kazehaya?\They're both nice girls.\See?\Huh? response:	Yeah sure, I'll go.
context: Oh...\Wow.\Later.\What's up, Kazehaya?\They're both nice girls.\See?\Huh?\Yeah sure, I'll go. response:	Yeah.
context: Wow.\Later.\What's up, Kazehaya?\They're both nice girls.\See?\Huh?\Yeah sure, I'll go.\Yeah. response:	Ew, gross.
context: Later.\What's up, Kazehaya?\They're both nice girls.\See?\Huh?\Yeah sure, I'll go.\Yeah.\Ew, gross. response:	I'm a bit worried.
context: What's up, Kazehaya?\They're both nice girls.\See?\Huh?\Yeah sure, I'll go.\Yeah.\Ew, gross.\I'm a bit worried. response:	Maru's here too.
context: They're both nice girls.\See?\Huh?\Yeah sure, I'll go.\Yeah.\Ew, gross.\I'm a bit worried.\Maru's here too. response:	Maru-chan?
context: See?\Huh?\Yeah sure, I'll go.\Yeah.\Ew, gross.\I'm a bit worried.\Maru's here too.\Maru-chan? response:	Kazehaya-kun?
context: Huh?\Yeah sure, I'll go.\Yeah.\Ew, gross.\I'm a bit worried.\Maru's here too.\Maru-chan?\Kazehaya-kun? response:	Yeah.
context: Yeah sure, I'll go.\Yeah.\Ew, gross.\I'm a bit worried.\Maru's here too.\Maru-chan?\Kazehaya-kun?\Yeah. response:	Kuronuma?
context: Yeah.\Ew, gross.\I'm a bit worried.\Maru's here too.\Maru-chan?\Kazehaya-kun?\Yeah.\Kuronuma? response:	Pin's sick or something.
context: Ew, gross.\I'm a bit worried.\Maru's here too.\Maru-chan?\Kazehaya-kun?\Yeah.\Kuronuma?\Pin's sick or something. response:	He wants to talk to you.
context: I'm a bit worried.\Maru's here too.\Maru-chan?\Kazehaya-kun?\Yeah.\Kuronuma?\Pin's sick or something.\He wants to talk to you. response:	Let's all go to his place.
context: Maru's here too.\Maru-chan?\Kazehaya-kun?\Yeah.\Kuronuma?\Pin's sick or something.\He wants to talk to you.\Let's all go to his place. response:	I knew it.
context: Maru-chan?\Kazehaya-kun?\Yeah.\Kuronuma?\Pin's sick or something.\He wants to talk to you.\Let's all go to his place.\I knew it. response:	I guess it's too late for gargling if you're already in the nasal stage.
context: Kazehaya-kun?\Yeah.\Kuronuma?\Pin's sick or something.\He wants to talk to you.\Let's all go to his place.\I knew it.\I guess it's too late for gargling if you're already in the nasal stage. response:	I'll be right there.
context: Yeah.\Kuronuma?\Pin's sick or something.\He wants to talk to you.\Let's all go to his place.\I knew it.\I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there. response:	Please do.
context: Kuronuma?\Pin's sick or something.\He wants to talk to you.\Let's all go to his place.\I knew it.\I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there.\Please do. response:	I bet Maru wants to see you too.
context: Pin's sick or something.\He wants to talk to you.\Let's all go to his place.\I knew it.\I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there.\Please do.\I bet Maru wants to see you too. response:	That's it?
context: He wants to talk to you.\Let's all go to his place.\I knew it.\I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there.\Please do.\I bet Maru wants to see you too.\That's it? response:	What?
context: Let's all go to his place.\I knew it.\I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there.\Please do.\I bet Maru wants to see you too.\That's it?\What? response:	Shouldn't you have said you wanted to see her too?
context: I knew it.\I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there.\Please do.\I bet Maru wants to see you too.\That's it?\What?\Shouldn't you have said you wanted to see her too? response:	I mean, I thought you would.
context: I guess it's too late for gargling if you're already in the nasal stage.\I'll be right there.\Please do.\I bet Maru wants to see you too.\That's it?\What?\Shouldn't you have said you wanted to see her too?\I mean, I thought you would. response:	Hell no.
context: I'll be right there.\Please do.\I bet Maru wants to see you too.\That's it?\What?\Shouldn't you have said you wanted to see her too?\I mean, I thought you would.\Hell no. response:	Today's a good day.
context: Please do.\I bet Maru wants to see you too.\That's it?\What?\Shouldn't you have said you wanted to see her too?\I mean, I thought you would.\Hell no.\Today's a good day. response:	And I even get to meet Kazehaya-kun.
context: I bet Maru wants to see you too.\That's it?\What?\Shouldn't you have said you wanted to see her too?\I mean, I thought you would.\Hell no.\Today's a good day.\And I even get to meet Kazehaya-kun. response:	Yo, get in.
context: That's it?\What?\Shouldn't you have said you wanted to see her too?\I mean, I thought you would.\Hell no.\Today's a good day.\And I even get to meet Kazehaya-kun.\Yo, get in. response:	I'm screwed.
context: What?\Shouldn't you have said you wanted to see her too?\I mean, I thought you would.\Hell no.\Today's a good day.\And I even get to meet Kazehaya-kun.\Yo, get in.\I'm screwed. response:	Such a mess.
context: Shouldn't you have said you wanted to see her too?\I mean, I thought you would.\Hell no.\Today's a good day.\And I even get to meet Kazehaya-kun.\Yo, get in.\I'm screwed.\Such a mess. response:	How's it looking for me?
context: I mean, I thought you would.\Hell no.\Today's a good day.\And I even get to meet Kazehaya-kun.\Yo, get in.\I'm screwed.\Such a mess.\How's it looking for me? response:	Terrible.
context: Hell no.\Today's a good day.\And I even get to meet Kazehaya-kun.\Yo, get in.\I'm screwed.\Such a mess.\How's it looking for me?\Terrible. response:	Just stay in your blanket.
context: Today's a good day.\And I even get to meet Kazehaya-kun.\Yo, get in.\I'm screwed.\Such a mess.\How's it looking for me?\Terrible.\Just stay in your blanket. response:	A cold.
context: And I even get to meet Kazehaya-kun.\Yo, get in.\I'm screwed.\Such a mess.\How's it looking for me?\Terrible.\Just stay in your blanket.\A cold. response:	A cold.
context: Yo, get in.\I'm screwed.\Such a mess.\How's it looking for me?\Terrible.\Just stay in your blanket.\A cold.\A cold. response:	Just a cold.
context: I'm screwed.\Such a mess.\How's it looking for me?\Terrible.\Just stay in your blanket.\A cold.\A cold.\Just a cold. response:	I brought some stuff.
context: Such a mess.\How's it looking for me?\Terrible.\Just stay in your blanket.\A cold.\A cold.\Just a cold.\I brought some stuff. response:	To banish the spirits?
context: How's it looking for me?\Terrible.\Just stay in your blanket.\A cold.\A cold.\Just a cold.\I brought some stuff.\To banish the spirits? response:	I'll do it.
context: Terrible.\Just stay in your blanket.\A cold.\A cold.\Just a cold.\I brought some stuff.\To banish the spirits?\I'll do it. response:	Cold!
context: Just stay in your blanket.\A cold.\A cold.\Just a cold.\I brought some stuff.\To banish the spirits?\I'll do it.\Cold! response:	I'll do it.
context: A cold.\A cold.\Just a cold.\I brought some stuff.\To banish the spirits?\I'll do it.\Cold!\I'll do it. response:	And this.
context: A cold.\Just a cold.\I brought some stuff.\To banish the spirits?\I'll do it.\Cold!\I'll do it.\And this. response:	Here.
context: Just a cold.\I brought some stuff.\To banish the spirits?\I'll do it.\Cold!\I'll do it.\And this.\Here. response:	Next...
context: I brought some stuff.\To banish the spirits?\I'll do it.\Cold!\I'll do it.\And this.\Here.\Next... response:	Why am I acting like his boyfriend?
context: To banish the spirits?\I'll do it.\Cold!\I'll do it.\And this.\Here.\Next...\Why am I acting like his boyfriend? response:	He's so dependable!
context: I'll do it.\Cold!\I'll do it.\And this.\Here.\Next...\Why am I acting like his boyfriend?\He's so dependable! response:	Hey,
context: Cold!\I'll do it.\And this.\Here.\Next...\Why am I acting like his boyfriend?\He's so dependable!\Hey, response:	do you think I'm okay?
context: I'll do it.\And this.\Here.\Next...\Why am I acting like his boyfriend?\He's so dependable!\Hey,\do you think I'm okay? response:	Is this room okay?
context: And this.\Here.\Next...\Why am I acting like his boyfriend?\He's so dependable!\Hey,\do you think I'm okay?\Is this room okay? response:	What are you growling at, Pedro?
context: Here.\Next...\Why am I acting like his boyfriend?\He's so dependable!\Hey,\do you think I'm okay?\Is this room okay?\What are you growling at, Pedro? response:	There was this scratching sound yesterday night too.
context: Next...\Why am I acting like his boyfriend?\He's so dependable!\Hey,\do you think I'm okay?\Is this room okay?\What are you growling at, Pedro?\There was this scratching sound yesterday night too. response:	He's hearing things because of the fever.
context: Why am I acting like his boyfriend?\He's so dependable!\Hey,\do you think I'm okay?\Is this room okay?\What are you growling at, Pedro?\There was this scratching sound yesterday night too.\He's hearing things because of the fever. response:	You're fine, please just get some rest and sleep.
context: He's so dependable!\Hey,\do you think I'm okay?\Is this room okay?\What are you growling at, Pedro?\There was this scratching sound yesterday night too.\He's hearing things because of the fever.\You're fine, please just get some rest and sleep. response:	Your room might take some time.
context: Hey,\do you think I'm okay?\Is this room okay?\What are you growling at, Pedro?\There was this scratching sound yesterday night too.\He's hearing things because of the fever.\You're fine, please just get some rest and sleep.\Your room might take some time. response:	I'll clean it.
context: do you think I'm okay?\Is this room okay?\What are you growling at, Pedro?\There was this scratching sound yesterday night too.\He's hearing things because of the fever.\You're fine, please just get some rest and sleep.\Your room might take some time.\I'll clean it. response:	I'm pretty good at that.
context: Is this room okay?\What are you growling at, Pedro?\There was this scratching sound yesterday night too.\He's hearing things because of the fever.\You're fine, please just get some rest and sleep.\Your room might take some time.\I'll clean it.\I'm pretty good at that. response:	A purification, huh?
context: What are you growling at, Pedro?\There was this scratching sound yesterday night too.\He's hearing things because of the fever.\You're fine, please just get some rest and sleep.\Your room might take some time.\I'll clean it.\I'm pretty good at that.\A purification, huh? response:	I like cleaning.
context: There was this scratching sound yesterday night too.\He's hearing things because of the fever.\You're fine, please just get some rest and sleep.\Your room might take some time.\I'll clean it.\I'm pretty good at that.\A purification, huh?\I like cleaning. response:	You want me to tell you a story until you fall asleep?
context: He's hearing things because of the fever.\You're fine, please just get some rest and sleep.\Your room might take some time.\I'll clean it.\I'm pretty good at that.\A purification, huh?\I like cleaning.\You want me to tell you a story until you fall asleep? response:	What?
context: You're fine, please just get some rest and sleep.\Your room might take some time.\I'll clean it.\I'm pretty good at that.\A purification, huh?\I like cleaning.\You want me to tell you a story until you fall asleep?\What? response:	Do it.
context: Your room might take some time.\I'll clean it.\I'm pretty good at that.\A purification, huh?\I like cleaning.\You want me to tell you a story until you fall asleep?\What?\Do it. response:	I just heard this.
context: I'll clean it.\I'm pretty good at that.\A purification, huh?\I like cleaning.\You want me to tell you a story until you fall asleep?\What?\Do it.\I just heard this. response:	This actually happened in this neighborhood.
context: I'm pretty good at that.\A purification, huh?\I like cleaning.\You want me to tell you a story until you fall asleep?\What?\Do it.\I just heard this.\This actually happened in this neighborhood. response:	A man lived alone in an apartment.
context: A purification, huh?\I like cleaning.\You want me to tell you a story until you fall asleep?\What?\Do it.\I just heard this.\This actually happened in this neighborhood.\A man lived alone in an apartment. response:	He heard knocking every night.
context: I like cleaning.\You want me to tell you a story until you fall asleep?\What?\Do it.\I just heard this.\This actually happened in this neighborhood.\A man lived alone in an apartment.\He heard knocking every night. response:	He opens the door, but there's no one there.
context: You want me to tell you a story until you fall asleep?\What?\Do it.\I just heard this.\This actually happened in this neighborhood.\A man lived alone in an apartment.\He heard knocking every night.\He opens the door, but there's no one there. response:	Indeed, in that apartment, in that very room...
context: What?\Do it.\I just heard this.\This actually happened in this neighborhood.\A man lived alone in an apartment.\He heard knocking every night.\He opens the door, but there's no one there.\Indeed, in that apartment, in that very room... response:	He sleeps pretty well for someone who just freaked out.
context: Do it.\I just heard this.\This actually happened in this neighborhood.\A man lived alone in an apartment.\He heard knocking every night.\He opens the door, but there's no one there.\Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out. response:	It's Kazehaya-kun when he was little.
context: I just heard this.\This actually happened in this neighborhood.\A man lived alone in an apartment.\He heard knocking every night.\He opens the door, but there's no one there.\Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little. response:	S-S-Sorry.
context: This actually happened in this neighborhood.\A man lived alone in an apartment.\He heard knocking every night.\He opens the door, but there's no one there.\Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little.\S-S-Sorry. response:	I've infringed on your privacy.
context: A man lived alone in an apartment.\He heard knocking every night.\He opens the door, but there's no one there.\Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little.\S-S-Sorry.\I've infringed on your privacy. response:	No, I mean, it's embarrassing.
context: He heard knocking every night.\He opens the door, but there's no one there.\Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little.\S-S-Sorry.\I've infringed on your privacy.\No, I mean, it's embarrassing. response:	I'm crying because I lost in a game.
context: He opens the door, but there's no one there.\Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little.\S-S-Sorry.\I've infringed on your privacy.\No, I mean, it's embarrassing.\I'm crying because I lost in a game. response:	Pin laughed at me so much.
context: Indeed, in that apartment, in that very room...\He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little.\S-S-Sorry.\I've infringed on your privacy.\No, I mean, it's embarrassing.\I'm crying because I lost in a game.\Pin laughed at me so much. response:	Can I see it again?
context: He sleeps pretty well for someone who just freaked out.\It's Kazehaya-kun when he was little.\S-S-Sorry.\I've infringed on your privacy.\No, I mean, it's embarrassing.\I'm crying because I lost in a game.\Pin laughed at me so much.\Can I see it again? response:	No.
context: It's Kazehaya-kun when he was little.\S-S-Sorry.\I've infringed on your privacy.\No, I mean, it's embarrassing.\I'm crying because I lost in a game.\Pin laughed at me so much.\Can I see it again?\No. response:	Oh yeah, aren't you going to play with Maru?
context: S-S-Sorry.\I've infringed on your privacy.\No, I mean, it's embarrassing.\I'm crying because I lost in a game.\Pin laughed at me so much.\Can I see it again?\No.\Oh yeah, aren't you going to play with Maru? response:	I didn't want to get in Sanada-kun's way.
context: I've infringed on your privacy.\No, I mean, it's embarrassing.\I'm crying because I lost in a game.\Pin laughed at me so much.\Can I see it again?\No.\Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way. response:	Y-You should go play with him.
context: No, I mean, it's embarrassing.\I'm crying because I lost in a game.\Pin laughed at me so much.\Can I see it again?\No.\Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way.\Y-You should go play with him. response:	Seriously, just go out already.
context: I'm crying because I lost in a game.\Pin laughed at me so much.\Can I see it again?\No.\Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way.\Y-You should go play with him.\Seriously, just go out already. response:	So cute...
context: Pin laughed at me so much.\Can I see it again?\No.\Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way.\Y-You should go play with him.\Seriously, just go out already.\So cute... response:	He sleeps so peacefully...
context: Can I see it again?\No.\Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way.\Y-You should go play with him.\Seriously, just go out already.\So cute...\He sleeps so peacefully... response:	He really does.
context: No.\Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way.\Y-You should go play with him.\Seriously, just go out already.\So cute...\He sleeps so peacefully...\He really does. response:	I feel lighter.
context: Oh yeah, aren't you going to play with Maru?\I didn't want to get in Sanada-kun's way.\Y-You should go play with him.\Seriously, just go out already.\So cute...\He sleeps so peacefully...\He really does.\I feel lighter. response:	The medication kicked in.
context: I didn't want to get in Sanada-kun's way.\Y-You should go play with him.\Seriously, just go out already.\So cute...\He sleeps so peacefully...\He really does.\I feel lighter.\The medication kicked in. response:	The room smells different.
context: Y-You should go play with him.\Seriously, just go out already.\So cute...\He sleeps so peacefully...\He really does.\I feel lighter.\The medication kicked in.\The room smells different. response:	It's been changed.
context: Seriously, just go out already.\So cute...\He sleeps so peacefully...\He really does.\I feel lighter.\The medication kicked in.\The room smells different.\It's been changed. response:	You're awesome!
context: So cute...\He sleeps so peacefully...\He really does.\I feel lighter.\The medication kicked in.\The room smells different.\It's been changed.\You're awesome! response:	I'm going to ask you next time I'm haunted.
context: He sleeps so peacefully...\He really does.\I feel lighter.\The medication kicked in.\The room smells different.\It's been changed.\You're awesome!\I'm going to ask you next time I'm haunted. response:	What, you're still here?
context: He really does.\I feel lighter.\The medication kicked in.\The room smells different.\It's been changed.\You're awesome!\I'm going to ask you next time I'm haunted.\What, you're still here? response:	Go home, pesky brats.
context: I feel lighter.\The medication kicked in.\The room smells different.\It's been changed.\You're awesome!\I'm going to ask you next time I'm haunted.\What, you're still here?\Go home, pesky brats. response:	We're never coming back.
context: The medication kicked in.\The room smells different.\It's been changed.\You're awesome!\I'm going to ask you next time I'm haunted.\What, you're still here?\Go home, pesky brats.\We're never coming back. response:	T-Take care.
context: The room smells different.\It's been changed.\You're awesome!\I'm going to ask you next time I'm haunted.\What, you're still here?\Go home, pesky brats.\We're never coming back.\T-Take care. response:	Let me know if there's anything you want to talk about.
context: It's been changed.\You're awesome!\I'm going to ask you next time I'm haunted.\What, you're still here?\Go home, pesky brats.\We're never coming back.\T-Take care.\Let me know if there's anything you want to talk about. response:	I know everything about Shouta and Ryu.
context: You're awesome!\I'm going to ask you next time I'm haunted.\What, you're still here?\Go home, pesky brats.\We're never coming back.\T-Take care.\Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu. response:	Come talk to me and I'll tell you their soft spots.
context: I'm going to ask you next time I'm haunted.\What, you're still here?\Go home, pesky brats.\We're never coming back.\T-Take care.\Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots. response:	They better not be talking smack.
context: What, you're still here?\Go home, pesky brats.\We're never coming back.\T-Take care.\Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots.\They better not be talking smack. response:	Really?
context: Go home, pesky brats.\We're never coming back.\T-Take care.\Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots.\They better not be talking smack.\Really? response:	No doubt.
context: We're never coming back.\T-Take care.\Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots.\They better not be talking smack.\Really?\No doubt. response:	Try it out when you want to thank him.
context: T-Take care.\Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots.\They better not be talking smack.\Really?\No doubt.\Try it out when you want to thank him. response:	He'll love it.
context: Let me know if there's anything you want to talk about.\I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots.\They better not be talking smack.\Really?\No doubt.\Try it out when you want to thank him.\He'll love it. response:	He'll love it?
context: I know everything about Shouta and Ryu.\Come talk to me and I'll tell you their soft spots.\They better not be talking smack.\Really?\No doubt.\Try it out when you want to thank him.\He'll love it.\He'll love it? response:	This is awesome, I feel so much better.
context: Come talk to me and I'll tell you their soft spots.\They better not be talking smack.\Really?\No doubt.\Try it out when you want to thank him.\He'll love it.\He'll love it?\This is awesome, I feel so much better. response:	Huh, forget something?
context: They better not be talking smack.\Really?\No doubt.\Try it out when you want to thank him.\He'll love it.\He'll love it?\This is awesome, I feel so much better.\Huh, forget something? response:	Sawako's cake was so good.
context: Really?\No doubt.\Try it out when you want to thank him.\He'll love it.\He'll love it?\This is awesome, I feel so much better.\Huh, forget something?\Sawako's cake was so good. response:	It ended sort of weird, but I'll come over again.
context: No doubt.\Try it out when you want to thank him.\He'll love it.\He'll love it?\This is awesome, I feel so much better.\Huh, forget something?\Sawako's cake was so good.\It ended sort of weird, but I'll come over again. response:	Yes, please do!
context: Try it out when you want to thank him.\He'll love it.\He'll love it?\This is awesome, I feel so much better.\Huh, forget something?\Sawako's cake was so good.\It ended sort of weird, but I'll come over again.\Yes, please do! response:	I sort of don't want to part, since we were together all day.
context: He'll love it.\He'll love it?\This is awesome, I feel so much better.\Huh, forget something?\Sawako's cake was so good.\It ended sort of weird, but I'll come over again.\Yes, please do!\I sort of don't want to part, since we were together all day. response:	The longer we're together, the harder it is to say bye.
context: He'll love it?\This is awesome, I feel so much better.\Huh, forget something?\Sawako's cake was so good.\It ended sort of weird, but I'll come over again.\Yes, please do!\I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye. response:	I'm going this way.
context: This is awesome, I feel so much better.\Huh, forget something?\Sawako's cake was so good.\It ended sort of weird, but I'll come over again.\Yes, please do!\I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye.\I'm going this way. response:	Take care.
context: Huh, forget something?\Sawako's cake was so good.\It ended sort of weird, but I'll come over again.\Yes, please do!\I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye.\I'm going this way.\Take care. response:	Walk her home, Kazehaya.
context: Sawako's cake was so good.\It ended sort of weird, but I'll come over again.\Yes, please do!\I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye.\I'm going this way.\Take care.\Walk her home, Kazehaya. response:	Yeah, it's really dark, it's dangerous.
context: It ended sort of weird, but I'll come over again.\Yes, please do!\I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye.\I'm going this way.\Take care.\Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous. response:	It's fine, I'll be careful not to scare anyone.
context: Yes, please do!\I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye.\I'm going this way.\Take care.\Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone. response:	Okay.
context: I sort of don't want to part, since we were together all day.\The longer we're together, the harder it is to say bye.\I'm going this way.\Take care.\Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone.\Okay. response:	I'll walk you home.
context: The longer we're together, the harder it is to say bye.\I'm going this way.\Take care.\Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone.\Okay.\I'll walk you home. response:	But...
context: I'm going this way.\Take care.\Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone.\Okay.\I'll walk you home.\But... response:	Tell me if you don't want me to.
context: Take care.\Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone.\Okay.\I'll walk you home.\But...\Tell me if you don't want me to. response:	That's not it.
context: Walk her home, Kazehaya.\Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone.\Okay.\I'll walk you home.\But...\Tell me if you don't want me to.\That's not it. response:	I'll go too, then.
context: Yeah, it's really dark, it's dangerous.\It's fine, I'll be careful not to scare anyone.\Okay.\I'll walk you home.\But...\Tell me if you don't want me to.\That's not it.\I'll go too, then. response:	You idiot.
context: It's fine, I'll be careful not to scare anyone.\Okay.\I'll walk you home.\But...\Tell me if you don't want me to.\That's not it.\I'll go too, then.\You idiot. response:	You're coming this way.
