context: The American Industrial 30 Average fell for the third day in a row, response:	marking the largest drop this year
context: brother in the real world...\It's true.\You were so close, that you followed him\to this virtual world because you were worried.\The Angel Boat, located in\the real world, staged a revolt against humanity.\The Council of the Seven Virtues went into action,\and that was the start of everything. response:	Why the Council of the Seven Virtues?
context: It's true.\You were so close, that you followed him\to this virtual world because you were worried.\The Angel Boat, located in\the real world, staged a revolt against humanity.\The Council of the Seven Virtues went into action,\and that was the start of everything.\Why the Council of the Seven Virtues? response:	They're only a special organization within Bladefield.
context: You were so close, that you followed him\to this virtual world because you were worried.\The Angel Boat, located in\the real world, staged a revolt against humanity.\The Council of the Seven Virtues went into action,\and that was the start of everything.\Why the Council of the Seven Virtues?\They're only a special organization within Bladefield. response:	That's only what they wanted everyone to think. Right?
context: to this virtual world because you were worried.\The Angel Boat, located in\the real world, staged a revolt against humanity.\The Council of the Seven Virtues went into action,\and that was the start of everything.\Why the Council of the Seven Virtues?\They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right? response:	I'm starting to remember.
context: The Angel Boat, located in\the real world, staged a revolt against humanity.\The Council of the Seven Virtues went into action,\and that was the start of everything.\Why the Council of the Seven Virtues?\They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right?\I'm starting to remember. response:	The Council of the Seven Virtues is a
context: the real world, staged a revolt against humanity.\The Council of the Seven Virtues went into action,\and that was the start of everything.\Why the Council of the Seven Virtues?\They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right?\I'm starting to remember.\The Council of the Seven Virtues is a response:	secret organization that controlled the world's information networks,
context: The Council of the Seven Virtues went into action,\and that was the start of everything.\Why the Council of the Seven Virtues?\They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right?\I'm starting to remember.\The Council of the Seven Virtues is a\secret organization that controlled the world's information networks, response:	through which the Bladefield Principality was
context: and that was the start of everything.\Why the Council of the Seven Virtues?\They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right?\I'm starting to remember.\The Council of the Seven Virtues is a\secret organization that controlled the world's information networks,\through which the Bladefield Principality was response:	manipulated into becoming a greater global power.
context: Why the Council of the Seven Virtues?\They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right?\I'm starting to remember.\The Council of the Seven Virtues is a\secret organization that controlled the world's information networks,\through which the Bladefield Principality was\manipulated into becoming a greater global power. response:	Of course they couldn't allow the
context: They're only a special organization within Bladefield.\That's only what they wanted everyone to think. Right?\I'm starting to remember.\The Council of the Seven Virtues is a\secret organization that controlled the world's information networks,\through which the Bladefield Principality was\manipulated into becoming a greater global power.\Of course they couldn't allow the response:	Angel Boat to take over the network.
context: That's only what they wanted everyone to think. Right?\I'm starting to remember.\The Council of the Seven Virtues is a\secret organization that controlled the world's information networks,\through which the Bladefield Principality was\manipulated into becoming a greater global power.\Of course they couldn't allow the\Angel Boat to take over the network. response:	And that's when Number Zero took notice of Souta.
context: I'm starting to remember.\The Council of the Seven Virtues is a\secret organization that controlled the world's information networks,\through which the Bladefield Principality was\manipulated into becoming a greater global power.\Of course they couldn't allow the\Angel Boat to take over the network.\And that's when Number Zero took notice of Souta. response:	Why would they try to use the prince of the country which they serve?
context: The Council of the Seven Virtues is a\secret organization that controlled the world's information networks,\through which the Bladefield Principality was\manipulated into becoming a greater global power.\Of course they couldn't allow the\Angel Boat to take over the network.\And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve? response:	The fairy tale told in the Principality.
context: secret organization that controlled the world's information networks,\through which the Bladefield Principality was\manipulated into becoming a greater global power.\Of course they couldn't allow the\Angel Boat to take over the network.\And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality. response:	Hm?
context: through which the Bladefield Principality was\manipulated into becoming a greater global power.\Of course they couldn't allow the\Angel Boat to take over the network.\And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality.\Hm? response:	All of that was true.
context: manipulated into becoming a greater global power.\Of course they couldn't allow the\Angel Boat to take over the network.\And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality.\Hm?\All of that was true. response:	The founder,
context: Of course they couldn't allow the\Angel Boat to take over the network.\And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality.\Hm?\All of that was true.\The founder, response:	Kagura Bladefield, was said to be a descendant of one of the
context: Angel Boat to take over the network.\And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality.\Hm?\All of that was true.\The founder,\Kagura Bladefield, was said to be a descendant of one of the response:	heroic female knights who fought against the demons
context: And that's when Number Zero took notice of Souta.\Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality.\Hm?\All of that was true.\The founder,\Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons response:	and the man that had turned into the flag.
context: Why would they try to use the prince of the country which they serve?\The fairy tale told in the Principality.\Hm?\All of that was true.\The founder,\Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons\and the man that had turned into the flag. response:	It is said that every generation the royal family
context: The fairy tale told in the Principality.\Hm?\All of that was true.\The founder,\Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons\and the man that had turned into the flag.\It is said that every generation the royal family response:	has someone born with superhuman powers.
context: Hm?\All of that was true.\The founder,\Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons\and the man that had turned into the flag.\It is said that every generation the royal family\has someone born with superhuman powers. response:	And that's Souta?
context: All of that was true.\The founder,\Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons\and the man that had turned into the flag.\It is said that every generation the royal family\has someone born with superhuman powers.\And that's Souta? response:	Number Zero connected Souta's consciousness
context: The founder,\Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons\and the man that had turned into the flag.\It is said that every generation the royal family\has someone born with superhuman powers.\And that's Souta?\Number Zero connected Souta's consciousness response:	with several virtual worlds,
context: Kagura Bladefield, was said to be a descendant of one of the\heroic female knights who fought against the demons\and the man that had turned into the flag.\It is said that every generation the royal family\has someone born with superhuman powers.\And that's Souta?\Number Zero connected Souta's consciousness\with several virtual worlds, response:	and through a massive amount of simulations,
context: heroic female knights who fought against the demons\and the man that had turned into the flag.\It is said that every generation the royal family\has someone born with superhuman powers.\And that's Souta?\Number Zero connected Souta's consciousness\with several virtual worlds,\and through a massive amount of simulations, response:	tried activating his superhuman powers.
context: and the man that had turned into the flag.\It is said that every generation the royal family\has someone born with superhuman powers.\And that's Souta?\Number Zero connected Souta's consciousness\with several virtual worlds,\and through a massive amount of simulations,\tried activating his superhuman powers. response:	So I went into the virtual worlds trying to save Souta...
context: It is said that every generation the royal family\has someone born with superhuman powers.\And that's Souta?\Number Zero connected Souta's consciousness\with several virtual worlds,\and through a massive amount of simulations,\tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta... response:	Trying to save my brother?
context: has someone born with superhuman powers.\And that's Souta?\Number Zero connected Souta's consciousness\with several virtual worlds,\and through a massive amount of simulations,\tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta...\Trying to save my brother? response:	That's right.
context: And that's Souta?\Number Zero connected Souta's consciousness\with several virtual worlds,\and through a massive amount of simulations,\tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta...\Trying to save my brother?\That's right. response:	But Number Zero detected what you
context: Number Zero connected Souta's consciousness\with several virtual worlds,\and through a massive amount of simulations,\tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta...\Trying to save my brother?\That's right.\But Number Zero detected what you response:	were doing, and interfered,
context: with several virtual worlds,\and through a massive amount of simulations,\tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta...\Trying to save my brother?\That's right.\But Number Zero detected what you\were doing, and interfered, response:	and we... we were separated into two sets of data.
context: and through a massive amount of simulations,\tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta...\Trying to save my brother?\That's right.\But Number Zero detected what you\were doing, and interfered,\and we... we were separated into two sets of data. response:	And so I was imprisoned in this virtual world.
context: tried activating his superhuman powers.\So I went into the virtual worlds trying to save Souta...\Trying to save my brother?\That's right.\But Number Zero detected what you\were doing, and interfered,\and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world. response:	And I was made into her pawnhis classmate.
context: So I went into the virtual worlds trying to save Souta...\Trying to save my brother?\That's right.\But Number Zero detected what you\were doing, and interfered,\and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate. response:	I know I'm just trying to recall what happened,
context: Trying to save my brother?\That's right.\But Number Zero detected what you\were doing, and interfered,\and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened, response:	but I'm started to get mad.
context: That's right.\But Number Zero detected what you\were doing, and interfered,\and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened,\but I'm started to get mad. response:	Me, too.
context: But Number Zero detected what you\were doing, and interfered,\and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened,\but I'm started to get mad.\Me, too. response:	But there was something she couldn't prevent.
context: were doing, and interfered,\and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened,\but I'm started to get mad.\Me, too.\But there was something she couldn't prevent. response:	That's where...
context: and we... we were separated into two sets of data.\And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened,\but I'm started to get mad.\Me, too.\But there was something she couldn't prevent.\That's where... response:	Ruri?
context: And so I was imprisoned in this virtual world.\And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened,\but I'm started to get mad.\Me, too.\But there was something she couldn't prevent.\That's where...\Ruri? response:	I managed to escape from my imprisonment, but...
context: And I was made into her pawnhis classmate.\I know I'm just trying to recall what happened,\but I'm started to get mad.\Me, too.\But there was something she couldn't prevent.\That's where...\Ruri?\I managed to escape from my imprisonment, but... response:	While I was configuring the program that would save Souta...
context: I know I'm just trying to recall what happened,\but I'm started to get mad.\Me, too.\But there was something she couldn't prevent.\That's where...\Ruri?\I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta... response:	I ran low on power.
context: but I'm started to get mad.\Me, too.\But there was something she couldn't prevent.\That's where...\Ruri?\I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta...\I ran low on power. response:	I found Ruri's body by accident,
context: Me, too.\But there was something she couldn't prevent.\That's where...\Ruri?\I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta...\I ran low on power.\I found Ruri's body by accident, response:	and I guess you could say I borrowed it.
context: But there was something she couldn't prevent.\That's where...\Ruri?\I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta...\I ran low on power.\I found Ruri's body by accident,\and I guess you could say I borrowed it. response:	Of course, I couldn't say anything
context: That's where...\Ruri?\I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta...\I ran low on power.\I found Ruri's body by accident,\and I guess you could say I borrowed it.\Of course, I couldn't say anything response:	and slept within her.
context: Ruri?\I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta...\I ran low on power.\I found Ruri's body by accident,\and I guess you could say I borrowed it.\Of course, I couldn't say anything\and slept within her. response:	But as a result, there was a
context: I managed to escape from my imprisonment, but...\While I was configuring the program that would save Souta...\I ran low on power.\I found Ruri's body by accident,\and I guess you could say I borrowed it.\Of course, I couldn't say anything\and slept within her.\But as a result, there was a response:	new personality, a new Ruri born,
context: While I was configuring the program that would save Souta...\I ran low on power.\I found Ruri's body by accident,\and I guess you could say I borrowed it.\Of course, I couldn't say anything\and slept within her.\But as a result, there was a\new personality, a new Ruri born, response:	and my thoughts and emotions were,
context: I ran low on power.\I found Ruri's body by accident,\and I guess you could say I borrowed it.\Of course, I couldn't say anything\and slept within her.\But as a result, there was a\new personality, a new Ruri born,\and my thoughts and emotions were, response:	albeit faintly, sketched into her AI,
context: I found Ruri's body by accident,\and I guess you could say I borrowed it.\Of course, I couldn't say anything\and slept within her.\But as a result, there was a\new personality, a new Ruri born,\and my thoughts and emotions were,\albeit faintly, sketched into her AI, response:	so that she would help Souta out.
context: and I guess you could say I borrowed it.\Of course, I couldn't say anything\and slept within her.\But as a result, there was a\new personality, a new Ruri born,\and my thoughts and emotions were,\albeit faintly, sketched into her AI,\so that she would help Souta out. response:	Anyway, I guess it's about time.
context: Of course, I couldn't say anything\and slept within her.\But as a result, there was a\new personality, a new Ruri born,\and my thoughts and emotions were,\albeit faintly, sketched into her AI,\so that she would help Souta out.\Anyway, I guess it's about time. response:	Now that our synchronization has finished,
context: and slept within her.\But as a result, there was a\new personality, a new Ruri born,\and my thoughts and emotions were,\albeit faintly, sketched into her AI,\so that she would help Souta out.\Anyway, I guess it's about time.\Now that our synchronization has finished, response:	it's time for us to become one.
context: But as a result, there was a\new personality, a new Ruri born,\and my thoughts and emotions were,\albeit faintly, sketched into her AI,\so that she would help Souta out.\Anyway, I guess it's about time.\Now that our synchronization has finished,\it's time for us to become one. response:	That is what is to be.
context: new personality, a new Ruri born,\and my thoughts and emotions were,\albeit faintly, sketched into her AI,\so that she would help Souta out.\Anyway, I guess it's about time.\Now that our synchronization has finished,\it's time for us to become one.\That is what is to be. response:	But more importantly,
context: and my thoughts and emotions were,\albeit faintly, sketched into her AI,\so that she would help Souta out.\Anyway, I guess it's about time.\Now that our synchronization has finished,\it's time for us to become one.\That is what is to be.\But more importantly, response:	Souta is alone, fighting away in cyberspace
context: albeit faintly, sketched into her AI,\so that she would help Souta out.\Anyway, I guess it's about time.\Now that our synchronization has finished,\it's time for us to become one.\That is what is to be.\But more importantly,\Souta is alone, fighting away in cyberspace response:	where time has no meaning.
context: so that she would help Souta out.\Anyway, I guess it's about time.\Now that our synchronization has finished,\it's time for us to become one.\That is what is to be.\But more importantly,\Souta is alone, fighting away in cyberspace\where time has no meaning. response:	We must save him.
context: Anyway, I guess it's about time.\Now that our synchronization has finished,\it's time for us to become one.\That is what is to be.\But more importantly,\Souta is alone, fighting away in cyberspace\where time has no meaning.\We must save him. response:	And we will,
context: Now that our synchronization has finished,\it's time for us to become one.\That is what is to be.\But more importantly,\Souta is alone, fighting away in cyberspace\where time has no meaning.\We must save him.\And we will, response:	with the heroes who brandish the Royal Flag those that care for Souta dearly!
context: it's time for us to become one.\That is what is to be.\But more importantly,\Souta is alone, fighting away in cyberspace\where time has no meaning.\We must save him.\And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly! response:	I remember everything now.
context: That is what is to be.\But more importantly,\Souta is alone, fighting away in cyberspace\where time has no meaning.\We must save him.\And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now. response:	Why I patterned everything after the fairy tale...
context: But more importantly,\Souta is alone, fighting away in cyberspace\where time has no meaning.\We must save him.\And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now.\Why I patterned everything after the fairy tale... response:	The fairy tale we heard from our mother.
context: Souta is alone, fighting away in cyberspace\where time has no meaning.\We must save him.\And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now.\Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother. response:	We shed tears hearing the fate of the man who became the flag,
context: where time has no meaning.\We must save him.\And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now.\Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag, response:	and talked about it together...
context: We must save him.\And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now.\Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag,\and talked about it together... response:	No matter how cliche, how deus ex machina it feels,
context: And we will,\with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now.\Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag,\and talked about it together...\No matter how cliche, how deus ex machina it feels, response:	it's better to have a happy ending rather than a moving, bitter one.
context: with the heroes who brandish the Royal Flag those that care for Souta dearly!\I remember everything now.\Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag,\and talked about it together...\No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one. response:	Let us go then, you and Ius.
context: I remember everything now.\Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag,\and talked about it together...\No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius. response:	Indeed.
context: Why I patterned everything after the fairy tale...\The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag,\and talked about it together...\No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius.\Indeed. response:	Together,
context: The fairy tale we heard from our mother.\We shed tears hearing the fate of the man who became the flag,\and talked about it together...\No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius.\Indeed.\Together, response:	to...
context: We shed tears hearing the fate of the man who became the flag,\and talked about it together...\No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius.\Indeed.\Together,\to... response:	Ruri, could you help me?
context: and talked about it together...\No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius.\Indeed.\Together,\to...\Ruri, could you help me? response:	Do I need to answer that?
context: No matter how cliche, how deus ex machina it feels,\it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius.\Indeed.\Together,\to...\Ruri, could you help me?\Do I need to answer that? response:	Indeed.
context: it's better to have a happy ending rather than a moving, bitter one.\Let us go then, you and Ius.\Indeed.\Together,\to...\Ruri, could you help me?\Do I need to answer that?\Indeed. response:	Akane...
context: Let us go then, you and Ius.\Indeed.\Together,\to...\Ruri, could you help me?\Do I need to answer that?\Indeed.\Akane... response:	It feels like I've forgotten something important,
context: Indeed.\Together,\to...\Ruri, could you help me?\Do I need to answer that?\Indeed.\Akane...\It feels like I've forgotten something important, response:	but I don't know what that is.
context: Together,\to...\Ruri, could you help me?\Do I need to answer that?\Indeed.\Akane...\It feels like I've forgotten something important,\but I don't know what that is. response:	Akane...
context: to...\Ruri, could you help me?\Do I need to answer that?\Indeed.\Akane...\It feels like I've forgotten something important,\but I don't know what that is.\Akane... response:	I want you to save him.
context: Ruri, could you help me?\Do I need to answer that?\Indeed.\Akane...\It feels like I've forgotten something important,\but I don't know what that is.\Akane...\I want you to save him. response:	Do you think I wouldn't listen to a
context: Do I need to answer that?\Indeed.\Akane...\It feels like I've forgotten something important,\but I don't know what that is.\Akane...\I want you to save him.\Do you think I wouldn't listen to a response:	request made by my best friend?
context: Indeed.\Akane...\It feels like I've forgotten something important,\but I don't know what that is.\Akane...\I want you to save him.\Do you think I wouldn't listen to a\request made by my best friend? response:	Thank you.
context: Akane...\It feels like I've forgotten something important,\but I don't know what that is.\Akane...\I want you to save him.\Do you think I wouldn't listen to a\request made by my best friend?\Thank you. response:	Guys...
context: It feels like I've forgotten something important,\but I don't know what that is.\Akane...\I want you to save him.\Do you think I wouldn't listen to a\request made by my best friend?\Thank you.\Guys... response:	What's in this thing?
context: but I don't know what that is.\Akane...\I want you to save him.\Do you think I wouldn't listen to a\request made by my best friend?\Thank you.\Guys...\What's in this thing? response:	Who knows...
context: Akane...\I want you to save him.\Do you think I wouldn't listen to a\request made by my best friend?\Thank you.\Guys...\What's in this thing?\Who knows... response:	I have no idea.
context: I want you to save him.\Do you think I wouldn't listen to a\request made by my best friend?\Thank you.\Guys...\What's in this thing?\Who knows...\I have no idea. response:	There's only one reason I've brought you all here.
context: Do you think I wouldn't listen to a\request made by my best friend?\Thank you.\Guys...\What's in this thing?\Who knows...\I have no idea.\There's only one reason I've brought you all here. response:	I want you to
context: request made by my best friend?\Thank you.\Guys...\What's in this thing?\Who knows...\I have no idea.\There's only one reason I've brought you all here.\I want you to response:	help my younger brother, Souta.
context: Thank you.\Guys...\What's in this thing?\Who knows...\I have no idea.\There's only one reason I've brought you all here.\I want you to\help my younger brother, Souta. response:	That's the guy you've been talking about, right?
context: Guys...\What's in this thing?\Who knows...\I have no idea.\There's only one reason I've brought you all here.\I want you to\help my younger brother, Souta.\That's the guy you've been talking about, right? response:	Your brother?
context: What's in this thing?\Who knows...\I have no idea.\There's only one reason I've brought you all here.\I want you to\help my younger brother, Souta.\That's the guy you've been talking about, right?\Your brother? response:	Indeed.
context: Who knows...\I have no idea.\There's only one reason I've brought you all here.\I want you to\help my younger brother, Souta.\That's the guy you've been talking about, right?\Your brother?\Indeed. response:	I heard that both you Nanami and Hakua are only siblings.
context: I have no idea.\There's only one reason I've brought you all here.\I want you to\help my younger brother, Souta.\That's the guy you've been talking about, right?\Your brother?\Indeed.\I heard that both you Nanami and Hakua are only siblings. response:	No way!
context: There's only one reason I've brought you all here.\I want you to\help my younger brother, Souta.\That's the guy you've been talking about, right?\Your brother?\Indeed.\I heard that both you Nanami and Hakua are only siblings.\No way! response:	You mean Father had adulterous relations in the thick steam of the hot spring, he did?
context: I want you to\help my younger brother, Souta.\That's the guy you've been talking about, right?\Your brother?\Indeed.\I heard that both you Nanami and Hakua are only siblings.\No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did? response:	He'd be your older brother, Hakua.
context: help my younger brother, Souta.\That's the guy you've been talking about, right?\Your brother?\Indeed.\I heard that both you Nanami and Hakua are only siblings.\No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua. response:	Onii-sama?
context: That's the guy you've been talking about, right?\Your brother?\Indeed.\I heard that both you Nanami and Hakua are only siblings.\No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua.\Onii-sama? response:	So he means a lot to you, right?
context: Your brother?\Indeed.\I heard that both you Nanami and Hakua are only siblings.\No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua.\Onii-sama?\So he means a lot to you, right? response:	Yes,
context: Indeed.\I heard that both you Nanami and Hakua are only siblings.\No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua.\Onii-sama?\So he means a lot to you, right?\Yes, response:	and to all of you, too.
context: I heard that both you Nanami and Hakua are only siblings.\No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua.\Onii-sama?\So he means a lot to you, right?\Yes,\and to all of you, too. response:	That just means
context: No way!\You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua.\Onii-sama?\So he means a lot to you, right?\Yes,\and to all of you, too.\That just means response:	we'll have to help!
context: You mean Father had adulterous relations in the thick steam of the hot spring, he did?\He'd be your older brother, Hakua.\Onii-sama?\So he means a lot to you, right?\Yes,\and to all of you, too.\That just means\we'll have to help! response:	Yeah, there's no reason not to help you.
context: He'd be your older brother, Hakua.\Onii-sama?\So he means a lot to you, right?\Yes,\and to all of you, too.\That just means\we'll have to help!\Yeah, there's no reason not to help you. response:	Just let my manliness take care of this.
context: Onii-sama?\So he means a lot to you, right?\Yes,\and to all of you, too.\That just means\we'll have to help!\Yeah, there's no reason not to help you.\Just let my manliness take care of this. response:	You guys...
context: So he means a lot to you, right?\Yes,\and to all of you, too.\That just means\we'll have to help!\Yeah, there's no reason not to help you.\Just let my manliness take care of this.\You guys... response:	I thank you all!
context: Yes,\and to all of you, too.\That just means\we'll have to help!\Yeah, there's no reason not to help you.\Just let my manliness take care of this.\You guys...\I thank you all! response:	How could I forget someone so important...
context: and to all of you, too.\That just means\we'll have to help!\Yeah, there's no reason not to help you.\Just let my manliness take care of this.\You guys...\I thank you all!\How could I forget someone so important... response:	Sou-kun.
context: That just means\we'll have to help!\Yeah, there's no reason not to help you.\Just let my manliness take care of this.\You guys...\I thank you all!\How could I forget someone so important...\Sou-kun. response:	Souta-kun.
context: we'll have to help!\Yeah, there's no reason not to help you.\Just let my manliness take care of this.\You guys...\I thank you all!\How could I forget someone so important...\Sou-kun.\Souta-kun. response:	Souta.
context: Yeah, there's no reason not to help you.\Just let my manliness take care of this.\You guys...\I thank you all!\How could I forget someone so important...\Sou-kun.\Souta-kun.\Souta. response:	Little Souta.
context: Just let my manliness take care of this.\You guys...\I thank you all!\How could I forget someone so important...\Sou-kun.\Souta-kun.\Souta.\Little Souta. response:	Hatate Souta.
context: You guys...\I thank you all!\How could I forget someone so important...\Sou-kun.\Souta-kun.\Souta.\Little Souta.\Hatate Souta. response:	Onii-chan.
context: I thank you all!\How could I forget someone so important...\Sou-kun.\Souta-kun.\Souta.\Little Souta.\Hatate Souta.\Onii-chan. response:	Souta-kun.
context: How could I forget someone so important...\Sou-kun.\Souta-kun.\Souta.\Little Souta.\Hatate Souta.\Onii-chan.\Souta-kun. response:	Souta-oniisama.
context: Sou-kun.\Souta-kun.\Souta.\Little Souta.\Hatate Souta.\Onii-chan.\Souta-kun.\Souta-oniisama. response:	Hatate-kun.
context: Souta-kun.\Souta.\Little Souta.\Hatate Souta.\Onii-chan.\Souta-kun.\Souta-oniisama.\Hatate-kun. response:	Hatate...
context: Souta.\Little Souta.\Hatate Souta.\Onii-chan.\Souta-kun.\Souta-oniisama.\Hatate-kun.\Hatate... response:	Safety release confirmed!
context: Little Souta.\Hatate Souta.\Onii-chan.\Souta-kun.\Souta-oniisama.\Hatate-kun.\Hatate...\Safety release confirmed! response:	This is our final hope which Nanami-san has entrusted us!
context: Hatate Souta.\Onii-chan.\Souta-kun.\Souta-oniisama.\Hatate-kun.\Hatate...\Safety release confirmed!\This is our final hope which Nanami-san has entrusted us! response:	Would you like to activate the dimensional tracing program?
context: Onii-chan.\Souta-kun.\Souta-oniisama.\Hatate-kun.\Hatate...\Safety release confirmed!\This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program? response:	Yes or no?
context: Souta-kun.\Souta-oniisama.\Hatate-kun.\Hatate...\Safety release confirmed!\This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program?\Yes or no? response:	Yes!
context: Souta-oniisama.\Hatate-kun.\Hatate...\Safety release confirmed!\This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program?\Yes or no?\Yes! response:	You're more perfect than I imagined.
context: Hatate-kun.\Hatate...\Safety release confirmed!\This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program?\Yes or no?\Yes!\You're more perfect than I imagined. response:	I couldn't expect more from a descendant of the Royal Flag.
context: Hatate...\Safety release confirmed!\This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program?\Yes or no?\Yes!\You're more perfect than I imagined.\I couldn't expect more from a descendant of the Royal Flag. response:	Fight as long as you live!
context: Safety release confirmed!\This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program?\Yes or no?\Yes!\You're more perfect than I imagined.\I couldn't expect more from a descendant of the Royal Flag.\Fight as long as you live! response:	Fight for our world.
context: This is our final hope which Nanami-san has entrusted us!\Would you like to activate the dimensional tracing program?\Yes or no?\Yes!\You're more perfect than I imagined.\I couldn't expect more from a descendant of the Royal Flag.\Fight as long as you live!\Fight for our world. response:	No, for our homeland, for Bladefield!
context: Would you like to activate the dimensional tracing program?\Yes or no?\Yes!\You're more perfect than I imagined.\I couldn't expect more from a descendant of the Royal Flag.\Fight as long as you live!\Fight for our world.\No, for our homeland, for Bladefield! response:	I've come this far and now the defeat flag shows itself?
