context: I'm Gouda Takeo, a first-year in high school. response:	Back in the spring, I started dating.
context: He really yelled at the guy...\He's cool.\Yeah.\But he punched the guy.\Huh?\What's going on? Looks like they're having fun.\Was that when he was on probation?\Oh, Takeo-kun! response:	Saijou-san and I really get along!
context: He's cool.\Yeah.\But he punched the guy.\Huh?\What's going on? Looks like they're having fun.\Was that when he was on probation?\Oh, Takeo-kun!\Saijou-san and I really get along! response:	Oh, that's good.
context: Yeah.\But he punched the guy.\Huh?\What's going on? Looks like they're having fun.\Was that when he was on probation?\Oh, Takeo-kun!\Saijou-san and I really get along!\Oh, that's good. response:	I got them all stamped.
context: But he punched the guy.\Huh?\What's going on? Looks like they're having fun.\Was that when he was on probation?\Oh, Takeo-kun!\Saijou-san and I really get along!\Oh, that's good.\I got them all stamped. response:	Thanks.
context: Huh?\What's going on? Looks like they're having fun.\Was that when he was on probation?\Oh, Takeo-kun!\Saijou-san and I really get along!\Oh, that's good.\I got them all stamped.\Thanks. response:	Oh, I brought a mille-feuille today.
context: What's going on? Looks like they're having fun.\Was that when he was on probation?\Oh, Takeo-kun!\Saijou-san and I really get along!\Oh, that's good.\I got them all stamped.\Thanks.\Oh, I brought a mille-feuille today. response:	Huh? You made this, Yamato-san?
context: Was that when he was on probation?\Oh, Takeo-kun!\Saijou-san and I really get along!\Oh, that's good.\I got them all stamped.\Thanks.\Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san? response:	Ta-dah!
context: Oh, Takeo-kun!\Saijou-san and I really get along!\Oh, that's good.\I got them all stamped.\Thanks.\Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san?\Ta-dah! response:	Oops, I can't believe I just said that.
context: Saijou-san and I really get along!\Oh, that's good.\I got them all stamped.\Thanks.\Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san?\Ta-dah!\Oops, I can't believe I just said that. response:	She said, Ta-dah.
context: Oh, that's good.\I got them all stamped.\Thanks.\Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san?\Ta-dah!\Oops, I can't believe I just said that.\She said, Ta-dah. response:	I love her!
context: I got them all stamped.\Thanks.\Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san?\Ta-dah!\Oops, I can't believe I just said that.\She said, Ta-dah.\I love her! response:	I love you, Yamato!
context: Thanks.\Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san?\Ta-dah!\Oops, I can't believe I just said that.\She said, Ta-dah.\I love her!\I love you, Yamato! response:	Takeo-kun, you got cream on your face.
context: Oh, I brought a mille-feuille today.\Huh? You made this, Yamato-san?\Ta-dah!\Oops, I can't believe I just said that.\She said, Ta-dah.\I love her!\I love you, Yamato!\Takeo-kun, you got cream on your face. response:	Huh? Here?
context: Huh? You made this, Yamato-san?\Ta-dah!\Oops, I can't believe I just said that.\She said, Ta-dah.\I love her!\I love you, Yamato!\Takeo-kun, you got cream on your face.\Huh? Here? response:	Here.
context: Ta-dah!\Oops, I can't believe I just said that.\She said, Ta-dah.\I love her!\I love you, Yamato!\Takeo-kun, you got cream on your face.\Huh? Here?\Here. response:	Here?
context: Oops, I can't believe I just said that.\She said, Ta-dah.\I love her!\I love you, Yamato!\Takeo-kun, you got cream on your face.\Huh? Here?\Here.\Here? response:	Here!
context: She said, Ta-dah.\I love her!\I love you, Yamato!\Takeo-kun, you got cream on your face.\Huh? Here?\Here.\Here?\Here! response:	Got it.
context: I love her!\I love you, Yamato!\Takeo-kun, you got cream on your face.\Huh? Here?\Here.\Here?\Here!\Got it. response:	You have some, too, Yamato.
context: I love you, Yamato!\Takeo-kun, you got cream on your face.\Huh? Here?\Here.\Here?\Here!\Got it.\You have some, too, Yamato. response:	Huh, here?
context: Takeo-kun, you got cream on your face.\Huh? Here?\Here.\Here?\Here!\Got it.\You have some, too, Yamato.\Huh, here? response:	Here.
context: Huh? Here?\Here.\Here?\Here!\Got it.\You have some, too, Yamato.\Huh, here?\Here. response:	Did I get it?
context: Here.\Here?\Here!\Got it.\You have some, too, Yamato.\Huh, here?\Here.\Did I get it? response:	Yeah!
context: Here?\Here!\Got it.\You have some, too, Yamato.\Huh, here?\Here.\Did I get it?\Yeah! response:	This is dangerous, getting on people's faces.
context: Here!\Got it.\You have some, too, Yamato.\Huh, here?\Here.\Did I get it?\Yeah!\This is dangerous, getting on people's faces. response:	Yeah, it's a dangerous cake.
context: Got it.\You have some, too, Yamato.\Huh, here?\Here.\Did I get it?\Yeah!\This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake. response:	What should we do next?
context: You have some, too, Yamato.\Huh, here?\Here.\Did I get it?\Yeah!\This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake.\What should we do next? response:	We've gotten a good look around.
context: Huh, here?\Here.\Did I get it?\Yeah!\This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake.\What should we do next?\We've gotten a good look around. response:	Yeah...
context: Here.\Did I get it?\Yeah!\This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake.\What should we do next?\We've gotten a good look around.\Yeah... response:	Oh, I think I'll just go hang around town.
context: Did I get it?\Yeah!\This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake.\What should we do next?\We've gotten a good look around.\Yeah...\Oh, I think I'll just go hang around town. response:	Later.
context: Yeah!\This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake.\What should we do next?\We've gotten a good look around.\Yeah...\Oh, I think I'll just go hang around town.\Later. response:	Oh, okay.
context: This is dangerous, getting on people's faces.\Yeah, it's a dangerous cake.\What should we do next?\We've gotten a good look around.\Yeah...\Oh, I think I'll just go hang around town.\Later.\Oh, okay. response:	See you later, Saijou-san.
context: Yeah, it's a dangerous cake.\What should we do next?\We've gotten a good look around.\Yeah...\Oh, I think I'll just go hang around town.\Later.\Oh, okay.\See you later, Saijou-san. response:	This was really fun!
context: What should we do next?\We've gotten a good look around.\Yeah...\Oh, I think I'll just go hang around town.\Later.\Oh, okay.\See you later, Saijou-san.\This was really fun! response:	The school festival was really fun.
context: We've gotten a good look around.\Yeah...\Oh, I think I'll just go hang around town.\Later.\Oh, okay.\See you later, Saijou-san.\This was really fun!\The school festival was really fun. response:	What was the prize?
context: Yeah...\Oh, I think I'll just go hang around town.\Later.\Oh, okay.\See you later, Saijou-san.\This was really fun!\The school festival was really fun.\What was the prize? response:	Oh, a washcloth!
context: Oh, I think I'll just go hang around town.\Later.\Oh, okay.\See you later, Saijou-san.\This was really fun!\The school festival was really fun.\What was the prize?\Oh, a washcloth! response:	Okay, I'll also get going, then.
context: Later.\Oh, okay.\See you later, Saijou-san.\This was really fun!\The school festival was really fun.\What was the prize?\Oh, a washcloth!\Okay, I'll also get going, then. response:	Handshake
context: Oh, okay.\See you later, Saijou-san.\This was really fun!\The school festival was really fun.\What was the prize?\Oh, a washcloth!\Okay, I'll also get going, then.\Handshake response:	Hang on a sec.
context: See you later, Saijou-san.\This was really fun!\The school festival was really fun.\What was the prize?\Oh, a washcloth!\Okay, I'll also get going, then.\Handshake\Hang on a sec. response:	Huh?
context: This was really fun!\The school festival was really fun.\What was the prize?\Oh, a washcloth!\Okay, I'll also get going, then.\Handshake\Hang on a sec.\Huh? response:	No, that isn't it
context: The school festival was really fun.\What was the prize?\Oh, a washcloth!\Okay, I'll also get going, then.\Handshake\Hang on a sec.\Huh?\No, that isn't it response:	Okay.
context: What was the prize?\Oh, a washcloth!\Okay, I'll also get going, then.\Handshake\Hang on a sec.\Huh?\No, that isn't it\Okay. response:	Huh?
context: Oh, a washcloth!\Okay, I'll also get going, then.\Handshake\Hang on a sec.\Huh?\No, that isn't it\Okay.\Huh? response:	Huh?
context: Okay, I'll also get going, then.\Handshake\Hang on a sec.\Huh?\No, that isn't it\Okay.\Huh?\Huh? response:	Huh?
context: Handshake\Hang on a sec.\Huh?\No, that isn't it\Okay.\Huh?\Huh?\Huh? response:	Wow!
context: Hang on a sec.\Huh?\No, that isn't it\Okay.\Huh?\Huh?\Huh?\Wow! response:	There are a lot of pine cones here.
context: Huh?\No, that isn't it\Okay.\Huh?\Huh?\Huh?\Wow!\There are a lot of pine cones here. response:	Yamato and pine cones...
context: No, that isn't it\Okay.\Huh?\Huh?\Huh?\Wow!\There are a lot of pine cones here.\Yamato and pine cones... response:	Don't pines have male and female trees?
context: Okay.\Huh?\Huh?\Huh?\Wow!\There are a lot of pine cones here.\Yamato and pine cones...\Don't pines have male and female trees? response:	Oh? Was that ginkgo trees?
context: Huh?\Huh?\Huh?\Wow!\There are a lot of pine cones here.\Yamato and pine cones...\Don't pines have male and female trees?\Oh? Was that ginkgo trees? response:	Well, it isn't a big deal!
context: Huh?\Huh?\Wow!\There are a lot of pine cones here.\Yamato and pine cones...\Don't pines have male and female trees?\Oh? Was that ginkgo trees?\Well, it isn't a big deal! response:	When I'm with you, I think I just ramble, Takeo-kun...
context: Huh?\Wow!\There are a lot of pine cones here.\Yamato and pine cones...\Don't pines have male and female trees?\Oh? Was that ginkgo trees?\Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun... response:	I see.
context: Wow!\There are a lot of pine cones here.\Yamato and pine cones...\Don't pines have male and female trees?\Oh? Was that ginkgo trees?\Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun...\I see. response:	You're still so much taller than I am.
context: There are a lot of pine cones here.\Yamato and pine cones...\Don't pines have male and female trees?\Oh? Was that ginkgo trees?\Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun...\I see.\You're still so much taller than I am. response:	Yamato and the rock...
context: Yamato and pine cones...\Don't pines have male and female trees?\Oh? Was that ginkgo trees?\Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun...\I see.\You're still so much taller than I am.\Yamato and the rock... response:	Yamato and the stars...
context: Don't pines have male and female trees?\Oh? Was that ginkgo trees?\Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun...\I see.\You're still so much taller than I am.\Yamato and the rock...\Yamato and the stars... response:	Bye-bye!
context: Oh? Was that ginkgo trees?\Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun...\I see.\You're still so much taller than I am.\Yamato and the rock...\Yamato and the stars...\Bye-bye! response:	See you soon, Takeo-kun!
context: Well, it isn't a big deal!\When I'm with you, I think I just ramble, Takeo-kun...\I see.\You're still so much taller than I am.\Yamato and the rock...\Yamato and the stars...\Bye-bye!\See you soon, Takeo-kun! response:	I love her.
context: When I'm with you, I think I just ramble, Takeo-kun...\I see.\You're still so much taller than I am.\Yamato and the rock...\Yamato and the stars...\Bye-bye!\See you soon, Takeo-kun!\I love her. response:	It isn't as if there's anything specific making me think that, but I do.
context: I see.\You're still so much taller than I am.\Yamato and the rock...\Yamato and the stars...\Bye-bye!\See you soon, Takeo-kun!\I love her.\It isn't as if there's anything specific making me think that, but I do. response:	I wonder where this feeling comes from.
context: You're still so much taller than I am.\Yamato and the rock...\Yamato and the stars...\Bye-bye!\See you soon, Takeo-kun!\I love her.\It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from. response:	Star
context: Yamato and the rock...\Yamato and the stars...\Bye-bye!\See you soon, Takeo-kun!\I love her.\It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from.\Star response:	Dust
context: Yamato and the stars...\Bye-bye!\See you soon, Takeo-kun!\I love her.\It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from.\Star\Dust response:	Hey...
context: Bye-bye!\See you soon, Takeo-kun!\I love her.\It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from.\Star\Dust\Hey... response:	How does it feel to like someone as a person?
context: See you soon, Takeo-kun!\I love her.\It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from.\Star\Dust\Hey...\How does it feel to like someone as a person? response:	Huh?
context: I love her.\It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from.\Star\Dust\Hey...\How does it feel to like someone as a person?\Huh? response:	Well, you know, it happens...
context: It isn't as if there's anything specific making me think that, but I do.\I wonder where this feeling comes from.\Star\Dust\Hey...\How does it feel to like someone as a person?\Huh?\Well, you know, it happens... response:	Sunakawa, you're his friend, too.
context: I wonder where this feeling comes from.\Star\Dust\Hey...\How does it feel to like someone as a person?\Huh?\Well, you know, it happens...\Sunakawa, you're his friend, too. response:	So you know what makes him a good person.
context: Star\Dust\Hey...\How does it feel to like someone as a person?\Huh?\Well, you know, it happens...\Sunakawa, you're his friend, too.\So you know what makes him a good person. response:	Sure, though I don't think of him as a master.
context: Dust\Hey...\How does it feel to like someone as a person?\Huh?\Well, you know, it happens...\Sunakawa, you're his friend, too.\So you know what makes him a good person.\Sure, though I don't think of him as a master. response:	But I didn't want to stop talking to him after the sports festival ended...
context: Hey...\How does it feel to like someone as a person?\Huh?\Well, you know, it happens...\Sunakawa, you're his friend, too.\So you know what makes him a good person.\Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended... response:	I mean, you also like Gouda, don't you?
context: How does it feel to like someone as a person?\Huh?\Well, you know, it happens...\Sunakawa, you're his friend, too.\So you know what makes him a good person.\Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you? response:	Sure.
context: Huh?\Well, you know, it happens...\Sunakawa, you're his friend, too.\So you know what makes him a good person.\Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you?\Sure. response:	But you don't want to hold hands with him, right?
context: Well, you know, it happens...\Sunakawa, you're his friend, too.\So you know what makes him a good person.\Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you?\Sure.\But you don't want to hold hands with him, right? response:	No.
context: Sunakawa, you're his friend, too.\So you know what makes him a good person.\Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you?\Sure.\But you don't want to hold hands with him, right?\No. response:	Then that's it! That's what it's like!
context: So you know what makes him a good person.\Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you?\Sure.\But you don't want to hold hands with him, right?\No.\Then that's it! That's what it's like! response:	I'm just like you.
context: Sure, though I don't think of him as a master.\But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you?\Sure.\But you don't want to hold hands with him, right?\No.\Then that's it! That's what it's like!\I'm just like you. response:	That's what it means to like someone as a person!
context: But I didn't want to stop talking to him after the sports festival ended...\I mean, you also like Gouda, don't you?\Sure.\But you don't want to hold hands with him, right?\No.\Then that's it! That's what it's like!\I'm just like you.\That's what it means to like someone as a person! response:	Sure.
context: I mean, you also like Gouda, don't you?\Sure.\But you don't want to hold hands with him, right?\No.\Then that's it! That's what it's like!\I'm just like you.\That's what it means to like someone as a person!\Sure. response:	I get all that,
context: Sure.\But you don't want to hold hands with him, right?\No.\Then that's it! That's what it's like!\I'm just like you.\That's what it means to like someone as a person!\Sure.\I get all that, response:	but I think your feelings are different than mine.
context: But you don't want to hold hands with him, right?\No.\Then that's it! That's what it's like!\I'm just like you.\That's what it means to like someone as a person!\Sure.\I get all that,\but I think your feelings are different than mine. response:	I'm not popular with girls.
context: No.\Then that's it! That's what it's like!\I'm just like you.\That's what it means to like someone as a person!\Sure.\I get all that,\but I think your feelings are different than mine.\I'm not popular with girls. response:	I wonder why Yamato's always worried.
context: Then that's it! That's what it's like!\I'm just like you.\That's what it means to like someone as a person!\Sure.\I get all that,\but I think your feelings are different than mine.\I'm not popular with girls.\I wonder why Yamato's always worried. response:	No girl's ever going to fall for me.
context: I'm just like you.\That's what it means to like someone as a person!\Sure.\I get all that,\but I think your feelings are different than mine.\I'm not popular with girls.\I wonder why Yamato's always worried.\No girl's ever going to fall for me. response:	So what if they are?!
context: That's what it means to like someone as a person!\Sure.\I get all that,\but I think your feelings are different than mine.\I'm not popular with girls.\I wonder why Yamato's always worried.\No girl's ever going to fall for me.\So what if they are?! response:	Don't tell him, ever...
context: Sure.\I get all that,\but I think your feelings are different than mine.\I'm not popular with girls.\I wonder why Yamato's always worried.\No girl's ever going to fall for me.\So what if they are?!\Don't tell him, ever... response:	If you do...
context: I get all that,\but I think your feelings are different than mine.\I'm not popular with girls.\I wonder why Yamato's always worried.\No girl's ever going to fall for me.\So what if they are?!\Don't tell him, ever...\If you do... response:	If I do?
context: but I think your feelings are different than mine.\I'm not popular with girls.\I wonder why Yamato's always worried.\No girl's ever going to fall for me.\So what if they are?!\Don't tell him, ever...\If you do...\If I do? response:	I'll do something super horrible to you!
context: I'm not popular with girls.\I wonder why Yamato's always worried.\No girl's ever going to fall for me.\So what if they are?!\Don't tell him, ever...\If you do...\If I do?\I'll do something super horrible to you! response:	Make sure to include what you felt and experienced
context: I wonder why Yamato's always worried.\No girl's ever going to fall for me.\So what if they are?!\Don't tell him, ever...\If you do...\If I do?\I'll do something super horrible to you!\Make sure to include what you felt and experienced response:	Not even junior high students make hallway bulletins anymore.
context: No girl's ever going to fall for me.\So what if they are?!\Don't tell him, ever...\If you do...\If I do?\I'll do something super horrible to you!\Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore. response:	Huh? My junior high did.
context: So what if they are?!\Don't tell him, ever...\If you do...\If I do?\I'll do something super horrible to you!\Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore.\Huh? My junior high did. response:	Seriously?
context: Don't tell him, ever...\If you do...\If I do?\I'll do something super horrible to you!\Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore.\Huh? My junior high did.\Seriously? response:	during the field trip.
context: If you do...\If I do?\I'll do something super horrible to you!\Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore.\Huh? My junior high did.\Seriously?\during the field trip. response:	If this is a bulletin, we need a four-panel manga.
context: If I do?\I'll do something super horrible to you!\Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore.\Huh? My junior high did.\Seriously?\during the field trip.\If this is a bulletin, we need a four-panel manga. response:	If there's space.
context: I'll do something super horrible to you!\Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore.\Huh? My junior high did.\Seriously?\during the field trip.\If this is a bulletin, we need a four-panel manga.\If there's space. response:	I want this...
context: Make sure to include what you felt and experienced\Not even junior high students make hallway bulletins anymore.\Huh? My junior high did.\Seriously?\during the field trip.\If this is a bulletin, we need a four-panel manga.\If there's space.\I want this... response:	Anyone have a spare ruler?
context: Not even junior high students make hallway bulletins anymore.\Huh? My junior high did.\Seriously?\during the field trip.\If this is a bulletin, we need a four-panel manga.\If there's space.\I want this...\Anyone have a spare ruler? response:	Yep.
context: Huh? My junior high did.\Seriously?\during the field trip.\If this is a bulletin, we need a four-panel manga.\If there's space.\I want this...\Anyone have a spare ruler?\Yep. response:	Thanks.
context: Seriously?\during the field trip.\If this is a bulletin, we need a four-panel manga.\If there's space.\I want this...\Anyone have a spare ruler?\Yep.\Thanks. response:	We're kind of short on pens and stuff.
context: during the field trip.\If this is a bulletin, we need a four-panel manga.\If there's space.\I want this...\Anyone have a spare ruler?\Yep.\Thanks.\We're kind of short on pens and stuff. response:	Want to get some today?
context: If this is a bulletin, we need a four-panel manga.\If there's space.\I want this...\Anyone have a spare ruler?\Yep.\Thanks.\We're kind of short on pens and stuff.\Want to get some today? response:	I have club practice.
context: If there's space.\I want this...\Anyone have a spare ruler?\Yep.\Thanks.\We're kind of short on pens and stuff.\Want to get some today?\I have club practice. response:	Oh, I'll go.
context: I want this...\Anyone have a spare ruler?\Yep.\Thanks.\We're kind of short on pens and stuff.\Want to get some today?\I have club practice.\Oh, I'll go. response:	Why not have your master go along, too?
context: Anyone have a spare ruler?\Yep.\Thanks.\We're kind of short on pens and stuff.\Want to get some today?\I have club practice.\Oh, I'll go.\Why not have your master go along, too? response:	Okay, no problem.
context: Yep.\Thanks.\We're kind of short on pens and stuff.\Want to get some today?\I have club practice.\Oh, I'll go.\Why not have your master go along, too?\Okay, no problem. response:	Suna, you come, too.
context: Thanks.\We're kind of short on pens and stuff.\Want to get some today?\I have club practice.\Oh, I'll go.\Why not have your master go along, too?\Okay, no problem.\Suna, you come, too. response:	Sure.
context: We're kind of short on pens and stuff.\Want to get some today?\I have club practice.\Oh, I'll go.\Why not have your master go along, too?\Okay, no problem.\Suna, you come, too.\Sure. response:	I think there's a stationery store in the shopping district.
context: Want to get some today?\I have club practice.\Oh, I'll go.\Why not have your master go along, too?\Okay, no problem.\Suna, you come, too.\Sure.\I think there's a stationery store in the shopping district. response:	Oh, but I guess bookstores also carry the same stuff.
context: I have club practice.\Oh, I'll go.\Why not have your master go along, too?\Okay, no problem.\Suna, you come, too.\Sure.\I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff. response:	Which do you want?
context: Oh, I'll go.\Why not have your master go along, too?\Okay, no problem.\Suna, you come, too.\Sure.\I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff.\Which do you want? response:	Whichever's fine.
context: Why not have your master go along, too?\Okay, no problem.\Suna, you come, too.\Sure.\I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff.\Which do you want?\Whichever's fine. response:	You seem in a pretty good mood, Saijou.
context: Okay, no problem.\Suna, you come, too.\Sure.\I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff.\Which do you want?\Whichever's fine.\You seem in a pretty good mood, Saijou. response:	Huh? Do I?
context: Suna, you come, too.\Sure.\I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff.\Which do you want?\Whichever's fine.\You seem in a pretty good mood, Saijou.\Huh? Do I? response:	I'm just my usual self.
context: Sure.\I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff.\Which do you want?\Whichever's fine.\You seem in a pretty good mood, Saijou.\Huh? Do I?\I'm just my usual self. response:	Oh, it's Yamato.
context: I think there's a stationery store in the shopping district.\Oh, but I guess bookstores also carry the same stuff.\Which do you want?\Whichever's fine.\You seem in a pretty good mood, Saijou.\Huh? Do I?\I'm just my usual self.\Oh, it's Yamato. response:	Do you have any plans today?
context: Oh, but I guess bookstores also carry the same stuff.\Which do you want?\Whichever's fine.\You seem in a pretty good mood, Saijou.\Huh? Do I?\I'm just my usual self.\Oh, it's Yamato.\Do you have any plans today? response:	If you're free, I'd like to see you.
context: Which do you want?\Whichever's fine.\You seem in a pretty good mood, Saijou.\Huh? Do I?\I'm just my usual self.\Oh, it's Yamato.\Do you have any plans today?\If you're free, I'd like to see you. response:	Today, huh?
context: Whichever's fine.\You seem in a pretty good mood, Saijou.\Huh? Do I?\I'm just my usual self.\Oh, it's Yamato.\Do you have any plans today?\If you're free, I'd like to see you.\Today, huh? response:	What? She wants to see you?
context: You seem in a pretty good mood, Saijou.\Huh? Do I?\I'm just my usual self.\Oh, it's Yamato.\Do you have any plans today?\If you're free, I'd like to see you.\Today, huh?\What? She wants to see you? response:	Yeah.
context: Huh? Do I?\I'm just my usual self.\Oh, it's Yamato.\Do you have any plans today?\If you're free, I'd like to see you.\Today, huh?\What? She wants to see you?\Yeah. response:	But I have to do something for school with Saijou today.
context: I'm just my usual self.\Oh, it's Yamato.\Do you have any plans today?\If you're free, I'd like to see you.\Today, huh?\What? She wants to see you?\Yeah.\But I have to do something for school with Saijou today. response:	Master, if you put water on it, this ink will disappear!
context: Oh, it's Yamato.\Do you have any plans today?\If you're free, I'd like to see you.\Today, huh?\What? She wants to see you?\Yeah.\But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear! response:	What?
context: Do you have any plans today?\If you're free, I'd like to see you.\Today, huh?\What? She wants to see you?\Yeah.\But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear!\What? response:	It disappears?!
context: If you're free, I'd like to see you.\Today, huh?\What? She wants to see you?\Yeah.\But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear!\What?\It disappears?! response:	Not that we need it.
context: Today, huh?\What? She wants to see you?\Yeah.\But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear!\What?\It disappears?!\Not that we need it. response:	Wow.
context: What? She wants to see you?\Yeah.\But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear!\What?\It disappears?!\Not that we need it.\Wow. response:	Wow!
context: Yeah.\But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear!\What?\It disappears?!\Not that we need it.\Wow.\Wow! response:	Books
context: But I have to do something for school with Saijou today.\Master, if you put water on it, this ink will disappear!\What?\It disappears?!\Not that we need it.\Wow.\Wow!\Books response:	I'm sorry about today.
context: Master, if you put water on it, this ink will disappear!\What?\It disappears?!\Not that we need it.\Wow.\Wow!\Books\I'm sorry about today. response:	You missed a date because of this shopping trip.
context: What?\It disappears?!\Not that we need it.\Wow.\Wow!\Books\I'm sorry about today.\You missed a date because of this shopping trip. response:	It's fine. I'll see her later, anyway.
context: It disappears?!\Not that we need it.\Wow.\Wow!\Books\I'm sorry about today.\You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway. response:	Oh, okay.
context: Not that we need it.\Wow.\Wow!\Books\I'm sorry about today.\You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway.\Oh, okay. response:	Takeo-kun!
context: Wow.\Wow!\Books\I'm sorry about today.\You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway.\Oh, okay.\Takeo-kun! response:	Sorry to keep you waiting, Yamato.
context: Wow!\Books\I'm sorry about today.\You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway.\Oh, okay.\Takeo-kun!\Sorry to keep you waiting, Yamato. response:	It's okay.
context: Books\I'm sorry about today.\You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway.\Oh, okay.\Takeo-kun!\Sorry to keep you waiting, Yamato.\It's okay. response:	Wow, Takeo-kun's umbrella is so big
context: I'm sorry about today.\You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway.\Oh, okay.\Takeo-kun!\Sorry to keep you waiting, Yamato.\It's okay.\Wow, Takeo-kun's umbrella is so big response:	Oh, you're alone?
context: You missed a date because of this shopping trip.\It's fine. I'll see her later, anyway.\Oh, okay.\Takeo-kun!\Sorry to keep you waiting, Yamato.\It's okay.\Wow, Takeo-kun's umbrella is so big\Oh, you're alone? response:	I thought you might bring Saijou-san and Sunakawa-kun...
context: It's fine. I'll see her later, anyway.\Oh, okay.\Takeo-kun!\Sorry to keep you waiting, Yamato.\It's okay.\Wow, Takeo-kun's umbrella is so big\Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun... response:	You got rained on.
context: Oh, okay.\Takeo-kun!\Sorry to keep you waiting, Yamato.\It's okay.\Wow, Takeo-kun's umbrella is so big\Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on. response:	I love her.
context: Takeo-kun!\Sorry to keep you waiting, Yamato.\It's okay.\Wow, Takeo-kun's umbrella is so big\Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on.\I love her. response:	The other day, I had a great time talking with Saijou-san.
context: Sorry to keep you waiting, Yamato.\It's okay.\Wow, Takeo-kun's umbrella is so big\Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on.\I love her.\The other day, I had a great time talking with Saijou-san. response:	I see.
context: It's okay.\Wow, Takeo-kun's umbrella is so big\Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on.\I love her.\The other day, I had a great time talking with Saijou-san.\I see. response:	Oh, my friends all said they like you as a person, too.
context: Wow, Takeo-kun's umbrella is so big\Oh, you're alone?\I thought you might bring Saijou-san and Sunakawa-kun...\You got rained on.\I love her.\The other day, I had a great time talking with Saijou-san.\I see.\Oh, my friends all said they like you as a person, too. response:	I see.
