context: Child of God (Part One) response:	Without thinking, it came out of my mouth...
context: I finally made it to the island.\If I come this far, I should be okay.\As long as I get here...\As long as I could stay here...\As long as I didn't wish for this or that...\As long as I accepted stagnation...\As long as I stopped thinking...\And I didn't have a single reason anymore response:	to plunge back into that stormy sea, and head for the next island.
context: If I come this far, I should be okay.\As long as I get here...\As long as I could stay here...\As long as I didn't wish for this or that...\As long as I accepted stagnation...\As long as I stopped thinking...\And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island. response:	Child of God (Part One)
context: As long as I get here...\As long as I could stay here...\As long as I didn't wish for this or that...\As long as I accepted stagnation...\As long as I stopped thinking...\And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island.\Child of God (Part One) response:	Child of God (Part Two)
context: As long as I could stay here...\As long as I didn't wish for this or that...\As long as I accepted stagnation...\As long as I stopped thinking...\And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island.\Child of God (Part One)\Child of God (Part Two) response:	He had such a cold name.
context: As long as I didn't wish for this or that...\As long as I accepted stagnation...\As long as I stopped thinking...\And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island.\Child of God (Part One)\Child of God (Part Two)\He had such a cold name. response:	That's what I thought when I first saw him.
context: As long as I accepted stagnation...\As long as I stopped thinking...\And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island.\Child of God (Part One)\Child of God (Part Two)\He had such a cold name.\That's what I thought when I first saw him. response:	But I can't remember when that first time was.
context: As long as I stopped thinking...\And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island.\Child of God (Part One)\Child of God (Part Two)\He had such a cold name.\That's what I thought when I first saw him.\But I can't remember when that first time was. response:	He just naturally existed there for that long of a time.
context: And I didn't have a single reason anymore\to plunge back into that stormy sea, and head for the next island.\Child of God (Part One)\Child of God (Part Two)\He had such a cold name.\That's what I thought when I first saw him.\But I can't remember when that first time was.\He just naturally existed there for that long of a time. response:	Touji Souya.
context: to plunge back into that stormy sea, and head for the next island.\Child of God (Part One)\Child of God (Part Two)\He had such a cold name.\That's what I thought when I first saw him.\But I can't remember when that first time was.\He just naturally existed there for that long of a time.\Touji Souya. response:	In our land, he was the child of God.
context: Child of God (Part One)\Child of God (Part Two)\He had such a cold name.\That's what I thought when I first saw him.\But I can't remember when that first time was.\He just naturally existed there for that long of a time.\Touji Souya.\In our land, he was the child of God. response:	You don't have that soccer-ball like rice ball today.
context: Child of God (Part Two)\He had such a cold name.\That's what I thought when I first saw him.\But I can't remember when that first time was.\He just naturally existed there for that long of a time.\Touji Souya.\In our land, he was the child of God.\You don't have that soccer-ball like rice ball today. response:	Mr. Hayashida...
context: He had such a cold name.\That's what I thought when I first saw him.\But I can't remember when that first time was.\He just naturally existed there for that long of a time.\Touji Souya.\In our land, he was the child of God.\You don't have that soccer-ball like rice ball today.\Mr. Hayashida... response:	It's too cold to sit outside, huh?
context: That's what I thought when I first saw him.\But I can't remember when that first time was.\He just naturally existed there for that long of a time.\Touji Souya.\In our land, he was the child of God.\You don't have that soccer-ball like rice ball today.\Mr. Hayashida...\It's too cold to sit outside, huh? response:	But it's pretty cold here too, isn't it?
context: But I can't remember when that first time was.\He just naturally existed there for that long of a time.\Touji Souya.\In our land, he was the child of God.\You don't have that soccer-ball like rice ball today.\Mr. Hayashida...\It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it? response:	Kiriyama, take a look at this.
context: He just naturally existed there for that long of a time.\Touji Souya.\In our land, he was the child of God.\You don't have that soccer-ball like rice ball today.\Mr. Hayashida...\It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it?\Kiriyama, take a look at this. response:	The new Modern Shogi.
context: Touji Souya.\In our land, he was the child of God.\You don't have that soccer-ball like rice ball today.\Mr. Hayashida...\It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it?\Kiriyama, take a look at this.\The new Modern Shogi. response:	Tokyo, Takashi Hayashida, Intermediate Level
context: In our land, he was the child of God.\You don't have that soccer-ball like rice ball today.\Mr. Hayashida...\It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it?\Kiriyama, take a look at this.\The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level response:	I'm on there. Magazine Shogi Intersection!
context: You don't have that soccer-ball like rice ball today.\Mr. Hayashida...\It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it?\Kiriyama, take a look at this.\The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection! response:	Oh, yeah. That's great.
context: Mr. Hayashida...\It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it?\Kiriyama, take a look at this.\The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great. response:	Ah, it's set up very neatly.
context: It's too cold to sit outside, huh?\But it's pretty cold here too, isn't it?\Kiriyama, take a look at this.\The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great.\Ah, it's set up very neatly. response:	3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,
context: But it's pretty cold here too, isn't it?\Kiriyama, take a look at this.\The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great.\Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse, response:	same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.
context: Kiriyama, take a look at this.\The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great.\Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight. response:	In 13 moves, checkmate.
context: The new Modern Shogi.\Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great.\Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate. response:	Easy-Peasy
context: Tokyo, Takashi Hayashida, Intermediate Level\I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great.\Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate.\Easy-Peasy response:	Waaah
context: I'm on there. Magazine Shogi Intersection!\Oh, yeah. That's great.\Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate.\Easy-Peasy\Waaah response:	That was fast! A week to create, yet a moment to solve?
context: Oh, yeah. That's great.\Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate.\Easy-Peasy\Waaah\That was fast! A week to create, yet a moment to solve? response:	I-I guess so, since you're a p-professional.
context: Ah, it's set up very neatly.\3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate.\Easy-Peasy\Waaah\That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional. response:	Oh, Master Souya.
context: 3-a-Bishop, 2-c-King, 1-c-Gold, same-Knight, 3-c-Dragon Horse, 1-d-King, 1-c-Dragon Horse,\same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate.\Easy-Peasy\Waaah\That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional.\Oh, Master Souya. response:	He's doing great this season, too.
context: same-King, 2-c-Gold, 1-d-King, 2-f-Knight, same-Gold, 2-d-Knight.\In 13 moves, checkmate.\Easy-Peasy\Waaah\That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional.\Oh, Master Souya.\He's doing great this season, too. response:	He's already successfully defended his Kishin, Seiryuu, and King titles.
context: In 13 moves, checkmate.\Easy-Peasy\Waaah\That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional.\Oh, Master Souya.\He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles. response:	What's he like?
context: Easy-Peasy\Waaah\That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional.\Oh, Master Souya.\He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like? response:	I wonder that, too.
context: Waaah\That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional.\Oh, Master Souya.\He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like?\I wonder that, too. response:	You've never met? Even though you're both professionals?
context: That was fast! A week to create, yet a moment to solve?\I-I guess so, since you're a p-professional.\Oh, Master Souya.\He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like?\I wonder that, too.\You've never met? Even though you're both professionals? response:	I haven't met him, but I have seen him around.
context: I-I guess so, since you're a p-professional.\Oh, Master Souya.\He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like?\I wonder that, too.\You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around. response:	Special Match Room
context: Oh, Master Souya.\He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like?\I wonder that, too.\You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around.\Special Match Room response:	We're in different ranks, and Master Souya currently holds most of the titles.
context: He's doing great this season, too.\He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like?\I wonder that, too.\You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around.\Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles. response:	Even at tournaments, I rarely see him.
context: He's already successfully defended his Kishin, Seiryuu, and King titles.\What's he like?\I wonder that, too.\You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around.\Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him. response:	This person's the same age as me.
context: What's he like?\I wonder that, too.\You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around.\Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him.\This person's the same age as me. response:	But his looks haven't changed since he was a teenager.
context: I wonder that, too.\You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around.\Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him.\This person's the same age as me.\But his looks haven't changed since he was a teenager. response:	It's like time has stopped for him. Such a strange thing.
context: You've never met? Even though you're both professionals?\I haven't met him, but I have seen him around.\Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him.\This person's the same age as me.\But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing. response:	I think the first time I saw him was in middle school,
context: I haven't met him, but I have seen him around.\Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him.\This person's the same age as me.\But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school, response:	in a special feature called, A Middle School Professional is Born.
context: Special Match Room\We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him.\This person's the same age as me.\But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born. response:	Oh, that's right.
context: We're in different ranks, and Master Souya currently holds most of the titles.\Even at tournaments, I rarely see him.\This person's the same age as me.\But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born.\Oh, that's right. response:	Come to think of it, the first time I saw you was in the same kind of feature in this magazine.
context: Even at tournaments, I rarely see him.\This person's the same age as me.\But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born.\Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine. response:	The 5th in History A Middle School Professional
context: This person's the same age as me.\But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born.\Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional response:	Oh, I see.
context: But his looks haven't changed since he was a teenager.\It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born.\Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional\Oh, I see. response:	When you're right in front of me, I tend to forget,
context: It's like time has stopped for him. Such a strange thing.\I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born.\Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional\Oh, I see.\When you're right in front of me, I tend to forget, response:	but you're actually an amazing person.
context: I think the first time I saw him was in middle school,\in a special feature called, A Middle School Professional is Born.\Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional\Oh, I see.\When you're right in front of me, I tend to forget,\but you're actually an amazing person. response:	Even though you sit here all alone eating lunch.
context: in a special feature called, A Middle School Professional is Born.\Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional\Oh, I see.\When you're right in front of me, I tend to forget,\but you're actually an amazing person.\Even though you sit here all alone eating lunch. response:	And even though I don't know if you're here at school or not.
context: Oh, that's right.\Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional\Oh, I see.\When you're right in front of me, I tend to forget,\but you're actually an amazing person.\Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not. response:	Again, Mr. Hayashida, if you would be a little more tactful.
context: Come to think of it, the first time I saw you was in the same kind of feature in this magazine.\The 5th in History A Middle School Professional\Oh, I see.\When you're right in front of me, I tend to forget,\but you're actually an amazing person.\Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful. response:	In the history of shogi,
context: The 5th in History A Middle School Professional\Oh, I see.\When you're right in front of me, I tend to forget,\but you're actually an amazing person.\Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi, response:	there has only been four players who became professionals as middle school students.
context: Oh, I see.\When you're right in front of me, I tend to forget,\but you're actually an amazing person.\Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi,\there has only been four players who became professionals as middle school students. response:	And afterwards, those four either became a Master or won other titles.
context: When you're right in front of me, I tend to forget,\but you're actually an amazing person.\Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi,\there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles. response:	But as the fifth such person...
context: but you're actually an amazing person.\Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi,\there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles.\But as the fifth such person... response:	We anticipate great things. They're already calling you the Future Master.
context: Even though you sit here all alone eating lunch.\And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi,\there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles.\But as the fifth such person...\We anticipate great things. They're already calling you the Future Master. response:	Sometimes even prodigies have a slump.
context: And even though I don't know if you're here at school or not.\Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi,\there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles.\But as the fifth such person...\We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump. response:	Hey, what gives? You better get it together.
context: Again, Mr. Hayashida, if you would be a little more tactful.\In the history of shogi,\there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles.\But as the fifth such person...\We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump.\Hey, what gives? You better get it together. response:	Remember, you're the Future Master.
context: In the history of shogi,\there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles.\But as the fifth such person...\We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump.\Hey, what gives? You better get it together.\Remember, you're the Future Master. response:	Did you get full of yourself after people called you a prodigy?
context: there has only been four players who became professionals as middle school students.\And afterwards, those four either became a Master or won other titles.\But as the fifth such person...\We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump.\Hey, what gives? You better get it together.\Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy? response:	I'm...
context: And afterwards, those four either became a Master or won other titles.\But as the fifth such person...\We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump.\Hey, what gives? You better get it together.\Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy?\I'm... response:	I'm not amazing at all.
context: But as the fifth such person...\We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump.\Hey, what gives? You better get it together.\Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy?\I'm...\I'm not amazing at all. response:	Flap
context: We anticipate great things. They're already calling you the Future Master.\Sometimes even prodigies have a slump.\Hey, what gives? You better get it together.\Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy?\I'm...\I'm not amazing at all.\Flap response:	Here. I'll give this to you. Cutlet!
context: Sometimes even prodigies have a slump.\Hey, what gives? You better get it together.\Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy?\I'm...\I'm not amazing at all.\Flap\Here. I'll give this to you. Cutlet! response:	You know, it's that.
context: Hey, what gives? You better get it together.\Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy?\I'm...\I'm not amazing at all.\Flap\Here. I'll give this to you. Cutlet!\You know, it's that. response:	Cut-let yourself to victory!
context: Remember, you're the Future Master.\Did you get full of yourself after people called you a prodigy?\I'm...\I'm not amazing at all.\Flap\Here. I'll give this to you. Cutlet!\You know, it's that.\Cut-let yourself to victory! response:	Maybe not.
context: Did you get full of yourself after people called you a prodigy?\I'm...\I'm not amazing at all.\Flap\Here. I'll give this to you. Cutlet!\You know, it's that.\Cut-let yourself to victory!\Maybe not. response:	Maybe in this case...
context: I'm...\I'm not amazing at all.\Flap\Here. I'll give this to you. Cutlet!\You know, it's that.\Cut-let yourself to victory!\Maybe not.\Maybe in this case... response:	you need to win from yourself. Yeah.
context: I'm not amazing at all.\Flap\Here. I'll give this to you. Cutlet!\You know, it's that.\Cut-let yourself to victory!\Maybe not.\Maybe in this case...\you need to win from yourself. Yeah. response:	Oh, I see. Mr. Hayashida is referring to my consecutive defeats.
context: Flap\Here. I'll give this to you. Cutlet!\You know, it's that.\Cut-let yourself to victory!\Maybe not.\Maybe in this case...\you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats. response:	Well, you know, Kiriyama, it'll be even colder next month.
context: Here. I'll give this to you. Cutlet!\You know, it's that.\Cut-let yourself to victory!\Maybe not.\Maybe in this case...\you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month. response:	You should start eating in the classroom...
context: You know, it's that.\Cut-let yourself to victory!\Maybe not.\Maybe in this case...\you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom... response:	Although, I guess you'd stand out if you ate by yourself in class.
context: Cut-let yourself to victory!\Maybe not.\Maybe in this case...\you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class. response:	That's tough.
context: Maybe not.\Maybe in this case...\you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class.\That's tough. response:	Thin
context: Maybe in this case...\you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class.\That's tough.\Thin response:	See, Mr. Hayashida, if you could candy-coat it a bit...
context: you need to win from yourself. Yeah.\Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class.\That's tough.\Thin\See, Mr. Hayashida, if you could candy-coat it a bit... response:	Thin Smile
context: Oh, I see. Mr. Hayashida is referring to my consecutive defeats.\Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class.\That's tough.\Thin\See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile response:	Oh, I get it. Your sense of subtlety must be broken. For sure.
context: Well, you know, Kiriyama, it'll be even colder next month.\You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class.\That's tough.\Thin\See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure. response:	Oh! I could eat lunch in class with you.
context: You should start eating in the classroom...\Although, I guess you'd stand out if you ate by yourself in class.\That's tough.\Thin\See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you. response:	Mr. Hayashida, I think I would stand out even more.
context: Although, I guess you'd stand out if you ate by yourself in class.\That's tough.\Thin\See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more. response:	Kiriyama, you get good grades on exams,
context: That's tough.\Thin\See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams, response:	but you didn't come back to high school because you wanted to study.
context: Thin\See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study. response:	I think.
context: See, Mr. Hayashida, if you could candy-coat it a bit...\Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study.\I think. response:	He guessed it correctly, so I couldn't say anything back.
context: Thin Smile\Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study.\I think.\He guessed it correctly, so I couldn't say anything back. response:	In November, after getting my third black star,
context: Oh, I get it. Your sense of subtlety must be broken. For sure.\Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study.\I think.\He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star, response:	I felt like I swallowed black ink.
context: Oh! I could eat lunch in class with you.\Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study.\I think.\He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star,\I felt like I swallowed black ink. response:	I understand it in my head, but why can't I move?
context: Mr. Hayashida, I think I would stand out even more.\Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study.\I think.\He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star,\I felt like I swallowed black ink.\I understand it in my head, but why can't I move? response:	I say I have no reason to win, but why is it so painful when I lose?
context: Kiriyama, you get good grades on exams,\but you didn't come back to high school because you wanted to study.\I think.\He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star,\I felt like I swallowed black ink.\I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose? response:	It's always a half-measure...
context: but you didn't come back to high school because you wanted to study.\I think.\He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star,\I felt like I swallowed black ink.\I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure... response:	Rei?
context: I think.\He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star,\I felt like I swallowed black ink.\I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Rei? response:	Hina.
context: He guessed it correctly, so I couldn't say anything back.\In November, after getting my third black star,\I felt like I swallowed black ink.\I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Rei?\Hina. response:	Are you going to the shopping area, too?
context: In November, after getting my third black star,\I felt like I swallowed black ink.\I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Rei?\Hina.\Are you going to the shopping area, too? response:	Me too. I'm going to the bookstore.
context: I felt like I swallowed black ink.\I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Rei?\Hina.\Are you going to the shopping area, too?\Me too. I'm going to the bookstore. response:	Want to go together?
context: I understand it in my head, but why can't I move?\I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Rei?\Hina.\Are you going to the shopping area, too?\Me too. I'm going to the bookstore.\Want to go together? response:	You haven't come over recently, huh?
context: I say I have no reason to win, but why is it so painful when I lose?\It's always a half-measure...\Rei?\Hina.\Are you going to the shopping area, too?\Me too. I'm going to the bookstore.\Want to go together?\You haven't come over recently, huh? response:	We had dumplings last night. Homemade, even the wrappers.
context: It's always a half-measure...\Rei?\Hina.\Are you going to the shopping area, too?\Me too. I'm going to the bookstore.\Want to go together?\You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers. response:	They were delicious. You should've came over.
context: Rei?\Hina.\Are you going to the shopping area, too?\Me too. I'm going to the bookstore.\Want to go together?\You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over. response:	Yeah. I see...
context: Hina.\Are you going to the shopping area, too?\Me too. I'm going to the bookstore.\Want to go together?\You haven't come over recently, huh?\We had dumplings last night. Homemade, even the wrappers.\They were delicious. You should've came over.\Yeah. I see... response:	How about I buy it for you?
