context: It's Misa-chan in glasses! response:	So nice
context: Buzz off, flies.\He goes and says something like that.\How could we apologize to him?\But, you're telling us to apologize anyways.\So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School.\I see an extra face here. response:	Is he the Vice President or something?
context: He goes and says something like that.\How could we apologize to him?\But, you're telling us to apologize anyways.\So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School.\I see an extra face here.\Is he the Vice President or something? response:	No, I'm here to study sociology.
context: How could we apologize to him?\But, you're telling us to apologize anyways.\So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School.\I see an extra face here.\Is he the Vice President or something?\No, I'm here to study sociology. response:	I see.
context: But, you're telling us to apologize anyways.\So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School.\I see an extra face here.\Is he the Vice President or something?\No, I'm here to study sociology.\I see. response:	What?
context: So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School.\I see an extra face here.\Is he the Vice President or something?\No, I'm here to study sociology.\I see.\What? response:	You...
context: Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School.\I see an extra face here.\Is he the Vice President or something?\No, I'm here to study sociology.\I see.\What?\You... response:	So, you two there.
context: So you're finally here, Seika High School.\I see an extra face here.\Is he the Vice President or something?\No, I'm here to study sociology.\I see.\What?\You...\So, you two there. response:	Your apology please.
context: I see an extra face here.\Is he the Vice President or something?\No, I'm here to study sociology.\I see.\What?\You...\So, you two there.\Your apology please. response:	I've been looking forward to how you'll show me your sincerity.
context: Is he the Vice President or something?\No, I'm here to study sociology.\I see.\What?\You...\So, you two there.\Your apology please.\I've been looking forward to how you'll show me your sincerity. response:	What's the matter? Did you not come to apologize?
context: No, I'm here to study sociology.\I see.\What?\You...\So, you two there.\Your apology please.\I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize? response:	This is why I hate brainless poor people.
context: I see.\What?\You...\So, you two there.\Your apology please.\I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize?\This is why I hate brainless poor people. response:	Very well. We'll continue this in the Student Council Room.
context: What?\You...\So, you two there.\Your apology please.\I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize?\This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room. response:	Brainless poor people, you said?
context: You...\So, you two there.\Your apology please.\I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize?\This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said? response:	I see. So you called our students flies just like that.
context: So, you two there.\Your apology please.\I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize?\This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said?\I see. So you called our students flies just like that. response:	I'm fine with continuing this in the Student Council Room.
context: Your apology please.\I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize?\This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said?\I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room. response:	I don't mind making this an official issue.
context: I've been looking forward to how you'll show me your sincerity.\What's the matter? Did you not come to apologize?\This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said?\I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue. response:	However, I would like you to apologize to us first!
context: What's the matter? Did you not come to apologize?\This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said?\I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue.\However, I would like you to apologize to us first! response:	Why should I?
context: This is why I hate brainless poor people.\Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said?\I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue.\However, I would like you to apologize to us first!\Why should I? response:	Because you were the first to insult our students, causing them to punch you.
context: Very well. We'll continue this in the Student Council Room.\Brainless poor people, you said?\I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue.\However, I would like you to apologize to us first!\Why should I?\Because you were the first to insult our students, causing them to punch you. response:	Honestly, I want to beat the crap out of you, too.
context: Brainless poor people, you said?\I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue.\However, I would like you to apologize to us first!\Why should I?\Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too. response:	You make me sick.
context: I see. So you called our students flies just like that.\I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue.\However, I would like you to apologize to us first!\Why should I?\Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too.\You make me sick. response:	Nothing lets you call the students of Seika flies.
context: I'm fine with continuing this in the Student Council Room.\I don't mind making this an official issue.\However, I would like you to apologize to us first!\Why should I?\Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too.\You make me sick.\Nothing lets you call the students of Seika flies. response:	I demand an apology from you.
context: I don't mind making this an official issue.\However, I would like you to apologize to us first!\Why should I?\Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too.\You make me sick.\Nothing lets you call the students of Seika flies.\I demand an apology from you. response:	Ridiculous.
context: However, I would like you to apologize to us first!\Why should I?\Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too.\You make me sick.\Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ridiculous. response:	What's wrong with calling a fly a fly?
context: Why should I?\Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too.\You make me sick.\Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ridiculous.\What's wrong with calling a fly a fly? response:	That's right. How about we settle this with a game of chess then?
context: Because you were the first to insult our students, causing them to punch you.\Honestly, I want to beat the crap out of you, too.\You make me sick.\Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ridiculous.\What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then? response:	If you can beat me in this game, then I will admit that Seika's students are not flies.
context: Honestly, I want to beat the crap out of you, too.\You make me sick.\Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ridiculous.\What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies. response:	We've never played chess before!
context: You make me sick.\Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ridiculous.\What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before! response:	I hate how he says that so arrogantly.
context: Nothing lets you call the students of Seika flies.\I demand an apology from you.\Ridiculous.\What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before!\I hate how he says that so arrogantly. response:	How about you, Prez?
context: I demand an apology from you.\Ridiculous.\What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before!\I hate how he says that so arrogantly.\How about you, Prez? response:	I've only played Shougi.
context: Ridiculous.\What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before!\I hate how he says that so arrogantly.\How about you, Prez?\I've only played Shougi. response:	Then I guess I'll play.
context: What's wrong with calling a fly a fly?\That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before!\I hate how he says that so arrogantly.\How about you, Prez?\I've only played Shougi.\Then I guess I'll play. response:	Should I explain the rules?
context: That's right. How about we settle this with a game of chess then?\If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before!\I hate how he says that so arrogantly.\How about you, Prez?\I've only played Shougi.\Then I guess I'll play.\Should I explain the rules? response:	I've played a bit in the past, so you don't have to.
context: If you can beat me in this game, then I will admit that Seika's students are not flies.\We've never played chess before!\I hate how he says that so arrogantly.\How about you, Prez?\I've only played Shougi.\Then I guess I'll play.\Should I explain the rules?\I've played a bit in the past, so you don't have to. response:	I see.
context: We've never played chess before!\I hate how he says that so arrogantly.\How about you, Prez?\I've only played Shougi.\Then I guess I'll play.\Should I explain the rules?\I've played a bit in the past, so you don't have to.\I see. response:	You can move first.
context: I hate how he says that so arrogantly.\How about you, Prez?\I've only played Shougi.\Then I guess I'll play.\Should I explain the rules?\I've played a bit in the past, so you don't have to.\I see.\You can move first. response:	I don't get him.
context: How about you, Prez?\I've only played Shougi.\Then I guess I'll play.\Should I explain the rules?\I've played a bit in the past, so you don't have to.\I see.\You can move first.\I don't get him. response:	I placed fourth in this year's national tournament.
context: I've only played Shougi.\Then I guess I'll play.\Should I explain the rules?\I've played a bit in the past, so you don't have to.\I see.\You can move first.\I don't get him.\I placed fourth in this year's national tournament. response:	So?
context: Then I guess I'll play.\Should I explain the rules?\I've played a bit in the past, so you don't have to.\I see.\You can move first.\I don't get him.\I placed fourth in this year's national tournament.\So? response:	So, I better go easy on you a little.
context: Should I explain the rules?\I've played a bit in the past, so you don't have to.\I see.\You can move first.\I don't get him.\I placed fourth in this year's national tournament.\So?\So, I better go easy on you a little. response:	You don't have to.
context: I've played a bit in the past, so you don't have to.\I see.\You can move first.\I don't get him.\I placed fourth in this year's national tournament.\So?\So, I better go easy on you a little.\You don't have to. response:	But instead,
context: I see.\You can move first.\I don't get him.\I placed fourth in this year's national tournament.\So?\So, I better go easy on you a little.\You don't have to.\But instead, response:	If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.
context: You can move first.\I don't get him.\I placed fourth in this year's national tournament.\So?\So, I better go easy on you a little.\You don't have to.\But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly. response:	W-What is he saying?
context: I don't get him.\I placed fourth in this year's national tournament.\So?\So, I better go easy on you a little.\You don't have to.\But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying? response:	What about us?
context: I placed fourth in this year's national tournament.\So?\So, I better go easy on you a little.\You don't have to.\But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying?\What about us? response:	How could I possibly lose when I'm playing seriously?
context: So?\So, I better go easy on you a little.\You don't have to.\But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying?\What about us?\How could I possibly lose when I'm playing seriously? response:	Isn't he losing his nerve?
context: So, I better go easy on you a little.\You don't have to.\But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying?\What about us?\How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve? response:	Could it be that Usui-san is good?
context: You don't have to.\But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying?\What about us?\How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve?\Could it be that Usui-san is good? response:	He might be.
context: But instead,\If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying?\What about us?\How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve?\Could it be that Usui-san is good?\He might be. response:	So? Are you going to resign?
context: If I win against you playing seriously, you have to admit that Seika's Prez is a butterfly rather than a fly.\W-What is he saying?\What about us?\How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve?\Could it be that Usui-san is good?\He might be.\So? Are you going to resign? response:	Who would!
context: W-What is he saying?\What about us?\How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve?\Could it be that Usui-san is good?\He might be.\So? Are you going to resign?\Who would! response:	Now what?
context: What about us?\How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve?\Could it be that Usui-san is good?\He might be.\So? Are you going to resign?\Who would!\Now what? response:	Checkmate.
context: How could I possibly lose when I'm playing seriously?\Isn't he losing his nerve?\Could it be that Usui-san is good?\He might be.\So? Are you going to resign?\Who would!\Now what?\Checkmate. response:	He won without even trying!
context: Isn't he losing his nerve?\Could it be that Usui-san is good?\He might be.\So? Are you going to resign?\Who would!\Now what?\Checkmate.\He won without even trying! response:	Care for another game?
context: Could it be that Usui-san is good?\He might be.\So? Are you going to resign?\Who would!\Now what?\Checkmate.\He won without even trying!\Care for another game? response:	Hey! Keep your voices down!
context: He might be.\So? Are you going to resign?\Who would!\Now what?\Checkmate.\He won without even trying!\Care for another game?\Hey! Keep your voices down! response:	You're bothering the other passengers.
context: So? Are you going to resign?\Who would!\Now what?\Checkmate.\He won without even trying!\Care for another game?\Hey! Keep your voices down!\You're bothering the other passengers. response:	That four-eyes is awesome!
context: Who would!\Now what?\Checkmate.\He won without even trying!\Care for another game?\Hey! Keep your voices down!\You're bothering the other passengers.\That four-eyes is awesome! response:	How could we possibly gauge an individual's worth through a game like this? he said!
context: Now what?\Checkmate.\He won without even trying!\Care for another game?\Hey! Keep your voices down!\You're bothering the other passengers.\That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said! response:	You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!
context: Checkmate.\He won without even trying!\Care for another game?\Hey! Keep your voices down!\You're bothering the other passengers.\That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air! response:	You heard that last part?
context: He won without even trying!\Care for another game?\Hey! Keep your voices down!\You're bothering the other passengers.\That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part? response:	So lame!
context: Care for another game?\Hey! Keep your voices down!\You're bothering the other passengers.\That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part?\So lame! response:	That made us feel a lot better!
context: Hey! Keep your voices down!\You're bothering the other passengers.\That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part?\So lame!\That made us feel a lot better! response:	Usui-san, Prez! Thank you so much!
context: You're bothering the other passengers.\That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part?\So lame!\That made us feel a lot better!\Usui-san, Prez! Thank you so much! response:	You guys shouldn't get too carried away, alright?
context: That four-eyes is awesome!\How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part?\So lame!\That made us feel a lot better!\Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright? response:	You are at fault, too, so if something like this happens again-
context: How could we possibly gauge an individual's worth through a game like this? he said!\You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part?\So lame!\That made us feel a lot better!\Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again- response:	When it happens,
context: You're flies! Seika is nothing but flies! I don't want to be even breathing the same air!\You heard that last part?\So lame!\That made us feel a lot better!\Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again-\When it happens, response:	We'll ask for your help.
context: You heard that last part?\So lame!\That made us feel a lot better!\Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again-\When it happens,\We'll ask for your help. response:	Gosh, they're such a hassle.
context: So lame!\That made us feel a lot better!\Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again-\When it happens,\We'll ask for your help.\Gosh, they're such a hassle. response:	To me, you're a bigger hassle.
context: That made us feel a lot better!\Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again-\When it happens,\We'll ask for your help.\Gosh, they're such a hassle.\To me, you're a bigger hassle. response:	Anyways, is Miyabigaoka filled with students like him?
context: Usui-san, Prez! Thank you so much!\You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again-\When it happens,\We'll ask for your help.\Gosh, they're such a hassle.\To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him? response:	But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.
context: You guys shouldn't get too carried away, alright?\You are at fault, too, so if something like this happens again-\When it happens,\We'll ask for your help.\Gosh, they're such a hassle.\To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine. response:	Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.
context: You are at fault, too, so if something like this happens again-\When it happens,\We'll ask for your help.\Gosh, they're such a hassle.\To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School. response:	Seika is more savage and dangerous than the rumors say.
context: When it happens,\We'll ask for your help.\Gosh, they're such a hassle.\To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say. response:	Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.
context: We'll ask for your help.\Gosh, they're such a hassle.\To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order. response:	Shut up, Koganei.
context: Gosh, they're such a hassle.\To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei. response:	They're from Miyabigaoka.
context: To me, you're a bigger hassle.\Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei.\They're from Miyabigaoka. response:	What are they here for? They're so annoying.
context: Anyways, is Miyabigaoka filled with students like him?\But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei.\They're from Miyabigaoka.\What are they here for? They're so annoying. response:	We've got a problem!
context: But then, I'm sure there are better guys that that, and there must be troubles that rich people face that I can't imagine.\Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei.\They're from Miyabigaoka.\What are they here for? They're so annoying.\We've got a problem! response:	What's the matter?
context: Therefore, I'm here to request that you, Prez, demand an apology from Seika High School.\Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei.\They're from Miyabigaoka.\What are they here for? They're so annoying.\We've got a problem!\What's the matter? response:	Miyabigaoka's Student Council President is here.
context: Seika is more savage and dangerous than the rumors say.\Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei.\They're from Miyabigaoka.\What are they here for? They're so annoying.\We've got a problem!\What's the matter?\Miyabigaoka's Student Council President is here. response:	He's the heir to the Igarashi Foundation.
context: Besides, a girl being President in the midst of boys is proof of a lack of motivation and an atrophy of order.\Shut up, Koganei.\They're from Miyabigaoka.\What are they here for? They're so annoying.\We've got a problem!\What's the matter?\Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation. response:	I've seen him on a magazine before.
context: Shut up, Koganei.\They're from Miyabigaoka.\What are they here for? They're so annoying.\We've got a problem!\What's the matter?\Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation.\I've seen him on a magazine before. response:	Oh no... Is he here to complain to Misaki?
context: They're from Miyabigaoka.\What are they here for? They're so annoying.\We've got a problem!\What's the matter?\Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation.\I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki? response:	No worries. Misaki-san will take care of him.
context: What are they here for? They're so annoying.\We've got a problem!\What's the matter?\Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation.\I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him. response:	I'm the Student Council President of Miyabigaoka, Igarashi Tora.
context: We've got a problem!\What's the matter?\Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation.\I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora. response:	What brings Miyabigaoka's Student Council President here?
context: What's the matter?\Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation.\I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here? response:	I'm sorry for our student's insolent behavior.
context: Miyabigaoka's Student Council President is here.\He's the heir to the Igarashi Foundation.\I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior. response:	I have suggested to the Principal that he should be expelled from the school.
context: He's the heir to the Igarashi Foundation.\I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school. response:	Expelled? Isn't that too strict?
context: I've seen him on a magazine before.\Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict? response:	We do share part of the blame for actually punching him, too.
context: Oh no... Is he here to complain to Misaki?\No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too. response:	Then will you forgive him?
context: No worries. Misaki-san will take care of him.\I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too.\Then will you forgive him? response:	Of course. It wasn't anything you had to come all the way here for, too.
context: I'm the Student Council President of Miyabigaoka, Igarashi Tora.\What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too.\Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too. response:	Then I may cancel his expulsion?
context: What brings Miyabigaoka's Student Council President here?\I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too.\Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion? response:	Please.
context: I'm sorry for our student's insolent behavior.\I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too.\Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion?\Please. response:	I'm glad to hear that.
context: I have suggested to the Principal that he should be expelled from the school.\Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too.\Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion?\Please.\I'm glad to hear that. response:	Still, you're exactly as the rumors had said.
context: Expelled? Isn't that too strict?\We do share part of the blame for actually punching him, too.\Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion?\Please.\I'm glad to hear that.\Still, you're exactly as the rumors had said. response:	Rumors?
context: We do share part of the blame for actually punching him, too.\Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion?\Please.\I'm glad to hear that.\Still, you're exactly as the rumors had said.\Rumors? response:	Yes. You're fair, thoughtful, and always think foremost of the students.
context: Then will you forgive him?\Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion?\Please.\I'm glad to hear that.\Still, you're exactly as the rumors had said.\Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students. response:	Hey, he's gentlemanly.
context: Of course. It wasn't anything you had to come all the way here for, too.\Then I may cancel his expulsion?\Please.\I'm glad to hear that.\Still, you're exactly as the rumors had said.\Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly. response:	A true celebrity is different.
context: Then I may cancel his expulsion?\Please.\I'm glad to hear that.\Still, you're exactly as the rumors had said.\Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly.\A true celebrity is different. response:	What did you do that for!?
context: Please.\I'm glad to hear that.\Still, you're exactly as the rumors had said.\Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly.\A true celebrity is different.\What did you do that for!? response:	Those guys are goofing off again.
context: I'm glad to hear that.\Still, you're exactly as the rumors had said.\Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly.\A true celebrity is different.\What did you do that for!?\Those guys are goofing off again. response:	Stop, you guys!
context: Still, you're exactly as the rumors had said.\Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly.\A true celebrity is different.\What did you do that for!?\Those guys are goofing off again.\Stop, you guys! response:	Are you all right?!
context: Rumors?\Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly.\A true celebrity is different.\What did you do that for!?\Those guys are goofing off again.\Stop, you guys!\Are you all right?! response:	Don't I always tell you to use that extra energy for studying?
context: Yes. You're fair, thoughtful, and always think foremost of the students.\Hey, he's gentlemanly.\A true celebrity is different.\What did you do that for!?\Those guys are goofing off again.\Stop, you guys!\Are you all right?!\Don't I always tell you to use that extra energy for studying? response:	I totally forgot about President Igarashi.
context: Hey, he's gentlemanly.\A true celebrity is different.\What did you do that for!?\Those guys are goofing off again.\Stop, you guys!\Are you all right?!\Don't I always tell you to use that extra energy for studying?\I totally forgot about President Igarashi. response:	That was wonderful!
context: A true celebrity is different.\What did you do that for!?\Those guys are goofing off again.\Stop, you guys!\Are you all right?!\Don't I always tell you to use that extra energy for studying?\I totally forgot about President Igarashi.\That was wonderful! response:	Someone so strong and beautiful is truly a dependable person.
