context: I'm Kurihara Osamu, a first-year in high school. response:	The candle we both lit in our hearts on a holy night
context: Goodnight.\Night.\Happy Birthday, Takeo-kun!\Oh, thanks.\Were you sleeping, Takeo-kun?\Oh, don't worry about it.\Sorry about that.\See you tomorrow... Oh, it's already today! response:	Yeah.
context: Night.\Happy Birthday, Takeo-kun!\Oh, thanks.\Were you sleeping, Takeo-kun?\Oh, don't worry about it.\Sorry about that.\See you tomorrow... Oh, it's already today!\Yeah. response:	Goodnight.
context: Happy Birthday, Takeo-kun!\Oh, thanks.\Were you sleeping, Takeo-kun?\Oh, don't worry about it.\Sorry about that.\See you tomorrow... Oh, it's already today!\Yeah.\Goodnight. response:	Night.
context: Oh, thanks.\Were you sleeping, Takeo-kun?\Oh, don't worry about it.\Sorry about that.\See you tomorrow... Oh, it's already today!\Yeah.\Goodnight.\Night. response:	This year will be a good year, too.
context: Were you sleeping, Takeo-kun?\Oh, don't worry about it.\Sorry about that.\See you tomorrow... Oh, it's already today!\Yeah.\Goodnight.\Night.\This year will be a good year, too. response:	Ram HNY Gouda Takeo
context: Oh, don't worry about it.\Sorry about that.\See you tomorrow... Oh, it's already today!\Yeah.\Goodnight.\Night.\This year will be a good year, too.\Ram HNY Gouda Takeo response:	first laugh of the year
context: Sorry about that.\See you tomorrow... Oh, it's already today!\Yeah.\Goodnight.\Night.\This year will be a good year, too.\Ram HNY Gouda Takeo\first laugh of the year response:	Happy New Year!
context: See you tomorrow... Oh, it's already today!\Yeah.\Goodnight.\Night.\This year will be a good year, too.\Ram HNY Gouda Takeo\first laugh of the year\Happy New Year! response:	Happy New Year.
context: Yeah.\Goodnight.\Night.\This year will be a good year, too.\Ram HNY Gouda Takeo\first laugh of the year\Happy New Year!\Happy New Year. response:	Happy New Year.
context: Goodnight.\Night.\This year will be a good year, too.\Ram HNY Gouda Takeo\first laugh of the year\Happy New Year!\Happy New Year.\Happy New Year. response:	Here, your New Year's gift.
context: Night.\This year will be a good year, too.\Ram HNY Gouda Takeo\first laugh of the year\Happy New Year!\Happy New Year.\Happy New Year.\Here, your New Year's gift. response:	New Year's Gift
context: This year will be a good year, too.\Ram HNY Gouda Takeo\first laugh of the year\Happy New Year!\Happy New Year.\Happy New Year.\Here, your New Year's gift.\New Year's Gift response:	Oh, thanks!
context: Ram HNY Gouda Takeo\first laugh of the year\Happy New Year!\Happy New Year.\Happy New Year.\Here, your New Year's gift.\New Year's Gift\Oh, thanks! response:	I'm off.
context: first laugh of the year\Happy New Year!\Happy New Year.\Happy New Year.\Here, your New Year's gift.\New Year's Gift\Oh, thanks!\I'm off. response:	Okay.
context: Happy New Year!\Happy New Year.\Happy New Year.\Here, your New Year's gift.\New Year's Gift\Oh, thanks!\I'm off.\Okay. response:	Yamato!
context: Happy New Year.\Happy New Year.\Here, your New Year's gift.\New Year's Gift\Oh, thanks!\I'm off.\Okay.\Yamato! response:	Takeo-kun!
context: Happy New Year.\Here, your New Year's gift.\New Year's Gift\Oh, thanks!\I'm off.\Okay.\Yamato!\Takeo-kun! response:	I love her this year, too.
context: Here, your New Year's gift.\New Year's Gift\Oh, thanks!\I'm off.\Okay.\Yamato!\Takeo-kun!\I love her this year, too. response:	Happy birthday.
context: New Year's Gift\Oh, thanks!\I'm off.\Okay.\Yamato!\Takeo-kun!\I love her this year, too.\Happy birthday. response:	Thanks.
context: Oh, thanks!\I'm off.\Okay.\Yamato!\Takeo-kun!\I love her this year, too.\Happy birthday.\Thanks. response:	It's her second time saying it.
context: I'm off.\Okay.\Yamato!\Takeo-kun!\I love her this year, too.\Happy birthday.\Thanks.\It's her second time saying it. response:	It's my second time saying it.
context: Okay.\Yamato!\Takeo-kun!\I love her this year, too.\Happy birthday.\Thanks.\It's her second time saying it.\It's my second time saying it. response:	Yeah.
context: Yamato!\Takeo-kun!\I love her this year, too.\Happy birthday.\Thanks.\It's her second time saying it.\It's my second time saying it.\Yeah. response:	I was really happy I could be there for your birthday this year.
context: Takeo-kun!\I love her this year, too.\Happy birthday.\Thanks.\It's her second time saying it.\It's my second time saying it.\Yeah.\I was really happy I could be there for your birthday this year. response:	Oh, I guess it's last year now.
context: I love her this year, too.\Happy birthday.\Thanks.\It's her second time saying it.\It's my second time saying it.\Yeah.\I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now. response:	Yeah.
context: Happy birthday.\Thanks.\It's her second time saying it.\It's my second time saying it.\Yeah.\I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now.\Yeah. response:	So I'd like to make your birthday something you'll never forget.
context: Thanks.\It's her second time saying it.\It's my second time saying it.\Yeah.\I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now.\Yeah.\So I'd like to make your birthday something you'll never forget. response:	Okay.
context: It's her second time saying it.\It's my second time saying it.\Yeah.\I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now.\Yeah.\So I'd like to make your birthday something you'll never forget.\Okay. response:	I'll never forget, not ever.
context: It's my second time saying it.\Yeah.\I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now.\Yeah.\So I'd like to make your birthday something you'll never forget.\Okay.\I'll never forget, not ever. response:	Aren't your hands cold, Takeo-kun?
context: Yeah.\I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now.\Yeah.\So I'd like to make your birthday something you'll never forget.\Okay.\I'll never forget, not ever.\Aren't your hands cold, Takeo-kun? response:	Not at all.
context: I was really happy I could be there for your birthday this year.\Oh, I guess it's last year now.\Yeah.\So I'd like to make your birthday something you'll never forget.\Okay.\I'll never forget, not ever.\Aren't your hands cold, Takeo-kun?\Not at all. response:	I need gloves!
context: Oh, I guess it's last year now.\Yeah.\So I'd like to make your birthday something you'll never forget.\Okay.\I'll never forget, not ever.\Aren't your hands cold, Takeo-kun?\Not at all.\I need gloves! response:	I see.
context: Yeah.\So I'd like to make your birthday something you'll never forget.\Okay.\I'll never forget, not ever.\Aren't your hands cold, Takeo-kun?\Not at all.\I need gloves!\I see. response:	I love her!
context: So I'd like to make your birthday something you'll never forget.\Okay.\I'll never forget, not ever.\Aren't your hands cold, Takeo-kun?\Not at all.\I need gloves!\I see.\I love her! response:	Do you always come here, Takeo-kun?
context: Okay.\I'll never forget, not ever.\Aren't your hands cold, Takeo-kun?\Not at all.\I need gloves!\I see.\I love her!\Do you always come here, Takeo-kun? response:	Not always...
context: I'll never forget, not ever.\Aren't your hands cold, Takeo-kun?\Not at all.\I need gloves!\I see.\I love her!\Do you always come here, Takeo-kun?\Not always... response:	But last year, I was going to take entrance exams, so I came with Suna.
context: Aren't your hands cold, Takeo-kun?\Not at all.\I need gloves!\I see.\I love her!\Do you always come here, Takeo-kun?\Not always...\But last year, I was going to take entrance exams, so I came with Suna. response:	I came last year, too.
context: Not at all.\I need gloves!\I see.\I love her!\Do you always come here, Takeo-kun?\Not always...\But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too. response:	This year, your family will be having a new baby.
context: I need gloves!\I see.\I love her!\Do you always come here, Takeo-kun?\Not always...\But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too.\This year, your family will be having a new baby. response:	Yeah.
context: I see.\I love her!\Do you always come here, Takeo-kun?\Not always...\But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too.\This year, your family will be having a new baby.\Yeah. response:	It'll be fun.
context: I love her!\Do you always come here, Takeo-kun?\Not always...\But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too.\This year, your family will be having a new baby.\Yeah.\It'll be fun. response:	Yeah, I'm looking forward to it.
context: Do you always come here, Takeo-kun?\Not always...\But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too.\This year, your family will be having a new baby.\Yeah.\It'll be fun.\Yeah, I'm looking forward to it. response:	Wow, look!
context: Not always...\But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too.\This year, your family will be having a new baby.\Yeah.\It'll be fun.\Yeah, I'm looking forward to it.\Wow, look! response:	Fortune Great Luck
context: But last year, I was going to take entrance exams, so I came with Suna.\I came last year, too.\This year, your family will be having a new baby.\Yeah.\It'll be fun.\Yeah, I'm looking forward to it.\Wow, look!\Fortune Great Luck response:	You got great luck on your fortune!
context: I came last year, too.\This year, your family will be having a new baby.\Yeah.\It'll be fun.\Yeah, I'm looking forward to it.\Wow, look!\Fortune Great Luck\You got great luck on your fortune! response:	What did you get?
context: This year, your family will be having a new baby.\Yeah.\It'll be fun.\Yeah, I'm looking forward to it.\Wow, look!\Fortune Great Luck\You got great luck on your fortune!\What did you get? response:	I got small luck.
context: Yeah.\It'll be fun.\Yeah, I'm looking forward to it.\Wow, look!\Fortune Great Luck\You got great luck on your fortune!\What did you get?\I got small luck. response:	But if you got great luck, that's what I'll have, too.
context: It'll be fun.\Yeah, I'm looking forward to it.\Wow, look!\Fortune Great Luck\You got great luck on your fortune!\What did you get?\I got small luck.\But if you got great luck, that's what I'll have, too. response:	If you got small luck, I'll have small luck, too.
context: Yeah, I'm looking forward to it.\Wow, look!\Fortune Great Luck\You got great luck on your fortune!\What did you get?\I got small luck.\But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too. response:	Oh, right!
context: Wow, look!\Fortune Great Luck\You got great luck on your fortune!\What did you get?\I got small luck.\But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too.\Oh, right! response:	Fortune Small Luck Romance: Women will do well to take the initiative
context: Fortune Great Luck\You got great luck on your fortune!\What did you get?\I got small luck.\But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too.\Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative response:	I don't care if I have small luck...
context: You got great luck on your fortune!\What did you get?\I got small luck.\But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too.\Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck... response:	I've never been lucky with fortunes.
context: What did you get?\I got small luck.\But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too.\Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck...\I've never been lucky with fortunes. response:	Romance: Sleep on it, and wait for good news
context: I got small luck.\But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too.\Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck...\I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news response:	I hope everyone will have a good year.
context: But if you got great luck, that's what I'll have, too.\If you got small luck, I'll have small luck, too.\Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck...\I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news\I hope everyone will have a good year. response:	I hope that my little brother or sister will be born healthy.
context: If you got small luck, I'll have small luck, too.\Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck...\I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news\I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy. response:	I hope that Yamato and I can...
context: Oh, right!\Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck...\I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news\I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can... response:	I hope that we'll stay together.
context: Fortune Small Luck Romance: Women will do well to take the initiative\I don't care if I have small luck...\I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news\I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can...\I hope that we'll stay together. response:	Hey, Takeo-kun... I made a cake.
context: I don't care if I have small luck...\I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news\I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can...\I hope that we'll stay together.\Hey, Takeo-kun... I made a cake. response:	Can I come to your place?
context: I've never been lucky with fortunes.\Romance: Sleep on it, and wait for good news\I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can...\I hope that we'll stay together.\Hey, Takeo-kun... I made a cake.\Can I come to your place? response:	Sure!
context: Romance: Sleep on it, and wait for good news\I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can...\I hope that we'll stay together.\Hey, Takeo-kun... I made a cake.\Can I come to your place?\Sure! response:	I haven't really cleaned up, though... Is that okay?
context: I hope everyone will have a good year.\I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can...\I hope that we'll stay together.\Hey, Takeo-kun... I made a cake.\Can I come to your place?\Sure!\I haven't really cleaned up, though... Is that okay? response:	Fortune
context: I hope that my little brother or sister will be born healthy.\I hope that Yamato and I can...\I hope that we'll stay together.\Hey, Takeo-kun... I made a cake.\Can I come to your place?\Sure!\I haven't really cleaned up, though... Is that okay?\Fortune response:	Yeah.
context: I hope that Yamato and I can...\I hope that we'll stay together.\Hey, Takeo-kun... I made a cake.\Can I come to your place?\Sure!\I haven't really cleaned up, though... Is that okay?\Fortune\Yeah. response:	Good
context: I hope that we'll stay together.\Hey, Takeo-kun... I made a cake.\Can I come to your place?\Sure!\I haven't really cleaned up, though... Is that okay?\Fortune\Yeah.\Good response:	I'm home!
context: Hey, Takeo-kun... I made a cake.\Can I come to your place?\Sure!\I haven't really cleaned up, though... Is that okay?\Fortune\Yeah.\Good\I'm home! response:	That was quick.
context: Can I come to your place?\Sure!\I haven't really cleaned up, though... Is that okay?\Fortune\Yeah.\Good\I'm home!\That was quick. response:	Yeah.
context: Sure!\I haven't really cleaned up, though... Is that okay?\Fortune\Yeah.\Good\I'm home!\That was quick.\Yeah. response:	Yamato's with me.
context: I haven't really cleaned up, though... Is that okay?\Fortune\Yeah.\Good\I'm home!\That was quick.\Yeah.\Yamato's with me. response:	Oh, hello, Yamato-san.
context: Fortune\Yeah.\Good\I'm home!\That was quick.\Yeah.\Yamato's with me.\Oh, hello, Yamato-san. response:	Happy New Year.
context: Yeah.\Good\I'm home!\That was quick.\Yeah.\Yamato's with me.\Oh, hello, Yamato-san.\Happy New Year. response:	Happy New Year.
context: Good\I'm home!\That was quick.\Yeah.\Yamato's with me.\Oh, hello, Yamato-san.\Happy New Year.\Happy New Year. response:	I hope we have a good year ahead!
context: I'm home!\That was quick.\Yeah.\Yamato's with me.\Oh, hello, Yamato-san.\Happy New Year.\Happy New Year.\I hope we have a good year ahead! response:	Crap... It's messier than I thought.
context: That was quick.\Yeah.\Yamato's with me.\Oh, hello, Yamato-san.\Happy New Year.\Happy New Year.\I hope we have a good year ahead!\Crap... It's messier than I thought. response:	Oh, I'll help, too.
context: Yeah.\Yamato's with me.\Oh, hello, Yamato-san.\Happy New Year.\Happy New Year.\I hope we have a good year ahead!\Crap... It's messier than I thought.\Oh, I'll help, too. response:	Take!
context: Yamato's with me.\Oh, hello, Yamato-san.\Happy New Year.\Happy New Year.\I hope we have a good year ahead!\Crap... It's messier than I thought.\Oh, I'll help, too.\Take! response:	Mom's going with Dad to the shrine and the New Year's sales.
context: Oh, hello, Yamato-san.\Happy New Year.\Happy New Year.\I hope we have a good year ahead!\Crap... It's messier than I thought.\Oh, I'll help, too.\Take!\Mom's going with Dad to the shrine and the New Year's sales. response:	We'll stop on our way home to buy food,
context: Happy New Year.\Happy New Year.\I hope we have a good year ahead!\Crap... It's messier than I thought.\Oh, I'll help, too.\Take!\Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food, response:	so we won't be back for about five hours.
context: Happy New Year.\I hope we have a good year ahead!\Crap... It's messier than I thought.\Oh, I'll help, too.\Take!\Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food,\so we won't be back for about five hours. response:	Okay, that's a long time.
context: I hope we have a good year ahead!\Crap... It's messier than I thought.\Oh, I'll help, too.\Take!\Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food,\so we won't be back for about five hours.\Okay, that's a long time. response:	Make yourself at home, Yamato-san.
context: Crap... It's messier than I thought.\Oh, I'll help, too.\Take!\Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food,\so we won't be back for about five hours.\Okay, that's a long time.\Make yourself at home, Yamato-san. response:	Would you like something to drink?
context: Oh, I'll help, too.\Take!\Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food,\so we won't be back for about five hours.\Okay, that's a long time.\Make yourself at home, Yamato-san.\Would you like something to drink? response:	No, I'm fine...
context: Take!\Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food,\so we won't be back for about five hours.\Okay, that's a long time.\Make yourself at home, Yamato-san.\Would you like something to drink?\No, I'm fine... response:	Happy New Year!
context: Mom's going with Dad to the shrine and the New Year's sales.\We'll stop on our way home to buy food,\so we won't be back for about five hours.\Okay, that's a long time.\Make yourself at home, Yamato-san.\Would you like something to drink?\No, I'm fine...\Happy New Year! response:	We're here, Takeo!
context: We'll stop on our way home to buy food,\so we won't be back for about five hours.\Okay, that's a long time.\Make yourself at home, Yamato-san.\Would you like something to drink?\No, I'm fine...\Happy New Year!\We're here, Takeo! response:	Here's your present!
context: so we won't be back for about five hours.\Okay, that's a long time.\Make yourself at home, Yamato-san.\Would you like something to drink?\No, I'm fine...\Happy New Year!\We're here, Takeo!\Here's your present! response:	I just got it at the arcade!
context: Okay, that's a long time.\Make yourself at home, Yamato-san.\Would you like something to drink?\No, I'm fine...\Happy New Year!\We're here, Takeo!\Here's your present!\I just got it at the arcade! response:	Thanks!
context: Make yourself at home, Yamato-san.\Would you like something to drink?\No, I'm fine...\Happy New Year!\We're here, Takeo!\Here's your present!\I just got it at the arcade!\Thanks! response:	Whoa, your girlfriend is here?
context: Would you like something to drink?\No, I'm fine...\Happy New Year!\We're here, Takeo!\Here's your present!\I just got it at the arcade!\Thanks!\Whoa, your girlfriend is here? response:	Seriously?
context: No, I'm fine...\Happy New Year!\We're here, Takeo!\Here's your present!\I just got it at the arcade!\Thanks!\Whoa, your girlfriend is here?\Seriously? response:	Can we come in for a bit?
context: Happy New Year!\We're here, Takeo!\Here's your present!\I just got it at the arcade!\Thanks!\Whoa, your girlfriend is here?\Seriously?\Can we come in for a bit? response:	Sure.
context: We're here, Takeo!\Here's your present!\I just got it at the arcade!\Thanks!\Whoa, your girlfriend is here?\Seriously?\Can we come in for a bit?\Sure. response:	Nice to meet you.
context: Here's your present!\I just got it at the arcade!\Thanks!\Whoa, your girlfriend is here?\Seriously?\Can we come in for a bit?\Sure.\Nice to meet you. response:	Sorry to interrupt...
context: I just got it at the arcade!\Thanks!\Whoa, your girlfriend is here?\Seriously?\Can we come in for a bit?\Sure.\Nice to meet you.\Sorry to interrupt... response:	I'm Yamato. It's nice to meet you.
context: Thanks!\Whoa, your girlfriend is here?\Seriously?\Can we come in for a bit?\Sure.\Nice to meet you.\Sorry to interrupt...\I'm Yamato. It's nice to meet you. response:	We went to elementary school with Takeo.
context: Whoa, your girlfriend is here?\Seriously?\Can we come in for a bit?\Sure.\Nice to meet you.\Sorry to interrupt...\I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo. response:	Oh, I see.
context: Seriously?\Can we come in for a bit?\Sure.\Nice to meet you.\Sorry to interrupt...\I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo.\Oh, I see. response:	Yep.
context: Can we come in for a bit?\Sure.\Nice to meet you.\Sorry to interrupt...\I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo.\Oh, I see.\Yep. response:	Hey, is Takeo here?
context: Sure.\Nice to meet you.\Sorry to interrupt...\I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo.\Oh, I see.\Yep.\Hey, is Takeo here? response:	Oh, cut it out.
context: Nice to meet you.\Sorry to interrupt...\I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo.\Oh, I see.\Yep.\Hey, is Takeo here?\Oh, cut it out. response:	Congrats! Happy Birthday!
context: Sorry to interrupt...\I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo.\Oh, I see.\Yep.\Hey, is Takeo here?\Oh, cut it out.\Congrats! Happy Birthday! response:	Can we come in?
context: I'm Yamato. It's nice to meet you.\We went to elementary school with Takeo.\Oh, I see.\Yep.\Hey, is Takeo here?\Oh, cut it out.\Congrats! Happy Birthday!\Can we come in? response:	Sure.
context: We went to elementary school with Takeo.\Oh, I see.\Yep.\Hey, is Takeo here?\Oh, cut it out.\Congrats! Happy Birthday!\Can we come in?\Sure. response:	I just can't start the new year without seeing Takeo first.
context: Oh, I see.\Yep.\Hey, is Takeo here?\Oh, cut it out.\Congrats! Happy Birthday!\Can we come in?\Sure.\I just can't start the new year without seeing Takeo first. response:	No kidding!
context: Yep.\Hey, is Takeo here?\Oh, cut it out.\Congrats! Happy Birthday!\Can we come in?\Sure.\I just can't start the new year without seeing Takeo first.\No kidding! response:	But, Takeo, it's so funny that you were born on New Year's Day.
context: Hey, is Takeo here?\Oh, cut it out.\Congrats! Happy Birthday!\Can we come in?\Sure.\I just can't start the new year without seeing Takeo first.\No kidding!\But, Takeo, it's so funny that you were born on New Year's Day. response:	It's funny every time.
context: Oh, cut it out.\Congrats! Happy Birthday!\Can we come in?\Sure.\I just can't start the new year without seeing Takeo first.\No kidding!\But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time. response:	Did Takeo ask you out?
context: Congrats! Happy Birthday!\Can we come in?\Sure.\I just can't start the new year without seeing Takeo first.\No kidding!\But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time.\Did Takeo ask you out? response:	I know the story!
context: Can we come in?\Sure.\I just can't start the new year without seeing Takeo first.\No kidding!\But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time.\Did Takeo ask you out?\I know the story! response:	Takeo saved her from a groper.
context: Sure.\I just can't start the new year without seeing Takeo first.\No kidding!\But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time.\Did Takeo ask you out?\I know the story!\Takeo saved her from a groper. response:	Yes.
context: I just can't start the new year without seeing Takeo first.\No kidding!\But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time.\Did Takeo ask you out?\I know the story!\Takeo saved her from a groper.\Yes. response:	I asked him out.
context: No kidding!\But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time.\Did Takeo ask you out?\I know the story!\Takeo saved her from a groper.\Yes.\I asked him out. response:	For me, it was love at first sight.
context: But, Takeo, it's so funny that you were born on New Year's Day.\It's funny every time.\Did Takeo ask you out?\I know the story!\Takeo saved her from a groper.\Yes.\I asked him out.\For me, it was love at first sight. response:	Yamato-san, you have good taste.
context: It's funny every time.\Did Takeo ask you out?\I know the story!\Takeo saved her from a groper.\Yes.\I asked him out.\For me, it was love at first sight.\Yamato-san, you have good taste. response:	Please take good care of Takeo.
context: Did Takeo ask you out?\I know the story!\Takeo saved her from a groper.\Yes.\I asked him out.\For me, it was love at first sight.\Yamato-san, you have good taste.\Please take good care of Takeo. response:	See you, Takeo!
context: I know the story!\Takeo saved her from a groper.\Yes.\I asked him out.\For me, it was love at first sight.\Yamato-san, you have good taste.\Please take good care of Takeo.\See you, Takeo! response:	Sorry about that.
context: Takeo saved her from a groper.\Yes.\I asked him out.\For me, it was love at first sight.\Yamato-san, you have good taste.\Please take good care of Takeo.\See you, Takeo!\Sorry about that. response:	They come every year.
context: Yes.\I asked him out.\For me, it was love at first sight.\Yamato-san, you have good taste.\Please take good care of Takeo.\See you, Takeo!\Sorry about that.\They come every year. response:	No problem.
context: I asked him out.\For me, it was love at first sight.\Yamato-san, you have good taste.\Please take good care of Takeo.\See you, Takeo!\Sorry about that.\They come every year.\No problem. response:	Oh, Takeo-kun...
context: For me, it was love at first sight.\Yamato-san, you have good taste.\Please take good care of Takeo.\See you, Takeo!\Sorry about that.\They come every year.\No problem.\Oh, Takeo-kun... response:	This is my present to you.
context: Yamato-san, you have good taste.\Please take good care of Takeo.\See you, Takeo!\Sorry about that.\They come every year.\No problem.\Oh, Takeo-kun...\This is my present to you. response:	Oh, thanks.
context: Please take good care of Takeo.\See you, Takeo!\Sorry about that.\They come every year.\No problem.\Oh, Takeo-kun...\This is my present to you.\Oh, thanks. response:	Can I open it?
context: See you, Takeo!\Sorry about that.\They come every year.\No problem.\Oh, Takeo-kun...\This is my present to you.\Oh, thanks.\Can I open it? response:	Sure.
context: Sorry about that.\They come every year.\No problem.\Oh, Takeo-kun...\This is my present to you.\Oh, thanks.\Can I open it?\Sure. response:	It's the first time I've gotten a stuffed animal as a present.
context: They come every year.\No problem.\Oh, Takeo-kun...\This is my present to you.\Oh, thanks.\Can I open it?\Sure.\It's the first time I've gotten a stuffed animal as a present. response:	If you press the stomach, it squeaks.
context: No problem.\Oh, Takeo-kun...\This is my present to you.\Oh, thanks.\Can I open it?\Sure.\It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks. response:	What a shocker!
context: Oh, Takeo-kun...\This is my present to you.\Oh, thanks.\Can I open it?\Sure.\It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks.\What a shocker! response:	Squeak
context: This is my present to you.\Oh, thanks.\Can I open it?\Sure.\It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks.\What a shocker!\Squeak response:	Why did Yamato think to give me a stuffed animal?
context: Oh, thanks.\Can I open it?\Sure.\It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks.\What a shocker!\Squeak\Why did Yamato think to give me a stuffed animal? response:	How cute!
context: Can I open it?\Sure.\It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks.\What a shocker!\Squeak\Why did Yamato think to give me a stuffed animal?\How cute! response:	A-ha ha
context: Sure.\It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks.\What a shocker!\Squeak\Why did Yamato think to give me a stuffed animal?\How cute!\A-ha ha response:	I wasn't really sure what to get you,
context: It's the first time I've gotten a stuffed animal as a present.\If you press the stomach, it squeaks.\What a shocker!\Squeak\Why did Yamato think to give me a stuffed animal?\How cute!\A-ha ha\I wasn't really sure what to get you, response:	but she was so cute, I couldn't turn away.
context: If you press the stomach, it squeaks.\What a shocker!\Squeak\Why did Yamato think to give me a stuffed animal?\How cute!\A-ha ha\I wasn't really sure what to get you,\but she was so cute, I couldn't turn away. response:	I see, so it was cute...
context: What a shocker!\Squeak\Why did Yamato think to give me a stuffed animal?\How cute!\A-ha ha\I wasn't really sure what to get you,\but she was so cute, I couldn't turn away.\I see, so it was cute... response:	She gave me something she liked.
context: Squeak\Why did Yamato think to give me a stuffed animal?\How cute!\A-ha ha\I wasn't really sure what to get you,\but she was so cute, I couldn't turn away.\I see, so it was cute...\She gave me something she liked. response:	I also baked a cake.
context: Why did Yamato think to give me a stuffed animal?\How cute!\A-ha ha\I wasn't really sure what to get you,\but she was so cute, I couldn't turn away.\I see, so it was cute...\She gave me something she liked.\I also baked a cake. response:	I consulted Sunakawa-kun,
context: How cute!\A-ha ha\I wasn't really sure what to get you,\but she was so cute, I couldn't turn away.\I see, so it was cute...\She gave me something she liked.\I also baked a cake.\I consulted Sunakawa-kun, response:	and decided to bake the first cake you had from me, a cheesecake.
context: A-ha ha\I wasn't really sure what to get you,\but she was so cute, I couldn't turn away.\I see, so it was cute...\She gave me something she liked.\I also baked a cake.\I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake. response:	Happy Birthday, Takeo-kun
context: I wasn't really sure what to get you,\but she was so cute, I couldn't turn away.\I see, so it was cute...\She gave me something she liked.\I also baked a cake.\I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun response:	I thought about serving it when everyone was here,
context: but she was so cute, I couldn't turn away.\I see, so it was cute...\She gave me something she liked.\I also baked a cake.\I consulted Sunakawa-kun,\and decided to bake the first cake you had from me, a cheesecake.\Happy Birthday, Takeo-kun\I thought about serving it when everyone was here, response:	but I wanted you to see it before it got all cut up.
