context: It's now August, response:	and Arima has gone to the Interhigh.
context: That means you value yourself...\You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen.\You're sooo mature!\You're the first person I've ever wanted to call big sister.\Big sister!\If you're going to make fun of me I'll stop talking.\Just kidding. response:	Mahorin, you must be in love now.
context: You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen.\You're sooo mature!\You're the first person I've ever wanted to call big sister.\Big sister!\If you're going to make fun of me I'll stop talking.\Just kidding.\Mahorin, you must be in love now. response:	Are you going out with him?
context: That's why your heart gets stolen.\You're sooo mature!\You're the first person I've ever wanted to call big sister.\Big sister!\If you're going to make fun of me I'll stop talking.\Just kidding.\Mahorin, you must be in love now.\Are you going out with him? response:	I can't imagine the kind of person you'd fall in love with.
context: You're sooo mature!\You're the first person I've ever wanted to call big sister.\Big sister!\If you're going to make fun of me I'll stop talking.\Just kidding.\Mahorin, you must be in love now.\Are you going out with him?\I can't imagine the kind of person you'd fall in love with. response:	What's he like?
context: You're the first person I've ever wanted to call big sister.\Big sister!\If you're going to make fun of me I'll stop talking.\Just kidding.\Mahorin, you must be in love now.\Are you going out with him?\I can't imagine the kind of person you'd fall in love with.\What's he like? response:	A 28-year old dentist.
context: Big sister!\If you're going to make fun of me I'll stop talking.\Just kidding.\Mahorin, you must be in love now.\Are you going out with him?\I can't imagine the kind of person you'd fall in love with.\What's he like?\A 28-year old dentist. response:	He's an adult, so I'm no match for him at all.
context: If you're going to make fun of me I'll stop talking.\Just kidding.\Mahorin, you must be in love now.\Are you going out with him?\I can't imagine the kind of person you'd fall in love with.\What's he like?\A 28-year old dentist.\He's an adult, so I'm no match for him at all. response:	He has composure. He's kind and strong.
context: Just kidding.\Mahorin, you must be in love now.\Are you going out with him?\I can't imagine the kind of person you'd fall in love with.\What's he like?\A 28-year old dentist.\He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong. response:	I love him, but I also admire him.
context: Mahorin, you must be in love now.\Are you going out with him?\I can't imagine the kind of person you'd fall in love with.\What's he like?\A 28-year old dentist.\He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong.\I love him, but I also admire him. response:	I want to become the kind...
context: Are you going out with him?\I can't imagine the kind of person you'd fall in love with.\What's he like?\A 28-year old dentist.\He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong.\I love him, but I also admire him.\I want to become the kind... response:	This is the first time I've seen that tough punk Mahorin look so tender.
context: I can't imagine the kind of person you'd fall in love with.\What's he like?\A 28-year old dentist.\He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong.\I love him, but I also admire him.\I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender. response:	Love is such a mysterious thing.
context: What's he like?\A 28-year old dentist.\He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong.\I love him, but I also admire him.\I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing. response:	The heart is formless and weightless.
context: A 28-year old dentist.\He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong.\I love him, but I also admire him.\I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing.\The heart is formless and weightless. response:	It can't be measured in terms of size or depth.
context: He's an adult, so I'm no match for him at all.\He has composure. He's kind and strong.\I love him, but I also admire him.\I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing.\The heart is formless and weightless.\It can't be measured in terms of size or depth. response:	Although no one has seen its true nature,
context: He has composure. He's kind and strong.\I love him, but I also admire him.\I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing.\The heart is formless and weightless.\It can't be measured in terms of size or depth.\Although no one has seen its true nature, response:	it definitely feels pain.
context: I love him, but I also admire him.\I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing.\The heart is formless and weightless.\It can't be measured in terms of size or depth.\Although no one has seen its true nature,\it definitely feels pain. response:	It only responds to a certain person.
context: I want to become the kind...\This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing.\The heart is formless and weightless.\It can't be measured in terms of size or depth.\Although no one has seen its true nature,\it definitely feels pain.\It only responds to a certain person. response:	Tomorrow...When tomorrow comes, I can see him.
context: This is the first time I've seen that tough punk Mahorin look so tender.\Love is such a mysterious thing.\The heart is formless and weightless.\It can't be measured in terms of size or depth.\Although no one has seen its true nature,\it definitely feels pain.\It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him. response:	This will probably be the longest day.
context: Love is such a mysterious thing.\The heart is formless and weightless.\It can't be measured in terms of size or depth.\Although no one has seen its true nature,\it definitely feels pain.\It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day. response:	Pero-Pero, let's go play.
context: The heart is formless and weightless.\It can't be measured in terms of size or depth.\Although no one has seen its true nature,\it definitely feels pain.\It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day.\Pero-Pero, let's go play. response:	The sisters are at practice.
context: It can't be measured in terms of size or depth.\Although no one has seen its true nature,\it definitely feels pain.\It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day.\Pero-Pero, let's go play.\The sisters are at practice. response:	Pero-Pero,
context: Although no one has seen its true nature,\it definitely feels pain.\It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day.\Pero-Pero, let's go play.\The sisters are at practice.\Pero-Pero, response:	I want to see him. I want to be with him.
context: it definitely feels pain.\It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day.\Pero-Pero, let's go play.\The sisters are at practice.\Pero-Pero,\I want to see him. I want to be with him. response:	Every waking moment is painful when we're apart.
context: It only responds to a certain person.\Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day.\Pero-Pero, let's go play.\The sisters are at practice.\Pero-Pero,\I want to see him. I want to be with him.\Every waking moment is painful when we're apart. response:	Maybe I...
context: Tomorrow...When tomorrow comes, I can see him.\This will probably be the longest day.\Pero-Pero, let's go play.\The sisters are at practice.\Pero-Pero,\I want to see him. I want to be with him.\Every waking moment is painful when we're apart.\Maybe I... response:	Maybe I actually love Arima......even more than I thought?
context: This will probably be the longest day.\Pero-Pero, let's go play.\The sisters are at practice.\Pero-Pero,\I want to see him. I want to be with him.\Every waking moment is painful when we're apart.\Maybe I...\Maybe I actually love Arima......even more than I thought? response:	I was immature...
context: Pero-Pero, let's go play.\The sisters are at practice.\Pero-Pero,\I want to see him. I want to be with him.\Every waking moment is painful when we're apart.\Maybe I...\Maybe I actually love Arima......even more than I thought?\I was immature... response:	and so I just hadn't realized it, but in reality...
context: The sisters are at practice.\Pero-Pero,\I want to see him. I want to be with him.\Every waking moment is painful when we're apart.\Maybe I...\Maybe I actually love Arima......even more than I thought?\I was immature...\and so I just hadn't realized it, but in reality... response:	In reality, I've always...
context: Pero-Pero,\I want to see him. I want to be with him.\Every waking moment is painful when we're apart.\Maybe I...\Maybe I actually love Arima......even more than I thought?\I was immature...\and so I just hadn't realized it, but in reality...\In reality, I've always... response:	Yuki-chan, can you go buy some soy sauce?
context: I want to see him. I want to be with him.\Every waking moment is painful when we're apart.\Maybe I...\Maybe I actually love Arima......even more than I thought?\I was immature...\and so I just hadn't realized it, but in reality...\In reality, I've always...\Yuki-chan, can you go buy some soy sauce? response:	Sure. Pero-pero! You're my bodyguard.
context: Every waking moment is painful when we're apart.\Maybe I...\Maybe I actually love Arima......even more than I thought?\I was immature...\and so I just hadn't realized it, but in reality...\In reality, I've always...\Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard. response:	You'd think you'd notice, and not walk on by.
context: Maybe I...\Maybe I actually love Arima......even more than I thought?\I was immature...\and so I just hadn't realized it, but in reality...\In reality, I've always...\Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by. response:	I'm home.
context: Maybe I actually love Arima......even more than I thought?\I was immature...\and so I just hadn't realized it, but in reality...\In reality, I've always...\Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by.\I'm home. response:	I'm home.
context: I was immature...\and so I just hadn't realized it, but in reality...\In reality, I've always...\Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by.\I'm home.\I'm home. response:	Before me?!
context: and so I just hadn't realized it, but in reality...\In reality, I've always...\Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by.\I'm home.\I'm home.\Before me?! response:	Not the tongue.
context: In reality, I've always...\Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by.\I'm home.\I'm home.\Before me?!\Not the tongue. response:	Arimaaa! Arimaaa!
context: Yuki-chan, can you go buy some soy sauce?\Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by.\I'm home.\I'm home.\Before me?!\Not the tongue.\Arimaaa! Arimaaa! response:	Miyazawa?! A tackle?!
context: Sure. Pero-pero! You're my bodyguard.\You'd think you'd notice, and not walk on by.\I'm home.\I'm home.\Before me?!\Not the tongue.\Arimaaa! Arimaaa!\Miyazawa?! A tackle?! response:	In any case...
context: You'd think you'd notice, and not walk on by.\I'm home.\I'm home.\Before me?!\Not the tongue.\Arimaaa! Arimaaa!\Miyazawa?! A tackle?!\In any case... response:	Arima's gained an indefinable sexiness since I saw him last...
context: I'm home.\I'm home.\Before me?!\Not the tongue.\Arimaaa! Arimaaa!\Miyazawa?! A tackle?!\In any case...\Arima's gained an indefinable sexiness since I saw him last... response:	You got back early.
context: I'm home.\Before me?!\Not the tongue.\Arimaaa! Arimaaa!\Miyazawa?! A tackle?!\In any case...\Arima's gained an indefinable sexiness since I saw him last...\You got back early. response:	Yeah. I was supposed to come home on the bullet train...
context: Before me?!\Not the tongue.\Arimaaa! Arimaaa!\Miyazawa?! A tackle?!\In any case...\Arima's gained an indefinable sexiness since I saw him last...\You got back early.\Yeah. I was supposed to come home on the bullet train... response:	but it looked like they were going to put me
context: Not the tongue.\Arimaaa! Arimaaa!\Miyazawa?! A tackle?!\In any case...\Arima's gained an indefinable sexiness since I saw him last...\You got back early.\Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me response:	in charge of things like organizing the debriefing,
context: Arimaaa! Arimaaa!\Miyazawa?! A tackle?!\In any case...\Arima's gained an indefinable sexiness since I saw him last...\You got back early.\Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me\in charge of things like organizing the debriefing, response:	so I made up an excuse and came home.
context: Miyazawa?! A tackle?!\In any case...\Arima's gained an indefinable sexiness since I saw him last...\You got back early.\Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me\in charge of things like organizing the debriefing,\so I made up an excuse and came home. response:	Wow. I didn't know you would cheat like that.
context: In any case...\Arima's gained an indefinable sexiness since I saw him last...\You got back early.\Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me\in charge of things like organizing the debriefing,\so I made up an excuse and came home.\Wow. I didn't know you would cheat like that. response:	Well, the way things were going.
context: Arima's gained an indefinable sexiness since I saw him last...\You got back early.\Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me\in charge of things like organizing the debriefing,\so I made up an excuse and came home.\Wow. I didn't know you would cheat like that.\Well, the way things were going. response:	I didn't know when I'd get to see you...
context: You got back early.\Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me\in charge of things like organizing the debriefing,\so I made up an excuse and came home.\Wow. I didn't know you would cheat like that.\Well, the way things were going.\I didn't know when I'd get to see you... response:	Are you on vacation for the rest of the summer?
context: Yeah. I was supposed to come home on the bullet train...\but it looked like they were going to put me\in charge of things like organizing the debriefing,\so I made up an excuse and came home.\Wow. I didn't know you would cheat like that.\Well, the way things were going.\I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer? response:	Can we hang out together?
context: but it looked like they were going to put me\in charge of things like organizing the debriefing,\so I made up an excuse and came home.\Wow. I didn't know you would cheat like that.\Well, the way things were going.\I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer?\Can we hang out together? response:	Yeah. There's some practice,
context: in charge of things like organizing the debriefing,\so I made up an excuse and came home.\Wow. I didn't know you would cheat like that.\Well, the way things were going.\I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer?\Can we hang out together?\Yeah. There's some practice, response:	but it won't take out my whole day anymore.
context: so I made up an excuse and came home.\Wow. I didn't know you would cheat like that.\Well, the way things were going.\I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer?\Can we hang out together?\Yeah. There's some practice,\but it won't take out my whole day anymore. response:	What've you been doing?
context: Wow. I didn't know you would cheat like that.\Well, the way things were going.\I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer?\Can we hang out together?\Yeah. There's some practice,\but it won't take out my whole day anymore.\What've you been doing? response:	You told me over the phone, but...
context: Well, the way things were going.\I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer?\Can we hang out together?\Yeah. There's some practice,\but it won't take out my whole day anymore.\What've you been doing?\You told me over the phone, but... response:	I did all my homework!
context: I didn't know when I'd get to see you...\Are you on vacation for the rest of the summer?\Can we hang out together?\Yeah. There's some practice,\but it won't take out my whole day anymore.\What've you been doing?\You told me over the phone, but...\I did all my homework! response:	And I played with my friends, and watched primetime movies,
context: Are you on vacation for the rest of the summer?\Can we hang out together?\Yeah. There's some practice,\but it won't take out my whole day anymore.\What've you been doing?\You told me over the phone, but...\I did all my homework!\And I played with my friends, and watched primetime movies, response:	and visited Grandpa.
context: Can we hang out together?\Yeah. There's some practice,\but it won't take out my whole day anymore.\What've you been doing?\You told me over the phone, but...\I did all my homework!\And I played with my friends, and watched primetime movies,\and visited Grandpa. response:	That's nice.
context: Yeah. There's some practice,\but it won't take out my whole day anymore.\What've you been doing?\You told me over the phone, but...\I did all my homework!\And I played with my friends, and watched primetime movies,\and visited Grandpa.\That's nice. response:	But I was really lonely without you!
context: but it won't take out my whole day anymore.\What've you been doing?\You told me over the phone, but...\I did all my homework!\And I played with my friends, and watched primetime movies,\and visited Grandpa.\That's nice.\But I was really lonely without you! response:	But Arima,
context: What've you been doing?\You told me over the phone, but...\I did all my homework!\And I played with my friends, and watched primetime movies,\and visited Grandpa.\That's nice.\But I was really lonely without you!\But Arima, response:	you've sure gotten taller since I last saw you.
context: You told me over the phone, but...\I did all my homework!\And I played with my friends, and watched primetime movies,\and visited Grandpa.\That's nice.\But I was really lonely without you!\But Arima,\you've sure gotten taller since I last saw you. response:	You're head's at a different level, so I didn't notice you.
context: I did all my homework!\And I played with my friends, and watched primetime movies,\and visited Grandpa.\That's nice.\But I was really lonely without you!\But Arima,\you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you. response:	Yeah, it hurt every time I moved my joints.
context: And I played with my friends, and watched primetime movies,\and visited Grandpa.\That's nice.\But I was really lonely without you!\But Arima,\you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints. response:	It was really tough having that happen right before the competition.
context: and visited Grandpa.\That's nice.\But I was really lonely without you!\But Arima,\you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition. response:	How'd the competition go?
context: That's nice.\But I was really lonely without you!\But Arima,\you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition.\How'd the competition go? response:	Oh, I won.
context: But I was really lonely without you!\But Arima,\you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition.\How'd the competition go?\Oh, I won. response:	You WON?!
context: But Arima,\you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition.\How'd the competition go?\Oh, I won.\You WON?! response:	Win?! Win as in first place?!
context: you've sure gotten taller since I last saw you.\You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition.\How'd the competition go?\Oh, I won.\You WON?!\Win?! Win as in first place?! response:	You're the number one in kendo in Japan?!?
context: You're head's at a different level, so I didn't notice you.\Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition.\How'd the competition go?\Oh, I won.\You WON?!\Win?! Win as in first place?!\You're the number one in kendo in Japan?!? response:	That's AWESOME!!
context: Yeah, it hurt every time I moved my joints.\It was really tough having that happen right before the competition.\How'd the competition go?\Oh, I won.\You WON?!\Win?! Win as in first place?!\You're the number one in kendo in Japan?!?\That's AWESOME!! response:	Oh wow! That's so great! I bet you were so cool!
context: It was really tough having that happen right before the competition.\How'd the competition go?\Oh, I won.\You WON?!\Win?! Win as in first place?!\You're the number one in kendo in Japan?!?\That's AWESOME!!\Oh wow! That's so great! I bet you were so cool! response:	I wish I could have seen it! That's awesome!
context: How'd the competition go?\Oh, I won.\You WON?!\Win?! Win as in first place?!\You're the number one in kendo in Japan?!?\That's AWESOME!!\Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome! response:	Great job, Arima!
context: Oh, I won.\You WON?!\Win?! Win as in first place?!\You're the number one in kendo in Japan?!?\That's AWESOME!!\Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome!\Great job, Arima! response:	For a moment, it occured to me that he was so beautiful.
context: You WON?!\Win?! Win as in first place?!\You're the number one in kendo in Japan?!?\That's AWESOME!!\Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome!\Great job, Arima!\For a moment, it occured to me that he was so beautiful. response:	But being with you is better than anything else.
context: Win?! Win as in first place?!\You're the number one in kendo in Japan?!?\That's AWESOME!!\Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome!\Great job, Arima!\For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else. response:	I felt an emotion I'd never felt before.
context: You're the number one in kendo in Japan?!?\That's AWESOME!!\Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome!\Great job, Arima!\For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else.\I felt an emotion I'd never felt before. response:	It's spreading throughout my body......and will have me under its control.
context: That's AWESOME!!\Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome!\Great job, Arima!\For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else.\I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control. response:	How could I have been so indifferent when I was with him before?
context: Oh wow! That's so great! I bet you were so cool!\I wish I could have seen it! That's awesome!\Great job, Arima!\For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else.\I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before? response:	He loves me so much...
context: I wish I could have seen it! That's awesome!\Great job, Arima!\For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else.\I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before?\He loves me so much... response:	I can't even breathe.
context: Great job, Arima!\For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else.\I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before?\He loves me so much...\I can't even breathe. response:	Is this possible?
context: For a moment, it occured to me that he was so beautiful.\But being with you is better than anything else.\I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before?\He loves me so much...\I can't even breathe.\Is this possible? response:	I've fallen in love with...
context: But being with you is better than anything else.\I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before?\He loves me so much...\I can't even breathe.\Is this possible?\I've fallen in love with... response:	Miyazawa!
context: I felt an emotion I'd never felt before.\It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before?\He loves me so much...\I can't even breathe.\Is this possible?\I've fallen in love with...\Miyazawa! response:	Yo!!
context: It's spreading throughout my body......and will have me under its control.\How could I have been so indifferent when I was with him before?\He loves me so much...\I can't even breathe.\Is this possible?\I've fallen in love with...\Miyazawa!\Yo!! response:	Have you had lunch?
context: How could I have been so indifferent when I was with him before?\He loves me so much...\I can't even breathe.\Is this possible?\I've fallen in love with...\Miyazawa!\Yo!!\Have you had lunch? response:	No, just breakfast.
context: He loves me so much...\I can't even breathe.\Is this possible?\I've fallen in love with...\Miyazawa!\Yo!!\Have you had lunch?\No, just breakfast. response:	We still have some time before the movie,
context: I can't even breathe.\Is this possible?\I've fallen in love with...\Miyazawa!\Yo!!\Have you had lunch?\No, just breakfast.\We still have some time before the movie, response:	so let's go grab a bite.
context: Is this possible?\I've fallen in love with...\Miyazawa!\Yo!!\Have you had lunch?\No, just breakfast.\We still have some time before the movie,\so let's go grab a bite. response:	Freedom!
context: I've fallen in love with...\Miyazawa!\Yo!!\Have you had lunch?\No, just breakfast.\We still have some time before the movie,\so let's go grab a bite.\Freedom! response:	I feel so happy when I realize I'm finally totally free!
context: Miyazawa!\Yo!!\Have you had lunch?\No, just breakfast.\We still have some time before the movie,\so let's go grab a bite.\Freedom!\I feel so happy when I realize I'm finally totally free! response:	What did it feel like to win the Interhigh?
context: Yo!!\Have you had lunch?\No, just breakfast.\We still have some time before the movie,\so let's go grab a bite.\Freedom!\I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh? response:	Huh?
context: Have you had lunch?\No, just breakfast.\We still have some time before the movie,\so let's go grab a bite.\Freedom!\I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh?\Huh? response:	Oh, well, you know...
context: No, just breakfast.\We still have some time before the movie,\so let's go grab a bite.\Freedom!\I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh?\Huh?\Oh, well, you know... response:	That's it? You can brag, you know.
context: We still have some time before the movie,\so let's go grab a bite.\Freedom!\I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh?\Huh?\Oh, well, you know...\That's it? You can brag, you know. response:	The final match was against our school's captain.
context: so let's go grab a bite.\Freedom!\I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh?\Huh?\Oh, well, you know...\That's it? You can brag, you know.\The final match was against our school's captain. response:	Wow!
context: Freedom!\I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh?\Huh?\Oh, well, you know...\That's it? You can brag, you know.\The final match was against our school's captain.\Wow! response:	Our kendo team must be really good.
context: I feel so happy when I realize I'm finally totally free!\What did it feel like to win the Interhigh?\Huh?\Oh, well, you know...\That's it? You can brag, you know.\The final match was against our school's captain.\Wow!\Our kendo team must be really good. response:	He had lost the final match last year,
context: What did it feel like to win the Interhigh?\Huh?\Oh, well, you know...\That's it? You can brag, you know.\The final match was against our school's captain.\Wow!\Our kendo team must be really good.\He had lost the final match last year, response:	and I'd seen him working really hard
context: Huh?\Oh, well, you know...\That's it? You can brag, you know.\The final match was against our school's captain.\Wow!\Our kendo team must be really good.\He had lost the final match last year,\and I'd seen him working really hard response:	for the win this time.
context: Oh, well, you know...\That's it? You can brag, you know.\The final match was against our school's captain.\Wow!\Our kendo team must be really good.\He had lost the final match last year,\and I'd seen him working really hard\for the win this time. response:	This was only my first year, so I couldn't help thinking that I wanted him to win.
context: That's it? You can brag, you know.\The final match was against our school's captain.\Wow!\Our kendo team must be really good.\He had lost the final match last year,\and I'd seen him working really hard\for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win. response:	Arima, you want me to win, don't you.
context: The final match was against our school's captain.\Wow!\Our kendo team must be really good.\He had lost the final match last year,\and I'd seen him working really hard\for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you. response:	Abandon such pathetic thoughts.
context: Wow!\Our kendo team must be really good.\He had lost the final match last year,\and I'd seen him working really hard\for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you.\Abandon such pathetic thoughts. response:	I have always wanted to go all out against you.
context: Our kendo team must be really good.\He had lost the final match last year,\and I'd seen him working really hard\for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you.\Abandon such pathetic thoughts.\I have always wanted to go all out against you. response:	If you hold back even a little bit.
context: He had lost the final match last year,\and I'd seen him working really hard\for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you.\Abandon such pathetic thoughts.\I have always wanted to go all out against you.\If you hold back even a little bit. response:	I'll do my best!!
context: and I'd seen him working really hard\for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you.\Abandon such pathetic thoughts.\I have always wanted to go all out against you.\If you hold back even a little bit.\I'll do my best!! response:	Don't interrupt me.
context: for the win this time.\This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you.\Abandon such pathetic thoughts.\I have always wanted to go all out against you.\If you hold back even a little bit.\I'll do my best!!\Don't interrupt me. response:	And so you beat down your senpai?
context: This was only my first year, so I couldn't help thinking that I wanted him to win.\Arima, you want me to win, don't you.\Abandon such pathetic thoughts.\I have always wanted to go all out against you.\If you hold back even a little bit.\I'll do my best!!\Don't interrupt me.\And so you beat down your senpai? response:	Well, if I had lost even if I had fought seriously,
context: Arima, you want me to win, don't you.\Abandon such pathetic thoughts.\I have always wanted to go all out against you.\If you hold back even a little bit.\I'll do my best!!\Don't interrupt me.\And so you beat down your senpai?\Well, if I had lost even if I had fought seriously, response:	I was afraid he would take that as an excuse and do it anyway, so...
context: Abandon such pathetic thoughts.\I have always wanted to go all out against you.\If you hold back even a little bit.\I'll do my best!!\Don't interrupt me.\And so you beat down your senpai?\Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so... response:	He gets this weird look in his eyes sometimes!
context: I have always wanted to go all out against you.\If you hold back even a little bit.\I'll do my best!!\Don't interrupt me.\And so you beat down your senpai?\Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes! response:	You're so popular with guys too...
context: If you hold back even a little bit.\I'll do my best!!\Don't interrupt me.\And so you beat down your senpai?\Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes!\You're so popular with guys too... response:	I wonder if this training camp was actually risque?
context: I'll do my best!!\Don't interrupt me.\And so you beat down your senpai?\Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes!\You're so popular with guys too...\I wonder if this training camp was actually risque? response:	especially in the locker rooms.
context: Don't interrupt me.\And so you beat down your senpai?\Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes!\You're so popular with guys too...\I wonder if this training camp was actually risque?\especially in the locker rooms. response:	That's it! Don't say anything else!
context: And so you beat down your senpai?\Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes!\You're so popular with guys too...\I wonder if this training camp was actually risque?\especially in the locker rooms.\That's it! Don't say anything else! response:	Don't even imagine it!
context: Well, if I had lost even if I had fought seriously,\I was afraid he would take that as an excuse and do it anyway, so...\He gets this weird look in his eyes sometimes!\You're so popular with guys too...\I wonder if this training camp was actually risque?\especially in the locker rooms.\That's it! Don't say anything else!\Don't even imagine it! response:	Arima's voice. His hair. His expression.
