context: This will be the last day of your training. response:	Your joke studies might have been a little lacking,
context: Really?\Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks.\Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me. response:	I hope they bring me back to life soon!
context: Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks.\Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me.\I hope they bring me back to life soon! response:	The mark on your back is the most stylish point on the outfit, right?
context: They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks.\Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me.\I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right? response:	Yeah!
context: It will even deflect your more minor attacks.\Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me.\I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right?\Yeah! response:	What's wrong with you!? You can't defeat your enemy by just dodging him!
context: Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me.\I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right?\Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him! response:	Oh, no! I must have inadvertently hit him a little too hard.
context: Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me.\I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right?\Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard. response:	That's not fair. You said you wouldn't use your eyes.
context: I was worried that my clothes would look ugly, like yours, Kaio- sama!\Well, excuse me.\I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right?\Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes. response:	Don't be presumptuous! You think that sort of promise is valid when you're fighting!?
context: Well, excuse me.\I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right?\Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!? response:	But Piccolo- san, you're not the enemy.
context: I hope they bring me back to life soon!\The mark on your back is the most stylish point on the outfit, right?\Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy. response:	Okay... come forth, Shen Long!
context: The mark on your back is the most stylish point on the outfit, right?\Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long! response:	It's the middle of the day, yet suddenly it's gotten dark!
context: Yeah!\What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark! response:	Don't touch me!
context: What's wrong with you!? You can't defeat your enemy by just dodging him!\Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me! response:	N- no matter how many times you see it, it's still scary, huh?
context: Oh, no! I must have inadvertently hit him a little too hard.\That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me!\N- no matter how many times you see it, it's still scary, huh? response:	Speak forth thy wish. I shall grant thee any one wish.
context: That's not fair. You said you wouldn't use your eyes.\Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me!\N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish. response:	S- say, um, asking for you to defeat the Saiyans and save the earth...
context: Don't be presumptuous! You think that sort of promise is valid when you're fighting!?\But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me!\N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth... response:	would be useless for us to wish for, huh?
context: But Piccolo- san, you're not the enemy.\Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me!\N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh? response:	What are you talking about!? Do you mean to let Son- kun stay dead!?
context: Okay... come forth, Shen Long!\It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me!\N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!? response:	I- it's not that!
context: It's the middle of the day, yet suddenly it's gotten dark!\Don't touch me!\N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that! response:	It would be simpler this way, and we could always wish Goku back the next time!
context: Don't touch me!\N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time! response:	That wish is not possible. I was created of Kami.
context: N- no matter how many times you see it, it's still scary, huh?\Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami. response:	As such, I cannot grant a wish that surpasses Kami's power.
context: Speak forth thy wish. I shall grant thee any one wish.\S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power. response:	Then, please bring Son Goku back to life.
context: S- say, um, asking for you to defeat the Saiyans and save the earth...\would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life. response:	That will be an easy wish to grant.
context: would be useless for us to wish for, huh?\What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life.\That will be an easy wish to grant. response:	Son Goku is about to come back to life, huh?
context: What are you talking about!? Do you mean to let Son- kun stay dead!?\I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life.\That will be an easy wish to grant.\Son Goku is about to come back to life, huh? response:	Which would mean that the Saiyans are coming sooner than we expected!
context: I- it's not that!\It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life.\That will be an easy wish to grant.\Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected! response:	All right! The ring over your head has vanished! You're alive again!
context: It would be simpler this way, and we could always wish Goku back the next time!\That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life.\That will be an easy wish to grant.\Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again! response:	They did it!
context: That wish is not possible. I was created of Kami.\As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life.\That will be an easy wish to grant.\Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again!\They did it! response:	-Move quickly! -Right!
context: As such, I cannot grant a wish that surpasses Kami's power.\Then, please bring Son Goku back to life.\That will be an easy wish to grant.\Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again!\They did it!\-Move quickly! -Right! response:	Remember, your foes are villains who are more powerful than you can imagine.
context: Then, please bring Son Goku back to life.\That will be an easy wish to grant.\Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again!\They did it!\-Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine. response:	They won't allow you to be careless for even an instant.
context: That will be an easy wish to grant.\Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again!\They did it!\-Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant. response:	You can't go thinking you can always be brought back to life again!
context: Son Goku is about to come back to life, huh?\Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again!\They did it!\-Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again! response:	That's okay. You can only be brought back to life with the Dragonballs once.
context: Which would mean that the Saiyans are coming sooner than we expected!\All right! The ring over your head has vanished! You're alive again!\They did it!\-Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once. response:	I'm going to go at them as hard as I can! Watch me!
context: All right! The ring over your head has vanished! You're alive again!\They did it!\-Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me! response:	Thanks for everything, Kaio- sama! If I die, I'll come see you again.
context: They did it!\-Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again. response:	Bubbles!
context: -Move quickly! -Right!\Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles! response:	Gregory!
context: Remember, your foes are villains who are more powerful than you can imagine.\They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles!\Gregory! response:	Take care!
context: They won't allow you to be careless for even an instant.\You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles!\Gregory!\Take care! response:	Bye, now!
context: You can't go thinking you can always be brought back to life again!\That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles!\Gregory!\Take care!\Bye, now! response:	Bye!
context: That's okay. You can only be brought back to life with the Dragonballs once.\I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles!\Gregory!\Take care!\Bye, now!\Bye! response:	That guy must have bottomless strength!
context: I'm going to go at them as hard as I can! Watch me!\Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles!\Gregory!\Take care!\Bye, now!\Bye!\That guy must have bottomless strength! response:	And yet, his heart is clearer than crystal.
context: Thanks for everything, Kaio- sama! If I die, I'll come see you again.\Bubbles!\Gregory!\Take care!\Bye, now!\Bye!\That guy must have bottomless strength!\And yet, his heart is clearer than crystal. response:	To think that there's a guy like that in the lower realm...
context: Bubbles!\Gregory!\Take care!\Bye, now!\Bye!\That guy must have bottomless strength!\And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm... response:	He has become even stronger than you, hasn't he, Kaio- sama?
context: Gregory!\Take care!\Bye, now!\Bye!\That guy must have bottomless strength!\And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama? response:	Still, his sense of humor was lacking somewhat.
context: Take care!\Bye, now!\Bye!\That guy must have bottomless strength!\And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat. response:	Next time he comes here, I'll train him more on that.
context: Bye, now!\Bye!\That guy must have bottomless strength!\And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that. response:	Whoo! So light, so light!
context: Bye!\That guy must have bottomless strength!\And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that.\Whoo! So light, so light! response:	My body feels as light as downy fluff!
context: That guy must have bottomless strength!\And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that.\Whoo! So light, so light!\My body feels as light as downy fluff! response:	That's right!
context: And yet, his heart is clearer than crystal.\To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that.\Whoo! So light, so light!\My body feels as light as downy fluff!\That's right! response:	This ain't any time to be impressed! l've got to hurry!
context: To think that there's a guy like that in the lower realm...\He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that.\Whoo! So light, so light!\My body feels as light as downy fluff!\That's right!\This ain't any time to be impressed! l've got to hurry! response:	And so, the next day, at 11:43 in the morning,
context: He has become even stronger than you, hasn't he, Kaio- sama?\Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that.\Whoo! So light, so light!\My body feels as light as downy fluff!\That's right!\This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning, response:	the earth at last yielded itself to the two Saiyans' incursion.
context: Still, his sense of humor was lacking somewhat.\Next time he comes here, I'll train him more on that.\Whoo! So light, so light!\My body feels as light as downy fluff!\That's right!\This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion. response:	Papa, I'm hungry.
context: Next time he comes here, I'll train him more on that.\Whoo! So light, so light!\My body feels as light as downy fluff!\That's right!\This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry. response:	Is it that late already?
context: Whoo! So light, so light!\My body feels as light as downy fluff!\That's right!\This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry.\Is it that late already? response:	W- what was that?
context: My body feels as light as downy fluff!\That's right!\This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry.\Is it that late already?\W- what was that? response:	What happened?
context: That's right!\This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry.\Is it that late already?\W- what was that?\What happened? response:	T- this is a surprise!
context: This ain't any time to be impressed! l've got to hurry!\And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry.\Is it that late already?\W- what was that?\What happened?\T- this is a surprise! response:	It looks like something fell down here!
context: And so, the next day, at 11:43 in the morning,\the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry.\Is it that late already?\W- what was that?\What happened?\T- this is a surprise!\It looks like something fell down here! response:	T- that's it, all right! That round thing fell down here!
context: the earth at last yielded itself to the two Saiyans' incursion.\Papa, I'm hungry.\Is it that late already?\W- what was that?\What happened?\T- this is a surprise!\It looks like something fell down here!\T- that's it, all right! That round thing fell down here! response:	There's one over here, too!
context: Papa, I'm hungry.\Is it that late already?\W- what was that?\What happened?\T- this is a surprise!\It looks like something fell down here!\T- that's it, all right! That round thing fell down here!\There's one over here, too! response:	It's a person!
context: Is it that late already?\W- what was that?\What happened?\T- this is a surprise!\It looks like something fell down here!\T- that's it, all right! That round thing fell down here!\There's one over here, too!\It's a person! response:	There's a person coming out of it!
context: W- what was that?\What happened?\T- this is a surprise!\It looks like something fell down here!\T- that's it, all right! That round thing fell down here!\There's one over here, too!\It's a person!\There's a person coming out of it! response:	Over here, too!
context: What happened?\T- this is a surprise!\It looks like something fell down here!\T- that's it, all right! That round thing fell down here!\There's one over here, too!\It's a person!\There's a person coming out of it!\Over here, too! response:	It's a person!
context: T- this is a surprise!\It looks like something fell down here!\T- that's it, all right! That round thing fell down here!\There's one over here, too!\It's a person!\There's a person coming out of it!\Over here, too!\It's a person! response:	W- what the-?
context: It looks like something fell down here!\T- that's it, all right! That round thing fell down here!\There's one over here, too!\It's a person!\There's a person coming out of it!\Over here, too!\It's a person!\W- what the-? response:	So, the Saiyans have finally come.
context: T- that's it, all right! That round thing fell down here!\There's one over here, too!\It's a person!\There's a person coming out of it!\Over here, too!\It's a person!\W- what the-?\So, the Saiyans have finally come. response:	Their Ki is enormous, huh, Piccolo- san?
context: There's one over here, too!\It's a person!\There's a person coming out of it!\Over here, too!\It's a person!\W- what the-?\So, the Saiyans have finally come.\Their Ki is enormous, huh, Piccolo- san? response:	T- Ten- san...
context: It's a person!\There's a person coming out of it!\Over here, too!\It's a person!\W- what the-?\So, the Saiyans have finally come.\Their Ki is enormous, huh, Piccolo- san?\T- Ten- san... response:	They're here a lot sooner than we thought.
context: There's a person coming out of it!\Over here, too!\It's a person!\W- what the-?\So, the Saiyans have finally come.\Their Ki is enormous, huh, Piccolo- san?\T- Ten- san...\They're here a lot sooner than we thought. response:	At last, the dreaded day had arrived.
