context: Wendy and Carla joined our guild, response:	and things have gotten lively again!
context: It's over. The destruction is already certain...\At the very least, you could...\What about Fairy Tail?\What about everyone in the guild?\This rain just isn't stopping...\You know?\I do not think it is Juvia's fault.\Nobody was blaming you. response:	How long are you gonna sleep, Natsu?
context: At the very least, you could...\What about Fairy Tail?\What about everyone in the guild?\This rain just isn't stopping...\You know?\I do not think it is Juvia's fault.\Nobody was blaming you.\How long are you gonna sleep, Natsu? response:	Let's scribble on his face!
context: What about Fairy Tail?\What about everyone in the guild?\This rain just isn't stopping...\You know?\I do not think it is Juvia's fault.\Nobody was blaming you.\How long are you gonna sleep, Natsu?\Let's scribble on his face! response:	Tell me! What about everyone in the guild?
context: What about everyone in the guild?\This rain just isn't stopping...\You know?\I do not think it is Juvia's fault.\Nobody was blaming you.\How long are you gonna sleep, Natsu?\Let's scribble on his face!\Tell me! What about everyone in the guild? response:	I'm saying that everyone will die!
context: This rain just isn't stopping...\You know?\I do not think it is Juvia's fault.\Nobody was blaming you.\How long are you gonna sleep, Natsu?\Let's scribble on his face!\Tell me! What about everyone in the guild?\I'm saying that everyone will die! response:	Wendy!
context: You know?\I do not think it is Juvia's fault.\Nobody was blaming you.\How long are you gonna sleep, Natsu?\Let's scribble on his face!\Tell me! What about everyone in the guild?\I'm saying that everyone will die!\Wendy! response:	I have to warn everyone!
context: I do not think it is Juvia's fault.\Nobody was blaming you.\How long are you gonna sleep, Natsu?\Let's scribble on his face!\Tell me! What about everyone in the guild?\I'm saying that everyone will die!\Wendy!\I have to warn everyone! response:	You can't go! You, at least, should leave the city!
context: Nobody was blaming you.\How long are you gonna sleep, Natsu?\Let's scribble on his face!\Tell me! What about everyone in the guild?\I'm saying that everyone will die!\Wendy!\I have to warn everyone!\You can't go! You, at least, should leave the city! response:	By myself? I could never think of it!
context: How long are you gonna sleep, Natsu?\Let's scribble on his face!\Tell me! What about everyone in the guild?\I'm saying that everyone will die!\Wendy!\I have to warn everyone!\You can't go! You, at least, should leave the city!\By myself? I could never think of it! response:	Because I'm a member of Fairy Tail now!
context: Let's scribble on his face!\Tell me! What about everyone in the guild?\I'm saying that everyone will die!\Wendy!\I have to warn everyone!\You can't go! You, at least, should leave the city!\By myself? I could never think of it!\Because I'm a member of Fairy Tail now! response:	Gray, please stop these kinds of childish pranks.
context: Tell me! What about everyone in the guild?\I'm saying that everyone will die!\Wendy!\I have to warn everyone!\You can't go! You, at least, should leave the city!\By myself? I could never think of it!\Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks. response:	Who're you callin' a child, eh?
context: I'm saying that everyone will die!\Wendy!\I have to warn everyone!\You can't go! You, at least, should leave the city!\By myself? I could never think of it!\Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh? response:	Now you're even worse than a kid!
context: Wendy!\I have to warn everyone!\You can't go! You, at least, should leave the city!\By myself? I could never think of it!\Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh?\Now you're even worse than a kid! response:	Is there a fight?!
context: I have to warn everyone!\You can't go! You, at least, should leave the city!\By myself? I could never think of it!\Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh?\Now you're even worse than a kid!\Is there a fight?! response:	Let me in on it!
context: You can't go! You, at least, should leave the city!\By myself? I could never think of it!\Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh?\Now you're even worse than a kid!\Is there a fight?!\Let me in on it! response:	What are you muttering about?
context: By myself? I could never think of it!\Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh?\Now you're even worse than a kid!\Is there a fight?!\Let me in on it!\What are you muttering about? response:	A Man! You people need to be more assertive! And you call yourself a Man?
context: Because I'm a member of Fairy Tail now!\Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh?\Now you're even worse than a kid!\Is there a fight?!\Let me in on it!\What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man? response:	Here.
context: Gray, please stop these kinds of childish pranks.\Who're you callin' a child, eh?\Now you're even worse than a kid!\Is there a fight?!\Let me in on it!\What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man?\Here. response:	Who drew this on me?
context: Who're you callin' a child, eh?\Now you're even worse than a kid!\Is there a fight?!\Let me in on it!\What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man?\Here.\Who drew this on me? response:	There's only one other person who'd stoop to your level, right?
context: Now you're even worse than a kid!\Is there a fight?!\Let me in on it!\What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man?\Here.\Who drew this on me?\There's only one other person who'd stoop to your level, right? response:	Was it you, Gray?
context: Is there a fight?!\Let me in on it!\What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man?\Here.\Who drew this on me?\There's only one other person who'd stoop to your level, right?\Was it you, Gray? response:	You wanna go, bud?
context: Let me in on it!\What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man?\Here.\Who drew this on me?\There's only one other person who'd stoop to your level, right?\Was it you, Gray?\You wanna go, bud? response:	I punished you for your loud-ass snoring, is what!
context: What are you muttering about?\A Man! You people need to be more assertive! And you call yourself a Man?\Here.\Who drew this on me?\There's only one other person who'd stoop to your level, right?\Was it you, Gray?\You wanna go, bud?\I punished you for your loud-ass snoring, is what! response:	You bastard!
context: A Man! You people need to be more assertive! And you call yourself a Man?\Here.\Who drew this on me?\There's only one other person who'd stoop to your level, right?\Was it you, Gray?\You wanna go, bud?\I punished you for your loud-ass snoring, is what!\You bastard! response:	Gray-sama... You look so dreamy when you're fighting!
context: Here.\Who drew this on me?\There's only one other person who'd stoop to your level, right?\Was it you, Gray?\You wanna go, bud?\I punished you for your loud-ass snoring, is what!\You bastard!\Gray-sama... You look so dreamy when you're fighting! response:	Rainy days are perfect for going on dates with your boyfriend...
context: Who drew this on me?\There's only one other person who'd stoop to your level, right?\Was it you, Gray?\You wanna go, bud?\I punished you for your loud-ass snoring, is what!\You bastard!\Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend... response:	Cana, make sure to leave enough of your boyfriend to serve guests, okay?
context: There's only one other person who'd stoop to your level, right?\Was it you, Gray?\You wanna go, bud?\I punished you for your loud-ass snoring, is what!\You bastard!\Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay? response:	Oh? Where are you going on a day like this, Mira?
context: Was it you, Gray?\You wanna go, bud?\I punished you for your loud-ass snoring, is what!\You bastard!\Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira? response:	Just to the church...
context: You wanna go, bud?\I punished you for your loud-ass snoring, is what!\You bastard!\Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira?\Just to the church... response:	If you're a Man, then get stronger!
context: I punished you for your loud-ass snoring, is what!\You bastard!\Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira?\Just to the church...\If you're a Man, then get stronger! response:	You won't be able to protect Levy like that!
context: You bastard!\Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira?\Just to the church...\If you're a Man, then get stronger!\You won't be able to protect Levy like that! response:	Y-Yeah...
context: Gray-sama... You look so dreamy when you're fighting!\Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira?\Just to the church...\If you're a Man, then get stronger!\You won't be able to protect Levy like that!\Y-Yeah... response:	We know.
context: Rainy days are perfect for going on dates with your boyfriend...\Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira?\Just to the church...\If you're a Man, then get stronger!\You won't be able to protect Levy like that!\Y-Yeah...\We know. response:	Elfman, we're leaving!
context: Cana, make sure to leave enough of your boyfriend to serve guests, okay?\Oh? Where are you going on a day like this, Mira?\Just to the church...\If you're a Man, then get stronger!\You won't be able to protect Levy like that!\Y-Yeah...\We know.\Elfman, we're leaving! response:	You tell'em too, Neechan!
context: Oh? Where are you going on a day like this, Mira?\Just to the church...\If you're a Man, then get stronger!\You won't be able to protect Levy like that!\Y-Yeah...\We know.\Elfman, we're leaving!\You tell'em too, Neechan! response:	They totally screwed up on their last job.
context: Just to the church...\If you're a Man, then get stronger!\You won't be able to protect Levy like that!\Y-Yeah...\We know.\Elfman, we're leaving!\You tell'em too, Neechan!\They totally screwed up on their last job. response:	They got knocked out first, and Levy had to finish up the job all by herself!
context: If you're a Man, then get stronger!\You won't be able to protect Levy like that!\Y-Yeah...\We know.\Elfman, we're leaving!\You tell'em too, Neechan!\They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself! response:	It hurts to hear about it.
context: You won't be able to protect Levy like that!\Y-Yeah...\We know.\Elfman, we're leaving!\You tell'em too, Neechan!\They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it. response:	We suck so bad...
context: Y-Yeah...\We know.\Elfman, we're leaving!\You tell'em too, Neechan!\They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it.\We suck so bad... response:	I think Jet and Droy were doing their best.
context: We know.\Elfman, we're leaving!\You tell'em too, Neechan!\They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it.\We suck so bad...\I think Jet and Droy were doing their best. response:	Mira-chan!
context: Elfman, we're leaving!\You tell'em too, Neechan!\They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it.\We suck so bad...\I think Jet and Droy were doing their best.\Mira-chan! response:	Ouch!
context: You tell'em too, Neechan!\They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it.\We suck so bad...\I think Jet and Droy were doing their best.\Mira-chan!\Ouch! response:	Perhaps...
context: They totally screwed up on their last job.\They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it.\We suck so bad...\I think Jet and Droy were doing their best.\Mira-chan!\Ouch!\Perhaps... response:	I wonder.
context: They got knocked out first, and Levy had to finish up the job all by herself!\It hurts to hear about it.\We suck so bad...\I think Jet and Droy were doing their best.\Mira-chan!\Ouch!\Perhaps...\I wonder. response:	Why are Mira-san and Elfman going to the church on a day like today?
context: It hurts to hear about it.\We suck so bad...\I think Jet and Droy were doing their best.\Mira-chan!\Ouch!\Perhaps...\I wonder.\Why are Mira-san and Elfman going to the church on a day like today? response:	Oh, right.
context: We suck so bad...\I think Jet and Droy were doing their best.\Mira-chan!\Ouch!\Perhaps...\I wonder.\Why are Mira-san and Elfman going to the church on a day like today?\Oh, right. response:	It's almost the anniversary of Lisanna's death.
context: I think Jet and Droy were doing their best.\Mira-chan!\Ouch!\Perhaps...\I wonder.\Why are Mira-san and Elfman going to the church on a day like today?\Oh, right.\It's almost the anniversary of Lisanna's death. response:	Lisanna?
context: Mira-chan!\Ouch!\Perhaps...\I wonder.\Why are Mira-san and Elfman going to the church on a day like today?\Oh, right.\It's almost the anniversary of Lisanna's death.\Lisanna? response:	Mira and Elfman's little sister.
context: Ouch!\Perhaps...\I wonder.\Why are Mira-san and Elfman going to the church on a day like today?\Oh, right.\It's almost the anniversary of Lisanna's death.\Lisanna?\Mira and Elfman's little sister. response:	It was two years ago... An accident on a job.
context: Perhaps...\I wonder.\Why are Mira-san and Elfman going to the church on a day like today?\Oh, right.\It's almost the anniversary of Lisanna's death.\Lisanna?\Mira and Elfman's little sister.\It was two years ago... An accident on a job. response:	When it gets close to the anniversary, those two start start going to the church.
context: I wonder.\Why are Mira-san and Elfman going to the church on a day like today?\Oh, right.\It's almost the anniversary of Lisanna's death.\Lisanna?\Mira and Elfman's little sister.\It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church. response:	I see...
context: Why are Mira-san and Elfman going to the church on a day like today?\Oh, right.\It's almost the anniversary of Lisanna's death.\Lisanna?\Mira and Elfman's little sister.\It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church.\I see... response:	Now that you mention it, you remind me a bit of Lisanna.
context: Oh, right.\It's almost the anniversary of Lisanna's death.\Lisanna?\Mira and Elfman's little sister.\It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church.\I see...\Now that you mention it, you remind me a bit of Lisanna. response:	I do?
context: It's almost the anniversary of Lisanna's death.\Lisanna?\Mira and Elfman's little sister.\It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church.\I see...\Now that you mention it, you remind me a bit of Lisanna.\I do? response:	Like how you get along well with Natsu...
context: Lisanna?\Mira and Elfman's little sister.\It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church.\I see...\Now that you mention it, you remind me a bit of Lisanna.\I do?\Like how you get along well with Natsu... response:	Damn it... That guy's got too much energy...
context: Mira and Elfman's little sister.\It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church.\I see...\Now that you mention it, you remind me a bit of Lisanna.\I do?\Like how you get along well with Natsu...\Damn it... That guy's got too much energy... response:	Asleep already!?
context: It was two years ago... An accident on a job.\When it gets close to the anniversary, those two start start going to the church.\I see...\Now that you mention it, you remind me a bit of Lisanna.\I do?\Like how you get along well with Natsu...\Damn it... That guy's got too much energy...\Asleep already!? response:	So Natsu used to have a girl, huh?
context: When it gets close to the anniversary, those two start start going to the church.\I see...\Now that you mention it, you remind me a bit of Lisanna.\I do?\Like how you get along well with Natsu...\Damn it... That guy's got too much energy...\Asleep already!?\So Natsu used to have a girl, huh? response:	You're way too sticky.
context: I see...\Now that you mention it, you remind me a bit of Lisanna.\I do?\Like how you get along well with Natsu...\Damn it... That guy's got too much energy...\Asleep already!?\So Natsu used to have a girl, huh?\You're way too sticky. response:	Can't you eat it without getting it everywhere?
context: Now that you mention it, you remind me a bit of Lisanna.\I do?\Like how you get along well with Natsu...\Damn it... That guy's got too much energy...\Asleep already!?\So Natsu used to have a girl, huh?\You're way too sticky.\Can't you eat it without getting it everywhere? response:	This is the first time Juvia has eaten it.
context: I do?\Like how you get along well with Natsu...\Damn it... That guy's got too much energy...\Asleep already!?\So Natsu used to have a girl, huh?\You're way too sticky.\Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it. response:	There they go again...
context: Like how you get along well with Natsu...\Damn it... That guy's got too much energy...\Asleep already!?\So Natsu used to have a girl, huh?\You're way too sticky.\Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it.\There they go again... response:	You eat a caramelized frank like this.
context: Damn it... That guy's got too much energy...\Asleep already!?\So Natsu used to have a girl, huh?\You're way too sticky.\Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it.\There they go again...\You eat a caramelized frank like this. response:	You open your mouth really wide and then...
context: Asleep already!?\So Natsu used to have a girl, huh?\You're way too sticky.\Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it.\There they go again...\You eat a caramelized frank like this.\You open your mouth really wide and then... response:	It ain't so high class food, you know!
context: So Natsu used to have a girl, huh?\You're way too sticky.\Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it.\There they go again...\You eat a caramelized frank like this.\You open your mouth really wide and then...\It ain't so high class food, you know! response:	Although, it's probably best not to strip.
context: You're way too sticky.\Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it.\There they go again...\You eat a caramelized frank like this.\You open your mouth really wide and then...\It ain't so high class food, you know!\Although, it's probably best not to strip. response:	How can they be so bold?
context: Can't you eat it without getting it everywhere?\This is the first time Juvia has eaten it.\There they go again...\You eat a caramelized frank like this.\You open your mouth really wide and then...\It ain't so high class food, you know!\Although, it's probably best not to strip.\How can they be so bold? response:	One day, Bisca and I...
context: This is the first time Juvia has eaten it.\There they go again...\You eat a caramelized frank like this.\You open your mouth really wide and then...\It ain't so high class food, you know!\Although, it's probably best not to strip.\How can they be so bold?\One day, Bisca and I... response:	The rain just isn't stopping, is it?
context: There they go again...\You eat a caramelized frank like this.\You open your mouth really wide and then...\It ain't so high class food, you know!\Although, it's probably best not to strip.\How can they be so bold?\One day, Bisca and I...\The rain just isn't stopping, is it? response:	Y-Yeah...
context: You eat a caramelized frank like this.\You open your mouth really wide and then...\It ain't so high class food, you know!\Although, it's probably best not to strip.\How can they be so bold?\One day, Bisca and I...\The rain just isn't stopping, is it?\Y-Yeah... response:	Looks like you two are as friendly as ever.
context: You open your mouth really wide and then...\It ain't so high class food, you know!\Although, it's probably best not to strip.\How can they be so bold?\One day, Bisca and I...\The rain just isn't stopping, is it?\Y-Yeah...\Looks like you two are as friendly as ever. response:	We are?
context: It ain't so high class food, you know!\Although, it's probably best not to strip.\How can they be so bold?\One day, Bisca and I...\The rain just isn't stopping, is it?\Y-Yeah...\Looks like you two are as friendly as ever.\We are? response:	Erza-san...
context: Although, it's probably best not to strip.\How can they be so bold?\One day, Bisca and I...\The rain just isn't stopping, is it?\Y-Yeah...\Looks like you two are as friendly as ever.\We are?\Erza-san... response:	Cherish this time.
context: How can they be so bold?\One day, Bisca and I...\The rain just isn't stopping, is it?\Y-Yeah...\Looks like you two are as friendly as ever.\We are?\Erza-san...\Cherish this time. response:	So you don't have any regrets...
context: One day, Bisca and I...\The rain just isn't stopping, is it?\Y-Yeah...\Looks like you two are as friendly as ever.\We are?\Erza-san...\Cherish this time.\So you don't have any regrets... response:	Hey, Erza! Come over here.
context: The rain just isn't stopping, is it?\Y-Yeah...\Looks like you two are as friendly as ever.\We are?\Erza-san...\Cherish this time.\So you don't have any regrets...\Hey, Erza! Come over here. response:	Yes, Master?
context: Y-Yeah...\Looks like you two are as friendly as ever.\We are?\Erza-san...\Cherish this time.\So you don't have any regrets...\Hey, Erza! Come over here.\Yes, Master? response:	It's about that 100-year quest...
context: Looks like you two are as friendly as ever.\We are?\Erza-san...\Cherish this time.\So you don't have any regrets...\Hey, Erza! Come over here.\Yes, Master?\It's about that 100-year quest... response:	I've been looking into it, and...
context: We are?\Erza-san...\Cherish this time.\So you don't have any regrets...\Hey, Erza! Come over here.\Yes, Master?\It's about that 100-year quest...\I've been looking into it, and... response:	I was thinking of giving it to someone else.
context: Erza-san...\Cherish this time.\So you don't have any regrets...\Hey, Erza! Come over here.\Yes, Master?\It's about that 100-year quest...\I've been looking into it, and...\I was thinking of giving it to someone else. response:	Any objections?
context: Cherish this time.\So you don't have any regrets...\Hey, Erza! Come over here.\Yes, Master?\It's about that 100-year quest...\I've been looking into it, and...\I was thinking of giving it to someone else.\Any objections? response:	I think it's appropriate.
context: So you don't have any regrets...\Hey, Erza! Come over here.\Yes, Master?\It's about that 100-year quest...\I've been looking into it, and...\I was thinking of giving it to someone else.\Any objections?\I think it's appropriate. response:	Ah, there's nothing to do...
context: Hey, Erza! Come over here.\Yes, Master?\It's about that 100-year quest...\I've been looking into it, and...\I was thinking of giving it to someone else.\Any objections?\I think it's appropriate.\Ah, there's nothing to do... response:	With it raining like this, it's hard to get motivated to go on a job.
context: Yes, Master?\It's about that 100-year quest...\I've been looking into it, and...\I was thinking of giving it to someone else.\Any objections?\I think it's appropriate.\Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job. response:	I wish something interesting would happen...
context: It's about that 100-year quest...\I've been looking into it, and...\I was thinking of giving it to someone else.\Any objections?\I think it's appropriate.\Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen... response:	Anima is...
context: I've been looking into it, and...\I was thinking of giving it to someone else.\Any objections?\I think it's appropriate.\Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen...\Anima is... response:	Everyone, we have trouble! The sky...
context: I was thinking of giving it to someone else.\Any objections?\I think it's appropriate.\Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen...\Anima is...\Everyone, we have trouble! The sky... response:	What is this? Everyone!
context: Any objections?\I think it's appropriate.\Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen...\Anima is...\Everyone, we have trouble! The sky...\What is this? Everyone! response:	No way...
context: I think it's appropriate.\Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen...\Anima is...\Everyone, we have trouble! The sky...\What is this? Everyone!\No way... response:	The guild has... vanished...
context: Ah, there's nothing to do...\With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen...\Anima is...\Everyone, we have trouble! The sky...\What is this? Everyone!\No way...\The guild has... vanished... response:	And the entire city, too...
context: With it raining like this, it's hard to get motivated to go on a job.\I wish something interesting would happen...\Anima is...\Everyone, we have trouble! The sky...\What is this? Everyone!\No way...\The guild has... vanished...\And the entire city, too... response:	It can't be!
context: I wish something interesting would happen...\Anima is...\Everyone, we have trouble! The sky...\What is this? Everyone!\No way...\The guild has... vanished...\And the entire city, too...\It can't be! response:	What in the world has happened?
context: Anima is...\Everyone, we have trouble! The sky...\What is this? Everyone!\No way...\The guild has... vanished...\And the entire city, too...\It can't be!\What in the world has happened? response:	Is anyone there?
context: Everyone, we have trouble! The sky...\What is this? Everyone!\No way...\The guild has... vanished...\And the entire city, too...\It can't be!\What in the world has happened?\Is anyone there? response:	Anyone?!
context: What is this? Everyone!\No way...\The guild has... vanished...\And the entire city, too...\It can't be!\What in the world has happened?\Is anyone there?\Anyone?! response:	Anyone...?
context: No way...\The guild has... vanished...\And the entire city, too...\It can't be!\What in the world has happened?\Is anyone there?\Anyone?!\Anyone...? response:	Huh? Why?
context: The guild has... vanished...\And the entire city, too...\It can't be!\What in the world has happened?\Is anyone there?\Anyone?!\Anyone...?\Huh? Why? response:	Why am I the only one here?
context: And the entire city, too...\It can't be!\What in the world has happened?\Is anyone there?\Anyone?!\Anyone...?\Huh? Why?\Why am I the only one here? response:	Even though the city and guild are all gone...
context: It can't be!\What in the world has happened?\Is anyone there?\Anyone?!\Anyone...?\Huh? Why?\Why am I the only one here?\Even though the city and guild are all gone... response:	Why am I the only one?
context: What in the world has happened?\Is anyone there?\Anyone?!\Anyone...?\Huh? Why?\Why am I the only one here?\Even though the city and guild are all gone...\Why am I the only one? response:	W-What?
context: Is anyone there?\Anyone?!\Anyone...?\Huh? Why?\Why am I the only one here?\Even though the city and guild are all gone...\Why am I the only one?\W-What? response:	Natsu-san!
context: Anyone?!\Anyone...?\Huh? Why?\Why am I the only one here?\Even though the city and guild are all gone...\Why am I the only one?\W-What?\Natsu-san! response:	Oh, Wendy...
context: Anyone...?\Huh? Why?\Why am I the only one here?\Even though the city and guild are all gone...\Why am I the only one?\W-What?\Natsu-san!\Oh, Wendy... response:	Huh? Where are we?
context: Huh? Why?\Why am I the only one here?\Even though the city and guild are all gone...\Why am I the only one?\W-What?\Natsu-san!\Oh, Wendy...\Huh? Where are we? response:	There was someone left other than me...
context: Why am I the only one here?\Even though the city and guild are all gone...\Why am I the only one?\W-What?\Natsu-san!\Oh, Wendy...\Huh? Where are we?\There was someone left other than me... response:	You don't remember anything?
context: Even though the city and guild are all gone...\Why am I the only one?\W-What?\Natsu-san!\Oh, Wendy...\Huh? Where are we?\There was someone left other than me...\You don't remember anything? response:	Well, I was asleep.
context: Why am I the only one?\W-What?\Natsu-san!\Oh, Wendy...\Huh? Where are we?\There was someone left other than me...\You don't remember anything?\Well, I was asleep. response:	This is the guild.
context: W-What?\Natsu-san!\Oh, Wendy...\Huh? Where are we?\There was someone left other than me...\You don't remember anything?\Well, I was asleep.\This is the guild. response:	A hole suddenly appeared in the sky and sucked up the guild and the city!
context: Natsu-san!\Oh, Wendy...\Huh? Where are we?\There was someone left other than me...\You don't remember anything?\Well, I was asleep.\This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city! response:	I'm telling the truth! It looks like we're the only ones left.
context: Oh, Wendy...\Huh? Where are we?\There was someone left other than me...\You don't remember anything?\Well, I was asleep.\This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left. response:	Wendy, did you bump your head or something? That's nuts...
context: Huh? Where are we?\There was someone left other than me...\You don't remember anything?\Well, I was asleep.\This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts... response:	No!
context: There was someone left other than me...\You don't remember anything?\Well, I was asleep.\This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts...\No! response:	Maybe it's only Dragon Slayers that are left?
context: You don't remember anything?\Well, I was asleep.\This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts...\No!\Maybe it's only Dragon Slayers that are left? response:	That's right.
context: Well, I was asleep.\This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts...\No!\Maybe it's only Dragon Slayers that are left?\That's right. response:	Carla!
context: This is the guild.\A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts...\No!\Maybe it's only Dragon Slayers that are left?\That's right.\Carla! response:	Thank goodness, you're safe...
context: A hole suddenly appeared in the sky and sucked up the guild and the city!\I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts...\No!\Maybe it's only Dragon Slayers that are left?\That's right.\Carla!\Thank goodness, you're safe... response:	I guess so.
context: I'm telling the truth! It looks like we're the only ones left.\Wendy, did you bump your head or something? That's nuts...\No!\Maybe it's only Dragon Slayers that are left?\That's right.\Carla!\Thank goodness, you're safe...\I guess so. response:	You should thank the special magic power you have as a Dragon Slayer.
context: Wendy, did you bump your head or something? That's nuts...\No!\Maybe it's only Dragon Slayers that are left?\That's right.\Carla!\Thank goodness, you're safe...\I guess so.\You should thank the special magic power you have as a Dragon Slayer. response:	I'm glad that at least you two are safe.
context: No!\Maybe it's only Dragon Slayers that are left?\That's right.\Carla!\Thank goodness, you're safe...\I guess so.\You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe. response:	Carla...
context: Maybe it's only Dragon Slayers that are left?\That's right.\Carla!\Thank goodness, you're safe...\I guess so.\You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe.\Carla... response:	That ain't gonna cut it.
context: That's right.\Carla!\Thank goodness, you're safe...\I guess so.\You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe.\Carla...\That ain't gonna cut it. response:	It's like you don't give a crap about the rest...
context: Carla!\Thank goodness, you're safe...\I guess so.\You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe.\Carla...\That ain't gonna cut it.\It's like you don't give a crap about the rest... response:	Wait... They're really gone?!
context: Thank goodness, you're safe...\I guess so.\You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe.\Carla...\That ain't gonna cut it.\It's like you don't give a crap about the rest...\Wait... They're really gone?! response:	Yeah...
context: I guess so.\You should thank the special magic power you have as a Dragon Slayer.\I'm glad that at least you two are safe.\Carla...\That ain't gonna cut it.\It's like you don't give a crap about the rest...\Wait... They're really gone?!\Yeah... response:	Hey, everyone!
