context: Hey, part-timer! response:	Take care of the front.
context: Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it!\So, I'll stay here.\Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing!\Miss Makise seducing Mayuri...\Yuri is in the air... response:	Don't imagine that, pervert!
context: so she'll like it!\So, I'll stay here.\Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing!\Miss Makise seducing Mayuri...\Yuri is in the air...\Don't imagine that, pervert! response:	It's nice for girls to be together, isn't it?
context: So, I'll stay here.\Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing!\Miss Makise seducing Mayuri...\Yuri is in the air...\Don't imagine that, pervert!\It's nice for girls to be together, isn't it? response:	Anyway, why don't you show me around?
context: Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing!\Miss Makise seducing Mayuri...\Yuri is in the air...\Don't imagine that, pervert!\It's nice for girls to be together, isn't it?\Anyway, why don't you show me around? response:	Okay!
context: You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing!\Miss Makise seducing Mayuri...\Yuri is in the air...\Don't imagine that, pervert!\It's nice for girls to be together, isn't it?\Anyway, why don't you show me around?\Okay! response:	We'll start with the shower room.
context: I did no such thing!\Miss Makise seducing Mayuri...\Yuri is in the air...\Don't imagine that, pervert!\It's nice for girls to be together, isn't it?\Anyway, why don't you show me around?\Okay!\We'll start with the shower room. response:	It has a shower...
context: Miss Makise seducing Mayuri...\Yuri is in the air...\Don't imagine that, pervert!\It's nice for girls to be together, isn't it?\Anyway, why don't you show me around?\Okay!\We'll start with the shower room.\It has a shower... response:	But sometimes, if you use it for too long, the water gets cold. So be careful!
context: Yuri is in the air...\Don't imagine that, pervert!\It's nice for girls to be together, isn't it?\Anyway, why don't you show me around?\Okay!\We'll start with the shower room.\It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful! response:	You use this sometimes?
context: Don't imagine that, pervert!\It's nice for girls to be together, isn't it?\Anyway, why don't you show me around?\Okay!\We'll start with the shower room.\It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes? response:	Yeah, once in a while.
context: It's nice for girls to be together, isn't it?\Anyway, why don't you show me around?\Okay!\We'll start with the shower room.\It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes?\Yeah, once in a while. response:	Please promise me you'll never use the shower here again!
context: Anyway, why don't you show me around?\Okay!\We'll start with the shower room.\It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes?\Yeah, once in a while.\Please promise me you'll never use the shower here again! response:	It's too dangerous!
context: Okay!\We'll start with the shower room.\It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes?\Yeah, once in a while.\Please promise me you'll never use the shower here again!\It's too dangerous! response:	Don't look at me.
context: We'll start with the shower room.\It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes?\Yeah, once in a while.\Please promise me you'll never use the shower here again!\It's too dangerous!\Don't look at me. response:	It's suicide.
context: It has a shower...\But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes?\Yeah, once in a while.\Please promise me you'll never use the shower here again!\It's too dangerous!\Don't look at me.\It's suicide. response:	Actually, what are you doing here anyway?
context: But sometimes, if you use it for too long, the water gets cold. So be careful!\You use this sometimes?\Yeah, once in a while.\Please promise me you'll never use the shower here again!\It's too dangerous!\Don't look at me.\It's suicide.\Actually, what are you doing here anyway? response:	Did he threaten or blackmail
context: You use this sometimes?\Yeah, once in a while.\Please promise me you'll never use the shower here again!\It's too dangerous!\Don't look at me.\It's suicide.\Actually, what are you doing here anyway?\Did he threaten or blackmail response:	you into becoming a member, against your will?
context: Yeah, once in a while.\Please promise me you'll never use the shower here again!\It's too dangerous!\Don't look at me.\It's suicide.\Actually, what are you doing here anyway?\Did he threaten or blackmail\you into becoming a member, against your will? response:	Mayushii is Okarin's hostage.
context: Please promise me you'll never use the shower here again!\It's too dangerous!\Don't look at me.\It's suicide.\Actually, what are you doing here anyway?\Did he threaten or blackmail\you into becoming a member, against your will?\Mayushii is Okarin's hostage. response:	I should call the police.
context: It's too dangerous!\Don't look at me.\It's suicide.\Actually, what are you doing here anyway?\Did he threaten or blackmail\you into becoming a member, against your will?\Mayushii is Okarin's hostage.\I should call the police. response:	Wait!
context: Don't look at me.\It's suicide.\Actually, what are you doing here anyway?\Did he threaten or blackmail\you into becoming a member, against your will?\Mayushii is Okarin's hostage.\I should call the police.\Wait! response:	She just said she was your hostage.
context: It's suicide.\Actually, what are you doing here anyway?\Did he threaten or blackmail\you into becoming a member, against your will?\Mayushii is Okarin's hostage.\I should call the police.\Wait!\She just said she was your hostage. response:	That's real evidence.
context: Actually, what are you doing here anyway?\Did he threaten or blackmail\you into becoming a member, against your will?\Mayushii is Okarin's hostage.\I should call the police.\Wait!\She just said she was your hostage.\That's real evidence. response:	Nope.
context: Did he threaten or blackmail\you into becoming a member, against your will?\Mayushii is Okarin's hostage.\I should call the police.\Wait!\She just said she was your hostage.\That's real evidence.\Nope. response:	Mayushii became a hostage herself!
context: you into becoming a member, against your will?\Mayushii is Okarin's hostage.\I should call the police.\Wait!\She just said she was your hostage.\That's real evidence.\Nope.\Mayushii became a hostage herself! response:	What does that mean?
context: Mayushii is Okarin's hostage.\I should call the police.\Wait!\She just said she was your hostage.\That's real evidence.\Nope.\Mayushii became a hostage herself!\What does that mean? response:	I'm going.
context: I should call the police.\Wait!\She just said she was your hostage.\That's real evidence.\Nope.\Mayushii became a hostage herself!\What does that mean?\I'm going. response:	Bye!
context: Wait!\She just said she was your hostage.\That's real evidence.\Nope.\Mayushii became a hostage herself!\What does that mean?\I'm going.\Bye! response:	This should work as a replacement, I'm pretty sure...
context: She just said she was your hostage.\That's real evidence.\Nope.\Mayushii became a hostage herself!\What does that mean?\I'm going.\Bye!\This should work as a replacement, I'm pretty sure... response:	Yo!
context: That's real evidence.\Nope.\Mayushii became a hostage herself!\What does that mean?\I'm going.\Bye!\This should work as a replacement, I'm pretty sure...\Yo! response:	Think you'll be able to use that IBN 5100?
context: Nope.\Mayushii became a hostage herself!\What does that mean?\I'm going.\Bye!\This should work as a replacement, I'm pretty sure...\Yo!\Think you'll be able to use that IBN 5100? response:	Don't say that name here!
context: Mayushii became a hostage herself!\What does that mean?\I'm going.\Bye!\This should work as a replacement, I'm pretty sure...\Yo!\Think you'll be able to use that IBN 5100?\Don't say that name here! response:	Collecting parts?
context: What does that mean?\I'm going.\Bye!\This should work as a replacement, I'm pretty sure...\Yo!\Think you'll be able to use that IBN 5100?\Don't say that name here!\Collecting parts? response:	Want some help?
context: I'm going.\Bye!\This should work as a replacement, I'm pretty sure...\Yo!\Think you'll be able to use that IBN 5100?\Don't say that name here!\Collecting parts?\Want some help? response:	I didn't expect a part-time warrior
context: Bye!\This should work as a replacement, I'm pretty sure...\Yo!\Think you'll be able to use that IBN 5100?\Don't say that name here!\Collecting parts?\Want some help?\I didn't expect a part-time warrior response:	to be so knowledgeable about PCs.
context: This should work as a replacement, I'm pretty sure...\Yo!\Think you'll be able to use that IBN 5100?\Don't say that name here!\Collecting parts?\Want some help?\I didn't expect a part-time warrior\to be so knowledgeable about PCs. response:	I once knew someone who understood a lot about IBNs.
context: Yo!\Think you'll be able to use that IBN 5100?\Don't say that name here!\Collecting parts?\Want some help?\I didn't expect a part-time warrior\to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs. response:	Really?
context: Think you'll be able to use that IBN 5100?\Don't say that name here!\Collecting parts?\Want some help?\I didn't expect a part-time warrior\to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs.\Really? response:	I'd like you to put me in touch with them!
context: Don't say that name here!\Collecting parts?\Want some help?\I didn't expect a part-time warrior\to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs.\Really?\I'd like you to put me in touch with them! response:	It's impossible.
context: Collecting parts?\Want some help?\I didn't expect a part-time warrior\to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs.\Really?\I'd like you to put me in touch with them!\It's impossible. response:	If you refuse, you'll experience the worst hell this world has to offer!
context: Want some help?\I didn't expect a part-time warrior\to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs.\Really?\I'd like you to put me in touch with them!\It's impossible.\If you refuse, you'll experience the worst hell this world has to offer! response:	I said it's impossible.
context: I didn't expect a part-time warrior\to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs.\Really?\I'd like you to put me in touch with them!\It's impossible.\If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible. response:	Don't you value your life?
context: to be so knowledgeable about PCs.\I once knew someone who understood a lot about IBNs.\Really?\I'd like you to put me in touch with them!\It's impossible.\If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible.\Don't you value your life? response:	He's dead.
context: I once knew someone who understood a lot about IBNs.\Really?\I'd like you to put me in touch with them!\It's impossible.\If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible.\Don't you value your life?\He's dead. response:	He died years ago.
context: Really?\I'd like you to put me in touch with them!\It's impossible.\If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible.\Don't you value your life?\He's dead.\He died years ago. response:	I'm sorry.
context: I'd like you to put me in touch with them!\It's impossible.\If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible.\Don't you value your life?\He's dead.\He died years ago.\I'm sorry. response:	No, I apologize for earlier.
context: It's impossible.\If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible.\Don't you value your life?\He's dead.\He died years ago.\I'm sorry.\No, I apologize for earlier. response:	Did my assistant do something to you?
context: If you refuse, you'll experience the worst hell this world has to offer!\I said it's impossible.\Don't you value your life?\He's dead.\He died years ago.\I'm sorry.\No, I apologize for earlier.\Did my assistant do something to you? response:	Nothing.
context: I said it's impossible.\Don't you value your life?\He's dead.\He died years ago.\I'm sorry.\No, I apologize for earlier.\Did my assistant do something to you?\Nothing. response:	Like maybe she glared at you first...
context: Don't you value your life?\He's dead.\He died years ago.\I'm sorry.\No, I apologize for earlier.\Did my assistant do something to you?\Nothing.\Like maybe she glared at you first... response:	I know, she snorted at you!
context: He's dead.\He died years ago.\I'm sorry.\No, I apologize for earlier.\Did my assistant do something to you?\Nothing.\Like maybe she glared at you first...\I know, she snorted at you! response:	No.
context: He died years ago.\I'm sorry.\No, I apologize for earlier.\Did my assistant do something to you?\Nothing.\Like maybe she glared at you first...\I know, she snorted at you!\No. response:	She hasn't done anything.
context: I'm sorry.\No, I apologize for earlier.\Did my assistant do something to you?\Nothing.\Like maybe she glared at you first...\I know, she snorted at you!\No.\She hasn't done anything. response:	Then...
context: No, I apologize for earlier.\Did my assistant do something to you?\Nothing.\Like maybe she glared at you first...\I know, she snorted at you!\No.\She hasn't done anything.\Then... response:	She doesn't know anything yet.
context: Did my assistant do something to you?\Nothing.\Like maybe she glared at you first...\I know, she snorted at you!\No.\She hasn't done anything.\Then...\She doesn't know anything yet. response:	But be wary of her.
context: Nothing.\Like maybe she glared at you first...\I know, she snorted at you!\No.\She hasn't done anything.\Then...\She doesn't know anything yet.\But be wary of her. response:	What do you mean?
context: Like maybe she glared at you first...\I know, she snorted at you!\No.\She hasn't done anything.\Then...\She doesn't know anything yet.\But be wary of her.\What do you mean? response:	Bombs?
context: I know, she snorted at you!\No.\She hasn't done anything.\Then...\She doesn't know anything yet.\But be wary of her.\What do you mean?\Bombs? response:	They're broadcasting the fireworks.
context: No.\She hasn't done anything.\Then...\She doesn't know anything yet.\But be wary of her.\What do you mean?\Bombs?\They're broadcasting the fireworks. response:	Those are today, I think.
context: She hasn't done anything.\Then...\She doesn't know anything yet.\But be wary of her.\What do you mean?\Bombs?\They're broadcasting the fireworks.\Those are today, I think. response:	Fireworks... Fireworks...
context: Then...\She doesn't know anything yet.\But be wary of her.\What do you mean?\Bombs?\They're broadcasting the fireworks.\Those are today, I think.\Fireworks... Fireworks... response:	I've heard of those!
context: She doesn't know anything yet.\But be wary of her.\What do you mean?\Bombs?\They're broadcasting the fireworks.\Those are today, I think.\Fireworks... Fireworks...\I've heard of those! response:	You've never seen any?
context: But be wary of her.\What do you mean?\Bombs?\They're broadcasting the fireworks.\Those are today, I think.\Fireworks... Fireworks...\I've heard of those!\You've never seen any? response:	Where are they? Which way?
context: What do you mean?\Bombs?\They're broadcasting the fireworks.\Those are today, I think.\Fireworks... Fireworks...\I've heard of those!\You've never seen any?\Where are they? Which way? response:	Go out that way, toward the river,
context: Bombs?\They're broadcasting the fireworks.\Those are today, I think.\Fireworks... Fireworks...\I've heard of those!\You've never seen any?\Where are they? Which way?\Go out that way, toward the river, response:	and you should be able to see them.
context: They're broadcasting the fireworks.\Those are today, I think.\Fireworks... Fireworks...\I've heard of those!\You've never seen any?\Where are they? Which way?\Go out that way, toward the river,\and you should be able to see them. response:	Thanks!
context: Those are today, I think.\Fireworks... Fireworks...\I've heard of those!\You've never seen any?\Where are they? Which way?\Go out that way, toward the river,\and you should be able to see them.\Thanks! response:	Tell me your mail address.
context: Fireworks... Fireworks...\I've heard of those!\You've never seen any?\Where are they? Which way?\Go out that way, toward the river,\and you should be able to see them.\Thanks!\Tell me your mail address. response:	A festival?
context: I've heard of those!\You've never seen any?\Where are they? Which way?\Go out that way, toward the river,\and you should be able to see them.\Thanks!\Tell me your mail address.\A festival? response:	Fireworks!
context: You've never seen any?\Where are they? Which way?\Go out that way, toward the river,\and you should be able to see them.\Thanks!\Tell me your mail address.\A festival?\Fireworks! response:	Fireworks, huh?
context: Where are they? Which way?\Go out that way, toward the river,\and you should be able to see them.\Thanks!\Tell me your mail address.\A festival?\Fireworks!\Fireworks, huh? response:	Do you want to go?
context: Go out that way, toward the river,\and you should be able to see them.\Thanks!\Tell me your mail address.\A festival?\Fireworks!\Fireworks, huh?\Do you want to go? response:	Not really...
context: and you should be able to see them.\Thanks!\Tell me your mail address.\A festival?\Fireworks!\Fireworks, huh?\Do you want to go?\Not really... response:	Okarin!
context: Thanks!\Tell me your mail address.\A festival?\Fireworks!\Fireworks, huh?\Do you want to go?\Not really...\Okarin! response:	Heading home?
context: Tell me your mail address.\A festival?\Fireworks!\Fireworks, huh?\Do you want to go?\Not really...\Okarin!\Heading home? response:	Did you find the parts?
context: A festival?\Fireworks!\Fireworks, huh?\Do you want to go?\Not really...\Okarin!\Heading home?\Did you find the parts? response:	I've got them all right here.
context: Fireworks!\Fireworks, huh?\Do you want to go?\Not really...\Okarin!\Heading home?\Did you find the parts?\I've got them all right here. response:	I see...
context: Fireworks, huh?\Do you want to go?\Not really...\Okarin!\Heading home?\Did you find the parts?\I've got them all right here.\I see... response:	So you're going to start trying things.
context: Do you want to go?\Not really...\Okarin!\Heading home?\Did you find the parts?\I've got them all right here.\I see...\So you're going to start trying things. response:	Interested?
context: Not really...\Okarin!\Heading home?\Did you find the parts?\I've got them all right here.\I see...\So you're going to start trying things.\Interested? response:	You are, aren't you?
context: Okarin!\Heading home?\Did you find the parts?\I've got them all right here.\I see...\So you're going to start trying things.\Interested?\You are, aren't you? response:	Just a little, all right?
context: Heading home?\Did you find the parts?\I've got them all right here.\I see...\So you're going to start trying things.\Interested?\You are, aren't you?\Just a little, all right? response:	But I'm not interested
context: Did you find the parts?\I've got them all right here.\I see...\So you're going to start trying things.\Interested?\You are, aren't you?\Just a little, all right?\But I'm not interested response:	in that SERN conspiracy nonsense.
context: I've got them all right here.\I see...\So you're going to start trying things.\Interested?\You are, aren't you?\Just a little, all right?\But I'm not interested\in that SERN conspiracy nonsense. response:	I just want to know the truth.
context: I see...\So you're going to start trying things.\Interested?\You are, aren't you?\Just a little, all right?\But I'm not interested\in that SERN conspiracy nonsense.\I just want to know the truth. response:	I'm sorry.
context: So you're going to start trying things.\Interested?\You are, aren't you?\Just a little, all right?\But I'm not interested\in that SERN conspiracy nonsense.\I just want to know the truth.\I'm sorry. response:	What? What?
context: Interested?\You are, aren't you?\Just a little, all right?\But I'm not interested\in that SERN conspiracy nonsense.\I just want to know the truth.\I'm sorry.\What? What? response:	I'm heading back to the lab.
context: You are, aren't you?\Just a little, all right?\But I'm not interested\in that SERN conspiracy nonsense.\I just want to know the truth.\I'm sorry.\What? What?\I'm heading back to the lab. response:	I see.
context: Just a little, all right?\But I'm not interested\in that SERN conspiracy nonsense.\I just want to know the truth.\I'm sorry.\What? What?\I'm heading back to the lab.\I see. response:	Then Mayushii is going home.
context: But I'm not interested\in that SERN conspiracy nonsense.\I just want to know the truth.\I'm sorry.\What? What?\I'm heading back to the lab.\I see.\Then Mayushii is going home. response:	Okay.
context: in that SERN conspiracy nonsense.\I just want to know the truth.\I'm sorry.\What? What?\I'm heading back to the lab.\I see.\Then Mayushii is going home.\Okay. response:	Kurisu-chan?
context: I just want to know the truth.\I'm sorry.\What? What?\I'm heading back to the lab.\I see.\Then Mayushii is going home.\Okay.\Kurisu-chan? response:	Yes?
context: I'm sorry.\What? What?\I'm heading back to the lab.\I see.\Then Mayushii is going home.\Okay.\Kurisu-chan?\Yes? response:	You'll come back, right?
context: What? What?\I'm heading back to the lab.\I see.\Then Mayushii is going home.\Okay.\Kurisu-chan?\Yes?\You'll come back, right? response:	Yeah.
context: I'm heading back to the lab.\I see.\Then Mayushii is going home.\Okay.\Kurisu-chan?\Yes?\You'll come back, right?\Yeah. response:	I'm a member until I return to America.
context: I see.\Then Mayushii is going home.\Okay.\Kurisu-chan?\Yes?\You'll come back, right?\Yeah.\I'm a member until I return to America. response:	Yeah!
context: Then Mayushii is going home.\Okay.\Kurisu-chan?\Yes?\You'll come back, right?\Yeah.\I'm a member until I return to America.\Yeah! response:	Bye!
context: Okay.\Kurisu-chan?\Yes?\You'll come back, right?\Yeah.\I'm a member until I return to America.\Yeah!\Bye! response:	What was that?
context: Kurisu-chan?\Yes?\You'll come back, right?\Yeah.\I'm a member until I return to America.\Yeah!\Bye!\What was that? response:	You're my assistant.
context: Yes?\You'll come back, right?\Yeah.\I'm a member until I return to America.\Yeah!\Bye!\What was that?\You're my assistant. response:	Of course you're going to the lab.
context: You'll come back, right?\Yeah.\I'm a member until I return to America.\Yeah!\Bye!\What was that?\You're my assistant.\Of course you're going to the lab. response:	She said you're childhood friends.
context: Yeah.\I'm a member until I return to America.\Yeah!\Bye!\What was that?\You're my assistant.\Of course you're going to the lab.\She said you're childhood friends. response:	How did you grow up
context: I'm a member until I return to America.\Yeah!\Bye!\What was that?\You're my assistant.\Of course you're going to the lab.\She said you're childhood friends.\How did you grow up response:	in the same environment, and end up this socially awkward?
context: Yeah!\Bye!\What was that?\You're my assistant.\Of course you're going to the lab.\She said you're childhood friends.\How did you grow up\in the same environment, and end up this socially awkward? response:	Mayuri's always been a bit of a weird one...
context: Bye!\What was that?\You're my assistant.\Of course you're going to the lab.\She said you're childhood friends.\How did you grow up\in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one... response:	I was talking to you!
context: What was that?\You're my assistant.\Of course you're going to the lab.\She said you're childhood friends.\How did you grow up\in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one...\I was talking to you! response:	Part-Time Warrior
context: You're my assistant.\Of course you're going to the lab.\She said you're childhood friends.\How did you grow up\in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one...\I was talking to you!\Part-Time Warrior response:	First Message
context: Of course you're going to the lab.\She said you're childhood friends.\How did you grow up\in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one...\I was talking to you!\Part-Time Warrior\First Message response:	More than I imagined! Fireworks are great!
context: She said you're childhood friends.\How did you grow up\in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one...\I was talking to you!\Part-Time Warrior\First Message\More than I imagined! Fireworks are great! response:	First Message.
context: How did you grow up\in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one...\I was talking to you!\Part-Time Warrior\First Message\More than I imagined! Fireworks are great!\First Message. response:	More than I imagined!
context: in the same environment, and end up this socially awkward?\Mayuri's always been a bit of a weird one...\I was talking to you!\Part-Time Warrior\First Message\More than I imagined! Fireworks are great!\First Message.\More than I imagined! response:	Fireworks are great!
context: Mayuri's always been a bit of a weird one...\I was talking to you!\Part-Time Warrior\First Message\More than I imagined! Fireworks are great!\First Message.\More than I imagined!\Fireworks are great! response:	It never worked after that, huh?
context: I was talking to you!\Part-Time Warrior\First Message\More than I imagined! Fireworks are great!\First Message.\More than I imagined!\Fireworks are great!\It never worked after that, huh? response:	I'm borrowing this.
context: Part-Time Warrior\First Message\More than I imagined! Fireworks are great!\First Message.\More than I imagined!\Fireworks are great!\It never worked after that, huh?\I'm borrowing this. response:	Lab coats always calm me down.
context: First Message\More than I imagined! Fireworks are great!\First Message.\More than I imagined!\Fireworks are great!\It never worked after that, huh?\I'm borrowing this.\Lab coats always calm me down. response:	Perfect!
context: More than I imagined! Fireworks are great!\First Message.\More than I imagined!\Fireworks are great!\It never worked after that, huh?\I'm borrowing this.\Lab coats always calm me down.\Perfect! response:	I was right...
context: First Message.\More than I imagined!\Fireworks are great!\It never worked after that, huh?\I'm borrowing this.\Lab coats always calm me down.\Perfect!\I was right... response:	You're perfect.
context: More than I imagined!\Fireworks are great!\It never worked after that, huh?\I'm borrowing this.\Lab coats always calm me down.\Perfect!\I was right...\You're perfect. response:	Wh-What's wrong?
context: Fireworks are great!\It never worked after that, huh?\I'm borrowing this.\Lab coats always calm me down.\Perfect!\I was right...\You're perfect.\Wh-What's wrong? response:	You're creeping me out.
context: It never worked after that, huh?\I'm borrowing this.\Lab coats always calm me down.\Perfect!\I was right...\You're perfect.\Wh-What's wrong?\You're creeping me out. response:	A lab coat!
context: I'm borrowing this.\Lab coats always calm me down.\Perfect!\I was right...\You're perfect.\Wh-What's wrong?\You're creeping me out.\A lab coat! response:	In a research organization, a lab coat is a uniform!
context: Lab coats always calm me down.\Perfect!\I was right...\You're perfect.\Wh-What's wrong?\You're creeping me out.\A lab coat!\In a research organization, a lab coat is a uniform! response:	I keep telling Daru and Mayuri,
context: Perfect!\I was right...\You're perfect.\Wh-What's wrong?\You're creeping me out.\A lab coat!\In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri, response:	but neither of them seems to understand.
context: I was right...\You're perfect.\Wh-What's wrong?\You're creeping me out.\A lab coat!\In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri,\but neither of them seems to understand. response:	But you understand.
context: You're perfect.\Wh-What's wrong?\You're creeping me out.\A lab coat!\In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri,\but neither of them seems to understand.\But you understand. response:	Now, let's both stand with our hands in our pockets!
context: Wh-What's wrong?\You're creeping me out.\A lab coat!\In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri,\but neither of them seems to understand.\But you understand.\Now, let's both stand with our hands in our pockets! response:	Hurry up!
context: You're creeping me out.\A lab coat!\In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri,\but neither of them seems to understand.\But you understand.\Now, let's both stand with our hands in our pockets!\Hurry up! response:	L-Like this?
context: A lab coat!\In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri,\but neither of them seems to understand.\But you understand.\Now, let's both stand with our hands in our pockets!\Hurry up!\L-Like this? response:	That's right!
context: In a research organization, a lab coat is a uniform!\I keep telling Daru and Mayuri,\but neither of them seems to understand.\But you understand.\Now, let's both stand with our hands in our pockets!\Hurry up!\L-Like this?\That's right! response:	This is a pose of radiant intelligence, possible only for those
context: I keep telling Daru and Mayuri,\but neither of them seems to understand.\But you understand.\Now, let's both stand with our hands in our pockets!\Hurry up!\L-Like this?\That's right!\This is a pose of radiant intelligence, possible only for those response:	who spend their lives in research!
context: but neither of them seems to understand.\But you understand.\Now, let's both stand with our hands in our pockets!\Hurry up!\L-Like this?\That's right!\This is a pose of radiant intelligence, possible only for those\who spend their lives in research! response:	I give that lab coat to you.
context: But you understand.\Now, let's both stand with our hands in our pockets!\Hurry up!\L-Like this?\That's right!\This is a pose of radiant intelligence, possible only for those\who spend their lives in research!\I give that lab coat to you. response:	Let us share in the glory together...
context: Now, let's both stand with our hands in our pockets!\Hurry up!\L-Like this?\That's right!\This is a pose of radiant intelligence, possible only for those\who spend their lives in research!\I give that lab coat to you.\Let us share in the glory together... response:	I really do feel like you're mocking me.
context: Hurry up!\L-Like this?\That's right!\This is a pose of radiant intelligence, possible only for those\who spend their lives in research!\I give that lab coat to you.\Let us share in the glory together...\I really do feel like you're mocking me. response:	You hungry?
context: L-Like this?\That's right!\This is a pose of radiant intelligence, possible only for those\who spend their lives in research!\I give that lab coat to you.\Let us share in the glory together...\I really do feel like you're mocking me.\You hungry? response:	Shut up.
context: That's right!\This is a pose of radiant intelligence, possible only for those\who spend their lives in research!\I give that lab coat to you.\Let us share in the glory together...\I really do feel like you're mocking me.\You hungry?\Shut up. response:	I haven't eaten since lunch.
context: This is a pose of radiant intelligence, possible only for those\who spend their lives in research!\I give that lab coat to you.\Let us share in the glory together...\I really do feel like you're mocking me.\You hungry?\Shut up.\I haven't eaten since lunch. response:	Very well.
context: who spend their lives in research!\I give that lab coat to you.\Let us share in the glory together...\I really do feel like you're mocking me.\You hungry?\Shut up.\I haven't eaten since lunch.\Very well. response:	I'm in a good mood today.
context: I give that lab coat to you.\Let us share in the glory together...\I really do feel like you're mocking me.\You hungry?\Shut up.\I haven't eaten since lunch.\Very well.\I'm in a good mood today. response:	Enjoy. I demand it.
context: Let us share in the glory together...\I really do feel like you're mocking me.\You hungry?\Shut up.\I haven't eaten since lunch.\Very well.\I'm in a good mood today.\Enjoy. I demand it. response:	Seriously?
context: I really do feel like you're mocking me.\You hungry?\Shut up.\I haven't eaten since lunch.\Very well.\I'm in a good mood today.\Enjoy. I demand it.\Seriously? response:	You're dissatisfied?
context: You hungry?\Shut up.\I haven't eaten since lunch.\Very well.\I'm in a good mood today.\Enjoy. I demand it.\Seriously?\You're dissatisfied? response:	Of course!
context: Shut up.\I haven't eaten since lunch.\Very well.\I'm in a good mood today.\Enjoy. I demand it.\Seriously?\You're dissatisfied?\Of course! response:	Isn't there anything else?
context: I haven't eaten since lunch.\Very well.\I'm in a good mood today.\Enjoy. I demand it.\Seriously?\You're dissatisfied?\Of course!\Isn't there anything else? response:	I've got some cup ramen I bought.
context: Very well.\I'm in a good mood today.\Enjoy. I demand it.\Seriously?\You're dissatisfied?\Of course!\Isn't there anything else?\I've got some cup ramen I bought. response:	But I imagine you wouldn't want it,
context: I'm in a good mood today.\Enjoy. I demand it.\Seriously?\You're dissatisfied?\Of course!\Isn't there anything else?\I've got some cup ramen I bought.\But I imagine you wouldn't want it, response:	as someone raised in America...
context: Enjoy. I demand it.\Seriously?\You're dissatisfied?\Of course!\Isn't there anything else?\I've got some cup ramen I bought.\But I imagine you wouldn't want it,\as someone raised in America... response:	Cup ramen?
context: Seriously?\You're dissatisfied?\Of course!\Isn't there anything else?\I've got some cup ramen I bought.\But I imagine you wouldn't want it,\as someone raised in America...\Cup ramen? response:	I'll have some cup ramen.
context: You're dissatisfied?\Of course!\Isn't there anything else?\I've got some cup ramen I bought.\But I imagine you wouldn't want it,\as someone raised in America...\Cup ramen?\I'll have some cup ramen. response:	What flavors?
context: Of course!\Isn't there anything else?\I've got some cup ramen I bought.\But I imagine you wouldn't want it,\as someone raised in America...\Cup ramen?\I'll have some cup ramen.\What flavors? response:	Soy sauce and salt!
context: Isn't there anything else?\I've got some cup ramen I bought.\But I imagine you wouldn't want it,\as someone raised in America...\Cup ramen?\I'll have some cup ramen.\What flavors?\Soy sauce and salt! response:	I'll have the salt flavor.
context: I've got some cup ramen I bought.\But I imagine you wouldn't want it,\as someone raised in America...\Cup ramen?\I'll have some cup ramen.\What flavors?\Soy sauce and salt!\I'll have the salt flavor. response:	And a fork.
