context: What is this, my lord? response:	Evans/Person of the Land Pursall/Person of the Land
context: Right.\If you die, you can revive at the Cathedral.\But once you fall asleep...\How did it go?\I've found the eternal moths' nest, Shiro.\Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya. response:	It's really bad.
context: If you die, you can revive at the Cathedral.\But once you fall asleep...\How did it go?\I've found the eternal moths' nest, Shiro.\Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya.\It's really bad. response:	The player town of Shibuya has turned into a dungeon.
context: But once you fall asleep...\How did it go?\I've found the eternal moths' nest, Shiro.\Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya.\It's really bad.\The player town of Shibuya has turned into a dungeon. response:	And where is the moths' nest?
context: How did it go?\I've found the eternal moths' nest, Shiro.\Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya.\It's really bad.\The player town of Shibuya has turned into a dungeon.\And where is the moths' nest? response:	In the remains of the Shibuya broadcast building.
context: I've found the eternal moths' nest, Shiro.\Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya.\It's really bad.\The player town of Shibuya has turned into a dungeon.\And where is the moths' nest?\In the remains of the Shibuya broadcast building. response:	It's a raid zone.
context: Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya.\It's really bad.\The player town of Shibuya has turned into a dungeon.\And where is the moths' nest?\In the remains of the Shibuya broadcast building.\It's a raid zone. response:	Its new name is the Calling Fortress.
context: Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\In Shibuya.\It's really bad.\The player town of Shibuya has turned into a dungeon.\And where is the moths' nest?\In the remains of the Shibuya broadcast building.\It's a raid zone.\Its new name is the Calling Fortress. response:	Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None
context: In Shibuya.\It's really bad.\The player town of Shibuya has turned into a dungeon.\And where is the moths' nest?\In the remains of the Shibuya broadcast building.\It's a raid zone.\Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None response:	What's this?
context: It's really bad.\The player town of Shibuya has turned into a dungeon.\And where is the moths' nest?\In the remains of the Shibuya broadcast building.\It's a raid zone.\Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this? response:	It's a prototype based on the game's capture functions.
context: The player town of Shibuya has turned into a dungeon.\And where is the moths' nest?\In the remains of the Shibuya broadcast building.\It's a raid zone.\Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this?\It's a prototype based on the game's capture functions. response:	But if you use it for more than ten minutes, it explodes.
context: And where is the moths' nest?\In the remains of the Shibuya broadcast building.\It's a raid zone.\Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this?\It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes. response:	Until last week, it was completely normal.
context: In the remains of the Shibuya broadcast building.\It's a raid zone.\Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this?\It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal. response:	It seems there's a seal on the entrance.
context: It's a raid zone.\Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this?\It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal.\It seems there's a seal on the entrance. response:	Is it possible that monster eggs or an eternal moth cocoon fell
context: Its new name is the Calling Fortress.\Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this?\It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal.\It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell response:	from the moon and was drawn by that device you call an antenna?
context: Calling Fortress Japan Server Shibuya Dungeon/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None\What's this?\It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal.\It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna? response:	From the moon in the sky?
context: What's this?\It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal.\It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna?\From the moon in the sky? response:	On the moon is a community of Observers
context: It's a prototype based on the game's capture functions.\But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal.\It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna?\From the moon in the sky?\On the moon is a community of Observers response:	whom we're trying to contact.
context: But if you use it for more than ten minutes, it explodes.\Until last week, it was completely normal.\It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna?\From the moon in the sky?\On the moon is a community of Observers\whom we're trying to contact. response:	And the monsters called Geniuses were there, as well, right?
context: Until last week, it was completely normal.\It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna?\From the moon in the sky?\On the moon is a community of Observers\whom we're trying to contact.\And the monsters called Geniuses were there, as well, right? response:	So are those eternal moths a type of Genius?
context: It seems there's a seal on the entrance.\Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna?\From the moon in the sky?\On the moon is a community of Observers\whom we're trying to contact.\And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius? response:	Then why would they want everyone's MP?
context: Is it possible that monster eggs or an eternal moth cocoon fell\from the moon and was drawn by that device you call an antenna?\From the moon in the sky?\On the moon is a community of Observers\whom we're trying to contact.\And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius?\Then why would they want everyone's MP? response:	Roe 2's letter did say that the Geniuses
context: from the moon and was drawn by that device you call an antenna?\From the moon in the sky?\On the moon is a community of Observers\whom we're trying to contact.\And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius?\Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses response:	are collecting something they called empathions.
context: From the moon in the sky?\On the moon is a community of Observers\whom we're trying to contact.\And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius?\Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses\are collecting something they called empathions. response:	I didn't understand what they were, though.
context: On the moon is a community of Observers\whom we're trying to contact.\And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius?\Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses\are collecting something they called empathions.\I didn't understand what they were, though. response:	Is it MP?
context: whom we're trying to contact.\And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius?\Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses\are collecting something they called empathions.\I didn't understand what they were, though.\Is it MP? response:	That's highly likely.
context: And the monsters called Geniuses were there, as well, right?\So are those eternal moths a type of Genius?\Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses\are collecting something they called empathions.\I didn't understand what they were, though.\Is it MP?\That's highly likely. response:	The eternal moths appeared at the same time yesterday and the day before.
context: So are those eternal moths a type of Genius?\Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses\are collecting something they called empathions.\I didn't understand what they were, though.\Is it MP?\That's highly likely.\The eternal moths appeared at the same time yesterday and the day before. response:	The same time the moon rises.
context: Then why would they want everyone's MP?\Roe 2's letter did say that the Geniuses\are collecting something they called empathions.\I didn't understand what they were, though.\Is it MP?\That's highly likely.\The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises. response:	18:22, precisely.
context: Roe 2's letter did say that the Geniuses\are collecting something they called empathions.\I didn't understand what they were, though.\Is it MP?\That's highly likely.\The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises.\18:22, precisely. response:	A third wave is certain to come tonight.
context: are collecting something they called empathions.\I didn't understand what they were, though.\Is it MP?\That's highly likely.\The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises.\18:22, precisely.\A third wave is certain to come tonight. response:	The first time, it was People of the Land, and the second, it was adventurers, too.
context: I didn't understand what they were, though.\Is it MP?\That's highly likely.\The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises.\18:22, precisely.\A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too. response:	Their numbers are increasing.
context: Is it MP?\That's highly likely.\The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises.\18:22, precisely.\A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing. response:	To prevent damages, we'll probably have to destroy the antenna.
context: That's highly likely.\The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises.\18:22, precisely.\A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna. response:	But that's the only thing in Yamato that...
context: The eternal moths appeared at the same time yesterday and the day before.\The same time the moon rises.\18:22, precisely.\A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that... response:	Yes.
context: The same time the moon rises.\18:22, precisely.\A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that...\Yes. response:	And according to legend,
context: 18:22, precisely.\A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that...\Yes.\And according to legend, response:	an antenna is necessary for communication with the stars.
context: A third wave is certain to come tonight.\The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that...\Yes.\And according to legend,\an antenna is necessary for communication with the stars. response:	If we destroy it, Shiroe's plan may be impossible to execute.
context: The first time, it was People of the Land, and the second, it was adventurers, too.\Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that...\Yes.\And according to legend,\an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute. response:	No way.
context: Their numbers are increasing.\To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that...\Yes.\And according to legend,\an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute.\No way. response:	What about the other servers?
context: To prevent damages, we'll probably have to destroy the antenna.\But that's the only thing in Yamato that...\Yes.\And according to legend,\an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute.\No way.\What about the other servers? response:	We don't know.
context: But that's the only thing in Yamato that...\Yes.\And according to legend,\an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute.\No way.\What about the other servers?\We don't know. response:	We have barely any information on the foreign servers.
context: Yes.\And according to legend,\an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute.\No way.\What about the other servers?\We don't know.\We have barely any information on the foreign servers. response:	Even if the facilities do exist somewhere else, they may be nonfunctional.
context: And according to legend,\an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute.\No way.\What about the other servers?\We don't know.\We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional. response:	But if we don't do something,
context: an antenna is necessary for communication with the stars.\If we destroy it, Shiroe's plan may be impossible to execute.\No way.\What about the other servers?\We don't know.\We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something, response:	we'll have even bigger problems.
context: If we destroy it, Shiroe's plan may be impossible to execute.\No way.\What about the other servers?\We don't know.\We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something,\we'll have even bigger problems. response:	Maybe we'll just have to give up this time.
context: No way.\What about the other servers?\We don't know.\We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something,\we'll have even bigger problems.\Maybe we'll just have to give up this time. response:	So what do we do?
context: What about the other servers?\We don't know.\We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something,\we'll have even bigger problems.\Maybe we'll just have to give up this time.\So what do we do? response:	The Calling Fortress is a raid zone.
context: We don't know.\We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something,\we'll have even bigger problems.\Maybe we'll just have to give up this time.\So what do we do?\The Calling Fortress is a raid zone. response:	Even if it appears to be in front of us,
context: We have barely any information on the foreign servers.\Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something,\we'll have even bigger problems.\Maybe we'll just have to give up this time.\So what do we do?\The Calling Fortress is a raid zone.\Even if it appears to be in front of us, response:	it's impossible to attack from the outside.
context: Even if the facilities do exist somewhere else, they may be nonfunctional.\But if we don't do something,\we'll have even bigger problems.\Maybe we'll just have to give up this time.\So what do we do?\The Calling Fortress is a raid zone.\Even if it appears to be in front of us,\it's impossible to attack from the outside. response:	We'll need to go inside from the main entrance, and head for the goal.
context: But if we don't do something,\we'll have even bigger problems.\Maybe we'll just have to give up this time.\So what do we do?\The Calling Fortress is a raid zone.\Even if it appears to be in front of us,\it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal. response:	We'll dispatch a raid team immediately.
context: we'll have even bigger problems.\Maybe we'll just have to give up this time.\So what do we do?\The Calling Fortress is a raid zone.\Even if it appears to be in front of us,\it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately. response:	Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama
context: Maybe we'll just have to give up this time.\So what do we do?\The Calling Fortress is a raid zone.\Even if it appears to be in front of us,\it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama response:	Party 2 Serara Nyanta Nazuna
context: So what do we do?\The Calling Fortress is a raid zone.\Even if it appears to be in front of us,\it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna response:	Soujirou Korou Henrietta
context: The Calling Fortress is a raid zone.\Even if it appears to be in front of us,\it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta response:	Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko
context: Even if it appears to be in front of us,\it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko response:	Party 4 Rundel Haus Code Isuzu Hien
context: it's impossible to attack from the outside.\We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien response:	Shouryuu Isami Kurinon
context: We'll need to go inside from the main entrance, and head for the goal.\We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon response:	Some of them don't have very high levels.
context: We'll dispatch a raid team immediately.\Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon\Some of them don't have very high levels. response:	I selected them from people who didn't fall asleep when exposed to the moths' scales.
context: Shiroe Naotsugu Tetra Party 1 Akatsuki Marielle Kushiyatama\Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon\Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales. response:	Of course, there's no guarantee they'll withstand the next attack.
context: Party 2 Serara Nyanta Nazuna\Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon\Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack. response:	You don't want to investigate the fortress first?
context: Soujirou Korou Henrietta\Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon\Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first? response:	There's no time.
context: Party 3 Fragrant Olive Richou Rieze Tohya Minori Yuzuko\Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon\Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first?\There's no time. response:	So we're taking a gamble, huh?
context: Party 4 Rundel Haus Code Isuzu Hien\Shouryuu Isami Kurinon\Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first?\There's no time.\So we're taking a gamble, huh? response:	Sorry to keep you waiting!
context: Shouryuu Isami Kurinon\Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first?\There's no time.\So we're taking a gamble, huh?\Sorry to keep you waiting! response:	You're coming, too, old man?
context: Some of them don't have very high levels.\I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first?\There's no time.\So we're taking a gamble, huh?\Sorry to keep you waiting!\You're coming, too, old man? response:	Yes. Apparently, there's a special seal on the Calling Fortress's entrance.
context: I selected them from people who didn't fall asleep when exposed to the moths' scales.\Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first?\There's no time.\So we're taking a gamble, huh?\Sorry to keep you waiting!\You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance. response:	Shiroe asked me to release it.
context: Of course, there's no guarantee they'll withstand the next attack.\You don't want to investigate the fortress first?\There's no time.\So we're taking a gamble, huh?\Sorry to keep you waiting!\You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it. response:	That's not the only reason, right?
context: You don't want to investigate the fortress first?\There's no time.\So we're taking a gamble, huh?\Sorry to keep you waiting!\You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it.\That's not the only reason, right? response:	This situation is a first in the world's history.
context: There's no time.\So we're taking a gamble, huh?\Sorry to keep you waiting!\You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it.\That's not the only reason, right?\This situation is a first in the world's history. response:	As the bearer of the Miral Lake name,
context: So we're taking a gamble, huh?\Sorry to keep you waiting!\You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it.\That's not the only reason, right?\This situation is a first in the world's history.\As the bearer of the Miral Lake name, response:	I have a responsibility to see it through.
context: Sorry to keep you waiting!\You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it.\That's not the only reason, right?\This situation is a first in the world's history.\As the bearer of the Miral Lake name,\I have a responsibility to see it through. response:	We may not be able to protect you.
context: You're coming, too, old man?\Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it.\That's not the only reason, right?\This situation is a first in the world's history.\As the bearer of the Miral Lake name,\I have a responsibility to see it through.\We may not be able to protect you. response:	Don't worry.
context: Yes. Apparently, there's a special seal on the Calling Fortress's entrance.\Shiroe asked me to release it.\That's not the only reason, right?\This situation is a first in the world's history.\As the bearer of the Miral Lake name,\I have a responsibility to see it through.\We may not be able to protect you.\Don't worry. response:	I'll take care of myself.
context: Shiroe asked me to release it.\That's not the only reason, right?\This situation is a first in the world's history.\As the bearer of the Miral Lake name,\I have a responsibility to see it through.\We may not be able to protect you.\Don't worry.\I'll take care of myself. response:	Facilities across Yamato have been knocked out.
context: That's not the only reason, right?\This situation is a first in the world's history.\As the bearer of the Miral Lake name,\I have a responsibility to see it through.\We may not be able to protect you.\Don't worry.\I'll take care of myself.\Facilities across Yamato have been knocked out. response:	I've heard what's happening in Shibuya, too.
context: This situation is a first in the world's history.\As the bearer of the Miral Lake name,\I have a responsibility to see it through.\We may not be able to protect you.\Don't worry.\I'll take care of myself.\Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too. response:	I shall see what decision you adventurers make.
context: As the bearer of the Miral Lake name,\I have a responsibility to see it through.\We may not be able to protect you.\Don't worry.\I'll take care of myself.\Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make. response:	Take care of Akihabara for me.
context: I have a responsibility to see it through.\We may not be able to protect you.\Don't worry.\I'll take care of myself.\Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make.\Take care of Akihabara for me. response:	You take care, as well.
context: We may not be able to protect you.\Don't worry.\I'll take care of myself.\Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make.\Take care of Akihabara for me.\You take care, as well. response:	Einz...
context: Don't worry.\I'll take care of myself.\Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make.\Take care of Akihabara for me.\You take care, as well.\Einz... response:	Yes?
context: I'll take care of myself.\Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make.\Take care of Akihabara for me.\You take care, as well.\Einz...\Yes? response:	I'll believe
context: Facilities across Yamato have been knocked out.\I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make.\Take care of Akihabara for me.\You take care, as well.\Einz...\Yes?\I'll believe response:	that you're a member of the Round Table, too.
context: I've heard what's happening in Shibuya, too.\I shall see what decision you adventurers make.\Take care of Akihabara for me.\You take care, as well.\Einz...\Yes?\I'll believe\that you're a member of the Round Table, too. response:	Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.
context: I shall see what decision you adventurers make.\Take care of Akihabara for me.\You take care, as well.\Einz...\Yes?\I'll believe\that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress. response:	We will destroy the antenna there to stop the spread of the eternal moths,
context: Take care of Akihabara for me.\You take care, as well.\Einz...\Yes?\I'll believe\that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths, response:	and then wipe them out.
context: You take care, as well.\Einz...\Yes?\I'll believe\that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out. response:	Let's finish this by moonrise!
context: Einz...\Yes?\I'll believe\that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out.\Let's finish this by moonrise! response:	There are six hours until moonrise.
context: Yes?\I'll believe\that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out.\Let's finish this by moonrise!\There are six hours until moonrise. response:	Eight moon rabbits from the old Dougenzaka area.
context: I'll believe\that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out.\Let's finish this by moonrise!\There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area. response:	Moon Rabbit
context: that you're a member of the Round Table, too.\Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out.\Let's finish this by moonrise!\There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit response:	Average level 91!
context: Our target is the raid zone deep in the Shibuya Dungeon, the Calling Fortress.\We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out.\Let's finish this by moonrise!\There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit\Average level 91! response:	Keep pressure on them while heading toward Old Center Street.
context: We will destroy the antenna there to stop the spread of the eternal moths,\and then wipe them out.\Let's finish this by moonrise!\There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit\Average level 91!\Keep pressure on them while heading toward Old Center Street. response:	Six rabbits from two o'clock, and six from ten o'clock.
context: and then wipe them out.\Let's finish this by moonrise!\There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit\Average level 91!\Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock. response:	This is just so strange.
context: Let's finish this by moonrise!\There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit\Average level 91!\Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange. response:	This happens right when we start thinking about communicating with the moon?
context: There are six hours until moonrise.\Eight moon rabbits from the old Dougenzaka area.\Moon Rabbit\Average level 91!\Keep pressure on them while heading toward Old Center Street.\Six rabbits from two o'clock, and six from ten o'clock.\This is just so strange.\This happens right when we start thinking about communicating with the moon? response:	Shiro!
