context: What unbelievable luck! response:	If that coffee hadn't spilled this morning...
context: Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you! response:	I'm just gonna kick your ass!
context: That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you!\I'm just gonna kick your ass! response:	Josuke!
context: You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you!\I'm just gonna kick your ass!\Josuke! response:	Dora.
context: I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you!\I'm just gonna kick your ass!\Josuke!\Dora. response:	He's strong...
context: Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you!\I'm just gonna kick your ass!\Josuke!\Dora.\He's strong... response:	Yes! I can't see it, b-but that's amazing!
context: Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you!\I'm just gonna kick your ass!\Josuke!\Dora.\He's strong...\Yes! I can't see it, b-but that's amazing! response:	Kira just spit blood and went flying!
context: and it has the ability to fix anything that's been destroyed.\I won't need to use that ability against you!\I'm just gonna kick your ass!\Josuke!\Dora.\He's strong...\Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying! response:	You're moving way too slow, Deadly Queen!
context: I won't need to use that ability against you!\I'm just gonna kick your ass!\Josuke!\Dora.\He's strong...\Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen! response:	I guess yearning for a peaceful life has left you lacking in motivation.
context: I'm just gonna kick your ass!\Josuke!\Dora.\He's strong...\Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation. response:	Looks like your Stand isn't cut out for one-on-one battles.
context: Josuke!\Dora.\He's strong...\Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles. response:	Josuke, don't let your guard down just because he's slow!
context: Dora.\He's strong...\Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow! response:	If it's best to fight him without touching him,
context: He's strong...\Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him, response:	it'd be better to use my Stand, The Hand.
context: Yes! I can't see it, b-but that's amazing!\Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand. response:	Bring it!
context: Kira just spit blood and went flying!\You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand.\Bring it! response:	Scraping away space to teleport, eh?
context: You're moving way too slow, Deadly Queen!\I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand.\Bring it!\Scraping away space to teleport, eh? response:	I attacked Josuke, but now the direction of my attack has turned...
context: I guess yearning for a peaceful life has left you lacking in motivation.\Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand.\Bring it!\Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned... response:	Toward you.
context: Looks like your Stand isn't cut out for one-on-one battles.\Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand.\Bring it!\Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned...\Toward you. response:	I-Inside my backpack...
context: Josuke, don't let your guard down just because he's slow!\If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand.\Bring it!\Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned...\Toward you.\I-Inside my backpack... response:	What?!
context: If it's best to fight him without touching him,\it'd be better to use my Stand, The Hand.\Bring it!\Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned...\Toward you.\I-Inside my backpack...\What?! response:	Though I guess it worked out.
context: it'd be better to use my Stand, The Hand.\Bring it!\Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned...\Toward you.\I-Inside my backpack...\What?!\Though I guess it worked out. response:	It still hit right on the dot, despite being the first time I've used it.
context: Bring it!\Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned...\Toward you.\I-Inside my backpack...\What?!\Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it. response:	I-I wasn't touched... I-I wasn't even touched...
context: Scraping away space to teleport, eh?\I attacked Josuke, but now the direction of my attack has turned...\Toward you.\I-Inside my backpack...\What?!\Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched... response:	The air... The air breathed fire!
context: I attacked Josuke, but now the direction of my attack has turned...\Toward you.\I-Inside my backpack...\What?!\Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire! response:	Okuyasu!
context: Toward you.\I-Inside my backpack...\What?!\Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire!\Okuyasu! response:	Th-The air... breathed fire?
context: I-Inside my backpack...\What?!\Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire!\Okuyasu!\Th-The air... breathed fire? response:	The air...
context: What?!\Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire!\Okuyasu!\Th-The air... breathed fire?\The air... response:	The reason I kept that thing around was for this.
context: Though I guess it worked out.\It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire!\Okuyasu!\Th-The air... breathed fire?\The air...\The reason I kept that thing around was for this. response:	I can use Stray Cat's ability to control the air for Deadly Queen's explosions.
context: It still hit right on the dot, despite being the first time I've used it.\I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire!\Okuyasu!\Th-The air... breathed fire?\The air...\The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions. response:	Hayato, You brought it for me!
context: I-I wasn't touched... I-I wasn't even touched...\The air... The air breathed fire!\Okuyasu!\Th-The air... breathed fire?\The air...\The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me! response:	Invisible air and an unstoppable explosion!
context: The air... The air breathed fire!\Okuyasu!\Th-The air... breathed fire?\The air...\The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me!\Invisible air and an unstoppable explosion! response:	Could any two things in this world be more compatible than that?
context: Okuyasu!\Th-The air... breathed fire?\The air...\The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me!\Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that? response:	He was keeping it just for this purpose...
context: Th-The air... breathed fire?\The air...\The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me!\Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that?\He was keeping it just for this purpose... response:	And I'm the one who brought it here!
context: The air...\The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me!\Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that?\He was keeping it just for this purpose...\And I'm the one who brought it here! response:	I said that it appears luck is on my side, didn't I?
context: The reason I kept that thing around was for this.\I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me!\Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that?\He was keeping it just for this purpose...\And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I? response:	In Japanese, fate is written with characters meaning luck that brings life.
context: I can use Stray Cat's ability to control the air for Deadly Queen's explosions.\Hayato, You brought it for me!\Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that?\He was keeping it just for this purpose...\And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life. response:	How fitting.
context: Hayato, You brought it for me!\Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that?\He was keeping it just for this purpose...\And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life.\How fitting. response:	The
context: Invisible air and an unstoppable explosion!\Could any two things in this world be more compatible than that?\He was keeping it just for this purpose...\And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life.\How fitting.\The response:	The Ha
context: Could any two things in this world be more compatible than that?\He was keeping it just for this purpose...\And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life.\How fitting.\The\The Ha response:	The Han
context: He was keeping it just for this purpose...\And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life.\How fitting.\The\The Ha\The Han response:	The Hand
context: And I'm the one who brought it here!\I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life.\How fitting.\The\The Ha\The Han\The Hand response:	Oku
context: I said that it appears luck is on my side, didn't I?\In Japanese, fate is written with characters meaning luck that brings life.\How fitting.\The\The Ha\The Han\The Hand\Oku response:	Okuyasu
context: In Japanese, fate is written with characters meaning luck that brings life.\How fitting.\The\The Ha\The Han\The Hand\Oku\Okuyasu response:	Okuyasu Niji
context: How fitting.\The\The Ha\The Han\The Hand\Oku\Okuyasu\Okuyasu Niji response:	Okuyasu Nijimura
context: The\The Ha\The Han\The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura response:	Is something wrong, Jotaro?
context: The Ha\The Han\The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Is something wrong, Jotaro? response:	No, it's nothing.
context: The Han\The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Is something wrong, Jotaro?\No, it's nothing. response:	I just thought the rain sounded like Josuke's voice.
context: The Hand\Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Is something wrong, Jotaro?\No, it's nothing.\I just thought the rain sounded like Josuke's voice. response:	I'm sure he overslept.
context: Oku\Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Is something wrong, Jotaro?\No, it's nothing.\I just thought the rain sounded like Josuke's voice.\I'm sure he overslept. response:	If he doesn't show up in the next five minutes,
context: Okuyasu\Okuyasu Niji\Okuyasu Nijimura\Is something wrong, Jotaro?\No, it's nothing.\I just thought the rain sounded like Josuke's voice.\I'm sure he overslept.\If he doesn't show up in the next five minutes, response:	I'm going to head to Hayato Kawajiri's school without them.
context: Okuyasu Niji\Okuyasu Nijimura\Is something wrong, Jotaro?\No, it's nothing.\I just thought the rain sounded like Josuke's voice.\I'm sure he overslept.\If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them. response:	I'll fix you right now, Okuyasu!
context: Okuyasu Nijimura\Is something wrong, Jotaro?\No, it's nothing.\I just thought the rain sounded like Josuke's voice.\I'm sure he overslept.\If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu! response:	That's not going to happen.
context: Is something wrong, Jotaro?\No, it's nothing.\I just thought the rain sounded like Josuke's voice.\I'm sure he overslept.\If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu!\That's not going to happen. response:	Because I'm going to blow you away first.
context: No, it's nothing.\I just thought the rain sounded like Josuke's voice.\I'm sure he overslept.\If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu!\That's not going to happen.\Because I'm going to blow you away first. response:	It launched air like a bullet!
context: I just thought the rain sounded like Josuke's voice.\I'm sure he overslept.\If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu!\That's not going to happen.\Because I'm going to blow you away first.\It launched air like a bullet! response:	And he turned that air into a bomb!
context: I'm sure he overslept.\If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu!\That's not going to happen.\Because I'm going to blow you away first.\It launched air like a bullet!\And he turned that air into a bomb! response:	It's coming! You've got to run away!
context: If he doesn't show up in the next five minutes,\I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu!\That's not going to happen.\Because I'm going to blow you away first.\It launched air like a bullet!\And he turned that air into a bomb!\It's coming! You've got to run away! response:	You can't see it?
context: I'm going to head to Hayato Kawajiri's school without them.\I'll fix you right now, Okuyasu!\That's not going to happen.\Because I'm going to blow you away first.\It launched air like a bullet!\And he turned that air into a bomb!\It's coming! You've got to run away!\You can't see it? response:	It's that area that looks distorted!
context: I'll fix you right now, Okuyasu!\That's not going to happen.\Because I'm going to blow you away first.\It launched air like a bullet!\And he turned that air into a bomb!\It's coming! You've got to run away!\You can't see it?\It's that area that looks distorted! response:	I-It's going to hit!
context: That's not going to happen.\Because I'm going to blow you away first.\It launched air like a bullet!\And he turned that air into a bomb!\It's coming! You've got to run away!\You can't see it?\It's that area that looks distorted!\I-It's going to hit! response:	Fix?
context: Because I'm going to blow you away first.\It launched air like a bullet!\And he turned that air into a bomb!\It's coming! You've got to run away!\You can't see it?\It's that area that looks distorted!\I-It's going to hit!\Fix? response:	He's trying to use that ability to fix Okuyasu...
context: It launched air like a bullet!\And he turned that air into a bomb!\It's coming! You've got to run away!\You can't see it?\It's that area that looks distorted!\I-It's going to hit!\Fix?\He's trying to use that ability to fix Okuyasu... response:	The ability to fix things...
context: And he turned that air into a bomb!\It's coming! You've got to run away!\You can't see it?\It's that area that looks distorted!\I-It's going to hit!\Fix?\He's trying to use that ability to fix Okuyasu...\The ability to fix things... response:	To think it's so fast that you were able to create a wall from the broken slate.
context: It's coming! You've got to run away!\You can't see it?\It's that area that looks distorted!\I-It's going to hit!\Fix?\He's trying to use that ability to fix Okuyasu...\The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate. response:	I-It's shooting again!
context: You can't see it?\It's that area that looks distorted!\I-It's going to hit!\Fix?\He's trying to use that ability to fix Okuyasu...\The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again! response:	I-It's coming!
context: It's that area that looks distorted!\I-It's going to hit!\Fix?\He's trying to use that ability to fix Okuyasu...\The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again!\I-It's coming! response:	Presumptions are more terrifying than anything else.
context: I-It's going to hit!\Fix?\He's trying to use that ability to fix Okuyasu...\The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again!\I-It's coming!\Presumptions are more terrifying than anything else. response:	Especially when you're under the impression that
context: Fix?\He's trying to use that ability to fix Okuyasu...\The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again!\I-It's coming!\Presumptions are more terrifying than anything else.\Especially when you're under the impression that response:	your strengths or abilities are impressive.
context: He's trying to use that ability to fix Okuyasu...\The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again!\I-It's coming!\Presumptions are more terrifying than anything else.\Especially when you're under the impression that\your strengths or abilities are impressive. response:	I-It's starting to come through!
context: The ability to fix things...\To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again!\I-It's coming!\Presumptions are more terrifying than anything else.\Especially when you're under the impression that\your strengths or abilities are impressive.\I-It's starting to come through! response:	Even though it came in contact with it, it didn't explode!
context: To think it's so fast that you were able to create a wall from the broken slate.\I-It's shooting again!\I-It's coming!\Presumptions are more terrifying than anything else.\Especially when you're under the impression that\your strengths or abilities are impressive.\I-It's starting to come through!\Even though it came in contact with it, it didn't explode! response:	Hmph. I thought it might blow his head off,
context: I-It's shooting again!\I-It's coming!\Presumptions are more terrifying than anything else.\Especially when you're under the impression that\your strengths or abilities are impressive.\I-It's starting to come through!\Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off, response:	but it appears that the explosion was a bit shallow.
context: I-It's coming!\Presumptions are more terrifying than anything else.\Especially when you're under the impression that\your strengths or abilities are impressive.\I-It's starting to come through!\Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow. response:	Deadly Queen's explosions aren't limited only to things it touches.
context: Presumptions are more terrifying than anything else.\Especially when you're under the impression that\your strengths or abilities are impressive.\I-It's starting to come through!\Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches. response:	That would be a presumption.
context: Especially when you're under the impression that\your strengths or abilities are impressive.\I-It's starting to come through!\Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption. response:	It can explode at any given distance.
context: your strengths or abilities are impressive.\I-It's starting to come through!\Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption.\It can explode at any given distance. response:	No matter where you might hide,
context: I-It's starting to come through!\Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption.\It can explode at any given distance.\No matter where you might hide, response:	or how fast you might try to guard yourself with a wall or metal plate,
context: Even though it came in contact with it, it didn't explode!\Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption.\It can explode at any given distance.\No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate, response:	it can go right through and explode freely!
context: Hmph. I thought it might blow his head off,\but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption.\It can explode at any given distance.\No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely! response:	You cannot run anymore.
context: but it appears that the explosion was a bit shallow.\Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption.\It can explode at any given distance.\No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely!\You cannot run anymore. response:	Die!
context: Deadly Queen's explosions aren't limited only to things it touches.\That would be a presumption.\It can explode at any given distance.\No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely!\You cannot run anymore.\Die! response:	It's no use! There's no way to dodge it!
context: That would be a presumption.\It can explode at any given distance.\No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely!\You cannot run anymore.\Die!\It's no use! There's no way to dodge it! response:	I can't run?
context: It can explode at any given distance.\No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely!\You cannot run anymore.\Die!\It's no use! There's no way to dodge it!\I can't run? response:	I have no intention of running away...
context: No matter where you might hide,\or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely!\You cannot run anymore.\Die!\It's no use! There's no way to dodge it!\I can't run?\I have no intention of running away... response:	And I haven't from the beginning.
context: or how fast you might try to guard yourself with a wall or metal plate,\it can go right through and explode freely!\You cannot run anymore.\Die!\It's no use! There's no way to dodge it!\I can't run?\I have no intention of running away...\And I haven't from the beginning. response:	Then I wouldn't be able to fix Okuyasu!
context: it can go right through and explode freely!\You cannot run anymore.\Die!\It's no use! There's no way to dodge it!\I can't run?\I have no intention of running away...\And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu! response:	He's heading toward it?!
context: You cannot run anymore.\Die!\It's no use! There's no way to dodge it!\I can't run?\I have no intention of running away...\And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu!\He's heading toward it?! response:	I-It went through!
context: Die!\It's no use! There's no way to dodge it!\I can't run?\I have no intention of running away...\And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu!\He's heading toward it?!\I-It went through! response:	You can make it explode at any distance?
context: It's no use! There's no way to dodge it!\I can't run?\I have no intention of running away...\And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu!\He's heading toward it?!\I-It went through!\You can make it explode at any distance? response:	Looks like there's an exception to that.
context: I can't run?\I have no intention of running away...\And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu!\He's heading toward it?!\I-It went through!\You can make it explode at any distance?\Looks like there's an exception to that. response:	If I happen to explode when I'm close to you, Kira,
context: I have no intention of running away...\And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu!\He's heading toward it?!\I-It went through!\You can make it explode at any distance?\Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira, response:	you're not going to be safe, are you?!
context: And I haven't from the beginning.\Then I wouldn't be able to fix Okuyasu!\He's heading toward it?!\I-It went through!\You can make it explode at any distance?\Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?! response:	All right, Okuyasu. Now I can fix you.
context: Then I wouldn't be able to fix Okuyasu!\He's heading toward it?!\I-It went through!\You can make it explode at any distance?\Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you. response:	Don't touch him!
context: He's heading toward it?!\I-It went through!\You can make it explode at any distance?\Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you.\Don't touch him! response:	I think... he might have just used Okuyasu's body and...
context: I-It went through!\You can make it explode at any distance?\Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you.\Don't touch him!\I think... he might have just used Okuyasu's body and... response:	Damn that Hayato...
context: You can make it explode at any distance?\Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you.\Don't touch him!\I think... he might have just used Okuyasu's body and...\Damn that Hayato... response:	Impossible...
context: Looks like there's an exception to that.\If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you.\Don't touch him!\I think... he might have just used Okuyasu's body and...\Damn that Hayato...\Impossible... response:	I didn't see Deadly Queen touch Okuyasu.
context: If I happen to explode when I'm close to you, Kira,\you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you.\Don't touch him!\I think... he might have just used Okuyasu's body and...\Damn that Hayato...\Impossible...\I didn't see Deadly Queen touch Okuyasu. response:	How can you tell, Hayato Kawajiri?!
context: you're not going to be safe, are you?!\All right, Okuyasu. Now I can fix you.\Don't touch him!\I think... he might have just used Okuyasu's body and...\Damn that Hayato...\Impossible...\I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?! response:	You're not a Stand user!
context: All right, Okuyasu. Now I can fix you.\Don't touch him!\I think... he might have just used Okuyasu's body and...\Damn that Hayato...\Impossible...\I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?!\You're not a Stand user! response:	I can tell!
context: Don't touch him!\I think... he might have just used Okuyasu's body and...\Damn that Hayato...\Impossible...\I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?!\You're not a Stand user!\I can tell! response:	I've lived in the same house as him until this morning!
context: I think... he might have just used Okuyasu's body and...\Damn that Hayato...\Impossible...\I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?!\You're not a Stand user!\I can tell!\I've lived in the same house as him until this morning! response:	I can tell by his expressions!
context: Damn that Hayato...\Impossible...\I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?!\You're not a Stand user!\I can tell!\I've lived in the same house as him until this morning!\I can tell by his expressions! response:	It touched him without us noticing!
context: Impossible...\I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?!\You're not a Stand user!\I can tell!\I've lived in the same house as him until this morning!\I can tell by his expressions!\It touched him without us noticing! response:	There's no doubt!
context: I didn't see Deadly Queen touch Okuyasu.\How can you tell, Hayato Kawajiri?!\You're not a Stand user!\I can tell!\I've lived in the same house as him until this morning!\I can tell by his expressions!\It touched him without us noticing!\There's no doubt! response:	Okuyasu's body's been turned into a bomb!
context: How can you tell, Hayato Kawajiri?!\You're not a Stand user!\I can tell!\I've lived in the same house as him until this morning!\I can tell by his expressions!\It touched him without us noticing!\There's no doubt!\Okuyasu's body's been turned into a bomb! response:	Yoshikage Kira!
context: You're not a Stand user!\I can tell!\I've lived in the same house as him until this morning!\I can tell by his expressions!\It touched him without us noticing!\There's no doubt!\Okuyasu's body's been turned into a bomb!\Yoshikage Kira! response:	I'm not sure...
context: I can tell!\I've lived in the same house as him until this morning!\I can tell by his expressions!\It touched him without us noticing!\There's no doubt!\Okuyasu's body's been turned into a bomb!\Yoshikage Kira!\I'm not sure... response:	Since you were charging toward me,
context: I've lived in the same house as him until this morning!\I can tell by his expressions!\It touched him without us noticing!\There's no doubt!\Okuyasu's body's been turned into a bomb!\Yoshikage Kira!\I'm not sure...\Since you were charging toward me, response:	I'm not sure if I was actually able to touch Okuyasu or not.
context: I can tell by his expressions!\It touched him without us noticing!\There's no doubt!\Okuyasu's body's been turned into a bomb!\Yoshikage Kira!\I'm not sure...\Since you were charging toward me,\I'm not sure if I was actually able to touch Okuyasu or not. response:	It all happened so fast.
context: It touched him without us noticing!\There's no doubt!\Okuyasu's body's been turned into a bomb!\Yoshikage Kira!\I'm not sure...\Since you were charging toward me,\I'm not sure if I was actually able to touch Okuyasu or not.\It all happened so fast. response:	Should I just try pushing the button?
context: There's no doubt!\Okuyasu's body's been turned into a bomb!\Yoshikage Kira!\I'm not sure...\Since you were charging toward me,\I'm not sure if I was actually able to touch Okuyasu or not.\It all happened so fast.\Should I just try pushing the button? response:	D-Don't, Yoshikage Kira!
context: Okuyasu's body's been turned into a bomb!\Yoshikage Kira!\I'm not sure...\Since you were charging toward me,\I'm not sure if I was actually able to touch Okuyasu or not.\It all happened so fast.\Should I just try pushing the button?\D-Don't, Yoshikage Kira! response:	Hurry up and shoot the next air bullet!
