context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: we should contact the central government and await orders.\We cannot handle\an emergency such as this on our own.\E-Excuse me!\A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading!\It's over...\It's over. response:	Humanity will be devoured by Titans again.
context: We cannot handle\an emergency such as this on our own.\E-Excuse me!\A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading!\It's over...\It's over.\Humanity will be devoured by Titans again. response:	It's over.
context: an emergency such as this on our own.\E-Excuse me!\A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading!\It's over...\It's over.\Humanity will be devoured by Titans again.\It's over. response:	I can never go home...
context: E-Excuse me!\A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading!\It's over...\It's over.\Humanity will be devoured by Titans again.\It's over.\I can never go home... response:	Why?
context: A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading!\It's over...\It's over.\Humanity will be devoured by Titans again.\It's over.\I can never go home...\Why? response:	Why did I waste my final minutes with her having some stupid argument?!
context: They say Wall Maria has been breached! The Titans are invading!\It's over...\It's over.\Humanity will be devoured by Titans again.\It's over.\I can never go home...\Why?\Why did I waste my final minutes with her having some stupid argument?! response:	Now she's gone...
context: It's over...\It's over.\Humanity will be devoured by Titans again.\It's over.\I can never go home...\Why?\Why did I waste my final minutes with her having some stupid argument?!\Now she's gone... response:	She's never coming back!
context: It's over.\Humanity will be devoured by Titans again.\It's over.\I can never go home...\Why?\Why did I waste my final minutes with her having some stupid argument?!\Now she's gone...\She's never coming back! response:	Why?
context: Humanity will be devoured by Titans again.\It's over.\I can never go home...\Why?\Why did I waste my final minutes with her having some stupid argument?!\Now she's gone...\She's never coming back!\Why? response:	You lacked the strength.
context: It's over.\I can never go home...\Why?\Why did I waste my final minutes with her having some stupid argument?!\Now she's gone...\She's never coming back!\Why?\You lacked the strength. response:	Because I...
context: I can never go home...\Why?\Why did I waste my final minutes with her having some stupid argument?!\Now she's gone...\She's never coming back!\Why?\You lacked the strength.\Because I... response:	Because humans are weak!
context: Why?\Why did I waste my final minutes with her having some stupid argument?!\Now she's gone...\She's never coming back!\Why?\You lacked the strength.\Because I...\Because humans are weak! response:	Is crying all that we can do?!
context: Why did I waste my final minutes with her having some stupid argument?!\Now she's gone...\She's never coming back!\Why?\You lacked the strength.\Because I...\Because humans are weak!\Is crying all that we can do?! response:	I'll kill them.
context: Now she's gone...\She's never coming back!\Why?\You lacked the strength.\Because I...\Because humans are weak!\Is crying all that we can do?!\I'll kill them. response:	Eren...
context: She's never coming back!\Why?\You lacked the strength.\Because I...\Because humans are weak!\Is crying all that we can do?!\I'll kill them.\Eren... response:	What's wrong, Eren?
context: Why?\You lacked the strength.\Because I...\Because humans are weak!\Is crying all that we can do?!\I'll kill them.\Eren...\What's wrong, Eren? response:	Eren?
context: You lacked the strength.\Because I...\Because humans are weak!\Is crying all that we can do?!\I'll kill them.\Eren...\What's wrong, Eren?\Eren? response:	I'll kill them all!
context: Because I...\Because humans are weak!\Is crying all that we can do?!\I'll kill them.\Eren...\What's wrong, Eren?\Eren?\I'll kill them all! response:	I'll wipe every one of them... off the face of this earth!
context: Because humans are weak!\Is crying all that we can do?!\I'll kill them.\Eren...\What's wrong, Eren?\Eren?\I'll kill them all!\I'll wipe every one of them... off the face of this earth! response:	Eren...
context: Is crying all that we can do?!\I'll kill them.\Eren...\What's wrong, Eren?\Eren?\I'll kill them all!\I'll wipe every one of them... off the face of this earth!\Eren... response:	That year, the central government decided to fall back within Wall Rose.
context: I'll kill them.\Eren...\What's wrong, Eren?\Eren?\I'll kill them all!\I'll wipe every one of them... off the face of this earth!\Eren...\That year, the central government decided to fall back within Wall Rose. response:	During that period of time, the Titans consumed ten thousand people.
context: Eren...\What's wrong, Eren?\Eren?\I'll kill them all!\I'll wipe every one of them... off the face of this earth!\Eren...\That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people. response:	Eren... Karla...
context: What's wrong, Eren?\Eren?\I'll kill them all!\I'll wipe every one of them... off the face of this earth!\Eren...\That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people.\Eren... Karla... response:	Mikasa!
context: Eren?\I'll kill them all!\I'll wipe every one of them... off the face of this earth!\Eren...\That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people.\Eren... Karla...\Mikasa! response:	Please be safe.
context: I'll kill them all!\I'll wipe every one of them... off the face of this earth!\Eren...\That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people.\Eren... Karla...\Mikasa!\Please be safe. response:	Eren!
context: I'll wipe every one of them... off the face of this earth!\Eren...\That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people.\Eren... Karla...\Mikasa!\Please be safe.\Eren! response:	Eren!
context: Eren...\That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people.\Eren... Karla...\Mikasa!\Please be safe.\Eren!\Eren! response:	Eren!
context: That year, the central government decided to fall back within Wall Rose.\During that period of time, the Titans consumed ten thousand people.\Eren... Karla...\Mikasa!\Please be safe.\Eren!\Eren!\Eren! response:	Dad!
context: During that period of time, the Titans consumed ten thousand people.\Eren... Karla...\Mikasa!\Please be safe.\Eren!\Eren!\Eren!\Dad! response:	Stop it, Dad!
context: Eren... Karla...\Mikasa!\Please be safe.\Eren!\Eren!\Eren!\Dad!\Stop it, Dad! response:	What are you trying to do?!
context: Mikasa!\Please be safe.\Eren!\Eren!\Eren!\Dad!\Stop it, Dad!\What are you trying to do?! response:	Just give me your arm!
context: Please be safe.\Eren!\Eren!\Eren!\Dad!\Stop it, Dad!\What are you trying to do?!\Just give me your arm! response:	No!
context: Eren!\Eren!\Eren!\Dad!\Stop it, Dad!\What are you trying to do?!\Just give me your arm!\No! response:	After Mom died, you lost it...
context: Eren!\Eren!\Dad!\Stop it, Dad!\What are you trying to do?!\Just give me your arm!\No!\After Mom died, you lost it... response:	Eren!
context: Eren!\Dad!\Stop it, Dad!\What are you trying to do?!\Just give me your arm!\No!\After Mom died, you lost it...\Eren! response:	Let me go, Dad!
context: Dad!\Stop it, Dad!\What are you trying to do?!\Just give me your arm!\No!\After Mom died, you lost it...\Eren!\Let me go, Dad! response:	This is for your sake!
context: Stop it, Dad!\What are you trying to do?!\Just give me your arm!\No!\After Mom died, you lost it...\Eren!\Let me go, Dad!\This is for your sake! response:	What are you talking about?
context: What are you trying to do?!\Just give me your arm!\No!\After Mom died, you lost it...\Eren!\Let me go, Dad!\This is for your sake!\What are you talking about? response:	Don't forget the key.
context: Just give me your arm!\No!\After Mom died, you lost it...\Eren!\Let me go, Dad!\This is for your sake!\What are you talking about?\Don't forget the key. response:	You must get there...
context: No!\After Mom died, you lost it...\Eren!\Let me go, Dad!\This is for your sake!\What are you talking about?\Don't forget the key.\You must get there... response:	Someday, you'll understand!
context: After Mom died, you lost it...\Eren!\Let me go, Dad!\This is for your sake!\What are you talking about?\Don't forget the key.\You must get there...\Someday, you'll understand! response:	Until you do...
context: Eren!\Let me go, Dad!\This is for your sake!\What are you talking about?\Don't forget the key.\You must get there...\Someday, you'll understand!\Until you do... response:	Eren, are you okay?
context: Let me go, Dad!\This is for your sake!\What are you talking about?\Don't forget the key.\You must get there...\Someday, you'll understand!\Until you do...\Eren, are you okay? response:	You were tossing and turning.
context: This is for your sake!\What are you talking about?\Don't forget the key.\You must get there...\Someday, you'll understand!\Until you do...\Eren, are you okay?\You were tossing and turning. response:	I feel like I saw my dad...
context: What are you talking about?\Don't forget the key.\You must get there...\Someday, you'll understand!\Until you do...\Eren, are you okay?\You were tossing and turning.\I feel like I saw my dad... response:	That can't be.
context: Don't forget the key.\You must get there...\Someday, you'll understand!\Until you do...\Eren, are you okay?\You were tossing and turning.\I feel like I saw my dad...\That can't be. response:	It was only a dream.
context: You must get there...\Someday, you'll understand!\Until you do...\Eren, are you okay?\You were tossing and turning.\I feel like I saw my dad...\That can't be.\It was only a dream. response:	Was it?
context: Someday, you'll understand!\Until you do...\Eren, are you okay?\You were tossing and turning.\I feel like I saw my dad...\That can't be.\It was only a dream.\Was it? response:	Let's go.
context: Until you do...\Eren, are you okay?\You were tossing and turning.\I feel like I saw my dad...\That can't be.\It was only a dream.\Was it?\Let's go. response:	They said they're going to distribute food.
context: Eren, are you okay?\You were tossing and turning.\I feel like I saw my dad...\That can't be.\It was only a dream.\Was it?\Let's go.\They said they're going to distribute food. response:	This was once a food storehouse.
context: You were tossing and turning.\I feel like I saw my dad...\That can't be.\It was only a dream.\Was it?\Let's go.\They said they're going to distribute food.\This was once a food storehouse. response:	They're keeping refugees who fled by ship here.
context: I feel like I saw my dad...\That can't be.\It was only a dream.\Was it?\Let's go.\They said they're going to distribute food.\This was once a food storehouse.\They're keeping refugees who fled by ship here. response:	Hey, don't cut in line!
context: That can't be.\It was only a dream.\Was it?\Let's go.\They said they're going to distribute food.\This was once a food storehouse.\They're keeping refugees who fled by ship here.\Hey, don't cut in line! response:	Shut up!
context: It was only a dream.\Was it?\Let's go.\They said they're going to distribute food.\This was once a food storehouse.\They're keeping refugees who fled by ship here.\Hey, don't cut in line!\Shut up! response:	I haven't eaten anything since last night!
context: Was it?\Let's go.\They said they're going to distribute food.\This was once a food storehouse.\They're keeping refugees who fled by ship here.\Hey, don't cut in line!\Shut up!\I haven't eaten anything since last night! response:	It isn't yet certain that we'll survive.
context: Let's go.\They said they're going to distribute food.\This was once a food storehouse.\They're keeping refugees who fled by ship here.\Hey, don't cut in line!\Shut up!\I haven't eaten anything since last night!\It isn't yet certain that we'll survive. response:	Eren!
context: They said they're going to distribute food.\This was once a food storehouse.\They're keeping refugees who fled by ship here.\Hey, don't cut in line!\Shut up!\I haven't eaten anything since last night!\It isn't yet certain that we'll survive.\Eren! response:	Mikasa!
context: This was once a food storehouse.\They're keeping refugees who fled by ship here.\Hey, don't cut in line!\Shut up!\I haven't eaten anything since last night!\It isn't yet certain that we'll survive.\Eren!\Mikasa! response:	Armin...
context: They're keeping refugees who fled by ship here.\Hey, don't cut in line!\Shut up!\I haven't eaten anything since last night!\It isn't yet certain that we'll survive.\Eren!\Mikasa!\Armin... response:	Look...
context: Hey, don't cut in line!\Shut up!\I haven't eaten anything since last night!\It isn't yet certain that we'll survive.\Eren!\Mikasa!\Armin...\Look... response:	I got here in time.
context: Shut up!\I haven't eaten anything since last night!\It isn't yet certain that we'll survive.\Eren!\Mikasa!\Armin...\Look...\I got here in time. response:	My grandpa got these for us kids.
context: I haven't eaten anything since last night!\It isn't yet certain that we'll survive.\Eren!\Mikasa!\Armin...\Look...\I got here in time.\My grandpa got these for us kids. response:	Thank you.
context: It isn't yet certain that we'll survive.\Eren!\Mikasa!\Armin...\Look...\I got here in time.\My grandpa got these for us kids.\Thank you. response:	What's his problem?
context: Eren!\Mikasa!\Armin...\Look...\I got here in time.\My grandpa got these for us kids.\Thank you.\What's his problem? response:	There's nothing we can do...
context: Mikasa!\Armin...\Look...\I got here in time.\My grandpa got these for us kids.\Thank you.\What's his problem?\There's nothing we can do... response:	I don't think there's enough food for everyone.
context: Armin...\Look...\I got here in time.\My grandpa got these for us kids.\Thank you.\What's his problem?\There's nothing we can do...\I don't think there's enough food for everyone. response:	They say that's all we'll get today.
context: Look...\I got here in time.\My grandpa got these for us kids.\Thank you.\What's his problem?\There's nothing we can do...\I don't think there's enough food for everyone.\They say that's all we'll get today. response:	There are too many refugees.
context: I got here in time.\My grandpa got these for us kids.\Thank you.\What's his problem?\There's nothing we can do...\I don't think there's enough food for everyone.\They say that's all we'll get today.\There are too many refugees. response:	And not enough food to begin with.
context: My grandpa got these for us kids.\Thank you.\What's his problem?\There's nothing we can do...\I don't think there's enough food for everyone.\They say that's all we'll get today.\There are too many refugees.\And not enough food to begin with. response:	You know the farther out you live, the less they care, right?
context: Thank you.\What's his problem?\There's nothing we can do...\I don't think there's enough food for everyone.\They say that's all we'll get today.\There are too many refugees.\And not enough food to begin with.\You know the farther out you live, the less they care, right? response:	Why do we have to share our food with outsiders?
context: What's his problem?\There's nothing we can do...\I don't think there's enough food for everyone.\They say that's all we'll get today.\There are too many refugees.\And not enough food to begin with.\You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders? response:	If the Titans were breaking through anyway,
context: There's nothing we can do...\I don't think there's enough food for everyone.\They say that's all we'll get today.\There are too many refugees.\And not enough food to begin with.\You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders?\If the Titans were breaking through anyway, response:	they should have eaten more, so there'd be fewer mouths.
context: I don't think there's enough food for everyone.\They say that's all we'll get today.\There are too many refugees.\And not enough food to begin with.\You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders?\If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths. response:	Eren!
context: They say that's all we'll get today.\There are too many refugees.\And not enough food to begin with.\You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders?\If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths.\Eren! response:	Now there's just that much less food.
context: There are too many refugees.\And not enough food to begin with.\You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders?\If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths.\Eren!\Now there's just that much less food. response:	Ow!
context: And not enough food to begin with.\You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders?\If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths.\Eren!\Now there's just that much less food.\Ow! response:	What are you doing, stupid kid?
context: You know the farther out you live, the less they care, right?\Why do we have to share our food with outsiders?\If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths.\Eren!\Now there's just that much less food.\Ow!\What are you doing, stupid kid? response:	You have no idea...
context: Why do we have to share our food with outsiders?\If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths.\Eren!\Now there's just that much less food.\Ow!\What are you doing, stupid kid?\You have no idea... response:	You've never even seen it!
context: If the Titans were breaking through anyway,\they should have eaten more, so there'd be fewer mouths.\Eren!\Now there's just that much less food.\Ow!\What are you doing, stupid kid?\You have no idea...\You've never even seen it! response:	You've never seen the way they eat people...
context: they should have eaten more, so there'd be fewer mouths.\Eren!\Now there's just that much less food.\Ow!\What are you doing, stupid kid?\You have no idea...\You've never even seen it!\You've never seen the way they eat people... response:	Shut up!
context: Eren!\Now there's just that much less food.\Ow!\What are you doing, stupid kid?\You have no idea...\You've never even seen it!\You've never seen the way they eat people...\Shut up! response:	I'm sorry!
context: Now there's just that much less food.\Ow!\What are you doing, stupid kid?\You have no idea...\You've never even seen it!\You've never seen the way they eat people...\Shut up!\I'm sorry! response:	He's just upset because he's hungry.
context: Ow!\What are you doing, stupid kid?\You have no idea...\You've never even seen it!\You've never seen the way they eat people...\Shut up!\I'm sorry!\He's just upset because he's hungry. response:	That's why he's being so rude to an adult.
context: What are you doing, stupid kid?\You have no idea...\You've never even seen it!\You've never seen the way they eat people...\Shut up!\I'm sorry!\He's just upset because he's hungry.\That's why he's being so rude to an adult. response:	I'm r-really sorry!
context: You have no idea...\You've never even seen it!\You've never seen the way they eat people...\Shut up!\I'm sorry!\He's just upset because he's hungry.\That's why he's being so rude to an adult.\I'm r-really sorry! response:	Jeez...
context: You've never even seen it!\You've never seen the way they eat people...\Shut up!\I'm sorry!\He's just upset because he's hungry.\That's why he's being so rude to an adult.\I'm r-really sorry!\Jeez... response:	The only reason you aren't starving is because of us, got it?
context: You've never seen the way they eat people...\Shut up!\I'm sorry!\He's just upset because he's hungry.\That's why he's being so rude to an adult.\I'm r-really sorry!\Jeez...\The only reason you aren't starving is because of us, got it? response:	Even a kid should show gratitude!
context: Shut up!\I'm sorry!\He's just upset because he's hungry.\That's why he's being so rude to an adult.\I'm r-really sorry!\Jeez...\The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude! response:	Right!
context: I'm sorry!\He's just upset because he's hungry.\That's why he's being so rude to an adult.\I'm r-really sorry!\Jeez...\The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude!\Right! response:	Damn it.
context: He's just upset because he's hungry.\That's why he's being so rude to an adult.\I'm r-really sorry!\Jeez...\The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude!\Right!\Damn it. response:	No guy like that's looking after me...
context: That's why he's being so rude to an adult.\I'm r-really sorry!\Jeez...\The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude!\Right!\Damn it.\No guy like that's looking after me... response:	I'm going back to Wall Maria.
context: I'm r-really sorry!\Jeez...\The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude!\Right!\Damn it.\No guy like that's looking after me...\I'm going back to Wall Maria. response:	I'm going to kill all the Titans!
context: Jeez...\The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude!\Right!\Damn it.\No guy like that's looking after me...\I'm going back to Wall Maria.\I'm going to kill all the Titans! response:	Eren, you aren't serious, are you?
context: The only reason you aren't starving is because of us, got it?\Even a kid should show gratitude!\Right!\Damn it.\No guy like that's looking after me...\I'm going back to Wall Maria.\I'm going to kill all the Titans!\Eren, you aren't serious, are you? response:	I am serious!
context: Even a kid should show gratitude!\Right!\Damn it.\No guy like that's looking after me...\I'm going back to Wall Maria.\I'm going to kill all the Titans!\Eren, you aren't serious, are you?\I am serious! response:	I'm not like them, sitting inside the walls and acting tough!
context: Right!\Damn it.\No guy like that's looking after me...\I'm going back to Wall Maria.\I'm going to kill all the Titans!\Eren, you aren't serious, are you?\I am serious!\I'm not like them, sitting inside the walls and acting tough! response:	I don't need this!
context: Damn it.\No guy like that's looking after me...\I'm going back to Wall Maria.\I'm going to kill all the Titans!\Eren, you aren't serious, are you?\I am serious!\I'm not like them, sitting inside the walls and acting tough!\I don't need this! response:	Eren, you'll starve!
context: No guy like that's looking after me...\I'm going back to Wall Maria.\I'm going to kill all the Titans!\Eren, you aren't serious, are you?\I am serious!\I'm not like them, sitting inside the walls and acting tough!\I don't need this!\Eren, you'll starve! response:	This doesn't bother you?!
context: I'm going back to Wall Maria.\I'm going to kill all the Titans!\Eren, you aren't serious, are you?\I am serious!\I'm not like them, sitting inside the walls and acting tough!\I don't need this!\Eren, you'll starve!\This doesn't bother you?! response:	We can't win until we can stop depending on stuff from them!
context: I'm going to kill all the Titans!\Eren, you aren't serious, are you?\I am serious!\I'm not like them, sitting inside the walls and acting tough!\I don't need this!\Eren, you'll starve!\This doesn't bother you?!\We can't win until we can stop depending on stuff from them! response:	It's impossible!
context: Eren, you aren't serious, are you?\I am serious!\I'm not like them, sitting inside the walls and acting tough!\I don't need this!\Eren, you'll starve!\This doesn't bother you?!\We can't win until we can stop depending on stuff from them!\It's impossible! response:	We can't beat the Titans, anyway.
context: I am serious!\I'm not like them, sitting inside the walls and acting tough!\I don't need this!\Eren, you'll starve!\This doesn't bother you?!\We can't win until we can stop depending on stuff from them!\It's impossible!\We can't beat the Titans, anyway. response:	There's nothing we can do but live within the walls...
context: I'm not like them, sitting inside the walls and acting tough!\I don't need this!\Eren, you'll starve!\This doesn't bother you?!\We can't win until we can stop depending on stuff from them!\It's impossible!\We can't beat the Titans, anyway.\There's nothing we can do but live within the walls... response:	If you do something dumb, you'll die. Like my mom and dad!
context: I don't need this!\Eren, you'll starve!\This doesn't bother you?!\We can't win until we can stop depending on stuff from them!\It's impossible!\We can't beat the Titans, anyway.\There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad! response:	So we should suck up to them instead?
context: Eren, you'll starve!\This doesn't bother you?!\We can't win until we can stop depending on stuff from them!\It's impossible!\We can't beat the Titans, anyway.\There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead? response:	Aren't you ashamed?
context: This doesn't bother you?!\We can't win until we can stop depending on stuff from them!\It's impossible!\We can't beat the Titans, anyway.\There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead?\Aren't you ashamed? response:	Right now... Right now, there's no choice!
context: We can't win until we can stop depending on stuff from them!\It's impossible!\We can't beat the Titans, anyway.\There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead?\Aren't you ashamed?\Right now... Right now, there's no choice! response:	That's just an excuse!
context: It's impossible!\We can't beat the Titans, anyway.\There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead?\Aren't you ashamed?\Right now... Right now, there's no choice!\That's just an excuse! response:	Then spend the rest of your life as cattle, weakling!
context: We can't beat the Titans, anyway.\There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead?\Aren't you ashamed?\Right now... Right now, there's no choice!\That's just an excuse!\Then spend the rest of your life as cattle, weakling! response:	Mikasa?
context: There's nothing we can do but live within the walls...\If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead?\Aren't you ashamed?\Right now... Right now, there's no choice!\That's just an excuse!\Then spend the rest of your life as cattle, weakling!\Mikasa? response:	If Armin is a weakling, so are we.
context: If you do something dumb, you'll die. Like my mom and dad!\So we should suck up to them instead?\Aren't you ashamed?\Right now... Right now, there's no choice!\That's just an excuse!\Then spend the rest of your life as cattle, weakling!\Mikasa?\If Armin is a weakling, so are we. response:	We didn't even run from the Titans or from the city on our own two feet.
context: So we should suck up to them instead?\Aren't you ashamed?\Right now... Right now, there's no choice!\That's just an excuse!\Then spend the rest of your life as cattle, weakling!\Mikasa?\If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet. response:	We couldn't even get the food we're eating today without help.
context: Aren't you ashamed?\Right now... Right now, there's no choice!\That's just an excuse!\Then spend the rest of your life as cattle, weakling!\Mikasa?\If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help. response:	Anyone so weak couldn't possibly defeat a single Titan...
context: Right now... Right now, there's no choice!\That's just an excuse!\Then spend the rest of your life as cattle, weakling!\Mikasa?\If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan... response:	What matters is survival.
context: That's just an excuse!\Then spend the rest of your life as cattle, weakling!\Mikasa?\If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival. response:	Just like your mother said.
context: Then spend the rest of your life as cattle, weakling!\Mikasa?\If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival.\Just like your mother said. response:	Mikasa...
context: Mikasa?\If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival.\Just like your mother said.\Mikasa... response:	Eat... And survive!
context: If Armin is a weakling, so are we.\We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival.\Just like your mother said.\Mikasa...\Eat... And survive! response:	I will not let you starve.
context: We didn't even run from the Titans or from the city on our own two feet.\We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival.\Just like your mother said.\Mikasa...\Eat... And survive!\I will not let you starve. response:	Several days later,
context: We couldn't even get the food we're eating today without help.\Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival.\Just like your mother said.\Mikasa...\Eat... And survive!\I will not let you starve.\Several days later, response:	refugees were sent in droves to till the wastelands,
context: Anyone so weak couldn't possibly defeat a single Titan...\What matters is survival.\Just like your mother said.\Mikasa...\Eat... And survive!\I will not let you starve.\Several days later,\refugees were sent in droves to till the wastelands, response:	to bring in more food.
context: What matters is survival.\Just like your mother said.\Mikasa...\Eat... And survive!\I will not let you starve.\Several days later,\refugees were sent in droves to till the wastelands,\to bring in more food. response:	But even still, there wasn't enough.
context: Just like your mother said.\Mikasa...\Eat... And survive!\I will not let you starve.\Several days later,\refugees were sent in droves to till the wastelands,\to bring in more food.\But even still, there wasn't enough. response:	And the following year, in 846,
context: Mikasa...\Eat... And survive!\I will not let you starve.\Several days later,\refugees were sent in droves to till the wastelands,\to bring in more food.\But even still, there wasn't enough.\And the following year, in 846, response:	the central government used many refugees
context: Eat... And survive!\I will not let you starve.\Several days later,\refugees were sent in droves to till the wastelands,\to bring in more food.\But even still, there wasn't enough.\And the following year, in 846,\the central government used many refugees response:	in an operation ostensibly to recover Wall Maria.
context: I will not let you starve.\Several days later,\refugees were sent in droves to till the wastelands,\to bring in more food.\But even still, there wasn't enough.\And the following year, in 846,\the central government used many refugees\in an operation ostensibly to recover Wall Maria. response:	Two hundred fifty thousand, in all...
context: Several days later,\refugees were sent in droves to till the wastelands,\to bring in more food.\But even still, there wasn't enough.\And the following year, in 846,\the central government used many refugees\in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all... response:	Approximately twenty percent of the population.
context: refugees were sent in droves to till the wastelands,\to bring in more food.\But even still, there wasn't enough.\And the following year, in 846,\the central government used many refugees\in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all...\Approximately twenty percent of the population. response:	But there were only just over a hundred survivors.
context: to bring in more food.\But even still, there wasn't enough.\And the following year, in 846,\the central government used many refugees\in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all...\Approximately twenty percent of the population.\But there were only just over a hundred survivors. response:	Their sacrifice alleviated the food shortage for the rest of us somewhat.
context: But even still, there wasn't enough.\And the following year, in 846,\the central government used many refugees\in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all...\Approximately twenty percent of the population.\But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat. response:	It's all because of the Titans.
context: And the following year, in 846,\the central government used many refugees\in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all...\Approximately twenty percent of the population.\But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans. response:	If we destroy them,
context: the central government used many refugees\in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all...\Approximately twenty percent of the population.\But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans.\If we destroy them, response:	we can retake our home!
context: in an operation ostensibly to recover Wall Maria.\Two hundred fifty thousand, in all...\Approximately twenty percent of the population.\But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans.\If we destroy them,\we can retake our home! response:	Armin...
context: Two hundred fifty thousand, in all...\Approximately twenty percent of the population.\But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans.\If we destroy them,\we can retake our home!\Armin... response:	I'm enlisting next year.
context: Approximately twenty percent of the population.\But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans.\If we destroy them,\we can retake our home!\Armin...\I'm enlisting next year. response:	I'll gain the power to fight Titans!
context: But there were only just over a hundred survivors.\Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans.\If we destroy them,\we can retake our home!\Armin...\I'm enlisting next year.\I'll gain the power to fight Titans! response:	Me, too.
context: Their sacrifice alleviated the food shortage for the rest of us somewhat.\It's all because of the Titans.\If we destroy them,\we can retake our home!\Armin...\I'm enlisting next year.\I'll gain the power to fight Titans!\Me, too. response:	Armin?
context: It's all because of the Titans.\If we destroy them,\we can retake our home!\Armin...\I'm enlisting next year.\I'll gain the power to fight Titans!\Me, too.\Armin? response:	Me, too!
