context: You're kidding... response:	Was this designed to be impossible?
context: What can I say?\Because that's what we are, right?\That's who we are!\I don't care about the people who have everything.\What is this?\What am I saying?\People who know how to live in harmony with others\can have anything, response:	so they can live their lives that way.
context: Because that's what we are, right?\That's who we are!\I don't care about the people who have everything.\What is this?\What am I saying?\People who know how to live in harmony with others\can have anything,\so they can live their lives that way. response:	What am I talking about?
context: That's who we are!\I don't care about the people who have everything.\What is this?\What am I saying?\People who know how to live in harmony with others\can have anything,\so they can live their lives that way.\What am I talking about? response:	Do you guys have something like that?
context: I don't care about the people who have everything.\What is this?\What am I saying?\People who know how to live in harmony with others\can have anything,\so they can live their lives that way.\What am I talking about?\Do you guys have something like that? response:	I don't know.
context: What is this?\What am I saying?\People who know how to live in harmony with others\can have anything,\so they can live their lives that way.\What am I talking about?\Do you guys have something like that?\I don't know. response:	Anything!
context: What am I saying?\People who know how to live in harmony with others\can have anything,\so they can live their lives that way.\What am I talking about?\Do you guys have something like that?\I don't know.\Anything! response:	Something that allows you to go anywhere and befriend anyone.
context: People who know how to live in harmony with others\can have anything,\so they can live their lives that way.\What am I talking about?\Do you guys have something like that?\I don't know.\Anything!\Something that allows you to go anywhere and befriend anyone. response:	But this is all I have left.
context: can have anything,\so they can live their lives that way.\What am I talking about?\Do you guys have something like that?\I don't know.\Anything!\Something that allows you to go anywhere and befriend anyone.\But this is all I have left. response:	It can be intelligence.
context: so they can live their lives that way.\What am I talking about?\Do you guys have something like that?\I don't know.\Anything!\Something that allows you to go anywhere and befriend anyone.\But this is all I have left.\It can be intelligence. response:	It can be coolness.
context: What am I talking about?\Do you guys have something like that?\I don't know.\Anything!\Something that allows you to go anywhere and befriend anyone.\But this is all I have left.\It can be intelligence.\It can be coolness. response:	It can be a bright personality.
context: Do you guys have something like that?\I don't know.\Anything!\Something that allows you to go anywhere and befriend anyone.\But this is all I have left.\It can be intelligence.\It can be coolness.\It can be a bright personality. response:	It can be funny jokes.
context: I don't know.\Anything!\Something that allows you to go anywhere and befriend anyone.\But this is all I have left.\It can be intelligence.\It can be coolness.\It can be a bright personality.\It can be funny jokes. response:	It can be anything.
context: Anything!\Something that allows you to go anywhere and befriend anyone.\But this is all I have left.\It can be intelligence.\It can be coolness.\It can be a bright personality.\It can be funny jokes.\It can be anything. response:	Do you have anything that lets you shine in the real world?
context: Something that allows you to go anywhere and befriend anyone.\But this is all I have left.\It can be intelligence.\It can be coolness.\It can be a bright personality.\It can be funny jokes.\It can be anything.\Do you have anything that lets you shine in the real world? response:	I don't!
context: But this is all I have left.\It can be intelligence.\It can be coolness.\It can be a bright personality.\It can be funny jokes.\It can be anything.\Do you have anything that lets you shine in the real world?\I don't! response:	Not a single thing!
context: It can be intelligence.\It can be coolness.\It can be a bright personality.\It can be funny jokes.\It can be anything.\Do you have anything that lets you shine in the real world?\I don't!\Not a single thing! response:	I've never told anyone.
context: It can be coolness.\It can be a bright personality.\It can be funny jokes.\It can be anything.\Do you have anything that lets you shine in the real world?\I don't!\Not a single thing!\I've never told anyone. response:	I couldn't.
context: It can be a bright personality.\It can be funny jokes.\It can be anything.\Do you have anything that lets you shine in the real world?\I don't!\Not a single thing!\I've never told anyone.\I couldn't. response:	But you guys are my friends.
context: It can be funny jokes.\It can be anything.\Do you have anything that lets you shine in the real world?\I don't!\Not a single thing!\I've never told anyone.\I couldn't.\But you guys are my friends. response:	Without the game, I wasn't able to make friends.
context: It can be anything.\Do you have anything that lets you shine in the real world?\I don't!\Not a single thing!\I've never told anyone.\I couldn't.\But you guys are my friends.\Without the game, I wasn't able to make friends. response:	I'm so lame...
context: Do you have anything that lets you shine in the real world?\I don't!\Not a single thing!\I've never told anyone.\I couldn't.\But you guys are my friends.\Without the game, I wasn't able to make friends.\I'm so lame... response:	I'm pathetic.
context: I don't!\Not a single thing!\I've never told anyone.\I couldn't.\But you guys are my friends.\Without the game, I wasn't able to make friends.\I'm so lame...\I'm pathetic. response:	But I've made it this far because I had the game.
context: Not a single thing!\I've never told anyone.\I couldn't.\But you guys are my friends.\Without the game, I wasn't able to make friends.\I'm so lame...\I'm pathetic.\But I've made it this far because I had the game. response:	I can understand your feelings because I had the game.
context: I've never told anyone.\I couldn't.\But you guys are my friends.\Without the game, I wasn't able to make friends.\I'm so lame...\I'm pathetic.\But I've made it this far because I had the game.\I can understand your feelings because I had the game. response:	When I'm playing, I can tell that one of you wants healing,
context: I couldn't.\But you guys are my friends.\Without the game, I wasn't able to make friends.\I'm so lame...\I'm pathetic.\But I've made it this far because I had the game.\I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing, response:	or one guy who's posted in the back wants to be in the front.
context: But you guys are my friends.\Without the game, I wasn't able to make friends.\I'm so lame...\I'm pathetic.\But I've made it this far because I had the game.\I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front. response:	Or that she's too shy to say so,
context: Without the game, I wasn't able to make friends.\I'm so lame...\I'm pathetic.\But I've made it this far because I had the game.\I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so, response:	but she wants that bracelet that boosts magic.
context: I'm so lame...\I'm pathetic.\But I've made it this far because I had the game.\I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so,\but she wants that bracelet that boosts magic. response:	That isn't all.
context: I'm pathetic.\But I've made it this far because I had the game.\I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so,\but she wants that bracelet that boosts magic.\That isn't all. response:	That this guy cares about his comrades.
context: But I've made it this far because I had the game.\I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so,\but she wants that bracelet that boosts magic.\That isn't all.\That this guy cares about his comrades. response:	Or that this guy's scared, but he's trying to yell as hard as he can.
context: I can understand your feelings because I had the game.\When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so,\but she wants that bracelet that boosts magic.\That isn't all.\That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can. response:	Or that someone's tired, but they forced themselves to log in anyway.
context: When I'm playing, I can tell that one of you wants healing,\or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so,\but she wants that bracelet that boosts magic.\That isn't all.\That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway. response:	I can tell...
context: or one guy who's posted in the back wants to be in the front.\Or that she's too shy to say so,\but she wants that bracelet that boosts magic.\That isn't all.\That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway.\I can tell... response:	I really can tell.
context: Or that she's too shy to say so,\but she wants that bracelet that boosts magic.\That isn't all.\That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway.\I can tell...\I really can tell. response:	Yeah. That's right.
context: but she wants that bracelet that boosts magic.\That isn't all.\That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway.\I can tell...\I really can tell.\Yeah. That's right. response:	Elder Tale has taught me many things.
context: That isn't all.\That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway.\I can tell...\I really can tell.\Yeah. That's right.\Elder Tale has taught me many things. response:	I don't know how other people think.
context: That this guy cares about his comrades.\Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway.\I can tell...\I really can tell.\Yeah. That's right.\Elder Tale has taught me many things.\I don't know how other people think. response:	I'm self-righteous.
context: Or that this guy's scared, but he's trying to yell as hard as he can.\Or that someone's tired, but they forced themselves to log in anyway.\I can tell...\I really can tell.\Yeah. That's right.\Elder Tale has taught me many things.\I don't know how other people think.\I'm self-righteous. response:	Uncaring.
context: Or that someone's tired, but they forced themselves to log in anyway.\I can tell...\I really can tell.\Yeah. That's right.\Elder Tale has taught me many things.\I don't know how other people think.\I'm self-righteous.\Uncaring. response:	Uncooperative.
context: I can tell...\I really can tell.\Yeah. That's right.\Elder Tale has taught me many things.\I don't know how other people think.\I'm self-righteous.\Uncaring.\Uncooperative. response:	I give up too easily.
context: I really can tell.\Yeah. That's right.\Elder Tale has taught me many things.\I don't know how other people think.\I'm self-righteous.\Uncaring.\Uncooperative.\I give up too easily. response:	I can't read moods.
context: Yeah. That's right.\Elder Tale has taught me many things.\I don't know how other people think.\I'm self-righteous.\Uncaring.\Uncooperative.\I give up too easily.\I can't read moods. response:	I don't try to get involved with other people.
context: Elder Tale has taught me many things.\I don't know how other people think.\I'm self-righteous.\Uncaring.\Uncooperative.\I give up too easily.\I can't read moods.\I don't try to get involved with other people. response:	That's what I was told for so long,
context: I don't know how other people think.\I'm self-righteous.\Uncaring.\Uncooperative.\I give up too easily.\I can't read moods.\I don't try to get involved with other people.\That's what I was told for so long, response:	I started to refuse to be with others.
context: I'm self-righteous.\Uncaring.\Uncooperative.\I give up too easily.\I can't read moods.\I don't try to get involved with other people.\That's what I was told for so long,\I started to refuse to be with others. response:	But in Elder Tale, even someone like me
context: Uncaring.\Uncooperative.\I give up too easily.\I can't read moods.\I don't try to get involved with other people.\That's what I was told for so long,\I started to refuse to be with others.\But in Elder Tale, even someone like me response:	was able to connect with others a little.
context: Uncooperative.\I give up too easily.\I can't read moods.\I don't try to get involved with other people.\That's what I was told for so long,\I started to refuse to be with others.\But in Elder Tale, even someone like me\was able to connect with others a little. response:	And as long as I cared about them,
context: I give up too easily.\I can't read moods.\I don't try to get involved with other people.\That's what I was told for so long,\I started to refuse to be with others.\But in Elder Tale, even someone like me\was able to connect with others a little.\And as long as I cared about them, response:	Elder Tale taught me many secrets.
context: I can't read moods.\I don't try to get involved with other people.\That's what I was told for so long,\I started to refuse to be with others.\But in Elder Tale, even someone like me\was able to connect with others a little.\And as long as I cared about them,\Elder Tale taught me many secrets. response:	The first thing I learned was teamwork.
context: I don't try to get involved with other people.\That's what I was told for so long,\I started to refuse to be with others.\But in Elder Tale, even someone like me\was able to connect with others a little.\And as long as I cared about them,\Elder Tale taught me many secrets.\The first thing I learned was teamwork. response:	Some people did well at it.
context: That's what I was told for so long,\I started to refuse to be with others.\But in Elder Tale, even someone like me\was able to connect with others a little.\And as long as I cared about them,\Elder Tale taught me many secrets.\The first thing I learned was teamwork.\Some people did well at it. response:	Some people did horribly.
context: I started to refuse to be with others.\But in Elder Tale, even someone like me\was able to connect with others a little.\And as long as I cared about them,\Elder Tale taught me many secrets.\The first thing I learned was teamwork.\Some people did well at it.\Some people did horribly. response:	Some were talented.
context: But in Elder Tale, even someone like me\was able to connect with others a little.\And as long as I cared about them,\Elder Tale taught me many secrets.\The first thing I learned was teamwork.\Some people did well at it.\Some people did horribly.\Some were talented. response:	Some sucked.
context: was able to connect with others a little.\And as long as I cared about them,\Elder Tale taught me many secrets.\The first thing I learned was teamwork.\Some people did well at it.\Some people did horribly.\Some were talented.\Some sucked. response:	But what mattered was working with them.
context: And as long as I cared about them,\Elder Tale taught me many secrets.\The first thing I learned was teamwork.\Some people did well at it.\Some people did horribly.\Some were talented.\Some sucked.\But what mattered was working with them. response:	Even when I thought someone was terrible,
context: Elder Tale taught me many secrets.\The first thing I learned was teamwork.\Some people did well at it.\Some people did horribly.\Some were talented.\Some sucked.\But what mattered was working with them.\Even when I thought someone was terrible, response:	sometimes I just didn't understand what they were trying to do.
context: The first thing I learned was teamwork.\Some people did well at it.\Some people did horribly.\Some were talented.\Some sucked.\But what mattered was working with them.\Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do. response:	And then I started doing raids.
context: Some people did well at it.\Some people did horribly.\Some were talented.\Some sucked.\But what mattered was working with them.\Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do.\And then I started doing raids. response:	For some reason, I ended up guild master.
context: Some people did horribly.\Some were talented.\Some sucked.\But what mattered was working with them.\Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do.\And then I started doing raids.\For some reason, I ended up guild master. response:	And the next thing I learned was,
context: Some were talented.\Some sucked.\But what mattered was working with them.\Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do.\And then I started doing raids.\For some reason, I ended up guild master.\And the next thing I learned was, response:	strangely, the nights we spent excited over stupid stuff were the nights we excelled.
context: Some sucked.\But what mattered was working with them.\Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do.\And then I started doing raids.\For some reason, I ended up guild master.\And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled. response:	Some of my companions were healthy. Some were sick.
context: But what mattered was working with them.\Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do.\And then I started doing raids.\For some reason, I ended up guild master.\And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick. response:	And a lot of them had problems, of course.
context: Even when I thought someone was terrible,\sometimes I just didn't understand what they were trying to do.\And then I started doing raids.\For some reason, I ended up guild master.\And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course. response:	I learned that all of them were like me.
context: sometimes I just didn't understand what they were trying to do.\And then I started doing raids.\For some reason, I ended up guild master.\And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course.\I learned that all of them were like me. response:	I started to care about my companions' lives,
context: And then I started doing raids.\For some reason, I ended up guild master.\And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course.\I learned that all of them were like me.\I started to care about my companions' lives, response:	and what they wanted me to do.
context: For some reason, I ended up guild master.\And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course.\I learned that all of them were like me.\I started to care about my companions' lives,\and what they wanted me to do. response:	And I learned to be open-minded and ask others
context: And the next thing I learned was,\strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course.\I learned that all of them were like me.\I started to care about my companions' lives,\and what they wanted me to do.\And I learned to be open-minded and ask others response:	for their opinions.
context: strangely, the nights we spent excited over stupid stuff were the nights we excelled.\Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course.\I learned that all of them were like me.\I started to care about my companions' lives,\and what they wanted me to do.\And I learned to be open-minded and ask others\for their opinions. response:	That was after my companions had learned to deal with my temper.
context: Some of my companions were healthy. Some were sick.\And a lot of them had problems, of course.\I learned that all of them were like me.\I started to care about my companions' lives,\and what they wanted me to do.\And I learned to be open-minded and ask others\for their opinions.\That was after my companions had learned to deal with my temper. response:	Most raid guilds don't last long.
context: And a lot of them had problems, of course.\I learned that all of them were like me.\I started to care about my companions' lives,\and what they wanted me to do.\And I learned to be open-minded and ask others\for their opinions.\That was after my companions had learned to deal with my temper.\Most raid guilds don't last long. response:	Even if you get an item as the result of a raid,
context: I learned that all of them were like me.\I started to care about my companions' lives,\and what they wanted me to do.\And I learned to be open-minded and ask others\for their opinions.\That was after my companions had learned to deal with my temper.\Most raid guilds don't last long.\Even if you get an item as the result of a raid, response:	you don't know who it belongs to.
context: I started to care about my companions' lives,\and what they wanted me to do.\And I learned to be open-minded and ask others\for their opinions.\That was after my companions had learned to deal with my temper.\Most raid guilds don't last long.\Even if you get an item as the result of a raid,\you don't know who it belongs to. response:	Some members aren't happy with what they get.
context: and what they wanted me to do.\And I learned to be open-minded and ask others\for their opinions.\That was after my companions had learned to deal with my temper.\Most raid guilds don't last long.\Even if you get an item as the result of a raid,\you don't know who it belongs to.\Some members aren't happy with what they get. response:	Some only care about what's in it for them, and relationships are ruined.
context: And I learned to be open-minded and ask others\for their opinions.\That was after my companions had learned to deal with my temper.\Most raid guilds don't last long.\Even if you get an item as the result of a raid,\you don't know who it belongs to.\Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined. response:	But we learned to talk with one another.
context: for their opinions.\That was after my companions had learned to deal with my temper.\Most raid guilds don't last long.\Even if you get an item as the result of a raid,\you don't know who it belongs to.\Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another. response:	I told my companions everything honestly,
context: That was after my companions had learned to deal with my temper.\Most raid guilds don't last long.\Even if you get an item as the result of a raid,\you don't know who it belongs to.\Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another.\I told my companions everything honestly, response:	and they forgave my short temper and trusted me.
context: Most raid guilds don't last long.\Even if you get an item as the result of a raid,\you don't know who it belongs to.\Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another.\I told my companions everything honestly,\and they forgave my short temper and trusted me. response:	And the name, Silver Sword,
context: Even if you get an item as the result of a raid,\you don't know who it belongs to.\Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another.\I told my companions everything honestly,\and they forgave my short temper and trusted me.\And the name, Silver Sword, response:	spread throughout Elder Tale as one of the up-and-coming raid guilds.
context: you don't know who it belongs to.\Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another.\I told my companions everything honestly,\and they forgave my short temper and trusted me.\And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds. response:	So I understand that it feels like we're finished now.
context: Some members aren't happy with what they get.\Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another.\I told my companions everything honestly,\and they forgave my short temper and trusted me.\And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now. response:	Like it's game over.
context: Some only care about what's in it for them, and relationships are ruined.\But we learned to talk with one another.\I told my companions everything honestly,\and they forgave my short temper and trusted me.\And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now.\Like it's game over. response:	It feels like this is the real end.
context: But we learned to talk with one another.\I told my companions everything honestly,\and they forgave my short temper and trusted me.\And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now.\Like it's game over.\It feels like this is the real end. response:	And it may be.
context: I told my companions everything honestly,\and they forgave my short temper and trusted me.\And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now.\Like it's game over.\It feels like this is the real end.\And it may be. response:	It may be, but...
context: and they forgave my short temper and trusted me.\And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now.\Like it's game over.\It feels like this is the real end.\And it may be.\It may be, but... response:	When I came to this world,
context: And the name, Silver Sword,\spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now.\Like it's game over.\It feels like this is the real end.\And it may be.\It may be, but...\When I came to this world, response:	to be honest, I was happy.
context: spread throughout Elder Tale as one of the up-and-coming raid guilds.\So I understand that it feels like we're finished now.\Like it's game over.\It feels like this is the real end.\And it may be.\It may be, but...\When I came to this world,\to be honest, I was happy. response:	You all were a little bit, as well, weren't you?
context: So I understand that it feels like we're finished now.\Like it's game over.\It feels like this is the real end.\And it may be.\It may be, but...\When I came to this world,\to be honest, I was happy.\You all were a little bit, as well, weren't you? response:	No one here was one-hundred-percent unhappy, right?
context: Like it's game over.\It feels like this is the real end.\And it may be.\It may be, but...\When I came to this world,\to be honest, I was happy.\You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right? response:	Because... This world is Elder Tale, after all.
context: It feels like this is the real end.\And it may be.\It may be, but...\When I came to this world,\to be honest, I was happy.\You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all. response:	The world that we became almost stupidly obsessed with.
context: And it may be.\It may be, but...\When I came to this world,\to be honest, I was happy.\You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with. response:	The world of the raids that we were better at than anyone.
context: It may be, but...\When I came to this world,\to be honest, I was happy.\You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone. response:	Here, we thought, we might be able to make it.
context: When I came to this world,\to be honest, I was happy.\You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it. response:	William!
context: to be honest, I was happy.\You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it.\William! response:	Guild master!
context: You all were a little bit, as well, weren't you?\No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it.\William!\Guild master! response:	Hey.
context: No one here was one-hundred-percent unhappy, right?\Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it.\William!\Guild master!\Hey. response:	But more than any of that,
context: Because... This world is Elder Tale, after all.\The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it.\William!\Guild master!\Hey.\But more than any of that, response:	I was happy to be with you guys.
context: The world that we became almost stupidly obsessed with.\The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it.\William!\Guild master!\Hey.\But more than any of that,\I was happy to be with you guys. response:	You were all just like in the game.
context: The world of the raids that we were better at than anyone.\Here, we thought, we might be able to make it.\William!\Guild master!\Hey.\But more than any of that,\I was happy to be with you guys.\You were all just like in the game. response:	I mean, so was I, but...
context: Here, we thought, we might be able to make it.\William!\Guild master!\Hey.\But more than any of that,\I was happy to be with you guys.\You were all just like in the game.\I mean, so was I, but... response:	That doesn't matter, I guess.
context: William!\Guild master!\Hey.\But more than any of that,\I was happy to be with you guys.\You were all just like in the game.\I mean, so was I, but...\That doesn't matter, I guess. response:	We could do raids together.
context: Guild master!\Hey.\But more than any of that,\I was happy to be with you guys.\You were all just like in the game.\I mean, so was I, but...\That doesn't matter, I guess.\We could do raids together. response:	No one in this world would make fun of us.
context: Hey.\But more than any of that,\I was happy to be with you guys.\You were all just like in the game.\I mean, so was I, but...\That doesn't matter, I guess.\We could do raids together.\No one in this world would make fun of us. response:	But that means that, even if we lose, we don't run!
context: But more than any of that,\I was happy to be with you guys.\You were all just like in the game.\I mean, so was I, but...\That doesn't matter, I guess.\We could do raids together.\No one in this world would make fun of us.\But that means that, even if we lose, we don't run! response:	We may not be able to win!
context: I was happy to be with you guys.\You were all just like in the game.\I mean, so was I, but...\That doesn't matter, I guess.\We could do raids together.\No one in this world would make fun of us.\But that means that, even if we lose, we don't run!\We may not be able to win! response:	We probably won't.
context: You were all just like in the game.\I mean, so was I, but...\That doesn't matter, I guess.\We could do raids together.\No one in this world would make fun of us.\But that means that, even if we lose, we don't run!\We may not be able to win!\We probably won't. response:	Odds are, we'll lose.
context: I mean, so was I, but...\That doesn't matter, I guess.\We could do raids together.\No one in this world would make fun of us.\But that means that, even if we lose, we don't run!\We may not be able to win!\We probably won't.\Odds are, we'll lose. response:	But we can't run.
context: That doesn't matter, I guess.\We could do raids together.\No one in this world would make fun of us.\But that means that, even if we lose, we don't run!\We may not be able to win!\We probably won't.\Odds are, we'll lose.\But we can't run. response:	There are some things you can't just accept.
context: We could do raids together.\No one in this world would make fun of us.\But that means that, even if we lose, we don't run!\We may not be able to win!\We probably won't.\Odds are, we'll lose.\But we can't run.\There are some things you can't just accept. response:	Anyway, if we go back, then what?
context: No one in this world would make fun of us.\But that means that, even if we lose, we don't run!\We may not be able to win!\We probably won't.\Odds are, we'll lose.\But we can't run.\There are some things you can't just accept.\Anyway, if we go back, then what? response:	What would we do?
context: But that means that, even if we lose, we don't run!\We may not be able to win!\We probably won't.\Odds are, we'll lose.\But we can't run.\There are some things you can't just accept.\Anyway, if we go back, then what?\What would we do? response:	If you take this from us, what's left?
context: We may not be able to win!\We probably won't.\Odds are, we'll lose.\But we can't run.\There are some things you can't just accept.\Anyway, if we go back, then what?\What would we do?\If you take this from us, what's left? response:	We played Elder Tale so much that others thought we were weird.
context: We probably won't.\Odds are, we'll lose.\But we can't run.\There are some things you can't just accept.\Anyway, if we go back, then what?\What would we do?\If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird. response:	I've spent these last two years on Elder Tale.
context: Odds are, we'll lose.\But we can't run.\There are some things you can't just accept.\Anyway, if we go back, then what?\What would we do?\If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale. response:	I thought about it from morning to night.
context: But we can't run.\There are some things you can't just accept.\Anyway, if we go back, then what?\What would we do?\If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale.\I thought about it from morning to night. response:	Eating, sleeping, bathing...
context: There are some things you can't just accept.\Anyway, if we go back, then what?\What would we do?\If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale.\I thought about it from morning to night.\Eating, sleeping, bathing... response:	Everything was for that!
context: Anyway, if we go back, then what?\What would we do?\If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale.\I thought about it from morning to night.\Eating, sleeping, bathing...\Everything was for that! response:	Even my studying was for Elder Tale!
context: What would we do?\If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale.\I thought about it from morning to night.\Eating, sleeping, bathing...\Everything was for that!\Even my studying was for Elder Tale! response:	Me, too.
context: If you take this from us, what's left?\We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale.\I thought about it from morning to night.\Eating, sleeping, bathing...\Everything was for that!\Even my studying was for Elder Tale!\Me, too. response:	If you want to call me a vegetable, go ahead.
context: We played Elder Tale so much that others thought we were weird.\I've spent these last two years on Elder Tale.\I thought about it from morning to night.\Eating, sleeping, bathing...\Everything was for that!\Even my studying was for Elder Tale!\Me, too.\If you want to call me a vegetable, go ahead. response:	I'm a weirdo gamer.
context: I've spent these last two years on Elder Tale.\I thought about it from morning to night.\Eating, sleeping, bathing...\Everything was for that!\Even my studying was for Elder Tale!\Me, too.\If you want to call me a vegetable, go ahead.\I'm a weirdo gamer. response:	I'm so unsuited for society, I can spend a whole evening
context: I thought about it from morning to night.\Eating, sleeping, bathing...\Everything was for that!\Even my studying was for Elder Tale!\Me, too.\If you want to call me a vegetable, go ahead.\I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening response:	overjoyed over a rare item!
context: Eating, sleeping, bathing...\Everything was for that!\Even my studying was for Elder Tale!\Me, too.\If you want to call me a vegetable, go ahead.\I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item! response:	That's how serious I've been about this!
context: Everything was for that!\Even my studying was for Elder Tale!\Me, too.\If you want to call me a vegetable, go ahead.\I'm a weirdo gamer.\I'm so unsuited for society, I can spend a whole evening\overjoyed over a rare item!\That's how serious I've been about this! response:	But that means that I can't run from two or three extra raid bosses.
