context: Tnby Academy, response:	Where people with special powers. As elements was recognized as the accumulation period
context: Just a little while longer tolerate\No!\-Jghrafya-\Amaya-san, what's the name of this place?\Coral Sea\Sato-san, what is this island?\European.jzyrh Mangayh\And who knows what the name of this lake? response:	-world history-
context: No!\-Jghrafya-\Amaya-san, what's the name of this place?\Coral Sea\Sato-san, what is this island?\European.jzyrh Mangayh\And who knows what the name of this lake?\-world history- response:	In Inca mythology.
context: -Jghrafya-\Amaya-san, what's the name of this place?\Coral Sea\Sato-san, what is this island?\European.jzyrh Mangayh\And who knows what the name of this lake?\-world history-\In Inca mythology. response:	First King
context: Amaya-san, what's the name of this place?\Coral Sea\Sato-san, what is this island?\European.jzyrh Mangayh\And who knows what the name of this lake?\-world history-\In Inca mythology.\First King response:	Who was the Kingdom of Cuzco?
context: Coral Sea\Sato-san, what is this island?\European.jzyrh Mangayh\And who knows what the name of this lake?\-world history-\In Inca mythology.\First King\Who was the Kingdom of Cuzco? response:	What's your full name?
context: Sato-san, what is this island?\European.jzyrh Mangayh\And who knows what the name of this lake?\-world history-\In Inca mythology.\First King\Who was the Kingdom of Cuzco?\What's your full name? response:	Man
context: European.jzyrh Mangayh\And who knows what the name of this lake?\-world history-\In Inca mythology.\First King\Who was the Kingdom of Cuzco?\What's your full name?\Man response:	Now I have to answer without?
context: And who knows what the name of this lake?\-world history-\In Inca mythology.\First King\Who was the Kingdom of Cuzco?\What's your full name?\Man\Now I have to answer without? response:	From
context: -world history-\In Inca mythology.\First King\Who was the Kingdom of Cuzco?\What's your full name?\Man\Now I have to answer without?\From response:	From
context: In Inca mythology.\First King\Who was the Kingdom of Cuzco?\What's your full name?\Man\Now I have to answer without?\From\From response:	From
context: First King\Who was the Kingdom of Cuzco?\What's your full name?\Man\Now I have to answer without?\From\From\From response:	From
context: Who was the Kingdom of Cuzco?\What's your full name?\Man\Now I have to answer without?\From\From\From\From response:	what is this?
context: What's your full name?\Man\Now I have to answer without?\From\From\From\From\what is this? response:	Hey, I was selected officially by the Chairman of previous Academy
context: Man\Now I have to answer without?\From\From\From\From\what is this?\Hey, I was selected officially by the Chairman of previous Academy response:	Still brazenly talking after that that you've done?
context: Now I have to answer without?\From\From\From\From\what is this?\Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done? response:	No, Usui had a purpose
context: From\From\From\From\what is this?\Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done?\No, Usui had a purpose response:	What do you think is about the Savoy?
context: From\From\From\what is this?\Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done?\No, Usui had a purpose\What do you think is about the Savoy? response:	I'll duel with the chair?
context: From\From\what is this?\Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done?\No, Usui had a purpose\What do you think is about the Savoy?\I'll duel with the chair? response:	Duel?
context: From\what is this?\Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done?\No, Usui had a purpose\What do you think is about the Savoy?\I'll duel with the chair?\Duel? response:	What do you naked race is about wanting to do what?
context: what is this?\Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done?\No, Usui had a purpose\What do you think is about the Savoy?\I'll duel with the chair?\Duel?\What do you naked race is about wanting to do what? response:	In that moment, that was what I thought SVN commit
context: Hey, I was selected officially by the Chairman of previous Academy\Still brazenly talking after that that you've done?\No, Usui had a purpose\What do you think is about the Savoy?\I'll duel with the chair?\Duel?\What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit response:	Even if not tenacious, hard to defeat again
context: Still brazenly talking after that that you've done?\No, Usui had a purpose\What do you think is about the Savoy?\I'll duel with the chair?\Duel?\What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again response:	That's part did not accept any other solution
context: No, Usui had a purpose\What do you think is about the Savoy?\I'll duel with the chair?\Duel?\What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again\That's part did not accept any other solution response:	I accept.mbarzh
context: What do you think is about the Savoy?\I'll duel with the chair?\Duel?\What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again\That's part did not accept any other solution\I accept.mbarzh response:	After the race you Nudity my last opponent Zndgytm
context: I'll duel with the chair?\Duel?\What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again\That's part did not accept any other solution\I accept.mbarzh\After the race you Nudity my last opponent Zndgytm response:	You do not have a problem with this?
context: Duel?\What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again\That's part did not accept any other solution\I accept.mbarzh\After the race you Nudity my last opponent Zndgytm\You do not have a problem with this? response:	Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm
context: What do you naked race is about wanting to do what?\In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again\That's part did not accept any other solution\I accept.mbarzh\After the race you Nudity my last opponent Zndgytm\You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm response:	Still not finished my work
context: In that moment, that was what I thought SVN commit\Even if not tenacious, hard to defeat again\That's part did not accept any other solution\I accept.mbarzh\After the race you Nudity my last opponent Zndgytm\You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work response:	Just once even lost a step.hymh Sun
context: Even if not tenacious, hard to defeat again\That's part did not accept any other solution\I accept.mbarzh\After the race you Nudity my last opponent Zndgytm\You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work\Just once even lost a step.hymh Sun response:	This phenomenon is a kind of impossible.
context: That's part did not accept any other solution\I accept.mbarzh\After the race you Nudity my last opponent Zndgytm\You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work\Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible. response:	Why?
context: I accept.mbarzh\After the race you Nudity my last opponent Zndgytm\You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work\Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible.\Why? response:	Why is this woman so strong?
context: After the race you Nudity my last opponent Zndgytm\You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work\Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible.\Why?\Why is this woman so strong? response:	This fighting spirit! This fragrance
context: You do not have a problem with this?\Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work\Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible.\Why?\Why is this woman so strong?\This fighting spirit! This fragrance response:	Why are you so strong?
context: Do not worry, even if I play with a version of myself in the mirror. I'm in this race to no one Nmybazm\Still not finished my work\Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible.\Why?\Why is this woman so strong?\This fighting spirit! This fragrance\Why are you so strong? response:	At that moment, the power of mind over SVN commit
context: Still not finished my work\Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible.\Why?\Why is this woman so strong?\This fighting spirit! This fragrance\Why are you so strong?\At that moment, the power of mind over SVN commit response:	This means that the menu is determined entirely of garbage.
context: Just once even lost a step.hymh Sun\This phenomenon is a kind of impossible.\Why?\Why is this woman so strong?\This fighting spirit! This fragrance\Why are you so strong?\At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage. response:	At that moment, someone I did not know what got his mind
context: This phenomenon is a kind of impossible.\Why?\Why is this woman so strong?\This fighting spirit! This fragrance\Why are you so strong?\At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind response:	But smile, seemed to go out of this world in peace
context: Why?\Why is this woman so strong?\This fighting spirit! This fragrance\Why are you so strong?\At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace response:	Cho
context: Why is this woman so strong?\This fighting spirit! This fragrance\Why are you so strong?\At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace\Cho response:	For
context: This fighting spirit! This fragrance\Why are you so strong?\At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace\Cho\For response:	Have
context: Why are you so strong?\At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace\Cho\For\Have response:	When
context: At that moment, the power of mind over SVN commit\This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace\Cho\For\Have\When response:	to
context: This means that the menu is determined entirely of garbage.\At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace\Cho\For\Have\When\to response:	Ku
context: At that moment, someone I did not know what got his mind\But smile, seemed to go out of this world in peace\Cho\For\Have\When\to\Ku response:	that
context: But smile, seemed to go out of this world in peace\Cho\For\Have\When\to\Ku\that response:	Et al.
context: Cho\For\Have\When\to\Ku\that\Et al. response:	out
context: For\Have\When\to\Ku\that\Et al.\out response:	Have
context: Have\When\to\Ku\that\Et al.\out\Have response:	Ma
context: When\to\Ku\that\Et al.\out\Have\Ma response:	ma
context: to\Ku\that\Et al.\out\Have\Ma\ma response:	expenditure
context: Ku\that\Et al.\out\Have\Ma\ma\expenditure response:	Also
context: that\Et al.\out\Have\Ma\ma\expenditure\Also response:	ga
context: Et al.\out\Have\Ma\ma\expenditure\Also\ga response:	Good
context: out\Have\Ma\ma\expenditure\Also\ga\Good response:	tte
context: Have\Ma\ma\expenditure\Also\ga\Good\tte response:	you
context: Ma\ma\expenditure\Also\ga\Good\tte\you response:	ii
context: ma\expenditure\Also\ga\Good\tte\you\ii response:	It's okay to make a few mistakes.
context: expenditure\Also\ga\Good\tte\you\ii\It's okay to make a few mistakes. response:	Cho
context: Also\ga\Good\tte\you\ii\It's okay to make a few mistakes.\Cho response:	For
context: ga\Good\tte\you\ii\It's okay to make a few mistakes.\Cho\For response:	Chi
context: Good\tte\you\ii\It's okay to make a few mistakes.\Cho\For\Chi response:	Yo
context: tte\you\ii\It's okay to make a few mistakes.\Cho\For\Chi\Yo response:	Have
context: you\ii\It's okay to make a few mistakes.\Cho\For\Chi\Yo\Have response:	Have
context: ii\It's okay to make a few mistakes.\Cho\For\Chi\Yo\Have\Have response:	When
context: It's okay to make a few mistakes.\Cho\For\Chi\Yo\Have\Have\When response:	to
context: Cho\For\Chi\Yo\Have\Have\When\to response:	When
context: For\Chi\Yo\Have\Have\When\to\When response:	Ku
context: Chi\Yo\Have\Have\When\to\When\Ku response:	that
context: Yo\Have\Have\When\to\When\Ku\that response:	Ku
context: Have\Have\When\to\When\Ku\that\Ku response:	Et al.
context: Have\When\to\When\Ku\that\Ku\Et al. response:	in
context: When\to\When\Ku\that\Ku\Et al.\in response:	out
context: to\When\Ku\that\Ku\Et al.\in\out response:	Et al.
context: When\Ku\that\Ku\Et al.\in\out\Et al. response:	Have
context: Ku\that\Ku\Et al.\in\out\Et al.\Have response:	Have
context: that\Ku\Et al.\in\out\Et al.\Have\Have response:	Ma
context: Ku\Et al.\in\out\Et al.\Have\Have\Ma response:	ma
context: Et al.\in\out\Et al.\Have\Have\Ma\ma response:	expenditure
context: in\out\Et al.\Have\Have\Ma\ma\expenditure response:	ga
context: out\Et al.\Have\Have\Ma\ma\expenditure\ga response:	between
context: Et al.\Have\Have\Ma\ma\expenditure\ga\between response:	Violate
context: Have\Have\Ma\ma\expenditure\ga\between\Violate response:	tte
context: Have\Ma\ma\expenditure\ga\between\Violate\tte response:	Tsu
context: Ma\ma\expenditure\ga\between\Violate\tte\Tsu response:	Te
context: ma\expenditure\ga\between\Violate\tte\Tsu\Te response:	Also
context: expenditure\ga\between\Violate\tte\Tsu\Te\Also response:	you
context: ga\between\Violate\tte\Tsu\Te\Also\you response:	Also
context: between\Violate\tte\Tsu\Te\Also\you\Also response:	Good
context: Violate\tte\Tsu\Te\Also\you\Also\Good response:	ii
context: tte\Tsu\Te\Also\you\Also\Good\ii response:	fly
context: Tsu\Te\Also\you\Also\Good\ii\fly response:	To
context: Te\Also\you\Also\Good\ii\fly\To response:	Beauty
context: Also\you\Also\Good\ii\fly\To\Beauty response:	with a
context: you\Also\Good\ii\fly\To\Beauty\with a response:	Included
context: Also\Good\ii\fly\To\Beauty\with a\Included response:	my
context: Good\ii\fly\To\Beauty\with a\Included\my response:	No
context: ii\fly\To\Beauty\with a\Included\my\No response:	mu
context: fly\To\Beauty\with a\Included\my\No\mu response:	Hmm
context: To\Beauty\with a\Included\my\No\mu\Hmm response:	'n
context: Beauty\with a\Included\my\No\mu\Hmm\'n response:	gives
context: with a\Included\my\No\mu\Hmm\'n\gives response:	Have
context: Included\my\No\mu\Hmm\'n\gives\Have response:	Have
context: my\No\mu\Hmm\'n\gives\Have\Have response:	We're going into it.
context: No\mu\Hmm\'n\gives\Have\Have\We're going into it. response:	fly
context: mu\Hmm\'n\gives\Have\Have\We're going into it.\fly response:	To
context: Hmm\'n\gives\Have\Have\We're going into it.\fly\To response:	fly
context: 'n\gives\Have\Have\We're going into it.\fly\To\fly response:	Beauty
context: gives\Have\Have\We're going into it.\fly\To\fly\Beauty response:	with a
context: Have\Have\We're going into it.\fly\To\fly\Beauty\with a response:	Beauty
context: Have\We're going into it.\fly\To\fly\Beauty\with a\Beauty response:	Included
context: We're going into it.\fly\To\fly\Beauty\with a\Beauty\Included response:	my
context: fly\To\fly\Beauty\with a\Beauty\Included\my response:	Included
context: To\fly\Beauty\with a\Beauty\Included\my\Included response:	No
context: fly\Beauty\with a\Beauty\Included\my\Included\No response:	mu
context: Beauty\with a\Beauty\Included\my\Included\No\mu response:	No
context: with a\Beauty\Included\my\Included\No\mu\No response:	Hmm
context: Beauty\Included\my\Included\No\mu\No\Hmm response:	in
context: Included\my\Included\No\mu\No\Hmm\in response:	'n
context: my\Included\No\mu\No\Hmm\in\'n response:	Hmm
context: Included\No\mu\No\Hmm\in\'n\Hmm response:	gives
context: No\mu\No\Hmm\in\'n\Hmm\gives response:	all
context: mu\No\Hmm\in\'n\Hmm\gives\all response:	That
context: No\Hmm\in\'n\Hmm\gives\all\That response:	force
context: Hmm\in\'n\Hmm\gives\all\That\force response:	so
context: in\'n\Hmm\gives\all\That\force\so response:	ryo
context: 'n\Hmm\gives\all\That\force\so\ryo response:	Make
context: Hmm\gives\all\That\force\so\ryo\Make response:	that
context: gives\all\That\force\so\ryo\Make\that response:	Tcha
context: all\That\force\so\ryo\Make\that\Tcha response:	of
context: That\force\so\ryo\Make\that\Tcha\of response:	Huh
context: force\so\ryo\Make\that\Tcha\of\Huh response:	tsu
context: so\ryo\Make\that\Tcha\of\Huh\tsu response:	Place
context: ryo\Make\that\Tcha\of\Huh\tsu\Place response:	ka
context: Make\that\Tcha\of\Huh\tsu\Place\ka response:	Ho
context: that\Tcha\of\Huh\tsu\Place\ka\Ho response:	ccha
context: Tcha\of\Huh\tsu\Place\ka\Ho\ccha response:	Et al.
context: of\Huh\tsu\Place\ka\Ho\ccha\Et al. response:	ba
context: Huh\tsu\Place\ka\Ho\ccha\Et al.\ba response:	ho
context: tsu\Place\ka\Ho\ccha\Et al.\ba\ho response:	out
context: Place\ka\Ho\ccha\Et al.\ba\ho\out response:	See, if you use everything you've got,
context: ka\Ho\ccha\Et al.\ba\ho\out\See, if you use everything you've got, response:	all
context: Ho\ccha\Et al.\ba\ho\out\See, if you use everything you've got,\all response:	That
context: ccha\Et al.\ba\ho\out\See, if you use everything you've got,\all\That response:	WITH
context: Et al.\ba\ho\out\See, if you use everything you've got,\all\That\WITH response:	all
context: ba\ho\out\See, if you use everything you've got,\all\That\WITH\all response:	force
context: ho\out\See, if you use everything you've got,\all\That\WITH\all\force response:	ryo
context: out\See, if you use everything you've got,\all\That\WITH\all\force\ryo response:	that
context: See, if you use everything you've got,\all\That\WITH\all\force\ryo\that response:	force
context: all\That\WITH\all\force\ryo\that\force response:	so
context: That\WITH\all\force\ryo\that\force\so response:	in
context: WITH\all\force\ryo\that\force\so\in response:	of
context: all\force\ryo\that\force\so\in\of response:	so
context: force\ryo\that\force\so\in\of\so response:	Make
context: ryo\that\force\so\in\of\so\Make response:	tsu
context: that\force\so\in\of\so\Make\tsu response:	in
context: force\so\in\of\so\Make\tsu\in response:	ka
context: so\in\of\so\Make\tsu\in\ka response:	Make
context: in\of\so\Make\tsu\in\ka\Make response:	Tcha
context: of\so\Make\tsu\in\ka\Make\Tcha response:	ccha
context: so\Make\tsu\in\ka\Make\Tcha\ccha response:	Tsu
context: Make\tsu\in\ka\Make\Tcha\ccha\Tsu response:	Chi
context: tsu\in\ka\Make\Tcha\ccha\Tsu\Chi response:	Huh
context: in\ka\Make\Tcha\ccha\Tsu\Chi\Huh response:	Huh
context: ka\Make\Tcha\ccha\Tsu\Chi\Huh\Huh response:	Place
context: Make\Tcha\ccha\Tsu\Chi\Huh\Huh\Place response:	ba
context: Tcha\ccha\Tsu\Chi\Huh\Huh\Place\ba response:	Place
context: ccha\Tsu\Chi\Huh\Huh\Place\ba\Place response:	Ho
context: Tsu\Chi\Huh\Huh\Place\ba\Place\Ho response:	ho
context: Chi\Huh\Huh\Place\ba\Place\Ho\ho response:	Ho
context: Huh\Huh\Place\ba\Place\Ho\ho\Ho response:	Et al.
context: Huh\Place\ba\Place\Ho\ho\Ho\Et al. response:	out
context: Place\ba\Place\Ho\ho\Ho\Et al.\out response:	De
context: ba\Place\Ho\ho\Ho\Et al.\out\De response:	Do
context: Place\Ho\ho\Ho\Et al.\out\De\Do response:	The
context: Ho\ho\Ho\Et al.\out\De\Do\The response:	Where
context: ho\Ho\Et al.\out\De\Do\The\Where response:	open
context: Ho\Et al.\out\De\Do\The\Where\open response:	hi
context: Et al.\out\De\Do\The\Where\open\hi response:	Ku
context: out\De\Do\The\Where\open\hi\Ku response:	out
context: De\Do\The\Where\open\hi\Ku\out response:	that
context: Do\The\Where\open\hi\Ku\out\that response:	Et al.
context: The\Where\open\hi\Ku\out\that\Et al. response:	the door will open.
context: Where\open\hi\Ku\out\that\Et al.\the door will open. response:	De
context: open\hi\Ku\out\that\Et al.\the door will open.\De response:	Do
context: hi\Ku\out\that\Et al.\the door will open.\De\Do response:	De
context: Ku\out\that\Et al.\the door will open.\De\Do\De response:	The
context: out\that\Et al.\the door will open.\De\Do\De\The response:	Where
context: that\Et al.\the door will open.\De\Do\De\The\Where response:	The
context: Et al.\the door will open.\De\Do\De\The\Where\The response:	open
context: the door will open.\De\Do\De\The\Where\The\open response:	hi
context: De\Do\De\The\Where\The\open\hi response:	out
context: Do\De\The\Where\The\open\hi\out response:	open
context: De\The\Where\The\open\hi\out\open response:	Ku
context: The\Where\The\open\hi\out\open\Ku response:	that
context: Where\The\open\hi\out\open\Ku\that response:	You
context: The\open\hi\out\open\Ku\that\You response:	Of
context: open\hi\out\open\Ku\that\You\Of response:	When
context: hi\out\open\Ku\that\You\Of\When response:	my
context: out\open\Ku\that\You\Of\When\my response:	Me
context: open\Ku\that\You\Of\When\my\Me response:	to
context: Ku\that\You\Of\When\my\Me\to response:	wa
context: that\You\Of\When\my\Me\to\wa response:	ta
context: You\Of\When\my\Me\to\wa\ta response:	shi
context: Of\When\my\Me\to\wa\ta\shi response:	Ku
context: When\my\Me\to\wa\ta\shi\Ku response:	in
context: my\Me\to\wa\ta\shi\Ku\in response:	You and I,
context: Me\to\wa\ta\shi\Ku\in\You and I, response:	You
context: to\wa\ta\shi\Ku\in\You and I,\You response:	Of
context: wa\ta\shi\Ku\in\You and I,\You\Of response:	my
context: ta\shi\Ku\in\You and I,\You\Of\my response:	You
context: shi\Ku\in\You and I,\You\Of\my\You response:	When
context: Ku\in\You and I,\You\Of\my\You\When response:	to
context: in\You and I,\You\Of\my\You\When\to response:	When
context: You and I,\You\Of\my\You\When\to\When response:	Me
context: You\Of\my\You\When\to\When\Me response:	wa
context: Of\my\You\When\to\When\Me\wa response:	two
context: my\You\When\to\When\Me\wa\two response:	ta
context: You\When\to\When\Me\wa\two\ta response:	Fu
context: When\to\When\Me\wa\two\ta\Fu response:	people
context: to\When\Me\wa\two\ta\Fu\people response:	ta
context: When\Me\wa\two\ta\Fu\people\ta response:	ri
context: Me\wa\two\ta\Fu\people\ta\ri response:	Et al.
context: wa\two\ta\Fu\people\ta\ri\Et al. response:	na
context: two\ta\Fu\people\ta\ri\Et al.\na response:	shi
context: ta\Fu\people\ta\ri\Et al.\na\shi response:	Place
context: Fu\people\ta\ri\Et al.\na\shi\Place response:	out
context: people\ta\ri\Et al.\na\shi\Place\out response:	ba
context: ta\ri\Et al.\na\shi\Place\out\ba response:	if we're together,
context: ri\Et al.\na\shi\Place\out\ba\if we're together, response:	Me
context: Et al.\na\shi\Place\out\ba\if we're together,\Me response:	two
context: na\shi\Place\out\ba\if we're together,\Me\two response:	Fu
context: shi\Place\out\ba\if we're together,\Me\two\Fu response:	in
context: Place\out\ba\if we're together,\Me\two\Fu\in response:	ta
context: out\ba\if we're together,\Me\two\Fu\in\ta response:	two
context: ba\if we're together,\Me\two\Fu\in\ta\two response:	people
context: if we're together,\Me\two\Fu\in\ta\two\people response:	ri
context: Me\two\Fu\in\ta\two\people\ri response:	Etc.
context: two\Fu\in\ta\two\people\ri\Etc. response:	Do
context: Fu\in\ta\two\people\ri\Etc.\Do response:	Hmm
context: in\ta\two\people\ri\Etc.\Do\Hmm response:	na
context: ta\two\people\ri\Etc.\Do\Hmm\na response:	people
context: two\people\ri\Etc.\Do\Hmm\na\people response:	na
context: people\ri\Etc.\Do\Hmm\na\people\na response:	dream
context: ri\Etc.\Do\Hmm\na\people\na\dream response:	yu
context: Etc.\Do\Hmm\na\people\na\dream\yu response:	Also
context: Do\Hmm\na\people\na\dream\yu\Also response:	me
context: Hmm\na\people\na\dream\yu\Also\me response:	you
context: na\people\na\dream\yu\Also\me\you response:	Et al.
context: people\na\dream\yu\Also\me\you\Et al. response:	out
context: na\dream\yu\Also\me\you\Et al.\out response:	Et al.
context: dream\yu\Also\me\you\Et al.\out\Et al. response:	Place
context: yu\Also\me\you\Et al.\out\Et al.\Place response:	ba
context: Also\me\you\Et al.\out\Et al.\Place\ba response:	we can grasp.
context: me\you\Et al.\out\Et al.\Place\ba\we can grasp. response:	Place
context: you\Et al.\out\Et al.\Place\ba\we can grasp.\Place response:	Etc.
context: Et al.\out\Et al.\Place\ba\we can grasp.\Place\Etc. response:	Do
context: out\Et al.\Place\ba\we can grasp.\Place\Etc.\Do response:	Etc.
context: Et al.\Place\ba\we can grasp.\Place\Etc.\Do\Etc. response:	Hmm
context: Place\ba\we can grasp.\Place\Etc.\Do\Etc.\Hmm response:	Hmm
context: ba\we can grasp.\Place\Etc.\Do\Etc.\Hmm\Hmm response:	na
context: we can grasp.\Place\Etc.\Do\Etc.\Hmm\Hmm\na response:	slap
context: Place\Etc.\Do\Etc.\Hmm\Hmm\na\slap response:	Tsu
context: Etc.\Do\Etc.\Hmm\Hmm\na\slap\Tsu response:	Because
context: Do\Etc.\Hmm\Hmm\na\slap\Tsu\Because response:	ka
context: Etc.\Hmm\Hmm\na\slap\Tsu\Because\ka response:	That
context: Hmm\Hmm\na\slap\Tsu\Because\ka\That response:	me
context: Hmm\na\slap\Tsu\Because\ka\That\me response:	Or
context: na\slap\Tsu\Because\ka\That\me\Or response:	ru
context: slap\Tsu\Because\ka\That\me\Or\ru response:	Et al.
context: Tsu\Because\ka\That\me\Or\ru\Et al. response:	ka
context: Because\ka\That\me\Or\ru\Et al.\ka response:	out
context: ka\That\me\Or\ru\Et al.\ka\out response:	dream
context: That\me\Or\ru\Et al.\ka\out\dream response:	yu
context: me\Or\ru\Et al.\ka\out\dream\yu response:	in
context: Or\ru\Et al.\ka\out\dream\yu\in response:	me
context: ru\Et al.\ka\out\dream\yu\in\me response:	dream
context: Et al.\ka\out\dream\yu\in\me\dream response:	Also
context: ka\out\dream\yu\in\me\dream\Also response:	you
context: out\dream\yu\in\me\dream\Also\you response:	Whatever dreams we have,
context: dream\yu\in\me\dream\Also\you\Whatever dreams we have, response:	slap
context: yu\in\me\dream\Also\you\Whatever dreams we have,\slap response:	Tsu
context: in\me\dream\Also\you\Whatever dreams we have,\slap\Tsu response:	in
context: me\dream\Also\you\Whatever dreams we have,\slap\Tsu\in response:	ka
context: dream\Also\you\Whatever dreams we have,\slap\Tsu\in\ka response:	slap
context: Also\you\Whatever dreams we have,\slap\Tsu\in\ka\slap response:	Because
context: you\Whatever dreams we have,\slap\Tsu\in\ka\slap\Because response:	me
context: Whatever dreams we have,\slap\Tsu\in\ka\slap\Because\me response:	what
context: slap\Tsu\in\ka\slap\Because\me\what response:	Na
context: Tsu\in\ka\slap\Because\me\what\Na response:	Also
context: in\ka\slap\Because\me\what\Na\Also response:	ni
context: ka\slap\Because\me\what\Na\Also\ni response:	fan
context: slap\Because\me\what\Na\Also\ni\fan response:	you
context: Because\me\what\Na\Also\ni\fan\you response:	ma
context: me\what\Na\Also\ni\fan\you\ma response:	Not
context: what\Na\Also\ni\fan\you\ma\Not response:	To
context: Na\Also\ni\fan\you\ma\Not\To response:	Because
context: Also\ni\fan\you\ma\Not\To\Because response:	That
context: ni\fan\you\ma\Not\To\Because\That response:	wa
context: fan\you\ma\Not\To\Because\That\wa response:	ru
context: you\ma\Not\To\Because\That\wa\ru response:	Row
context: ma\Not\To\Because\That\wa\ru\Row response:	to
context: Not\To\Because\That\wa\ru\Row\to response:	like this
context: To\Because\That\wa\ru\Row\to\like this response:	ni
context: Because\That\wa\ru\Row\to\like this\ni response:	Also
context: That\wa\ru\Row\to\like this\ni\Also response:	yu
context: wa\ru\Row\to\like this\ni\Also\yu response:	kou
context: ru\Row\to\like this\ni\Also\yu\kou response:	That
context: Row\to\like this\ni\Also\yu\kou\That response:	Or
context: to\like this\ni\Also\yu\kou\That\Or response:	in
context: like this\ni\Also\yu\kou\That\Or\in response:	ka
context: ni\Also\yu\kou\That\Or\in\ka response:	Or
context: Also\yu\kou\That\Or\in\ka\Or response:	Et al.
context: yu\kou\That\Or\in\ka\Or\Et al. response:	out
context: kou\That\Or\in\ka\Or\Et al.\out response:	Throw away your doubts and move forth,
context: That\Or\in\ka\Or\Et al.\out\Throw away your doubts and move forth, response:	what
context: Or\in\ka\Or\Et al.\out\Throw away your doubts and move forth,\what response:	Na
context: in\ka\Or\Et al.\out\Throw away your doubts and move forth,\what\Na response:	ni
context: ka\Or\Et al.\out\Throw away your doubts and move forth,\what\Na\ni response:	what
context: Or\Et al.\out\Throw away your doubts and move forth,\what\Na\ni\what response:	Also
context: Et al.\out\Throw away your doubts and move forth,\what\Na\ni\what\Also response:	you
context: out\Throw away your doubts and move forth,\what\Na\ni\what\Also\you response:	Et al.
context: Throw away your doubts and move forth,\what\Na\ni\what\Also\you\Et al. response:	Also
context: what\Na\ni\what\Also\you\Et al.\Also response:	fan
context: Na\ni\what\Also\you\Et al.\Also\fan response:	ma
context: ni\what\Also\you\Et al.\Also\fan\ma response:	fan
context: what\Also\you\Et al.\Also\fan\ma\fan response:	wa
context: Also\you\Et al.\Also\fan\ma\fan\wa response:	Not
context: you\Et al.\Also\fan\ma\fan\wa\Not response:	to
context: Et al.\Also\fan\ma\fan\wa\Not\to response:	Not
context: Also\fan\ma\fan\wa\Not\to\Not response:	To
context: fan\ma\fan\wa\Not\to\Not\To response:	with
context: ma\fan\wa\Not\to\Not\To\with response:	in
context: fan\wa\Not\to\Not\To\with\in response:	ni
