context: (yeah that's worded pretty much like a cliche, edit as you want) response:	I'm sorry.
context: I'm home.\Take care of it, okay?\Going somewhere?\It's urgent.\This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today.\Then, I will... response:	Shinichirou!
context: Take care of it, okay?\Going somewhere?\It's urgent.\This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today.\Then, I will...\Shinichirou! response:	Let's go.
context: Going somewhere?\It's urgent.\This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today.\Then, I will...\Shinichirou!\Let's go. response:	Is something wrong?
context: It's urgent.\This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today.\Then, I will...\Shinichirou!\Let's go.\Is something wrong? response:	Why did the two of them go out?
context: This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today.\Then, I will...\Shinichirou!\Let's go.\Is something wrong?\Why did the two of them go out? response:	They're taking something over to Oji-san's.
context: It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today.\Then, I will...\Shinichirou!\Let's go.\Is something wrong?\Why did the two of them go out?\They're taking something over to Oji-san's. response:	Shin-chan doesn't have to go too...
context: We promised that we would deliver it by today.\Then, I will...\Shinichirou!\Let's go.\Is something wrong?\Why did the two of them go out?\They're taking something over to Oji-san's.\Shin-chan doesn't have to go too... response:	Well, I think it's fine to let Shinichirou handle that.
context: Then, I will...\Shinichirou!\Let's go.\Is something wrong?\Why did the two of them go out?\They're taking something over to Oji-san's.\Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that. response:	Why must Shin-chan-
context: Shinichirou!\Let's go.\Is something wrong?\Why did the two of them go out?\They're taking something over to Oji-san's.\Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan- response:	Why must Hiromi do it?
context: Let's go.\Is something wrong?\Why did the two of them go out?\They're taking something over to Oji-san's.\Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan-\Why must Hiromi do it? response:	Hiromi's now a child of our household,
context: Is something wrong?\Why did the two of them go out?\They're taking something over to Oji-san's.\Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan-\Why must Hiromi do it?\Hiromi's now a child of our household, response:	Just like Shinichirou.
context: Why did the two of them go out?\They're taking something over to Oji-san's.\Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan-\Why must Hiromi do it?\Hiromi's now a child of our household,\Just like Shinichirou. response:	She's not my kid!
context: They're taking something over to Oji-san's.\Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan-\Why must Hiromi do it?\Hiromi's now a child of our household,\Just like Shinichirou.\She's not my kid! response:	Hey!
context: Shin-chan doesn't have to go too...\Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan-\Why must Hiromi do it?\Hiromi's now a child of our household,\Just like Shinichirou.\She's not my kid!\Hey! response:	You didn't have to come with me...
context: Well, I think it's fine to let Shinichirou handle that.\Why must Shin-chan-\Why must Hiromi do it?\Hiromi's now a child of our household,\Just like Shinichirou.\She's not my kid!\Hey!\You didn't have to come with me... response:	This street is dark and dangerous.
context: Why must Shin-chan-\Why must Hiromi do it?\Hiromi's now a child of our household,\Just like Shinichirou.\She's not my kid!\Hey!\You didn't have to come with me...\This street is dark and dangerous. response:	Besides, the bottle is heavy.
context: Why must Hiromi do it?\Hiromi's now a child of our household,\Just like Shinichirou.\She's not my kid!\Hey!\You didn't have to come with me...\This street is dark and dangerous.\Besides, the bottle is heavy. response:	You don't need to worry about it too much,
context: Hiromi's now a child of our household,\Just like Shinichirou.\She's not my kid!\Hey!\You didn't have to come with me...\This street is dark and dangerous.\Besides, the bottle is heavy.\You don't need to worry about it too much, response:	Since you're not a maid.
context: Just like Shinichirou.\She's not my kid!\Hey!\You didn't have to come with me...\This street is dark and dangerous.\Besides, the bottle is heavy.\You don't need to worry about it too much,\Since you're not a maid. response:	Right now, I am under the care of your family...
context: She's not my kid!\Hey!\You didn't have to come with me...\This street is dark and dangerous.\Besides, the bottle is heavy.\You don't need to worry about it too much,\Since you're not a maid.\Right now, I am under the care of your family... response:	Oh yeah, we once walked this street, right?
context: Hey!\You didn't have to come with me...\This street is dark and dangerous.\Besides, the bottle is heavy.\You don't need to worry about it too much,\Since you're not a maid.\Right now, I am under the care of your family...\Oh yeah, we once walked this street, right? response:	Remember? You got lost on the day of the festival,
context: You didn't have to come with me...\This street is dark and dangerous.\Besides, the bottle is heavy.\You don't need to worry about it too much,\Since you're not a maid.\Right now, I am under the care of your family...\Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival, response:	And you cried a lot!
context: This street is dark and dangerous.\Besides, the bottle is heavy.\You don't need to worry about it too much,\Since you're not a maid.\Right now, I am under the care of your family...\Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival,\And you cried a lot! response:	I don't remember...
context: Besides, the bottle is heavy.\You don't need to worry about it too much,\Since you're not a maid.\Right now, I am under the care of your family...\Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival,\And you cried a lot!\I don't remember... response:	Is that so...
context: You don't need to worry about it too much,\Since you're not a maid.\Right now, I am under the care of your family...\Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival,\And you cried a lot!\I don't remember...\Is that so... response:	Hey, by the way, what did you mean yesterday with Noe seeing through you?
context: Since you're not a maid.\Right now, I am under the care of your family...\Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival,\And you cried a lot!\I don't remember...\Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you? response:	Thank you.
context: Right now, I am under the care of your family...\Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival,\And you cried a lot!\I don't remember...\Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you. response:	Actually, it's really scary to walk this street.
context: Oh yeah, we once walked this street, right?\Remember? You got lost on the day of the festival,\And you cried a lot!\I don't remember...\Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you.\Actually, it's really scary to walk this street. response:	I-I see! I guess you're right! (Edit - I see, You're right)
context: Remember? You got lost on the day of the festival,\And you cried a lot!\I don't remember...\Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you.\Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right) response:	Don't leave me alone...
context: And you cried a lot!\I don't remember...\Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you.\Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone... response:	Don't leave me alone, Shinichirou-kun...
context: I don't remember...\Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you.\Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone...\Don't leave me alone, Shinichirou-kun... response:	It was all sealed...At the moment that I've decided to live in this family,
context: Is that so...\Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you.\Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone...\Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family, response:	When it was decided I was to live in this house.
context: Hey, by the way, what did you mean yesterday with Noe seeing through you?\Thank you.\Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone...\Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house. response:	Don't leave me alone, huh?
context: Thank you.\Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone...\Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house.\Don't leave me alone, huh? response:	What a shock that she doesn't remember...
context: Actually, it's really scary to walk this street.\I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone...\Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house.\Don't leave me alone, huh?\What a shock that she doesn't remember... response:	After all, it was one step forward for us to walk together in the streets.
context: I-I see! I guess you're right! (Edit - I see, You're right)\Don't leave me alone...\Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house.\Don't leave me alone, huh?\What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets. response:	Wanting to hold your hand, I extended mine.
context: Don't leave me alone...\Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house.\Don't leave me alone, huh?\What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine. response:	At that moment, snow started to fall.
context: Don't leave me alone, Shinichirou-kun...\It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house.\Don't leave me alone, huh?\What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine.\At that moment, snow started to fall. response:	It was red... red.
context: It was all sealed...At the moment that I've decided to live in this family,\When it was decided I was to live in this house.\Don't leave me alone, huh?\What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine.\At that moment, snow started to fall.\It was red... red. response:	Mysterious snow.
context: When it was decided I was to live in this house.\Don't leave me alone, huh?\What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine.\At that moment, snow started to fall.\It was red... red.\Mysterious snow. response:	COLD!
context: Don't leave me alone, huh?\What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine.\At that moment, snow started to fall.\It was red... red.\Mysterious snow.\COLD! response:	Good morning.
context: What a shock that she doesn't remember...\After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine.\At that moment, snow started to fall.\It was red... red.\Mysterious snow.\COLD!\Good morning. response:	Is it already that late?
context: After all, it was one step forward for us to walk together in the streets.\Wanting to hold your hand, I extended mine.\At that moment, snow started to fall.\It was red... red.\Mysterious snow.\COLD!\Good morning.\Is it already that late? response:	Nope, nope.
context: Wanting to hold your hand, I extended mine.\At that moment, snow started to fall.\It was red... red.\Mysterious snow.\COLD!\Good morning.\Is it already that late?\Nope, nope. response:	I'm just going to prepare for the basketball competitions.
context: At that moment, snow started to fall.\It was red... red.\Mysterious snow.\COLD!\Good morning.\Is it already that late?\Nope, nope.\I'm just going to prepare for the basketball competitions. response:	Bye.
context: It was red... red.\Mysterious snow.\COLD!\Good morning.\Is it already that late?\Nope, nope.\I'm just going to prepare for the basketball competitions.\Bye. response:	Err...
context: Mysterious snow.\COLD!\Good morning.\Is it already that late?\Nope, nope.\I'm just going to prepare for the basketball competitions.\Bye.\Err... response:	Well, err... when the time comes, I'll go cheer for you.
context: COLD!\Good morning.\Is it already that late?\Nope, nope.\I'm just going to prepare for the basketball competitions.\Bye.\Err...\Well, err... when the time comes, I'll go cheer for you. response:	Good morning.
context: Good morning.\Is it already that late?\Nope, nope.\I'm just going to prepare for the basketball competitions.\Bye.\Err...\Well, err... when the time comes, I'll go cheer for you.\Good morning. response:	I'm going back to sleep for a little longer.
context: Is it already that late?\Nope, nope.\I'm just going to prepare for the basketball competitions.\Bye.\Err...\Well, err... when the time comes, I'll go cheer for you.\Good morning.\I'm going back to sleep for a little longer. response:	Is that Hotarugawa's basketball team?
context: Nope, nope.\I'm just going to prepare for the basketball competitions.\Bye.\Err...\Well, err... when the time comes, I'll go cheer for you.\Good morning.\I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team? response:	What are you planning to do?
context: I'm just going to prepare for the basketball competitions.\Bye.\Err...\Well, err... when the time comes, I'll go cheer for you.\Good morning.\I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team?\What are you planning to do? response:	Well, since I have nothing else to do, I'll go take a look.
context: Bye.\Err...\Well, err... when the time comes, I'll go cheer for you.\Good morning.\I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team?\What are you planning to do?\Well, since I have nothing else to do, I'll go take a look. response:	Hey, Nakagami-kun.
context: Err...\Well, err... when the time comes, I'll go cheer for you.\Good morning.\I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team?\What are you planning to do?\Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun. response:	What are those?
context: Well, err... when the time comes, I'll go cheer for you.\Good morning.\I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team?\What are you planning to do?\Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun.\What are those? response:	That's yours, right?
context: Good morning.\I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team?\What are you planning to do?\Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun.\What are those?\That's yours, right? response:	Huh, what?
context: I'm going back to sleep for a little longer.\Is that Hotarugawa's basketball team?\What are you planning to do?\Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun.\What are those?\That's yours, right?\Huh, what? response:	Ohh! These are...
context: Is that Hotarugawa's basketball team?\What are you planning to do?\Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun.\What are those?\That's yours, right?\Huh, what?\Ohh! These are... response:	What's-
context: What are you planning to do?\Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun.\What are those?\That's yours, right?\Huh, what?\Ohh! These are...\What's- response:	That's fantastic! It's connected together!
context: Well, since I have nothing else to do, I'll go take a look.\Hey, Nakagami-kun.\What are those?\That's yours, right?\Huh, what?\Ohh! These are...\What's-\That's fantastic! It's connected together! response:	T-H-A-T G-I-R-L...!
context: Hey, Nakagami-kun.\What are those?\That's yours, right?\Huh, what?\Ohh! These are...\What's-\That's fantastic! It's connected together!\T-H-A-T G-I-R-L...! response:	Good luck with that!
context: What are those?\That's yours, right?\Huh, what?\Ohh! These are...\What's-\That's fantastic! It's connected together!\T-H-A-T G-I-R-L...!\Good luck with that! response:	What is she thinking?!
context: That's yours, right?\Huh, what?\Ohh! These are...\What's-\That's fantastic! It's connected together!\T-H-A-T G-I-R-L...!\Good luck with that!\What is she thinking?! response:	What are these?
context: Huh, what?\Ohh! These are...\What's-\That's fantastic! It's connected together!\T-H-A-T G-I-R-L...!\Good luck with that!\What is she thinking?!\What are these? response:	Who knows?
context: Ohh! These are...\What's-\That's fantastic! It's connected together!\T-H-A-T G-I-R-L...!\Good luck with that!\What is she thinking?!\What are these?\Who knows? response:	Isurugi Noe!
context: What's-\That's fantastic! It's connected together!\T-H-A-T G-I-R-L...!\Good luck with that!\What is she thinking?!\What are these?\Who knows?\Isurugi Noe! response:	I told you, I don't want the red seeds!
context: That's fantastic! It's connected together!\T-H-A-T G-I-R-L...!\Good luck with that!\What is she thinking?!\What are these?\Who knows?\Isurugi Noe!\I told you, I don't want the red seeds! response:	That's not your choice to make.
context: T-H-A-T G-I-R-L...!\Good luck with that!\What is she thinking?!\What are these?\Who knows?\Isurugi Noe!\I told you, I don't want the red seeds!\That's not your choice to make. response:	You know, I don't have a clue what you want, but...
context: Good luck with that!\What is she thinking?!\What are these?\Who knows?\Isurugi Noe!\I told you, I don't want the red seeds!\That's not your choice to make.\You know, I don't have a clue what you want, but... response:	Wouldn't it be better if you didn't get too involved with me?
context: What is she thinking?!\What are these?\Who knows?\Isurugi Noe!\I told you, I don't want the red seeds!\That's not your choice to make.\You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me? response:	You have a boyfriend, right?
context: What are these?\Who knows?\Isurugi Noe!\I told you, I don't want the red seeds!\That's not your choice to make.\You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right? response:	I saw you together with him!
context: Who knows?\Isurugi Noe!\I told you, I don't want the red seeds!\That's not your choice to make.\You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right?\I saw you together with him! response:	Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)
context: Isurugi Noe!\I told you, I don't want the red seeds!\That's not your choice to make.\You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right?\I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct) response:	Wait! I can't get down!
context: I told you, I don't want the red seeds!\That's not your choice to make.\You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right?\I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down! response:	You climbed up yourself, get down by yourself.
context: That's not your choice to make.\You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right?\I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down!\You climbed up yourself, get down by yourself. response:	Hey!
context: You know, I don't have a clue what you want, but...\Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right?\I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down!\You climbed up yourself, get down by yourself.\Hey! response:	Oww...
context: Wouldn't it be better if you didn't get too involved with me?\You have a boyfriend, right?\I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down!\You climbed up yourself, get down by yourself.\Hey!\Oww... response:	Come on...
context: You have a boyfriend, right?\I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down!\You climbed up yourself, get down by yourself.\Hey!\Oww...\Come on... response:	Come on, stand up.Come on, back on your feet.
context: I saw you together with him!\Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down!\You climbed up yourself, get down by yourself.\Hey!\Oww...\Come on...\Come on, stand up.Come on, back on your feet. response:	What are you doing?!
context: Therefore... Stop doing this!That's why, know your place! ( shouldn't it be That's why, stop doing this! Miku-chan) (Edit - Miku-chan is correct)\Wait! I can't get down!\You climbed up yourself, get down by yourself.\Hey!\Oww...\Come on...\Come on, stand up.Come on, back on your feet.\What are you doing?! response:	Soon, there'll be a cockroach...
context: Wait! I can't get down!\You climbed up yourself, get down by yourself.\Hey!\Oww...\Come on...\Come on, stand up.Come on, back on your feet.\What are you doing?!\Soon, there'll be a cockroach... response:	Soon, there'll be a cockroach on top of Shinichirou's head...
context: You climbed up yourself, get down by yourself.\Hey!\Oww...\Come on...\Come on, stand up.Come on, back on your feet.\What are you doing?!\Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head... response:	On Shinichirou's back there's a cockroach too...
context: Hey!\Oww...\Come on...\Come on, stand up.Come on, back on your feet.\What are you doing?!\Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too... response:	You're... light.
context: Oww...\Come on...\Come on, stand up.Come on, back on your feet.\What are you doing?!\Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too...\You're... light. response:	That way!
context: Come on...\Come on, stand up.Come on, back on your feet.\What are you doing?!\Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too...\You're... light.\That way! response:	You know what's over there?
context: Come on, stand up.Come on, back on your feet.\What are you doing?!\Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too...\You're... light.\That way!\You know what's over there? response:	That way!
context: What are you doing?!\Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too...\You're... light.\That way!\You know what's over there?\That way! response:	Does your leg really hurt?
context: Soon, there'll be a cockroach...\Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too...\You're... light.\That way!\You know what's over there?\That way!\Does your leg really hurt? response:	That guy is...
context: Soon, there'll be a cockroach on top of Shinichirou's head...\On Shinichirou's back there's a cockroach too...\You're... light.\That way!\You know what's over there?\That way!\Does your leg really hurt?\That guy is... response:	It's fine here.
context: On Shinichirou's back there's a cockroach too...\You're... light.\That way!\You know what's over there?\That way!\Does your leg really hurt?\That guy is...\It's fine here. response:	Hey, your leg... What the hell?!
context: You're... light.\That way!\You know what's over there?\That way!\Does your leg really hurt?\That guy is...\It's fine here.\Hey, your leg... What the hell?! response:	Dude, what the hell were you doing?
context: That way!\You know what's over there?\That way!\Does your leg really hurt?\That guy is...\It's fine here.\Hey, your leg... What the hell?!\Dude, what the hell were you doing? response:	That's the one.
context: You know what's over there?\That way!\Does your leg really hurt?\That guy is...\It's fine here.\Hey, your leg... What the hell?!\Dude, what the hell were you doing?\That's the one. response:	No. 4.
context: That way!\Does your leg really hurt?\That guy is...\It's fine here.\Hey, your leg... What the hell?!\Dude, what the hell were you doing?\That's the one.\No. 4. response:	That guy's Noe's...
context: Does your leg really hurt?\That guy is...\It's fine here.\Hey, your leg... What the hell?!\Dude, what the hell were you doing?\That's the one.\No. 4.\That guy's Noe's... response:	Onii-chan!
context: That guy is...\It's fine here.\Hey, your leg... What the hell?!\Dude, what the hell were you doing?\That's the one.\No. 4.\That guy's Noe's...\Onii-chan! response:	Onii-chan...
context: It's fine here.\Hey, your leg... What the hell?!\Dude, what the hell were you doing?\That's the one.\No. 4.\That guy's Noe's...\Onii-chan!\Onii-chan... response:	Huh?
context: Hey, your leg... What the hell?!\Dude, what the hell were you doing?\That's the one.\No. 4.\That guy's Noe's...\Onii-chan!\Onii-chan...\Huh? response:	Wait, her brother?!
context: Dude, what the hell were you doing?\That's the one.\No. 4.\That guy's Noe's...\Onii-chan!\Onii-chan...\Huh?\Wait, her brother?! response:	Go for it!
context: That's the one.\No. 4.\That guy's Noe's...\Onii-chan!\Onii-chan...\Huh?\Wait, her brother?!\Go for it! response:	Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him
context: No. 4.\That guy's Noe's...\Onii-chan!\Onii-chan...\Huh?\Wait, her brother?!\Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him response:	Well, not like it's unusual.
context: That guy's Noe's...\Onii-chan!\Onii-chan...\Huh?\Wait, her brother?!\Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual. response:	Right...
context: Onii-chan!\Onii-chan...\Huh?\Wait, her brother?!\Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual.\Right... response:	At least confirm it first next time!
context: Onii-chan...\Huh?\Wait, her brother?!\Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual.\Right...\At least confirm it first next time! response:	It's not that big of a deal. Not like I care if she has a boyfriend or not.
context: Huh?\Wait, her brother?!\Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual.\Right...\At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not. response:	That's true, but seems to me that this is one less trouble for you.
context: Wait, her brother?!\Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual.\Right...\At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you. response:	Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)
context: Go for it!\Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual.\Right...\At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct) response:	That's true...
context: Hoo-hoo... So you mistook her brother for her boyfriend! I think hoo hoo could be translated to I see, but this way it's a bit more obvious he's taunting him\Well, not like it's unusual.\Right...\At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true... response:	Since you have Yuasa Hiromi in your hands.
context: Well, not like it's unusual.\Right...\At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true...\Since you have Yuasa Hiromi in your hands. response:	Don't just decide on your own!
context: Right...\At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true...\Since you have Yuasa Hiromi in your hands.\Don't just decide on your own! response:	You better think of a reason real quick.
context: At least confirm it first next time!\It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true...\Since you have Yuasa Hiromi in your hands.\Don't just decide on your own!\You better think of a reason real quick. response:	What do you mean?
context: It's not that big of a deal. Not like I care if she has a boyfriend or not.\That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true...\Since you have Yuasa Hiromi in your hands.\Don't just decide on your own!\You better think of a reason real quick.\What do you mean? response:	Just now, when you were carrying Noe, she got a good look at you.
context: That's true, but seems to me that this is one less trouble for you.\Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true...\Since you have Yuasa Hiromi in your hands.\Don't just decide on your own!\You better think of a reason real quick.\What do you mean?\Just now, when you were carrying Noe, she got a good look at you. response:	That will most likely end up as a misunderstanding.
context: Don't say stupid things!You bastard! ( or Don't be Stupid Miku-chan) (Edit - Miku-chan is correct)\That's true...\Since you have Yuasa Hiromi in your hands.\Don't just decide on your own!\You better think of a reason real quick.\What do you mean?\Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding. response:	Why must I find a reason?
context: That's true...\Since you have Yuasa Hiromi in your hands.\Don't just decide on your own!\You better think of a reason real quick.\What do you mean?\Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding.\Why must I find a reason? response:	Leave first.
context: Since you have Yuasa Hiromi in your hands.\Don't just decide on your own!\You better think of a reason real quick.\What do you mean?\Just now, when you were carrying Noe, she got a good look at you.\That will most likely end up as a misunderstanding.\Why must I find a reason?\Leave first. response:	Excuse me, can you pass me the ball?
