context: I felt like such a fool for not noticing until now. response:	For example, the number of piercings they each had, and the way they talked.
context: If you see, you'll understand.\What? That Nami, going around spreading rumors again.\She's gotta be more careful.\I'm glad Nana's with me.\This place has too many memories for me to visit alone.\We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here. response:	- Black! - Did you get me a gift? A present?
context: What? That Nami, going around spreading rumors again.\She's gotta be more careful.\I'm glad Nana's with me.\This place has too many memories for me to visit alone.\We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present? response:	Like a Louis Vuitton bag?
context: She's gotta be more careful.\I'm glad Nana's with me.\This place has too many memories for me to visit alone.\We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag? response:	Tokyo is not a foreign country, you know!
context: I'm glad Nana's with me.\This place has too many memories for me to visit alone.\We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know! response:	Hey! Nami, behave yourself in front of our guest.
context: This place has too many memories for me to visit alone.\We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest. response:	Hello, I'm Nana's mother.
context: We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother. response:	You may find it hard to relax here, but please make yourself at home.
context: Wow, what a grand house! You're quite the princess.\Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home. response:	Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.
context: Not really. This is normal. Land is really cheap around here.\- Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality. response:	Nana?
context: - Black! - Did you get me a gift? A present?\Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana? response:	That's right. We have the same name.
context: Like a Louis Vuitton bag?\Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana?\That's right. We have the same name. response:	But Nana's name is written in katakana characters.
context: Tokyo is not a foreign country, you know!\Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana?\That's right. We have the same name.\But Nana's name is written in katakana characters. response:	Isn't she totally pretty?
context: Hey! Nami, behave yourself in front of our guest.\Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana?\That's right. We have the same name.\But Nana's name is written in katakana characters.\Isn't she totally pretty? response:	It's amazing how different two people with the same name can be.
context: Hello, I'm Nana's mother.\You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana?\That's right. We have the same name.\But Nana's name is written in katakana characters.\Isn't she totally pretty?\It's amazing how different two people with the same name can be. response:	Mom!
context: You may find it hard to relax here, but please make yourself at home.\Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana?\That's right. We have the same name.\But Nana's name is written in katakana characters.\Isn't she totally pretty?\It's amazing how different two people with the same name can be.\Mom! response:	She's such an annoying girl!
context: Pleased to meet you. I'm Nana Osaki. Thank you for the hospitality.\Nana?\That's right. We have the same name.\But Nana's name is written in katakana characters.\Isn't she totally pretty?\It's amazing how different two people with the same name can be.\Mom!\She's such an annoying girl! response:	Way to go, Natsuko!
context: Nana?\That's right. We have the same name.\But Nana's name is written in katakana characters.\Isn't she totally pretty?\It's amazing how different two people with the same name can be.\Mom!\She's such an annoying girl!\Way to go, Natsuko! response:	You're laughing too much, Nami!
context: That's right. We have the same name.\But Nana's name is written in katakana characters.\Isn't she totally pretty?\It's amazing how different two people with the same name can be.\Mom!\She's such an annoying girl!\Way to go, Natsuko!\You're laughing too much, Nami! response:	Nami, I found out you're talking nonsense again.
context: But Nana's name is written in katakana characters.\Isn't she totally pretty?\It's amazing how different two people with the same name can be.\Mom!\She's such an annoying girl!\Way to go, Natsuko!\You're laughing too much, Nami!\Nami, I found out you're talking nonsense again. response:	Apparently Nana lives with Nana.
context: Isn't she totally pretty?\It's amazing how different two people with the same name can be.\Mom!\She's such an annoying girl!\Way to go, Natsuko!\You're laughing too much, Nami!\Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana. response:	- What? - What?
context: It's amazing how different two people with the same name can be.\Mom!\She's such an annoying girl!\Way to go, Natsuko!\You're laughing too much, Nami!\Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana.\- What? - What? response:	Why? What about your boyfriend?
context: Mom!\She's such an annoying girl!\Way to go, Natsuko!\You're laughing too much, Nami!\Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana.\- What? - What?\Why? What about your boyfriend? response:	Again, you're misunderstanding!
context: She's such an annoying girl!\Way to go, Natsuko!\You're laughing too much, Nami!\Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana.\- What? - What?\Why? What about your boyfriend?\Again, you're misunderstanding! response:	You serious? That's so boring!
context: Way to go, Natsuko!\You're laughing too much, Nami!\Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana.\- What? - What?\Why? What about your boyfriend?\Again, you're misunderstanding!\You serious? That's so boring! response:	Then why didn't you tell us in the first place?
context: You're laughing too much, Nami!\Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana.\- What? - What?\Why? What about your boyfriend?\Again, you're misunderstanding!\You serious? That's so boring!\Then why didn't you tell us in the first place? response:	You're a source of constant worry.
context: Nami, I found out you're talking nonsense again.\Apparently Nana lives with Nana.\- What? - What?\Why? What about your boyfriend?\Again, you're misunderstanding!\You serious? That's so boring!\Then why didn't you tell us in the first place?\You're a source of constant worry. response:	I told you
context: Apparently Nana lives with Nana.\- What? - What?\Why? What about your boyfriend?\Again, you're misunderstanding!\You serious? That's so boring!\Then why didn't you tell us in the first place?\You're a source of constant worry.\I told you response:	- but you wouldn't listen, mom. - So you're living with my daughter.
context: - What? - What?\Why? What about your boyfriend?\Again, you're misunderstanding!\You serious? That's so boring!\Then why didn't you tell us in the first place?\You're a source of constant worry.\I told you\- but you wouldn't listen, mom. - So you're living with my daughter. response:	I can only imagine how much trouble she's causing. I'm really sorry.
context: Why? What about your boyfriend?\Again, you're misunderstanding!\You serious? That's so boring!\Then why didn't you tell us in the first place?\You're a source of constant worry.\I told you\- but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry. response:	No, Nana is honest, cheerful and kind.
context: Again, you're misunderstanding!\You serious? That's so boring!\Then why didn't you tell us in the first place?\You're a source of constant worry.\I told you\- but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind. response:	Living with her gives me encouragement.
context: You serious? That's so boring!\Then why didn't you tell us in the first place?\You're a source of constant worry.\I told you\- but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind.\Living with her gives me encouragement. response:	As I imagined,
context: Then why didn't you tell us in the first place?\You're a source of constant worry.\I told you\- but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind.\Living with her gives me encouragement.\As I imagined, response:	I can see she's been brought up in a very warm family environment.
context: You're a source of constant worry.\I told you\- but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind.\Living with her gives me encouragement.\As I imagined,\I can see she's been brought up in a very warm family environment. response:	You certainly know the right things to say.
context: I told you\- but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind.\Living with her gives me encouragement.\As I imagined,\I can see she's been brought up in a very warm family environment.\You certainly know the right things to say. response:	Ouch!
context: - but you wouldn't listen, mom. - So you're living with my daughter.\I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind.\Living with her gives me encouragement.\As I imagined,\I can see she's been brought up in a very warm family environment.\You certainly know the right things to say.\Ouch! response:	You still have some time, right?
context: I can only imagine how much trouble she's causing. I'm really sorry.\No, Nana is honest, cheerful and kind.\Living with her gives me encouragement.\As I imagined,\I can see she's been brought up in a very warm family environment.\You certainly know the right things to say.\Ouch!\You still have some time, right? response:	- Why don't I make some tea? - Nana...
context: No, Nana is honest, cheerful and kind.\Living with her gives me encouragement.\As I imagined,\I can see she's been brought up in a very warm family environment.\You certainly know the right things to say.\Ouch!\You still have some time, right?\- Why don't I make some tea? - Nana... response:	Oh, I have some Japanese sweets.
context: Living with her gives me encouragement.\As I imagined,\I can see she's been brought up in a very warm family environment.\You certainly know the right things to say.\Ouch!\You still have some time, right?\- Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets. response:	Nana, you're such a good actress.
context: As I imagined,\I can see she's been brought up in a very warm family environment.\You certainly know the right things to say.\Ouch!\You still have some time, right?\- Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets.\Nana, you're such a good actress. response:	Huh?
context: I can see she's been brought up in a very warm family environment.\You certainly know the right things to say.\Ouch!\You still have some time, right?\- Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets.\Nana, you're such a good actress.\Huh? response:	Nana is honest, cheerful and kind?
context: You certainly know the right things to say.\Ouch!\You still have some time, right?\- Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets.\Nana, you're such a good actress.\Huh?\Nana is honest, cheerful and kind? response:	I really believe that.
context: Ouch!\You still have some time, right?\- Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets.\Nana, you're such a good actress.\Huh?\Nana is honest, cheerful and kind?\I really believe that. response:	By the way, where's your dad? Does he work Saturdays too?
context: You still have some time, right?\- Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets.\Nana, you're such a good actress.\Huh?\Nana is honest, cheerful and kind?\I really believe that.\By the way, where's your dad? Does he work Saturdays too? response:	Ah, yeah. He'll be back in the evening.
context: - Why don't I make some tea? - Nana...\Oh, I have some Japanese sweets.\Nana, you're such a good actress.\Huh?\Nana is honest, cheerful and kind?\I really believe that.\By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening. response:	Then I'll be able to meet him. I'm looking forward to it.
context: Oh, I have some Japanese sweets.\Nana, you're such a good actress.\Huh?\Nana is honest, cheerful and kind?\I really believe that.\By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it. response:	He's not a father worth getting your hopes up for.
context: Nana, you're such a good actress.\Huh?\Nana is honest, cheerful and kind?\I really believe that.\By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for. response:	Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.
context: Huh?\Nana is honest, cheerful and kind?\I really believe that.\By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed. response:	No, I'm really enjoying it.
context: Nana is honest, cheerful and kind?\I really believe that.\By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it. response:	Natsuko's even better than I imagined.
context: I really believe that.\By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it.\Natsuko's even better than I imagined. response:	Meeting her was such a thrill.
context: By the way, where's your dad? Does he work Saturdays too?\Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it.\Natsuko's even better than I imagined.\Meeting her was such a thrill. response:	What's so great about her? She's just a normal lady.
context: Ah, yeah. He'll be back in the evening.\Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it.\Natsuko's even better than I imagined.\Meeting her was such a thrill.\What's so great about her? She's just a normal lady. response:	No, that's a quality you don't see much.
context: Then I'll be able to meet him. I'm looking forward to it.\He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it.\Natsuko's even better than I imagined.\Meeting her was such a thrill.\What's so great about her? She's just a normal lady.\No, that's a quality you don't see much. response:	She is the ideal mother.
context: He's not a father worth getting your hopes up for.\Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it.\Natsuko's even better than I imagined.\Meeting her was such a thrill.\What's so great about her? She's just a normal lady.\No, that's a quality you don't see much.\She is the ideal mother. response:	Really? Then what about your mom, Nana?
context: Or rather, I'm really sorry. My family can be so noisy. I'm embarrassed.\No, I'm really enjoying it.\Natsuko's even better than I imagined.\Meeting her was such a thrill.\What's so great about her? She's just a normal lady.\No, that's a quality you don't see much.\She is the ideal mother.\Really? Then what about your mom, Nana? response:	What kinda person is she?
context: No, I'm really enjoying it.\Natsuko's even better than I imagined.\Meeting her was such a thrill.\What's so great about her? She's just a normal lady.\No, that's a quality you don't see much.\She is the ideal mother.\Really? Then what about your mom, Nana?\What kinda person is she? response:	I bet she's pretty and cool.
context: Natsuko's even better than I imagined.\Meeting her was such a thrill.\What's so great about her? She's just a normal lady.\No, that's a quality you don't see much.\She is the ideal mother.\Really? Then what about your mom, Nana?\What kinda person is she?\I bet she's pretty and cool. response:	I wonder. I can barely remember.
context: Meeting her was such a thrill.\What's so great about her? She's just a normal lady.\No, that's a quality you don't see much.\She is the ideal mother.\Really? Then what about your mom, Nana?\What kinda person is she?\I bet she's pretty and cool.\I wonder. I can barely remember. response:	What do you mean?
context: What's so great about her? She's just a normal lady.\No, that's a quality you don't see much.\She is the ideal mother.\Really? Then what about your mom, Nana?\What kinda person is she?\I bet she's pretty and cool.\I wonder. I can barely remember.\What do you mean? response:	You've only been away from your hometown for less than half a year.
context: No, that's a quality you don't see much.\She is the ideal mother.\Really? Then what about your mom, Nana?\What kinda person is she?\I bet she's pretty and cool.\I wonder. I can barely remember.\What do you mean?\You've only been away from your hometown for less than half a year. response:	No, I haven't seen her since I was four.
context: She is the ideal mother.\Really? Then what about your mom, Nana?\What kinda person is she?\I bet she's pretty and cool.\I wonder. I can barely remember.\What do you mean?\You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four. response:	Huh? Why not?
context: Really? Then what about your mom, Nana?\What kinda person is she?\I bet she's pretty and cool.\I wonder. I can barely remember.\What do you mean?\You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four.\Huh? Why not? response:	She ran off with a guy.
context: What kinda person is she?\I bet she's pretty and cool.\I wonder. I can barely remember.\What do you mean?\You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four.\Huh? Why not?\She ran off with a guy. response:	She could even be dead now.
context: I bet she's pretty and cool.\I wonder. I can barely remember.\What do you mean?\You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four.\Huh? Why not?\She ran off with a guy.\She could even be dead now. response:	Not that I care.
context: I wonder. I can barely remember.\What do you mean?\You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four.\Huh? Why not?\She ran off with a guy.\She could even be dead now.\Not that I care. response:	Then, Nana, it was just you and your father?
context: What do you mean?\You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four.\Huh? Why not?\She ran off with a guy.\She could even be dead now.\Not that I care.\Then, Nana, it was just you and your father? response:	Do you have any siblings?
context: You've only been away from your hometown for less than half a year.\No, I haven't seen her since I was four.\Huh? Why not?\She ran off with a guy.\She could even be dead now.\Not that I care.\Then, Nana, it was just you and your father?\Do you have any siblings? response:	No.
context: No, I haven't seen her since I was four.\Huh? Why not?\She ran off with a guy.\She could even be dead now.\Not that I care.\Then, Nana, it was just you and your father?\Do you have any siblings?\No. response:	Actually I never had a father to start with.
context: Huh? Why not?\She ran off with a guy.\She could even be dead now.\Not that I care.\Then, Nana, it was just you and your father?\Do you have any siblings?\No.\Actually I never had a father to start with. response:	I was raised by my mother's mother. But grandma died when I was 15.
context: She ran off with a guy.\She could even be dead now.\Not that I care.\Then, Nana, it was just you and your father?\Do you have any siblings?\No.\Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15. response:	That's why I find this so attractive.
context: She could even be dead now.\Not that I care.\Then, Nana, it was just you and your father?\Do you have any siblings?\No.\Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive. response:	The atmosphere of belonging to a loving family like yours.
context: Not that I care.\Then, Nana, it was just you and your father?\Do you have any siblings?\No.\Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours. response:	Since I never had one, this is fun.
context: Then, Nana, it was just you and your father?\Do you have any siblings?\No.\Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun. response:	Attractive? But Nana...
context: Do you have any siblings?\No.\Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun.\Attractive? But Nana... response:	To me, this is normal.
context: No.\Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun.\Attractive? But Nana...\To me, this is normal. response:	Sorry, here I am talking about a gloomy subject.
context: Actually I never had a father to start with.\I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun.\Attractive? But Nana...\To me, this is normal.\Sorry, here I am talking about a gloomy subject. response:	I was just a bit surprised.
context: I was raised by my mother's mother. But grandma died when I was 15.\That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun.\Attractive? But Nana...\To me, this is normal.\Sorry, here I am talking about a gloomy subject.\I was just a bit surprised. response:	I'm sorry for asking all these questions without really giving it much thought.
context: That's why I find this so attractive.\The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun.\Attractive? But Nana...\To me, this is normal.\Sorry, here I am talking about a gloomy subject.\I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought. response:	But I'm glad.
context: The atmosphere of belonging to a loving family like yours.\Since I never had one, this is fun.\Attractive? But Nana...\To me, this is normal.\Sorry, here I am talking about a gloomy subject.\I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought.\But I'm glad. response:	Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!
context: Since I never had one, this is fun.\Attractive? But Nana...\To me, this is normal.\Sorry, here I am talking about a gloomy subject.\I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought.\But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained! response:	That part shocked me!
context: Attractive? But Nana...\To me, this is normal.\Sorry, here I am talking about a gloomy subject.\I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought.\But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me! response:	Calm down.
context: To me, this is normal.\Sorry, here I am talking about a gloomy subject.\I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought.\But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me!\Calm down. response:	Nana. You've never talked to me about yourself until now,
context: Sorry, here I am talking about a gloomy subject.\I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought.\But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me!\Calm down.\Nana. You've never talked to me about yourself until now, response:	so I would wonder why that is.
context: I was just a bit surprised.\I'm sorry for asking all these questions without really giving it much thought.\But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me!\Calm down.\Nana. You've never talked to me about yourself until now,\so I would wonder why that is. response:	It would make me sad thinking about it.
context: I'm sorry for asking all these questions without really giving it much thought.\But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me!\Calm down.\Nana. You've never talked to me about yourself until now,\so I would wonder why that is.\It would make me sad thinking about it. response:	So I'm glad you shared that with me.
context: But I'm glad.\Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me!\Calm down.\Nana. You've never talked to me about yourself until now,\so I would wonder why that is.\It would make me sad thinking about it.\So I'm glad you shared that with me. response:	I see. Sorry.
context: Oh, no, that came out wrong! Sorry. I'm not glad about what you explained!\That part shocked me!\Calm down.\Nana. You've never talked to me about yourself until now,\so I would wonder why that is.\It would make me sad thinking about it.\So I'm glad you shared that with me.\I see. Sorry. response:	It never occurred to me that you might be feeling like that.
context: That part shocked me!\Calm down.\Nana. You've never talked to me about yourself until now,\so I would wonder why that is.\It would make me sad thinking about it.\So I'm glad you shared that with me.\I see. Sorry.\It never occurred to me that you might be feeling like that. response:	I never had a close female friend until now,
context: Calm down.\Nana. You've never talked to me about yourself until now,\so I would wonder why that is.\It would make me sad thinking about it.\So I'm glad you shared that with me.\I see. Sorry.\It never occurred to me that you might be feeling like that.\I never had a close female friend until now, response:	so I don't know how to spend time together.
context: Nana. You've never talked to me about yourself until now,\so I would wonder why that is.\It would make me sad thinking about it.\So I'm glad you shared that with me.\I see. Sorry.\It never occurred to me that you might be feeling like that.\I never had a close female friend until now,\so I don't know how to spend time together. response:	I'm not good at talking about myself.
context: so I would wonder why that is.\It would make me sad thinking about it.\So I'm glad you shared that with me.\I see. Sorry.\It never occurred to me that you might be feeling like that.\I never had a close female friend until now,\so I don't know how to spend time together.\I'm not good at talking about myself. response:	So I end up not talking about things.
context: It would make me sad thinking about it.\So I'm glad you shared that with me.\I see. Sorry.\It never occurred to me that you might be feeling like that.\I never had a close female friend until now,\so I don't know how to spend time together.\I'm not good at talking about myself.\So I end up not talking about things. response:	But just ask me, and I'll tell you anything you want, okay?
context: So I'm glad you shared that with me.\I see. Sorry.\It never occurred to me that you might be feeling like that.\I never had a close female friend until now,\so I don't know how to spend time together.\I'm not good at talking about myself.\So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay? response:	So stop feeling sad.
context: I see. Sorry.\It never occurred to me that you might be feeling like that.\I never had a close female friend until now,\so I don't know how to spend time together.\I'm not good at talking about myself.\So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad. response:	What's so funny?
context: It never occurred to me that you might be feeling like that.\I never had a close female friend until now,\so I don't know how to spend time together.\I'm not good at talking about myself.\So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad.\What's so funny? response:	Because Nana, why are you always like that cool guy?
context: I never had a close female friend until now,\so I don't know how to spend time together.\I'm not good at talking about myself.\So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad.\What's so funny?\Because Nana, why are you always like that cool guy? response:	You're more like a boyfriend to me than a female friend.
context: so I don't know how to spend time together.\I'm not good at talking about myself.\So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad.\What's so funny?\Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend. response:	You just took my breath away right now.
context: I'm not good at talking about myself.\So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad.\What's so funny?\Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend.\You just took my breath away right now. response:	No, I can't have you feel that way about me.
context: So I end up not talking about things.\But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad.\What's so funny?\Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend.\You just took my breath away right now.\No, I can't have you feel that way about me. response:	You'll really tell me anything I want, right?
context: But just ask me, and I'll tell you anything you want, okay?\So stop feeling sad.\What's so funny?\Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend.\You just took my breath away right now.\No, I can't have you feel that way about me.\You'll really tell me anything I want, right? response:	Yeah.
context: So stop feeling sad.\What's so funny?\Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend.\You just took my breath away right now.\No, I can't have you feel that way about me.\You'll really tell me anything I want, right?\Yeah. response:	And promise to be frank with me.
context: What's so funny?\Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend.\You just took my breath away right now.\No, I can't have you feel that way about me.\You'll really tell me anything I want, right?\Yeah.\And promise to be frank with me. response:	Yeah.
context: Because Nana, why are you always like that cool guy?\You're more like a boyfriend to me than a female friend.\You just took my breath away right now.\No, I can't have you feel that way about me.\You'll really tell me anything I want, right?\Yeah.\And promise to be frank with me.\Yeah. response:	Do you still love Ren?
context: You're more like a boyfriend to me than a female friend.\You just took my breath away right now.\No, I can't have you feel that way about me.\You'll really tell me anything I want, right?\Yeah.\And promise to be frank with me.\Yeah.\Do you still love Ren? response:	You knew.
context: You just took my breath away right now.\No, I can't have you feel that way about me.\You'll really tell me anything I want, right?\Yeah.\And promise to be frank with me.\Yeah.\Do you still love Ren?\You knew. response:	I'm sorry. Acting as if I didn't know. But...
context: No, I can't have you feel that way about me.\You'll really tell me anything I want, right?\Yeah.\And promise to be frank with me.\Yeah.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But... response:	You brought me here knowing, right?
context: You'll really tell me anything I want, right?\Yeah.\And promise to be frank with me.\Yeah.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right? response:	Thank you.
context: Yeah.\And promise to be frank with me.\Yeah.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right?\Thank you. response:	Nana.
context: And promise to be frank with me.\Yeah.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right?\Thank you.\Nana. response:	Nana, I wanna buy a pamphlet and stuff. What about you?
context: Yeah.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But...\You brought me here knowing, right?\Thank you.\Nana.\Nana, I wanna buy a pamphlet and stuff. What about you? response:	I'll have a smoke and then go to my seat.
