context: Another unusable batch retrieved from Vega. response:	The warp transport deteriorated the Rare Iguras. They're completely ruined.
context: That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself!\What disaster?\Excuse me, but what is this?\Just relax and accept whatever you see.\He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat, response:	and defeated an enemy.
context: I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself!\What disaster?\Excuse me, but what is this?\Just relax and accept whatever you see.\He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat,\and defeated an enemy. response:	Memories of Aquarion sleep deep inside him.
context: We would only cause the disaster to repeat itself!\What disaster?\Excuse me, but what is this?\Just relax and accept whatever you see.\He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat,\and defeated an enemy.\Memories of Aquarion sleep deep inside him. response:	Light level falling to 20000 and stabilizing.
context: What disaster?\Excuse me, but what is this?\Just relax and accept whatever you see.\He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat,\and defeated an enemy.\Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing. response:	Confirmed.
context: Excuse me, but what is this?\Just relax and accept whatever you see.\He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat,\and defeated an enemy.\Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing.\Confirmed. response:	The waveform is going from magenta to cyan.
context: Just relax and accept whatever you see.\He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat,\and defeated an enemy.\Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing.\Confirmed.\The waveform is going from magenta to cyan. response:	No! Wait! Don't leave me behind!
context: He called out Aquarion's true name,\controlled Evol, an unknown machine, in his first combat,\and defeated an enemy.\Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing.\Confirmed.\The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind! response:	No! Stop! Don't be scared!
context: controlled Evol, an unknown machine, in his first combat,\and defeated an enemy.\Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing.\Confirmed.\The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind!\No! Stop! Don't be scared! response:	No!
context: and defeated an enemy.\Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing.\Confirmed.\The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind!\No! Stop! Don't be scared!\No! response:	Don't go away!
context: Memories of Aquarion sleep deep inside him.\Light level falling to 20000 and stabilizing.\Confirmed.\The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind!\No! Stop! Don't be scared!\No!\Don't go away! response:	Oh no! Emergency halt!
context: Light level falling to 20000 and stabilizing.\Confirmed.\The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind!\No! Stop! Don't be scared!\No!\Don't go away!\Oh no! Emergency halt! response:	What just happened?
context: Confirmed.\The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind!\No! Stop! Don't be scared!\No!\Don't go away!\Oh no! Emergency halt!\What just happened? response:	It looks like something is interfering with the scanner!
context: The waveform is going from magenta to cyan.\No! Wait! Don't leave me behind!\No! Stop! Don't be scared!\No!\Don't go away!\Oh no! Emergency halt!\What just happened?\It looks like something is interfering with the scanner! response:	As a result, further mental probing is impossible!
context: No! Wait! Don't leave me behind!\No! Stop! Don't be scared!\No!\Don't go away!\Oh no! Emergency halt!\What just happened?\It looks like something is interfering with the scanner!\As a result, further mental probing is impossible! response:	Interfering?
context: No! Stop! Don't be scared!\No!\Don't go away!\Oh no! Emergency halt!\What just happened?\It looks like something is interfering with the scanner!\As a result, further mental probing is impossible!\Interfering? response:	Did you hear about the Union between boys and girls?!
context: No!\Don't go away!\Oh no! Emergency halt!\What just happened?\It looks like something is interfering with the scanner!\As a result, further mental probing is impossible!\Interfering?\Did you hear about the Union between boys and girls?! response:	Yeah! Zessica was in it!
context: Don't go away!\Oh no! Emergency halt!\What just happened?\It looks like something is interfering with the scanner!\As a result, further mental probing is impossible!\Interfering?\Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it! response:	But only the skirts are short.
context: Oh no! Emergency halt!\What just happened?\It looks like something is interfering with the scanner!\As a result, further mental probing is impossible!\Interfering?\Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it!\But only the skirts are short. response:	You're amazing, Zessica!
context: What just happened?\It looks like something is interfering with the scanner!\As a result, further mental probing is impossible!\Interfering?\Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it!\But only the skirts are short.\You're amazing, Zessica! response:	You got to Union with boys! I'm so jealous!
context: It looks like something is interfering with the scanner!\As a result, further mental probing is impossible!\Interfering?\Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it!\But only the skirts are short.\You're amazing, Zessica!\You got to Union with boys! I'm so jealous! response:	And with Cayenne, too!
context: As a result, further mental probing is impossible!\Interfering?\Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it!\But only the skirts are short.\You're amazing, Zessica!\You got to Union with boys! I'm so jealous!\And with Cayenne, too! response:	I know Cayenne's always number two in everything,
context: Interfering?\Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it!\But only the skirts are short.\You're amazing, Zessica!\You got to Union with boys! I'm so jealous!\And with Cayenne, too!\I know Cayenne's always number two in everything, response:	but he's so cool!
context: Did you hear about the Union between boys and girls?!\Yeah! Zessica was in it!\But only the skirts are short.\You're amazing, Zessica!\You got to Union with boys! I'm so jealous!\And with Cayenne, too!\I know Cayenne's always number two in everything,\but he's so cool! response:	I'm a Shrade fan, but they never let him into the mock battles.
context: Yeah! Zessica was in it!\But only the skirts are short.\You're amazing, Zessica!\You got to Union with boys! I'm so jealous!\And with Cayenne, too!\I know Cayenne's always number two in everything,\but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles. response:	Don't worry, we'll get to leave soon.
context: But only the skirts are short.\You're amazing, Zessica!\You got to Union with boys! I'm so jealous!\And with Cayenne, too!\I know Cayenne's always number two in everything,\but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon. response:	They'll examine me and discover I don't have any Element powers.
context: You're amazing, Zessica!\You got to Union with boys! I'm so jealous!\And with Cayenne, too!\I know Cayenne's always number two in everything,\but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers. response:	All the other girls here have Element powers.
context: You got to Union with boys! I'm so jealous!\And with Cayenne, too!\I know Cayenne's always number two in everything,\but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers. response:	So how did Union with a boy feel?
context: And with Cayenne, too!\I know Cayenne's always number two in everything,\but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers.\So how did Union with a boy feel? response:	It was definitely more... intense?
context: I know Cayenne's always number two in everything,\but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers.\So how did Union with a boy feel?\It was definitely more... intense? response:	I knew it! Totally called it!
context: but he's so cool!\I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers.\So how did Union with a boy feel?\It was definitely more... intense?\I knew it! Totally called it! response:	I wanna do Union with a boy too!
context: I'm a Shrade fan, but they never let him into the mock battles.\Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers.\So how did Union with a boy feel?\It was definitely more... intense?\I knew it! Totally called it!\I wanna do Union with a boy too! response:	No wait, I'd settle for just meeting Cayenne!
context: Don't worry, we'll get to leave soon.\They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers.\So how did Union with a boy feel?\It was definitely more... intense?\I knew it! Totally called it!\I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne! response:	If only the Berlin would fall down!
context: They'll examine me and discover I don't have any Element powers.\All the other girls here have Element powers.\So how did Union with a boy feel?\It was definitely more... intense?\I knew it! Totally called it!\I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down! response:	Enough!
context: All the other girls here have Element powers.\So how did Union with a boy feel?\It was definitely more... intense?\I knew it! Totally called it!\I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down!\Enough! response:	The Berlin is very important! It's there to protect us!
context: So how did Union with a boy feel?\It was definitely more... intense?\I knew it! Totally called it!\I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down!\Enough!\The Berlin is very important! It's there to protect us! response:	We need it! We couldn't possibly be without it!
context: It was definitely more... intense?\I knew it! Totally called it!\I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down!\Enough!\The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it! response:	Aww...
context: I knew it! Totally called it!\I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down!\Enough!\The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it!\Aww... response:	Come on, Mix, lighten up a
context: I wanna do Union with a boy too!\No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down!\Enough!\The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it!\Aww...\Come on, Mix, lighten up a response:	Quiet!
context: No wait, I'd settle for just meeting Cayenne!\If only the Berlin would fall down!\Enough!\The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it!\Aww...\Come on, Mix, lighten up a\Quiet! response:	You've been tainted by those boys!
context: If only the Berlin would fall down!\Enough!\The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it!\Aww...\Come on, Mix, lighten up a\Quiet!\You've been tainted by those boys! response:	What?
context: Enough!\The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it!\Aww...\Come on, Mix, lighten up a\Quiet!\You've been tainted by those boys!\What? response:	Tainted? Are you saying Cayenne is tainted?
context: The Berlin is very important! It's there to protect us!\We need it! We couldn't possibly be without it!\Aww...\Come on, Mix, lighten up a\Quiet!\You've been tainted by those boys!\What?\Tainted? Are you saying Cayenne is tainted? response:	You fools.
context: We need it! We couldn't possibly be without it!\Aww...\Come on, Mix, lighten up a\Quiet!\You've been tainted by those boys!\What?\Tainted? Are you saying Cayenne is tainted?\You fools. response:	Mikono Suzushiro!
context: Aww...\Come on, Mix, lighten up a\Quiet!\You've been tainted by those boys!\What?\Tainted? Are you saying Cayenne is tainted?\You fools.\Mikono Suzushiro! response:	Did she say Suzushiro?
context: Come on, Mix, lighten up a\Quiet!\You've been tainted by those boys!\What?\Tainted? Are you saying Cayenne is tainted?\You fools.\Mikono Suzushiro!\Did she say Suzushiro? response:	She's Cayenne Suzushiro's sister?
context: Quiet!\You've been tainted by those boys!\What?\Tainted? Are you saying Cayenne is tainted?\You fools.\Mikono Suzushiro!\Did she say Suzushiro?\She's Cayenne Suzushiro's sister? response:	No way!
context: You've been tainted by those boys!\What?\Tainted? Are you saying Cayenne is tainted?\You fools.\Mikono Suzushiro!\Did she say Suzushiro?\She's Cayenne Suzushiro's sister?\No way! response:	Mikono! Tell them how even your brother is tainted!
context: What?\Tainted? Are you saying Cayenne is tainted?\You fools.\Mikono Suzushiro!\Did she say Suzushiro?\She's Cayenne Suzushiro's sister?\No way!\Mikono! Tell them how even your brother is tainted! response:	Maybe he keeps porn mags under his bed, or...
context: Tainted? Are you saying Cayenne is tainted?\You fools.\Mikono Suzushiro!\Did she say Suzushiro?\She's Cayenne Suzushiro's sister?\No way!\Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or... response:	I don't know.
context: You fools.\Mikono Suzushiro!\Did she say Suzushiro?\She's Cayenne Suzushiro's sister?\No way!\Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or...\I don't know. response:	I don't live with Cayenne anymore.
context: Mikono Suzushiro!\Did she say Suzushiro?\She's Cayenne Suzushiro's sister?\No way!\Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or...\I don't know.\I don't live with Cayenne anymore. response:	What do you mean?
context: Did she say Suzushiro?\She's Cayenne Suzushiro's sister?\No way!\Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or...\I don't know.\I don't live with Cayenne anymore.\What do you mean? response:	You're a Suzushiro. You have an Element power, don't you?
context: She's Cayenne Suzushiro's sister?\No way!\Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or...\I don't know.\I don't live with Cayenne anymore.\What do you mean?\You're a Suzushiro. You have an Element power, don't you? response:	Sibling Elements usually have a naturally high telepathic resonance.
context: No way!\Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or...\I don't know.\I don't live with Cayenne anymore.\What do you mean?\You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance. response:	Even if you're apart, you should be able to tell through
context: Mikono! Tell them how even your brother is tainted!\Maybe he keeps porn mags under his bed, or...\I don't know.\I don't live with Cayenne anymore.\What do you mean?\You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through response:	I can't!
context: Maybe he keeps porn mags under his bed, or...\I don't know.\I don't live with Cayenne anymore.\What do you mean?\You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through\I can't! response:	I can't tell.
context: I don't know.\I don't live with Cayenne anymore.\What do you mean?\You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through\I can't!\I can't tell. response:	I'm not like Cayenne.
context: I don't live with Cayenne anymore.\What do you mean?\You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through\I can't!\I can't tell.\I'm not like Cayenne. response:	I'm just useless.
context: What do you mean?\You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through\I can't!\I can't tell.\I'm not like Cayenne.\I'm just useless. response:	A Serenade of Regret.
context: You're a Suzushiro. You have an Element power, don't you?\Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through\I can't!\I can't tell.\I'm not like Cayenne.\I'm just useless.\A Serenade of Regret. response:	Mikono's on the other side of that wall.
context: Sibling Elements usually have a naturally high telepathic resonance.\Even if you're apart, you should be able to tell through\I can't!\I can't tell.\I'm not like Cayenne.\I'm just useless.\A Serenade of Regret.\Mikono's on the other side of that wall. response:	She's so close, but they won't even let me see her.
context: Even if you're apart, you should be able to tell through\I can't!\I can't tell.\I'm not like Cayenne.\I'm just useless.\A Serenade of Regret.\Mikono's on the other side of that wall.\She's so close, but they won't even let me see her. response:	A piano?
context: I can't!\I can't tell.\I'm not like Cayenne.\I'm just useless.\A Serenade of Regret.\Mikono's on the other side of that wall.\She's so close, but they won't even let me see her.\A piano? response:	It's coming from over there.
context: I can't tell.\I'm not like Cayenne.\I'm just useless.\A Serenade of Regret.\Mikono's on the other side of that wall.\She's so close, but they won't even let me see her.\A piano?\It's coming from over there. response:	Who's there?
context: I'm not like Cayenne.\I'm just useless.\A Serenade of Regret.\Mikono's on the other side of that wall.\She's so close, but they won't even let me see her.\A piano?\It's coming from over there.\Who's there? response:	Well, well. You're the new kid everyone's talking about.
context: I'm just useless.\A Serenade of Regret.\Mikono's on the other side of that wall.\She's so close, but they won't even let me see her.\A piano?\It's coming from over there.\Who's there?\Well, well. You're the new kid everyone's talking about. response:	Dig in.
context: A Serenade of Regret.\Mikono's on the other side of that wall.\She's so close, but they won't even let me see her.\A piano?\It's coming from over there.\Who's there?\Well, well. You're the new kid everyone's talking about.\Dig in. response:	Nothing like sharing a meal in a hole.
context: Mikono's on the other side of that wall.\She's so close, but they won't even let me see her.\A piano?\It's coming from over there.\Who's there?\Well, well. You're the new kid everyone's talking about.\Dig in.\Nothing like sharing a meal in a hole. response:	Uh, thanks.
context: She's so close, but they won't even let me see her.\A piano?\It's coming from over there.\Who's there?\Well, well. You're the new kid everyone's talking about.\Dig in.\Nothing like sharing a meal in a hole.\Uh, thanks. response:	So why is there a hole here?
context: A piano?\It's coming from over there.\Who's there?\Well, well. You're the new kid everyone's talking about.\Dig in.\Nothing like sharing a meal in a hole.\Uh, thanks.\So why is there a hole here? response:	It's the road to hope!
context: It's coming from over there.\Who's there?\Well, well. You're the new kid everyone's talking about.\Dig in.\Nothing like sharing a meal in a hole.\Uh, thanks.\So why is there a hole here?\It's the road to hope! response:	Hope? Uh, okay... did you dig this by yourself?
context: Who's there?\Well, well. You're the new kid everyone's talking about.\Dig in.\Nothing like sharing a meal in a hole.\Uh, thanks.\So why is there a hole here?\It's the road to hope!\Hope? Uh, okay... did you dig this by yourself? response:	There it is.
context: Well, well. You're the new kid everyone's talking about.\Dig in.\Nothing like sharing a meal in a hole.\Uh, thanks.\So why is there a hole here?\It's the road to hope!\Hope? Uh, okay... did you dig this by yourself?\There it is. response:	Did you just... feel the earth?
context: Dig in.\Nothing like sharing a meal in a hole.\Uh, thanks.\So why is there a hole here?\It's the road to hope!\Hope? Uh, okay... did you dig this by yourself?\There it is.\Did you just... feel the earth? response:	Yep. That's my Element power.
context: Nothing like sharing a meal in a hole.\Uh, thanks.\So why is there a hole here?\It's the road to hope!\Hope? Uh, okay... did you dig this by yourself?\There it is.\Did you just... feel the earth?\Yep. That's my Element power. response:	Your Element power?
context: Uh, thanks.\So why is there a hole here?\It's the road to hope!\Hope? Uh, okay... did you dig this by yourself?\There it is.\Did you just... feel the earth?\Yep. That's my Element power.\Your Element power? response:	Not just dirt, either.
context: So why is there a hole here?\It's the road to hope!\Hope? Uh, okay... did you dig this by yourself?\There it is.\Did you just... feel the earth?\Yep. That's my Element power.\Your Element power?\Not just dirt, either. response:	Whatever it's made of, it has a weak point.
context: It's the road to hope!\Hope? Uh, okay... did you dig this by yourself?\There it is.\Did you just... feel the earth?\Yep. That's my Element power.\Your Element power?\Not just dirt, either.\Whatever it's made of, it has a weak point. response:	Just begging somebody to dig a hole in it!
context: Hope? Uh, okay... did you dig this by yourself?\There it is.\Did you just... feel the earth?\Yep. That's my Element power.\Your Element power?\Not just dirt, either.\Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it! response:	My power is to find those spots and grant them their desire!
context: There it is.\Did you just... feel the earth?\Yep. That's my Element power.\Your Element power?\Not just dirt, either.\Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire! response:	So it's not just me here.
context: Did you just... feel the earth?\Yep. That's my Element power.\Your Element power?\Not just dirt, either.\Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire!\So it's not just me here. response:	Come on! Let's dig and dig until we've got ourselves a tunnel!
context: Yep. That's my Element power.\Your Element power?\Not just dirt, either.\Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire!\So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel! response:	And then we'll thrust our way into the girls' side!
context: Your Element power?\Not just dirt, either.\Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire!\So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side! response:	The girls' side? That's where this hole goes?
context: Not just dirt, either.\Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire!\So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes? response:	I do... I think.
context: Whatever it's made of, it has a weak point.\Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire!\So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes?\I do... I think. response:	I'm so glad someone's with me on this!
context: Just begging somebody to dig a hole in it!\My power is to find those spots and grant them their desire!\So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes?\I do... I think.\I'm so glad someone's with me on this! response:	My name is Andy W. Hol.
context: My power is to find those spots and grant them their desire!\So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes?\I do... I think.\I'm so glad someone's with me on this!\My name is Andy W. Hol. response:	We are now officially digging bros!
context: So it's not just me here.\Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes?\I do... I think.\I'm so glad someone's with me on this!\My name is Andy W. Hol.\We are now officially digging bros! response:	Digging bros?
context: Come on! Let's dig and dig until we've got ourselves a tunnel!\And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes?\I do... I think.\I'm so glad someone's with me on this!\My name is Andy W. Hol.\We are now officially digging bros!\Digging bros? response:	Come on, Bro! Let's dig!
context: And then we'll thrust our way into the girls' side!\The girls' side? That's where this hole goes?\I do... I think.\I'm so glad someone's with me on this!\My name is Andy W. Hol.\We are now officially digging bros!\Digging bros?\Come on, Bro! Let's dig! response:	What a beautiful song.
context: The girls' side? That's where this hole goes?\I do... I think.\I'm so glad someone's with me on this!\My name is Andy W. Hol.\We are now officially digging bros!\Digging bros?\Come on, Bro! Let's dig!\What a beautiful song. response:	Amata... I hope he's somewhere here.
context: I do... I think.\I'm so glad someone's with me on this!\My name is Andy W. Hol.\We are now officially digging bros!\Digging bros?\Come on, Bro! Let's dig!\What a beautiful song.\Amata... I hope he's somewhere here. response:	He must be.
context: I'm so glad someone's with me on this!\My name is Andy W. Hol.\We are now officially digging bros!\Digging bros?\Come on, Bro! Let's dig!\What a beautiful song.\Amata... I hope he's somewhere here.\He must be. response:	It felt so natural to talk to him.
context: My name is Andy W. Hol.\We are now officially digging bros!\Digging bros?\Come on, Bro! Let's dig!\What a beautiful song.\Amata... I hope he's somewhere here.\He must be.\It felt so natural to talk to him. response:	I've never felt so close to anyone before.
context: We are now officially digging bros!\Digging bros?\Come on, Bro! Let's dig!\What a beautiful song.\Amata... I hope he's somewhere here.\He must be.\It felt so natural to talk to him.\I've never felt so close to anyone before. response:	But I was wrong.
context: Digging bros?\Come on, Bro! Let's dig!\What a beautiful song.\Amata... I hope he's somewhere here.\He must be.\It felt so natural to talk to him.\I've never felt so close to anyone before.\But I was wrong. response:	Amata was chosen.
context: Come on, Bro! Let's dig!\What a beautiful song.\Amata... I hope he's somewhere here.\He must be.\It felt so natural to talk to him.\I've never felt so close to anyone before.\But I was wrong.\Amata was chosen. response:	And I...
context: What a beautiful song.\Amata... I hope he's somewhere here.\He must be.\It felt so natural to talk to him.\I've never felt so close to anyone before.\But I was wrong.\Amata was chosen.\And I... response:	And so we thrust our way in!
context: Amata... I hope he's somewhere here.\He must be.\It felt so natural to talk to him.\I've never felt so close to anyone before.\But I was wrong.\Amata was chosen.\And I...\And so we thrust our way in! response:	We did it, Bro!
context: He must be.\It felt so natural to talk to him.\I've never felt so close to anyone before.\But I was wrong.\Amata was chosen.\And I...\And so we thrust our way in!\We did it, Bro! response:	Amata?
context: It felt so natural to talk to him.\I've never felt so close to anyone before.\But I was wrong.\Amata was chosen.\And I...\And so we thrust our way in!\We did it, Bro!\Amata? response:	Mikono.
context: I've never felt so close to anyone before.\But I was wrong.\Amata was chosen.\And I...\And so we thrust our way in!\We did it, Bro!\Amata?\Mikono. response:	No! Let me down!
context: But I was wrong.\Amata was chosen.\And I...\And so we thrust our way in!\We did it, Bro!\Amata?\Mikono.\No! Let me down! response:	Mikono! Stop squirming!
context: Amata was chosen.\And I...\And so we thrust our way in!\We did it, Bro!\Amata?\Mikono.\No! Let me down!\Mikono! Stop squirming! response:	Let go! Let go!
context: And I...\And so we thrust our way in!\We did it, Bro!\Amata?\Mikono.\No! Let me down!\Mikono! Stop squirming!\Let go! Let go! response:	I didn't expect you to dig that deep.
context: And so we thrust our way in!\We did it, Bro!\Amata?\Mikono.\No! Let me down!\Mikono! Stop squirming!\Let go! Let go!\I didn't expect you to dig that deep. response:	You're something else, man.
context: We did it, Bro!\Amata?\Mikono.\No! Let me down!\Mikono! Stop squirming!\Let go! Let go!\I didn't expect you to dig that deep.\You're something else, man. response:	That's not what I...
context: Amata?\Mikono.\No! Let me down!\Mikono! Stop squirming!\Let go! Let go!\I didn't expect you to dig that deep.\You're something else, man.\That's not what I... response:	Amata, you creep!
context: Mikono.\No! Let me down!\Mikono! Stop squirming!\Let go! Let go!\I didn't expect you to dig that deep.\You're something else, man.\That's not what I...\Amata, you creep! response:	Mikono!
context: No! Let me down!\Mikono! Stop squirming!\Let go! Let go!\I didn't expect you to dig that deep.\You're something else, man.\That's not what I...\Amata, you creep!\Mikono! response:	Hey, don't let it get you down. It happens to everybody.
context: Mikono! Stop squirming!\Let go! Let go!\I didn't expect you to dig that deep.\You're something else, man.\That's not what I...\Amata, you creep!\Mikono!\Hey, don't let it get you down. It happens to everybody. response:	You get your head stuck in a skirt, and you fly around a...
context: Let go! Let go!\I didn't expect you to dig that deep.\You're something else, man.\That's not what I...\Amata, you creep!\Mikono!\Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a... response:	Damn! Let's split, Bro!
context: I didn't expect you to dig that deep.\You're something else, man.\That's not what I...\Amata, you creep!\Mikono!\Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro! response:	It's time for our monthly public exhibition mock battle!
context: You're something else, man.\That's not what I...\Amata, you creep!\Mikono!\Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle! response:	The Elements will be Andy W. Hol...
context: That's not what I...\Amata, you creep!\Mikono!\Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle!\The Elements will be Andy W. Hol... response:	Cayenne Suzushiro...
context: Amata, you creep!\Mikono!\Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle!\The Elements will be Andy W. Hol...\Cayenne Suzushiro... response:	And as the head, new student Amata Sora!
context: Mikono!\Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle!\The Elements will be Andy W. Hol...\Cayenne Suzushiro...\And as the head, new student Amata Sora! response:	Not Cayenne?
context: Hey, don't let it get you down. It happens to everybody.\You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle!\The Elements will be Andy W. Hol...\Cayenne Suzushiro...\And as the head, new student Amata Sora!\Not Cayenne? response:	What's going on?
context: You get your head stuck in a skirt, and you fly around a...\Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle!\The Elements will be Andy W. Hol...\Cayenne Suzushiro...\And as the head, new student Amata Sora!\Not Cayenne?\What's going on? response:	I can't believe I did that to Mikono.
context: Damn! Let's split, Bro!\It's time for our monthly public exhibition mock battle!\The Elements will be Andy W. Hol...\Cayenne Suzushiro...\And as the head, new student Amata Sora!\Not Cayenne?\What's going on?\I can't believe I did that to Mikono. response:	But it wasn't on purpose.
