context: We have reports of crustal movement and abnormal weather all over the world! response:	The breaking of the seal on the Legendary Aquarion is affecting the whole planet.
context: That's how we came to know each other!\Why does he keep doing the same pointless move?\And why does it feel so familiar?\Amata, I've been waiting so long to see you again.\You've grown.\It's too late for that now! After you left me behind!\Do you know how I've felt all these years?\And after all this time, you call me... response:	Amata...
context: Why does he keep doing the same pointless move?\And why does it feel so familiar?\Amata, I've been waiting so long to see you again.\You've grown.\It's too late for that now! After you left me behind!\Do you know how I've felt all these years?\And after all this time, you call me...\Amata... response:	I can't ask you to forgive me.
context: And why does it feel so familiar?\Amata, I've been waiting so long to see you again.\You've grown.\It's too late for that now! After you left me behind!\Do you know how I've felt all these years?\And after all this time, you call me...\Amata...\I can't ask you to forgive me. response:	But I have to tell you...
context: Amata, I've been waiting so long to see you again.\You've grown.\It's too late for that now! After you left me behind!\Do you know how I've felt all these years?\And after all this time, you call me...\Amata...\I can't ask you to forgive me.\But I have to tell you... response:	Why I had to leave you.
context: You've grown.\It's too late for that now! After you left me behind!\Do you know how I've felt all these years?\And after all this time, you call me...\Amata...\I can't ask you to forgive me.\But I have to tell you...\Why I had to leave you. response:	And about your father.
context: It's too late for that now! After you left me behind!\Do you know how I've felt all these years?\And after all this time, you call me...\Amata...\I can't ask you to forgive me.\But I have to tell you...\Why I had to leave you.\And about your father. response:	Your father isn't an Earthling.
context: Do you know how I've felt all these years?\And after all this time, you call me...\Amata...\I can't ask you to forgive me.\But I have to tell you...\Why I had to leave you.\And about your father.\Your father isn't an Earthling. response:	He's Izumo Kamurogi, the commander of Altair.
context: And after all this time, you call me...\Amata...\I can't ask you to forgive me.\But I have to tell you...\Why I had to leave you.\And about your father.\Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair. response:	Him?
context: Amata...\I can't ask you to forgive me.\But I have to tell you...\Why I had to leave you.\And about your father.\Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair.\Him? response:	I cannot afford to lose.
context: I can't ask you to forgive me.\But I have to tell you...\Why I had to leave you.\And about your father.\Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair.\Him?\I cannot afford to lose. response:	I must put an end to the curse of Eve! The Rare Igura's tragedy!
context: But I have to tell you...\Why I had to leave you.\And about your father.\Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair.\Him?\I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy! response:	Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.
context: Why I had to leave you.\And about your father.\Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair.\Him?\I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel. response:	He arrived back when I was an actress.
context: And about your father.\Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair.\Him?\I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress. response:	My machine malfunctioned and I crashed on Vega. She saved my life.
context: Your father isn't an Earthling.\He's Izumo Kamurogi, the commander of Altair.\Him?\I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life. response:	It didn't take me long to realize Alicia was the Rare Igura we wanted.
context: He's Izumo Kamurogi, the commander of Altair.\Him?\I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted. response:	But...
context: Him?\I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted.\But... response:	It took even less time for us to fall in love.
context: I cannot afford to lose.\I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted.\But...\It took even less time for us to fall in love. response:	I'm in no position to judge Kagura.
context: I must put an end to the curse of Eve! The Rare Igura's tragedy!\Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted.\But...\It took even less time for us to fall in love.\I'm in no position to judge Kagura. response:	I almost betrayed Altair once myself, for a single woman.
context: Your father came to Earth on a mission to find a woman who could withstand interdimensional travel.\He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted.\But...\It took even less time for us to fall in love.\I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman. response:	I kept her a secret from command, and we returned to Altair.
context: He arrived back when I was an actress.\My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted.\But...\It took even less time for us to fall in love.\I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair. response:	But I couldn't keep it from Mikage.
context: My machine malfunctioned and I crashed on Vega. She saved my life.\It didn't take me long to realize Alicia was the Rare Igura we wanted.\But...\It took even less time for us to fall in love.\I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage. response:	He came back some years later. By then, I had you.
context: It didn't take me long to realize Alicia was the Rare Igura we wanted.\But...\It took even less time for us to fall in love.\I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage.\He came back some years later. By then, I had you. response:	But when he told me about the curse of Eve...
context: But...\It took even less time for us to fall in love.\I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage.\He came back some years later. By then, I had you.\But when he told me about the curse of Eve... response:	I'll come.
context: It took even less time for us to fall in love.\I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage.\He came back some years later. By then, I had you.\But when he told me about the curse of Eve...\I'll come. response:	Are you sure? We don't know what will happen to a Rare Igura there.
context: I'm in no position to judge Kagura.\I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage.\He came back some years later. By then, I had you.\But when he told me about the curse of Eve...\I'll come.\Are you sure? We don't know what will happen to a Rare Igura there. response:	If it'll help you, I'm sure.
context: I almost betrayed Altair once myself, for a single woman.\I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage.\He came back some years later. By then, I had you.\But when he told me about the curse of Eve...\I'll come.\Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure. response:	Alicia...
context: I kept her a secret from command, and we returned to Altair.\But I couldn't keep it from Mikage.\He came back some years later. By then, I had you.\But when he told me about the curse of Eve...\I'll come.\Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure.\Alicia... response:	It was hard to decide whether I should take you.
context: But I couldn't keep it from Mikage.\He came back some years later. By then, I had you.\But when he told me about the curse of Eve...\I'll come.\Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure.\Alicia...\It was hard to decide whether I should take you. response:	In the end, I was more worried that you would be in danger on a strange, unknown world.
context: He came back some years later. By then, I had you.\But when he told me about the curse of Eve...\I'll come.\Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure.\Alicia...\It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world. response:	I never thought we would be apart for so long.
context: But when he told me about the curse of Eve...\I'll come.\Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure.\Alicia...\It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long. response:	No, that's just an excuse. I abandoned you.
context: I'll come.\Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure.\Alicia...\It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you. response:	I wanted to help save my love's world.
context: Are you sure? We don't know what will happen to a Rare Igura there.\If it'll help you, I'm sure.\Alicia...\It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you.\I wanted to help save my love's world. response:	It was all for the man I loved, the things I loved.
context: If it'll help you, I'm sure.\Alicia...\It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you.\I wanted to help save my love's world.\It was all for the man I loved, the things I loved. response:	I've resented you all this time.
context: Alicia...\It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you.\I wanted to help save my love's world.\It was all for the man I loved, the things I loved.\I've resented you all this time. response:	But not anymore.
context: It was hard to decide whether I should take you.\In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you.\I wanted to help save my love's world.\It was all for the man I loved, the things I loved.\I've resented you all this time.\But not anymore. response:	I just hate myself from back then, when all I could do was watch you leave.
context: In the end, I was more worried that you would be in danger on a strange, unknown world.\I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you.\I wanted to help save my love's world.\It was all for the man I loved, the things I loved.\I've resented you all this time.\But not anymore.\I just hate myself from back then, when all I could do was watch you leave. response:	You were brave enough to go after your love. I wasn't.
context: I never thought we would be apart for so long.\No, that's just an excuse. I abandoned you.\I wanted to help save my love's world.\It was all for the man I loved, the things I loved.\I've resented you all this time.\But not anymore.\I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't. response:	That's all there is to it, Mom.
context: No, that's just an excuse. I abandoned you.\I wanted to help save my love's world.\It was all for the man I loved, the things I loved.\I've resented you all this time.\But not anymore.\I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom. response:	Amata...
context: I wanted to help save my love's world.\It was all for the man I loved, the things I loved.\I've resented you all this time.\But not anymore.\I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom.\Amata... response:	Just give it up already, Izumo!
context: It was all for the man I loved, the things I loved.\I've resented you all this time.\But not anymore.\I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom.\Amata...\Just give it up already, Izumo! response:	I cannot lose! I will not let Alicia's sacrifice go to waste!
context: I've resented you all this time.\But not anymore.\I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom.\Amata...\Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste! response:	The Legendary Aquarion is fighting!
context: But not anymore.\I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom.\Amata...\Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting! response:	That's Izumo and the other you.
context: I just hate myself from back then, when all I could do was watch you leave.\You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom.\Amata...\Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting!\That's Izumo and the other you. response:	Kagura?
context: You were brave enough to go after your love. I wasn't.\That's all there is to it, Mom.\Amata...\Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting!\That's Izumo and the other you.\Kagura? response:	Ianthe, created by my mother Oriza!
context: That's all there is to it, Mom.\Amata...\Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting!\That's Izumo and the other you.\Kagura?\Ianthe, created by my mother Oriza! response:	What?
context: Amata...\Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting!\That's Izumo and the other you.\Kagura?\Ianthe, created by my mother Oriza!\What? response:	Red strings?
context: Just give it up already, Izumo!\I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting!\That's Izumo and the other you.\Kagura?\Ianthe, created by my mother Oriza!\What?\Red strings? response:	He's focusing all of Altair's power into the Ahura Gnis!
context: I cannot lose! I will not let Alicia's sacrifice go to waste!\The Legendary Aquarion is fighting!\That's Izumo and the other you.\Kagura?\Ianthe, created by my mother Oriza!\What?\Red strings?\He's focusing all of Altair's power into the Ahura Gnis! response:	Altair Cannon.
context: The Legendary Aquarion is fighting!\That's Izumo and the other you.\Kagura?\Ianthe, created by my mother Oriza!\What?\Red strings?\He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon. response:	Fire.
context: That's Izumo and the other you.\Kagura?\Ianthe, created by my mother Oriza!\What?\Red strings?\He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon.\Fire. response:	What the?
context: Kagura?\Ianthe, created by my mother Oriza!\What?\Red strings?\He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon.\Fire.\What the? response:	That was the power of the planet Altair itself.
context: Ianthe, created by my mother Oriza!\What?\Red strings?\He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon.\Fire.\What the?\That was the power of the planet Altair itself. response:	Damn you, Izumo.
context: What?\Red strings?\He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon.\Fire.\What the?\That was the power of the planet Altair itself.\Damn you, Izumo. response:	That was a warning shot.
context: Red strings?\He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon.\Fire.\What the?\That was the power of the planet Altair itself.\Damn you, Izumo.\That was a warning shot. response:	Give me the true Eve...
context: He's focusing all of Altair's power into the Ahura Gnis!\Altair Cannon.\Fire.\What the?\That was the power of the planet Altair itself.\Damn you, Izumo.\That was a warning shot.\Give me the true Eve... response:	or I'll shoot for real.
context: Altair Cannon.\Fire.\What the?\That was the power of the planet Altair itself.\Damn you, Izumo.\That was a warning shot.\Give me the true Eve...\or I'll shoot for real. response:	Zessica?
context: Fire.\What the?\That was the power of the planet Altair itself.\Damn you, Izumo.\That was a warning shot.\Give me the true Eve...\or I'll shoot for real.\Zessica? response:	What?
context: What the?\That was the power of the planet Altair itself.\Damn you, Izumo.\That was a warning shot.\Give me the true Eve...\or I'll shoot for real.\Zessica?\What? response:	That's...
context: That was the power of the planet Altair itself.\Damn you, Izumo.\That was a warning shot.\Give me the true Eve...\or I'll shoot for real.\Zessica?\What?\That's... response:	Mom!
context: Damn you, Izumo.\That was a warning shot.\Give me the true Eve...\or I'll shoot for real.\Zessica?\What?\That's...\Mom! response:	No...
context: That was a warning shot.\Give me the true Eve...\or I'll shoot for real.\Zessica?\What?\That's...\Mom!\No... response:	KAGURA!
context: Give me the true Eve...\or I'll shoot for real.\Zessica?\What?\That's...\Mom!\No...\KAGURA! response:	Alicia!
context: or I'll shoot for real.\Zessica?\What?\That's...\Mom!\No...\KAGURA!\Alicia! response:	What the...
context: Zessica?\What?\That's...\Mom!\No...\KAGURA!\Alicia!\What the... response:	Now.
context: What?\That's...\Mom!\No...\KAGURA!\Alicia!\What the...\Now. response:	Feel the power of the Genesis Infinity Punch!
context: That's...\Mom!\No...\KAGURA!\Alicia!\What the...\Now.\Feel the power of the Genesis Infinity Punch! response:	Farewell, Izumo.
context: Mom!\No...\KAGURA!\Alicia!\What the...\Now.\Feel the power of the Genesis Infinity Punch!\Farewell, Izumo. response:	That power...
context: No...\KAGURA!\Alicia!\What the...\Now.\Feel the power of the Genesis Infinity Punch!\Farewell, Izumo.\That power... response:	So this was all your doing, Mikage!
context: KAGURA!\Alicia!\What the...\Now.\Feel the power of the Genesis Infinity Punch!\Farewell, Izumo.\That power...\So this was all your doing, Mikage! response:	What?
context: Alicia!\What the...\Now.\Feel the power of the Genesis Infinity Punch!\Farewell, Izumo.\That power...\So this was all your doing, Mikage!\What? response:	Silvie!
context: What the...\Now.\Feel the power of the Genesis Infinity Punch!\Farewell, Izumo.\That power...\So this was all your doing, Mikage!\What?\Silvie! response:	Alicia...
context: Now.\Feel the power of the Genesis Infinity Punch!\Farewell, Izumo.\That power...\So this was all your doing, Mikage!\What?\Silvie!\Alicia... response:	Hang on!
context: Feel the power of the Genesis Infinity Punch!\Farewell, Izumo.\That power...\So this was all your doing, Mikage!\What?\Silvie!\Alicia...\Hang on! response:	I talked to Mom.
context: Farewell, Izumo.\That power...\So this was all your doing, Mikage!\What?\Silvie!\Alicia...\Hang on!\I talked to Mom. response:	She told me about you.
context: That power...\So this was all your doing, Mikage!\What?\Silvie!\Alicia...\Hang on!\I talked to Mom.\She told me about you. response:	I see.
context: So this was all your doing, Mikage!\What?\Silvie!\Alicia...\Hang on!\I talked to Mom.\She told me about you.\I see. response:	Take me to Alicia.
context: What?\Silvie!\Alicia...\Hang on!\I talked to Mom.\She told me about you.\I see.\Take me to Alicia. response:	I can't ask you for forgiveness.
context: Silvie!\Alicia...\Hang on!\I talked to Mom.\She told me about you.\I see.\Take me to Alicia.\I can't ask you for forgiveness. response:	I took your mother from you.
context: Alicia...\Hang on!\I talked to Mom.\She told me about you.\I see.\Take me to Alicia.\I can't ask you for forgiveness.\I took your mother from you. response:	What're those?
context: Hang on!\I talked to Mom.\She told me about you.\I see.\Take me to Alicia.\I can't ask you for forgiveness.\I took your mother from you.\What're those? response:	Mayflies.
context: I talked to Mom.\She told me about you.\I see.\Take me to Alicia.\I can't ask you for forgiveness.\I took your mother from you.\What're those?\Mayflies. response:	I've only seen them once, when I was a boy.
context: She told me about you.\I see.\Take me to Alicia.\I can't ask you for forgiveness.\I took your mother from you.\What're those?\Mayflies.\I've only seen them once, when I was a boy. response:	I thought they went extinct a long time ago when the females died off.
context: I see.\Take me to Alicia.\I can't ask you for forgiveness.\I took your mother from you.\What're those?\Mayflies.\I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off. response:	Why are they back now?
context: Take me to Alicia.\I can't ask you for forgiveness.\I took your mother from you.\What're those?\Mayflies.\I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off.\Why are they back now? response:	This is Area 337.
context: I can't ask you for forgiveness.\I took your mother from you.\What're those?\Mayflies.\I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off.\Why are they back now?\This is Area 337. response:	It's where Ianthe has had the most malfunctions.
context: I took your mother from you.\What're those?\Mayflies.\I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off.\Why are they back now?\This is Area 337.\It's where Ianthe has had the most malfunctions. response:	Was Ianthe...
context: What're those?\Mayflies.\I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off.\Why are they back now?\This is Area 337.\It's where Ianthe has had the most malfunctions.\Was Ianthe... response:	Mother Earth. The goddess of the fertile land.
context: Mayflies.\I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off.\Why are they back now?\This is Area 337.\It's where Ianthe has had the most malfunctions.\Was Ianthe...\Mother Earth. The goddess of the fertile land. response:	The land that brings forth the blessing of the harvest is symbolized by a feminine figure.
context: I've only seen them once, when I was a boy.\I thought they went extinct a long time ago when the females died off.\Why are they back now?\This is Area 337.\It's where Ianthe has had the most malfunctions.\Was Ianthe...\Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure. response:	Male and female. Positive and negative.
context: I thought they went extinct a long time ago when the females died off.\Why are they back now?\This is Area 337.\It's where Ianthe has had the most malfunctions.\Was Ianthe...\Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative. response:	All of creation is ordered along these dualities.
context: Why are they back now?\This is Area 337.\It's where Ianthe has had the most malfunctions.\Was Ianthe...\Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative.\All of creation is ordered along these dualities. response:	From people to lands. From worlds to the universe itself.
context: This is Area 337.\It's where Ianthe has had the most malfunctions.\Was Ianthe...\Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative.\All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself. response:	Ianthe functioned by drawing energy from the earth.
context: It's where Ianthe has had the most malfunctions.\Was Ianthe...\Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative.\All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth. response:	Perhaps it took away the mothering power of the land as well.
context: Was Ianthe...\Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative.\All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well. response:	If so...
context: Mother Earth. The goddess of the fertile land.\The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative.\All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well.\If so... response:	All of this was because of Ianthe.
context: The land that brings forth the blessing of the harvest is symbolized by a feminine figure.\Male and female. Positive and negative.\All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well.\If so...\All of this was because of Ianthe. response:	And all I have ever done...
context: Male and female. Positive and negative.\All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well.\If so...\All of this was because of Ianthe.\And all I have ever done... response:	was for naught.
context: All of creation is ordered along these dualities.\From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well.\If so...\All of this was because of Ianthe.\And all I have ever done...\was for naught. response:	Hold on! Not when we just met!
context: From people to lands. From worlds to the universe itself.\Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well.\If so...\All of this was because of Ianthe.\And all I have ever done...\was for naught.\Hold on! Not when we just met! response:	Dad! Dad!
context: Ianthe functioned by drawing energy from the earth.\Perhaps it took away the mothering power of the land as well.\If so...\All of this was because of Ianthe.\And all I have ever done...\was for naught.\Hold on! Not when we just met!\Dad! Dad! response:	It wasn't for naught.
context: Perhaps it took away the mothering power of the land as well.\If so...\All of this was because of Ianthe.\And all I have ever done...\was for naught.\Hold on! Not when we just met!\Dad! Dad!\It wasn't for naught. response:	Mom!
context: If so...\All of this was because of Ianthe.\And all I have ever done...\was for naught.\Hold on! Not when we just met!\Dad! Dad!\It wasn't for naught.\Mom! response:	Alicia!
context: All of this was because of Ianthe.\And all I have ever done...\was for naught.\Hold on! Not when we just met!\Dad! Dad!\It wasn't for naught.\Mom!\Alicia! response:	Your life meant something.
context: And all I have ever done...\was for naught.\Hold on! Not when we just met!\Dad! Dad!\It wasn't for naught.\Mom!\Alicia!\Your life meant something. response:	There's still Amata.
context: was for naught.\Hold on! Not when we just met!\Dad! Dad!\It wasn't for naught.\Mom!\Alicia!\Your life meant something.\There's still Amata. response:	He is the hope for the two worlds.
context: Hold on! Not when we just met!\Dad! Dad!\It wasn't for naught.\Mom!\Alicia!\Your life meant something.\There's still Amata.\He is the hope for the two worlds. response:	Amata...
context: Dad! Dad!\It wasn't for naught.\Mom!\Alicia!\Your life meant something.\There's still Amata.\He is the hope for the two worlds.\Amata... response:	You are the symbol of our love.
context: It wasn't for naught.\Mom!\Alicia!\Your life meant something.\There's still Amata.\He is the hope for the two worlds.\Amata...\You are the symbol of our love. response:	Amata, you need to love too.
context: Mom!\Alicia!\Your life meant something.\There's still Amata.\He is the hope for the two worlds.\Amata...\You are the symbol of our love.\Amata, you need to love too. response:	Love the one person more precious to you than anyone else.
context: Alicia!\Your life meant something.\There's still Amata.\He is the hope for the two worlds.\Amata...\You are the symbol of our love.\Amata, you need to love too.\Love the one person more precious to you than anyone else. response:	Mom!
context: Your life meant something.\There's still Amata.\He is the hope for the two worlds.\Amata...\You are the symbol of our love.\Amata, you need to love too.\Love the one person more precious to you than anyone else.\Mom! response:	Mom!
context: There's still Amata.\He is the hope for the two worlds.\Amata...\You are the symbol of our love.\Amata, you need to love too.\Love the one person more precious to you than anyone else.\Mom!\Mom! response:	My destined smelly wench.
context: He is the hope for the two worlds.\Amata...\You are the symbol of our love.\Amata, you need to love too.\Love the one person more precious to you than anyone else.\Mom!\Mom!\My destined smelly wench. response:	I know your real name.
context: Amata...\You are the symbol of our love.\Amata, you need to love too.\Love the one person more precious to you than anyone else.\Mom!\Mom!\My destined smelly wench.\I know your real name. response:	I love you.
context: You are the symbol of our love.\Amata, you need to love too.\Love the one person more precious to you than anyone else.\Mom!\Mom!\My destined smelly wench.\I know your real name.\I love you. response:	I love you, Silvie!
context: Amata, you need to love too.\Love the one person more precious to you than anyone else.\Mom!\Mom!\My destined smelly wench.\I know your real name.\I love you.\I love you, Silvie! response:	I want to take all of you and hold you.
context: Love the one person more precious to you than anyone else.\Mom!\Mom!\My destined smelly wench.\I know your real name.\I love you.\I love you, Silvie!\I want to take all of you and hold you. response:	Next Time
context: Mom!\Mom!\My destined smelly wench.\I know your real name.\I love you.\I love you, Silvie!\I want to take all of you and hold you.\Next Time response:	Pieces of Adam
