context: Sun Mon Tue Wed Thu Fri Sat response:	Training Camp
context: You don't see those around here.\What are you doing?\Um...\I'm lost.\You're from out of town?\Yeah.\Is that thing fun?\Not really. response:	I'm just passing time.
context: What are you doing?\Um...\I'm lost.\You're from out of town?\Yeah.\Is that thing fun?\Not really.\I'm just passing time. response:	Oh...
context: Um...\I'm lost.\You're from out of town?\Yeah.\Is that thing fun?\Not really.\I'm just passing time.\Oh... response:	Are you a volleyball player?
context: I'm lost.\You're from out of town?\Yeah.\Is that thing fun?\Not really.\I'm just passing time.\Oh...\Are you a volleyball player? response:	Huh?
context: You're from out of town?\Yeah.\Is that thing fun?\Not really.\I'm just passing time.\Oh...\Are you a volleyball player?\Huh? response:	Those are volleyball shoes.
context: Yeah.\Is that thing fun?\Not really.\I'm just passing time.\Oh...\Are you a volleyball player?\Huh?\Those are volleyball shoes. response:	Oh. Yeah.
context: Is that thing fun?\Not really.\I'm just passing time.\Oh...\Are you a volleyball player?\Huh?\Those are volleyball shoes.\Oh. Yeah. response:	I'm in a volleyball club, too. I'm Hinata Shoyo.
context: Not really.\I'm just passing time.\Oh...\Are you a volleyball player?\Huh?\Those are volleyball shoes.\Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo. response:	Kozume...
context: I'm just passing time.\Oh...\Are you a volleyball player?\Huh?\Those are volleyball shoes.\Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume... response:	Kozume? That's your name?
context: Oh...\Are you a volleyball player?\Huh?\Those are volleyball shoes.\Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume...\Kozume? That's your name? response:	Kozume...
context: Are you a volleyball player?\Huh?\Those are volleyball shoes.\Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume...\Kozume? That's your name?\Kozume... response:	So you're Kenma. Are you in high school?
context: Huh?\Those are volleyball shoes.\Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume...\Kozume? That's your name?\Kozume...\So you're Kenma. Are you in high school? response:	Yeah.
context: Those are volleyball shoes.\Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume...\Kozume? That's your name?\Kozume...\So you're Kenma. Are you in high school?\Yeah. response:	What year? I'm a first-year.
context: Oh. Yeah.\I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume...\Kozume? That's your name?\Kozume...\So you're Kenma. Are you in high school?\Yeah.\What year? I'm a first-year. response:	I'm a second-year.
context: I'm in a volleyball club, too. I'm Hinata Shoyo.\Kozume...\Kozume? That's your name?\Kozume...\So you're Kenma. Are you in high school?\Yeah.\What year? I'm a first-year.\I'm a second-year. response:	Crap. You're older than me. Pardon me.
context: Kozume...\Kozume? That's your name?\Kozume...\So you're Kenma. Are you in high school?\Yeah.\What year? I'm a first-year.\I'm a second-year.\Crap. You're older than me. Pardon me. response:	Don't worry.
context: Kozume? That's your name?\Kozume...\So you're Kenma. Are you in high school?\Yeah.\What year? I'm a first-year.\I'm a second-year.\Crap. You're older than me. Pardon me.\Don't worry. response:	I don't really like that kind of status stuff in athletics.
context: Kozume...\So you're Kenma. Are you in high school?\Yeah.\What year? I'm a first-year.\I'm a second-year.\Crap. You're older than me. Pardon me.\Don't worry.\I don't really like that kind of status stuff in athletics. response:	Oh, is that so?
context: So you're Kenma. Are you in high school?\Yeah.\What year? I'm a first-year.\I'm a second-year.\Crap. You're older than me. Pardon me.\Don't worry.\I don't really like that kind of status stuff in athletics.\Oh, is that so? response:	Um... do you like volleyball?
context: Yeah.\What year? I'm a first-year.\I'm a second-year.\Crap. You're older than me. Pardon me.\Don't worry.\I don't really like that kind of status stuff in athletics.\Oh, is that so?\Um... do you like volleyball? response:	Not particularly. I kind of just do it.
context: What year? I'm a first-year.\I'm a second-year.\Crap. You're older than me. Pardon me.\Don't worry.\I don't really like that kind of status stuff in athletics.\Oh, is that so?\Um... do you like volleyball?\Not particularly. I kind of just do it. response:	I don't dislike it, but I don't like getting tired.
context: I'm a second-year.\Crap. You're older than me. Pardon me.\Don't worry.\I don't really like that kind of status stuff in athletics.\Oh, is that so?\Um... do you like volleyball?\Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired. response:	But my friends play, and they probably can't do without me.
context: Crap. You're older than me. Pardon me.\Don't worry.\I don't really like that kind of status stuff in athletics.\Oh, is that so?\Um... do you like volleyball?\Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me. response:	I think it'll be more fun if you get to like it.
context: Don't worry.\I don't really like that kind of status stuff in athletics.\Oh, is that so?\Um... do you like volleyball?\Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it. response:	I don't care.
context: I don't really like that kind of status stuff in athletics.\Oh, is that so?\Um... do you like volleyball?\Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it.\I don't care. response:	It's only while I'm in high school.
context: Oh, is that so?\Um... do you like volleyball?\Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it.\I don't care.\It's only while I'm in high school. response:	What position do you play?
context: Um... do you like volleyball?\Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it.\I don't care.\It's only while I'm in high school.\What position do you play? response:	Setter.
context: Not particularly. I kind of just do it.\I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it.\I don't care.\It's only while I'm in high school.\What position do you play?\Setter. response:	Really? You're a little different from our setter.
context: I don't dislike it, but I don't like getting tired.\But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it.\I don't care.\It's only while I'm in high school.\What position do you play?\Setter.\Really? You're a little different from our setter. response:	Our setter is a little more... intense.
context: But my friends play, and they probably can't do without me.\I think it'll be more fun if you get to like it.\I don't care.\It's only while I'm in high school.\What position do you play?\Setter.\Really? You're a little different from our setter.\Our setter is a little more... intense. response:	I'm middle blocker.
context: I think it'll be more fun if you get to like it.\I don't care.\It's only while I'm in high school.\What position do you play?\Setter.\Really? You're a little different from our setter.\Our setter is a little more... intense.\I'm middle blocker. response:	Wow...
context: I don't care.\It's only while I'm in high school.\What position do you play?\Setter.\Really? You're a little different from our setter.\Our setter is a little more... intense.\I'm middle blocker.\Wow... response:	Do you think it's kind of weird?
context: It's only while I'm in high school.\What position do you play?\Setter.\Really? You're a little different from our setter.\Our setter is a little more... intense.\I'm middle blocker.\Wow...\Do you think it's kind of weird? response:	It's a position for tall guys.
context: What position do you play?\Setter.\Really? You're a little different from our setter.\Our setter is a little more... intense.\I'm middle blocker.\Wow...\Do you think it's kind of weird?\It's a position for tall guys. response:	I guess... but I don't think that.
context: Setter.\Really? You're a little different from our setter.\Our setter is a little more... intense.\I'm middle blocker.\Wow...\Do you think it's kind of weird?\It's a position for tall guys.\I guess... but I don't think that. response:	I get told stuff a lot when I go to matches.
context: Really? You're a little different from our setter.\Our setter is a little more... intense.\I'm middle blocker.\Wow...\Do you think it's kind of weird?\It's a position for tall guys.\I guess... but I don't think that.\I get told stuff a lot when I go to matches. response:	They say: The setter position is for the most talented player, so why him?
context: Our setter is a little more... intense.\I'm middle blocker.\Wow...\Do you think it's kind of weird?\It's a position for tall guys.\I guess... but I don't think that.\I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him? response:	Because I'm not very athletic to begin with.
context: I'm middle blocker.\Wow...\Do you think it's kind of weird?\It's a position for tall guys.\I guess... but I don't think that.\I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with. response:	Oh... Is your team good?
context: Wow...\Do you think it's kind of weird?\It's a position for tall guys.\I guess... but I don't think that.\I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with.\Oh... Is your team good? response:	Well, I heard we were good a long time ago.
context: Do you think it's kind of weird?\It's a position for tall guys.\I guess... but I don't think that.\I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with.\Oh... Is your team good?\Well, I heard we were good a long time ago. response:	But we fell into decline.
context: It's a position for tall guys.\I guess... but I don't think that.\I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with.\Oh... Is your team good?\Well, I heard we were good a long time ago.\But we fell into decline. response:	Recently, though...
context: I guess... but I don't think that.\I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with.\Oh... Is your team good?\Well, I heard we were good a long time ago.\But we fell into decline.\Recently, though... response:	I think we're pretty good.
context: I get told stuff a lot when I go to matches.\They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with.\Oh... Is your team good?\Well, I heard we were good a long time ago.\But we fell into decline.\Recently, though...\I think we're pretty good. response:	What's your school?
context: They say: The setter position is for the most talented player, so why him?\Because I'm not very athletic to begin with.\Oh... Is your team good?\Well, I heard we were good a long time ago.\But we fell into decline.\Recently, though...\I think we're pretty good.\What's your school? response:	Kenma.
context: Because I'm not very athletic to begin with.\Oh... Is your team good?\Well, I heard we were good a long time ago.\But we fell into decline.\Recently, though...\I think we're pretty good.\What's your school?\Kenma. response:	Oh. Kuro.
context: Oh... Is your team good?\Well, I heard we were good a long time ago.\But we fell into decline.\Recently, though...\I think we're pretty good.\What's your school?\Kenma.\Oh. Kuro. response:	Bye.
context: Well, I heard we were good a long time ago.\But we fell into decline.\Recently, though...\I think we're pretty good.\What's your school?\Kenma.\Oh. Kuro.\Bye. response:	See you soon, Shoyo.
context: But we fell into decline.\Recently, though...\I think we're pretty good.\What's your school?\Kenma.\Oh. Kuro.\Bye.\See you soon, Shoyo. response:	Don't go wandering off by yourself.
context: Recently, though...\I think we're pretty good.\What's your school?\Kenma.\Oh. Kuro.\Bye.\See you soon, Shoyo.\Don't go wandering off by yourself. response:	Sorry.
context: I think we're pretty good.\What's your school?\Kenma.\Oh. Kuro.\Bye.\See you soon, Shoyo.\Don't go wandering off by yourself.\Sorry. response:	We're strangers to this place. You have to be careful.
context: What's your school?\Kenma.\Oh. Kuro.\Bye.\See you soon, Shoyo.\Don't go wandering off by yourself.\Sorry.\We're strangers to this place. You have to be careful. response:	See you... soon?
context: Kenma.\Oh. Kuro.\Bye.\See you soon, Shoyo.\Don't go wandering off by yourself.\Sorry.\We're strangers to this place. You have to be careful.\See you... soon? response:	Hinata.
context: Oh. Kuro.\Bye.\See you soon, Shoyo.\Don't go wandering off by yourself.\Sorry.\We're strangers to this place. You have to be careful.\See you... soon?\Hinata. response:	Man, I was looking all over.
context: Bye.\See you soon, Shoyo.\Don't go wandering off by yourself.\Sorry.\We're strangers to this place. You have to be careful.\See you... soon?\Hinata.\Man, I was looking all over. response:	I'm sorry.
context: See you soon, Shoyo.\Don't go wandering off by yourself.\Sorry.\We're strangers to this place. You have to be careful.\See you... soon?\Hinata.\Man, I was looking all over.\I'm sorry. response:	I was dashing, then got lost.
context: Don't go wandering off by yourself.\Sorry.\We're strangers to this place. You have to be careful.\See you... soon?\Hinata.\Man, I was looking all over.\I'm sorry.\I was dashing, then got lost. response:	Hinata, you go all out in every practice, don't you?
context: Sorry.\We're strangers to this place. You have to be careful.\See you... soon?\Hinata.\Man, I was looking all over.\I'm sorry.\I was dashing, then got lost.\Hinata, you go all out in every practice, don't you? response:	Yes.
context: We're strangers to this place. You have to be careful.\See you... soon?\Hinata.\Man, I was looking all over.\I'm sorry.\I was dashing, then got lost.\Hinata, you go all out in every practice, don't you?\Yes. response:	But I still need lots more training.
context: See you... soon?\Hinata.\Man, I was looking all over.\I'm sorry.\I was dashing, then got lost.\Hinata, you go all out in every practice, don't you?\Yes.\But I still need lots more training. response:	I don't have enough strength yet.
context: Hinata.\Man, I was looking all over.\I'm sorry.\I was dashing, then got lost.\Hinata, you go all out in every practice, don't you?\Yes.\But I still need lots more training.\I don't have enough strength yet. response:	It makes me mad I'm treated as a set with Kageyama,
context: Man, I was looking all over.\I'm sorry.\I was dashing, then got lost.\Hinata, you go all out in every practice, don't you?\Yes.\But I still need lots more training.\I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama, response:	and not as a full-fledged individual.
context: I'm sorry.\I was dashing, then got lost.\Hinata, you go all out in every practice, don't you?\Yes.\But I still need lots more training.\I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual. response:	Regardless, I want to play in the match.
context: I was dashing, then got lost.\Hinata, you go all out in every practice, don't you?\Yes.\But I still need lots more training.\I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual.\Regardless, I want to play in the match. response:	I want to stand on the court.
context: Hinata, you go all out in every practice, don't you?\Yes.\But I still need lots more training.\I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual.\Regardless, I want to play in the match.\I want to stand on the court. response:	Me, too.
context: Yes.\But I still need lots more training.\I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual.\Regardless, I want to play in the match.\I want to stand on the court.\Me, too. response:	I want to stand on the court, too.
context: But I still need lots more training.\I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual.\Regardless, I want to play in the match.\I want to stand on the court.\Me, too.\I want to stand on the court, too. response:	So I'm going to fight my own battles, my way.
context: I don't have enough strength yet.\It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual.\Regardless, I want to play in the match.\I want to stand on the court.\Me, too.\I want to stand on the court, too.\So I'm going to fight my own battles, my way. response:	Come on, or you'll be late for lunch.
context: It makes me mad I'm treated as a set with Kageyama,\and not as a full-fledged individual.\Regardless, I want to play in the match.\I want to stand on the court.\Me, too.\I want to stand on the court, too.\So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch. response:	Yeah.
context: and not as a full-fledged individual.\Regardless, I want to play in the match.\I want to stand on the court.\Me, too.\I want to stand on the court, too.\So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch.\Yeah. response:	Miyagi Prefecture Tsukinokizawa High School
context: Regardless, I want to play in the match.\I want to stand on the court.\Me, too.\I want to stand on the court, too.\So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch.\Yeah.\Miyagi Prefecture Tsukinokizawa High School response:	Don't you think their setter is kind of small?
context: I want to stand on the court.\Me, too.\I want to stand on the court, too.\So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch.\Yeah.\Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small? response:	Yeah, and he's kind of unsteady.
context: Me, too.\I want to stand on the court, too.\So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch.\Yeah.\Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady. response:	Maybe he's a backup setter.
context: I want to stand on the court, too.\So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch.\Yeah.\Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady.\Maybe he's a backup setter. response:	I've never heard of this school.
context: So I'm going to fight my own battles, my way.\Come on, or you'll be late for lunch.\Yeah.\Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady.\Maybe he's a backup setter.\I've never heard of this school. response:	Nekoma
context: Come on, or you'll be late for lunch.\Yeah.\Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady.\Maybe he's a backup setter.\I've never heard of this school.\Nekoma response:	That unsteady shrimp you guys are talking about
context: Yeah.\Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady.\Maybe he's a backup setter.\I've never heard of this school.\Nekoma\That unsteady shrimp you guys are talking about response:	is the backbone of Nekoma. He's our brain.
context: Miyagi Prefecture Tsukinokizawa High School\Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady.\Maybe he's a backup setter.\I've never heard of this school.\Nekoma\That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain. response:	And our heart.
context: Don't you think their setter is kind of small?\Yeah, and he's kind of unsteady.\Maybe he's a backup setter.\I've never heard of this school.\Nekoma\That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain.\And our heart. response:	Ukai-san.
context: Yeah, and he's kind of unsteady.\Maybe he's a backup setter.\I've never heard of this school.\Nekoma\That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain.\And our heart.\Ukai-san. response:	What?
context: Maybe he's a backup setter.\I've never heard of this school.\Nekoma\That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain.\And our heart.\Ukai-san.\What? response:	We third-years are done after this year.
context: I've never heard of this school.\Nekoma\That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain.\And our heart.\Ukai-san.\What?\We third-years are done after this year. response:	That's why our desire to win is double that of the others.
context: Nekoma\That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain.\And our heart.\Ukai-san.\What?\We third-years are done after this year.\That's why our desire to win is double that of the others. response:	We want the ticket that will take us to our next stage.
context: That unsteady shrimp you guys are talking about\is the backbone of Nekoma. He's our brain.\And our heart.\Ukai-san.\What?\We third-years are done after this year.\That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage. response:	If it's Kageyama who deserves that ticket more than me,
context: is the backbone of Nekoma. He's our brain.\And our heart.\Ukai-san.\What?\We third-years are done after this year.\That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me, response:	you should give it to Kageyama without a second thought.
context: And our heart.\Ukai-san.\What?\We third-years are done after this year.\That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought. response:	Daichi, Asahi, and I have been playing together since our first year.
context: Ukai-san.\What?\We third-years are done after this year.\That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year. response:	I'd like to stand on the court with them,
context: What?\We third-years are done after this year.\That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them, response:	and play as much as I am able.
context: We third-years are done after this year.\That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them,\and play as much as I am able. response:	If Kageyama gets tired, or if something happens,
context: That's why our desire to win is double that of the others.\We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them,\and play as much as I am able.\If Kageyama gets tired, or if something happens, response:	I want to fill that void, or be a substitute.
context: We want the ticket that will take us to our next stage.\If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them,\and play as much as I am able.\If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute. response:	Even if it's out of pity because I'm a third-year,
context: If it's Kageyama who deserves that ticket more than me,\you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them,\and play as much as I am able.\If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year, response:	as long as I get another chance to play in a match,
context: you should give it to Kageyama without a second thought.\Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them,\and play as much as I am able.\If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match, response:	that's all that matters.
context: Daichi, Asahi, and I have been playing together since our first year.\I'd like to stand on the court with them,\and play as much as I am able.\If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match,\that's all that matters. response:	I don't care if I'm not the official setter.
context: I'd like to stand on the court with them,\and play as much as I am able.\If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match,\that's all that matters.\I don't care if I'm not the official setter. response:	I won't give up my desire to play on the court.
context: and play as much as I am able.\If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match,\that's all that matters.\I don't care if I'm not the official setter.\I won't give up my desire to play on the court. response:	So I want as many chances as possible.
context: If Kageyama gets tired, or if something happens,\I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match,\that's all that matters.\I don't care if I'm not the official setter.\I won't give up my desire to play on the court.\So I want as many chances as possible. response:	I'm sorry for being so presumptuous.
context: I want to fill that void, or be a substitute.\Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match,\that's all that matters.\I don't care if I'm not the official setter.\I won't give up my desire to play on the court.\So I want as many chances as possible.\I'm sorry for being so presumptuous. response:	Sugawara.
context: Even if it's out of pity because I'm a third-year,\as long as I get another chance to play in a match,\that's all that matters.\I don't care if I'm not the official setter.\I won't give up my desire to play on the court.\So I want as many chances as possible.\I'm sorry for being so presumptuous.\Sugawara. response:	I think I've been underestimating you.
context: as long as I get another chance to play in a match,\that's all that matters.\I don't care if I'm not the official setter.\I won't give up my desire to play on the court.\So I want as many chances as possible.\I'm sorry for being so presumptuous.\Sugawara.\I think I've been underestimating you. response:	To be honest, I'm amazed at you right now.
context: that's all that matters.\I don't care if I'm not the official setter.\I won't give up my desire to play on the court.\So I want as many chances as possible.\I'm sorry for being so presumptuous.\Sugawara.\I think I've been underestimating you.\To be honest, I'm amazed at you right now. response:	What?
context: I don't care if I'm not the official setter.\I won't give up my desire to play on the court.\So I want as many chances as possible.\I'm sorry for being so presumptuous.\Sugawara.\I think I've been underestimating you.\To be honest, I'm amazed at you right now.\What? response:	I'm not an experienced coach yet, but...
context: I won't give up my desire to play on the court.\So I want as many chances as possible.\I'm sorry for being so presumptuous.\Sugawara.\I think I've been underestimating you.\To be honest, I'm amazed at you right now.\What?\I'm not an experienced coach yet, but... response:	I will do everything in my power so you guys can go on winning.
context: So I want as many chances as possible.\I'm sorry for being so presumptuous.\Sugawara.\I think I've been underestimating you.\To be honest, I'm amazed at you right now.\What?\I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning. response:	Thank you.
context: I'm sorry for being so presumptuous.\Sugawara.\I think I've been underestimating you.\To be honest, I'm amazed at you right now.\What?\I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning.\Thank you. response:	Yeah.
context: Sugawara.\I think I've been underestimating you.\To be honest, I'm amazed at you right now.\What?\I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning.\Thank you.\Yeah. response:	I'm going to get fired up. We'll win as many as we can.
context: I think I've been underestimating you.\To be honest, I'm amazed at you right now.\What?\I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning.\Thank you.\Yeah.\I'm going to get fired up. We'll win as many as we can. response:	Yeah.
context: To be honest, I'm amazed at you right now.\What?\I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning.\Thank you.\Yeah.\I'm going to get fired up. We'll win as many as we can.\Yeah. response:	Thank you for the food.
context: What?\I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning.\Thank you.\Yeah.\I'm going to get fired up. We'll win as many as we can.\Yeah.\Thank you for the food. response:	Where does that appetite come from?
context: I'm not an experienced coach yet, but...\I will do everything in my power so you guys can go on winning.\Thank you.\Yeah.\I'm going to get fired up. We'll win as many as we can.\Yeah.\Thank you for the food.\Where does that appetite come from? response:	Hey, eat. Eat even if you can't eat any more!
context: I will do everything in my power so you guys can go on winning.\Thank you.\Yeah.\I'm going to get fired up. We'll win as many as we can.\Yeah.\Thank you for the food.\Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more! response:	It's midsummer. Just look at you guys.
context: Thank you.\Yeah.\I'm going to get fired up. We'll win as many as we can.\Yeah.\Thank you for the food.\Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys. response:	You're eating more than usual today, Suga.
context: Yeah.\I'm going to get fired up. We'll win as many as we can.\Yeah.\Thank you for the food.\Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys.\You're eating more than usual today, Suga. response:	You'll shrivel up and croak if you don't eat!
context: I'm going to get fired up. We'll win as many as we can.\Yeah.\Thank you for the food.\Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys.\You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat! response:	You think so?
context: Yeah.\Thank you for the food.\Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys.\You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat!\You think so? response:	I'll eat a lot, and give it my all.
context: Thank you for the food.\Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys.\You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat!\You think so?\I'll eat a lot, and give it my all. response:	Yamaguchi, you're not eating that?
context: Where does that appetite come from?\Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys.\You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat!\You think so?\I'll eat a lot, and give it my all.\Yamaguchi, you're not eating that? response:	Hey! Let Yamaguchi eat his own food!
context: Hey, eat. Eat even if you can't eat any more!\It's midsummer. Just look at you guys.\You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat!\You think so?\I'll eat a lot, and give it my all.\Yamaguchi, you're not eating that?\Hey! Let Yamaguchi eat his own food! response:	For the Nekoma battle, this will be our starting order.
context: It's midsummer. Just look at you guys.\You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat!\You think so?\I'll eat a lot, and give it my all.\Yamaguchi, you're not eating that?\Hey! Let Yamaguchi eat his own food!\For the Nekoma battle, this will be our starting order. response:	WS Sawamura MB Hinata WS Tanaka WS Azumane Li Nishinoya-MB Tsukishima S Kageyama
context: You're eating more than usual today, Suga.\You'll shrivel up and croak if you don't eat!\You think so?\I'll eat a lot, and give it my all.\Yamaguchi, you're not eating that?\Hey! Let Yamaguchi eat his own food!\For the Nekoma battle, this will be our starting order.\WS Sawamura MB Hinata WS Tanaka WS Azumane Li Nishinoya-MB Tsukishima S Kageyama response:	It's a configuration you're barely used to,
context: You'll shrivel up and croak if you don't eat!\You think so?\I'll eat a lot, and give it my all.\Yamaguchi, you're not eating that?\Hey! Let Yamaguchi eat his own food!\For the Nekoma battle, this will be our starting order.\WS Sawamura MB Hinata WS Tanaka WS Azumane Li Nishinoya-MB Tsukishima S Kageyama\It's a configuration you're barely used to, response:	so I'm not expecting you to synchronize right away.
context: You think so?\I'll eat a lot, and give it my all.\Yamaguchi, you're not eating that?\Hey! Let Yamaguchi eat his own food!\For the Nekoma battle, this will be our starting order.\WS Sawamura MB Hinata WS Tanaka WS Azumane Li Nishinoya-MB Tsukishima S Kageyama\It's a configuration you're barely used to,\so I'm not expecting you to synchronize right away. response:	We now have an amazing libero, and the ace has returned,
