context: I've prepared all I can. response:	Now, I just have to do it the way I practiced.
context: All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami\To: Kanda-kun\I know this might only put pressure on you,\but I still want to say it...\You can do it!\Leave it to me!\Send response:	At least I can text her that.
context: Aoyama Nanami\To: Kanda-kun\I know this might only put pressure on you,\but I still want to say it...\You can do it!\Leave it to me!\Send\At least I can text her that. response:	I'm Kanda Sorata. Thank you for your...
context: To: Kanda-kun\I know this might only put pressure on you,\but I still want to say it...\You can do it!\Leave it to me!\Send\At least I can text her that.\I'm Kanda Sorata. Thank you for your... response:	Fujisawa.
context: I know this might only put pressure on you,\but I still want to say it...\You can do it!\Leave it to me!\Send\At least I can text her that.\I'm Kanda Sorata. Thank you for your...\Fujisawa. response:	Oh, sorry.
context: but I still want to say it...\You can do it!\Leave it to me!\Send\At least I can text her that.\I'm Kanda Sorata. Thank you for your...\Fujisawa.\Oh, sorry. response:	I've never seen anyone actually...
context: You can do it!\Leave it to me!\Send\At least I can text her that.\I'm Kanda Sorata. Thank you for your...\Fujisawa.\Oh, sorry.\I've never seen anyone actually... response:	hit their head on the mic before.
context: Leave it to me!\Send\At least I can text her that.\I'm Kanda Sorata. Thank you for your...\Fujisawa.\Oh, sorry.\I've never seen anyone actually...\hit their head on the mic before. response:	I just witnessed a rare sight.
context: Send\At least I can text her that.\I'm Kanda Sorata. Thank you for your...\Fujisawa.\Oh, sorry.\I've never seen anyone actually...\hit their head on the mic before.\I just witnessed a rare sight. response:	I-I'm sorry...
context: At least I can text her that.\I'm Kanda Sorata. Thank you for your...\Fujisawa.\Oh, sorry.\I've never seen anyone actually...\hit their head on the mic before.\I just witnessed a rare sight.\I-I'm sorry... response:	I'm telling you to not try so hard.
context: I'm Kanda Sorata. Thank you for your...\Fujisawa.\Oh, sorry.\I've never seen anyone actually...\hit their head on the mic before.\I just witnessed a rare sight.\I-I'm sorry...\I'm telling you to not try so hard. response:	I'd like to explain my Rhythm Battler pitch to you.
context: Fujisawa.\Oh, sorry.\I've never seen anyone actually...\hit their head on the mic before.\I just witnessed a rare sight.\I-I'm sorry...\I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you. response:	It's a rhythm action battle game.
context: Oh, sorry.\I've never seen anyone actually...\hit their head on the mic before.\I just witnessed a rare sight.\I-I'm sorry...\I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game. response:	Rhythm Battler
context: I've never seen anyone actually...\hit their head on the mic before.\I just witnessed a rare sight.\I-I'm sorry...\I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game.\Rhythm Battler response:	Genre: Rhythm Action Battle Game
context: hit their head on the mic before.\I just witnessed a rare sight.\I-I'm sorry...\I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game.\Rhythm Battler\Genre: Rhythm Action Battle Game response:	Players attack by pushing buttons in time with the music.
context: I just witnessed a rare sight.\I-I'm sorry...\I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game.\Rhythm Battler\Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music. response:	The goal is to defeat the enemy character before the song ends.
context: I-I'm sorry...\I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game.\Rhythm Battler\Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends. response:	Moving on, I'll explain what the controls are.
context: I'm telling you to not try so hard.\I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game.\Rhythm Battler\Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are. response:	Attack by pushing the buttons in time with the music!
context: I'd like to explain my Rhythm Battler pitch to you.\It's a rhythm action battle game.\Rhythm Battler\Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music! response:	Perform combos to achieve high scores!
context: It's a rhythm action battle game.\Rhythm Battler\Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores! response:	The combined effect of video and music makes this project unique.
context: Rhythm Battler\Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores!\The combined effect of video and music makes this project unique. response:	Once the player has completed a song, he can play back...
context: Genre: Rhythm Action Battle Game\Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores!\The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back... response:	the video and upload it as a stylish music video.
context: Players attack by pushing buttons in time with the music.\The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores!\The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back...\the video and upload it as a stylish music video. response:	Fujisawa, if you were to make this,
context: The goal is to defeat the enemy character before the song ends.\Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores!\The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back...\the video and upload it as a stylish music video.\Fujisawa, if you were to make this, response:	Recently, it has become possible to download music...
context: Moving on, I'll explain what the controls are.\Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores!\The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back...\the video and upload it as a stylish music video.\Fujisawa, if you were to make this,\Recently, it has become possible to download music... response:	how much would it cost to develop?
context: Attack by pushing the buttons in time with the music!\Perform combos to achieve high scores!\The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back...\the video and upload it as a stylish music video.\Fujisawa, if you were to make this,\Recently, it has become possible to download music...\how much would it cost to develop? response:	and video using smartphones and mobile devices.
context: Perform combos to achieve high scores!\The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back...\the video and upload it as a stylish music video.\Fujisawa, if you were to make this,\Recently, it has become possible to download music...\how much would it cost to develop?\and video using smartphones and mobile devices. response:	Well... Including debugging costs, probably around 100 million.
context: The combined effect of video and music makes this project unique.\Once the player has completed a song, he can play back...\the video and upload it as a stylish music video.\Fujisawa, if you were to make this,\Recently, it has become possible to download music...\how much would it cost to develop?\and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million. response:	What if you outsource it?
context: Once the player has completed a song, he can play back...\the video and upload it as a stylish music video.\Fujisawa, if you were to make this,\Recently, it has become possible to download music...\how much would it cost to develop?\and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million.\What if you outsource it? response:	Individuals can also easily upload...
context: the video and upload it as a stylish music video.\Fujisawa, if you were to make this,\Recently, it has become possible to download music...\how much would it cost to develop?\and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million.\What if you outsource it?\Individuals can also easily upload... response:	Probably 10 million for a prototype...
context: Fujisawa, if you were to make this,\Recently, it has become possible to download music...\how much would it cost to develop?\and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million.\What if you outsource it?\Individuals can also easily upload...\Probably 10 million for a prototype... response:	and 70 million to finish it up.
context: Recently, it has become possible to download music...\how much would it cost to develop?\and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million.\What if you outsource it?\Individuals can also easily upload...\Probably 10 million for a prototype...\and 70 million to finish it up. response:	People would probably make faces no matter where we tried to market it,
context: how much would it cost to develop?\and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million.\What if you outsource it?\Individuals can also easily upload...\Probably 10 million for a prototype...\and 70 million to finish it up.\People would probably make faces no matter where we tried to market it, response:	their own videos to express themselves.
context: and video using smartphones and mobile devices.\Well... Including debugging costs, probably around 100 million.\What if you outsource it?\Individuals can also easily upload...\Probably 10 million for a prototype...\and 70 million to finish it up.\People would probably make faces no matter where we tried to market it,\their own videos to express themselves. response:	but at 2,200 yen a unit, we'd break even at...
context: Well... Including debugging costs, probably around 100 million.\What if you outsource it?\Individuals can also easily upload...\Probably 10 million for a prototype...\and 70 million to finish it up.\People would probably make faces no matter where we tried to market it,\their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at... response:	Particularly good videos actually receive...
context: What if you outsource it?\Individuals can also easily upload...\Probably 10 million for a prototype...\and 70 million to finish it up.\People would probably make faces no matter where we tried to market it,\their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive... response:	a greater number of views and thus garner more attention.
context: Individuals can also easily upload...\Probably 10 million for a prototype...\and 70 million to finish it up.\People would probably make faces no matter where we tried to market it,\their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive...\a greater number of views and thus garner more attention. response:	around 45,000 units.
context: Probably 10 million for a prototype...\and 70 million to finish it up.\People would probably make faces no matter where we tried to market it,\their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive...\a greater number of views and thus garner more attention.\around 45,000 units. response:	I suppose that would make our sales target 100,000 units.
context: and 70 million to finish it up.\People would probably make faces no matter where we tried to market it,\their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive...\a greater number of views and thus garner more attention.\around 45,000 units.\I suppose that would make our sales target 100,000 units. response:	In other words, I believe these videos will do much to promote the game.
context: People would probably make faces no matter where we tried to market it,\their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive...\a greater number of views and thus garner more attention.\around 45,000 units.\I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game. response:	I see.
context: their own videos to express themselves.\but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive...\a greater number of views and thus garner more attention.\around 45,000 units.\I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game.\I see. response:	Finally, I would like to summarize my concept.
context: but at 2,200 yen a unit, we'd break even at...\Particularly good videos actually receive...\a greater number of views and thus garner more attention.\around 45,000 units.\I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game.\I see.\Finally, I would like to summarize my concept. response:	Stylishly defeating your enemies in time...
context: Particularly good videos actually receive...\a greater number of views and thus garner more attention.\around 45,000 units.\I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game.\I see.\Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time... response:	with the music is the core of this project.
context: a greater number of views and thus garner more attention.\around 45,000 units.\I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game.\I see.\Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time...\with the music is the core of this project. response:	I hope to create a game that exhilarates the player...
context: around 45,000 units.\I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game.\I see.\Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time...\with the music is the core of this project.\I hope to create a game that exhilarates the player... response:	and allows them to share that feeling on the Internet.
context: I suppose that would make our sales target 100,000 units.\In other words, I believe these videos will do much to promote the game.\I see.\Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time...\with the music is the core of this project.\I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet. response:	A game that is both fun to play and fun to watch.
context: In other words, I believe these videos will do much to promote the game.\I see.\Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time...\with the music is the core of this project.\I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch. response:	This concludes my pitch presentation.
context: I see.\Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time...\with the music is the core of this project.\I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch.\This concludes my pitch presentation. response:	Thank you for listening!
context: Finally, I would like to summarize my concept.\Stylishly defeating your enemies in time...\with the music is the core of this project.\I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch.\This concludes my pitch presentation.\Thank you for listening! response:	Thank you, Kanda Sorata-san.
context: Stylishly defeating your enemies in time...\with the music is the core of this project.\I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch.\This concludes my pitch presentation.\Thank you for listening!\Thank you, Kanda Sorata-san. response:	Unfortunately, we've concluded that it'd be difficult...
context: with the music is the core of this project.\I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch.\This concludes my pitch presentation.\Thank you for listening!\Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult... response:	for our company to release your game.
context: I hope to create a game that exhilarates the player...\and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch.\This concludes my pitch presentation.\Thank you for listening!\Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult...\for our company to release your game. response:	I see.
context: and allows them to share that feeling on the Internet.\A game that is both fun to play and fun to watch.\This concludes my pitch presentation.\Thank you for listening!\Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult...\for our company to release your game.\I see. response:	However, would you be willing to let our staff...
context: A game that is both fun to play and fun to watch.\This concludes my pitch presentation.\Thank you for listening!\Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult...\for our company to release your game.\I see.\However, would you be willing to let our staff... response:	help you polish your game?
context: This concludes my pitch presentation.\Thank you for listening!\Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult...\for our company to release your game.\I see.\However, would you be willing to let our staff...\help you polish your game? response:	In other words, you've partially passed.
context: Thank you for listening!\Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult...\for our company to release your game.\I see.\However, would you be willing to let our staff...\help you polish your game?\In other words, you've partially passed. response:	What? I, um...
context: Thank you, Kanda Sorata-san.\Unfortunately, we've concluded that it'd be difficult...\for our company to release your game.\I see.\However, would you be willing to let our staff...\help you polish your game?\In other words, you've partially passed.\What? I, um... response:	When you get home, send us an email.
context: Unfortunately, we've concluded that it'd be difficult...\for our company to release your game.\I see.\However, would you be willing to let our staff...\help you polish your game?\In other words, you've partially passed.\What? I, um...\When you get home, send us an email. response:	Game Director
context: for our company to release your game.\I see.\However, would you be willing to let our staff...\help you polish your game?\In other words, you've partially passed.\What? I, um...\When you get home, send us an email.\Game Director response:	Fujisawa Kazuki
context: I see.\However, would you be willing to let our staff...\help you polish your game?\In other words, you've partially passed.\What? I, um...\When you get home, send us an email.\Game Director\Fujisawa Kazuki response:	Once we're ready for you,
context: However, would you be willing to let our staff...\help you polish your game?\In other words, you've partially passed.\What? I, um...\When you get home, send us an email.\Game Director\Fujisawa Kazuki\Once we're ready for you, response:	we'll decide on a date for our next meeting.
context: help you polish your game?\In other words, you've partially passed.\What? I, um...\When you get home, send us an email.\Game Director\Fujisawa Kazuki\Once we're ready for you,\we'll decide on a date for our next meeting. response:	Okay!
context: In other words, you've partially passed.\What? I, um...\When you get home, send us an email.\Game Director\Fujisawa Kazuki\Once we're ready for you,\we'll decide on a date for our next meeting.\Okay! response:	The presentation was a huge success!
context: What? I, um...\When you get home, send us an email.\Game Director\Fujisawa Kazuki\Once we're ready for you,\we'll decide on a date for our next meeting.\Okay!\The presentation was a huge success! response:	This is all thanks to you guys!
context: When you get home, send us an email.\Game Director\Fujisawa Kazuki\Once we're ready for you,\we'll decide on a date for our next meeting.\Okay!\The presentation was a huge success!\This is all thanks to you guys! response:	Thanks!
context: Game Director\Fujisawa Kazuki\Once we're ready for you,\we'll decide on a date for our next meeting.\Okay!\The presentation was a huge success!\This is all thanks to you guys!\Thanks! response:	All right.
context: Fujisawa Kazuki\Once we're ready for you,\we'll decide on a date for our next meeting.\Okay!\The presentation was a huge success!\This is all thanks to you guys!\Thanks!\All right. response:	I did it!
context: Once we're ready for you,\we'll decide on a date for our next meeting.\Okay!\The presentation was a huge success!\This is all thanks to you guys!\Thanks!\All right.\I did it! response:	Cheers!
context: we'll decide on a date for our next meeting.\Okay!\The presentation was a huge success!\This is all thanks to you guys!\Thanks!\All right.\I did it!\Cheers! response:	I know there's no point in asking, but I will anyway...
context: Okay!\The presentation was a huge success!\This is all thanks to you guys!\Thanks!\All right.\I did it!\Cheers!\I know there's no point in asking, but I will anyway... response:	Why are we having red rice and motsunabe?!
context: The presentation was a huge success!\This is all thanks to you guys!\Thanks!\All right.\I did it!\Cheers!\I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?! response:	Because we're celebrating!
context: This is all thanks to you guys!\Thanks!\All right.\I did it!\Cheers!\I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?!\Because we're celebrating! response:	The motsunabe shows respect to Hakata!
context: Thanks!\All right.\I did it!\Cheers!\I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?!\Because we're celebrating!\The motsunabe shows respect to Hakata! response:	Encore, Hakata!
context: All right.\I did it!\Cheers!\I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?!\Because we're celebrating!\The motsunabe shows respect to Hakata!\Encore, Hakata! response:	I knew it was pointless asking...
context: I did it!\Cheers!\I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?!\Because we're celebrating!\The motsunabe shows respect to Hakata!\Encore, Hakata!\I knew it was pointless asking... response:	Okay, I'll serve up some for everyone.
context: Cheers!\I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?!\Because we're celebrating!\The motsunabe shows respect to Hakata!\Encore, Hakata!\I knew it was pointless asking...\Okay, I'll serve up some for everyone. response:	It's like eating okonomiyaki with a spatula.
context: I know there's no point in asking, but I will anyway...\Why are we having red rice and motsunabe?!\Because we're celebrating!\The motsunabe shows respect to Hakata!\Encore, Hakata!\I knew it was pointless asking...\Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula. response:	Kanda-kun, congratulations.
context: Why are we having red rice and motsunabe?!\Because we're celebrating!\The motsunabe shows respect to Hakata!\Encore, Hakata!\I knew it was pointless asking...\Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations. response:	Thanks.
context: Because we're celebrating!\The motsunabe shows respect to Hakata!\Encore, Hakata!\I knew it was pointless asking...\Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations.\Thanks. response:	I'm glad you're celebrating with me,
context: The motsunabe shows respect to Hakata!\Encore, Hakata!\I knew it was pointless asking...\Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations.\Thanks.\I'm glad you're celebrating with me, response:	but it takes time for a pitch to actually go through.
context: Encore, Hakata!\I knew it was pointless asking...\Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations.\Thanks.\I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through. response:	I haven't actually succeeded yet.
context: I knew it was pointless asking...\Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations.\Thanks.\I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through.\I haven't actually succeeded yet. response:	Then, we'll have to plan a bigger celebration when you actually pass.
context: Okay, I'll serve up some for everyone.\It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations.\Thanks.\I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through.\I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass. response:	Thanks. I'll do my best!
context: It's like eating okonomiyaki with a spatula.\Kanda-kun, congratulations.\Thanks.\I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through.\I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best! response:	Most people don't even make it to the presentation stage.
context: Kanda-kun, congratulations.\Thanks.\I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through.\I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best!\Most people don't even make it to the presentation stage. response:	Yeah.
context: Thanks.\I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through.\I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best!\Most people don't even make it to the presentation stage.\Yeah. response:	Oh, that reminds me. Thanks for the text, Aoyama.
context: I'm glad you're celebrating with me,\but it takes time for a pitch to actually go through.\I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best!\Most people don't even make it to the presentation stage.\Yeah.\Oh, that reminds me. Thanks for the text, Aoyama. response:	Sure. I hope it didn't bug you.
context: but it takes time for a pitch to actually go through.\I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best!\Most people don't even make it to the presentation stage.\Yeah.\Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you. response:	It really motivated me.
context: I haven't actually succeeded yet.\Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best!\Most people don't even make it to the presentation stage.\Yeah.\Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you.\It really motivated me. response:	That's great.
context: Then, we'll have to plan a bigger celebration when you actually pass.\Thanks. I'll do my best!\Most people don't even make it to the presentation stage.\Yeah.\Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you.\It really motivated me.\That's great. response:	Text?
context: Thanks. I'll do my best!\Most people don't even make it to the presentation stage.\Yeah.\Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you.\It really motivated me.\That's great.\Text? response:	Yeah, just before my presentation, Aoyama...
context: Most people don't even make it to the presentation stage.\Yeah.\Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you.\It really motivated me.\That's great.\Text?\Yeah, just before my presentation, Aoyama... response:	sent me a text telling me I could do it.
context: Yeah.\Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you.\It really motivated me.\That's great.\Text?\Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it. response:	Wait.
context: Oh, that reminds me. Thanks for the text, Aoyama.\Sure. I hope it didn't bug you.\It really motivated me.\That's great.\Text?\Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it.\Wait. response:	For what?
context: Sure. I hope it didn't bug you.\It really motivated me.\That's great.\Text?\Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it.\Wait.\For what? response:	Who knows?
context: It really motivated me.\That's great.\Text?\Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it.\Wait.\For what?\Who knows? response:	Shiina Mashiro
context: That's great.\Text?\Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it.\Wait.\For what?\Who knows?\Shiina Mashiro response:	No Subject
context: Text?\Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it.\Wait.\For what?\Who knows?\Shiina Mashiro\No Subject response:	You can do it
context: Yeah, just before my presentation, Aoyama...\sent me a text telling me I could do it.\Wait.\For what?\Who knows?\Shiina Mashiro\No Subject\You can do it response:	Shiina, what kind of joke is this?
context: sent me a text telling me I could do it.\Wait.\For what?\Who knows?\Shiina Mashiro\No Subject\You can do it\Shiina, what kind of joke is this? response:	You said texts motivate you.
context: Wait.\For what?\Who knows?\Shiina Mashiro\No Subject\You can do it\Shiina, what kind of joke is this?\You said texts motivate you. response:	If you're going to text me now, you should be saying Congratulations.
context: For what?\Who knows?\Shiina Mashiro\No Subject\You can do it\Shiina, what kind of joke is this?\You said texts motivate you.\If you're going to text me now, you should be saying Congratulations. response:	Your reaction was different for Nanami's text.
context: Who knows?\Shiina Mashiro\No Subject\You can do it\Shiina, what kind of joke is this?\You said texts motivate you.\If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text. response:	Of course it was.
context: Shiina Mashiro\No Subject\You can do it\Shiina, what kind of joke is this?\You said texts motivate you.\If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text.\Of course it was. response:	Is this discrimination?
context: No Subject\You can do it\Shiina, what kind of joke is this?\You said texts motivate you.\If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text.\Of course it was.\Is this discrimination? response:	No!
context: You can do it\Shiina, what kind of joke is this?\You said texts motivate you.\If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text.\Of course it was.\Is this discrimination?\No! response:	You only give Nanami special treatment.
context: Shiina, what kind of joke is this?\You said texts motivate you.\If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text.\Of course it was.\Is this discrimination?\No!\You only give Nanami special treatment. response:	Have you forgotten that I give you special treatment every day?
context: You said texts motivate you.\If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text.\Of course it was.\Is this discrimination?\No!\You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day? response:	Anyway, thanks for the pitch illustration, Shiina.
context: If you're going to text me now, you should be saying Congratulations.\Your reaction was different for Nanami's text.\Of course it was.\Is this discrimination?\No!\You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina. response:	It made it a lot easier to explain my concept.
context: Your reaction was different for Nanami's text.\Of course it was.\Is this discrimination?\No!\You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept. response:	Really?
context: Of course it was.\Is this discrimination?\No!\You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept.\Really? response:	Yeah.
context: Is this discrimination?\No!\You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept.\Really?\Yeah. response:	That's good, but...
context: No!\You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept.\Really?\Yeah.\That's good, but... response:	What?
context: You only give Nanami special treatment.\Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept.\Really?\Yeah.\That's good, but...\What? response:	Nothing.
context: Have you forgotten that I give you special treatment every day?\Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept.\Really?\Yeah.\That's good, but...\What?\Nothing. response:	It's your turn next, Aoyama.
context: Anyway, thanks for the pitch illustration, Shiina.\It made it a lot easier to explain my concept.\Really?\Yeah.\That's good, but...\What?\Nothing.\It's your turn next, Aoyama. response:	Huh?
context: It made it a lot easier to explain my concept.\Really?\Yeah.\That's good, but...\What?\Nothing.\It's your turn next, Aoyama.\Huh? response:	Good luck with your audition.
context: Really?\Yeah.\That's good, but...\What?\Nothing.\It's your turn next, Aoyama.\Huh?\Good luck with your audition. response:	When is it?
context: Yeah.\That's good, but...\What?\Nothing.\It's your turn next, Aoyama.\Huh?\Good luck with your audition.\When is it? response:	What's wrong?
context: That's good, but...\What?\Nothing.\It's your turn next, Aoyama.\Huh?\Good luck with your audition.\When is it?\What's wrong? response:	Actually, there's a favor I want to ask of you...
context: What?\Nothing.\It's your turn next, Aoyama.\Huh?\Good luck with your audition.\When is it?\What's wrong?\Actually, there's a favor I want to ask of you... response:	Would that be okay?
context: Nothing.\It's your turn next, Aoyama.\Huh?\Good luck with your audition.\When is it?\What's wrong?\Actually, there's a favor I want to ask of you...\Would that be okay? response:	What did you want to talk to me about?
