context: If the heroes are fighting each other response:	instead of the Waves of Catastrophe,
context: Filo!\Master...\I'm fine.\Calm down, and watch her attacks closely.\I know you can do it!\I know you can do it.\Yeah!\Too slow. response:	Okay, but I'll still beat you!
context: Master...\I'm fine.\Calm down, and watch her attacks closely.\I know you can do it!\I know you can do it.\Yeah!\Too slow.\Okay, but I'll still beat you! response:	Spiral...
context: I'm fine.\Calm down, and watch her attacks closely.\I know you can do it!\I know you can do it.\Yeah!\Too slow.\Okay, but I'll still beat you!\Spiral... response:	Strike!
context: Calm down, and watch her attacks closely.\I know you can do it!\I know you can do it.\Yeah!\Too slow.\Okay, but I'll still beat you!\Spiral...\Strike! response:	Go!
context: I know you can do it!\I know you can do it.\Yeah!\Too slow.\Okay, but I'll still beat you!\Spiral...\Strike!\Go! response:	Filo!
context: I know you can do it.\Yeah!\Too slow.\Okay, but I'll still beat you!\Spiral...\Strike!\Go!\Filo! response:	Naofumi-sama!
context: Yeah!\Too slow.\Okay, but I'll still beat you!\Spiral...\Strike!\Go!\Filo!\Naofumi-sama! response:	Did you see that magic attack Filo just used?
context: Too slow.\Okay, but I'll still beat you!\Spiral...\Strike!\Go!\Filo!\Naofumi-sama!\Did you see that magic attack Filo just used? response:	Yeah.
context: Okay, but I'll still beat you!\Spiral...\Strike!\Go!\Filo!\Naofumi-sama!\Did you see that magic attack Filo just used?\Yeah. response:	I won't lose.
context: Spiral...\Strike!\Go!\Filo!\Naofumi-sama!\Did you see that magic attack Filo just used?\Yeah.\I won't lose. response:	Master, I'll grow stronger.
context: Strike!\Go!\Filo!\Naofumi-sama!\Did you see that magic attack Filo just used?\Yeah.\I won't lose.\Master, I'll grow stronger. response:	Strong enough to protect you, Mel-chan,
context: Go!\Filo!\Naofumi-sama!\Did you see that magic attack Filo just used?\Yeah.\I won't lose.\Master, I'll grow stronger.\Strong enough to protect you, Mel-chan, response:	and Raphtalia-oneechan.
context: Filo!\Naofumi-sama!\Did you see that magic attack Filo just used?\Yeah.\I won't lose.\Master, I'll grow stronger.\Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan. response:	Strong enough to protect everyone.
context: Naofumi-sama!\Did you see that magic attack Filo just used?\Yeah.\I won't lose.\Master, I'll grow stronger.\Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan.\Strong enough to protect everyone. response:	Okay.
context: Did you see that magic attack Filo just used?\Yeah.\I won't lose.\Master, I'll grow stronger.\Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan.\Strong enough to protect everyone.\Okay. response:	So...
context: Yeah.\I won't lose.\Master, I'll grow stronger.\Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan.\Strong enough to protect everyone.\Okay.\So... response:	I'll never lose.
context: I won't lose.\Master, I'll grow stronger.\Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan.\Strong enough to protect everyone.\Okay.\So...\I'll never lose. response:	That's enough, Filo.
context: Master, I'll grow stronger.\Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan.\Strong enough to protect everyone.\Okay.\So...\I'll never lose.\That's enough, Filo. response:	You win.
context: Strong enough to protect you, Mel-chan,\and Raphtalia-oneechan.\Strong enough to protect everyone.\Okay.\So...\I'll never lose.\That's enough, Filo.\You win. response:	I'll free Mel-tan.
context: and Raphtalia-oneechan.\Strong enough to protect everyone.\Okay.\So...\I'll never lose.\That's enough, Filo.\You win.\I'll free Mel-tan. response:	You did well.
context: Strong enough to protect everyone.\Okay.\So...\I'll never lose.\That's enough, Filo.\You win.\I'll free Mel-tan.\You did well. response:	Filo-chan!
context: Okay.\So...\I'll never lose.\That's enough, Filo.\You win.\I'll free Mel-tan.\You did well.\Filo-chan! response:	Mel-chan...
context: So...\I'll never lose.\That's enough, Filo.\You win.\I'll free Mel-tan.\You did well.\Filo-chan!\Mel-chan... response:	Master...
context: I'll never lose.\That's enough, Filo.\You win.\I'll free Mel-tan.\You did well.\Filo-chan!\Mel-chan...\Master... response:	I won.
context: That's enough, Filo.\You win.\I'll free Mel-tan.\You did well.\Filo-chan!\Mel-chan...\Master...\I won. response:	Yeah.
context: You win.\I'll free Mel-tan.\You did well.\Filo-chan!\Mel-chan...\Master...\I won.\Yeah. response:	You did amazing, Filo.
context: I'll free Mel-tan.\You did well.\Filo-chan!\Mel-chan...\Master...\I won.\Yeah.\You did amazing, Filo. response:	You did well to pass the trial.
context: You did well.\Filo-chan!\Mel-chan...\Master...\I won.\Yeah.\You did amazing, Filo.\You did well to pass the trial. response:	Filo, you were being tested.
context: Filo-chan!\Mel-chan...\Master...\I won.\Yeah.\You did amazing, Filo.\You did well to pass the trial.\Filo, you were being tested. response:	Yes.
context: Mel-chan...\Master...\I won.\Yeah.\You did amazing, Filo.\You did well to pass the trial.\Filo, you were being tested.\Yes. response:	If you hadn't passed it, you would've died.
context: Master...\I won.\Yeah.\You did amazing, Filo.\You did well to pass the trial.\Filo, you were being tested.\Yes.\If you hadn't passed it, you would've died. response:	And the Shield Hero would have, too.
context: I won.\Yeah.\You did amazing, Filo.\You did well to pass the trial.\Filo, you were being tested.\Yes.\If you hadn't passed it, you would've died.\And the Shield Hero would have, too. response:	What is that?
context: Yeah.\You did amazing, Filo.\You did well to pass the trial.\Filo, you were being tested.\Yes.\If you hadn't passed it, you would've died.\And the Shield Hero would have, too.\What is that? response:	A symbol proving that you overcame my trial.
context: You did amazing, Filo.\You did well to pass the trial.\Filo, you were being tested.\Yes.\If you hadn't passed it, you would've died.\And the Shield Hero would have, too.\What is that?\A symbol proving that you overcame my trial. response:	Lower your head.
context: You did well to pass the trial.\Filo, you were being tested.\Yes.\If you hadn't passed it, you would've died.\And the Shield Hero would have, too.\What is that?\A symbol proving that you overcame my trial.\Lower your head. response:	Filo, I appoint you my successor.
context: Filo, you were being tested.\Yes.\If you hadn't passed it, you would've died.\And the Shield Hero would have, too.\What is that?\A symbol proving that you overcame my trial.\Lower your head.\Filo, I appoint you my successor. response:	Successor?
context: Yes.\If you hadn't passed it, you would've died.\And the Shield Hero would have, too.\What is that?\A symbol proving that you overcame my trial.\Lower your head.\Filo, I appoint you my successor.\Successor? response:	You mean she'll become the next filolial queen?
context: If you hadn't passed it, you would've died.\And the Shield Hero would have, too.\What is that?\A symbol proving that you overcame my trial.\Lower your head.\Filo, I appoint you my successor.\Successor?\You mean she'll become the next filolial queen? response:	That's amazing, Filo-chan!
context: And the Shield Hero would have, too.\What is that?\A symbol proving that you overcame my trial.\Lower your head.\Filo, I appoint you my successor.\Successor?\You mean she'll become the next filolial queen?\That's amazing, Filo-chan! response:	Is that the symbol of being next in line?
context: What is that?\A symbol proving that you overcame my trial.\Lower your head.\Filo, I appoint you my successor.\Successor?\You mean she'll become the next filolial queen?\That's amazing, Filo-chan!\Is that the symbol of being next in line? response:	It's just a cowlick!
context: A symbol proving that you overcame my trial.\Lower your head.\Filo, I appoint you my successor.\Successor?\You mean she'll become the next filolial queen?\That's amazing, Filo-chan!\Is that the symbol of being next in line?\It's just a cowlick! response:	C-Cute!
context: Lower your head.\Filo, I appoint you my successor.\Successor?\You mean she'll become the next filolial queen?\That's amazing, Filo-chan!\Is that the symbol of being next in line?\It's just a cowlick!\C-Cute! response:	Something weird grew on my head!
context: Filo, I appoint you my successor.\Successor?\You mean she'll become the next filolial queen?\That's amazing, Filo-chan!\Is that the symbol of being next in line?\It's just a cowlick!\C-Cute!\Something weird grew on my head! response:	Get it off!
context: Successor?\You mean she'll become the next filolial queen?\That's amazing, Filo-chan!\Is that the symbol of being next in line?\It's just a cowlick!\C-Cute!\Something weird grew on my head!\Get it off! response:	It grew back!
context: You mean she'll become the next filolial queen?\That's amazing, Filo-chan!\Is that the symbol of being next in line?\It's just a cowlick!\C-Cute!\Something weird grew on my head!\Get it off!\It grew back! response:	And it'll keep growing back, so get used to it.
context: That's amazing, Filo-chan!\Is that the symbol of being next in line?\It's just a cowlick!\C-Cute!\Something weird grew on my head!\Get it off!\It grew back!\And it'll keep growing back, so get used to it. response:	And you'll gain more of them as you grow.
context: Is that the symbol of being next in line?\It's just a cowlick!\C-Cute!\Something weird grew on my head!\Get it off!\It grew back!\And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow. response:	Am I gonna look like you?
context: It's just a cowlick!\C-Cute!\Something weird grew on my head!\Get it off!\It grew back!\And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow.\Am I gonna look like you? response:	Her stats have increased.
context: C-Cute!\Something weird grew on my head!\Get it off!\It grew back!\And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow.\Am I gonna look like you?\Her stats have increased. response:	Does that cowlick increase her base numbers across the board?
context: Something weird grew on my head!\Get it off!\It grew back!\And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow.\Am I gonna look like you?\Her stats have increased.\Does that cowlick increase her base numbers across the board? response:	Since Filo's level is capped right now, this is perfect for her.
context: Get it off!\It grew back!\And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow.\Am I gonna look like you?\Her stats have increased.\Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her. response:	I also have something for you, Shield Hero.
context: It grew back!\And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow.\Am I gonna look like you?\Her stats have increased.\Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero. response:	For me?
context: And it'll keep growing back, so get used to it.\And you'll gain more of them as you grow.\Am I gonna look like you?\Her stats have increased.\Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero.\For me? response:	I don't want a cowlick!
context: And you'll gain more of them as you grow.\Am I gonna look like you?\Her stats have increased.\Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero.\For me?\I don't want a cowlick! response:	What's a cowlick?
context: Am I gonna look like you?\Her stats have increased.\Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero.\For me?\I don't want a cowlick!\What's a cowlick? response:	It's something better.
context: Her stats have increased.\Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero.\For me?\I don't want a cowlick!\What's a cowlick?\It's something better. response:	I'll heal your wounds, too.
context: Does that cowlick increase her base numbers across the board?\Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero.\For me?\I don't want a cowlick!\What's a cowlick?\It's something better.\I'll heal your wounds, too. response:	Now show me your shield.
context: Since Filo's level is capped right now, this is perfect for her.\I also have something for you, Shield Hero.\For me?\I don't want a cowlick!\What's a cowlick?\It's something better.\I'll heal your wounds, too.\Now show me your shield. response:	Like this?
context: I also have something for you, Shield Hero.\For me?\I don't want a cowlick!\What's a cowlick?\It's something better.\I'll heal your wounds, too.\Now show me your shield.\Like this? response:	Shields were force unlocked
context: For me?\I don't want a cowlick!\What's a cowlick?\It's something better.\I'll heal your wounds, too.\Now show me your shield.\Like this?\Shields were force unlocked response:	Force unlocked?
context: I don't want a cowlick!\What's a cowlick?\It's something better.\I'll heal your wounds, too.\Now show me your shield.\Like this?\Shields were force unlocked\Force unlocked? response:	I can't use many of them because my level's not high enough,
context: What's a cowlick?\It's something better.\I'll heal your wounds, too.\Now show me your shield.\Like this?\Shields were force unlocked\Force unlocked?\I can't use many of them because my level's not high enough, response:	but it looks like the entire Filolial Series has been unlocked.
context: It's something better.\I'll heal your wounds, too.\Now show me your shield.\Like this?\Shields were force unlocked\Force unlocked?\I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked. response:	Now I just have to meet their requirements.
context: I'll heal your wounds, too.\Now show me your shield.\Like this?\Shields were force unlocked\Force unlocked?\I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements. response:	Well, thank you.
context: Now show me your shield.\Like this?\Shields were force unlocked\Force unlocked?\I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements.\Well, thank you. response:	But I still have something I wish to discuss with you in private.
context: Like this?\Shields were force unlocked\Force unlocked?\I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements.\Well, thank you.\But I still have something I wish to discuss with you in private. response:	There's more?
context: Shields were force unlocked\Force unlocked?\I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements.\Well, thank you.\But I still have something I wish to discuss with you in private.\There's more? response:	Uh...
context: Force unlocked?\I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements.\Well, thank you.\But I still have something I wish to discuss with you in private.\There's more?\Uh... response:	You didn't use us just to test Filo-chan, did you?
context: I can't use many of them because my level's not high enough,\but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements.\Well, thank you.\But I still have something I wish to discuss with you in private.\There's more?\Uh...\You didn't use us just to test Filo-chan, did you? response:	I did. I feel bad for what I did to you.
context: but it looks like the entire Filolial Series has been unlocked.\Now I just have to meet their requirements.\Well, thank you.\But I still have something I wish to discuss with you in private.\There's more?\Uh...\You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you. response:	Is there anything you desire?
context: Now I just have to meet their requirements.\Well, thank you.\But I still have something I wish to discuss with you in private.\There's more?\Uh...\You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you.\Is there anything you desire? response:	Huh?
context: Well, thank you.\But I still have something I wish to discuss with you in private.\There's more?\Uh...\You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you.\Is there anything you desire?\Huh? response:	W-Well, you see...
context: But I still have something I wish to discuss with you in private.\There's more?\Uh...\You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you.\Is there anything you desire?\Huh?\W-Well, you see... response:	You know...
context: There's more?\Uh...\You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you.\Is there anything you desire?\Huh?\W-Well, you see...\You know... response:	Wow, amazing! I'm so high up!
context: Uh...\You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you.\Is there anything you desire?\Huh?\W-Well, you see...\You know...\Wow, amazing! I'm so high up! response:	Ah, I'm living the dream!
context: You didn't use us just to test Filo-chan, did you?\I did. I feel bad for what I did to you.\Is there anything you desire?\Huh?\W-Well, you see...\You know...\Wow, amazing! I'm so high up!\Ah, I'm living the dream! response:	Is a ride really all she wanted?
context: I did. I feel bad for what I did to you.\Is there anything you desire?\Huh?\W-Well, you see...\You know...\Wow, amazing! I'm so high up!\Ah, I'm living the dream!\Is a ride really all she wanted? response:	I wanna be really big soon, too!
context: Is there anything you desire?\Huh?\W-Well, you see...\You know...\Wow, amazing! I'm so high up!\Ah, I'm living the dream!\Is a ride really all she wanted?\I wanna be really big soon, too! response:	Who knows how many cowlicks you'll have by then?
context: Huh?\W-Well, you see...\You know...\Wow, amazing! I'm so high up!\Ah, I'm living the dream!\Is a ride really all she wanted?\I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then? response:	No!
context: W-Well, you see...\You know...\Wow, amazing! I'm so high up!\Ah, I'm living the dream!\Is a ride really all she wanted?\I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then?\No! response:	That was so much fun!
context: You know...\Wow, amazing! I'm so high up!\Ah, I'm living the dream!\Is a ride really all she wanted?\I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then?\No!\That was so much fun! response:	The day has only just begun.
context: Wow, amazing! I'm so high up!\Ah, I'm living the dream!\Is a ride really all she wanted?\I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then?\No!\That was so much fun!\The day has only just begun. response:	Get some more rest before you leave.
context: Ah, I'm living the dream!\Is a ride really all she wanted?\I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then?\No!\That was so much fun!\The day has only just begun.\Get some more rest before you leave. response:	But...
context: Is a ride really all she wanted?\I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then?\No!\That was so much fun!\The day has only just begun.\Get some more rest before you leave.\But... response:	Well, if Fitoria's offering, why not accept?
context: I wanna be really big soon, too!\Who knows how many cowlicks you'll have by then?\No!\That was so much fun!\The day has only just begun.\Get some more rest before you leave.\But...\Well, if Fitoria's offering, why not accept? response:	Really?
context: Who knows how many cowlicks you'll have by then?\No!\That was so much fun!\The day has only just begun.\Get some more rest before you leave.\But...\Well, if Fitoria's offering, why not accept?\Really? response:	This is a celebration, after all.
context: No!\That was so much fun!\The day has only just begun.\Get some more rest before you leave.\But...\Well, if Fitoria's offering, why not accept?\Really?\This is a celebration, after all. response:	We need to show you some real hospitality as well.
context: That was so much fun!\The day has only just begun.\Get some more rest before you leave.\But...\Well, if Fitoria's offering, why not accept?\Really?\This is a celebration, after all.\We need to show you some real hospitality as well. response:	A party to celebrate the appointment of a new queen?
context: The day has only just begun.\Get some more rest before you leave.\But...\Well, if Fitoria's offering, why not accept?\Really?\This is a celebration, after all.\We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen? response:	You mean me?
context: Get some more rest before you leave.\But...\Well, if Fitoria's offering, why not accept?\Really?\This is a celebration, after all.\We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen?\You mean me? response:	Don't go making decisions for me!
context: But...\Well, if Fitoria's offering, why not accept?\Really?\This is a celebration, after all.\We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen?\You mean me?\Don't go making decisions for me! response:	Congratulations, Filo-chan.
context: Well, if Fitoria's offering, why not accept?\Really?\This is a celebration, after all.\We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen?\You mean me?\Don't go making decisions for me!\Congratulations, Filo-chan. response:	Me too?
context: Really?\This is a celebration, after all.\We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen?\You mean me?\Don't go making decisions for me!\Congratulations, Filo-chan.\Me too? response:	Picking up where you left off this afternoon?
context: This is a celebration, after all.\We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen?\You mean me?\Don't go making decisions for me!\Congratulations, Filo-chan.\Me too?\Picking up where you left off this afternoon? response:	Did you really try to make up with them?
context: We need to show you some real hospitality as well.\A party to celebrate the appointment of a new queen?\You mean me?\Don't go making decisions for me!\Congratulations, Filo-chan.\Me too?\Picking up where you left off this afternoon?\Did you really try to make up with them? response:	Not this again.
context: A party to celebrate the appointment of a new queen?\You mean me?\Don't go making decisions for me!\Congratulations, Filo-chan.\Me too?\Picking up where you left off this afternoon?\Did you really try to make up with them?\Not this again. response:	Did you try to clear your name?
context: You mean me?\Don't go making decisions for me!\Congratulations, Filo-chan.\Me too?\Picking up where you left off this afternoon?\Did you really try to make up with them?\Not this again.\Did you try to clear your name? response:	Well...
context: Don't go making decisions for me!\Congratulations, Filo-chan.\Me too?\Picking up where you left off this afternoon?\Did you really try to make up with them?\Not this again.\Did you try to clear your name?\Well... response:	I guess I didn't bother, thinking they'd never believe me.
context: Congratulations, Filo-chan.\Me too?\Picking up where you left off this afternoon?\Did you really try to make up with them?\Not this again.\Did you try to clear your name?\Well...\I guess I didn't bother, thinking they'd never believe me. response:	If you don't tell them they're wrong, you're basically admitting your guilt.
context: Me too?\Picking up where you left off this afternoon?\Did you really try to make up with them?\Not this again.\Did you try to clear your name?\Well...\I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt. response:	Maybe.
context: Picking up where you left off this afternoon?\Did you really try to make up with them?\Not this again.\Did you try to clear your name?\Well...\I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe. response:	I'm going to drop you off close
context: Did you really try to make up with them?\Not this again.\Did you try to clear your name?\Well...\I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe.\I'm going to drop you off close response:	to another hero when I take you back.
context: Not this again.\Did you try to clear your name?\Well...\I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe.\I'm going to drop you off close\to another hero when I take you back. response:	You're coming with us?
context: Did you try to clear your name?\Well...\I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe.\I'm going to drop you off close\to another hero when I take you back.\You're coming with us? response:	I won't involve myself any further.
context: Well...\I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe.\I'm going to drop you off close\to another hero when I take you back.\You're coming with us?\I won't involve myself any further. response:	Show me you four are worthy of my involvement.
context: I guess I didn't bother, thinking they'd never believe me.\If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe.\I'm going to drop you off close\to another hero when I take you back.\You're coming with us?\I won't involve myself any further.\Show me you four are worthy of my involvement. response:	You want me to talk it out right then and there, right? Got it.
context: If you don't tell them they're wrong, you're basically admitting your guilt.\Maybe.\I'm going to drop you off close\to another hero when I take you back.\You're coming with us?\I won't involve myself any further.\Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it. response:	I'll try my best.
context: Maybe.\I'm going to drop you off close\to another hero when I take you back.\You're coming with us?\I won't involve myself any further.\Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it.\I'll try my best. response:	Is that all?
context: I'm going to drop you off close\to another hero when I take you back.\You're coming with us?\I won't involve myself any further.\Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it.\I'll try my best.\Is that all? response:	No, there's more.
context: to another hero when I take you back.\You're coming with us?\I won't involve myself any further.\Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it.\I'll try my best.\Is that all?\No, there's more. response:	If even one Cardinal Hero is missing when a Wave hits,
context: You're coming with us?\I won't involve myself any further.\Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it.\I'll try my best.\Is that all?\No, there's more.\If even one Cardinal Hero is missing when a Wave hits, response:	fighting it off will be exponentially more difficult.
context: I won't involve myself any further.\Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it.\I'll try my best.\Is that all?\No, there's more.\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult. response:	If that looks likely, it's better to kill you all and summon new heroes.
context: Show me you four are worthy of my involvement.\You want me to talk it out right then and there, right? Got it.\I'll try my best.\Is that all?\No, there's more.\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes. response:	So if all four of us don't talk it out and reconcile,
context: You want me to talk it out right then and there, right? Got it.\I'll try my best.\Is that all?\No, there's more.\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile, response:	you'll kill us anyway, huh?
context: I'll try my best.\Is that all?\No, there's more.\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh? response:	I can't tell you after how many Waves it will happen,
context: Is that all?\No, there's more.\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen, response:	but there will come a time when the world demands sacrifices from all life.
context: No, there's more.\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life. response:	The world will demand sacrifices?
context: If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices? response:	The heroes will be forced to choose what they fight for in that battle.
context: fighting it off will be exponentially more difficult.\If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle. response:	I'm waiting for that time to come.
context: If that looks likely, it's better to kill you all and summon new heroes.\So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come. response:	Choose what we fight for?
context: So if all four of us don't talk it out and reconcile,\you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come.\Choose what we fight for? response:	Will you fight for the world, or will you fight for its people?
context: you'll kill us anyway, huh?\I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come.\Choose what we fight for?\Will you fight for the world, or will you fight for its people? response:	If you choose the world, many lives will be lost.
context: I can't tell you after how many Waves it will happen,\but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come.\Choose what we fight for?\Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost. response:	But you'll be able to fulfill your duty.
context: but there will come a time when the world demands sacrifices from all life.\The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come.\Choose what we fight for?\Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty. response:	And what if we choose the people?
context: The world will demand sacrifices?\The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come.\Choose what we fight for?\Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty.\And what if we choose the people? response:	It'll be a thorny path.
context: The heroes will be forced to choose what they fight for in that battle.\I'm waiting for that time to come.\Choose what we fight for?\Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty.\And what if we choose the people?\It'll be a thorny path. response:	How much do you know?
context: I'm waiting for that time to come.\Choose what we fight for?\Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty.\And what if we choose the people?\It'll be a thorny path.\How much do you know? response:	There is a lot I have forgotten,
context: Choose what we fight for?\Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty.\And what if we choose the people?\It'll be a thorny path.\How much do you know?\There is a lot I have forgotten, response:	but there is one thing I remember.
context: Will you fight for the world, or will you fight for its people?\If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty.\And what if we choose the people?\It'll be a thorny path.\How much do you know?\There is a lot I have forgotten,\but there is one thing I remember. response:	Saving the world isn't the same as saving its people.
context: If you choose the world, many lives will be lost.\But you'll be able to fulfill your duty.\And what if we choose the people?\It'll be a thorny path.\How much do you know?\There is a lot I have forgotten,\but there is one thing I remember.\Saving the world isn't the same as saving its people. response:	Past heroes wished for their successors to save the people.
context: But you'll be able to fulfill your duty.\And what if we choose the people?\It'll be a thorny path.\How much do you know?\There is a lot I have forgotten,\but there is one thing I remember.\Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people. response:	Not that I get it, but it makes sense for heroes of the people to choose them.
context: And what if we choose the people?\It'll be a thorny path.\How much do you know?\There is a lot I have forgotten,\but there is one thing I remember.\Saving the world isn't the same as saving its people.\Past heroes wished for their successors to save the people.\Not that I get it, but it makes sense for heroes of the people to choose them. response:	You can't do it as you are now.
