context: Namu Amida Butsu response:	Believe it or not, the world is filled with strange phenomena
context: You guys don't need nutrients!\I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food.\You wretched vegetable thief...\Mob!\Blast him!\Okay.\Not bad, kid. response:	But it appears your friend here is as ordinary as they come.
context: I can absorb the lifeforce of all the crops that grow in these fields.\So don't worry. They're serving their purpose as my food.\You wretched vegetable thief...\Mob!\Blast him!\Okay.\Not bad, kid.\But it appears your friend here is as ordinary as they come. response:	Master!
context: So don't worry. They're serving their purpose as my food.\You wretched vegetable thief...\Mob!\Blast him!\Okay.\Not bad, kid.\But it appears your friend here is as ordinary as they come.\Master! response:	I'll turn you both into fertilizer!
context: You wretched vegetable thief...\Mob!\Blast him!\Okay.\Not bad, kid.\But it appears your friend here is as ordinary as they come.\Master!\I'll turn you both into fertilizer! response:	It's no use!
context: Mob!\Blast him!\Okay.\Not bad, kid.\But it appears your friend here is as ordinary as they come.\Master!\I'll turn you both into fertilizer!\It's no use! response:	What you're destroying is but a tiny portion of the plants I control.
context: Blast him!\Okay.\Not bad, kid.\But it appears your friend here is as ordinary as they come.\Master!\I'll turn you both into fertilizer!\It's no use!\What you're destroying is but a tiny portion of the plants I control. response:	But keep it up, and I'll instantly kill your friend and rip him to pieces!
context: Okay.\Not bad, kid.\But it appears your friend here is as ordinary as they come.\Master!\I'll turn you both into fertilizer!\It's no use!\What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces! response:	You're indeed a child.
context: Not bad, kid.\But it appears your friend here is as ordinary as they come.\Master!\I'll turn you both into fertilizer!\It's no use!\What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child. response:	How naIve. You should've known you were both going to die anyway.
context: But it appears your friend here is as ordinary as they come.\Master!\I'll turn you both into fertilizer!\It's no use!\What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child.\How naIve. You should've known you were both going to die anyway. response:	Since destroying the vines doesn't hurt the spirit itself,
context: Master!\I'll turn you both into fertilizer!\It's no use!\What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child.\How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself, response:	it must not be possessing them.
context: I'll turn you both into fertilizer!\It's no use!\What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child.\How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them. response:	It's controlling living things like a remote control car.
context: It's no use!\What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child.\How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them.\It's controlling living things like a remote control car. response:	I've never even thought about doing that.
context: What you're destroying is but a tiny portion of the plants I control.\But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child.\How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them.\It's controlling living things like a remote control car.\I've never even thought about doing that. response:	I wonder if I can do it, too... The same thing as an evil spirit.
context: But keep it up, and I'll instantly kill your friend and rip him to pieces!\You're indeed a child.\How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them.\It's controlling living things like a remote control car.\I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit. response:	You brat!
context: You're indeed a child.\How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them.\It's controlling living things like a remote control car.\I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit.\You brat! response:	The plants stopped moving?
context: How naIve. You should've known you were both going to die anyway.\Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them.\It's controlling living things like a remote control car.\I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit.\You brat!\The plants stopped moving? response:	I tried ordering the plants.
context: Since destroying the vines doesn't hurt the spirit itself,\it must not be possessing them.\It's controlling living things like a remote control car.\I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit.\You brat!\The plants stopped moving?\I tried ordering the plants. response:	When I sent them a stronger signal than the evil spirit,
context: it must not be possessing them.\It's controlling living things like a remote control car.\I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit.\You brat!\The plants stopped moving?\I tried ordering the plants.\When I sent them a stronger signal than the evil spirit, response:	I was able to control them.
context: It's controlling living things like a remote control car.\I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit.\You brat!\The plants stopped moving?\I tried ordering the plants.\When I sent them a stronger signal than the evil spirit,\I was able to control them. response:	That's the correct solution. I'm glad you were able to realize it.
context: I've never even thought about doing that.\I wonder if I can do it, too... The same thing as an evil spirit.\You brat!\The plants stopped moving?\I tried ordering the plants.\When I sent them a stronger signal than the evil spirit,\I was able to control them.\That's the correct solution. I'm glad you were able to realize it. response:	Curse you, you brat!
context: I wonder if I can do it, too... The same thing as an evil spirit.\You brat!\The plants stopped moving?\I tried ordering the plants.\When I sent them a stronger signal than the evil spirit,\I was able to control them.\That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat! response:	How dare you overwrite my command over these plants?!
context: You brat!\The plants stopped moving?\I tried ordering the plants.\When I sent them a stronger signal than the evil spirit,\I was able to control them.\That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat!\How dare you overwrite my command over these plants?! response:	Damn it... You'll pay for this!
context: The plants stopped moving?\I tried ordering the plants.\When I sent them a stronger signal than the evil spirit,\I was able to control them.\That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat!\How dare you overwrite my command over these plants?!\Damn it... You'll pay for this! response:	Die!
context: I tried ordering the plants.\When I sent them a stronger signal than the evil spirit,\I was able to control them.\That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat!\How dare you overwrite my command over these plants?!\Damn it... You'll pay for this!\Die! response:	What?!
context: When I sent them a stronger signal than the evil spirit,\I was able to control them.\That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat!\How dare you overwrite my command over these plants?!\Damn it... You'll pay for this!\Die!\What?! response:	Huh?
context: I was able to control them.\That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat!\How dare you overwrite my command over these plants?!\Damn it... You'll pay for this!\Die!\What?!\Huh? response:	What is that?
context: That's the correct solution. I'm glad you were able to realize it.\Curse you, you brat!\How dare you overwrite my command over these plants?!\Damn it... You'll pay for this!\Die!\What?!\Huh?\What is that? response:	I thought I'd start a home garden.
context: Curse you, you brat!\How dare you overwrite my command over these plants?!\Damn it... You'll pay for this!\Die!\What?!\Huh?\What is that?\I thought I'd start a home garden. response:	If it works out, we can save money on food.
context: How dare you overwrite my command over these plants?!\Damn it... You'll pay for this!\Die!\What?!\Huh?\What is that?\I thought I'd start a home garden.\If it works out, we can save money on food. response:	Spirits and Such Consultation Office
context: Damn it... You'll pay for this!\Die!\What?!\Huh?\What is that?\I thought I'd start a home garden.\If it works out, we can save money on food.\Spirits and Such Consultation Office response:	The veggies we were supposed to get as payment were a bust,
context: Die!\What?!\Huh?\What is that?\I thought I'd start a home garden.\If it works out, we can save money on food.\Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust, response:	but he gave me some soil, fertilizer, and vegetable seeds instead.
context: What?!\Huh?\What is that?\I thought I'd start a home garden.\If it works out, we can save money on food.\Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead. response:	3 times a day! Organic Fertilizer
context: Huh?\What is that?\I thought I'd start a home garden.\If it works out, we can save money on food.\Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer response:	Liquid Fertilizer
context: What is that?\I thought I'd start a home garden.\If it works out, we can save money on food.\Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer\Liquid Fertilizer response:	Humus
context: I thought I'd start a home garden.\If it works out, we can save money on food.\Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer\Liquid Fertilizer\Humus response:	Oh, and here. Your pay for that last job.
context: If it works out, we can save money on food.\Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer\Liquid Fertilizer\Humus\Oh, and here. Your pay for that last job. response:	Broccoli seeds.
context: Spirits and Such Consultation Office\The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer\Liquid Fertilizer\Humus\Oh, and here. Your pay for that last job.\Broccoli seeds. response:	I'm getting paid in kind now...
context: The veggies we were supposed to get as payment were a bust,\but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer\Liquid Fertilizer\Humus\Oh, and here. Your pay for that last job.\Broccoli seeds.\I'm getting paid in kind now... response:	Thank you very much.
context: but he gave me some soil, fertilizer, and vegetable seeds instead.\3 times a day! Organic Fertilizer\Liquid Fertilizer\Humus\Oh, and here. Your pay for that last job.\Broccoli seeds.\I'm getting paid in kind now...\Thank you very much. response:	Oh, right.
context: 3 times a day! Organic Fertilizer\Liquid Fertilizer\Humus\Oh, and here. Your pay for that last job.\Broccoli seeds.\I'm getting paid in kind now...\Thank you very much.\Oh, right. response:	I planted some cherry tomatoes in here.
context: Liquid Fertilizer\Humus\Oh, and here. Your pay for that last job.\Broccoli seeds.\I'm getting paid in kind now...\Thank you very much.\Oh, right.\I planted some cherry tomatoes in here. response:	Why don't you put some energy into it and see if you can make them grow?
context: Humus\Oh, and here. Your pay for that last job.\Broccoli seeds.\I'm getting paid in kind now...\Thank you very much.\Oh, right.\I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow? response:	Okay.
context: Oh, and here. Your pay for that last job.\Broccoli seeds.\I'm getting paid in kind now...\Thank you very much.\Oh, right.\I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow?\Okay. response:	Whoa, that's amazing!
context: Broccoli seeds.\I'm getting paid in kind now...\Thank you very much.\Oh, right.\I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow?\Okay.\Whoa, that's amazing! response:	I smell a new business opportunity!
context: I'm getting paid in kind now...\Thank you very much.\Oh, right.\I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow?\Okay.\Whoa, that's amazing!\I smell a new business opportunity! response:	If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only
context: Thank you very much.\Oh, right.\I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow?\Okay.\Whoa, that's amazing!\I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only response:	Let's see...
context: Oh, right.\I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow?\Okay.\Whoa, that's amazing!\I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see... response:	It tastes like crap.
context: I planted some cherry tomatoes in here.\Why don't you put some energy into it and see if you can make them grow?\Okay.\Whoa, that's amazing!\I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see...\It tastes like crap. response:	Umami 0
context: Why don't you put some energy into it and see if you can make them grow?\Okay.\Whoa, that's amazing!\I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see...\It tastes like crap.\Umami 0 response:	You can take these cherry tomatoes home with you.
context: Okay.\Whoa, that's amazing!\I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see...\It tastes like crap.\Umami 0\You can take these cherry tomatoes home with you. response:	Huh?
context: Whoa, that's amazing!\I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see...\It tastes like crap.\Umami 0\You can take these cherry tomatoes home with you.\Huh? response:	Huh?
context: I smell a new business opportunity!\If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see...\It tastes like crap.\Umami 0\You can take these cherry tomatoes home with you.\Huh?\Huh? response:	Mob Psycho
context: If you have 3 evil spirits, the exorcism fee on 1 of them will be on the house!! hhhhhhhhhhhhhhh This Month Only\Let's see...\It tastes like crap.\Umami 0\You can take these cherry tomatoes home with you.\Huh?\Huh?\Mob Psycho response:	We're Looking For Our God. The Psycho Helmet Religion
context: Let's see...\It tastes like crap.\Umami 0\You can take these cherry tomatoes home with you.\Huh?\Huh?\Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion response:	Let us begin our twelfth official meeting.
context: It tastes like crap.\Umami 0\You can take these cherry tomatoes home with you.\Huh?\Huh?\Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting. response:	As for today's agenda,
context: Umami 0\You can take these cherry tomatoes home with you.\Huh?\Huh?\Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting.\As for today's agenda, response:	we'll be discussing the head temple for our Psycho Helmet Religion.
context: You can take these cherry tomatoes home with you.\Huh?\Huh?\Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting.\As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion. response:	Actually, before we get into that, I have a question.
context: Huh?\Huh?\Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting.\As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question. response:	Has there been any progress in the search for our beloved founder?
context: Huh?\Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting.\As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder? response:	He has not been found yet.
context: Mob Psycho\We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting.\As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder?\He has not been found yet. response:	Many men have claimed to be the founder, but they were all impostors.
context: We're Looking For Our God. The Psycho Helmet Religion\Let us begin our twelfth official meeting.\As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder?\He has not been found yet.\Many men have claimed to be the founder, but they were all impostors. response:	At the () gathering,
context: Let us begin our twelfth official meeting.\As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder?\He has not been found yet.\Many men have claimed to be the founder, but they were all impostors.\At the () gathering, response:	I saw his face up close, so I'm the one verifying these claims.
context: As for today's agenda,\we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder?\He has not been found yet.\Many men have claimed to be the founder, but they were all impostors.\At the () gathering,\I saw his face up close, so I'm the one verifying these claims. response:	I can guarantee they are false.
context: we'll be discussing the head temple for our Psycho Helmet Religion.\Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder?\He has not been found yet.\Many men have claimed to be the founder, but they were all impostors.\At the () gathering,\I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false. response:	But I promise to bring our founder before you very soon.
context: Actually, before we get into that, I have a question.\Has there been any progress in the search for our beloved founder?\He has not been found yet.\Many men have claimed to be the founder, but they were all impostors.\At the () gathering,\I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false.\But I promise to bring our founder before you very soon. response:	Yeah, right. I know the kid to begin with.
context: Has there been any progress in the search for our beloved founder?\He has not been found yet.\Many men have claimed to be the founder, but they were all impostors.\At the () gathering,\I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false.\But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with. response:	I'm going to keep riling up these believers
context: He has not been found yet.\Many men have claimed to be the founder, but they were all impostors.\At the () gathering,\I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false.\But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers response:	and make Mob-kun a cult star.
context: Many men have claimed to be the founder, but they were all impostors.\At the () gathering,\I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false.\But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers\and make Mob-kun a cult star. response:	But the biggest obstacle here is Mob-kun himself.
context: At the () gathering,\I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false.\But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers\and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself. response:	Right now, there's no way he could lead anyone.
context: I saw his face up close, so I'm the one verifying these claims.\I can guarantee they are false.\But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers\and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone. response:	I need him to grow more as a person.
context: I can guarantee they are false.\But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers\and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone.\I need him to grow more as a person. response:	There has to be a way... Something that'll make Mob-kun grow.
context: But I promise to bring our founder before you very soon.\Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers\and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone.\I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow. response:	Kamuro Shinji,
context: Yeah, right. I know the kid to begin with.\I'm going to keep riling up these believers\and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone.\I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji, response:	hereby resign from my position as student council president as of today.
context: I'm going to keep riling up these believers\and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone.\I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji,\hereby resign from my position as student council president as of today. response:	What?
context: and make Mob-kun a cult star.\But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone.\I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji,\hereby resign from my position as student council president as of today.\What? response:	I spread false rumors about fellow students
context: But the biggest obstacle here is Mob-kun himself.\Right now, there's no way he could lead anyone.\I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji,\hereby resign from my position as student council president as of today.\What?\I spread false rumors about fellow students response:	and accused them of crimes they didn't commit, and that's why I'm resigning.
context: Right now, there's no way he could lead anyone.\I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji,\hereby resign from my position as student council president as of today.\What?\I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning. response:	Therefore, an election for the next student council president will be held very soon.
context: I need him to grow more as a person.\There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji,\hereby resign from my position as student council president as of today.\What?\I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon. response:	That's it! This is perfect! Something to help Mob-kun grow!
context: There has to be a way... Something that'll make Mob-kun grow.\Kamuro Shinji,\hereby resign from my position as student council president as of today.\What?\I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow! response:	But there's no reason Mob-kun would want to run.
context: Kamuro Shinji,\hereby resign from my position as student council president as of today.\What?\I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run. response:	How do I...
context: hereby resign from my position as student council president as of today.\What?\I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run.\How do I... response:	I wonder who the next president is going to be.
context: What?\I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run.\How do I...\I wonder who the next president is going to be. response:	Right?
context: I spread false rumors about fellow students\and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run.\How do I...\I wonder who the next president is going to be.\Right? response:	I just hope they're a good person, if nothing else.
context: and accused them of crimes they didn't commit, and that's why I'm resigning.\Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run.\How do I...\I wonder who the next president is going to be.\Right?\I just hope they're a good person, if nothing else. response:	Ah, it's Tsubomi-chan.
context: Therefore, an election for the next student council president will be held very soon.\That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run.\How do I...\I wonder who the next president is going to be.\Right?\I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan. response:	She's as cute as ever.
context: That's it! This is perfect! Something to help Mob-kun grow!\But there's no reason Mob-kun would want to run.\How do I...\I wonder who the next president is going to be.\Right?\I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan.\She's as cute as ever. response:	You're staring way too hard again.
context: But there's no reason Mob-kun would want to run.\How do I...\I wonder who the next president is going to be.\Right?\I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan.\She's as cute as ever.\You're staring way too hard again. response:	Mezato-san?!
context: How do I...\I wonder who the next president is going to be.\Right?\I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan.\She's as cute as ever.\You're staring way too hard again.\Mezato-san?! response:	And you're panicking too much.
context: I wonder who the next president is going to be.\Right?\I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan.\She's as cute as ever.\You're staring way too hard again.\Mezato-san?!\And you're panicking too much. response:	So you do like Takane-san.
context: Right?\I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan.\She's as cute as ever.\You're staring way too hard again.\Mezato-san?!\And you're panicking too much.\So you do like Takane-san. response:	Wha... How did you...
context: I just hope they're a good person, if nothing else.\Ah, it's Tsubomi-chan.\She's as cute as ever.\You're staring way too hard again.\Mezato-san?!\And you're panicking too much.\So you do like Takane-san.\Wha... How did you... response:	What's with that reaction?
context: Ah, it's Tsubomi-chan.\She's as cute as ever.\You're staring way too hard again.\Mezato-san?!\And you're panicking too much.\So you do like Takane-san.\Wha... How did you...\What's with that reaction? response:	I never expected you to fall for the school's idol.
context: She's as cute as ever.\You're staring way too hard again.\Mezato-san?!\And you're panicking too much.\So you do like Takane-san.\Wha... How did you...\What's with that reaction?\I never expected you to fall for the school's idol. response:	I guess even you can be rather superficial, too.
context: You're staring way too hard again.\Mezato-san?!\And you're panicking too much.\So you do like Takane-san.\Wha... How did you...\What's with that reaction?\I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too. response:	I honestly don't get what you see in her, though.
context: Mezato-san?!\And you're panicking too much.\So you do like Takane-san.\Wha... How did you...\What's with that reaction?\I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though. response:	I've been friends with Tsubomi-chan since we were little.
context: And you're panicking too much.\So you do like Takane-san.\Wha... How did you...\What's with that reaction?\I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little. response:	Oh, she's the school's idol?
context: So you do like Takane-san.\Wha... How did you...\What's with that reaction?\I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol? response:	I see...
context: Wha... How did you...\What's with that reaction?\I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol?\I see... response:	How did two childhood friends end up in such drastically different situations?
context: What's with that reaction?\I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol?\I see...\How did two childhood friends end up in such drastically different situations? response:	Under normal circumstances, you'd have no chance with her,
context: I never expected you to fall for the school's idol.\I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol?\I see...\How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her, response:	but right now, you have a once-in-a-lifetime opportunity!
context: I guess even you can be rather superficial, too.\I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol?\I see...\How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity! response:	What do you mean?
context: I honestly don't get what you see in her, though.\I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol?\I see...\How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity!\What do you mean? response:	Student Council
context: I've been friends with Tsubomi-chan since we were little.\Oh, she's the school's idol?\I see...\How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity!\What do you mean?\Student Council response:	The seat of student council president is vacant!
context: Oh, she's the school's idol?\I see...\How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity!\What do you mean?\Student Council\The seat of student council president is vacant! response:	Right now, Takane-san is way out of your league,
context: I see...\How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity!\What do you mean?\Student Council\The seat of student council president is vacant!\Right now, Takane-san is way out of your league, response:	but what if you were student council president?
context: How did two childhood friends end up in such drastically different situations?\Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity!\What do you mean?\Student Council\The seat of student council president is vacant!\Right now, Takane-san is way out of your league,\but what if you were student council president? response:	Student Council President
context: Under normal circumstances, you'd have no chance with her,\but right now, you have a once-in-a-lifetime opportunity!\What do you mean?\Student Council\The seat of student council president is vacant!\Right now, Takane-san is way out of your league,\but what if you were student council president?\Student Council President response:	You'd go shooting up the ranks!
context: but right now, you have a once-in-a-lifetime opportunity!\What do you mean?\Student Council\The seat of student council president is vacant!\Right now, Takane-san is way out of your league,\but what if you were student council president?\Student Council President\You'd go shooting up the ranks! response:	You might be able to close the gap between you and your school idol!
