context: The National High School Karuta Championship Tokyo Regional winner response:	is Mizusawa High School!
context: I'm just interested in the Lake Biwa Birdman Rally on the same day.\Huh?\I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around.\At least we got a teacher to accompany us.\Don't quit, Desktomu-kun!\I'm so sorry! response:	We practiced four days a week,
context: Huh?\I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around.\At least we got a teacher to accompany us.\Don't quit, Desktomu-kun!\I'm so sorry!\We practiced four days a week, response:	and even weekends the past few weeks!
context: I hope there's another brilliant performance in the distance category!\The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around.\At least we got a teacher to accompany us.\Don't quit, Desktomu-kun!\I'm so sorry!\We practiced four days a week,\and even weekends the past few weeks! response:	But it's just for now!
context: The Empress should care about karuta the way she cares about tennis!\She probably thinks that we're just playing around.\At least we got a teacher to accompany us.\Don't quit, Desktomu-kun!\I'm so sorry!\We practiced four days a week,\and even weekends the past few weeks!\But it's just for now! response:	This won't last forever!
context: She probably thinks that we're just playing around.\At least we got a teacher to accompany us.\Don't quit, Desktomu-kun!\I'm so sorry!\We practiced four days a week,\and even weekends the past few weeks!\But it's just for now!\This won't last forever! response:	What's this about? I'm not going to quit.
context: At least we got a teacher to accompany us.\Don't quit, Desktomu-kun!\I'm so sorry!\We practiced four days a week,\and even weekends the past few weeks!\But it's just for now!\This won't last forever!\What's this about? I'm not going to quit. response:	But your grades went down because of karuta...
context: Don't quit, Desktomu-kun!\I'm so sorry!\We practiced four days a week,\and even weekends the past few weeks!\But it's just for now!\This won't last forever!\What's this about? I'm not going to quit.\But your grades went down because of karuta... response:	Well, yeah. But I still placed fifth.
context: I'm so sorry!\We practiced four days a week,\and even weekends the past few weeks!\But it's just for now!\This won't last forever!\What's this about? I'm not going to quit.\But your grades went down because of karuta...\Well, yeah. But I still placed fifth. response:	Huh? Fifth?
context: We practiced four days a week,\and even weekends the past few weeks!\But it's just for now!\This won't last forever!\What's this about? I'm not going to quit.\But your grades went down because of karuta...\Well, yeah. But I still placed fifth.\Huh? Fifth? response:	I was like fifth from the bottom.
context: and even weekends the past few weeks!\But it's just for now!\This won't last forever!\What's this about? I'm not going to quit.\But your grades went down because of karuta...\Well, yeah. But I still placed fifth.\Huh? Fifth?\I was like fifth from the bottom. response:	I'm not so concerned about my grades these days.
context: But it's just for now!\This won't last forever!\What's this about? I'm not going to quit.\But your grades went down because of karuta...\Well, yeah. But I still placed fifth.\Huh? Fifth?\I was like fifth from the bottom.\I'm not so concerned about my grades these days. response:	But you should be concerned, Ayase.
context: This won't last forever!\What's this about? I'm not going to quit.\But your grades went down because of karuta...\Well, yeah. But I still placed fifth.\Huh? Fifth?\I was like fifth from the bottom.\I'm not so concerned about my grades these days.\But you should be concerned, Ayase. response:	Fifth from the bottom?
context: What's this about? I'm not going to quit.\But your grades went down because of karuta...\Well, yeah. But I still placed fifth.\Huh? Fifth?\I was like fifth from the bottom.\I'm not so concerned about my grades these days.\But you should be concerned, Ayase.\Fifth from the bottom? response:	Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama
context: But your grades went down because of karuta...\Well, yeah. But I still placed fifth.\Huh? Fifth?\I was like fifth from the bottom.\I'm not so concerned about my grades these days.\But you should be concerned, Ayase.\Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama response:	Look! It's a small article, but we're in the newspaper!
context: Well, yeah. But I still placed fifth.\Huh? Fifth?\I was like fifth from the bottom.\I'm not so concerned about my grades these days.\But you should be concerned, Ayase.\Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper! response:	Mizusawa Karuta Club advances to the national tournament
context: Huh? Fifth?\I was like fifth from the bottom.\I'm not so concerned about my grades these days.\But you should be concerned, Ayase.\Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament response:	in their striking hakama!
context: I was like fifth from the bottom.\I'm not so concerned about my grades these days.\But you should be concerned, Ayase.\Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament\in their striking hakama! response:	Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo
context: I'm not so concerned about my grades these days.\But you should be concerned, Ayase.\Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament\in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo response:	I've never been in the newspaper before!
context: But you should be concerned, Ayase.\Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament\in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before! response:	Hey, everyone!
context: Fifth from the bottom?\Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament\in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before!\Hey, everyone! response:	Would you be up for practicing at the Shiranami Society?
context: Mizusawa Karuta Club Advances To the National Tournament In Their Striking Hakama\Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament\in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before!\Hey, everyone!\Would you be up for practicing at the Shiranami Society? response:	Huh?
context: Look! It's a small article, but we're in the newspaper!\Mizusawa Karuta Club advances to the national tournament\in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before!\Hey, everyone!\Would you be up for practicing at the Shiranami Society?\Huh? response:	There's only one month left before nationals!
context: Mizusawa Karuta Club advances to the national tournament\in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before!\Hey, everyone!\Would you be up for practicing at the Shiranami Society?\Huh?\There's only one month left before nationals! response:	If we want to improve in this short amount of time,
context: in their striking hakama!\Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before!\Hey, everyone!\Would you be up for practicing at the Shiranami Society?\Huh?\There's only one month left before nationals!\If we want to improve in this short amount of time, response:	we need to practice against strong players!
context: Champion Mizusawa Champion Hokuo Champion Hokuo Champion Hokuo Champion Hokuo\I've never been in the newspaper before!\Hey, everyone!\Would you be up for practicing at the Shiranami Society?\Huh?\There's only one month left before nationals!\If we want to improve in this short amount of time,\we need to practice against strong players! response:	Um, we won't.
context: I've never been in the newspaper before!\Hey, everyone!\Would you be up for practicing at the Shiranami Society?\Huh?\There's only one month left before nationals!\If we want to improve in this short amount of time,\we need to practice against strong players!\Um, we won't. response:	Huh? Why?
context: Hey, everyone!\Would you be up for practicing at the Shiranami Society?\Huh?\There's only one month left before nationals!\If we want to improve in this short amount of time,\we need to practice against strong players!\Um, we won't.\Huh? Why? response:	We're representing Tokyo!
context: Would you be up for practicing at the Shiranami Society?\Huh?\There's only one month left before nationals!\If we want to improve in this short amount of time,\we need to practice against strong players!\Um, we won't.\Huh? Why?\We're representing Tokyo! response:	We need to do whatever it takes!
context: Huh?\There's only one month left before nationals!\If we want to improve in this short amount of time,\we need to practice against strong players!\Um, we won't.\Huh? Why?\We're representing Tokyo!\We need to do whatever it takes! response:	No, that's not it...
context: There's only one month left before nationals!\If we want to improve in this short amount of time,\we need to practice against strong players!\Um, we won't.\Huh? Why?\We're representing Tokyo!\We need to do whatever it takes!\No, that's not it... response:	We'll be practicing at the Suihoku Society.
context: If we want to improve in this short amount of time,\we need to practice against strong players!\Um, we won't.\Huh? Why?\We're representing Tokyo!\We need to do whatever it takes!\No, that's not it...\We'll be practicing at the Suihoku Society. response:	Huh?
context: we need to practice against strong players!\Um, we won't.\Huh? Why?\We're representing Tokyo!\We need to do whatever it takes!\No, that's not it...\We'll be practicing at the Suihoku Society.\Huh? response:	My old coach is a really good teacher.
context: Um, we won't.\Huh? Why?\We're representing Tokyo!\We need to do whatever it takes!\No, that's not it...\We'll be practicing at the Suihoku Society.\Huh?\My old coach is a really good teacher. response:	So long!
context: Huh? Why?\We're representing Tokyo!\We need to do whatever it takes!\No, that's not it...\We'll be practicing at the Suihoku Society.\Huh?\My old coach is a really good teacher.\So long! response:	Impressive.
context: We're representing Tokyo!\We need to do whatever it takes!\No, that's not it...\We'll be practicing at the Suihoku Society.\Huh?\My old coach is a really good teacher.\So long!\Impressive. response:	They understand what they need to improve on.
context: We need to do whatever it takes!\No, that's not it...\We'll be practicing at the Suihoku Society.\Huh?\My old coach is a really good teacher.\So long!\Impressive.\They understand what they need to improve on. response:	We should get going!
context: No, that's not it...\We'll be practicing at the Suihoku Society.\Huh?\My old coach is a really good teacher.\So long!\Impressive.\They understand what they need to improve on.\We should get going! response:	Recycle for a better Japan
context: We'll be practicing at the Suihoku Society.\Huh?\My old coach is a really good teacher.\So long!\Impressive.\They understand what they need to improve on.\We should get going!\Recycle for a better Japan response:	Oh. I'm glad to see you, Chihaya-chan. Eyebrows.
context: Huh?\My old coach is a really good teacher.\So long!\Impressive.\They understand what they need to improve on.\We should get going!\Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows. response:	Fuchu City Katamachi Cultural Center
context: My old coach is a really good teacher.\So long!\Impressive.\They understand what they need to improve on.\We should get going!\Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center response:	I have so much to teach you!
context: So long!\Impressive.\They understand what they need to improve on.\We should get going!\Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center\I have so much to teach you! response:	Eyebrows, you don't make many faults, but you lack fire!
context: Impressive.\They understand what they need to improve on.\We should get going!\Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center\I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire! response:	Your goal should be to intimidate
context: They understand what they need to improve on.\We should get going!\Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center\I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate response:	the reader into reading the card you want!
context: We should get going!\Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center\I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate\the reader into reading the card you want! response:	Also, your body needs to be off the ground when you swing.
context: Recycle for a better Japan\Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center\I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate\the reader into reading the card you want!\Also, your body needs to be off the ground when you swing. response:	Cut your nails shorter!
context: Oh. I'm glad to see you, Chihaya-chan. Eyebrows.\Fuchu City Katamachi Cultural Center\I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate\the reader into reading the card you want!\Also, your body needs to be off the ground when you swing.\Cut your nails shorter! response:	Chihaya-chan, your play is unstable because of your emotions.
context: Fuchu City Katamachi Cultural Center\I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate\the reader into reading the card you want!\Also, your body needs to be off the ground when you swing.\Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions. response:	Focus on the cards.
context: I have so much to teach you!\Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate\the reader into reading the card you want!\Also, your body needs to be off the ground when you swing.\Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards. response:	Your swing is too wide.
context: Eyebrows, you don't make many faults, but you lack fire!\Your goal should be to intimidate\the reader into reading the card you want!\Also, your body needs to be off the ground when you swing.\Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards.\Your swing is too wide. response:	Also, you had issues when you were sending cards in the finals!
context: Your goal should be to intimidate\the reader into reading the card you want!\Also, your body needs to be off the ground when you swing.\Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards.\Your swing is too wide.\Also, you had issues when you were sending cards in the finals! response:	Move straight to the card!
context: the reader into reading the card you want!\Also, your body needs to be off the ground when you swing.\Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards.\Your swing is too wide.\Also, you had issues when you were sending cards in the finals!\Move straight to the card! response:	Why didn't you separate those like cards sooner?
context: Also, your body needs to be off the ground when you swing.\Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards.\Your swing is too wide.\Also, you had issues when you were sending cards in the finals!\Move straight to the card!\Why didn't you separate those like cards sooner? response:	Follow a straight line!
context: Cut your nails shorter!\Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards.\Your swing is too wide.\Also, you had issues when you were sending cards in the finals!\Move straight to the card!\Why didn't you separate those like cards sooner?\Follow a straight line! response:	Wait until you've heard a unique syllable before moving.
context: Chihaya-chan, your play is unstable because of your emotions.\Focus on the cards.\Your swing is too wide.\Also, you had issues when you were sending cards in the finals!\Move straight to the card!\Why didn't you separate those like cards sooner?\Follow a straight line!\Wait until you've heard a unique syllable before moving. response:	Okay!
context: Focus on the cards.\Your swing is too wide.\Also, you had issues when you were sending cards in the finals!\Move straight to the card!\Why didn't you separate those like cards sooner?\Follow a straight line!\Wait until you've heard a unique syllable before moving.\Okay! response:	Let's start playing!
context: Your swing is too wide.\Also, you had issues when you were sending cards in the finals!\Move straight to the card!\Why didn't you separate those like cards sooner?\Follow a straight line!\Wait until you've heard a unique syllable before moving.\Okay!\Let's start playing! response:	Eyebrows, you'll be playing Hiroshi-kun.
context: Also, you had issues when you were sending cards in the finals!\Move straight to the card!\Why didn't you separate those like cards sooner?\Follow a straight line!\Wait until you've heard a unique syllable before moving.\Okay!\Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun. response:	He wins the second most of all the players here, so he's strong!
context: Move straight to the card!\Why didn't you separate those like cards sooner?\Follow a straight line!\Wait until you've heard a unique syllable before moving.\Okay!\Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong! response:	Heya!
context: Why didn't you separate those like cards sooner?\Follow a straight line!\Wait until you've heard a unique syllable before moving.\Okay!\Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong!\Heya! response:	H-Heya.
context: Follow a straight line!\Wait until you've heard a unique syllable before moving.\Okay!\Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong!\Heya!\H-Heya. response:	Chihaya-chan will be playing me.
context: Wait until you've heard a unique syllable before moving.\Okay!\Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong!\Heya!\H-Heya.\Chihaya-chan will be playing me. response:	Give me your best shot.
context: Okay!\Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong!\Heya!\H-Heya.\Chihaya-chan will be playing me.\Give me your best shot. response:	Dr. Harada!
context: Let's start playing!\Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong!\Heya!\H-Heya.\Chihaya-chan will be playing me.\Give me your best shot.\Dr. Harada! response:	I've never beaten him before.
context: Eyebrows, you'll be playing Hiroshi-kun.\He wins the second most of all the players here, so he's strong!\Heya!\H-Heya.\Chihaya-chan will be playing me.\Give me your best shot.\Dr. Harada!\I've never beaten him before. response:	Naniwa Bay, now the flower blooms, but for winter
context: He wins the second most of all the players here, so he's strong!\Heya!\H-Heya.\Chihaya-chan will be playing me.\Give me your best shot.\Dr. Harada!\I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter response:	Here comes spring, now the flower blooms
context: Heya!\H-Heya.\Chihaya-chan will be playing me.\Give me your best shot.\Dr. Harada!\I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms response:	You better not disgrace Tokyo with your play.
context: H-Heya.\Chihaya-chan will be playing me.\Give me your best shot.\Dr. Harada!\I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play. response:	We'll take it back next year!
context: Chihaya-chan will be playing me.\Give me your best shot.\Dr. Harada!\I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play.\We'll take it back next year! response:	Hiroshi-san is strong.
context: Give me your best shot.\Dr. Harada!\I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play.\We'll take it back next year!\Hiroshi-san is strong. response:	He's in college and he still plays all the time.
context: Dr. Harada!\I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play.\We'll take it back next year!\Hiroshi-san is strong.\He's in college and he still plays all the time. response:	He'll be playing in the Master tournament this year.
context: I've never beaten him before.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play.\We'll take it back next year!\Hiroshi-san is strong.\He's in college and he still plays all the time.\He'll be playing in the Master tournament this year. response:	How did your match with Dr. Harada go?
context: Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play.\We'll take it back next year!\Hiroshi-san is strong.\He's in college and he still plays all the time.\He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go? response:	Huh?
context: Here comes spring, now the flower blooms\You better not disgrace Tokyo with your play.\We'll take it back next year!\Hiroshi-san is strong.\He's in college and he still plays all the time.\He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go?\Huh? response:	What's wrong, Chihaya?
context: You better not disgrace Tokyo with your play.\We'll take it back next year!\Hiroshi-san is strong.\He's in college and he still plays all the time.\He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go?\Huh?\What's wrong, Chihaya? response:	Why?
context: We'll take it back next year!\Hiroshi-san is strong.\He's in college and he still plays all the time.\He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go?\Huh?\What's wrong, Chihaya?\Why? response:	Why can't I move straight to the right card the way the Doctor does?
context: Hiroshi-san is strong.\He's in college and he still plays all the time.\He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go?\Huh?\What's wrong, Chihaya?\Why?\Why can't I move straight to the right card the way the Doctor does? response:	Why did I lose by fifteen cards?
context: He's in college and he still plays all the time.\He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go?\Huh?\What's wrong, Chihaya?\Why?\Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards? response:	Why do I send the wrong cards?
context: He'll be playing in the Master tournament this year.\How did your match with Dr. Harada go?\Huh?\What's wrong, Chihaya?\Why?\Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards?\Why do I send the wrong cards? response:	Why haven't I learned how to wait for multi-syllable cards?
context: How did your match with Dr. Harada go?\Huh?\What's wrong, Chihaya?\Why?\Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards?\Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards? response:	Why do I get Note that and None are mixed up?
context: Huh?\What's wrong, Chihaya?\Why?\Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards?\Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up? response:	Chihaya!
context: What's wrong, Chihaya?\Why?\Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards?\Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up?\Chihaya! response:	Huh?
context: Why?\Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards?\Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up?\Chihaya!\Huh? response:	What's wrong?
context: Why can't I move straight to the right card the way the Doctor does?\Why did I lose by fifteen cards?\Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up?\Chihaya!\Huh?\What's wrong? response:	N-Nothing...
context: Why did I lose by fifteen cards?\Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up?\Chihaya!\Huh?\What's wrong?\N-Nothing... response:	Don't lie to me.
context: Why do I send the wrong cards?\Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up?\Chihaya!\Huh?\What's wrong?\N-Nothing...\Don't lie to me. response:	You don't know how to hide your feelings.
context: Why haven't I learned how to wait for multi-syllable cards?\Why do I get Note that and None are mixed up?\Chihaya!\Huh?\What's wrong?\N-Nothing...\Don't lie to me.\You don't know how to hide your feelings. response:	Tell me the truth!
context: Why do I get Note that and None are mixed up?\Chihaya!\Huh?\What's wrong?\N-Nothing...\Don't lie to me.\You don't know how to hide your feelings.\Tell me the truth! response:	Taichi, I think...
context: Chihaya!\Huh?\What's wrong?\N-Nothing...\Don't lie to me.\You don't know how to hide your feelings.\Tell me the truth!\Taichi, I think... response:	I'm scared of nationals.
context: Huh?\What's wrong?\N-Nothing...\Don't lie to me.\You don't know how to hide your feelings.\Tell me the truth!\Taichi, I think...\I'm scared of nationals. response:	Huh?
context: What's wrong?\N-Nothing...\Don't lie to me.\You don't know how to hide your feelings.\Tell me the truth!\Taichi, I think...\I'm scared of nationals.\Huh? response:	What if we lose miserably?
context: N-Nothing...\Don't lie to me.\You don't know how to hide your feelings.\Tell me the truth!\Taichi, I think...\I'm scared of nationals.\Huh?\What if we lose miserably? response:	What if the Hokuo people say that they should have gone
context: Don't lie to me.\You don't know how to hide your feelings.\Tell me the truth!\Taichi, I think...\I'm scared of nationals.\Huh?\What if we lose miserably?\What if the Hokuo people say that they should have gone response:	instead of us?
context: You don't know how to hide your feelings.\Tell me the truth!\Taichi, I think...\I'm scared of nationals.\Huh?\What if we lose miserably?\What if the Hokuo people say that they should have gone\instead of us? response:	What was that for, Taichi?!
context: Tell me the truth!\Taichi, I think...\I'm scared of nationals.\Huh?\What if we lose miserably?\What if the Hokuo people say that they should have gone\instead of us?\What was that for, Taichi?! response:	Strategy for Nationals Secret
context: Taichi, I think...\I'm scared of nationals.\Huh?\What if we lose miserably?\What if the Hokuo people say that they should have gone\instead of us?\What was that for, Taichi?!\Strategy for Nationals Secret response:	This is data that's been compiled by Hokuo over the years.
context: I'm scared of nationals.\Huh?\What if we lose miserably?\What if the Hokuo people say that they should have gone\instead of us?\What was that for, Taichi?!\Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years. response:	Retro-kun gave it to me yesterday.
context: Huh?\What if we lose miserably?\What if the Hokuo people say that they should have gone\instead of us?\What was that for, Taichi?!\Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday. response:	Huh?
context: What if we lose miserably?\What if the Hokuo people say that they should have gone\instead of us?\What was that for, Taichi?!\Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday.\Huh? response:	It includes the play styles of the usual contenders,
context: What if the Hokuo people say that they should have gone\instead of us?\What was that for, Taichi?!\Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday.\Huh?\It includes the play styles of the usual contenders, response:	and a guide for the Omi Jingu building.
context: instead of us?\What was that for, Taichi?!\Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday.\Huh?\It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building. response:	They even put the name of the inn Hokuo usually uses.
context: What was that for, Taichi?!\Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday.\Huh?\It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses. response:	This helps a lot.
context: Strategy for Nationals Secret\This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday.\Huh?\It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses.\This helps a lot. response:	But look at you.
context: This is data that's been compiled by Hokuo over the years.\Retro-kun gave it to me yesterday.\Huh?\It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses.\This helps a lot.\But look at you. response:	Why are you letting a team we beat get you down!
context: Retro-kun gave it to me yesterday.\Huh?\It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses.\This helps a lot.\But look at you.\Why are you letting a team we beat get you down! response:	That's just stupid!
context: Huh?\It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses.\This helps a lot.\But look at you.\Why are you letting a team we beat get you down!\That's just stupid! response:	There's no reason to feel ashamed!
context: It includes the play styles of the usual contenders,\and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses.\This helps a lot.\But look at you.\Why are you letting a team we beat get you down!\That's just stupid!\There's no reason to feel ashamed! response:	We beat them fair and square!
context: and a guide for the Omi Jingu building.\They even put the name of the inn Hokuo usually uses.\This helps a lot.\But look at you.\Why are you letting a team we beat get you down!\That's just stupid!\There's no reason to feel ashamed!\We beat them fair and square! response:	You can still feel it inside, right?
context: They even put the name of the inn Hokuo usually uses.\This helps a lot.\But look at you.\Why are you letting a team we beat get you down!\That's just stupid!\There's no reason to feel ashamed!\We beat them fair and square!\You can still feel it inside, right? response:	We're taking Hokuo and the other schools with us to Omi Jingu.
context: This helps a lot.\But look at you.\Why are you letting a team we beat get you down!\That's just stupid!\There's no reason to feel ashamed!\We beat them fair and square!\You can still feel it inside, right?\We're taking Hokuo and the other schools with us to Omi Jingu. response:	They're our closest allies.
context: But look at you.\Why are you letting a team we beat get you down!\That's just stupid!\There's no reason to feel ashamed!\We beat them fair and square!\You can still feel it inside, right?\We're taking Hokuo and the other schools with us to Omi Jingu.\They're our closest allies. response:	We took your sister to Narita. We'll be back around ten. Microwave your dinner. -Mom
context: Why are you letting a team we beat get you down!\That's just stupid!\There's no reason to feel ashamed!\We beat them fair and square!\You can still feel it inside, right?\We're taking Hokuo and the other schools with us to Omi Jingu.\They're our closest allies.\We took your sister to Narita. We'll be back around ten. Microwave your dinner. -Mom response:	Oh, right. Sis is going to Saipan.
context: That's just stupid!\There's no reason to feel ashamed!\We beat them fair and square!\You can still feel it inside, right?\We're taking Hokuo and the other schools with us to Omi Jingu.\They're our closest allies.\We took your sister to Narita. We'll be back around ten. Microwave your dinner. -Mom\Oh, right. Sis is going to Saipan. response:	I qualified for the Karuta National Championship.
context: There's no reason to feel ashamed!\We beat them fair and square!\You can still feel it inside, right?\We're taking Hokuo and the other schools with us to Omi Jingu.\They're our closest allies.\We took your sister to Narita. We'll be back around ten. Microwave your dinner. -Mom\Oh, right. Sis is going to Saipan.\I qualified for the Karuta National Championship. response:	I'll be going to Omi Jingu in Shiga.
