context: Once upon a time, there was a maiden. response:	The maiden wore tattered clothes and was called Cinderella,
context: Karon...\Fakir...\Where's the sword?\You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop.\No, THAT sword.\The Lohengrin Sword.\I need it. response:	I have to protect Mytho from the crows.
context: Fakir...\Where's the sword?\You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop.\No, THAT sword.\The Lohengrin Sword.\I need it.\I have to protect Mytho from the crows. response:	I can't give it to you.
context: Where's the sword?\You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop.\No, THAT sword.\The Lohengrin Sword.\I need it.\I have to protect Mytho from the crows.\I can't give it to you. response:	What?
context: You haven't been home in ages and not even a greeting?\There are plenty of swords in the shop.\No, THAT sword.\The Lohengrin Sword.\I need it.\I have to protect Mytho from the crows.\I can't give it to you.\What? response:	That is the sword meant for the knight to wield.
context: There are plenty of swords in the shop.\No, THAT sword.\The Lohengrin Sword.\I need it.\I have to protect Mytho from the crows.\I can't give it to you.\What?\That is the sword meant for the knight to wield. response:	You promised that you would let me have it!
context: No, THAT sword.\The Lohengrin Sword.\I need it.\I have to protect Mytho from the crows.\I can't give it to you.\What?\That is the sword meant for the knight to wield.\You promised that you would let me have it! response:	That was when you were a child.
context: The Lohengrin Sword.\I need it.\I have to protect Mytho from the crows.\I can't give it to you.\What?\That is the sword meant for the knight to wield.\You promised that you would let me have it!\That was when you were a child. response:	Mytho is regaining his heart.
context: I need it.\I have to protect Mytho from the crows.\I can't give it to you.\What?\That is the sword meant for the knight to wield.\You promised that you would let me have it!\That was when you were a child.\Mytho is regaining his heart. response:	Princess Tutu has appeared.
context: I have to protect Mytho from the crows.\I can't give it to you.\What?\That is the sword meant for the knight to wield.\You promised that you would let me have it!\That was when you were a child.\Mytho is regaining his heart.\Princess Tutu has appeared. response:	The crows are returning as well.
context: I can't give it to you.\What?\That is the sword meant for the knight to wield.\You promised that you would let me have it!\That was when you were a child.\Mytho is regaining his heart.\Princess Tutu has appeared.\The crows are returning as well. response:	The legend you told me about is all becoming reality.
context: What?\That is the sword meant for the knight to wield.\You promised that you would let me have it!\That was when you were a child.\Mytho is regaining his heart.\Princess Tutu has appeared.\The crows are returning as well.\The legend you told me about is all becoming reality. response:	If so, I am the knight in the story reborn.
context: That is the sword meant for the knight to wield.\You promised that you would let me have it!\That was when you were a child.\Mytho is regaining his heart.\Princess Tutu has appeared.\The crows are returning as well.\The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn. response:	Fakir is a knight reborn?
context: You promised that you would let me have it!\That was when you were a child.\Mytho is regaining his heart.\Princess Tutu has appeared.\The crows are returning as well.\The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn.\Fakir is a knight reborn? response:	If I am the knight, it should be all right for me to use the Lohengrin Sword.
context: That was when you were a child.\Mytho is regaining his heart.\Princess Tutu has appeared.\The crows are returning as well.\The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn.\Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword. response:	Fakir, just leave Mytho be from now on.
context: Mytho is regaining his heart.\Princess Tutu has appeared.\The crows are returning as well.\The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn.\Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on. response:	What did you say?
context: Princess Tutu has appeared.\The crows are returning as well.\The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn.\Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on.\What did you say? response:	It would be better if you did not involve yourself
context: The crows are returning as well.\The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn.\Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on.\What did you say?\It would be better if you did not involve yourself response:	in this accursed tale any further!
context: The legend you told me about is all becoming reality.\If so, I am the knight in the story reborn.\Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on.\What did you say?\It would be better if you did not involve yourself\in this accursed tale any further! response:	Why are you saying this now, at this late date?!
context: If so, I am the knight in the story reborn.\Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on.\What did you say?\It would be better if you did not involve yourself\in this accursed tale any further!\Why are you saying this now, at this late date?! response:	The day you took me in after my parents had died, you told me, remember?
context: Fakir is a knight reborn?\If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on.\What did you say?\It would be better if you did not involve yourself\in this accursed tale any further!\Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember? response:	This mark of yours is exactly like in the legend that has been passed down among our people.
context: If I am the knight, it should be all right for me to use the Lohengrin Sword.\Fakir, just leave Mytho be from now on.\What did you say?\It would be better if you did not involve yourself\in this accursed tale any further!\Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people. response:	I'm sure you'll grow up to be strong.
context: Fakir, just leave Mytho be from now on.\What did you say?\It would be better if you did not involve yourself\in this accursed tale any further!\Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong. response:	It's a sign that you are the reincarnation the brave knight, who protected the prince.
context: What did you say?\It would be better if you did not involve yourself\in this accursed tale any further!\Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince. response:	And in time, it became a source of pride for me.
context: It would be better if you did not involve yourself\in this accursed tale any further!\Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me. response:	If it was to protect the people, the prince never feared being injured himself.
context: in this accursed tale any further!\Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself. response:	Wow, that's so great!
context: Why are you saying this now, at this late date?!\The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great! response:	And then, my destiny was suddenly set in motion.
context: The day you took me in after my parents had died, you told me, remember?\This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great!\And then, my destiny was suddenly set in motion. response:	Karon, his heart isn't beating!
context: This mark of yours is exactly like in the legend that has been passed down among our people.\I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great!\And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating! response:	Karon?
context: I'm sure you'll grow up to be strong.\It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great!\And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating!\Karon? response:	The prince, who had lost his heart...
context: It's a sign that you are the reincarnation the brave knight, who protected the prince.\And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great!\And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating!\Karon?\The prince, who had lost his heart... response:	Mythos...
context: And in time, it became a source of pride for me.\If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great!\And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating!\Karon?\The prince, who had lost his heart...\Mythos... response:	Mythos means a person of legend. Did you know that?
context: If it was to protect the people, the prince never feared being injured himself.\Wow, that's so great!\And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating!\Karon?\The prince, who had lost his heart...\Mythos...\Mythos means a person of legend. Did you know that? response:	Don't know.
context: Wow, that's so great!\And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating!\Karon?\The prince, who had lost his heart...\Mythos...\Mythos means a person of legend. Did you know that?\Don't know. response:	You don't know anything, do you, Prince?
context: And then, my destiny was suddenly set in motion.\Karon, his heart isn't beating!\Karon?\The prince, who had lost his heart...\Mythos...\Mythos means a person of legend. Did you know that?\Don't know.\You don't know anything, do you, Prince? response:	Sorry.
context: Karon, his heart isn't beating!\Karon?\The prince, who had lost his heart...\Mythos...\Mythos means a person of legend. Did you know that?\Don't know.\You don't know anything, do you, Prince?\Sorry. response:	It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!
context: Karon?\The prince, who had lost his heart...\Mythos...\Mythos means a person of legend. Did you know that?\Don't know.\You don't know anything, do you, Prince?\Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name! response:	Okay.
context: The prince, who had lost his heart...\Mythos...\Mythos means a person of legend. Did you know that?\Don't know.\You don't know anything, do you, Prince?\Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay. response:	Then it's settled! You'll be Mytho starting today!
context: Mythos...\Mythos means a person of legend. Did you know that?\Don't know.\You don't know anything, do you, Prince?\Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay.\Then it's settled! You'll be Mytho starting today! response:	Mytho had no emotions.
context: Mythos means a person of legend. Did you know that?\Don't know.\You don't know anything, do you, Prince?\Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay.\Then it's settled! You'll be Mytho starting today!\Mytho had no emotions. response:	But whenever he saw something weak suffering, no matter what dangers he faced,
context: Don't know.\You don't know anything, do you, Prince?\Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay.\Then it's settled! You'll be Mytho starting today!\Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced, response:	he would try to protect it without hesitation.
context: You don't know anything, do you, Prince?\Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay.\Then it's settled! You'll be Mytho starting today!\Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation. response:	Oh, Mytho! It's dangerous!
context: Sorry.\It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay.\Then it's settled! You'll be Mytho starting today!\Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation.\Oh, Mytho! It's dangerous! response:	Oh, it's dangerous!
context: It's weird for your name to be Prince, so how about taking the name Mytho? It's a cool name!\Okay.\Then it's settled! You'll be Mytho starting today!\Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation.\Oh, Mytho! It's dangerous!\Oh, it's dangerous! response:	Mytho...
context: Okay.\Then it's settled! You'll be Mytho starting today!\Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation.\Oh, Mytho! It's dangerous!\Oh, it's dangerous!\Mytho... response:	Mytho!
context: Then it's settled! You'll be Mytho starting today!\Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation.\Oh, Mytho! It's dangerous!\Oh, it's dangerous!\Mytho...\Mytho! response:	Fakir...
context: Mytho had no emotions.\But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation.\Oh, Mytho! It's dangerous!\Oh, it's dangerous!\Mytho...\Mytho!\Fakir... response:	Stupid...
context: But whenever he saw something weak suffering, no matter what dangers he faced,\he would try to protect it without hesitation.\Oh, Mytho! It's dangerous!\Oh, it's dangerous!\Mytho...\Mytho!\Fakir...\Stupid... response:	You're absentminded, so it's troublesome when you go and do unnecessary things!
context: he would try to protect it without hesitation.\Oh, Mytho! It's dangerous!\Oh, it's dangerous!\Mytho...\Mytho!\Fakir...\Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things! response:	Sorry.
context: Oh, Mytho! It's dangerous!\Oh, it's dangerous!\Mytho...\Mytho!\Fakir...\Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry. response:	Don't go trying to help people.
context: Oh, it's dangerous!\Mytho...\Mytho!\Fakir...\Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry.\Don't go trying to help people. response:	Okay...
context: Mytho...\Mytho!\Fakir...\Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry.\Don't go trying to help people.\Okay... response:	Just listen to what I say. I'll protect you.
context: Mytho!\Fakir...\Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry.\Don't go trying to help people.\Okay...\Just listen to what I say. I'll protect you. response:	I will protect Mytho, because that was the promise I made.
context: Fakir...\Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry.\Don't go trying to help people.\Okay...\Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made. response:	Protect Mytho? But then, why did you try to shatter his heart?
context: Stupid...\You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry.\Don't go trying to help people.\Okay...\Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart? response:	What you're trying to do isn't for Mytho's sake!
context: You're absentminded, so it's troublesome when you go and do unnecessary things!\Sorry.\Don't go trying to help people.\Okay...\Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake! response:	It's for your own sake, isn't it, Fakir?!
context: Sorry.\Don't go trying to help people.\Okay...\Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?! response:	What?
context: Don't go trying to help people.\Okay...\Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?!\What? response:	Soon, the time to fight will come.
context: Okay...\Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?!\What?\Soon, the time to fight will come. response:	Are you sure you're not afraid you'll follow the same fate as the knight in the story?
context: Just listen to what I say. I'll protect you.\I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?!\What?\Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story? response:	No...
context: I will protect Mytho, because that was the promise I made.\Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?!\What?\Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No... response:	You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,
context: Protect Mytho? But then, why did you try to shatter his heart?\What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?!\What?\Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored, response:	and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,
context: What you're trying to do isn't for Mytho's sake!\It's for your own sake, isn't it, Fakir?!\What?\Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do, response:	all because you feared to fight, didn't you?!
context: It's for your own sake, isn't it, Fakir?!\What?\Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?! response:	No!
context: What?\Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?!\No! response:	With the way you are now, you won't be able to protect Mytho!
context: Soon, the time to fight will come.\Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?!\No!\With the way you are now, you won't be able to protect Mytho! response:	Stop it!
context: Are you sure you're not afraid you'll follow the same fate as the knight in the story?\No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?!\No!\With the way you are now, you won't be able to protect Mytho!\Stop it! response:	Wash your hands of this!
context: No...\You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?!\No!\With the way you are now, you won't be able to protect Mytho!\Stop it!\Wash your hands of this! response:	That's enough! Any sword will do!
context: You kept calling him a good-for-nothing so the prince's heart wouldn't be restored,\and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?!\No!\With the way you are now, you won't be able to protect Mytho!\Stop it!\Wash your hands of this!\That's enough! Any sword will do! response:	Stop doing this now. Do you understand?
context: and you enrolled him at Gold Crown Academy to make him do nothing but dance, which he loved to do,\all because you feared to fight, didn't you?!\No!\With the way you are now, you won't be able to protect Mytho!\Stop it!\Wash your hands of this!\That's enough! Any sword will do!\Stop doing this now. Do you understand? response:	Yes... I may be afraid, just as you say, but I want to protect him.
context: all because you feared to fight, didn't you?!\No!\With the way you are now, you won't be able to protect Mytho!\Stop it!\Wash your hands of this!\That's enough! Any sword will do!\Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him. response:	Protect the pure-hearted Mytho, who's always risking himself.
context: No!\With the way you are now, you won't be able to protect Mytho!\Stop it!\Wash your hands of this!\That's enough! Any sword will do!\Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself. response:	There's a shard somewhere around here...
context: With the way you are now, you won't be able to protect Mytho!\Stop it!\Wash your hands of this!\That's enough! Any sword will do!\Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here... response:	Fakir!
context: Stop it!\Wash your hands of this!\That's enough! Any sword will do!\Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here...\Fakir! response:	I don't know anymore...
context: Wash your hands of this!\That's enough! Any sword will do!\Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here...\Fakir!\I don't know anymore... response:	What's right and what's wrong?
context: That's enough! Any sword will do!\Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here...\Fakir!\I don't know anymore...\What's right and what's wrong? response:	But the one thing I can tell is that Fakir isn't lying.
context: Stop doing this now. Do you understand?\Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here...\Fakir!\I don't know anymore...\What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying. response:	I couldn't see any of it.
context: Yes... I may be afraid, just as you say, but I want to protect him.\Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here...\Fakir!\I don't know anymore...\What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it. response:	Fakir is the same as me.
context: Protect the pure-hearted Mytho, who's always risking himself.\There's a shard somewhere around here...\Fakir!\I don't know anymore...\What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it.\Fakir is the same as me. response:	No, he might care about Mytho even more than I do.
context: There's a shard somewhere around here...\Fakir!\I don't know anymore...\What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it.\Fakir is the same as me.\No, he might care about Mytho even more than I do. response:	You...
context: Fakir!\I don't know anymore...\What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it.\Fakir is the same as me.\No, he might care about Mytho even more than I do.\You... response:	You've caught me at a bad moment.
context: I don't know anymore...\What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it.\Fakir is the same as me.\No, he might care about Mytho even more than I do.\You...\You've caught me at a bad moment. response:	Quack.
context: What's right and what's wrong?\But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it.\Fakir is the same as me.\No, he might care about Mytho even more than I do.\You...\You've caught me at a bad moment.\Quack. response:	You'll cry for my sake?
context: But the one thing I can tell is that Fakir isn't lying.\I couldn't see any of it.\Fakir is the same as me.\No, he might care about Mytho even more than I do.\You...\You've caught me at a bad moment.\Quack.\You'll cry for my sake? response:	Quack?
context: I couldn't see any of it.\Fakir is the same as me.\No, he might care about Mytho even more than I do.\You...\You've caught me at a bad moment.\Quack.\You'll cry for my sake?\Quack? response:	You can have it. You wanted it, right?
context: Fakir is the same as me.\No, he might care about Mytho even more than I do.\You...\You've caught me at a bad moment.\Quack.\You'll cry for my sake?\Quack?\You can have it. You wanted it, right? response:	Princess Tutu, I do not acknowledge you.
context: No, he might care about Mytho even more than I do.\You...\You've caught me at a bad moment.\Quack.\You'll cry for my sake?\Quack?\You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you. response:	Fakir...
context: You...\You've caught me at a bad moment.\Quack.\You'll cry for my sake?\Quack?\You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you.\Fakir... response:	Oh, yeah! There's a shard at Karon-san's house.
context: You've caught me at a bad moment.\Quack.\You'll cry for my sake?\Quack?\You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you.\Fakir...\Oh, yeah! There's a shard at Karon-san's house. response:	Was this really the right thing to do?
context: Quack.\You'll cry for my sake?\Quack?\You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you.\Fakir...\Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do? response:	There's no way to know.
context: You'll cry for my sake?\Quack?\You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you.\Fakir...\Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do?\There's no way to know. response:	No matter what you do right now, you'll only regret it.
context: Quack?\You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you.\Fakir...\Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do?\There's no way to know.\No matter what you do right now, you'll only regret it. response:	You're right.
context: You can have it. You wanted it, right?\Princess Tutu, I do not acknowledge you.\Fakir...\Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do?\There's no way to know.\No matter what you do right now, you'll only regret it.\You're right. response:	It's here, just as I thought.
context: Princess Tutu, I do not acknowledge you.\Fakir...\Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do?\There's no way to know.\No matter what you do right now, you'll only regret it.\You're right.\It's here, just as I thought. response:	Come now, if you don't hurry, the wedding will start.
context: Fakir...\Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do?\There's no way to know.\No matter what you do right now, you'll only regret it.\You're right.\It's here, just as I thought.\Come now, if you don't hurry, the wedding will start. response:	Karon-san...
context: Oh, yeah! There's a shard at Karon-san's house.\Was this really the right thing to do?\There's no way to know.\No matter what you do right now, you'll only regret it.\You're right.\It's here, just as I thought.\Come now, if you don't hurry, the wedding will start.\Karon-san... response:	Princess Tutu!
context: Was this really the right thing to do?\There's no way to know.\No matter what you do right now, you'll only regret it.\You're right.\It's here, just as I thought.\Come now, if you don't hurry, the wedding will start.\Karon-san...\Princess Tutu! response:	I never dreamed you would really...
context: There's no way to know.\No matter what you do right now, you'll only regret it.\You're right.\It's here, just as I thought.\Come now, if you don't hurry, the wedding will start.\Karon-san...\Princess Tutu!\I never dreamed you would really... response:	Dance with me, Karon-san.
context: No matter what you do right now, you'll only regret it.\You're right.\It's here, just as I thought.\Come now, if you don't hurry, the wedding will start.\Karon-san...\Princess Tutu!\I never dreamed you would really...\Dance with me, Karon-san. response:	So the tale is really beginning to move...
context: You're right.\It's here, just as I thought.\Come now, if you don't hurry, the wedding will start.\Karon-san...\Princess Tutu!\I never dreamed you would really...\Dance with me, Karon-san.\So the tale is really beginning to move... response:	But I do not know what it is that I should do.
context: It's here, just as I thought.\Come now, if you don't hurry, the wedding will start.\Karon-san...\Princess Tutu!\I never dreamed you would really...\Dance with me, Karon-san.\So the tale is really beginning to move...\But I do not know what it is that I should do. response:	I have always regretted telling Fakir the legend.
context: Come now, if you don't hurry, the wedding will start.\Karon-san...\Princess Tutu!\I never dreamed you would really...\Dance with me, Karon-san.\So the tale is really beginning to move...\But I do not know what it is that I should do.\I have always regretted telling Fakir the legend. response:	No, I regret having hurt Fakir.
context: Karon-san...\Princess Tutu!\I never dreamed you would really...\Dance with me, Karon-san.\So the tale is really beginning to move...\But I do not know what it is that I should do.\I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir. response:	I can only do things that I regret for that child.
context: Princess Tutu!\I never dreamed you would really...\Dance with me, Karon-san.\So the tale is really beginning to move...\But I do not know what it is that I should do.\I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir.\I can only do things that I regret for that child. response:	No...
context: I never dreamed you would really...\Dance with me, Karon-san.\So the tale is really beginning to move...\But I do not know what it is that I should do.\I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir.\I can only do things that I regret for that child.\No... response:	You should be able to have faith in him.
context: Dance with me, Karon-san.\So the tale is really beginning to move...\But I do not know what it is that I should do.\I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir.\I can only do things that I regret for that child.\No...\You should be able to have faith in him. response:	Have faith?
context: So the tale is really beginning to move...\But I do not know what it is that I should do.\I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir.\I can only do things that I regret for that child.\No...\You should be able to have faith in him.\Have faith? response:	Yes, if Fakir journeys down the path he believes in, I think he won't regret it, no matter what the outcome.
context: But I do not know what it is that I should do.\I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir.\I can only do things that I regret for that child.\No...\You should be able to have faith in him.\Have faith?\Yes, if Fakir journeys down the path he believes in, I think he won't regret it, no matter what the outcome. response:	Why not have faith in Fakir?
context: I have always regretted telling Fakir the legend.\No, I regret having hurt Fakir.\I can only do things that I regret for that child.\No...\You should be able to have faith in him.\Have faith?\Yes, if Fakir journeys down the path he believes in, I think he won't regret it, no matter what the outcome.\Why not have faith in Fakir? response:	Have faith in Fakir...
context: No, I regret having hurt Fakir.\I can only do things that I regret for that child.\No...\You should be able to have faith in him.\Have faith?\Yes, if Fakir journeys down the path he believes in, I think he won't regret it, no matter what the outcome.\Why not have faith in Fakir?\Have faith in Fakir... response:	I am the feeling of regret.
