context: Who are you? response:	Do you want to know more about what happened in Vladivostok?
context: Let's board Noah's Ark together!\Give her a mission?\It's not about the reward.\She'll only slow me down.\She has a better aim with a rifle than I have, but...\that's really all.\I can do that mission alone.\What did you do?! response:	Lebanon gave me an earthenware pot and gas burner.
context: Give her a mission?\It's not about the reward.\She'll only slow me down.\She has a better aim with a rifle than I have, but...\that's really all.\I can do that mission alone.\What did you do?!\Lebanon gave me an earthenware pot and gas burner. response:	Earthenware pot?
context: It's not about the reward.\She'll only slow me down.\She has a better aim with a rifle than I have, but...\that's really all.\I can do that mission alone.\What did you do?!\Lebanon gave me an earthenware pot and gas burner.\Earthenware pot? response:	She really is impulsive.
context: She'll only slow me down.\She has a better aim with a rifle than I have, but...\that's really all.\I can do that mission alone.\What did you do?!\Lebanon gave me an earthenware pot and gas burner.\Earthenware pot?\She really is impulsive. response:	When she opened it, there was a cockroach inside.
context: She has a better aim with a rifle than I have, but...\that's really all.\I can do that mission alone.\What did you do?!\Lebanon gave me an earthenware pot and gas burner.\Earthenware pot?\She really is impulsive.\When she opened it, there was a cockroach inside. response:	Then bang!
context: that's really all.\I can do that mission alone.\What did you do?!\Lebanon gave me an earthenware pot and gas burner.\Earthenware pot?\She really is impulsive.\When she opened it, there was a cockroach inside.\Then bang! response:	Why?
context: I can do that mission alone.\What did you do?!\Lebanon gave me an earthenware pot and gas burner.\Earthenware pot?\She really is impulsive.\When she opened it, there was a cockroach inside.\Then bang!\Why? response:	Because I hate bugs now.
context: What did you do?!\Lebanon gave me an earthenware pot and gas burner.\Earthenware pot?\She really is impulsive.\When she opened it, there was a cockroach inside.\Then bang!\Why?\Because I hate bugs now. response:	You're going to hit me again, aren't you?
context: Lebanon gave me an earthenware pot and gas burner.\Earthenware pot?\She really is impulsive.\When she opened it, there was a cockroach inside.\Then bang!\Why?\Because I hate bugs now.\You're going to hit me again, aren't you? response:	I know.
context: Earthenware pot?\She really is impulsive.\When she opened it, there was a cockroach inside.\Then bang!\Why?\Because I hate bugs now.\You're going to hit me again, aren't you?\I know. response:	Just do it.
context: She really is impulsive.\When she opened it, there was a cockroach inside.\Then bang!\Why?\Because I hate bugs now.\You're going to hit me again, aren't you?\I know.\Just do it. response:	But in exchange, hit me on the left side.
context: When she opened it, there was a cockroach inside.\Then bang!\Why?\Because I hate bugs now.\You're going to hit me again, aren't you?\I know.\Just do it.\But in exchange, hit me on the left side. response:	What?
context: Then bang!\Why?\Because I hate bugs now.\You're going to hit me again, aren't you?\I know.\Just do it.\But in exchange, hit me on the left side.\What? response:	The right side is still hurting from the last time.
context: Why?\Because I hate bugs now.\You're going to hit me again, aren't you?\I know.\Just do it.\But in exchange, hit me on the left side.\What?\The right side is still hurting from the last time. response:	I won't be able to move properly if there's no balance.
context: Because I hate bugs now.\You're going to hit me again, aren't you?\I know.\Just do it.\But in exchange, hit me on the left side.\What?\The right side is still hurting from the last time.\I won't be able to move properly if there's no balance. response:	Hurry up.
context: You're going to hit me again, aren't you?\I know.\Just do it.\But in exchange, hit me on the left side.\What?\The right side is still hurting from the last time.\I won't be able to move properly if there's no balance.\Hurry up. response:	You're so irritating.
context: I know.\Just do it.\But in exchange, hit me on the left side.\What?\The right side is still hurting from the last time.\I won't be able to move properly if there's no balance.\Hurry up.\You're so irritating. response:	Hey, you'll freeze to death.
context: Just do it.\But in exchange, hit me on the left side.\What?\The right side is still hurting from the last time.\I won't be able to move properly if there's no balance.\Hurry up.\You're so irritating.\Hey, you'll freeze to death. response:	A cockroach, eh?
context: But in exchange, hit me on the left side.\What?\The right side is still hurting from the last time.\I won't be able to move properly if there's no balance.\Hurry up.\You're so irritating.\Hey, you'll freeze to death.\A cockroach, eh? response:	It must be because of her friend.
context: What?\The right side is still hurting from the last time.\I won't be able to move properly if there's no balance.\Hurry up.\You're so irritating.\Hey, you'll freeze to death.\A cockroach, eh?\It must be because of her friend. response:	Even though she's used to her new powers, what happened to her friend must really have shocked her.
context: The right side is still hurting from the last time.\I won't be able to move properly if there's no balance.\Hurry up.\You're so irritating.\Hey, you'll freeze to death.\A cockroach, eh?\It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her. response:	She was saying things about love and stuff.
context: I won't be able to move properly if there's no balance.\Hurry up.\You're so irritating.\Hey, you'll freeze to death.\A cockroach, eh?\It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff. response:	She was really worried about her friend.
context: Hurry up.\You're so irritating.\Hey, you'll freeze to death.\A cockroach, eh?\It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff.\She was really worried about her friend. response:	I doubt there's anyone she likes though.
context: You're so irritating.\Hey, you'll freeze to death.\A cockroach, eh?\It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff.\She was really worried about her friend.\I doubt there's anyone she likes though. response:	I hate you.
context: Hey, you'll freeze to death.\A cockroach, eh?\It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff.\She was really worried about her friend.\I doubt there's anyone she likes though.\I hate you. response:	So I'm the same as a cockroach, huh...
context: A cockroach, eh?\It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff.\She was really worried about her friend.\I doubt there's anyone she likes though.\I hate you.\So I'm the same as a cockroach, huh... response:	Guess this is the warmest room here.
context: It must be because of her friend.\Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff.\She was really worried about her friend.\I doubt there's anyone she likes though.\I hate you.\So I'm the same as a cockroach, huh...\Guess this is the warmest room here. response:	What's up with her?
context: Even though she's used to her new powers, what happened to her friend must really have shocked her.\She was saying things about love and stuff.\She was really worried about her friend.\I doubt there's anyone she likes though.\I hate you.\So I'm the same as a cockroach, huh...\Guess this is the warmest room here.\What's up with her? response:	Even though she's a contractor, there's no pattern in her behavior.
context: She was saying things about love and stuff.\She was really worried about her friend.\I doubt there's anyone she likes though.\I hate you.\So I'm the same as a cockroach, huh...\Guess this is the warmest room here.\What's up with her?\Even though she's a contractor, there's no pattern in her behavior. response:	She didn't lose interest in her hobbies, either.
context: She was really worried about her friend.\I doubt there's anyone she likes though.\I hate you.\So I'm the same as a cockroach, huh...\Guess this is the warmest room here.\What's up with her?\Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either. response:	There were too many things she didn't know.
context: I doubt there's anyone she likes though.\I hate you.\So I'm the same as a cockroach, huh...\Guess this is the warmest room here.\What's up with her?\Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either.\There were too many things she didn't know. response:	Perhaps she wasn't really what you'd call an adult human.
context: I hate you.\So I'm the same as a cockroach, huh...\Guess this is the warmest room here.\What's up with her?\Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either.\There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human. response:	And then she became a contractor.
context: So I'm the same as a cockroach, huh...\Guess this is the warmest room here.\What's up with her?\Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either.\There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor. response:	A contractor who's accumulating social experiences...
context: Guess this is the warmest room here.\What's up with her?\Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either.\There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor.\A contractor who's accumulating social experiences... response:	Yeah.
context: What's up with her?\Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either.\There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor.\A contractor who's accumulating social experiences...\Yeah. response:	She's probably accumulating more experience to help her make logical decisions.
context: Even though she's a contractor, there's no pattern in her behavior.\She didn't lose interest in her hobbies, either.\There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor.\A contractor who's accumulating social experiences...\Yeah.\She's probably accumulating more experience to help her make logical decisions. response:	She's still a kid.
context: She didn't lose interest in her hobbies, either.\There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor.\A contractor who's accumulating social experiences...\Yeah.\She's probably accumulating more experience to help her make logical decisions.\She's still a kid. response:	Good night.
context: There were too many things she didn't know.\Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor.\A contractor who's accumulating social experiences...\Yeah.\She's probably accumulating more experience to help her make logical decisions.\She's still a kid.\Good night. response:	The Mitaka document... Izanami...
context: Perhaps she wasn't really what you'd call an adult human.\And then she became a contractor.\A contractor who's accumulating social experiences...\Yeah.\She's probably accumulating more experience to help her make logical decisions.\She's still a kid.\Good night.\The Mitaka document... Izanami... response:	Why am I believing her?
context: And then she became a contractor.\A contractor who's accumulating social experiences...\Yeah.\She's probably accumulating more experience to help her make logical decisions.\She's still a kid.\Good night.\The Mitaka document... Izanami...\Why am I believing her? response:	But that's the only clue I have.
context: A contractor who's accumulating social experiences...\Yeah.\She's probably accumulating more experience to help her make logical decisions.\She's still a kid.\Good night.\The Mitaka document... Izanami...\Why am I believing her?\But that's the only clue I have. response:	Ichinose-san.
context: Yeah.\She's probably accumulating more experience to help her make logical decisions.\She's still a kid.\Good night.\The Mitaka document... Izanami...\Why am I believing her?\But that's the only clue I have.\Ichinose-san. response:	Chief Kobayashi is calling for you.
context: She's probably accumulating more experience to help her make logical decisions.\She's still a kid.\Good night.\The Mitaka document... Izanami...\Why am I believing her?\But that's the only clue I have.\Ichinose-san.\Chief Kobayashi is calling for you. response:	You've got new orders.
context: She's still a kid.\Good night.\The Mitaka document... Izanami...\Why am I believing her?\But that's the only clue I have.\Ichinose-san.\Chief Kobayashi is calling for you.\You've got new orders. response:	We want you to transport an important object from a facility in Sapporo.
context: Good night.\The Mitaka document... Izanami...\Why am I believing her?\But that's the only clue I have.\Ichinose-san.\Chief Kobayashi is calling for you.\You've got new orders.\We want you to transport an important object from a facility in Sapporo. response:	Codename: Izanami.
context: The Mitaka document... Izanami...\Why am I believing her?\But that's the only clue I have.\Ichinose-san.\Chief Kobayashi is calling for you.\You've got new orders.\We want you to transport an important object from a facility in Sapporo.\Codename: Izanami. response:	I'm here to chase after BK201.
context: Why am I believing her?\But that's the only clue I have.\Ichinose-san.\Chief Kobayashi is calling for you.\You've got new orders.\We want you to transport an important object from a facility in Sapporo.\Codename: Izanami.\I'm here to chase after BK201. response:	Or are you saying there's more behind this order?
context: But that's the only clue I have.\Ichinose-san.\Chief Kobayashi is calling for you.\You've got new orders.\We want you to transport an important object from a facility in Sapporo.\Codename: Izanami.\I'm here to chase after BK201.\Or are you saying there's more behind this order? response:	Of course there is a reason we can't be careless.
context: Ichinose-san.\Chief Kobayashi is calling for you.\You've got new orders.\We want you to transport an important object from a facility in Sapporo.\Codename: Izanami.\I'm here to chase after BK201.\Or are you saying there's more behind this order?\Of course there is a reason we can't be careless. response:	We've been informed by our agent in Sapporo.
context: Chief Kobayashi is calling for you.\You've got new orders.\We want you to transport an important object from a facility in Sapporo.\Codename: Izanami.\I'm here to chase after BK201.\Or are you saying there's more behind this order?\Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo. response:	He spotted BK201 in the company of some kids.
context: You've got new orders.\We want you to transport an important object from a facility in Sapporo.\Codename: Izanami.\I'm here to chase after BK201.\Or are you saying there's more behind this order?\Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids. response:	He's in Sapporo?
context: We want you to transport an important object from a facility in Sapporo.\Codename: Izanami.\I'm here to chase after BK201.\Or are you saying there's more behind this order?\Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids.\He's in Sapporo? response:	Episode 5 The gunpowder is drifting away, so is the life...
context: Codename: Izanami.\I'm here to chase after BK201.\Or are you saying there's more behind this order?\Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids.\He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life... response:	At least knock.
context: I'm here to chase after BK201.\Or are you saying there's more behind this order?\Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids.\He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life...\At least knock. response:	Someone's here.
context: Or are you saying there's more behind this order?\Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids.\He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life...\At least knock.\Someone's here. response:	Pursuers?
context: Of course there is a reason we can't be careless.\We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids.\He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life...\At least knock.\Someone's here.\Pursuers? response:	How many?
context: We've been informed by our agent in Sapporo.\He spotted BK201 in the company of some kids.\He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life...\At least knock.\Someone's here.\Pursuers?\How many? response:	Three. One of them is a contractor.
context: He spotted BK201 in the company of some kids.\He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life...\At least knock.\Someone's here.\Pursuers?\How many?\Three. One of them is a contractor. response:	I'll draw their attention.
context: He's in Sapporo?\Episode 5 The gunpowder is drifting away, so is the life...\At least knock.\Someone's here.\Pursuers?\How many?\Three. One of them is a contractor.\I'll draw their attention. response:	You three escape through the entrance while they're distracted.
context: Episode 5 The gunpowder is drifting away, so is the life...\At least knock.\Someone's here.\Pursuers?\How many?\Three. One of them is a contractor.\I'll draw their attention.\You three escape through the entrance while they're distracted. response:	We'll regroup at the usual place.
context: At least knock.\Someone's here.\Pursuers?\How many?\Three. One of them is a contractor.\I'll draw their attention.\You three escape through the entrance while they're distracted.\We'll regroup at the usual place. response:	What's this?
context: Someone's here.\Pursuers?\How many?\Three. One of them is a contractor.\I'll draw their attention.\You three escape through the entrance while they're distracted.\We'll regroup at the usual place.\What's this? response:	BK201 was living here?
context: Pursuers?\How many?\Three. One of them is a contractor.\I'll draw their attention.\You three escape through the entrance while they're distracted.\We'll regroup at the usual place.\What's this?\BK201 was living here? response:	Yes, with a girl.
context: How many?\Three. One of them is a contractor.\I'll draw their attention.\You three escape through the entrance while they're distracted.\We'll regroup at the usual place.\What's this?\BK201 was living here?\Yes, with a girl. response:	Girl? Not a boy?
context: Three. One of them is a contractor.\I'll draw their attention.\You three escape through the entrance while they're distracted.\We'll regroup at the usual place.\What's this?\BK201 was living here?\Yes, with a girl.\Girl? Not a boy? response:	Yes. Unless he was cross-dressing...
context: I'll draw their attention.\You three escape through the entrance while they're distracted.\We'll regroup at the usual place.\What's this?\BK201 was living here?\Yes, with a girl.\Girl? Not a boy?\Yes. Unless he was cross-dressing... response:	According to the family register, Shion Pavlichenko had a twin sister.
context: You three escape through the entrance while they're distracted.\We'll regroup at the usual place.\What's this?\BK201 was living here?\Yes, with a girl.\Girl? Not a boy?\Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister. response:	But we know nothing about her.
context: We'll regroup at the usual place.\What's this?\BK201 was living here?\Yes, with a girl.\Girl? Not a boy?\Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her. response:	She might have been killed by the FSB.
context: What's this?\BK201 was living here?\Yes, with a girl.\Girl? Not a boy?\Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her.\She might have been killed by the FSB. response:	If the person with BK201 is truly a girl...
context: BK201 was living here?\Yes, with a girl.\Girl? Not a boy?\Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her.\She might have been killed by the FSB.\If the person with BK201 is truly a girl... response:	You're jealous?
context: Yes, with a girl.\Girl? Not a boy?\Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her.\She might have been killed by the FSB.\If the person with BK201 is truly a girl...\You're jealous? response:	We have to go.
context: Girl? Not a boy?\Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her.\She might have been killed by the FSB.\If the person with BK201 is truly a girl...\You're jealous?\We have to go. response:	The people at the research lab are awaiting you.
context: Yes. Unless he was cross-dressing...\According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her.\She might have been killed by the FSB.\If the person with BK201 is truly a girl...\You're jealous?\We have to go.\The people at the research lab are awaiting you. response:	It smells great.
context: According to the family register, Shion Pavlichenko had a twin sister.\But we know nothing about her.\She might have been killed by the FSB.\If the person with BK201 is truly a girl...\You're jealous?\We have to go.\The people at the research lab are awaiting you.\It smells great. response:	According to dad, it's around here.
context: But we know nothing about her.\She might have been killed by the FSB.\If the person with BK201 is truly a girl...\You're jealous?\We have to go.\The people at the research lab are awaiting you.\It smells great.\According to dad, it's around here. response:	That's...
context: She might have been killed by the FSB.\If the person with BK201 is truly a girl...\You're jealous?\We have to go.\The people at the research lab are awaiting you.\It smells great.\According to dad, it's around here.\That's... response:	Hey!
context: If the person with BK201 is truly a girl...\You're jealous?\We have to go.\The people at the research lab are awaiting you.\It smells great.\According to dad, it's around here.\That's...\Hey! response:	Who is he?
context: You're jealous?\We have to go.\The people at the research lab are awaiting you.\It smells great.\According to dad, it's around here.\That's...\Hey!\Who is he? response:	Wait!
context: We have to go.\The people at the research lab are awaiting you.\It smells great.\According to dad, it's around here.\That's...\Hey!\Who is he?\Wait! response:	Should I kill him?
context: The people at the research lab are awaiting you.\It smells great.\According to dad, it's around here.\That's...\Hey!\Who is he?\Wait!\Should I kill him? response:	No.
context: It smells great.\According to dad, it's around here.\That's...\Hey!\Who is he?\Wait!\Should I kill him?\No. response:	I don't think he will cause any problems.
context: According to dad, it's around here.\That's...\Hey!\Who is he?\Wait!\Should I kill him?\No.\I don't think he will cause any problems. response:	Mom!
context: That's...\Hey!\Who is he?\Wait!\Should I kill him?\No.\I don't think he will cause any problems.\Mom! response:	They're too careless.
context: Hey!\Who is he?\Wait!\Should I kill him?\No.\I don't think he will cause any problems.\Mom!\They're too careless. response:	We'll practice sniping.
context: Who is he?\Wait!\Should I kill him?\No.\I don't think he will cause any problems.\Mom!\They're too careless.\We'll practice sniping. response:	Hey, is that the first thing you say?
context: Wait!\Should I kill him?\No.\I don't think he will cause any problems.\Mom!\They're too careless.\We'll practice sniping.\Hey, is that the first thing you say? response:	Shoot that.
context: Should I kill him?\No.\I don't think he will cause any problems.\Mom!\They're too careless.\We'll practice sniping.\Hey, is that the first thing you say?\Shoot that. response:	Without lying to me.
context: No.\I don't think he will cause any problems.\Mom!\They're too careless.\We'll practice sniping.\Hey, is that the first thing you say?\Shoot that.\Without lying to me. response:	I don't understand why I should kill it.
context: I don't think he will cause any problems.\Mom!\They're too careless.\We'll practice sniping.\Hey, is that the first thing you say?\Shoot that.\Without lying to me.\I don't understand why I should kill it. response:	That's why I can't shoot.
context: Mom!\They're too careless.\We'll practice sniping.\Hey, is that the first thing you say?\Shoot that.\Without lying to me.\I don't understand why I should kill it.\That's why I can't shoot. response:	As long as it moves... it doesn't have to be a living target, right?
context: They're too careless.\We'll practice sniping.\Hey, is that the first thing you say?\Shoot that.\Without lying to me.\I don't understand why I should kill it.\That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right? response:	I don't understand the reason, so
context: We'll practice sniping.\Hey, is that the first thing you say?\Shoot that.\Without lying to me.\I don't understand why I should kill it.\That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so response:	There is a reason.
context: Hey, is that the first thing you say?\Shoot that.\Without lying to me.\I don't understand why I should kill it.\That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so\There is a reason. response:	To eliminate your irregularities as a contractor.
context: Shoot that.\Without lying to me.\I don't understand why I should kill it.\That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so\There is a reason.\To eliminate your irregularities as a contractor. response:	Why are you crying?
context: Without lying to me.\I don't understand why I should kill it.\That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so\There is a reason.\To eliminate your irregularities as a contractor.\Why are you crying? response:	I don't know.
context: I don't understand why I should kill it.\That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so\There is a reason.\To eliminate your irregularities as a contractor.\Why are you crying?\I don't know. response:	I don't know...
context: That's why I can't shoot.\As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so\There is a reason.\To eliminate your irregularities as a contractor.\Why are you crying?\I don't know.\I don't know... response:	I saw her!
context: As long as it moves... it doesn't have to be a living target, right?\I don't understand the reason, so\There is a reason.\To eliminate your irregularities as a contractor.\Why are you crying?\I don't know.\I don't know...\I saw her! response:	It was her!
context: I don't understand the reason, so\There is a reason.\To eliminate your irregularities as a contractor.\Why are you crying?\I don't know.\I don't know...\I saw her!\It was her! response:	That was mom
context: There is a reason.\To eliminate your irregularities as a contractor.\Why are you crying?\I don't know.\I don't know...\I saw her!\It was her!\That was mom response:	You took the flowers in the bathroom, didn't you?
context: To eliminate your irregularities as a contractor.\Why are you crying?\I don't know.\I don't know...\I saw her!\It was her!\That was mom\You took the flowers in the bathroom, didn't you? response:	That's not the problem!
context: Why are you crying?\I don't know.\I don't know...\I saw her!\It was her!\That was mom\You took the flowers in the bathroom, didn't you?\That's not the problem! response:	Sorry! We're in the middle of an important family discu
context: I don't know.\I don't know...\I saw her!\It was her!\That was mom\You took the flowers in the bathroom, didn't you?\That's not the problem!\Sorry! We're in the middle of an important family discu response:	Let me use your oven.
context: I don't know...\I saw her!\It was her!\That was mom\You took the flowers in the bathroom, didn't you?\That's not the problem!\Sorry! We're in the middle of an important family discu\Let me use your oven. response:	We don't know who BK201's client is,
context: I saw her!\It was her!\That was mom\You took the flowers in the bathroom, didn't you?\That's not the problem!\Sorry! We're in the middle of an important family discu\Let me use your oven.\We don't know who BK201's client is, response:	but it's certain they hid him here to target the goods.
context: It was her!\That was mom\You took the flowers in the bathroom, didn't you?\That's not the problem!\Sorry! We're in the middle of an important family discu\Let me use your oven.\We don't know who BK201's client is,\but it's certain they hid him here to target the goods. response:	Normally, we would have transported it by air,
context: That was mom\You took the flowers in the bathroom, didn't you?\That's not the problem!\Sorry! We're in the middle of an important family discu\Let me use your oven.\We don't know who BK201's client is,\but it's certain they hid him here to target the goods.\Normally, we would have transported it by air, response:	but BK201 gets close to his target by blending into the crowd.
context: You took the flowers in the bathroom, didn't you?\That's not the problem!\Sorry! We're in the middle of an important family discu\Let me use your oven.\We don't know who BK201's client is,\but it's certain they hid him here to target the goods.\Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd. response:	There are too many people at the airport.
context: That's not the problem!\Sorry! We're in the middle of an important family discu\Let me use your oven.\We don't know who BK201's client is,\but it's certain they hid him here to target the goods.\Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport. response:	We'll transport it by water this time.
context: Sorry! We're in the middle of an important family discu\Let me use your oven.\We don't know who BK201's client is,\but it's certain they hid him here to target the goods.\Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport.\We'll transport it by water this time. response:	Geez, that's no fun.
context: Let me use your oven.\We don't know who BK201's client is,\but it's certain they hid him here to target the goods.\Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport.\We'll transport it by water this time.\Geez, that's no fun. response:	We should just get it over with already.
context: We don't know who BK201's client is,\but it's certain they hid him here to target the goods.\Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport.\We'll transport it by water this time.\Geez, that's no fun.\We should just get it over with already. response:	Says the bum who got his ass kicked by that little kid...
context: but it's certain they hid him here to target the goods.\Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport.\We'll transport it by water this time.\Geez, that's no fun.\We should just get it over with already.\Says the bum who got his ass kicked by that little kid... response:	That really hurts...
context: Normally, we would have transported it by air,\but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport.\We'll transport it by water this time.\Geez, that's no fun.\We should just get it over with already.\Says the bum who got his ass kicked by that little kid...\That really hurts... response:	We'll check the Izanami.
context: but BK201 gets close to his target by blending into the crowd.\There are too many people at the airport.\We'll transport it by water this time.\Geez, that's no fun.\We should just get it over with already.\Says the bum who got his ass kicked by that little kid...\That really hurts...\We'll check the Izanami. response:	The security is really tight in here.
context: There are too many people at the airport.\We'll transport it by water this time.\Geez, that's no fun.\We should just get it over with already.\Says the bum who got his ass kicked by that little kid...\That really hurts...\We'll check the Izanami.\The security is really tight in here. response:	This way.
context: We'll transport it by water this time.\Geez, that's no fun.\We should just get it over with already.\Says the bum who got his ass kicked by that little kid...\That really hurts...\We'll check the Izanami.\The security is really tight in here.\This way. response:	Wish upon a star.
context: Geez, that's no fun.\We should just get it over with already.\Says the bum who got his ass kicked by that little kid...\That really hurts...\We'll check the Izanami.\The security is really tight in here.\This way.\Wish upon a star. response:	Found it.
context: We should just get it over with already.\Says the bum who got his ass kicked by that little kid...\That really hurts...\We'll check the Izanami.\The security is really tight in here.\This way.\Wish upon a star.\Found it. response:	Found it.
context: Says the bum who got his ass kicked by that little kid...\That really hurts...\We'll check the Izanami.\The security is really tight in here.\This way.\Wish upon a star.\Found it.\Found it. response:	It won't be long before our wish and her wish come true.
context: That really hurts...\We'll check the Izanami.\The security is really tight in here.\This way.\Wish upon a star.\Found it.\Found it.\It won't be long before our wish and her wish come true. response:	This is...
context: We'll check the Izanami.\The security is really tight in here.\This way.\Wish upon a star.\Found it.\Found it.\It won't be long before our wish and her wish come true.\This is... response:	Izanami?
context: The security is really tight in here.\This way.\Wish upon a star.\Found it.\Found it.\It won't be long before our wish and her wish come true.\This is...\Izanami? response:	What are you doing?
context: This way.\Wish upon a star.\Found it.\Found it.\It won't be long before our wish and her wish come true.\This is...\Izanami?\What are you doing? response:	These are weeds.
context: Wish upon a star.\Found it.\Found it.\It won't be long before our wish and her wish come true.\This is...\Izanami?\What are you doing?\These are weeds. response:	They're edible.
context: Found it.\Found it.\It won't be long before our wish and her wish come true.\This is...\Izanami?\What are you doing?\These are weeds.\They're edible. response:	My dad taught me that.
context: Found it.\It won't be long before our wish and her wish come true.\This is...\Izanami?\What are you doing?\These are weeds.\They're edible.\My dad taught me that. response:	Here.
context: It won't be long before our wish and her wish come true.\This is...\Izanami?\What are you doing?\These are weeds.\They're edible.\My dad taught me that.\Here. response:	I shot a hole in the hotel's wall and made us stand out.
context: This is...\Izanami?\What are you doing?\These are weeds.\They're edible.\My dad taught me that.\Here.\I shot a hole in the hotel's wall and made us stand out. response:	So...
context: Izanami?\What are you doing?\These are weeds.\They're edible.\My dad taught me that.\Here.\I shot a hole in the hotel's wall and made us stand out.\So... response:	She's trying to apologize?
context: What are you doing?\These are weeds.\They're edible.\My dad taught me that.\Here.\I shot a hole in the hotel's wall and made us stand out.\So...\She's trying to apologize? response:	How is it?
context: These are weeds.\They're edible.\My dad taught me that.\Here.\I shot a hole in the hotel's wall and made us stand out.\So...\She's trying to apologize?\How is it? response:	As long as it's nutritious, it doesn't matter how it tastes.
context: They're edible.\My dad taught me that.\Here.\I shot a hole in the hotel's wall and made us stand out.\So...\She's trying to apologize?\How is it?\As long as it's nutritious, it doesn't matter how it tastes. response:	So it tastes so bad you have to think the taste doesn't matter.
context: My dad taught me that.\Here.\I shot a hole in the hotel's wall and made us stand out.\So...\She's trying to apologize?\How is it?\As long as it's nutritious, it doesn't matter how it tastes.\So it tastes so bad you have to think the taste doesn't matter. response:	Refill.
