context: Mashiro-kun! response:	We did it!
context: But she isn't that type.\Yeah,\It's work so she'll try her hardest.\It's her job so it's her decision.\Let's go see her tomorrow and talk to her.\Sure.\It's been a while...\Sorry to come on such short notice. response:	It's fine!
context: Yeah,\It's work so she'll try her hardest.\It's her job so it's her decision.\Let's go see her tomorrow and talk to her.\Sure.\It's been a while...\Sorry to come on such short notice.\It's fine! response:	There's so much I want to ask you!
context: It's work so she'll try her hardest.\It's her job so it's her decision.\Let's go see her tomorrow and talk to her.\Sure.\It's been a while...\Sorry to come on such short notice.\It's fine!\There's so much I want to ask you! response:	Come in!
context: It's her job so it's her decision.\Let's go see her tomorrow and talk to her.\Sure.\It's been a while...\Sorry to come on such short notice.\It's fine!\There's so much I want to ask you!\Come in! response:	A-ask?
context: Let's go see her tomorrow and talk to her.\Sure.\It's been a while...\Sorry to come on such short notice.\It's fine!\There's so much I want to ask you!\Come in!\A-ask? response:	I see...
context: Sure.\It's been a while...\Sorry to come on such short notice.\It's fine!\There's so much I want to ask you!\Come in!\A-ask?\I see... response:	How did you hear?
context: It's been a while...\Sorry to come on such short notice.\It's fine!\There's so much I want to ask you!\Come in!\A-ask?\I see...\How did you hear? response:	We happened to hear it from the editor of +Natural.
context: Sorry to come on such short notice.\It's fine!\There's so much I want to ask you!\Come in!\A-ask?\I see...\How did you hear?\We happened to hear it from the editor of +Natural. response:	Why did you apply for the role?
context: It's fine!\There's so much I want to ask you!\Come in!\A-ask?\I see...\How did you hear?\We happened to hear it from the editor of +Natural.\Why did you apply for the role? response:	My boss is the one who submitted the application.
context: There's so much I want to ask you!\Come in!\A-ask?\I see...\How did you hear?\We happened to hear it from the editor of +Natural.\Why did you apply for the role?\My boss is the one who submitted the application. response:	I see...
context: Come in!\A-ask?\I see...\How did you hear?\We happened to hear it from the editor of +Natural.\Why did you apply for the role?\My boss is the one who submitted the application.\I see... response:	Well, you got in.
context: A-ask?\I see...\How did you hear?\We happened to hear it from the editor of +Natural.\Why did you apply for the role?\My boss is the one who submitted the application.\I see...\Well, you got in. response:	Yeah.
context: I see...\How did you hear?\We happened to hear it from the editor of +Natural.\Why did you apply for the role?\My boss is the one who submitted the application.\I see...\Well, you got in.\Yeah. response:	When is the audition?
context: How did you hear?\We happened to hear it from the editor of +Natural.\Why did you apply for the role?\My boss is the one who submitted the application.\I see...\Well, you got in.\Yeah.\When is the audition? response:	On Saturday,
context: We happened to hear it from the editor of +Natural.\Why did you apply for the role?\My boss is the one who submitted the application.\I see...\Well, you got in.\Yeah.\When is the audition?\On Saturday, response:	At 1pm.
context: Why did you apply for the role?\My boss is the one who submitted the application.\I see...\Well, you got in.\Yeah.\When is the audition?\On Saturday,\At 1pm. response:	Where is it?
context: My boss is the one who submitted the application.\I see...\Well, you got in.\Yeah.\When is the audition?\On Saturday,\At 1pm.\Where is it? response:	Near Shibuya station.
context: I see...\Well, you got in.\Yeah.\When is the audition?\On Saturday,\At 1pm.\Where is it?\Near Shibuya station. response:	What are you going to do?
context: Well, you got in.\Yeah.\When is the audition?\On Saturday,\At 1pm.\Where is it?\Near Shibuya station.\What are you going to do? response:	I don't think you should do it!
context: Yeah.\When is the audition?\On Saturday,\At 1pm.\Where is it?\Near Shibuya station.\What are you going to do?\I don't think you should do it! response:	What if you actually get the role?
context: When is the audition?\On Saturday,\At 1pm.\Where is it?\Near Shibuya station.\What are you going to do?\I don't think you should do it!\What if you actually get the role? response:	If you get the role of Sayano...
context: On Saturday,\At 1pm.\Where is it?\Near Shibuya station.\What are you going to do?\I don't think you should do it!\What if you actually get the role?\If you get the role of Sayano... response:	And our manga gets an anime...
context: At 1pm.\Where is it?\Near Shibuya station.\What are you going to do?\I don't think you should do it!\What if you actually get the role?\If you get the role of Sayano...\And our manga gets an anime... response:	What would you do?
context: Where is it?\Near Shibuya station.\What are you going to do?\I don't think you should do it!\What if you actually get the role?\If you get the role of Sayano...\And our manga gets an anime...\What would you do? response:	That would be the same voice actor for two Jack series.
context: Near Shibuya station.\What are you going to do?\I don't think you should do it!\What if you actually get the role?\If you get the role of Sayano...\And our manga gets an anime...\What would you do?\That would be the same voice actor for two Jack series. response:	They probably wouldn't let you do ours in addition to +Natural.
context: What are you going to do?\I don't think you should do it!\What if you actually get the role?\If you get the role of Sayano...\And our manga gets an anime...\What would you do?\That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural. response:	What did Mashiro say?
context: I don't think you should do it!\What if you actually get the role?\If you get the role of Sayano...\And our manga gets an anime...\What would you do?\That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say? response:	As you might expect,
context: What if you actually get the role?\If you get the role of Sayano...\And our manga gets an anime...\What would you do?\That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say?\As you might expect, response:	It's Miho's job so Miho should decide
context: If you get the role of Sayano...\And our manga gets an anime...\What would you do?\That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say?\As you might expect,\It's Miho's job so Miho should decide response:	I see...
context: And our manga gets an anime...\What would you do?\That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say?\As you might expect,\It's Miho's job so Miho should decide\I see... response:	I know him so I understand the way he feels.
context: What would you do?\That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say?\As you might expect,\It's Miho's job so Miho should decide\I see...\I know him so I understand the way he feels. response:	But I don't want you to do it.
context: That would be the same voice actor for two Jack series.\They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say?\As you might expect,\It's Miho's job so Miho should decide\I see...\I know him so I understand the way he feels.\But I don't want you to do it. response:	Takagi-kun...
context: They probably wouldn't let you do ours in addition to +Natural.\What did Mashiro say?\As you might expect,\It's Miho's job so Miho should decide\I see...\I know him so I understand the way he feels.\But I don't want you to do it.\Takagi-kun... response:	There's no guarantee that we will get an anime right away.
context: What did Mashiro say?\As you might expect,\It's Miho's job so Miho should decide\I see...\I know him so I understand the way he feels.\But I don't want you to do it.\Takagi-kun...\There's no guarantee that we will get an anime right away. response:	But you're supposed to be the heroine for our story.
context: As you might expect,\It's Miho's job so Miho should decide\I see...\I know him so I understand the way he feels.\But I don't want you to do it.\Takagi-kun...\There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story. response:	It isn't right to do something that will keep your dreams from coming true.
context: It's Miho's job so Miho should decide\I see...\I know him so I understand the way he feels.\But I don't want you to do it.\Takagi-kun...\There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true. response:	Don't be stubborn! Be honest with yourself!
context: I see...\I know him so I understand the way he feels.\But I don't want you to do it.\Takagi-kun...\There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself! response:	Kaya...
context: I know him so I understand the way he feels.\But I don't want you to do it.\Takagi-kun...\There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself!\Kaya... response:	I know Mashiro would be happy if you said that you wouldn't audition.
context: But I don't want you to do it.\Takagi-kun...\There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself!\Kaya...\I know Mashiro would be happy if you said that you wouldn't audition. response:	That's right!
context: Takagi-kun...\There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself!\Kaya...\I know Mashiro would be happy if you said that you wouldn't audition.\That's right! response:	If you tell him that I'm sure he'll be relieved.
context: There's no guarantee that we will get an anime right away.\But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself!\Kaya...\I know Mashiro would be happy if you said that you wouldn't audition.\That's right!\If you tell him that I'm sure he'll be relieved. response:	And wouldn't you be happy if he told you not to audition?
context: But you're supposed to be the heroine for our story.\It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself!\Kaya...\I know Mashiro would be happy if you said that you wouldn't audition.\That's right!\If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition? response:	Right?
context: It isn't right to do something that will keep your dreams from coming true.\Don't be stubborn! Be honest with yourself!\Kaya...\I know Mashiro would be happy if you said that you wouldn't audition.\That's right!\If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition?\Right? response:	You're both so stubborn.
context: Don't be stubborn! Be honest with yourself!\Kaya...\I know Mashiro would be happy if you said that you wouldn't audition.\That's right!\If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition?\Right?\You're both so stubborn. response:	Anyway, you should just avoid doing any Jack heroine parts.
context: Kaya...\I know Mashiro would be happy if you said that you wouldn't audition.\That's right!\If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition?\Right?\You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts. response:	Well,
context: I know Mashiro would be happy if you said that you wouldn't audition.\That's right!\If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition?\Right?\You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts.\Well, response:	Saiko is right to say that your job is your own decision.
context: That's right!\If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition?\Right?\You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts.\Well,\Saiko is right to say that your job is your own decision. response:	But...
context: If you tell him that I'm sure he'll be relieved.\And wouldn't you be happy if he told you not to audition?\Right?\You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts.\Well,\Saiko is right to say that your job is your own decision.\But... response:	I don't want you to audition if it's only because he didn't stop you.
context: And wouldn't you be happy if he told you not to audition?\Right?\You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts.\Well,\Saiko is right to say that your job is your own decision.\But...\I don't want you to audition if it's only because he didn't stop you. response:	I'll email him today and ask him about it.
context: Right?\You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts.\Well,\Saiko is right to say that your job is your own decision.\But...\I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it. response:	Huh?!
context: You're both so stubborn.\Anyway, you should just avoid doing any Jack heroine parts.\Well,\Saiko is right to say that your job is your own decision.\But...\I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it.\Huh?! response:	But you already know what his answer will be!
context: Anyway, you should just avoid doing any Jack heroine parts.\Well,\Saiko is right to say that your job is your own decision.\But...\I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it.\Huh?!\But you already know what his answer will be! response:	Kaya-chan.
context: Well,\Saiko is right to say that your job is your own decision.\But...\I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it.\Huh?!\But you already know what his answer will be!\Kaya-chan. response:	This is all we can do.
context: Saiko is right to say that your job is your own decision.\But...\I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it.\Huh?!\But you already know what his answer will be!\Kaya-chan.\This is all we can do. response:	It's up to Azuki and Saiko now.
context: But...\I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it.\Huh?!\But you already know what his answer will be!\Kaya-chan.\This is all we can do.\It's up to Azuki and Saiko now. response:	Let's head home.
context: I don't want you to audition if it's only because he didn't stop you.\I'll email him today and ask him about it.\Huh?!\But you already know what his answer will be!\Kaya-chan.\This is all we can do.\It's up to Azuki and Saiko now.\Let's head home. response:	Eh?!
context: I'll email him today and ask him about it.\Huh?!\But you already know what his answer will be!\Kaya-chan.\This is all we can do.\It's up to Azuki and Saiko now.\Let's head home.\Eh?! response:	But this doesn't solve anything!
context: Huh?!\But you already know what his answer will be!\Kaya-chan.\This is all we can do.\It's up to Azuki and Saiko now.\Let's head home.\Eh?!\But this doesn't solve anything! response:	It's fine.
context: But you already know what his answer will be!\Kaya-chan.\This is all we can do.\It's up to Azuki and Saiko now.\Let's head home.\Eh?!\But this doesn't solve anything!\It's fine. response:	But!
context: Kaya-chan.\This is all we can do.\It's up to Azuki and Saiko now.\Let's head home.\Eh?!\But this doesn't solve anything!\It's fine.\But! response:	See you later Azuki.
context: This is all we can do.\It's up to Azuki and Saiko now.\Let's head home.\Eh?!\But this doesn't solve anything!\It's fine.\But!\See you later Azuki. response:	Azuki as Sayano...
context: It's up to Azuki and Saiko now.\Let's head home.\Eh?!\But this doesn't solve anything!\It's fine.\But!\See you later Azuki.\Azuki as Sayano... response:	Dammit!
context: Let's head home.\Eh?!\But this doesn't solve anything!\It's fine.\But!\See you later Azuki.\Azuki as Sayano...\Dammit! response:	Are we too stubborn?
context: Eh?!\But this doesn't solve anything!\It's fine.\But!\See you later Azuki.\Azuki as Sayano...\Dammit!\Are we too stubborn? response:	I don't know.
context: But this doesn't solve anything!\It's fine.\But!\See you later Azuki.\Azuki as Sayano...\Dammit!\Are we too stubborn?\I don't know. response:	Yes!
context: It's fine.\But!\See you later Azuki.\Azuki as Sayano...\Dammit!\Are we too stubborn?\I don't know.\Yes! response:	First page is done!
context: But!\See you later Azuki.\Azuki as Sayano...\Dammit!\Are we too stubborn?\I don't know.\Yes!\First page is done! response:	Keep up the good work!
context: See you later Azuki.\Azuki as Sayano...\Dammit!\Are we too stubborn?\I don't know.\Yes!\First page is done!\Keep up the good work! response:	Kaya-chan! Please quiet down!
context: Azuki as Sayano...\Dammit!\Are we too stubborn?\I don't know.\Yes!\First page is done!\Keep up the good work!\Kaya-chan! Please quiet down! response:	Eh? Why?
context: Dammit!\Are we too stubborn?\I don't know.\Yes!\First page is done!\Keep up the good work!\Kaya-chan! Please quiet down!\Eh? Why? response:	I'm trying to motivate everyone!
context: Are we too stubborn?\I don't know.\Yes!\First page is done!\Keep up the good work!\Kaya-chan! Please quiet down!\Eh? Why?\I'm trying to motivate everyone! response:	You're making it hard to concentrate.
context: I don't know.\Yes!\First page is done!\Keep up the good work!\Kaya-chan! Please quiet down!\Eh? Why?\I'm trying to motivate everyone!\You're making it hard to concentrate. response:	Mashiro-sensei,
context: Yes!\First page is done!\Keep up the good work!\Kaya-chan! Please quiet down!\Eh? Why?\I'm trying to motivate everyone!\You're making it hard to concentrate.\Mashiro-sensei, response:	Yes?
context: First page is done!\Keep up the good work!\Kaya-chan! Please quiet down!\Eh? Why?\I'm trying to motivate everyone!\You're making it hard to concentrate.\Mashiro-sensei,\Yes? response:	This panel on the third page...
context: Keep up the good work!\Kaya-chan! Please quiet down!\Eh? Why?\I'm trying to motivate everyone!\You're making it hard to concentrate.\Mashiro-sensei,\Yes?\This panel on the third page... response:	Something about the angle just doesn't feel right.
context: Kaya-chan! Please quiet down!\Eh? Why?\I'm trying to motivate everyone!\You're making it hard to concentrate.\Mashiro-sensei,\Yes?\This panel on the third page...\Something about the angle just doesn't feel right. response:	Let me have a look.
context: Eh? Why?\I'm trying to motivate everyone!\You're making it hard to concentrate.\Mashiro-sensei,\Yes?\This panel on the third page...\Something about the angle just doesn't feel right.\Let me have a look. response:	You're right...
context: I'm trying to motivate everyone!\You're making it hard to concentrate.\Mashiro-sensei,\Yes?\This panel on the third page...\Something about the angle just doesn't feel right.\Let me have a look.\You're right... response:	I'll fix it right away.
context: You're making it hard to concentrate.\Mashiro-sensei,\Yes?\This panel on the third page...\Something about the angle just doesn't feel right.\Let me have a look.\You're right...\I'll fix it right away. response:	Moriya-san is the same as ever eh?
context: Mashiro-sensei,\Yes?\This panel on the third page...\Something about the angle just doesn't feel right.\Let me have a look.\You're right...\I'll fix it right away.\Moriya-san is the same as ever eh? response:	No...
context: Yes?\This panel on the third page...\Something about the angle just doesn't feel right.\Let me have a look.\You're right...\I'll fix it right away.\Moriya-san is the same as ever eh?\No... response:	I think something is up this week.
context: This panel on the third page...\Something about the angle just doesn't feel right.\Let me have a look.\You're right...\I'll fix it right away.\Moriya-san is the same as ever eh?\No...\I think something is up this week. response:	Huh?
context: Something about the angle just doesn't feel right.\Let me have a look.\You're right...\I'll fix it right away.\Moriya-san is the same as ever eh?\No...\I think something is up this week.\Huh? response:	I can fix the mistakes I find as always.
context: Let me have a look.\You're right...\I'll fix it right away.\Moriya-san is the same as ever eh?\No...\I think something is up this week.\Huh?\I can fix the mistakes I find as always. response:	But there are more than usual.
context: You're right...\I'll fix it right away.\Moriya-san is the same as ever eh?\No...\I think something is up this week.\Huh?\I can fix the mistakes I find as always.\But there are more than usual. response:	Really?
context: I'll fix it right away.\Moriya-san is the same as ever eh?\No...\I think something is up this week.\Huh?\I can fix the mistakes I find as always.\But there are more than usual.\Really? response:	Yes.
context: Moriya-san is the same as ever eh?\No...\I think something is up this week.\Huh?\I can fix the mistakes I find as always.\But there are more than usual.\Really?\Yes. response:	Hopefully we can fix everything before we turn in the manuscript tomorrow.
context: No...\I think something is up this week.\Huh?\I can fix the mistakes I find as always.\But there are more than usual.\Really?\Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow. response:	PCP is in second place.
context: I think something is up this week.\Huh?\I can fix the mistakes I find as always.\But there are more than usual.\Really?\Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place. response:	Crow is in third.
context: Huh?\I can fix the mistakes I find as always.\But there are more than usual.\Really?\Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place.\Crow is in third. response:	YES!
context: I can fix the mistakes I find as always.\But there are more than usual.\Really?\Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place.\Crow is in third.\YES! response:	Let's meet today at 6pm.
context: But there are more than usual.\Really?\Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place.\Crow is in third.\YES!\Let's meet today at 6pm. response:	Understood!
context: Really?\Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place.\Crow is in third.\YES!\Let's meet today at 6pm.\Understood! response:	So we'd better not relax.
context: Yes.\Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place.\Crow is in third.\YES!\Let's meet today at 6pm.\Understood!\So we'd better not relax. response:	Second place is fine.
context: Hopefully we can fix everything before we turn in the manuscript tomorrow.\PCP is in second place.\Crow is in third.\YES!\Let's meet today at 6pm.\Understood!\So we'd better not relax.\Second place is fine. response:	It's a good response.
context: PCP is in second place.\Crow is in third.\YES!\Let's meet today at 6pm.\Understood!\So we'd better not relax.\Second place is fine.\It's a good response. response:	It is...
context: Crow is in third.\YES!\Let's meet today at 6pm.\Understood!\So we'd better not relax.\Second place is fine.\It's a good response.\It is... response:	But if Azuki plays Sayano in +Natural...
context: YES!\Let's meet today at 6pm.\Understood!\So we'd better not relax.\Second place is fine.\It's a good response.\It is...\But if Azuki plays Sayano in +Natural... response:	Is that really ok?
context: Let's meet today at 6pm.\Understood!\So we'd better not relax.\Second place is fine.\It's a good response.\It is...\But if Azuki plays Sayano in +Natural...\Is that really ok? response:	The audition is tomorrow...
context: Understood!\So we'd better not relax.\Second place is fine.\It's a good response.\It is...\But if Azuki plays Sayano in +Natural...\Is that really ok?\The audition is tomorrow... response:	Saiko...?
context: So we'd better not relax.\Second place is fine.\It's a good response.\It is...\But if Azuki plays Sayano in +Natural...\Is that really ok?\The audition is tomorrow...\Saiko...? response:	Huh? Oh that's fantastic!
context: Second place is fine.\It's a good response.\It is...\But if Azuki plays Sayano in +Natural...\Is that really ok?\The audition is tomorrow...\Saiko...?\Huh? Oh that's fantastic! response:	Let's keep up the good work!
context: It's a good response.\It is...\But if Azuki plays Sayano in +Natural...\Is that really ok?\The audition is tomorrow...\Saiko...?\Huh? Oh that's fantastic!\Let's keep up the good work! response:	You forgot to close the copier...
context: It is...\But if Azuki plays Sayano in +Natural...\Is that really ok?\The audition is tomorrow...\Saiko...?\Huh? Oh that's fantastic!\Let's keep up the good work!\You forgot to close the copier... response:	Shoot... I wasted a sheet.
context: But if Azuki plays Sayano in +Natural...\Is that really ok?\The audition is tomorrow...\Saiko...?\Huh? Oh that's fantastic!\Let's keep up the good work!\You forgot to close the copier...\Shoot... I wasted a sheet. response:	W-Why?!
context: Is that really ok?\The audition is tomorrow...\Saiko...?\Huh? Oh that's fantastic!\Let's keep up the good work!\You forgot to close the copier...\Shoot... I wasted a sheet.\W-Why?! response:	I know it's not my place... I'm sorry.
context: The audition is tomorrow...\Saiko...?\Huh? Oh that's fantastic!\Let's keep up the good work!\You forgot to close the copier...\Shoot... I wasted a sheet.\W-Why?!\I know it's not my place... I'm sorry. response:	No... thank you.
context: Saiko...?\Huh? Oh that's fantastic!\Let's keep up the good work!\You forgot to close the copier...\Shoot... I wasted a sheet.\W-Why?!\I know it's not my place... I'm sorry.\No... thank you. response:	The dialogue here is interesting.
context: Huh? Oh that's fantastic!\Let's keep up the good work!\You forgot to close the copier...\Shoot... I wasted a sheet.\W-Why?!\I know it's not my place... I'm sorry.\No... thank you.\The dialogue here is interesting. response:	But what's wrong Mashiro-kun?
context: Let's keep up the good work!\You forgot to close the copier...\Shoot... I wasted a sheet.\W-Why?!\I know it's not my place... I'm sorry.\No... thank you.\The dialogue here is interesting.\But what's wrong Mashiro-kun? response:	Your art hasn't but up to its usual...
context: You forgot to close the copier...\Shoot... I wasted a sheet.\W-Why?!\I know it's not my place... I'm sorry.\No... thank you.\The dialogue here is interesting.\But what's wrong Mashiro-kun?\Your art hasn't but up to its usual... response:	Hattori-san! Mashiro...
context: Shoot... I wasted a sheet.\W-Why?!\I know it's not my place... I'm sorry.\No... thank you.\The dialogue here is interesting.\But what's wrong Mashiro-kun?\Your art hasn't but up to its usual...\Hattori-san! Mashiro... response:	I'm sorry,
context: W-Why?!\I know it's not my place... I'm sorry.\No... thank you.\The dialogue here is interesting.\But what's wrong Mashiro-kun?\Your art hasn't but up to its usual...\Hattori-san! Mashiro...\I'm sorry, response:	I'll make corrections now.
context: I know it's not my place... I'm sorry.\No... thank you.\The dialogue here is interesting.\But what's wrong Mashiro-kun?\Your art hasn't but up to its usual...\Hattori-san! Mashiro...\I'm sorry,\I'll make corrections now. response:	I would like to say yes,
context: No... thank you.\The dialogue here is interesting.\But what's wrong Mashiro-kun?\Your art hasn't but up to its usual...\Hattori-san! Mashiro...\I'm sorry,\I'll make corrections now.\I would like to say yes, response:	But I promised I would bring the manuscript to a meeting in three hours.
context: The dialogue here is interesting.\But what's wrong Mashiro-kun?\Your art hasn't but up to its usual...\Hattori-san! Mashiro...\I'm sorry,\I'll make corrections now.\I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours. response:	So this should be good enough.
context: But what's wrong Mashiro-kun?\Your art hasn't but up to its usual...\Hattori-san! Mashiro...\I'm sorry,\I'll make corrections now.\I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough. response:	Sorry!
context: Your art hasn't but up to its usual...\Hattori-san! Mashiro...\I'm sorry,\I'll make corrections now.\I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough.\Sorry! response:	I can do it in two hours!
context: Hattori-san! Mashiro...\I'm sorry,\I'll make corrections now.\I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough.\Sorry!\I can do it in two hours! response:	Let me have some time.
context: I'm sorry,\I'll make corrections now.\I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough.\Sorry!\I can do it in two hours!\Let me have some time. response:	Saiko!
context: I'll make corrections now.\I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough.\Sorry!\I can do it in two hours!\Let me have some time.\Saiko! response:	I'll help too... what can I do?
context: I would like to say yes,\But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough.\Sorry!\I can do it in two hours!\Let me have some time.\Saiko!\I'll help too... what can I do? response:	No, your dialogue is already fine.
context: But I promised I would bring the manuscript to a meeting in three hours.\So this should be good enough.\Sorry!\I can do it in two hours!\Let me have some time.\Saiko!\I'll help too... what can I do?\No, your dialogue is already fine. response:	Fixing this is my job.
context: So this should be good enough.\Sorry!\I can do it in two hours!\Let me have some time.\Saiko!\I'll help too... what can I do?\No, your dialogue is already fine.\Fixing this is my job. response:	If I can't do that I'm not a pro.
context: Sorry!\I can do it in two hours!\Let me have some time.\Saiko!\I'll help too... what can I do?\No, your dialogue is already fine.\Fixing this is my job.\If I can't do that I'm not a pro. response:	Saiko...
context: I can do it in two hours!\Let me have some time.\Saiko!\I'll help too... what can I do?\No, your dialogue is already fine.\Fixing this is my job.\If I can't do that I'm not a pro.\Saiko... response:	Azuki is working so hard for herself.
context: Let me have some time.\Saiko!\I'll help too... what can I do?\No, your dialogue is already fine.\Fixing this is my job.\If I can't do that I'm not a pro.\Saiko...\Azuki is working so hard for herself. response:	It isn't stubbornness.
context: Saiko!\I'll help too... what can I do?\No, your dialogue is already fine.\Fixing this is my job.\If I can't do that I'm not a pro.\Saiko...\Azuki is working so hard for herself.\It isn't stubbornness. response:	Are we too stubborn?
context: I'll help too... what can I do?\No, your dialogue is already fine.\Fixing this is my job.\If I can't do that I'm not a pro.\Saiko...\Azuki is working so hard for herself.\It isn't stubbornness.\Are we too stubborn? response:	I respect her and trust her.
context: No, your dialogue is already fine.\Fixing this is my job.\If I can't do that I'm not a pro.\Saiko...\Azuki is working so hard for herself.\It isn't stubbornness.\Are we too stubborn?\I respect her and trust her. response:	If she doesn't back down I won't stop her either.
context: Fixing this is my job.\If I can't do that I'm not a pro.\Saiko...\Azuki is working so hard for herself.\It isn't stubbornness.\Are we too stubborn?\I respect her and trust her.\If she doesn't back down I won't stop her either. response:	But was Shujin right?
context: If I can't do that I'm not a pro.\Saiko...\Azuki is working so hard for herself.\It isn't stubbornness.\Are we too stubborn?\I respect her and trust her.\If she doesn't back down I won't stop her either.\But was Shujin right? response:	Am I just forcing the decision onto her?
context: Saiko...\Azuki is working so hard for herself.\It isn't stubbornness.\Are we too stubborn?\I respect her and trust her.\If she doesn't back down I won't stop her either.\But was Shujin right?\Am I just forcing the decision onto her? response:	I don't know.
context: Azuki is working so hard for herself.\It isn't stubbornness.\Are we too stubborn?\I respect her and trust her.\If she doesn't back down I won't stop her either.\But was Shujin right?\Am I just forcing the decision onto her?\I don't know. response:	Mashiro-kun...
context: It isn't stubbornness.\Are we too stubborn?\I respect her and trust her.\If she doesn't back down I won't stop her either.\But was Shujin right?\Am I just forcing the decision onto her?\I don't know.\Mashiro-kun... response:	That line was so good.
context: Are we too stubborn?\I respect her and trust her.\If she doesn't back down I won't stop her either.\But was Shujin right?\Am I just forcing the decision onto her?\I don't know.\Mashiro-kun...\That line was so good. response:	Well, Niizuma-kun?
context: I respect her and trust her.\If she doesn't back down I won't stop her either.\But was Shujin right?\Am I just forcing the decision onto her?\I don't know.\Mashiro-kun...\That line was so good.\Well, Niizuma-kun? response:	Did anyone stand out?
context: If she doesn't back down I won't stop her either.\But was Shujin right?\Am I just forcing the decision onto her?\I don't know.\Mashiro-kun...\That line was so good.\Well, Niizuma-kun?\Did anyone stand out? response:	Everyone did well.
context: But was Shujin right?\Am I just forcing the decision onto her?\I don't know.\Mashiro-kun...\That line was so good.\Well, Niizuma-kun?\Did anyone stand out?\Everyone did well. response:	It's hard to choose.
context: Am I just forcing the decision onto her?\I don't know.\Mashiro-kun...\That line was so good.\Well, Niizuma-kun?\Did anyone stand out?\Everyone did well.\It's hard to choose. response:	Then, Azuki Miho...
context: I don't know.\Mashiro-kun...\That line was so good.\Well, Niizuma-kun?\Did anyone stand out?\Everyone did well.\It's hard to choose.\Then, Azuki Miho... response:	But!
