context: I am so happy! response:	We haven't gone to a hot spring
context: What's she in such a hurry about?\Mamoru!\It's not him.\The music box is playing again.\Mamoru!\That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me... response:	Mamoru? Usagi? I do not know them.
context: Mamoru!\It's not him.\The music box is playing again.\Mamoru!\That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them. response:	Those names have nothing to do with me.
context: It's not him.\The music box is playing again.\Mamoru!\That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them.\Those names have nothing to do with me. response:	You can't mean that! Mamoru!
context: The music box is playing again.\Mamoru!\That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them.\Those names have nothing to do with me.\You can't mean that! Mamoru! response:	It's me! Don't you recognize me?!
context: Mamoru!\That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them.\Those names have nothing to do with me.\You can't mean that! Mamoru!\It's me! Don't you recognize me?! response:	Usagi! It's me! Don't you recognize me?!
context: That melody... Why does it throw my heart into confusion?\Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them.\Those names have nothing to do with me.\You can't mean that! Mamoru!\It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?! response:	Usagi!
context: Mamoru! It's me, Usagi!\Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them.\Those names have nothing to do with me.\You can't mean that! Mamoru!\It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?!\Usagi! response:	Mom...
context: Please! Don't pretend you don't know me...\Mamoru? Usagi? I do not know them.\Those names have nothing to do with me.\You can't mean that! Mamoru!\It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?!\Usagi!\Mom... response:	Mamoru...
context: Mamoru? Usagi? I do not know them.\Those names have nothing to do with me.\You can't mean that! Mamoru!\It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?!\Usagi!\Mom...\Mamoru... response:	Usagi, what's the matter? You disappeared so suddenly.
context: Those names have nothing to do with me.\You can't mean that! Mamoru!\It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?!\Usagi!\Mom...\Mamoru...\Usagi, what's the matter? You disappeared so suddenly. response:	No, it's nothing.
context: You can't mean that! Mamoru!\It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?!\Usagi!\Mom...\Mamoru...\Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing. response:	Oh, the Legendary Lovers.
context: It's me! Don't you recognize me?!\Usagi! It's me! Don't you recognize me?!\Usagi!\Mom...\Mamoru...\Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing.\Oh, the Legendary Lovers. response:	So, this is what you were looking at.
context: Usagi! It's me! Don't you recognize me?!\Usagi!\Mom...\Mamoru...\Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing.\Oh, the Legendary Lovers.\So, this is what you were looking at. response:	What? Legendary?
context: Usagi!\Mom...\Mamoru...\Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing.\Oh, the Legendary Lovers.\So, this is what you were looking at.\What? Legendary? response:	It's an old story that's been passed down through the generations.
context: Mom...\Mamoru...\Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing.\Oh, the Legendary Lovers.\So, this is what you were looking at.\What? Legendary?\It's an old story that's been passed down through the generations. response:	A maiden of the Heavens had come down to Earth,
context: Mamoru...\Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing.\Oh, the Legendary Lovers.\So, this is what you were looking at.\What? Legendary?\It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth, response:	and a youth of the land fell in love with her.
context: Usagi, what's the matter? You disappeared so suddenly.\No, it's nothing.\Oh, the Legendary Lovers.\So, this is what you were looking at.\What? Legendary?\It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her. response:	But a girl, who adored that youth,
context: No, it's nothing.\Oh, the Legendary Lovers.\So, this is what you were looking at.\What? Legendary?\It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her.\But a girl, who adored that youth, response:	turned into a monster in a fit of jealousy.
context: Oh, the Legendary Lovers.\So, this is what you were looking at.\What? Legendary?\It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her.\But a girl, who adored that youth,\turned into a monster in a fit of jealousy. response:	And she attacked the villagers indiscriminately.
context: So, this is what you were looking at.\What? Legendary?\It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her.\But a girl, who adored that youth,\turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately. response:	The maiden from the Heavens and the youth
context: What? Legendary?\It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her.\But a girl, who adored that youth,\turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth response:	sealed the monster in this lake with the power of their love.
context: It's an old story that's been passed down through the generations.\A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her.\But a girl, who adored that youth,\turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love. response:	And having exhausted their energy,
context: A maiden of the Heavens had come down to Earth,\and a youth of the land fell in love with her.\But a girl, who adored that youth,\turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love.\And having exhausted their energy, response:	they rose up to the Heavens together.
context: and a youth of the land fell in love with her.\But a girl, who adored that youth,\turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love.\And having exhausted their energy,\they rose up to the Heavens together. response:	That's the legend of their love.
context: But a girl, who adored that youth,\turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love.\And having exhausted their energy,\they rose up to the Heavens together.\That's the legend of their love. response:	Sealed the monster in this lake...
context: turned into a monster in a fit of jealousy.\And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love.\And having exhausted their energy,\they rose up to the Heavens together.\That's the legend of their love.\Sealed the monster in this lake... response:	Come on, let's go back. Or you'll catch cold.
context: And she attacked the villagers indiscriminately.\The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love.\And having exhausted their energy,\they rose up to the Heavens together.\That's the legend of their love.\Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold. response:	Mom!
context: The maiden from the Heavens and the youth\sealed the monster in this lake with the power of their love.\And having exhausted their energy,\they rose up to the Heavens together.\That's the legend of their love.\Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold.\Mom! response:	You're such a baby.
context: sealed the monster in this lake with the power of their love.\And having exhausted their energy,\they rose up to the Heavens together.\That's the legend of their love.\Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold.\Mom!\You're such a baby. response:	Say, Usagi?
context: And having exhausted their energy,\they rose up to the Heavens together.\That's the legend of their love.\Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold.\Mom!\You're such a baby.\Say, Usagi? response:	If you find somebody you love...
context: they rose up to the Heavens together.\That's the legend of their love.\Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold.\Mom!\You're such a baby.\Say, Usagi?\If you find somebody you love... response:	What?
context: That's the legend of their love.\Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold.\Mom!\You're such a baby.\Say, Usagi?\If you find somebody you love...\What? response:	If you find somebody you love,
context: Sealed the monster in this lake...\Come on, let's go back. Or you'll catch cold.\Mom!\You're such a baby.\Say, Usagi?\If you find somebody you love...\What?\If you find somebody you love, response:	bring him home, and introduce him to your dad and me, okay?
context: Come on, let's go back. Or you'll catch cold.\Mom!\You're such a baby.\Say, Usagi?\If you find somebody you love...\What?\If you find somebody you love,\bring him home, and introduce him to your dad and me, okay? response:	Okay, I will.
context: Mom!\You're such a baby.\Say, Usagi?\If you find somebody you love...\What?\If you find somebody you love,\bring him home, and introduce him to your dad and me, okay?\Okay, I will. response:	Someday, I will.
context: You're such a baby.\Say, Usagi?\If you find somebody you love...\What?\If you find somebody you love,\bring him home, and introduce him to your dad and me, okay?\Okay, I will.\Someday, I will. response:	I'll introduce you to him.
context: Say, Usagi?\If you find somebody you love...\What?\If you find somebody you love,\bring him home, and introduce him to your dad and me, okay?\Okay, I will.\Someday, I will.\I'll introduce you to him. response:	A monster sealed in this lake...
context: If you find somebody you love...\What?\If you find somebody you love,\bring him home, and introduce him to your dad and me, okay?\Okay, I will.\Someday, I will.\I'll introduce you to him.\A monster sealed in this lake... response:	So, that is the origin of the unusual energy.
context: What?\If you find somebody you love,\bring him home, and introduce him to your dad and me, okay?\Okay, I will.\Someday, I will.\I'll introduce you to him.\A monster sealed in this lake...\So, that is the origin of the unusual energy. response:	Endymion...
context: If you find somebody you love,\bring him home, and introduce him to your dad and me, okay?\Okay, I will.\Someday, I will.\I'll introduce you to him.\A monster sealed in this lake...\So, that is the origin of the unusual energy.\Endymion... response:	So, he has already found out the truth
context: bring him home, and introduce him to your dad and me, okay?\Okay, I will.\Someday, I will.\I'll introduce you to him.\A monster sealed in this lake...\So, that is the origin of the unusual energy.\Endymion...\So, he has already found out the truth response:	behind the mysterious energy.
context: Okay, I will.\Someday, I will.\I'll introduce you to him.\A monster sealed in this lake...\So, that is the origin of the unusual energy.\Endymion...\So, he has already found out the truth\behind the mysterious energy. response:	O vengeful soul, sealed within this lake,
context: Someday, I will.\I'll introduce you to him.\A monster sealed in this lake...\So, that is the origin of the unusual energy.\Endymion...\So, he has already found out the truth\behind the mysterious energy.\O vengeful soul, sealed within this lake, response:	I command thee to rise once again!
context: I'll introduce you to him.\A monster sealed in this lake...\So, that is the origin of the unusual energy.\Endymion...\So, he has already found out the truth\behind the mysterious energy.\O vengeful soul, sealed within this lake,\I command thee to rise once again! response:	Come forth, ancient spirit!
context: A monster sealed in this lake...\So, that is the origin of the unusual energy.\Endymion...\So, he has already found out the truth\behind the mysterious energy.\O vengeful soul, sealed within this lake,\I command thee to rise once again!\Come forth, ancient spirit! response:	Give him back!
context: So, that is the origin of the unusual energy.\Endymion...\So, he has already found out the truth\behind the mysterious energy.\O vengeful soul, sealed within this lake,\I command thee to rise once again!\Come forth, ancient spirit!\Give him back! response:	Give him back!
context: Endymion...\So, he has already found out the truth\behind the mysterious energy.\O vengeful soul, sealed within this lake,\I command thee to rise once again!\Come forth, ancient spirit!\Give him back!\Give him back! response:	So, Endymion has awakened the ancient soul
context: So, he has already found out the truth\behind the mysterious energy.\O vengeful soul, sealed within this lake,\I command thee to rise once again!\Come forth, ancient spirit!\Give him back!\Give him back!\So, Endymion has awakened the ancient soul response:	that was sealed within the lake.
context: behind the mysterious energy.\O vengeful soul, sealed within this lake,\I command thee to rise once again!\Come forth, ancient spirit!\Give him back!\Give him back!\So, Endymion has awakened the ancient soul\that was sealed within the lake. response:	What will you do now?
context: O vengeful soul, sealed within this lake,\I command thee to rise once again!\Come forth, ancient spirit!\Give him back!\Give him back!\So, Endymion has awakened the ancient soul\that was sealed within the lake.\What will you do now? response:	Give him back!
context: I command thee to rise once again!\Come forth, ancient spirit!\Give him back!\Give him back!\So, Endymion has awakened the ancient soul\that was sealed within the lake.\What will you do now?\Give him back! response:	Give him back!
context: Come forth, ancient spirit!\Give him back!\Give him back!\So, Endymion has awakened the ancient soul\that was sealed within the lake.\What will you do now?\Give him back!\Give him back! response:	Wait! Where are you going?! Give him back!
context: Give him back!\Give him back!\So, Endymion has awakened the ancient soul\that was sealed within the lake.\What will you do now?\Give him back!\Give him back!\Wait! Where are you going?! Give him back! response:	Give him back!
context: Give him back!\So, Endymion has awakened the ancient soul\that was sealed within the lake.\What will you do now?\Give him back!\Give him back!\Wait! Where are you going?! Give him back!\Give him back! response:	Mamoru, we are so close, and yet...
context: So, Endymion has awakened the ancient soul\that was sealed within the lake.\What will you do now?\Give him back!\Give him back!\Wait! Where are you going?! Give him back!\Give him back!\Mamoru, we are so close, and yet... response:	Usagi, is something wrong?
context: that was sealed within the lake.\What will you do now?\Give him back!\Give him back!\Wait! Where are you going?! Give him back!\Give him back!\Mamoru, we are so close, and yet...\Usagi, is something wrong? response:	What? Oh, well...
context: What will you do now?\Give him back!\Give him back!\Wait! Where are you going?! Give him back!\Give him back!\Mamoru, we are so close, and yet...\Usagi, is something wrong?\What? Oh, well... response:	The moon was just so beautiful, I was lost in admiration.
context: Give him back!\Give him back!\Wait! Where are you going?! Give him back!\Give him back!\Mamoru, we are so close, and yet...\Usagi, is something wrong?\What? Oh, well...\The moon was just so beautiful, I was lost in admiration. response:	Yeah, it really is a beautiful moon.
context: Give him back!\Wait! Where are you going?! Give him back!\Give him back!\Mamoru, we are so close, and yet...\Usagi, is something wrong?\What? Oh, well...\The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon. response:	Isn't it?
context: Wait! Where are you going?! Give him back!\Give him back!\Mamoru, we are so close, and yet...\Usagi, is something wrong?\What? Oh, well...\The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon.\Isn't it? response:	It's so beautiful, it makes you want to cry, doesn't it?
context: Give him back!\Mamoru, we are so close, and yet...\Usagi, is something wrong?\What? Oh, well...\The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon.\Isn't it?\It's so beautiful, it makes you want to cry, doesn't it? response:	Well, I'm going to take another dip in the hot spring
context: Mamoru, we are so close, and yet...\Usagi, is something wrong?\What? Oh, well...\The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon.\Isn't it?\It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring response:	and gaze at the moon before dinner!
context: Usagi, is something wrong?\What? Oh, well...\The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon.\Isn't it?\It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner! response:	So, excuse me!
context: What? Oh, well...\The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon.\Isn't it?\It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner!\So, excuse me! response:	I never know what a girl's thinking.
context: The moon was just so beautiful, I was lost in admiration.\Yeah, it really is a beautiful moon.\Isn't it?\It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner!\So, excuse me!\I never know what a girl's thinking. response:	Sometimes, Usagi seems like a total stranger to me.
context: Yeah, it really is a beautiful moon.\Isn't it?\It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner!\So, excuse me!\I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me. response:	My...
context: Isn't it?\It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner!\So, excuse me!\I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me.\My... response:	I won't give in! Even if... Even if Mamoru has forgotten about me...
context: It's so beautiful, it makes you want to cry, doesn't it?\Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner!\So, excuse me!\I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me.\My...\I won't give in! Even if... Even if Mamoru has forgotten about me... response:	If I cry, he'd laugh at me.
context: Well, I'm going to take another dip in the hot spring\and gaze at the moon before dinner!\So, excuse me!\I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me.\My...\I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me. response:	Give him back!
context: and gaze at the moon before dinner!\So, excuse me!\I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me.\My...\I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me.\Give him back! response:	Huh? Did you say something?
context: So, excuse me!\I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me.\My...\I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me.\Give him back!\Huh? Did you say something? response:	Give him back!
context: I never know what a girl's thinking.\Sometimes, Usagi seems like a total stranger to me.\My...\I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me.\Give him back!\Huh? Did you say something?\Give him back! response:	Huh? Give what back? Give him back!
context: Sometimes, Usagi seems like a total stranger to me.\My...\I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me.\Give him back!\Huh? Did you say something?\Give him back!\Huh? Give what back? Give him back! response:	Huh? Give what back?
context: My...\I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me.\Give him back!\Huh? Did you say something?\Give him back!\Huh? Give what back? Give him back!\Huh? Give what back? response:	No way! This is not happening to me!
context: I won't give in! Even if... Even if Mamoru has forgotten about me...\If I cry, he'd laugh at me.\Give him back!\Huh? Did you say something?\Give him back!\Huh? Give what back? Give him back!\Huh? Give what back?\No way! This is not happening to me! response:	Usagi, what is that?!
context: If I cry, he'd laugh at me.\Give him back!\Huh? Did you say something?\Give him back!\Huh? Give what back? Give him back!\Huh? Give what back?\No way! This is not happening to me!\Usagi, what is that?! response:	It's a ghost! A beastly monster!
context: Give him back!\Huh? Did you say something?\Give him back!\Huh? Give what back? Give him back!\Huh? Give what back?\No way! This is not happening to me!\Usagi, what is that?!\It's a ghost! A beastly monster! response:	It's a monster! A monster!
context: Huh? Did you say something?\Give him back!\Huh? Give what back? Give him back!\Huh? Give what back?\No way! This is not happening to me!\Usagi, what is that?!\It's a ghost! A beastly monster!\It's a monster! A monster! response:	Get down!
context: Give him back!\Huh? Give what back? Give him back!\Huh? Give what back?\No way! This is not happening to me!\Usagi, what is that?!\It's a ghost! A beastly monster!\It's a monster! A monster!\Get down! response:	Give him back! Get down!
context: Huh? Give what back? Give him back!\Huh? Give what back?\No way! This is not happening to me!\Usagi, what is that?!\It's a ghost! A beastly monster!\It's a monster! A monster!\Get down!\Give him back! Get down! response:	Give him back!
context: Huh? Give what back?\No way! This is not happening to me!\Usagi, what is that?!\It's a ghost! A beastly monster!\It's a monster! A monster!\Get down!\Give him back! Get down!\Give him back! response:	Run!
context: No way! This is not happening to me!\Usagi, what is that?!\It's a ghost! A beastly monster!\It's a monster! A monster!\Get down!\Give him back! Get down!\Give him back!\Run! response:	The trees!
context: Usagi, what is that?!\It's a ghost! A beastly monster!\It's a monster! A monster!\Get down!\Give him back! Get down!\Give him back!\Run!\The trees! response:	It's poison!
context: It's a ghost! A beastly monster!\It's a monster! A monster!\Get down!\Give him back! Get down!\Give him back!\Run!\The trees!\It's poison! response:	That's it! I'm mad! Hey, this is not funny!
context: It's a monster! A monster!\Get down!\Give him back! Get down!\Give him back!\Run!\The trees!\It's poison!\That's it! I'm mad! Hey, this is not funny! response:	How dare you ruin our family trip?!
context: Get down!\Give him back! Get down!\Give him back!\Run!\The trees!\It's poison!\That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?! response:	What the heck are you thinking?!
context: Give him back! Get down!\Give him back!\Run!\The trees!\It's poison!\That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?!\What the heck are you thinking?! response:	Usagi, don't move!
context: Give him back!\Run!\The trees!\It's poison!\That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?!\What the heck are you thinking?!\Usagi, don't move! response:	Leave this to your dad!
context: Run!\The trees!\It's poison!\That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?!\What the heck are you thinking?!\Usagi, don't move!\Leave this to your dad! response:	Monster! You leave my family alone!
context: The trees!\It's poison!\That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?!\What the heck are you thinking?!\Usagi, don't move!\Leave this to your dad!\Monster! You leave my family alone! response:	Dad!
context: It's poison!\That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?!\What the heck are you thinking?!\Usagi, don't move!\Leave this to your dad!\Monster! You leave my family alone!\Dad! response:	Dad!
context: That's it! I'm mad! Hey, this is not funny!\How dare you ruin our family trip?!\What the heck are you thinking?!\Usagi, don't move!\Leave this to your dad!\Monster! You leave my family alone!\Dad!\Dad! response:	Moon...
context: How dare you ruin our family trip?!\What the heck are you thinking?!\Usagi, don't move!\Leave this to your dad!\Monster! You leave my family alone!\Dad!\Dad!\Moon... response:	Dear, are you okay?
context: What the heck are you thinking?!\Usagi, don't move!\Leave this to your dad!\Monster! You leave my family alone!\Dad!\Dad!\Moon...\Dear, are you okay? response:	Another weird one showed up.
context: Usagi, don't move!\Leave this to your dad!\Monster! You leave my family alone!\Dad!\Dad!\Moon...\Dear, are you okay?\Another weird one showed up. response:	Don't be silly! He's on our side! Probably...
context: Leave this to your dad!\Monster! You leave my family alone!\Dad!\Dad!\Moon...\Dear, are you okay?\Another weird one showed up.\Don't be silly! He's on our side! Probably... response:	I will not allow you to harm innocent people!
context: Monster! You leave my family alone!\Dad!\Dad!\Moon...\Dear, are you okay?\Another weird one showed up.\Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people! response:	Give him back!
context: Dad!\Dad!\Moon...\Dear, are you okay?\Another weird one showed up.\Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people!\Give him back! response:	Dear, hang in there.
context: Dad!\Moon...\Dear, are you okay?\Another weird one showed up.\Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people!\Give him back!\Dear, hang in there. response:	Ouch. My back... Dear, hang in there.
context: Moon...\Dear, are you okay?\Another weird one showed up.\Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people!\Give him back!\Dear, hang in there.\Ouch. My back... Dear, hang in there. response:	Ouch. My back...
context: Dear, are you okay?\Another weird one showed up.\Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people!\Give him back!\Dear, hang in there.\Ouch. My back... Dear, hang in there.\Ouch. My back... response:	Tuxedo Mask, I wish I could help you,
context: Another weird one showed up.\Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people!\Give him back!\Dear, hang in there.\Ouch. My back... Dear, hang in there.\Ouch. My back...\Tuxedo Mask, I wish I could help you, response:	but I can't transform here.
context: Don't be silly! He's on our side! Probably...\I will not allow you to harm innocent people!\Give him back!\Dear, hang in there.\Ouch. My back... Dear, hang in there.\Ouch. My back...\Tuxedo Mask, I wish I could help you,\but I can't transform here. response:	Run while you can!
context: I will not allow you to harm innocent people!\Give him back!\Dear, hang in there.\Ouch. My back... Dear, hang in there.\Ouch. My back...\Tuxedo Mask, I wish I could help you,\but I can't transform here.\Run while you can! response:	Tuxedo Mask!
context: Give him back!\Dear, hang in there.\Ouch. My back... Dear, hang in there.\Ouch. My back...\Tuxedo Mask, I wish I could help you,\but I can't transform here.\Run while you can!\Tuxedo Mask! response:	Hold it right there!
context: Dear, hang in there.\Ouch. My back... Dear, hang in there.\Ouch. My back...\Tuxedo Mask, I wish I could help you,\but I can't transform here.\Run while you can!\Tuxedo Mask!\Hold it right there! response:	Sailor Venus!
context: Ouch. My back... Dear, hang in there.\Ouch. My back...\Tuxedo Mask, I wish I could help you,\but I can't transform here.\Run while you can!\Tuxedo Mask!\Hold it right there!\Sailor Venus! response:	Sailor Jupiter!
context: Ouch. My back...\Tuxedo Mask, I wish I could help you,\but I can't transform here.\Run while you can!\Tuxedo Mask!\Hold it right there!\Sailor Venus!\Sailor Jupiter! response:	Sailor Mars!
context: Tuxedo Mask, I wish I could help you,\but I can't transform here.\Run while you can!\Tuxedo Mask!\Hold it right there!\Sailor Venus!\Sailor Jupiter!\Sailor Mars! response:	Sailor Mercury!
context: but I can't transform here.\Run while you can!\Tuxedo Mask!\Hold it right there!\Sailor Venus!\Sailor Jupiter!\Sailor Mars!\Sailor Mercury! response:	Here we are!
context: Run while you can!\Tuxedo Mask!\Hold it right there!\Sailor Venus!\Sailor Jupiter!\Sailor Mars!\Sailor Mercury!\Here we are! response:	Wow! The sailor warriors of love and justice!
context: Tuxedo Mask!\Hold it right there!\Sailor Venus!\Sailor Jupiter!\Sailor Mars!\Sailor Mercury!\Here we are!\Wow! The sailor warriors of love and justice! response:	That's my line, damn it!
context: Hold it right there!\Sailor Venus!\Sailor Jupiter!\Sailor Mars!\Sailor Mercury!\Here we are!\Wow! The sailor warriors of love and justice!\That's my line, damn it! response:	Give him back!
context: Sailor Venus!\Sailor Jupiter!\Sailor Mars!\Sailor Mercury!\Here we are!\Wow! The sailor warriors of love and justice!\That's my line, damn it!\Give him back! response:	Bubble
context: Sailor Jupiter!\Sailor Mars!\Sailor Mercury!\Here we are!\Wow! The sailor warriors of love and justice!\That's my line, damn it!\Give him back!\Bubble response:	Spray!
context: Sailor Mars!\Sailor Mercury!\Here we are!\Wow! The sailor warriors of love and justice!\That's my line, damn it!\Give him back!\Bubble\Spray! response:	Everyone, now's our chance! The inn is that way!
context: Sailor Mercury!\Here we are!\Wow! The sailor warriors of love and justice!\That's my line, damn it!\Give him back!\Bubble\Spray!\Everyone, now's our chance! The inn is that way! response:	Okay, stick together!
context: Here we are!\Wow! The sailor warriors of love and justice!\That's my line, damn it!\Give him back!\Bubble\Spray!\Everyone, now's our chance! The inn is that way!\Okay, stick together! response:	Everyone, be careful.
context: Wow! The sailor warriors of love and justice!\That's my line, damn it!\Give him back!\Bubble\Spray!\Everyone, now's our chance! The inn is that way!\Okay, stick together!\Everyone, be careful. response:	Moon Prism Power Makeup!
context: That's my line, damn it!\Give him back!\Bubble\Spray!\Everyone, now's our chance! The inn is that way!\Okay, stick together!\Everyone, be careful.\Moon Prism Power Makeup! response:	Here, here! This way!
context: Give him back!\Bubble\Spray!\Everyone, now's our chance! The inn is that way!\Okay, stick together!\Everyone, be careful.\Moon Prism Power Makeup!\Here, here! This way! response:	How dare you frighten innocent tourists,
context: Bubble\Spray!\Everyone, now's our chance! The inn is that way!\Okay, stick together!\Everyone, be careful.\Moon Prism Power Makeup!\Here, here! This way!\How dare you frighten innocent tourists, response:	and ruin Usagi's family's quality time?! It's unforgivable!
context: Spray!\Everyone, now's our chance! The inn is that way!\Okay, stick together!\Everyone, be careful.\Moon Prism Power Makeup!\Here, here! This way!\How dare you frighten innocent tourists,\and ruin Usagi's family's quality time?! It's unforgivable! response:	In the name of the moon, I will punish you!
context: Everyone, now's our chance! The inn is that way!\Okay, stick together!\Everyone, be careful.\Moon Prism Power Makeup!\Here, here! This way!\How dare you frighten innocent tourists,\and ruin Usagi's family's quality time?! It's unforgivable!\In the name of the moon, I will punish you! response:	Tuxedo Mask, you protected Usagi.
context: Okay, stick together!\Everyone, be careful.\Moon Prism Power Makeup!\Here, here! This way!\How dare you frighten innocent tourists,\and ruin Usagi's family's quality time?! It's unforgivable!\In the name of the moon, I will punish you!\Tuxedo Mask, you protected Usagi. response:	I knew you were a good person.
context: Everyone, be careful.\Moon Prism Power Makeup!\Here, here! This way!\How dare you frighten innocent tourists,\and ruin Usagi's family's quality time?! It's unforgivable!\In the name of the moon, I will punish you!\Tuxedo Mask, you protected Usagi.\I knew you were a good person. response:	I love you.
context: Moon Prism Power Makeup!\Here, here! This way!\How dare you frighten innocent tourists,\and ruin Usagi's family's quality time?! It's unforgivable!\In the name of the moon, I will punish you!\Tuxedo Mask, you protected Usagi.\I knew you were a good person.\I love you. response:	Sailor Moon!
