context: We ask thee, Father, to forgive us our sins and grant us eternal life. response:	When we leave this world, may we go peacefully into the arms of our Lord.
context: Sorry to keep you waiting.\Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...?\The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened? response:	When the ladies retired to the next room, I trod on the hem of the lady next to me.
context: Hurry up with the trimmings!\Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...?\The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me. response:	Oh my!
context: Even if you can't handle wine to begin with, you get used to it the more you drink.\Is that so...?\The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my! response:	I have yet to make a single mistake, you know.
context: Is that so...?\The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my!\I have yet to make a single mistake, you know. response:	Very impressive!
context: The first time I drank, I made a terrible mistake.\I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my!\I have yet to make a single mistake, you know.\Very impressive! response:	My mother was worried before I left the house tonight.
context: I was with people who loved to drink, so l couldn't refuse when they offered me more.\Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my!\I have yet to make a single mistake, you know.\Very impressive!\My mother was worried before I left the house tonight. response:	Really?
context: Port wine, Hock, Claret, Sherry, there was even Madeira, I think...\So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my!\I have yet to make a single mistake, you know.\Very impressive!\My mother was worried before I left the house tonight.\Really? response:	She told me not to disgrace the traditions of our family...
context: So, what happened?\When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my!\I have yet to make a single mistake, you know.\Very impressive!\My mother was worried before I left the house tonight.\Really?\She told me not to disgrace the traditions of our family... response:	Mother is always talking about it, tradition this, tradition that.
context: When the ladies retired to the next room, I trod on the hem of the lady next to me.\Oh my!\I have yet to make a single mistake, you know.\Very impressive!\My mother was worried before I left the house tonight.\Really?\She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that. response:	Tradition is...
context: Oh my!\I have yet to make a single mistake, you know.\Very impressive!\My mother was worried before I left the house tonight.\Really?\She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that.\Tradition is... response:	Of course, tradition is important.
context: I have yet to make a single mistake, you know.\Very impressive!\My mother was worried before I left the house tonight.\Really?\She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that.\Tradition is...\Of course, tradition is important. response:	After all, it's something that has been handed down through many generations.
context: Very impressive!\My mother was worried before I left the house tonight.\Really?\She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that.\Tradition is...\Of course, tradition is important.\After all, it's something that has been handed down through many generations. response:	But, I despise the idea of upholding tradition simply for the sake of it.
context: My mother was worried before I left the house tonight.\Really?\She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that.\Tradition is...\Of course, tradition is important.\After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it. response:	That's just being stubborn.
context: Really?\She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that.\Tradition is...\Of course, tradition is important.\After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn. response:	Oh, I don't mean to criticize your mother.
context: She told me not to disgrace the traditions of our family...\Mother is always talking about it, tradition this, tradition that.\Tradition is...\Of course, tradition is important.\After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn.\Oh, I don't mean to criticize your mother. response:	I'm just speaking of the topic in general.
context: Mother is always talking about it, tradition this, tradition that.\Tradition is...\Of course, tradition is important.\After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn.\Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general. response:	You're here again?
context: Tradition is...\Of course, tradition is important.\After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn.\Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general.\You're here again? response:	Do you want something to eat?
context: Of course, tradition is important.\After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn.\Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general.\You're here again?\Do you want something to eat? response:	I'll be leaving here, you know.
context: After all, it's something that has been handed down through many generations.\But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn.\Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general.\You're here again?\Do you want something to eat?\I'll be leaving here, you know. response:	From now on, you'll have to search for another house.
context: But, I despise the idea of upholding tradition simply for the sake of it.\That's just being stubborn.\Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general.\You're here again?\Do you want something to eat?\I'll be leaving here, you know.\From now on, you'll have to search for another house. response:	Do you understand?
context: That's just being stubborn.\Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general.\You're here again?\Do you want something to eat?\I'll be leaving here, you know.\From now on, you'll have to search for another house.\Do you understand? response:	Are you all right?
context: Oh, I don't mean to criticize your mother.\I'm just speaking of the topic in general.\You're here again?\Do you want something to eat?\I'll be leaving here, you know.\From now on, you'll have to search for another house.\Do you understand?\Are you all right? response:	That wasn't much at all, I'm fine.
context: I'm just speaking of the topic in general.\You're here again?\Do you want something to eat?\I'll be leaving here, you know.\From now on, you'll have to search for another house.\Do you understand?\Are you all right?\That wasn't much at all, I'm fine. response:	Phew!
context: You're here again?\Do you want something to eat?\I'll be leaving here, you know.\From now on, you'll have to search for another house.\Do you understand?\Are you all right?\That wasn't much at all, I'm fine.\Phew! response:	All right, it's ready. This is the final dish.
context: Do you want something to eat?\I'll be leaving here, you know.\From now on, you'll have to search for another house.\Do you understand?\Are you all right?\That wasn't much at all, I'm fine.\Phew!\All right, it's ready. This is the final dish. response:	Well?
context: I'll be leaving here, you know.\From now on, you'll have to search for another house.\Do you understand?\Are you all right?\That wasn't much at all, I'm fine.\Phew!\All right, it's ready. This is the final dish.\Well? response:	Have the guests said anything?
context: From now on, you'll have to search for another house.\Do you understand?\Are you all right?\That wasn't much at all, I'm fine.\Phew!\All right, it's ready. This is the final dish.\Well?\Have the guests said anything? response:	Everyone seems very satisfied. Even the mistress was praising you!
context: Do you understand?\Are you all right?\That wasn't much at all, I'm fine.\Phew!\All right, it's ready. This is the final dish.\Well?\Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you! response:	Of course she was.
context: Are you all right?\That wasn't much at all, I'm fine.\Phew!\All right, it's ready. This is the final dish.\Well?\Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you!\Of course she was. response:	There you go, being modest again.
context: That wasn't much at all, I'm fine.\Phew!\All right, it's ready. This is the final dish.\Well?\Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you!\Of course she was.\There you go, being modest again. response:	Come now, we're not finished yet! We still have to clean up.
context: Phew!\All right, it's ready. This is the final dish.\Well?\Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you!\Of course she was.\There you go, being modest again.\Come now, we're not finished yet! We still have to clean up. response:	If you start daydreaming and break a valuable plate,
context: All right, it's ready. This is the final dish.\Well?\Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you!\Of course she was.\There you go, being modest again.\Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate, response:	you'll be packing your bags come tomorrow morning!
context: Well?\Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you!\Of course she was.\There you go, being modest again.\Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning! response:	Yes, Cook!
context: Have the guests said anything?\Everyone seems very satisfied. Even the mistress was praising you!\Of course she was.\There you go, being modest again.\Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning!\Yes, Cook! response:	Are you really all right?
context: Everyone seems very satisfied. Even the mistress was praising you!\Of course she was.\There you go, being modest again.\Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning!\Yes, Cook!\Are you really all right? response:	I am... fine...
context: Of course she was.\There you go, being modest again.\Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning!\Yes, Cook!\Are you really all right?\I am... fine... response:	I must say, it's delightful to dine with a young couple like yourselves.
context: There you go, being modest again.\Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning!\Yes, Cook!\Are you really all right?\I am... fine...\I must say, it's delightful to dine with a young couple like yourselves. response:	Sir?
context: Come now, we're not finished yet! We still have to clean up.\If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning!\Yes, Cook!\Are you really all right?\I am... fine...\I must say, it's delightful to dine with a young couple like yourselves.\Sir? response:	Young love is clearer than crystal, more vibrant than gardens in June.
context: If you start daydreaming and break a valuable plate,\you'll be packing your bags come tomorrow morning!\Yes, Cook!\Are you really all right?\I am... fine...\I must say, it's delightful to dine with a young couple like yourselves.\Sir?\Young love is clearer than crystal, more vibrant than gardens in June. response:	How wonderful indeed.
context: you'll be packing your bags come tomorrow morning!\Yes, Cook!\Are you really all right?\I am... fine...\I must say, it's delightful to dine with a young couple like yourselves.\Sir?\Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed. response:	That's not... not really the case here, sir.
context: Yes, Cook!\Are you really all right?\I am... fine...\I must say, it's delightful to dine with a young couple like yourselves.\Sir?\Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed.\That's not... not really the case here, sir. response:	It is not the case.
context: Are you really all right?\I am... fine...\I must say, it's delightful to dine with a young couple like yourselves.\Sir?\Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed.\That's not... not really the case here, sir.\It is not the case. response:	I invited the young lady to dinner.
context: I am... fine...\I must say, it's delightful to dine with a young couple like yourselves.\Sir?\Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed.\That's not... not really the case here, sir.\It is not the case.\I invited the young lady to dinner. response:	Oh!
context: I must say, it's delightful to dine with a young couple like yourselves.\Sir?\Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed.\That's not... not really the case here, sir.\It is not the case.\I invited the young lady to dinner.\Oh! response:	Of course, I would be happy if love were to blossom.
context: Sir?\Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed.\That's not... not really the case here, sir.\It is not the case.\I invited the young lady to dinner.\Oh!\Of course, I would be happy if love were to blossom. response:	Well then, One sees the elegance of the rose in the bud. Or something like that.
context: Young love is clearer than crystal, more vibrant than gardens in June.\How wonderful indeed.\That's not... not really the case here, sir.\It is not the case.\I invited the young lady to dinner.\Oh!\Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that. response:	It appears the salon is ready, so the ladies can now retire.
context: How wonderful indeed.\That's not... not really the case here, sir.\It is not the case.\I invited the young lady to dinner.\Oh!\Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire. response:	I'm sure the gentlemen wish to smoke their cigars.
context: That's not... not really the case here, sir.\It is not the case.\I invited the young lady to dinner.\Oh!\Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars. response:	Please take your time, gentlemen.
context: It is not the case.\I invited the young lady to dinner.\Oh!\Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen. response:	Shall we be going?
context: I invited the young lady to dinner.\Oh!\Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen.\Shall we be going? response:	Y-yes...
context: Oh!\Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen.\Shall we be going?\Y-yes... response:	Thank you.
context: Of course, I would be happy if love were to blossom.\Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen.\Shall we be going?\Y-yes...\Thank you. response:	I'm so full. I wish I could take my corset off...
context: Well then, One sees the elegance of the rose in the bud. Or something like that.\It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen.\Shall we be going?\Y-yes...\Thank you.\I'm so full. I wish I could take my corset off... response:	I know!
context: It appears the salon is ready, so the ladies can now retire.\I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen.\Shall we be going?\Y-yes...\Thank you.\I'm so full. I wish I could take my corset off...\I know! response:	Ah, um... is William always at home?
context: I'm sure the gentlemen wish to smoke their cigars.\Please take your time, gentlemen.\Shall we be going?\Y-yes...\Thank you.\I'm so full. I wish I could take my corset off...\I know!\Ah, um... is William always at home? response:	Yes, I believe so.
context: Please take your time, gentlemen.\Shall we be going?\Y-yes...\Thank you.\I'm so full. I wish I could take my corset off...\I know!\Ah, um... is William always at home?\Yes, I believe so. response:	I wonder if he likes round games. Perhaps I should ask him next time.
context: Shall we be going?\Y-yes...\Thank you.\I'm so full. I wish I could take my corset off...\I know!\Ah, um... is William always at home?\Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time. response:	I'm not sure.
context: Y-yes...\Thank you.\I'm so full. I wish I could take my corset off...\I know!\Ah, um... is William always at home?\Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure. response:	But my brother is so unpredictable. He doesn't make for very good company.
context: Thank you.\I'm so full. I wish I could take my corset off...\I know!\Ah, um... is William always at home?\Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company. response:	That's not true! I really enjoy talking with him!
context: I'm so full. I wish I could take my corset off...\I know!\Ah, um... is William always at home?\Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him! response:	I wonder... ifWilliam already has someone that he likes?
context: I know!\Ah, um... is William always at home?\Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes? response:	Oh dear! Just listen to me babble...
context: Ah, um... is William always at home?\Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble... response:	This biscuit tastes good.
context: Yes, I believe so.\I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble...\This biscuit tastes good. response:	Miss Eleanor, are you all right?
context: I wonder if he likes round games. Perhaps I should ask him next time.\I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble...\This biscuit tastes good.\Miss Eleanor, are you all right? response:	Miss Eleanor...!
context: I'm not sure.\But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble...\This biscuit tastes good.\Miss Eleanor, are you all right?\Miss Eleanor...! response:	I told you I'm fine, didn't l?
context: But my brother is so unpredictable. He doesn't make for very good company.\That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble...\This biscuit tastes good.\Miss Eleanor, are you all right?\Miss Eleanor...!\I told you I'm fine, didn't l? response:	No, that's not...
context: That's not true! I really enjoy talking with him!\I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble...\This biscuit tastes good.\Miss Eleanor, are you all right?\Miss Eleanor...!\I told you I'm fine, didn't l?\No, that's not... response:	William!
context: I wonder... ifWilliam already has someone that he likes?\Oh dear! Just listen to me babble...\This biscuit tastes good.\Miss Eleanor, are you all right?\Miss Eleanor...!\I told you I'm fine, didn't l?\No, that's not...\William! response:	I apologize for my father's rudeness earlier.
context: Oh dear! Just listen to me babble...\This biscuit tastes good.\Miss Eleanor, are you all right?\Miss Eleanor...!\I told you I'm fine, didn't l?\No, that's not...\William!\I apologize for my father's rudeness earlier. response:	Oh, no, l...
context: This biscuit tastes good.\Miss Eleanor, are you all right?\Miss Eleanor...!\I told you I'm fine, didn't l?\No, that's not...\William!\I apologize for my father's rudeness earlier.\Oh, no, l... response:	I didn't mind at all.
context: Miss Eleanor, are you all right?\Miss Eleanor...!\I told you I'm fine, didn't l?\No, that's not...\William!\I apologize for my father's rudeness earlier.\Oh, no, l...\I didn't mind at all. response:	Actually, there's something I have to tell you, Eleanor.
context: Miss Eleanor...!\I told you I'm fine, didn't l?\No, that's not...\William!\I apologize for my father's rudeness earlier.\Oh, no, l...\I didn't mind at all.\Actually, there's something I have to tell you, Eleanor. response:	Truthfully, I don't know whether I should tell you...
context: I told you I'm fine, didn't l?\No, that's not...\William!\I apologize for my father's rudeness earlier.\Oh, no, l...\I didn't mind at all.\Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you... response:	In fact, it may make you uncomfortable.
context: No, that's not...\William!\I apologize for my father's rudeness earlier.\Oh, no, l...\I didn't mind at all.\Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable. response:	However, to be silent any longer would be dishonest to my...
context: William!\I apologize for my father's rudeness earlier.\Oh, no, l...\I didn't mind at all.\Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my... response:	I'm sorry.
context: I apologize for my father's rudeness earlier.\Oh, no, l...\I didn't mind at all.\Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my...\I'm sorry. response:	I'm not feeling very well.
context: Oh, no, l...\I didn't mind at all.\Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my...\I'm sorry.\I'm not feeling very well. response:	Oh...!
context: I didn't mind at all.\Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my...\I'm sorry.\I'm not feeling very well.\Oh...! response:	Maybe I had too much wine, I'm still not used to it.
context: Actually, there's something I have to tell you, Eleanor.\Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my...\I'm sorry.\I'm not feeling very well.\Oh...!\Maybe I had too much wine, I'm still not used to it. response:	So I must excuse myself for tonight.
context: Truthfully, I don't know whether I should tell you...\In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my...\I'm sorry.\I'm not feeling very well.\Oh...!\Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight. response:	Oh, then I'll escort you home.
context: In fact, it may make you uncomfortable.\However, to be silent any longer would be dishonest to my...\I'm sorry.\I'm not feeling very well.\Oh...!\Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight.\Oh, then I'll escort you home. response:	Annie, call the carriage, please.
context: However, to be silent any longer would be dishonest to my...\I'm sorry.\I'm not feeling very well.\Oh...!\Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight.\Oh, then I'll escort you home.\Annie, call the carriage, please. response:	Yes, miss.
context: I'm sorry.\I'm not feeling very well.\Oh...!\Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight.\Oh, then I'll escort you home.\Annie, call the carriage, please.\Yes, miss. response:	But...
context: I'm not feeling very well.\Oh...!\Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight.\Oh, then I'll escort you home.\Annie, call the carriage, please.\Yes, miss.\But... response:	I'll go home alone, tonight.
context: Oh...!\Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight.\Oh, then I'll escort you home.\Annie, call the carriage, please.\Yes, miss.\But...\I'll go home alone, tonight. response:	It's terrible that after all this work, we never get to eat the food.
context: Maybe I had too much wine, I'm still not used to it.\So I must excuse myself for tonight.\Oh, then I'll escort you home.\Annie, call the carriage, please.\Yes, miss.\But...\I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food. response:	We do get to eat it.
context: So I must excuse myself for tonight.\Oh, then I'll escort you home.\Annie, call the carriage, please.\Yes, miss.\But...\I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food.\We do get to eat it. response:	I don't mean the leftovers!
context: Oh, then I'll escort you home.\Annie, call the carriage, please.\Yes, miss.\But...\I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food.\We do get to eat it.\I don't mean the leftovers! response:	It can't be helped. They're the aristocrats, and we're the cooks.
context: Annie, call the carriage, please.\Yes, miss.\But...\I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food.\We do get to eat it.\I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks. response:	And the gap between us is wider than the London Bridge.
context: Yes, miss.\But...\I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food.\We do get to eat it.\I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge. response:	I wouldn't say that.
context: But...\I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food.\We do get to eat it.\I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge.\I wouldn't say that. response:	We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...
context: I'll go home alone, tonight.\It's terrible that after all this work, we never get to eat the food.\We do get to eat it.\I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge.\I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment... response:	Isn't that so?
context: It's terrible that after all this work, we never get to eat the food.\We do get to eat it.\I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge.\I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so? response:	Why did you say that? lf love would blossom.
context: We do get to eat it.\I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge.\I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so?\Why did you say that? lf love would blossom. response:	I only spoke of my personal wish.
context: I don't mean the leftovers!\It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge.\I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so?\Why did you say that? lf love would blossom.\I only spoke of my personal wish. response:	It's the same thing! You talk as if it's already been decided.
context: It can't be helped. They're the aristocrats, and we're the cooks.\And the gap between us is wider than the London Bridge.\I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so?\Why did you say that? lf love would blossom.\I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided. response:	Well, it has.
context: And the gap between us is wider than the London Bridge.\I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so?\Why did you say that? lf love would blossom.\I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided.\Well, it has. response:	No matter how much you oppose me, my feelings won't change.
context: I wouldn't say that.\We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so?\Why did you say that? lf love would blossom.\I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided.\Well, it has.\No matter how much you oppose me, my feelings won't change. response:	This is not some childish whim!
context: We may be cooks, but when the flavors we create move the hearts of the nobles, in that moment...\Isn't that so?\Why did you say that? lf love would blossom.\I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided.\Well, it has.\No matter how much you oppose me, my feelings won't change.\This is not some childish whim! response:	You told me to consider my responsibilities to the Jones family, and I have.
context: Isn't that so?\Why did you say that? lf love would blossom.\I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided.\Well, it has.\No matter how much you oppose me, my feelings won't change.\This is not some childish whim!\You told me to consider my responsibilities to the Jones family, and I have. response:	I've had enough of this talk.
context: Why did you say that? lf love would blossom.\I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided.\Well, it has.\No matter how much you oppose me, my feelings won't change.\This is not some childish whim!\You told me to consider my responsibilities to the Jones family, and I have.\I've had enough of this talk. response:	What's wrong with you? Do you want something to eat?
context: I only spoke of my personal wish.\It's the same thing! You talk as if it's already been decided.\Well, it has.\No matter how much you oppose me, my feelings won't change.\This is not some childish whim!\You told me to consider my responsibilities to the Jones family, and I have.\I've had enough of this talk.\What's wrong with you? Do you want something to eat? response:	Next Episode: Missing One Another
