context: Shirt: Good at fighting Superior cat-ears (?) response:	Let us assess the situation.
context: Oh.\A customer I don't see often.\I'll get going then.\Eh?! W-\I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers.\Come, confess your sins! response:	Are you not troubled by something?
context: A customer I don't see often.\I'll get going then.\Eh?! W-\I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers.\Come, confess your sins!\Are you not troubled by something? response:	Not at all.
context: I'll get going then.\Eh?! W-\I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers.\Come, confess your sins!\Are you not troubled by something?\Not at all. response:	Liar. It's written all over your face.
context: Eh?! W-\I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers.\Come, confess your sins!\Are you not troubled by something?\Not at all.\Liar. It's written all over your face. response:	I can see you're troubled over Jin-kun.
context: I finally got released from my part-time job.\I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers.\Come, confess your sins!\Are you not troubled by something?\Not at all.\Liar. It's written all over your face.\I can see you're troubled over Jin-kun. response:	I see... that's troubling.
context: I was looking forward to listening to confessions again, but all I get is this rainy sky.\I was troubled by the lack of customers.\Come, confess your sins!\Are you not troubled by something?\Not at all.\Liar. It's written all over your face.\I can see you're troubled over Jin-kun.\I see... that's troubling. response:	It's hard to believe he'd be interested in men.
context: I was troubled by the lack of customers.\Come, confess your sins!\Are you not troubled by something?\Not at all.\Liar. It's written all over your face.\I can see you're troubled over Jin-kun.\I see... that's troubling.\It's hard to believe he'd be interested in men. response:	Looks like there's nothing I can do about it.
context: Come, confess your sins!\Are you not troubled by something?\Not at all.\Liar. It's written all over your face.\I can see you're troubled over Jin-kun.\I see... that's troubling.\It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it. response:	No hard feelings, but you should give up soon and-
context: Are you not troubled by something?\Not at all.\Liar. It's written all over your face.\I can see you're troubled over Jin-kun.\I see... that's troubling.\It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and- response:	Wrong!
context: Not at all.\Liar. It's written all over your face.\I can see you're troubled over Jin-kun.\I see... that's troubling.\It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and-\Wrong! response:	You've got it wrong!
context: Liar. It's written all over your face.\I can see you're troubled over Jin-kun.\I see... that's troubling.\It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and-\Wrong!\You've got it wrong! response:	What I'm saying is...
context: I can see you're troubled over Jin-kun.\I see... that's troubling.\It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and-\Wrong!\You've got it wrong!\What I'm saying is... response:	It's so funny!
context: I see... that's troubling.\It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and-\Wrong!\You've got it wrong!\What I'm saying is...\It's so funny! response:	You're pretty careless,
context: It's hard to believe he'd be interested in men.\Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and-\Wrong!\You've got it wrong!\What I'm saying is...\It's so funny!\You're pretty careless, response:	but the seniors have quite some personality as well!
context: Looks like there's nothing I can do about it.\No hard feelings, but you should give up soon and-\Wrong!\You've got it wrong!\What I'm saying is...\It's so funny!\You're pretty careless,\but the seniors have quite some personality as well! response:	I understand.
context: No hard feelings, but you should give up soon and-\Wrong!\You've got it wrong!\What I'm saying is...\It's so funny!\You're pretty careless,\but the seniors have quite some personality as well!\I understand. response:	I see, I see!
context: Wrong!\You've got it wrong!\What I'm saying is...\It's so funny!\You're pretty careless,\but the seniors have quite some personality as well!\I understand.\I see, I see! response:	That's why you came to me.
context: You've got it wrong!\What I'm saying is...\It's so funny!\You're pretty careless,\but the seniors have quite some personality as well!\I understand.\I see, I see!\That's why you came to me. response:	You want to confess that you called him a homo.
context: What I'm saying is...\It's so funny!\You're pretty careless,\but the seniors have quite some personality as well!\I understand.\I see, I see!\That's why you came to me.\You want to confess that you called him a homo. response:	That's not true! I just followed my friend here!
context: It's so funny!\You're pretty careless,\but the seniors have quite some personality as well!\I understand.\I see, I see!\That's why you came to me.\You want to confess that you called him a homo.\That's not true! I just followed my friend here! response:	At any rate, it's not like anything good will come out of confessing to you.
context: You're pretty careless,\but the seniors have quite some personality as well!\I understand.\I see, I see!\That's why you came to me.\You want to confess that you called him a homo.\That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you. response:	I'd apologize to Jin in person if I were to do so.
context: but the seniors have quite some personality as well!\I understand.\I see, I see!\That's why you came to me.\You want to confess that you called him a homo.\That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so. response:	Your mindset is admirable.
context: I understand.\I see, I see!\That's why you came to me.\You want to confess that you called him a homo.\That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so.\Your mindset is admirable. response:	Childhood friends sure are alike.
context: I see, I see!\That's why you came to me.\You want to confess that you called him a homo.\That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so.\Your mindset is admirable.\Childhood friends sure are alike. response:	What?
context: That's why you came to me.\You want to confess that you called him a homo.\That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so.\Your mindset is admirable.\Childhood friends sure are alike.\What? response:	Just talking to myself. Don't worry about it.
context: You want to confess that you called him a homo.\That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so.\Your mindset is admirable.\Childhood friends sure are alike.\What?\Just talking to myself. Don't worry about it. response:	Anyway, you have to clear up the misunderstanding.
context: That's not true! I just followed my friend here!\At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so.\Your mindset is admirable.\Childhood friends sure are alike.\What?\Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding. response:	You must let everyone know that Jin-kun is a normal boy that likes girls.
context: At any rate, it's not like anything good will come out of confessing to you.\I'd apologize to Jin in person if I were to do so.\Your mindset is admirable.\Childhood friends sure are alike.\What?\Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls. response:	What should I do...
context: I'd apologize to Jin in person if I were to do so.\Your mindset is admirable.\Childhood friends sure are alike.\What?\Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do... response:	It's simple. Just let Jin-kun date a girl.
context: Your mindset is admirable.\Childhood friends sure are alike.\What?\Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do...\It's simple. Just let Jin-kun date a girl. response:	I'll go out with him.
context: Childhood friends sure are alike.\What?\Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do...\It's simple. Just let Jin-kun date a girl.\I'll go out with him. response:	Then again, it'll affect my activities as an idol.
context: What?\Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do...\It's simple. Just let Jin-kun date a girl.\I'll go out with him.\Then again, it'll affect my activities as an idol. response:	Oh well, choosing love over that might be good too.
context: Just talking to myself. Don't worry about it.\Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do...\It's simple. Just let Jin-kun date a girl.\I'll go out with him.\Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too. response:	You're fine with it, right? Umm...
context: Anyway, you have to clear up the misunderstanding.\You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do...\It's simple. Just let Jin-kun date a girl.\I'll go out with him.\Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too.\You're fine with it, right? Umm... response:	What was your name again?
context: You must let everyone know that Jin-kun is a normal boy that likes girls.\What should I do...\It's simple. Just let Jin-kun date a girl.\I'll go out with him.\Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too.\You're fine with it, right? Umm...\What was your name again? response:	It's Tsugumi! Aoba Tsugumi!
context: What should I do...\It's simple. Just let Jin-kun date a girl.\I'll go out with him.\Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too.\You're fine with it, right? Umm...\What was your name again?\It's Tsugumi! Aoba Tsugumi! response:	Of course I won't allow it!
context: It's simple. Just let Jin-kun date a girl.\I'll go out with him.\Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too.\You're fine with it, right? Umm...\What was your name again?\It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it! response:	In the first place, Jin has the right to choose...
context: I'll go out with him.\Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too.\You're fine with it, right? Umm...\What was your name again?\It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it!\In the first place, Jin has the right to choose... response:	Then, will you date him?
context: Then again, it'll affect my activities as an idol.\Oh well, choosing love over that might be good too.\You're fine with it, right? Umm...\What was your name again?\It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it!\In the first place, Jin has the right to choose...\Then, will you date him? response:	While you're right that the choice lies with him...
context: Oh well, choosing love over that might be good too.\You're fine with it, right? Umm...\What was your name again?\It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it!\In the first place, Jin has the right to choose...\Then, will you date him?\While you're right that the choice lies with him... response:	But between a familiar childhood friend and I...
context: You're fine with it, right? Umm...\What was your name again?\It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it!\In the first place, Jin has the right to choose...\Then, will you date him?\While you're right that the choice lies with him...\But between a familiar childhood friend and I... response:	Who will Jin-kun choose?
context: What was your name again?\It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it!\In the first place, Jin has the right to choose...\Then, will you date him?\While you're right that the choice lies with him...\But between a familiar childhood friend and I...\Who will Jin-kun choose? response:	I can't see any reason...
context: It's Tsugumi! Aoba Tsugumi!\Of course I won't allow it!\In the first place, Jin has the right to choose...\Then, will you date him?\While you're right that the choice lies with him...\But between a familiar childhood friend and I...\Who will Jin-kun choose?\I can't see any reason... response:	why Jin would refuse her.
context: Of course I won't allow it!\In the first place, Jin has the right to choose...\Then, will you date him?\While you're right that the choice lies with him...\But between a familiar childhood friend and I...\Who will Jin-kun choose?\I can't see any reason...\why Jin would refuse her. response:	Jin will date Zange-chan in order to clear up the misunderstanding.
context: In the first place, Jin has the right to choose...\Then, will you date him?\While you're right that the choice lies with him...\But between a familiar childhood friend and I...\Who will Jin-kun choose?\I can't see any reason...\why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding. response:	But it looks to me...
context: Then, will you date him?\While you're right that the choice lies with him...\But between a familiar childhood friend and I...\Who will Jin-kun choose?\I can't see any reason...\why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me... response:	that she's only toying with Jin.
context: While you're right that the choice lies with him...\But between a familiar childhood friend and I...\Who will Jin-kun choose?\I can't see any reason...\why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me...\that she's only toying with Jin. response:	Then, will you date him?
context: But between a familiar childhood friend and I...\Who will Jin-kun choose?\I can't see any reason...\why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me...\that she's only toying with Jin.\Then, will you date him? response:	That's the last thing that could happen!
context: Who will Jin-kun choose?\I can't see any reason...\why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me...\that she's only toying with Jin.\Then, will you date him?\That's the last thing that could happen! response:	It's Jin we're talking about!
context: I can't see any reason...\why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me...\that she's only toying with Jin.\Then, will you date him?\That's the last thing that could happen!\It's Jin we're talking about! response:	We were together ever since we were children,
context: why Jin would refuse her.\Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me...\that she's only toying with Jin.\Then, will you date him?\That's the last thing that could happen!\It's Jin we're talking about!\We were together ever since we were children, response:	and we even played house together.
context: Jin will date Zange-chan in order to clear up the misunderstanding.\But it looks to me...\that she's only toying with Jin.\Then, will you date him?\That's the last thing that could happen!\It's Jin we're talking about!\We were together ever since we were children,\and we even played house together. response:	How can I have feelings for him?
context: But it looks to me...\that she's only toying with Jin.\Then, will you date him?\That's the last thing that could happen!\It's Jin we're talking about!\We were together ever since we were children,\and we even played house together.\How can I have feelings for him? response:	Why does everyone have to see us that way?
context: that she's only toying with Jin.\Then, will you date him?\That's the last thing that could happen!\It's Jin we're talking about!\We were together ever since we were children,\and we even played house together.\How can I have feelings for him?\Why does everyone have to see us that way? response:	After all, his father entrusted him to me.
context: Then, will you date him?\That's the last thing that could happen!\It's Jin we're talking about!\We were together ever since we were children,\and we even played house together.\How can I have feelings for him?\Why does everyone have to see us that way?\After all, his father entrusted him to me. response:	That's right... I have to protect him.
context: That's the last thing that could happen!\It's Jin we're talking about!\We were together ever since we were children,\and we even played house together.\How can I have feelings for him?\Why does everyone have to see us that way?\After all, his father entrusted him to me.\That's right... I have to protect him. response:	This is not the time to be talking to Zange-chan.
context: It's Jin we're talking about!\We were together ever since we were children,\and we even played house together.\How can I have feelings for him?\Why does everyone have to see us that way?\After all, his father entrusted him to me.\That's right... I have to protect him.\This is not the time to be talking to Zange-chan. response:	I have to do something about it.
context: We were together ever since we were children,\and we even played house together.\How can I have feelings for him?\Why does everyone have to see us that way?\After all, his father entrusted him to me.\That's right... I have to protect him.\This is not the time to be talking to Zange-chan.\I have to do something about it. response:	You've let your guard down, Author-Man.
context: and we even played house together.\How can I have feelings for him?\Why does everyone have to see us that way?\After all, his father entrusted him to me.\That's right... I have to protect him.\This is not the time to be talking to Zange-chan.\I have to do something about it.\You've let your guard down, Author-Man. response:	It can't be... Tanabe-san!
context: How can I have feelings for him?\Why does everyone have to see us that way?\After all, his father entrusted him to me.\That's right... I have to protect him.\This is not the time to be talking to Zange-chan.\I have to do something about it.\You've let your guard down, Author-Man.\It can't be... Tanabe-san! response:	How could you have become my enemy?!
context: Why does everyone have to see us that way?\After all, his father entrusted him to me.\That's right... I have to protect him.\This is not the time to be talking to Zange-chan.\I have to do something about it.\You've let your guard down, Author-Man.\It can't be... Tanabe-san!\How could you have become my enemy?! response:	It's a grave mistake to think that all supervisors are allies, Author-Man!
context: After all, his father entrusted him to me.\That's right... I have to protect him.\This is not the time to be talking to Zange-chan.\I have to do something about it.\You've let your guard down, Author-Man.\It can't be... Tanabe-san!\How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man! response:	There is a universal truth nobody is able to resist!
context: That's right... I have to protect him.\This is not the time to be talking to Zange-chan.\I have to do something about it.\You've let your guard down, Author-Man.\It can't be... Tanabe-san!\How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist! response:	Don't tell me that universal truth is...!
context: This is not the time to be talking to Zange-chan.\I have to do something about it.\You've let your guard down, Author-Man.\It can't be... Tanabe-san!\How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...! response:	That's right; it's the deadline!
context: I have to do something about it.\You've let your guard down, Author-Man.\It can't be... Tanabe-san!\How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...!\That's right; it's the deadline! response:	No answer.
context: You've let your guard down, Author-Man.\It can't be... Tanabe-san!\How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...!\That's right; it's the deadline!\No answer. response:	Normally, he'd be back by now.
context: It can't be... Tanabe-san!\How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...!\That's right; it's the deadline!\No answer.\Normally, he'd be back by now. response:	I can't believe the Tone Curve has no effect on you!
context: How could you have become my enemy?!\It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...!\That's right; it's the deadline!\No answer.\Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you! response:	In that case, eat this!
context: It's a grave mistake to think that all supervisors are allies, Author-Man!\There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...!\That's right; it's the deadline!\No answer.\Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you!\In that case, eat this! response:	Anti-alias!
context: There is a universal truth nobody is able to resist!\Don't tell me that universal truth is...!\That's right; it's the deadline!\No answer.\Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you!\In that case, eat this!\Anti-alias! response:	I never thought you're able to use Anti-alias!
context: Don't tell me that universal truth is...!\That's right; it's the deadline!\No answer.\Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you!\In that case, eat this!\Anti-alias!\I never thought you're able to use Anti-alias! response:	You haven't seen anything yet! Take this!
context: That's right; it's the deadline!\No answer.\Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you!\In that case, eat this!\Anti-alias!\I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this! response:	Automatic Level Correction!
context: No answer.\Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you!\In that case, eat this!\Anti-alias!\I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this!\Automatic Level Correction! response:	The TV is on...
context: Normally, he'd be back by now.\I can't believe the Tone Curve has no effect on you!\In that case, eat this!\Anti-alias!\I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this!\Automatic Level Correction!\The TV is on... response:	Is he asleep?
context: I can't believe the Tone Curve has no effect on you!\In that case, eat this!\Anti-alias!\I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this!\Automatic Level Correction!\The TV is on...\Is he asleep? response:	Eat your vegetables and be cheerful!
context: In that case, eat this!\Anti-alias!\I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this!\Automatic Level Correction!\The TV is on...\Is he asleep?\Eat your vegetables and be cheerful! response:	I'm all wet. I'll borrow a towel.
context: Anti-alias!\I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this!\Automatic Level Correction!\The TV is on...\Is he asleep?\Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel. response:	W-Why?!
context: I never thought you're able to use Anti-alias!\You haven't seen anything yet! Take this!\Automatic Level Correction!\The TV is on...\Is he asleep?\Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel.\W-Why?! response:	I'm sorry.
context: You haven't seen anything yet! Take this!\Automatic Level Correction!\The TV is on...\Is he asleep?\Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel.\W-Why?!\I'm sorry. response:	You should've called for me first.
context: Automatic Level Correction!\The TV is on...\Is he asleep?\Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel.\W-Why?!\I'm sorry.\You should've called for me first. response:	I said I'm sorry...
context: The TV is on...\Is he asleep?\Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel.\W-Why?!\I'm sorry.\You should've called for me first.\I said I'm sorry... response:	But isn't it careless of you to leave the door unlocked?
context: Is he asleep?\Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel.\W-Why?!\I'm sorry.\You should've called for me first.\I said I'm sorry...\But isn't it careless of you to leave the door unlocked? response:	Nagi isn't back yet.
context: Eat your vegetables and be cheerful!\I'm all wet. I'll borrow a towel.\W-Why?!\I'm sorry.\You should've called for me first.\I said I'm sorry...\But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet. response:	Nagi-san isn't back yet?
context: I'm all wet. I'll borrow a towel.\W-Why?!\I'm sorry.\You should've called for me first.\I said I'm sorry...\But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet.\Nagi-san isn't back yet? response:	Yeah.
context: W-Why?!\I'm sorry.\You should've called for me first.\I said I'm sorry...\But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet.\Nagi-san isn't back yet?\Yeah. response:	I see.
context: I'm sorry.\You should've called for me first.\I said I'm sorry...\But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet.\Nagi-san isn't back yet?\Yeah.\I see. response:	In the past, you've always left your door locked, right?
context: You should've called for me first.\I said I'm sorry...\But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet.\Nagi-san isn't back yet?\Yeah.\I see.\In the past, you've always left your door locked, right? response:	I rang the doorbell many times, but you never answered.
context: I said I'm sorry...\But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet.\Nagi-san isn't back yet?\Yeah.\I see.\In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered. response:	Yeah... I guess I did...
context: But isn't it careless of you to leave the door unlocked?\Nagi isn't back yet.\Nagi-san isn't back yet?\Yeah.\I see.\In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered.\Yeah... I guess I did... response:	You were really troublesome back then.
context: Nagi isn't back yet.\Nagi-san isn't back yet?\Yeah.\I see.\In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered.\Yeah... I guess I did...\You were really troublesome back then. response:	Tsugumi, when we were still in junior high...
context: Nagi-san isn't back yet?\Yeah.\I see.\In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered.\Yeah... I guess I did...\You were really troublesome back then.\Tsugumi, when we were still in junior high... response:	I'm back!
context: Yeah.\I see.\In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered.\Yeah... I guess I did...\You were really troublesome back then.\Tsugumi, when we were still in junior high...\I'm back! response:	Jin!
context: I see.\In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered.\Yeah... I guess I did...\You were really troublesome back then.\Tsugumi, when we were still in junior high...\I'm back!\Jin! response:	Oh, it's Tsugumi.
context: In the past, you've always left your door locked, right?\I rang the doorbell many times, but you never answered.\Yeah... I guess I did...\You were really troublesome back then.\Tsugumi, when we were still in junior high...\I'm back!\Jin!\Oh, it's Tsugumi. response:	It's a perverted woman.
context: I rang the doorbell many times, but you never answered.\Yeah... I guess I did...\You were really troublesome back then.\Tsugumi, when we were still in junior high...\I'm back!\Jin!\Oh, it's Tsugumi.\It's a perverted woman. response:	Perverted woman?
context: Yeah... I guess I did...\You were really troublesome back then.\Tsugumi, when we were still in junior high...\I'm back!\Jin!\Oh, it's Tsugumi.\It's a perverted woman.\Perverted woman? response:	Hey!
context: You were really troublesome back then.\Tsugumi, when we were still in junior high...\I'm back!\Jin!\Oh, it's Tsugumi.\It's a perverted woman.\Perverted woman?\Hey! response:	I see! Tsugumi, you're really something!
context: Tsugumi, when we were still in junior high...\I'm back!\Jin!\Oh, it's Tsugumi.\It's a perverted woman.\Perverted woman?\Hey!\I see! Tsugumi, you're really something! response:	A surprise attack, huh?
context: I'm back!\Jin!\Oh, it's Tsugumi.\It's a perverted woman.\Perverted woman?\Hey!\I see! Tsugumi, you're really something!\A surprise attack, huh? response:	I should try it next time.
context: Jin!\Oh, it's Tsugumi.\It's a perverted woman.\Perverted woman?\Hey!\I see! Tsugumi, you're really something!\A surprise attack, huh?\I should try it next time. response:	What are you saying?! Stupid! Pervert! Idiot!
context: Oh, it's Tsugumi.\It's a perverted woman.\Perverted woman?\Hey!\I see! Tsugumi, you're really something!\A surprise attack, huh?\I should try it next time.\What are you saying?! Stupid! Pervert! Idiot! response:	So, how was it?
context: It's a perverted woman.\Perverted woman?\Hey!\I see! Tsugumi, you're really something!\A surprise attack, huh?\I should try it next time.\What are you saying?! Stupid! Pervert! Idiot!\So, how was it? response:	How? It's ordinary...
context: Perverted woman?\Hey!\I see! Tsugumi, you're really something!\A surprise attack, huh?\I should try it next time.\What are you saying?! Stupid! Pervert! Idiot!\So, how was it?\How? It's ordinary... response:	What do you mean? Be more specific.
context: Hey!\I see! Tsugumi, you're really something!\A surprise attack, huh?\I should try it next time.\What are you saying?! Stupid! Pervert! Idiot!\So, how was it?\How? It's ordinary...\What do you mean? Be more specific. response:	It's different from when he was a child...
context: I see! Tsugumi, you're really something!\A surprise attack, huh?\I should try it next time.\What are you saying?! Stupid! Pervert! Idiot!\So, how was it?\How? It's ordinary...\What do you mean? Be more specific.\It's different from when he was a child... response:	You have my attention!
context: A surprise attack, huh?\I should try it next time.\What are you saying?! Stupid! Pervert! Idiot!\So, how was it?\How? It's ordinary...\What do you mean? Be more specific.\It's different from when he was a child...\You have my attention! response:	I'm interested too!
context: I should try it next time.\What are you saying?! Stupid! Pervert! Idiot!\So, how was it?\How? It's ordinary...\What do you mean? Be more specific.\It's different from when he was a child...\You have my attention!\I'm interested too! response:	Hello! Sorry for intruding.
context: What are you saying?! Stupid! Pervert! Idiot!\So, how was it?\How? It's ordinary...\What do you mean? Be more specific.\It's different from when he was a child...\You have my attention!\I'm interested too!\Hello! Sorry for intruding. response:	I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!
context: So, how was it?\How? It's ordinary...\What do you mean? Be more specific.\It's different from when he was a child...\You have my attention!\I'm interested too!\Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in! response:	Just joking. Of course I came because I want to speak to Jin-kun.
context: How? It's ordinary...\What do you mean? Be more specific.\It's different from when he was a child...\You have my attention!\I'm interested too!\Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun. response:	But his embarrassing stories are more important, right?
context: What do you mean? Be more specific.\It's different from when he was a child...\You have my attention!\I'm interested too!\Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right? response:	Now then, please continue!
context: It's different from when he was a child...\You have my attention!\I'm interested too!\Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right?\Now then, please continue! response:	Are you an idiot?
context: You have my attention!\I'm interested too!\Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right?\Now then, please continue!\Are you an idiot? response:	So, Tsugumi-san, what was Jin-kun like as a child?
context: I'm interested too!\Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right?\Now then, please continue!\Are you an idiot?\So, Tsugumi-san, what was Jin-kun like as a child? response:	I remember there's an album...
context: Hello! Sorry for intruding.\I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right?\Now then, please continue!\Are you an idiot?\So, Tsugumi-san, what was Jin-kun like as a child?\I remember there's an album... response:	He's now different from this?
context: I sensed the gossip of Jin-kun's embarrassing stories, so I quickly joined in!\Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right?\Now then, please continue!\Are you an idiot?\So, Tsugumi-san, what was Jin-kun like as a child?\I remember there's an album...\He's now different from this? response:	Human growth is surprisingly fast!
context: Just joking. Of course I came because I want to speak to Jin-kun.\But his embarrassing stories are more important, right?\Now then, please continue!\Are you an idiot?\So, Tsugumi-san, what was Jin-kun like as a child?\I remember there's an album...\He's now different from this?\Human growth is surprisingly fast! response:	Jin was really cute at that age.
