context: Mashima-senpai! response:	What's this atmosphere?
context: Did Ayase-senpai fall asleep again?\Maybe she's not coming because she's watching Wataya-san's match.\She's not coming.\Huh?\The Class A final is probably between Arata and the Queen.\She won't be watching this match.\B-But...\Your opponent for the final is... response:	This sucks...
context: Maybe she's not coming because she's watching Wataya-san's match.\She's not coming.\Huh?\The Class A final is probably between Arata and the Queen.\She won't be watching this match.\B-But...\Your opponent for the final is...\This sucks... response:	Why do we have to cheer for Yamashiro-san?
context: She's not coming.\Huh?\The Class A final is probably between Arata and the Queen.\She won't be watching this match.\B-But...\Your opponent for the final is...\This sucks...\Why do we have to cheer for Yamashiro-san? response:	This is such a drag.
context: Huh?\The Class A final is probably between Arata and the Queen.\She won't be watching this match.\B-But...\Your opponent for the final is...\This sucks...\Why do we have to cheer for Yamashiro-san?\This is such a drag. response:	She's the reason we lost the team match.
context: The Class A final is probably between Arata and the Queen.\She won't be watching this match.\B-But...\Your opponent for the final is...\This sucks...\Why do we have to cheer for Yamashiro-san?\This is such a drag.\She's the reason we lost the team match. response:	She guaranteed that we would win.
context: She won't be watching this match.\B-But...\Your opponent for the final is...\This sucks...\Why do we have to cheer for Yamashiro-san?\This is such a drag.\She's the reason we lost the team match.\She guaranteed that we would win. response:	Everyone hates Rion.
context: B-But...\Your opponent for the final is...\This sucks...\Why do we have to cheer for Yamashiro-san?\This is such a drag.\She's the reason we lost the team match.\She guaranteed that we would win.\Everyone hates Rion. response:	It's because you're always giving her a hard time.
context: Your opponent for the final is...\This sucks...\Why do we have to cheer for Yamashiro-san?\This is such a drag.\She's the reason we lost the team match.\She guaranteed that we would win.\Everyone hates Rion.\It's because you're always giving her a hard time. response:	Oh, well. Nobody else is left to root for.
context: This sucks...\Why do we have to cheer for Yamashiro-san?\This is such a drag.\She's the reason we lost the team match.\She guaranteed that we would win.\Everyone hates Rion.\It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for. response:	This was a bad year.
context: Why do we have to cheer for Yamashiro-san?\This is such a drag.\She's the reason we lost the team match.\She guaranteed that we would win.\Everyone hates Rion.\It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for.\This was a bad year. response:	Who said that?
context: This is such a drag.\She's the reason we lost the team match.\She guaranteed that we would win.\Everyone hates Rion.\It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for.\This was a bad year.\Who said that? response:	Excuse me!
context: She's the reason we lost the team match.\She guaranteed that we would win.\Everyone hates Rion.\It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for.\This was a bad year.\Who said that?\Excuse me! response:	Um... Um...
context: She guaranteed that we would win.\Everyone hates Rion.\It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for.\This was a bad year.\Who said that?\Excuse me!\Um... Um... response:	I'll do my best to win Class B!
context: Everyone hates Rion.\It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for.\This was a bad year.\Who said that?\Excuse me!\Um... Um...\I'll do my best to win Class B! response:	Please cheer for me!
context: It's because you're always giving her a hard time.\Oh, well. Nobody else is left to root for.\This was a bad year.\Who said that?\Excuse me!\Um... Um...\I'll do my best to win Class B!\Please cheer for me! response:	The Fujisaki karuta club is strong
context: Oh, well. Nobody else is left to root for.\This was a bad year.\Who said that?\Excuse me!\Um... Um...\I'll do my best to win Class B!\Please cheer for me!\The Fujisaki karuta club is strong response:	because we've delivered results every year.
context: This was a bad year.\Who said that?\Excuse me!\Um... Um...\I'll do my best to win Class B!\Please cheer for me!\The Fujisaki karuta club is strong\because we've delivered results every year. response:	Once the third-years are gone,
context: Who said that?\Excuse me!\Um... Um...\I'll do my best to win Class B!\Please cheer for me!\The Fujisaki karuta club is strong\because we've delivered results every year.\Once the third-years are gone, response:	Ri-Rion?!
context: Excuse me!\Um... Um...\I'll do my best to win Class B!\Please cheer for me!\The Fujisaki karuta club is strong\because we've delivered results every year.\Once the third-years are gone,\Ri-Rion?! response:	we'll lose most of our Class A players.
context: Um... Um...\I'll do my best to win Class B!\Please cheer for me!\The Fujisaki karuta club is strong\because we've delivered results every year.\Once the third-years are gone,\Ri-Rion?!\we'll lose most of our Class A players. response:	I have to win.
context: I'll do my best to win Class B!\Please cheer for me!\The Fujisaki karuta club is strong\because we've delivered results every year.\Once the third-years are gone,\Ri-Rion?!\we'll lose most of our Class A players.\I have to win. response:	It's on you to make sure that we don't lose a single match next summer.
context: Please cheer for me!\The Fujisaki karuta club is strong\because we've delivered results every year.\Once the third-years are gone,\Ri-Rion?!\we'll lose most of our Class A players.\I have to win.\It's on you to make sure that we don't lose a single match next summer. response:	I have to win all five matches and bring home a victory!
context: The Fujisaki karuta club is strong\because we've delivered results every year.\Once the third-years are gone,\Ri-Rion?!\we'll lose most of our Class A players.\I have to win.\It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory! response:	I have to become a champion!
context: because we've delivered results every year.\Once the third-years are gone,\Ri-Rion?!\we'll lose most of our Class A players.\I have to win.\It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory!\I have to become a champion! response:	It's now time to begin the finals for each class.
context: Once the third-years are gone,\Ri-Rion?!\we'll lose most of our Class A players.\I have to win.\It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory!\I have to become a champion!\It's now time to begin the finals for each class. response:	Good luck.
context: Ri-Rion?!\we'll lose most of our Class A players.\I have to win.\It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory!\I have to become a champion!\It's now time to begin the finals for each class.\Good luck. response:	Huh?
context: we'll lose most of our Class A players.\I have to win.\It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory!\I have to become a champion!\It's now time to begin the finals for each class.\Good luck.\Huh? response:	Why?
context: I have to win.\It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory!\I have to become a champion!\It's now time to begin the finals for each class.\Good luck.\Huh?\Why? response:	This is the final...
context: It's on you to make sure that we don't lose a single match next summer.\I have to win all five matches and bring home a victory!\I have to become a champion!\It's now time to begin the finals for each class.\Good luck.\Huh?\Why?\This is the final... response:	What am I doing here?
context: I have to win all five matches and bring home a victory!\I have to become a champion!\It's now time to begin the finals for each class.\Good luck.\Huh?\Why?\This is the final...\What am I doing here? response:	Why haven't I been able
context: I have to become a champion!\It's now time to begin the finals for each class.\Good luck.\Huh?\Why?\This is the final...\What am I doing here?\Why haven't I been able response:	to defeat five Class B players in a row?
context: It's now time to begin the finals for each class.\Good luck.\Huh?\Why?\This is the final...\What am I doing here?\Why haven't I been able\to defeat five Class B players in a row? response:	How can he be so calm when we're in the final?
context: Good luck.\Huh?\Why?\This is the final...\What am I doing here?\Why haven't I been able\to defeat five Class B players in a row?\How can he be so calm when we're in the final? response:	Excuse us.
context: Huh?\Why?\This is the final...\What am I doing here?\Why haven't I been able\to defeat five Class B players in a row?\How can he be so calm when we're in the final?\Excuse us. response:	Excuse us.
context: Why?\This is the final...\What am I doing here?\Why haven't I been able\to defeat five Class B players in a row?\How can he be so calm when we're in the final?\Excuse us.\Excuse us. response:	Can you let us through?
context: This is the final...\What am I doing here?\Why haven't I been able\to defeat five Class B players in a row?\How can he be so calm when we're in the final?\Excuse us.\Excuse us.\Can you let us through? response:	Excuse us.
context: What am I doing here?\Why haven't I been able\to defeat five Class B players in a row?\How can he be so calm when we're in the final?\Excuse us.\Excuse us.\Can you let us through?\Excuse us. response:	Wha
context: Why haven't I been able\to defeat five Class B players in a row?\How can he be so calm when we're in the final?\Excuse us.\Excuse us.\Can you let us through?\Excuse us.\Wha response:	What are you doing?!
context: to defeat five Class B players in a row?\How can he be so calm when we're in the final?\Excuse us.\Excuse us.\Can you let us through?\Excuse us.\Wha\What are you doing?! response:	I'm positive that the Class A final is between Arata and the Queen!
context: How can he be so calm when we're in the final?\Excuse us.\Excuse us.\Can you let us through?\Excuse us.\Wha\What are you doing?!\I'm positive that the Class A final is between Arata and the Queen! response:	The two opponents you care most about!
context: Excuse us.\Excuse us.\Can you let us through?\Excuse us.\Wha\What are you doing?!\I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about! response:	Right now, I care the most
context: Excuse us.\Can you let us through?\Excuse us.\Wha\What are you doing?!\I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about!\Right now, I care the most response:	about Taichi making Class A.
context: Can you let us through?\Excuse us.\Wha\What are you doing?!\I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about!\Right now, I care the most\about Taichi making Class A. response:	I-I seriously don't get Chihaya!
context: Excuse us.\Wha\What are you doing?!\I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about!\Right now, I care the most\about Taichi making Class A.\I-I seriously don't get Chihaya! response:	His breath...
context: Wha\What are you doing?!\I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about!\Right now, I care the most\about Taichi making Class A.\I-I seriously don't get Chihaya!\His breath... response:	She's such an idiot.
context: What are you doing?!\I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about!\Right now, I care the most\about Taichi making Class A.\I-I seriously don't get Chihaya!\His breath...\She's such an idiot. response:	I have to win this match as quickly as possible.
context: I'm positive that the Class A final is between Arata and the Queen!\The two opponents you care most about!\Right now, I care the most\about Taichi making Class A.\I-I seriously don't get Chihaya!\His breath...\She's such an idiot.\I have to win this match as quickly as possible. response:	I need to take a huge lead
context: The two opponents you care most about!\Right now, I care the most\about Taichi making Class A.\I-I seriously don't get Chihaya!\His breath...\She's such an idiot.\I have to win this match as quickly as possible.\I need to take a huge lead response:	so Chihaya can watch Arata and the Queen play!
context: Right now, I care the most\about Taichi making Class A.\I-I seriously don't get Chihaya!\His breath...\She's such an idiot.\I have to win this match as quickly as possible.\I need to take a huge lead\so Chihaya can watch Arata and the Queen play! response:	Mashima lost control!
context: about Taichi making Class A.\I-I seriously don't get Chihaya!\His breath...\She's such an idiot.\I have to win this match as quickly as possible.\I need to take a huge lead\so Chihaya can watch Arata and the Queen play!\Mashima lost control! response:	Learning Center 2nd Floor Urayasu Room
context: I-I seriously don't get Chihaya!\His breath...\She's such an idiot.\I have to win this match as quickly as possible.\I need to take a huge lead\so Chihaya can watch Arata and the Queen play!\Mashima lost control!\Learning Center 2nd Floor Urayasu Room response:	Wait, the room's already full?
context: His breath...\She's such an idiot.\I have to win this match as quickly as possible.\I need to take a huge lead\so Chihaya can watch Arata and the Queen play!\Mashima lost control!\Learning Center 2nd Floor Urayasu Room\Wait, the room's already full? response:	Can't they squeeze together more?
context: She's such an idiot.\I have to win this match as quickly as possible.\I need to take a huge lead\so Chihaya can watch Arata and the Queen play!\Mashima lost control!\Learning Center 2nd Floor Urayasu Room\Wait, the room's already full?\Can't they squeeze together more? response:	We can't get in?
context: I have to win this match as quickly as possible.\I need to take a huge lead\so Chihaya can watch Arata and the Queen play!\Mashima lost control!\Learning Center 2nd Floor Urayasu Room\Wait, the room's already full?\Can't they squeeze together more?\We can't get in? response:	It's a good thing we only have the Class A final in the Urayasu room,
context: I need to take a huge lead\so Chihaya can watch Arata and the Queen play!\Mashima lost control!\Learning Center 2nd Floor Urayasu Room\Wait, the room's already full?\Can't they squeeze together more?\We can't get in?\It's a good thing we only have the Class A final in the Urayasu room, response:	since the Class B final has a lot of Fujisaki students in the audience.
context: so Chihaya can watch Arata and the Queen play!\Mashima lost control!\Learning Center 2nd Floor Urayasu Room\Wait, the room's already full?\Can't they squeeze together more?\We can't get in?\It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience. response:	The Queen is certainly attracting a lot of attention.
context: Mashima lost control!\Learning Center 2nd Floor Urayasu Room\Wait, the room's already full?\Can't they squeeze together more?\We can't get in?\It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention. response:	But...
context: Learning Center 2nd Floor Urayasu Room\Wait, the room's already full?\Can't they squeeze together more?\We can't get in?\It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention.\But... response:	The tournament's management is watching...
context: Wait, the room's already full?\Can't they squeeze together more?\We can't get in?\It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention.\But...\The tournament's management is watching... response:	Eternal Master Wataya Hajime.
context: Can't they squeeze together more?\We can't get in?\It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention.\But...\The tournament's management is watching...\Eternal Master Wataya Hajime. response:	I used to play him all the time.
context: We can't get in?\It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention.\But...\The tournament's management is watching...\Eternal Master Wataya Hajime.\I used to play him all the time. response:	How will his grandson fare against the Queen?
context: It's a good thing we only have the Class A final in the Urayasu room,\since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention.\But...\The tournament's management is watching...\Eternal Master Wataya Hajime.\I used to play him all the time.\How will his grandson fare against the Queen? response:	Is he capable of dethroning Master Suo Hisashi?
context: since the Class B final has a lot of Fujisaki students in the audience.\The Queen is certainly attracting a lot of attention.\But...\The tournament's management is watching...\Eternal Master Wataya Hajime.\I used to play him all the time.\How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi? response:	That's me...
context: The Queen is certainly attracting a lot of attention.\But...\The tournament's management is watching...\Eternal Master Wataya Hajime.\I used to play him all the time.\How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi?\That's me... response:	This brings back memories.
context: But...\The tournament's management is watching...\Eternal Master Wataya Hajime.\I used to play him all the time.\How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi?\That's me...\This brings back memories. response:	Shinobu-chan has a somewhat unique card placement and memorization method.
context: The tournament's management is watching...\Eternal Master Wataya Hajime.\I used to play him all the time.\How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi?\That's me...\This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method. response:	She must have been playing with these cards by herself all this time.
context: Eternal Master Wataya Hajime.\I used to play him all the time.\How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi?\That's me...\This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time. response:	Ah, there you are.
context: I used to play him all the time.\How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi?\That's me...\This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time.\Ah, there you are. response:	I'll come get you.
context: How will his grandson fare against the Queen?\Is he capable of dethroning Master Suo Hisashi?\That's me...\This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time.\Ah, there you are.\I'll come get you. response:	Two more minutes of memorization time.
context: Is he capable of dethroning Master Suo Hisashi?\That's me...\This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time.\Ah, there you are.\I'll come get you.\Two more minutes of memorization time. response:	Arata.
context: That's me...\This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time.\Ah, there you are.\I'll come get you.\Two more minutes of memorization time.\Arata. response:	The strongest karuta players are those who faced the cards alone.
context: This brings back memories.\Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time.\Ah, there you are.\I'll come get you.\Two more minutes of memorization time.\Arata.\The strongest karuta players are those who faced the cards alone. response:	Let's make it clear once and for all.
context: Shinobu-chan has a somewhat unique card placement and memorization method.\She must have been playing with these cards by herself all this time.\Ah, there you are.\I'll come get you.\Two more minutes of memorization time.\Arata.\The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all. response:	Neither you nor I
context: She must have been playing with these cards by herself all this time.\Ah, there you are.\I'll come get you.\Two more minutes of memorization time.\Arata.\The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all.\Neither you nor I response:	need any friends.
context: Ah, there you are.\I'll come get you.\Two more minutes of memorization time.\Arata.\The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all.\Neither you nor I\need any friends. response:	Are you sure about that?
context: I'll come get you.\Two more minutes of memorization time.\Arata.\The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all.\Neither you nor I\need any friends.\Are you sure about that? response:	Ayase's an idiot.
context: Two more minutes of memorization time.\Arata.\The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all.\Neither you nor I\need any friends.\Are you sure about that?\Ayase's an idiot. response:	I can't believe she's not watching this.
context: Arata.\The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all.\Neither you nor I\need any friends.\Are you sure about that?\Ayase's an idiot.\I can't believe she's not watching this. response:	Let's begin.
context: The strongest karuta players are those who faced the cards alone.\Let's make it clear once and for all.\Neither you nor I\need any friends.\Are you sure about that?\Ayase's an idiot.\I can't believe she's not watching this.\Let's begin. response:	Good luck.
context: Let's make it clear once and for all.\Neither you nor I\need any friends.\Are you sure about that?\Ayase's an idiot.\I can't believe she's not watching this.\Let's begin.\Good luck. response:	Naniwa Bay, now the flower blooms, but for winter
context: Neither you nor I\need any friends.\Are you sure about that?\Ayase's an idiot.\I can't believe she's not watching this.\Let's begin.\Good luck.\Naniwa Bay, now the flower blooms, but for winter response:	How well can you do against the unbeatable Queen, Arata?
context: need any friends.\Are you sure about that?\Ayase's an idiot.\I can't believe she's not watching this.\Let's begin.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata? response:	Here comes spring, now the flower blooms
context: Are you sure about that?\Ayase's an idiot.\I can't believe she's not watching this.\Let's begin.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms response:	Wakamiya Shinobu has the speed and accuracy
context: Ayase's an idiot.\I can't believe she's not watching this.\Let's begin.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy response:	to take cards on the edge of her vision.
context: I can't believe she's not watching this.\Let's begin.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision. response:	Here comes spring, now the flower blooms
context: Let's begin.\Good luck.\Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision.\Here comes spring, now the flower blooms response:	Since the dew atop the blades...
context: Good luck.\Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision.\Here comes spring, now the flower blooms\Since the dew atop the blades... response:	Who got that one?
context: Naniwa Bay, now the flower blooms, but for winter\How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision.\Here comes spring, now the flower blooms\Since the dew atop the blades...\Who got that one? response:	The Queen.
context: How well can you do against the unbeatable Queen, Arata?\Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision.\Here comes spring, now the flower blooms\Since the dew atop the blades...\Who got that one?\The Queen. response:	As my love first came...
context: Here comes spring, now the flower blooms\Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision.\Here comes spring, now the flower blooms\Since the dew atop the blades...\Who got that one?\The Queen.\As my love first came... response:	Who got it?
context: Wakamiya Shinobu has the speed and accuracy\to take cards on the edge of her vision.\Here comes spring, now the flower blooms\Since the dew atop the blades...\Who got that one?\The Queen.\As my love first came...\Who got it? response:	The Queen again.
context: to take cards on the edge of her vision.\Here comes spring, now the flower blooms\Since the dew atop the blades...\Who got that one?\The Queen.\As my love first came...\Who got it?\The Queen again. response:	So the Queen's dominating again?
context: Here comes spring, now the flower blooms\Since the dew atop the blades...\Who got that one?\The Queen.\As my love first came...\Who got it?\The Queen again.\So the Queen's dominating again? response:	Dominating?
context: Since the dew atop the blades...\Who got that one?\The Queen.\As my love first came...\Who got it?\The Queen again.\So the Queen's dominating again?\Dominating? response:	Don't be absurd.
context: Who got that one?\The Queen.\As my love first came...\Who got it?\The Queen again.\So the Queen's dominating again?\Dominating?\Don't be absurd. response:	They hit both at the same time.
context: The Queen.\As my love first came...\Who got it?\The Queen again.\So the Queen's dominating again?\Dominating?\Don't be absurd.\They hit both at the same time. response:	Her incredible speed in every direction
context: As my love first came...\Who got it?\The Queen again.\So the Queen's dominating again?\Dominating?\Don't be absurd.\They hit both at the same time.\Her incredible speed in every direction response:	and her accuracy
context: Who got it?\The Queen again.\So the Queen's dominating again?\Dominating?\Don't be absurd.\They hit both at the same time.\Her incredible speed in every direction\and her accuracy response:	haven't changed a bit.
context: The Queen again.\So the Queen's dominating again?\Dominating?\Don't be absurd.\They hit both at the same time.\Her incredible speed in every direction\and her accuracy\haven't changed a bit. response:	Those are Shinobu-chan's strengths.
context: So the Queen's dominating again?\Dominating?\Don't be absurd.\They hit both at the same time.\Her incredible speed in every direction\and her accuracy\haven't changed a bit.\Those are Shinobu-chan's strengths. response:	Arata, remember this well.
context: Dominating?\Don't be absurd.\They hit both at the same time.\Her incredible speed in every direction\and her accuracy\haven't changed a bit.\Those are Shinobu-chan's strengths.\Arata, remember this well. response:	You break an opponent by attacking their strengths.
context: Don't be absurd.\They hit both at the same time.\Her incredible speed in every direction\and her accuracy\haven't changed a bit.\Those are Shinobu-chan's strengths.\Arata, remember this well.\You break an opponent by attacking their strengths. response:	Though my hatred has waned and the tears have dried from my sleeves,
context: They hit both at the same time.\Her incredible speed in every direction\and her accuracy\haven't changed a bit.\Those are Shinobu-chan's strengths.\Arata, remember this well.\You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves, response:	That was fast!
context: Her incredible speed in every direction\and her accuracy\haven't changed a bit.\Those are Shinobu-chan's strengths.\Arata, remember this well.\You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves,\That was fast! response:	What just happened?
context: and her accuracy\haven't changed a bit.\Those are Shinobu-chan's strengths.\Arata, remember this well.\You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves,\That was fast!\What just happened? response:	That was a perfect cross...
context: haven't changed a bit.\Those are Shinobu-chan's strengths.\Arata, remember this well.\You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves,\That was fast!\What just happened?\That was a perfect cross... response:	The Queen is so fast that
context: Those are Shinobu-chan's strengths.\Arata, remember this well.\You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves,\That was fast!\What just happened?\That was a perfect cross...\The Queen is so fast that response:	she can take Though I and Though my on the first syllable,
context: Arata, remember this well.\You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves,\That was fast!\What just happened?\That was a perfect cross...\The Queen is so fast that\she can take Though I and Though my on the first syllable, response:	yet he moved before the first syllable!
context: You break an opponent by attacking their strengths.\Though my hatred has waned and the tears have dried from my sleeves,\That was fast!\What just happened?\That was a perfect cross...\The Queen is so fast that\she can take Though I and Though my on the first syllable,\yet he moved before the first syllable! response:	This reminds me of the nasty style of karuta Master Wataya played.
context: Though my hatred has waned and the tears have dried from my sleeves,\That was fast!\What just happened?\That was a perfect cross...\The Queen is so fast that\she can take Though I and Though my on the first syllable,\yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played. response:	Against the Queen, he's lost two cards that they hit at the same time,
context: That was fast!\What just happened?\That was a perfect cross...\The Queen is so fast that\she can take Though I and Though my on the first syllable,\yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time, response:	and now he's taken one of her best cards with a cross.
context: What just happened?\That was a perfect cross...\The Queen is so fast that\she can take Though I and Though my on the first syllable,\yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross. response:	The Queen knows that she must be careful against him.
context: That was a perfect cross...\The Queen is so fast that\she can take Though I and Though my on the first syllable,\yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him. response:	Defending every card is risky.
context: The Queen is so fast that\she can take Though I and Though my on the first syllable,\yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him.\Defending every card is risky. response:	I'm sorry, everyone.
context: she can take Though I and Though my on the first syllable,\yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him.\Defending every card is risky.\I'm sorry, everyone. response:	Today, I'll have to choose which cards I can save
context: yet he moved before the first syllable!\This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him.\Defending every card is risky.\I'm sorry, everyone.\Today, I'll have to choose which cards I can save response:	and which cards I can't.
context: This reminds me of the nasty style of karuta Master Wataya played.\Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him.\Defending every card is risky.\I'm sorry, everyone.\Today, I'll have to choose which cards I can save\and which cards I can't. response:	Shinobu-chan, I'm taking you down.
context: Against the Queen, he's lost two cards that they hit at the same time,\and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him.\Defending every card is risky.\I'm sorry, everyone.\Today, I'll have to choose which cards I can save\and which cards I can't.\Shinobu-chan, I'm taking you down. response:	Learning Center 1st Floor Asahi Room
context: and now he's taken one of her best cards with a cross.\The Queen knows that she must be careful against him.\Defending every card is risky.\I'm sorry, everyone.\Today, I'll have to choose which cards I can save\and which cards I can't.\Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room response:	Said bed was cold...
context: The Queen knows that she must be careful against him.\Defending every card is risky.\I'm sorry, everyone.\Today, I'll have to choose which cards I can save\and which cards I can't.\Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room\Said bed was cold... response:	Bah, a fault!
context: Defending every card is risky.\I'm sorry, everyone.\Today, I'll have to choose which cards I can save\and which cards I can't.\Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room\Said bed was cold...\Bah, a fault! response:	May the time spent...
context: I'm sorry, everyone.\Today, I'll have to choose which cards I can save\and which cards I can't.\Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room\Said bed was cold...\Bah, a fault!\May the time spent... response:	A fault!
context: Today, I'll have to choose which cards I can save\and which cards I can't.\Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room\Said bed was cold...\Bah, a fault!\May the time spent...\A fault! response:	How many faults have they committed?
context: and which cards I can't.\Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room\Said bed was cold...\Bah, a fault!\May the time spent...\A fault!\How many faults have they committed? response:	This is a mess.
context: Shinobu-chan, I'm taking you down.\Learning Center 1st Floor Asahi Room\Said bed was cold...\Bah, a fault!\May the time spent...\A fault!\How many faults have they committed?\This is a mess. response:	What?
