context: O-Okay. response:	Counting on you.
context: I guess her situation with him is worse than I'd thought.\It's no time to be depressed because you got dumped by some guy.\Dumped by...\Dumped...\Did I really?\So this is what it means to be dumped?\What's going on?\We've been had. response:	Huh?
context: It's no time to be depressed because you got dumped by some guy.\Dumped by...\Dumped...\Did I really?\So this is what it means to be dumped?\What's going on?\We've been had.\Huh? response:	Tohru, I need you to make the dashi.
context: Dumped by...\Dumped...\Did I really?\So this is what it means to be dumped?\What's going on?\We've been had.\Huh?\Tohru, I need you to make the dashi. response:	Okay.
context: Dumped...\Did I really?\So this is what it means to be dumped?\What's going on?\We've been had.\Huh?\Tohru, I need you to make the dashi.\Okay. response:	It smells so good!
context: Did I really?\So this is what it means to be dumped?\What's going on?\We've been had.\Huh?\Tohru, I need you to make the dashi.\Okay.\It smells so good! response:	Being this time of the year, are you cooking smelt-whiting?
context: So this is what it means to be dumped?\What's going on?\We've been had.\Huh?\Tohru, I need you to make the dashi.\Okay.\It smells so good!\Being this time of the year, are you cooking smelt-whiting? response:	Or is it tempura?
context: What's going on?\We've been had.\Huh?\Tohru, I need you to make the dashi.\Okay.\It smells so good!\Being this time of the year, are you cooking smelt-whiting?\Or is it tempura? response:	You might laugh, saying that it's plain boring, but...
context: We've been had.\Huh?\Tohru, I need you to make the dashi.\Okay.\It smells so good!\Being this time of the year, are you cooking smelt-whiting?\Or is it tempura?\You might laugh, saying that it's plain boring, but... response:	Oh?
context: Huh?\Tohru, I need you to make the dashi.\Okay.\It smells so good!\Being this time of the year, are you cooking smelt-whiting?\Or is it tempura?\You might laugh, saying that it's plain boring, but...\Oh? response:	Predicting is the same thing as hoping.
context: Tohru, I need you to make the dashi.\Okay.\It smells so good!\Being this time of the year, are you cooking smelt-whiting?\Or is it tempura?\You might laugh, saying that it's plain boring, but...\Oh?\Predicting is the same thing as hoping. response:	It's not nice to kill my hopes like that.
context: Okay.\It smells so good!\Being this time of the year, are you cooking smelt-whiting?\Or is it tempura?\You might laugh, saying that it's plain boring, but...\Oh?\Predicting is the same thing as hoping.\It's not nice to kill my hopes like that. response:	Huh?
context: It smells so good!\Being this time of the year, are you cooking smelt-whiting?\Or is it tempura?\You might laugh, saying that it's plain boring, but...\Oh?\Predicting is the same thing as hoping.\It's not nice to kill my hopes like that.\Huh? response:	And that's why you should
context: Being this time of the year, are you cooking smelt-whiting?\Or is it tempura?\You might laugh, saying that it's plain boring, but...\Oh?\Predicting is the same thing as hoping.\It's not nice to kill my hopes like that.\Huh?\And that's why you should response:	be trying to surprise me in a different way,
context: Or is it tempura?\You might laugh, saying that it's plain boring, but...\Oh?\Predicting is the same thing as hoping.\It's not nice to kill my hopes like that.\Huh?\And that's why you should\be trying to surprise me in a different way, response:	like preparing several kinds of salt.
context: You might laugh, saying that it's plain boring, but...\Oh?\Predicting is the same thing as hoping.\It's not nice to kill my hopes like that.\Huh?\And that's why you should\be trying to surprise me in a different way,\like preparing several kinds of salt. response:	It would have been a lot easier if
context: Oh?\Predicting is the same thing as hoping.\It's not nice to kill my hopes like that.\Huh?\And that's why you should\be trying to surprise me in a different way,\like preparing several kinds of salt.\It would have been a lot easier if response:	she had just called it boring.
context: Predicting is the same thing as hoping.\It's not nice to kill my hopes like that.\Huh?\And that's why you should\be trying to surprise me in a different way,\like preparing several kinds of salt.\It would have been a lot easier if\she had just called it boring. response:	I've been had as well.
context: It's not nice to kill my hopes like that.\Huh?\And that's why you should\be trying to surprise me in a different way,\like preparing several kinds of salt.\It would have been a lot easier if\she had just called it boring.\I've been had as well. response:	The bath isn't ready yet-
context: Huh?\And that's why you should\be trying to surprise me in a different way,\like preparing several kinds of salt.\It would have been a lot easier if\she had just called it boring.\I've been had as well.\The bath isn't ready yet- response:	Geez, this inn is as strict as ever.
context: And that's why you should\be trying to surprise me in a different way,\like preparing several kinds of salt.\It would have been a lot easier if\she had just called it boring.\I've been had as well.\The bath isn't ready yet-\Geez, this inn is as strict as ever. response:	It's better to randomize cleaning times,
context: be trying to surprise me in a different way,\like preparing several kinds of salt.\It would have been a lot easier if\she had just called it boring.\I've been had as well.\The bath isn't ready yet-\Geez, this inn is as strict as ever.\It's better to randomize cleaning times, response:	based on watching the customers' activities.
context: like preparing several kinds of salt.\It would have been a lot easier if\she had just called it boring.\I've been had as well.\The bath isn't ready yet-\Geez, this inn is as strict as ever.\It's better to randomize cleaning times,\based on watching the customers' activities. response:	The good thing about a hot spring inn is being able
context: It would have been a lot easier if\she had just called it boring.\I've been had as well.\The bath isn't ready yet-\Geez, this inn is as strict as ever.\It's better to randomize cleaning times,\based on watching the customers' activities.\The good thing about a hot spring inn is being able response:	to enter the hot spring whenever you like.
context: she had just called it boring.\I've been had as well.\The bath isn't ready yet-\Geez, this inn is as strict as ever.\It's better to randomize cleaning times,\based on watching the customers' activities.\The good thing about a hot spring inn is being able\to enter the hot spring whenever you like. response:	Right?
context: I've been had as well.\The bath isn't ready yet-\Geez, this inn is as strict as ever.\It's better to randomize cleaning times,\based on watching the customers' activities.\The good thing about a hot spring inn is being able\to enter the hot spring whenever you like.\Right? response:	She got me.
context: The bath isn't ready yet-\Geez, this inn is as strict as ever.\It's better to randomize cleaning times,\based on watching the customers' activities.\The good thing about a hot spring inn is being able\to enter the hot spring whenever you like.\Right?\She got me. response:	The nape of her neck was so sexy...
context: Geez, this inn is as strict as ever.\It's better to randomize cleaning times,\based on watching the customers' activities.\The good thing about a hot spring inn is being able\to enter the hot spring whenever you like.\Right?\She got me.\The nape of her neck was so sexy... response:	What are you talking about?!
context: It's better to randomize cleaning times,\based on watching the customers' activities.\The good thing about a hot spring inn is being able\to enter the hot spring whenever you like.\Right?\She got me.\The nape of her neck was so sexy...\What are you talking about?! response:	She's a troubling customer, but...
context: based on watching the customers' activities.\The good thing about a hot spring inn is being able\to enter the hot spring whenever you like.\Right?\She got me.\The nape of her neck was so sexy...\What are you talking about?!\She's a troubling customer, but... response:	But I still think she's wonderful.
context: The good thing about a hot spring inn is being able\to enter the hot spring whenever you like.\Right?\She got me.\The nape of her neck was so sexy...\What are you talking about?!\She's a troubling customer, but...\But I still think she's wonderful. response:	Yeah, what she said about
context: to enter the hot spring whenever you like.\Right?\She got me.\The nape of her neck was so sexy...\What are you talking about?!\She's a troubling customer, but...\But I still think she's wonderful.\Yeah, what she said about response:	the cooking wasn't wrong either.
context: Right?\She got me.\The nape of her neck was so sexy...\What are you talking about?!\She's a troubling customer, but...\But I still think she's wonderful.\Yeah, what she said about\the cooking wasn't wrong either. response:	Yeah!
context: She got me.\The nape of her neck was so sexy...\What are you talking about?!\She's a troubling customer, but...\But I still think she's wonderful.\Yeah, what she said about\the cooking wasn't wrong either.\Yeah! response:	She's definitely better than that
context: The nape of her neck was so sexy...\What are you talking about?!\She's a troubling customer, but...\But I still think she's wonderful.\Yeah, what she said about\the cooking wasn't wrong either.\Yeah!\She's definitely better than that response:	Takako that the young master always brings!
context: What are you talking about?!\She's a troubling customer, but...\But I still think she's wonderful.\Yeah, what she said about\the cooking wasn't wrong either.\Yeah!\She's definitely better than that\Takako that the young master always brings! response:	Takako says she'll be on her way!
context: She's a troubling customer, but...\But I still think she's wonderful.\Yeah, what she said about\the cooking wasn't wrong either.\Yeah!\She's definitely better than that\Takako that the young master always brings!\Takako says she'll be on her way! response:	Die.
context: But I still think she's wonderful.\Yeah, what she said about\the cooking wasn't wrong either.\Yeah!\She's definitely better than that\Takako that the young master always brings!\Takako says she'll be on her way!\Die. response:	Man, we're saved!
context: Yeah, what she said about\the cooking wasn't wrong either.\Yeah!\She's definitely better than that\Takako that the young master always brings!\Takako says she'll be on her way!\Die.\Man, we're saved! response:	As long as she's here,
context: the cooking wasn't wrong either.\Yeah!\She's definitely better than that\Takako that the young master always brings!\Takako says she'll be on her way!\Die.\Man, we're saved!\As long as she's here, response:	we'll be able to handle my sister-
context: Yeah!\She's definitely better than that\Takako that the young master always brings!\Takako says she'll be on her way!\Die.\Man, we're saved!\As long as she's here,\we'll be able to handle my sister- response:	You're going to rely on an outsider even during a situation like this?!
context: She's definitely better than that\Takako that the young master always brings!\Takako says she'll be on her way!\Die.\Man, we're saved!\As long as she's here,\we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?! response:	This isn't only the Kissuiso's problem!
context: Takako that the young master always brings!\Takako says she'll be on her way!\Die.\Man, we're saved!\As long as she's here,\we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem! response:	This is our problem! The Shijima's!
context: Takako says she'll be on her way!\Die.\Man, we're saved!\As long as she's here,\we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem!\This is our problem! The Shijima's! response:	Though she's my daughter, she's still a customer.
context: Die.\Man, we're saved!\As long as she's here,\we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem!\This is our problem! The Shijima's!\Though she's my daughter, she's still a customer. response:	And that's why I didn't take charge of her room.
context: Man, we're saved!\As long as she's here,\we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem!\This is our problem! The Shijima's!\Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room. response:	If my personal feelings get in the way,
context: As long as she's here,\we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem!\This is our problem! The Shijima's!\Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room.\If my personal feelings get in the way, response:	I wouldn't be able to do my job.
context: we'll be able to handle my sister-\You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem!\This is our problem! The Shijima's!\Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room.\If my personal feelings get in the way,\I wouldn't be able to do my job. response:	What would you do if the daughter of the Mikasa family were here?
context: You're going to rely on an outsider even during a situation like this?!\This isn't only the Kissuiso's problem!\This is our problem! The Shijima's!\Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room.\If my personal feelings get in the way,\I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here? response:	Umm...
context: This isn't only the Kissuiso's problem!\This is our problem! The Shijima's!\Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room.\If my personal feelings get in the way,\I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here?\Umm... response:	I'd always prepare two bath towels.
context: This is our problem! The Shijima's!\Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room.\If my personal feelings get in the way,\I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here?\Umm...\I'd always prepare two bath towels. response:	What about for the mother?
context: Though she's my daughter, she's still a customer.\And that's why I didn't take charge of her room.\If my personal feelings get in the way,\I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here?\Umm...\I'd always prepare two bath towels.\What about for the mother? response:	She likes very hot tea,
context: And that's why I didn't take charge of her room.\If my personal feelings get in the way,\I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here?\Umm...\I'd always prepare two bath towels.\What about for the mother?\She likes very hot tea, response:	so I'd raise the temperature of the water in the pot.
context: If my personal feelings get in the way,\I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here?\Umm...\I'd always prepare two bath towels.\What about for the mother?\She likes very hot tea,\so I'd raise the temperature of the water in the pot. response:	Precisely.
context: I wouldn't be able to do my job.\What would you do if the daughter of the Mikasa family were here?\Umm...\I'd always prepare two bath towels.\What about for the mother?\She likes very hot tea,\so I'd raise the temperature of the water in the pot.\Precisely. response:	For people visiting for the first time,
context: What would you do if the daughter of the Mikasa family were here?\Umm...\I'd always prepare two bath towels.\What about for the mother?\She likes very hot tea,\so I'd raise the temperature of the water in the pot.\Precisely.\For people visiting for the first time, response:	you need to find out about their preferences,
context: Umm...\I'd always prepare two bath towels.\What about for the mother?\She likes very hot tea,\so I'd raise the temperature of the water in the pot.\Precisely.\For people visiting for the first time,\you need to find out about their preferences, response:	and make sure to use it for reference
context: I'd always prepare two bath towels.\What about for the mother?\She likes very hot tea,\so I'd raise the temperature of the water in the pot.\Precisely.\For people visiting for the first time,\you need to find out about their preferences,\and make sure to use it for reference response:	the next time they come.
context: What about for the mother?\She likes very hot tea,\so I'd raise the temperature of the water in the pot.\Precisely.\For people visiting for the first time,\you need to find out about their preferences,\and make sure to use it for reference\the next time they come. response:	But, though that customer is visiting for the first time,
context: She likes very hot tea,\so I'd raise the temperature of the water in the pot.\Precisely.\For people visiting for the first time,\you need to find out about their preferences,\and make sure to use it for reference\the next time they come.\But, though that customer is visiting for the first time, response:	she actually isn't.
context: so I'd raise the temperature of the water in the pot.\Precisely.\For people visiting for the first time,\you need to find out about their preferences,\and make sure to use it for reference\the next time they come.\But, though that customer is visiting for the first time,\she actually isn't. response:	You and I know a lot about that customer.
context: Precisely.\For people visiting for the first time,\you need to find out about their preferences,\and make sure to use it for reference\the next time they come.\But, though that customer is visiting for the first time,\she actually isn't.\You and I know a lot about that customer. response:	Madam Manager...
context: For people visiting for the first time,\you need to find out about their preferences,\and make sure to use it for reference\the next time they come.\But, though that customer is visiting for the first time,\she actually isn't.\You and I know a lot about that customer.\Madam Manager... response:	They're a lot similar.
context: you need to find out about their preferences,\and make sure to use it for reference\the next time they come.\But, though that customer is visiting for the first time,\she actually isn't.\You and I know a lot about that customer.\Madam Manager...\They're a lot similar. response:	That customer and the Madam Manager, that is.
context: and make sure to use it for reference\the next time they come.\But, though that customer is visiting for the first time,\she actually isn't.\You and I know a lot about that customer.\Madam Manager...\They're a lot similar.\That customer and the Madam Manager, that is. response:	You think so?
context: the next time they come.\But, though that customer is visiting for the first time,\she actually isn't.\You and I know a lot about that customer.\Madam Manager...\They're a lot similar.\That customer and the Madam Manager, that is.\You think so? response:	I see what you mean.
context: But, though that customer is visiting for the first time,\she actually isn't.\You and I know a lot about that customer.\Madam Manager...\They're a lot similar.\That customer and the Madam Manager, that is.\You think so?\I see what you mean. response:	They're different kinds of people,
context: she actually isn't.\You and I know a lot about that customer.\Madam Manager...\They're a lot similar.\That customer and the Madam Manager, that is.\You think so?\I see what you mean.\They're different kinds of people, response:	but they have their similarities.
context: You and I know a lot about that customer.\Madam Manager...\They're a lot similar.\That customer and the Madam Manager, that is.\You think so?\I see what you mean.\They're different kinds of people,\but they have their similarities. response:	I can tell that they're mother and daughter.
context: Madam Manager...\They're a lot similar.\That customer and the Madam Manager, that is.\You think so?\I see what you mean.\They're different kinds of people,\but they have their similarities.\I can tell that they're mother and daughter. response:	You're praising that customer too much there.
context: They're a lot similar.\That customer and the Madam Manager, that is.\You think so?\I see what you mean.\They're different kinds of people,\but they have their similarities.\I can tell that they're mother and daughter.\You're praising that customer too much there. response:	It's rude, even for the
context: That customer and the Madam Manager, that is.\You think so?\I see what you mean.\They're different kinds of people,\but they have their similarities.\I can tell that they're mother and daughter.\You're praising that customer too much there.\It's rude, even for the response:	Madam Manager to take part in the kitchen's activities.
context: You think so?\I see what you mean.\They're different kinds of people,\but they have their similarities.\I can tell that they're mother and daughter.\You're praising that customer too much there.\It's rude, even for the\Madam Manager to take part in the kitchen's activities. response:	However, do you mind letting me use it just this once, Mr. Ren?
context: I see what you mean.\They're different kinds of people,\but they have their similarities.\I can tell that they're mother and daughter.\You're praising that customer too much there.\It's rude, even for the\Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren? response:	Madam Manager?
context: They're different kinds of people,\but they have their similarities.\I can tell that they're mother and daughter.\You're praising that customer too much there.\It's rude, even for the\Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager? response:	Nakochi.
context: but they have their similarities.\I can tell that they're mother and daughter.\You're praising that customer too much there.\It's rude, even for the\Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager?\Nakochi. response:	Ohana.
context: I can tell that they're mother and daughter.\You're praising that customer too much there.\It's rude, even for the\Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager?\Nakochi.\Ohana. response:	Do you mind letting me prepare the futon
context: You're praising that customer too much there.\It's rude, even for the\Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager?\Nakochi.\Ohana.\Do you mind letting me prepare the futon response:	for the customer in the Wisteria Room?
context: It's rude, even for the\Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager?\Nakochi.\Ohana.\Do you mind letting me prepare the futon\for the customer in the Wisteria Room? response:	What?
context: Madam Manager to take part in the kitchen's activities.\However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager?\Nakochi.\Ohana.\Do you mind letting me prepare the futon\for the customer in the Wisteria Room?\What? response:	Sure, but...
context: However, do you mind letting me use it just this once, Mr. Ren?\Madam Manager?\Nakochi.\Ohana.\Do you mind letting me prepare the futon\for the customer in the Wisteria Room?\What?\Sure, but... response:	Huh?
context: Madam Manager?\Nakochi.\Ohana.\Do you mind letting me prepare the futon\for the customer in the Wisteria Room?\What?\Sure, but...\Huh? response:	Yeah?
context: Nakochi.\Ohana.\Do you mind letting me prepare the futon\for the customer in the Wisteria Room?\What?\Sure, but...\Huh?\Yeah? response:	You're back to your regular old self.
context: Ohana.\Do you mind letting me prepare the futon\for the customer in the Wisteria Room?\What?\Sure, but...\Huh?\Yeah?\You're back to your regular old self. response:	I'm glad.
context: Do you mind letting me prepare the futon\for the customer in the Wisteria Room?\What?\Sure, but...\Huh?\Yeah?\You're back to your regular old self.\I'm glad. response:	My regular old self...
context: for the customer in the Wisteria Room?\What?\Sure, but...\Huh?\Yeah?\You're back to your regular old self.\I'm glad.\My regular old self... response:	Excuse me.
context: What?\Sure, but...\Huh?\Yeah?\You're back to your regular old self.\I'm glad.\My regular old self...\Excuse me. response:	I've been waiting for you!
context: Sure, but...\Huh?\Yeah?\You're back to your regular old self.\I'm glad.\My regular old self...\Excuse me.\I've been waiting for you! response:	Wow, this is good!
context: Huh?\Yeah?\You're back to your regular old self.\I'm glad.\My regular old self...\Excuse me.\I've been waiting for you!\Wow, this is good! response:	Thank you.
context: Yeah?\You're back to your regular old self.\I'm glad.\My regular old self...\Excuse me.\I've been waiting for you!\Wow, this is good!\Thank you. response:	A lot of effort has been put into it.
context: You're back to your regular old self.\I'm glad.\My regular old self...\Excuse me.\I've been waiting for you!\Wow, this is good!\Thank you.\A lot of effort has been put into it. response:	What's this?
context: I'm glad.\My regular old self...\Excuse me.\I've been waiting for you!\Wow, this is good!\Thank you.\A lot of effort has been put into it.\What's this? response:	It's a special dish for you.
context: My regular old self...\Excuse me.\I've been waiting for you!\Wow, this is good!\Thank you.\A lot of effort has been put into it.\What's this?\It's a special dish for you. response:	Stewed fish cake is pretty plain for a dish at an inn.
context: Excuse me.\I've been waiting for you!\Wow, this is good!\Thank you.\A lot of effort has been put into it.\What's this?\It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn. response:	Huh?
context: I've been waiting for you!\Wow, this is good!\Thank you.\A lot of effort has been put into it.\What's this?\It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn.\Huh? response:	Oh... well...
context: Wow, this is good!\Thank you.\A lot of effort has been put into it.\What's this?\It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn.\Huh?\Oh... well... response:	Serving my favorite food like that...
context: Thank you.\A lot of effort has been put into it.\What's this?\It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn.\Huh?\Oh... well...\Serving my favorite food like that... response:	I'm using the bath, Beanman.
context: A lot of effort has been put into it.\What's this?\It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn.\Huh?\Oh... well...\Serving my favorite food like that...\I'm using the bath, Beanman. response:	Mind getting out?
context: What's this?\It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn.\Huh?\Oh... well...\Serving my favorite food like that...\I'm using the bath, Beanman.\Mind getting out? response:	You don't need to leave.
context: It's a special dish for you.\Stewed fish cake is pretty plain for a dish at an inn.\Huh?\Oh... well...\Serving my favorite food like that...\I'm using the bath, Beanman.\Mind getting out?\You don't need to leave. response:	A customer will be here soon.
context: Stewed fish cake is pretty plain for a dish at an inn.\Huh?\Oh... well...\Serving my favorite food like that...\I'm using the bath, Beanman.\Mind getting out?\You don't need to leave.\A customer will be here soon. response:	He'll be cleaning despite
context: Huh?\Oh... well...\Serving my favorite food like that...\I'm using the bath, Beanman.\Mind getting out?\You don't need to leave.\A customer will be here soon.\He'll be cleaning despite response:	whether you decide to use the bath or not.
context: Oh... well...\Serving my favorite food like that...\I'm using the bath, Beanman.\Mind getting out?\You don't need to leave.\A customer will be here soon.\He'll be cleaning despite\whether you decide to use the bath or not. response:	B-But-
context: Serving my favorite food like that...\I'm using the bath, Beanman.\Mind getting out?\You don't need to leave.\A customer will be here soon.\He'll be cleaning despite\whether you decide to use the bath or not.\B-But- response:	If you don't want to be seen,
context: I'm using the bath, Beanman.\Mind getting out?\You don't need to leave.\A customer will be here soon.\He'll be cleaning despite\whether you decide to use the bath or not.\B-But-\If you don't want to be seen, response:	wash yourself in the kitchen.
context: Mind getting out?\You don't need to leave.\A customer will be here soon.\He'll be cleaning despite\whether you decide to use the bath or not.\B-But-\If you don't want to be seen,\wash yourself in the kitchen. response:	Fine, be that way!
context: You don't need to leave.\A customer will be here soon.\He'll be cleaning despite\whether you decide to use the bath or not.\B-But-\If you don't want to be seen,\wash yourself in the kitchen.\Fine, be that way! response:	Those sheets aren't dry?!
context: A customer will be here soon.\He'll be cleaning despite\whether you decide to use the bath or not.\B-But-\If you don't want to be seen,\wash yourself in the kitchen.\Fine, be that way!\Those sheets aren't dry?! response:	I can't believe you can't sleep
context: He'll be cleaning despite\whether you decide to use the bath or not.\B-But-\If you don't want to be seen,\wash yourself in the kitchen.\Fine, be that way!\Those sheets aren't dry?!\I can't believe you can't sleep response:	if you're not hugging rolled-up sheets.
context: whether you decide to use the bath or not.\B-But-\If you don't want to be seen,\wash yourself in the kitchen.\Fine, be that way!\Those sheets aren't dry?!\I can't believe you can't sleep\if you're not hugging rolled-up sheets. response:	Then I need you to be its replacement tonight!
context: B-But-\If you don't want to be seen,\wash yourself in the kitchen.\Fine, be that way!\Those sheets aren't dry?!\I can't believe you can't sleep\if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight! response:	Please ask your boyfriend instead.
context: If you don't want to be seen,\wash yourself in the kitchen.\Fine, be that way!\Those sheets aren't dry?!\I can't believe you can't sleep\if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight!\Please ask your boyfriend instead. response:	Is that something a daughter should be saying?
context: wash yourself in the kitchen.\Fine, be that way!\Those sheets aren't dry?!\I can't believe you can't sleep\if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight!\Please ask your boyfriend instead.\Is that something a daughter should be saying? response:	You're more of a woman than a mother to me.
context: Fine, be that way!\Those sheets aren't dry?!\I can't believe you can't sleep\if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight!\Please ask your boyfriend instead.\Is that something a daughter should be saying?\You're more of a woman than a mother to me. response:	That sounds cool.
context: Those sheets aren't dry?!\I can't believe you can't sleep\if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight!\Please ask your boyfriend instead.\Is that something a daughter should be saying?\You're more of a woman than a mother to me.\That sounds cool. response:	Anything else?
context: I can't believe you can't sleep\if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight!\Please ask your boyfriend instead.\Is that something a daughter should be saying?\You're more of a woman than a mother to me.\That sounds cool.\Anything else? response:	Oh!
context: if you're not hugging rolled-up sheets.\Then I need you to be its replacement tonight!\Please ask your boyfriend instead.\Is that something a daughter should be saying?\You're more of a woman than a mother to me.\That sounds cool.\Anything else?\Oh! response:	I think it'll be better to wake her up three times.
context: Then I need you to be its replacement tonight!\Please ask your boyfriend instead.\Is that something a daughter should be saying?\You're more of a woman than a mother to me.\That sounds cool.\Anything else?\Oh!\I think it'll be better to wake her up three times. response:	I agree.
context: Please ask your boyfriend instead.\Is that something a daughter should be saying?\You're more of a woman than a mother to me.\That sounds cool.\Anything else?\Oh!\I think it'll be better to wake her up three times.\I agree. response:	She's not a morning person.
context: Is that something a daughter should be saying?\You're more of a woman than a mother to me.\That sounds cool.\Anything else?\Oh!\I think it'll be better to wake her up three times.\I agree.\She's not a morning person. response:	Additionally...
context: You're more of a woman than a mother to me.\That sounds cool.\Anything else?\Oh!\I think it'll be better to wake her up three times.\I agree.\She's not a morning person.\Additionally... response:	She tosses about in bed!
context: That sounds cool.\Anything else?\Oh!\I think it'll be better to wake her up three times.\I agree.\She's not a morning person.\Additionally...\She tosses about in bed! response:	Yup.
context: Anything else?\Oh!\I think it'll be better to wake her up three times.\I agree.\She's not a morning person.\Additionally...\She tosses about in bed!\Yup. response:	In this area, it's cool at night even during the summer.
context: Oh!\I think it'll be better to wake her up three times.\I agree.\She's not a morning person.\Additionally...\She tosses about in bed!\Yup.\In this area, it's cool at night even during the summer. response:	Serving hot rice porridge in the morning might be a good idea.
context: I think it'll be better to wake her up three times.\I agree.\She's not a morning person.\Additionally...\She tosses about in bed!\Yup.\In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea. response:	Yeah.
context: I agree.\She's not a morning person.\Additionally...\She tosses about in bed!\Yup.\In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea.\Yeah. response:	And maybe we should serve some vegetable juice with that.
context: She's not a morning person.\Additionally...\She tosses about in bed!\Yup.\In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea.\Yeah.\And maybe we should serve some vegetable juice with that. response:	Hey...
context: Additionally...\She tosses about in bed!\Yup.\In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea.\Yeah.\And maybe we should serve some vegetable juice with that.\Hey... response:	I think this is the most
context: She tosses about in bed!\Yup.\In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea.\Yeah.\And maybe we should serve some vegetable juice with that.\Hey...\I think this is the most response:	I've spoken with the Madam Manager by myself.
context: Yup.\In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea.\Yeah.\And maybe we should serve some vegetable juice with that.\Hey...\I think this is the most\I've spoken with the Madam Manager by myself. response:	And it's about Mom, too.
context: In this area, it's cool at night even during the summer.\Serving hot rice porridge in the morning might be a good idea.\Yeah.\And maybe we should serve some vegetable juice with that.\Hey...\I think this is the most\I've spoken with the Madam Manager by myself.\And it's about Mom, too. response:	The Madam Manager is my grandmother,
context: Serving hot rice porridge in the morning might be a good idea.\Yeah.\And maybe we should serve some vegetable juice with that.\Hey...\I think this is the most\I've spoken with the Madam Manager by myself.\And it's about Mom, too.\The Madam Manager is my grandmother, response:	and obviously, Mom's mother.
context: Yeah.\And maybe we should serve some vegetable juice with that.\Hey...\I think this is the most\I've spoken with the Madam Manager by myself.\And it's about Mom, too.\The Madam Manager is my grandmother,\and obviously, Mom's mother. response:	I'll get it.
context: And maybe we should serve some vegetable juice with that.\Hey...\I think this is the most\I've spoken with the Madam Manager by myself.\And it's about Mom, too.\The Madam Manager is my grandmother,\and obviously, Mom's mother.\I'll get it. response:	Hello?
context: Hey...\I think this is the most\I've spoken with the Madam Manager by myself.\And it's about Mom, too.\The Madam Manager is my grandmother,\and obviously, Mom's mother.\I'll get it.\Hello? response:	Mom-
context: I think this is the most\I've spoken with the Madam Manager by myself.\And it's about Mom, too.\The Madam Manager is my grandmother,\and obviously, Mom's mother.\I'll get it.\Hello?\Mom- response:	The customer in the Wisteria Room?
context: I've spoken with the Madam Manager by myself.\And it's about Mom, too.\The Madam Manager is my grandmother,\and obviously, Mom's mother.\I'll get it.\Hello?\Mom-\The customer in the Wisteria Room? response:	Could you bring me some sake?
