context: Union Fest is over now, response:	but I would like to create more events
context: We're back!\Princess, sorry for the wait.\Don't worry.\Oh, where's Cou-sama?\We both left after getting ready, but she said\she remembered some urgent business.\Oh.\Sink, you're late! response:	Wha... Cou-sama?!
context: Princess, sorry for the wait.\Don't worry.\Oh, where's Cou-sama?\We both left after getting ready, but she said\she remembered some urgent business.\Oh.\Sink, you're late!\Wha... Cou-sama?! response:	I wanted to give those two girl talk fans
context: Don't worry.\Oh, where's Cou-sama?\We both left after getting ready, but she said\she remembered some urgent business.\Oh.\Sink, you're late!\Wha... Cou-sama?!\I wanted to give those two girl talk fans response:	as much time alone as possible.
context: Oh, where's Cou-sama?\We both left after getting ready, but she said\she remembered some urgent business.\Oh.\Sink, you're late!\Wha... Cou-sama?!\I wanted to give those two girl talk fans\as much time alone as possible. response:	So why don't we two inheritors of
context: We both left after getting ready, but she said\she remembered some urgent business.\Oh.\Sink, you're late!\Wha... Cou-sama?!\I wanted to give those two girl talk fans\as much time alone as possible.\So why don't we two inheritors of response:	the Hero King take a bath together?
context: she remembered some urgent business.\Oh.\Sink, you're late!\Wha... Cou-sama?!\I wanted to give those two girl talk fans\as much time alone as possible.\So why don't we two inheritors of\the Hero King take a bath together? response:	That reminds me, Rebecca-san.
context: Oh.\Sink, you're late!\Wha... Cou-sama?!\I wanted to give those two girl talk fans\as much time alone as possible.\So why don't we two inheritors of\the Hero King take a bath together?\That reminds me, Rebecca-san. response:	Do you think you'll get anywhere with that thing?
context: Sink, you're late!\Wha... Cou-sama?!\I wanted to give those two girl talk fans\as much time alone as possible.\So why don't we two inheritors of\the Hero King take a bath together?\That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing? response:	Oh, you mean that Sink always calls me Becky?
context: Wha... Cou-sama?!\I wanted to give those two girl talk fans\as much time alone as possible.\So why don't we two inheritors of\the Hero King take a bath together?\That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky? response:	Yes.
context: I wanted to give those two girl talk fans\as much time alone as possible.\So why don't we two inheritors of\the Hero King take a bath together?\That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky?\Yes. response:	Not at all.
context: as much time alone as possible.\So why don't we two inheritors of\the Hero King take a bath together?\That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky?\Yes.\Not at all. response:	I think I'll always be Becky to him.
context: So why don't we two inheritors of\the Hero King take a bath together?\That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky?\Yes.\Not at all.\I think I'll always be Becky to him. response:	To him, I'll always be the girl
context: the Hero King take a bath together?\That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky?\Yes.\Not at all.\I think I'll always be Becky to him.\To him, I'll always be the girl response:	that was his little childhood friend.
context: That reminds me, Rebecca-san.\Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky?\Yes.\Not at all.\I think I'll always be Becky to him.\To him, I'll always be the girl\that was his little childhood friend. response:	I don't think that's necessarily true.
context: Do you think you'll get anywhere with that thing?\Oh, you mean that Sink always calls me Becky?\Yes.\Not at all.\I think I'll always be Becky to him.\To him, I'll always be the girl\that was his little childhood friend.\I don't think that's necessarily true. response:	Well, it's okay.
context: Oh, you mean that Sink always calls me Becky?\Yes.\Not at all.\I think I'll always be Becky to him.\To him, I'll always be the girl\that was his little childhood friend.\I don't think that's necessarily true.\Well, it's okay. response:	Nothing's changed anyway.
context: Yes.\Not at all.\I think I'll always be Becky to him.\To him, I'll always be the girl\that was his little childhood friend.\I don't think that's necessarily true.\Well, it's okay.\Nothing's changed anyway. response:	Anyway, I think your work will be really hard,
context: Not at all.\I think I'll always be Becky to him.\To him, I'll always be the girl\that was his little childhood friend.\I don't think that's necessarily true.\Well, it's okay.\Nothing's changed anyway.\Anyway, I think your work will be really hard, response:	so if you ever need my help, let me know.
context: I think I'll always be Becky to him.\To him, I'll always be the girl\that was his little childhood friend.\I don't think that's necessarily true.\Well, it's okay.\Nothing's changed anyway.\Anyway, I think your work will be really hard,\so if you ever need my help, let me know. response:	I'm Pastillage's Hero, but I am also your best friend.
context: To him, I'll always be the girl\that was his little childhood friend.\I don't think that's necessarily true.\Well, it's okay.\Nothing's changed anyway.\Anyway, I think your work will be really hard,\so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend. response:	Yes, thank you.
context: that was his little childhood friend.\I don't think that's necessarily true.\Well, it's okay.\Nothing's changed anyway.\Anyway, I think your work will be really hard,\so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you. response:	The same goes for you, any time you need me!
context: I don't think that's necessarily true.\Well, it's okay.\Nothing's changed anyway.\Anyway, I think your work will be really hard,\so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you.\The same goes for you, any time you need me! response:	Yes, thank you, Princess.
context: Well, it's okay.\Nothing's changed anyway.\Anyway, I think your work will be really hard,\so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you.\The same goes for you, any time you need me!\Yes, thank you, Princess. response:	Sink, you're so good.
context: Nothing's changed anyway.\Anyway, I think your work will be really hard,\so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you.\The same goes for you, any time you need me!\Yes, thank you, Princess.\Sink, you're so good. response:	Really? Thank you.
context: Anyway, I think your work will be really hard,\so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you.\The same goes for you, any time you need me!\Yes, thank you, Princess.\Sink, you're so good.\Really? Thank you. response:	All right. Rinsing it out now.
context: so if you ever need my help, let me know.\I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you.\The same goes for you, any time you need me!\Yes, thank you, Princess.\Sink, you're so good.\Really? Thank you.\All right. Rinsing it out now. response:	Okay.
context: I'm Pastillage's Hero, but I am also your best friend.\Yes, thank you.\The same goes for you, any time you need me!\Yes, thank you, Princess.\Sink, you're so good.\Really? Thank you.\All right. Rinsing it out now.\Okay. response:	Oh yeah, I wanted to ask you something.
context: Yes, thank you.\The same goes for you, any time you need me!\Yes, thank you, Princess.\Sink, you're so good.\Really? Thank you.\All right. Rinsing it out now.\Okay.\Oh yeah, I wanted to ask you something. response:	Yes, what is it?
context: The same goes for you, any time you need me!\Yes, thank you, Princess.\Sink, you're so good.\Really? Thank you.\All right. Rinsing it out now.\Okay.\Oh yeah, I wanted to ask you something.\Yes, what is it? response:	Do you have any plans to get together
context: Yes, thank you, Princess.\Sink, you're so good.\Really? Thank you.\All right. Rinsing it out now.\Okay.\Oh yeah, I wanted to ask you something.\Yes, what is it?\Do you have any plans to get together response:	with Rebecca or Millihi-nee, or maybe both?
context: Sink, you're so good.\Really? Thank you.\All right. Rinsing it out now.\Okay.\Oh yeah, I wanted to ask you something.\Yes, what is it?\Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both? response:	What?!
context: Really? Thank you.\All right. Rinsing it out now.\Okay.\Oh yeah, I wanted to ask you something.\Yes, what is it?\Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both?\What?! response:	You know, if a ruler and Hero get married,
context: All right. Rinsing it out now.\Okay.\Oh yeah, I wanted to ask you something.\Yes, what is it?\Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both?\What?!\You know, if a ruler and Hero get married, response:	it has some influence on the country ruling business, so...
context: Okay.\Oh yeah, I wanted to ask you something.\Yes, what is it?\Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both?\What?!\You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so... response:	Uhh.. let's wash your tail first!
context: Oh yeah, I wanted to ask you something.\Yes, what is it?\Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both?\What?!\You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first! response:	Please do!
context: Yes, what is it?\Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both?\What?!\You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first!\Please do! response:	Well, I'm still just a fledgling Hero, and I haven't
context: Do you have any plans to get together\with Rebecca or Millihi-nee, or maybe both?\What?!\You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first!\Please do!\Well, I'm still just a fledgling Hero, and I haven't response:	reached my goal yet.
context: with Rebecca or Millihi-nee, or maybe both?\What?!\You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first!\Please do!\Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet. response:	Goal?
context: What?!\You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first!\Please do!\Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet.\Goal? response:	Winning against Nanami.
context: You know, if a ruler and Hero get married,\it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first!\Please do!\Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet.\Goal?\Winning against Nanami. response:	We've had quite a few fights,
context: it has some influence on the country ruling business, so...\Uhh.. let's wash your tail first!\Please do!\Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet.\Goal?\Winning against Nanami.\We've had quite a few fights, response:	but I've never beat her in a serious match
context: Uhh.. let's wash your tail first!\Please do!\Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet.\Goal?\Winning against Nanami.\We've had quite a few fights,\but I've never beat her in a serious match response:	or public event.
context: Please do!\Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet.\Goal?\Winning against Nanami.\We've had quite a few fights,\but I've never beat her in a serious match\or public event. response:	Victory!
context: Well, I'm still just a fledgling Hero, and I haven't\reached my goal yet.\Goal?\Winning against Nanami.\We've had quite a few fights,\but I've never beat her in a serious match\or public event.\Victory! response:	Oh yeah, you did lose in the one-on-one during the Fest.
context: reached my goal yet.\Goal?\Winning against Nanami.\We've had quite a few fights,\but I've never beat her in a serious match\or public event.\Victory!\Oh yeah, you did lose in the one-on-one during the Fest. response:	Yes...
context: Goal?\Winning against Nanami.\We've had quite a few fights,\but I've never beat her in a serious match\or public event.\Victory!\Oh yeah, you did lose in the one-on-one during the Fest.\Yes... response:	It's my goal to win against Nanami during
context: Winning against Nanami.\We've had quite a few fights,\but I've never beat her in a serious match\or public event.\Victory!\Oh yeah, you did lose in the one-on-one during the Fest.\Yes...\It's my goal to win against Nanami during response:	a public event on earth.
context: We've had quite a few fights,\but I've never beat her in a serious match\or public event.\Victory!\Oh yeah, you did lose in the one-on-one during the Fest.\Yes...\It's my goal to win against Nanami during\a public event on earth. response:	Until that's done, I'll always be just a kid.
context: but I've never beat her in a serious match\or public event.\Victory!\Oh yeah, you did lose in the one-on-one during the Fest.\Yes...\It's my goal to win against Nanami during\a public event on earth.\Until that's done, I'll always be just a kid. response:	That's why I think it's too early for things like that.
context: or public event.\Victory!\Oh yeah, you did lose in the one-on-one during the Fest.\Yes...\It's my goal to win against Nanami during\a public event on earth.\Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that. response:	I see.
context: Victory!\Oh yeah, you did lose in the one-on-one during the Fest.\Yes...\It's my goal to win against Nanami during\a public event on earth.\Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that.\I see. response:	Don't forget that you have to take care of those
context: Oh yeah, you did lose in the one-on-one during the Fest.\Yes...\It's my goal to win against Nanami during\a public event on earth.\Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that.\I see.\Don't forget that you have to take care of those response:	who stay by your side while you march towards your goal.
context: Yes...\It's my goal to win against Nanami during\a public event on earth.\Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that.\I see.\Don't forget that you have to take care of those\who stay by your side while you march towards your goal. response:	You're right.
context: It's my goal to win against Nanami during\a public event on earth.\Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that.\I see.\Don't forget that you have to take care of those\who stay by your side while you march towards your goal.\You're right. response:	Thank you, Cou-sama.
context: a public event on earth.\Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that.\I see.\Don't forget that you have to take care of those\who stay by your side while you march towards your goal.\You're right.\Thank you, Cou-sama. response:	I'll make sure to remember that.
context: Until that's done, I'll always be just a kid.\That's why I think it's too early for things like that.\I see.\Don't forget that you have to take care of those\who stay by your side while you march towards your goal.\You're right.\Thank you, Cou-sama.\I'll make sure to remember that. response:	Okay.
context: That's why I think it's too early for things like that.\I see.\Don't forget that you have to take care of those\who stay by your side while you march towards your goal.\You're right.\Thank you, Cou-sama.\I'll make sure to remember that.\Okay. response:	Rebecca!
context: I see.\Don't forget that you have to take care of those\who stay by your side while you march towards your goal.\You're right.\Thank you, Cou-sama.\I'll make sure to remember that.\Okay.\Rebecca! response:	Cou-sama!
context: Don't forget that you have to take care of those\who stay by your side while you march towards your goal.\You're right.\Thank you, Cou-sama.\I'll make sure to remember that.\Okay.\Rebecca!\Cou-sama! response:	Was your bath okay?
context: who stay by your side while you march towards your goal.\You're right.\Thank you, Cou-sama.\I'll make sure to remember that.\Okay.\Rebecca!\Cou-sama!\Was your bath okay? response:	Sink washed me, so I'm all good.
context: You're right.\Thank you, Cou-sama.\I'll make sure to remember that.\Okay.\Rebecca!\Cou-sama!\Was your bath okay?\Sink washed me, so I'm all good. response:	Ah, a freshly washed Cou-sama.
context: Thank you, Cou-sama.\I'll make sure to remember that.\Okay.\Rebecca!\Cou-sama!\Was your bath okay?\Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama. response:	You smell good.
context: I'll make sure to remember that.\Okay.\Rebecca!\Cou-sama!\Was your bath okay?\Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama.\You smell good. response:	Indeed.
context: Okay.\Rebecca!\Cou-sama!\Was your bath okay?\Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama.\You smell good.\Indeed. response:	You two, please feel free to move onto the bed.
context: Rebecca!\Cou-sama!\Was your bath okay?\Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama.\You smell good.\Indeed.\You two, please feel free to move onto the bed. response:	Okay!
context: Cou-sama!\Was your bath okay?\Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama.\You smell good.\Indeed.\You two, please feel free to move onto the bed.\Okay! response:	Sink, you, too.
context: Was your bath okay?\Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama.\You smell good.\Indeed.\You two, please feel free to move onto the bed.\Okay!\Sink, you, too. response:	Okay!
context: Sink washed me, so I'm all good.\Ah, a freshly washed Cou-sama.\You smell good.\Indeed.\You two, please feel free to move onto the bed.\Okay!\Sink, you, too.\Okay! response:	Wait, I don't think that's okay.
context: Ah, a freshly washed Cou-sama.\You smell good.\Indeed.\You two, please feel free to move onto the bed.\Okay!\Sink, you, too.\Okay!\Wait, I don't think that's okay. response:	Let's sleep together!
context: You smell good.\Indeed.\You two, please feel free to move onto the bed.\Okay!\Sink, you, too.\Okay!\Wait, I don't think that's okay.\Let's sleep together! response:	Come on, Sink.
context: Indeed.\You two, please feel free to move onto the bed.\Okay!\Sink, you, too.\Okay!\Wait, I don't think that's okay.\Let's sleep together!\Come on, Sink. response:	If you say so...
context: You two, please feel free to move onto the bed.\Okay!\Sink, you, too.\Okay!\Wait, I don't think that's okay.\Let's sleep together!\Come on, Sink.\If you say so... response:	Sink, come here!
context: Okay!\Sink, you, too.\Okay!\Wait, I don't think that's okay.\Let's sleep together!\Come on, Sink.\If you say so...\Sink, come here! response:	Those two are already asleep.
context: Sink, you, too.\Okay!\Wait, I don't think that's okay.\Let's sleep together!\Come on, Sink.\If you say so...\Sink, come here!\Those two are already asleep. response:	They got up early today.
context: Okay!\Wait, I don't think that's okay.\Let's sleep together!\Come on, Sink.\If you say so...\Sink, come here!\Those two are already asleep.\They got up early today. response:	I'll turn off the lights.
context: Wait, I don't think that's okay.\Let's sleep together!\Come on, Sink.\If you say so...\Sink, come here!\Those two are already asleep.\They got up early today.\I'll turn off the lights. response:	So, Sink...
context: Let's sleep together!\Come on, Sink.\If you say so...\Sink, come here!\Those two are already asleep.\They got up early today.\I'll turn off the lights.\So, Sink... response:	Yes?
context: Come on, Sink.\If you say so...\Sink, come here!\Those two are already asleep.\They got up early today.\I'll turn off the lights.\So, Sink...\Yes? response:	Do you remember how I said
context: If you say so...\Sink, come here!\Those two are already asleep.\They got up early today.\I'll turn off the lights.\So, Sink...\Yes?\Do you remember how I said response:	that I loved you when we parted last time?
context: Sink, come here!\Those two are already asleep.\They got up early today.\I'll turn off the lights.\So, Sink...\Yes?\Do you remember how I said\that I loved you when we parted last time? response:	Of course. I said the same thing.
context: Those two are already asleep.\They got up early today.\I'll turn off the lights.\So, Sink...\Yes?\Do you remember how I said\that I loved you when we parted last time?\Of course. I said the same thing. response:	It's kind of like a dream
context: They got up early today.\I'll turn off the lights.\So, Sink...\Yes?\Do you remember how I said\that I loved you when we parted last time?\Of course. I said the same thing.\It's kind of like a dream response:	that I'm holding the hand I let go of back then.
context: I'll turn off the lights.\So, Sink...\Yes?\Do you remember how I said\that I loved you when we parted last time?\Of course. I said the same thing.\It's kind of like a dream\that I'm holding the hand I let go of back then. response:	Though we do have to part again soon.
context: So, Sink...\Yes?\Do you remember how I said\that I loved you when we parted last time?\Of course. I said the same thing.\It's kind of like a dream\that I'm holding the hand I let go of back then.\Though we do have to part again soon. response:	The next time I can come
context: Yes?\Do you remember how I said\that I loved you when we parted last time?\Of course. I said the same thing.\It's kind of like a dream\that I'm holding the hand I let go of back then.\Though we do have to part again soon.\The next time I can come response:	will be after my exams in fall.
context: Do you remember how I said\that I loved you when we parted last time?\Of course. I said the same thing.\It's kind of like a dream\that I'm holding the hand I let go of back then.\Though we do have to part again soon.\The next time I can come\will be after my exams in fall. response:	It'll be really soon.
context: that I loved you when we parted last time?\Of course. I said the same thing.\It's kind of like a dream\that I'm holding the hand I let go of back then.\Though we do have to part again soon.\The next time I can come\will be after my exams in fall.\It'll be really soon. response:	Yes, I'll be waiting.
context: Of course. I said the same thing.\It's kind of like a dream\that I'm holding the hand I let go of back then.\Though we do have to part again soon.\The next time I can come\will be after my exams in fall.\It'll be really soon.\Yes, I'll be waiting. response:	Tonight I want to hug you tightly
context: It's kind of like a dream\that I'm holding the hand I let go of back then.\Though we do have to part again soon.\The next time I can come\will be after my exams in fall.\It'll be really soon.\Yes, I'll be waiting.\Tonight I want to hug you tightly response:	so I won't forget your smell and warmth.
context: that I'm holding the hand I let go of back then.\Though we do have to part again soon.\The next time I can come\will be after my exams in fall.\It'll be really soon.\Yes, I'll be waiting.\Tonight I want to hug you tightly\so I won't forget your smell and warmth. response:	Is that okay?
context: Though we do have to part again soon.\The next time I can come\will be after my exams in fall.\It'll be really soon.\Yes, I'll be waiting.\Tonight I want to hug you tightly\so I won't forget your smell and warmth.\Is that okay? response:	Of course, as much as you want.
context: The next time I can come\will be after my exams in fall.\It'll be really soon.\Yes, I'll be waiting.\Tonight I want to hug you tightly\so I won't forget your smell and warmth.\Is that okay?\Of course, as much as you want. response:	Then hug!
context: will be after my exams in fall.\It'll be really soon.\Yes, I'll be waiting.\Tonight I want to hug you tightly\so I won't forget your smell and warmth.\Is that okay?\Of course, as much as you want.\Then hug! response:	So warm... and happy...
context: It'll be really soon.\Yes, I'll be waiting.\Tonight I want to hug you tightly\so I won't forget your smell and warmth.\Is that okay?\Of course, as much as you want.\Then hug!\So warm... and happy... response:	Now, Leo-sama, Nanami-san, it's morning!
context: Yes, I'll be waiting.\Tonight I want to hug you tightly\so I won't forget your smell and warmth.\Is that okay?\Of course, as much as you want.\Then hug!\So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning! response:	Gau-sama and Genoise, get up, get up, get up!
context: Tonight I want to hug you tightly\so I won't forget your smell and warmth.\Is that okay?\Of course, as much as you want.\Then hug!\So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up! response:	Come on, get up, please!
context: so I won't forget your smell and warmth.\Is that okay?\Of course, as much as you want.\Then hug!\So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please! response:	Violet-san, you're sticking to the routine too much...
context: Is that okay?\Of course, as much as you want.\Then hug!\So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please!\Violet-san, you're sticking to the routine too much... response:	Can't you think of a more gentle way
context: Of course, as much as you want.\Then hug!\So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please!\Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way response:	to wake us on the day we have to part?
context: Then hug!\So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please!\Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way\to wake us on the day we have to part? response:	This has nothing to do with that.
context: So warm... and happy...\Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please!\Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way\to wake us on the day we have to part?\This has nothing to do with that. response:	After completing many tasks,
context: Now, Leo-sama, Nanami-san, it's morning!\Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please!\Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way\to wake us on the day we have to part?\This has nothing to do with that.\After completing many tasks, response:	the Heroes will return to their homeland for now.
context: Gau-sama and Genoise, get up, get up, get up!\Come on, get up, please!\Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way\to wake us on the day we have to part?\This has nothing to do with that.\After completing many tasks,\the Heroes will return to their homeland for now. response:	Biscotti's Hero, Sink,
context: Come on, get up, please!\Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way\to wake us on the day we have to part?\This has nothing to do with that.\After completing many tasks,\the Heroes will return to their homeland for now.\Biscotti's Hero, Sink, response:	and Pastillage's Hero, Rebecca,
context: Violet-san, you're sticking to the routine too much...\Can't you think of a more gentle way\to wake us on the day we have to part?\This has nothing to do with that.\After completing many tasks,\the Heroes will return to their homeland for now.\Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca, response:	shall have some time to recover.
context: Can't you think of a more gentle way\to wake us on the day we have to part?\This has nothing to do with that.\After completing many tasks,\the Heroes will return to their homeland for now.\Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca,\shall have some time to recover. response:	Now, please return the divine swords to your summoners.
context: to wake us on the day we have to part?\This has nothing to do with that.\After completing many tasks,\the Heroes will return to their homeland for now.\Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca,\shall have some time to recover.\Now, please return the divine swords to your summoners. response:	The return ritual is now finished.
context: This has nothing to do with that.\After completing many tasks,\the Heroes will return to their homeland for now.\Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca,\shall have some time to recover.\Now, please return the divine swords to your summoners.\The return ritual is now finished. response:	Thank you!
context: After completing many tasks,\the Heroes will return to their homeland for now.\Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca,\shall have some time to recover.\Now, please return the divine swords to your summoners.\The return ritual is now finished.\Thank you! response:	Rebecca, I want you to have this.
context: the Heroes will return to their homeland for now.\Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca,\shall have some time to recover.\Now, please return the divine swords to your summoners.\The return ritual is now finished.\Thank you!\Rebecca, I want you to have this. response:	It's my treasure; my mother gave it to me before she left.
context: Biscotti's Hero, Sink,\and Pastillage's Hero, Rebecca,\shall have some time to recover.\Now, please return the divine swords to your summoners.\The return ritual is now finished.\Thank you!\Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left. response:	So the other day, you went to go get this?
context: and Pastillage's Hero, Rebecca,\shall have some time to recover.\Now, please return the divine swords to your summoners.\The return ritual is now finished.\Thank you!\Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this? response:	That's right.
context: shall have some time to recover.\Now, please return the divine swords to your summoners.\The return ritual is now finished.\Thank you!\Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this?\That's right. response:	I want you to have it...
context: Now, please return the divine swords to your summoners.\The return ritual is now finished.\Thank you!\Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this?\That's right.\I want you to have it... response:	and, if possible, wear it often.
context: The return ritual is now finished.\Thank you!\Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this?\That's right.\I want you to have it...\and, if possible, wear it often. response:	But this is too precious...
context: Thank you!\Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this?\That's right.\I want you to have it...\and, if possible, wear it often.\But this is too precious... response:	The summoner and the Hero.
context: Rebecca, I want you to have this.\It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this?\That's right.\I want you to have it...\and, if possible, wear it often.\But this is too precious...\The summoner and the Hero. response:	An article of promise to connect the two worlds.
context: It's my treasure; my mother gave it to me before she left.\So the other day, you went to go get this?\That's right.\I want you to have it...\and, if possible, wear it often.\But this is too precious...\The summoner and the Hero.\An article of promise to connect the two worlds. response:	For that, an item that both have deep ties to is best.
context: So the other day, you went to go get this?\That's right.\I want you to have it...\and, if possible, wear it often.\But this is too precious...\The summoner and the Hero.\An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best. response:	That's one of the requirements
context: That's right.\I want you to have it...\and, if possible, wear it often.\But this is too precious...\The summoner and the Hero.\An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best.\That's one of the requirements response:	of Rico's new summoning technique.
context: I want you to have it...\and, if possible, wear it often.\But this is too precious...\The summoner and the Hero.\An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best.\That's one of the requirements\of Rico's new summoning technique. response:	I'm sure that this will definitely create a path for us.
context: and, if possible, wear it often.\But this is too precious...\The summoner and the Hero.\An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best.\That's one of the requirements\of Rico's new summoning technique.\I'm sure that this will definitely create a path for us. response:	Then I'll keep it safe for you.
context: But this is too precious...\The summoner and the Hero.\An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best.\That's one of the requirements\of Rico's new summoning technique.\I'm sure that this will definitely create a path for us.\Then I'll keep it safe for you. response:	I'll make sure that I can return it
context: The summoner and the Hero.\An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best.\That's one of the requirements\of Rico's new summoning technique.\I'm sure that this will definitely create a path for us.\Then I'll keep it safe for you.\I'll make sure that I can return it response:	any time you want to wear it.
context: An article of promise to connect the two worlds.\For that, an item that both have deep ties to is best.\That's one of the requirements\of Rico's new summoning technique.\I'm sure that this will definitely create a path for us.\Then I'll keep it safe for you.\I'll make sure that I can return it\any time you want to wear it. response:	Thank you.
context: For that, an item that both have deep ties to is best.\That's one of the requirements\of Rico's new summoning technique.\I'm sure that this will definitely create a path for us.\Then I'll keep it safe for you.\I'll make sure that I can return it\any time you want to wear it.\Thank you. response:	I love you, Cou-sama!
context: That's one of the requirements\of Rico's new summoning technique.\I'm sure that this will definitely create a path for us.\Then I'll keep it safe for you.\I'll make sure that I can return it\any time you want to wear it.\Thank you.\I love you, Cou-sama! response:	I love you, too, Rebecca!
context: of Rico's new summoning technique.\I'm sure that this will definitely create a path for us.\Then I'll keep it safe for you.\I'll make sure that I can return it\any time you want to wear it.\Thank you.\I love you, Cou-sama!\I love you, too, Rebecca! response:	Sink, I have this for you.
