context: It seems I slightly underrated you, Elfman. response:	When it comes to tenacity and being able to take punishment,
context: Who would've figured we'd have to dip into our reserves on the second day...\Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive.\It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right? response:	Two former pinup idols!
context: Couldn't be helped. Not with Ichiya-san like that...\A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive.\It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right?\Two former pinup idols! response:	And both of them using Transformation Magic, making this a dream battle come true!
context: A competition that relied on physical strength must've really been tough on him.\As expected, pretty impressive.\It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right?\Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true! response:	I'm Chapati Rola, a judge along with Yajima-san,
context: As expected, pretty impressive.\It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right?\Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san, response:	and reporter Jason of the Weekly Sorcerer!
context: It's been a while since I've done this kind of thing.\I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right?\Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer! response:	It's a big responsibility.
context: I didn't think you'd agree to do a pinup idol showdown.\Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right?\Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer!\It's a big responsibility. response:	Both of them are cool beauties!
context: Yeah, well, I'm not too fond of slugfests.\If we can resolve this peacefully, all the better, right?\Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer!\It's a big responsibility.\Both of them are cool beauties! response:	What's the next swimsuit going to be...
context: If we can resolve this peacefully, all the better, right?\Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer!\It's a big responsibility.\Both of them are cool beauties!\What's the next swimsuit going to be... response:	Hold it!
context: Two former pinup idols!\And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer!\It's a big responsibility.\Both of them are cool beauties!\What's the next swimsuit going to be...\Hold it! response:	It won't do to let these little girls get all the attention!
context: And both of them using Transformation Magic, making this a dream battle come true!\I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer!\It's a big responsibility.\Both of them are cool beauties!\What's the next swimsuit going to be...\Hold it!\It won't do to let these little girls get all the attention! response:	When it comes to strength as well as beauty...
context: I'm Chapati Rola, a judge along with Yajima-san,\and reporter Jason of the Weekly Sorcerer!\It's a big responsibility.\Both of them are cool beauties!\What's the next swimsuit going to be...\Hold it!\It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty... response:	Why do I have to be out here?
context: and reporter Jason of the Weekly Sorcerer!\It's a big responsibility.\Both of them are cool beauties!\What's the next swimsuit going to be...\Hold it!\It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty...\Why do I have to be out here? response:	This is an unforeseen happening!
context: It's a big responsibility.\Both of them are cool beauties!\What's the next swimsuit going to be...\Hold it!\It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty...\Why do I have to be out here?\This is an unforeseen happening! response:	Mermaid Heel has crashed the battle!
context: Both of them are cool beauties!\What's the next swimsuit going to be...\Hold it!\It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty...\Why do I have to be out here?\This is an unforeseen happening!\Mermaid Heel has crashed the battle! response:	And I'm happy to see that Risley is slender for the moment!
context: What's the next swimsuit going to be...\Hold it!\It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty...\Why do I have to be out here?\This is an unforeseen happening!\Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment! response:	Stop right there!
context: Hold it!\It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty...\Why do I have to be out here?\This is an unforeseen happening!\Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment!\Stop right there! response:	You people don't have enough love!
context: It won't do to let these little girls get all the attention!\When it comes to strength as well as beauty...\Why do I have to be out here?\This is an unforeseen happening!\Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment!\Stop right there!\You people don't have enough love! response:	If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!
context: When it comes to strength as well as beauty...\Why do I have to be out here?\This is an unforeseen happening!\Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment!\Stop right there!\You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken! response:	It's all about love! Without love...
context: Why do I have to be out here?\This is an unforeseen happening!\Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment!\Stop right there!\You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love... response:	And now Sherry and Cheria from Lamia Scale have joined the party!
context: This is an unforeseen happening!\Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment!\Stop right there!\You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party! response:	I'm in awe of all of them...
context: Mermaid Heel has crashed the battle!\And I'm happy to see that Risley is slender for the moment!\Stop right there!\You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them... response:	This is no time to just sit back and be impressed!
context: And I'm happy to see that Risley is slender for the moment!\Stop right there!\You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them...\This is no time to just sit back and be impressed! response:	Don't tell me...
context: Stop right there!\You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them...\This is no time to just sit back and be impressed!\Don't tell me... response:	But I didn't bring a swimsuit...
context: You people don't have enough love!\If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them...\This is no time to just sit back and be impressed!\Don't tell me...\But I didn't bring a swimsuit... response:	Don't worry!
context: If you think you can please the crowd just by posing in swimsuits, you're gravely mistaken!\It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them...\This is no time to just sit back and be impressed!\Don't tell me...\But I didn't bring a swimsuit...\Don't worry! response:	I anticipated that
context: It's all about love! Without love...\And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them...\This is no time to just sit back and be impressed!\Don't tell me...\But I didn't bring a swimsuit...\Don't worry!\I anticipated that response:	so I came prepared with enough swimsuits for everybody!
context: And now Sherry and Cheria from Lamia Scale have joined the party!\I'm in awe of all of them...\This is no time to just sit back and be impressed!\Don't tell me...\But I didn't bring a swimsuit...\Don't worry!\I anticipated that\so I came prepared with enough swimsuits for everybody! response:	You think of everything, First Master!
context: I'm in awe of all of them...\This is no time to just sit back and be impressed!\Don't tell me...\But I didn't bring a swimsuit...\Don't worry!\I anticipated that\so I came prepared with enough swimsuits for everybody!\You think of everything, First Master! response:	Your keen insight dwarfs our imaginations!
context: This is no time to just sit back and be impressed!\Don't tell me...\But I didn't bring a swimsuit...\Don't worry!\I anticipated that\so I came prepared with enough swimsuits for everybody!\You think of everything, First Master!\Your keen insight dwarfs our imaginations! response:	Isn't it more like she just came ready to have a good time?
context: Don't tell me...\But I didn't bring a swimsuit...\Don't worry!\I anticipated that\so I came prepared with enough swimsuits for everybody!\You think of everything, First Master!\Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time? response:	You three can't just sit back and watch either!
context: But I didn't bring a swimsuit...\Don't worry!\I anticipated that\so I came prepared with enough swimsuits for everybody!\You think of everything, First Master!\Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either! response:	Let's all join in!
context: Don't worry!\I anticipated that\so I came prepared with enough swimsuits for everybody!\You think of everything, First Master!\Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either!\Let's all join in! response:	Why?!
context: I anticipated that\so I came prepared with enough swimsuits for everybody!\You think of everything, First Master!\Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either!\Let's all join in!\Why?! response:	When other people from the cheering section take the field, doing nothing is not an option!
context: so I came prepared with enough swimsuits for everybody!\You think of everything, First Master!\Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either!\Let's all join in!\Why?!\When other people from the cheering section take the field, doing nothing is not an option! response:	Swimsuits look best
context: You think of everything, First Master!\Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either!\Let's all join in!\Why?!\When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best response:	on Juvia, the water-manipulating wizard!
context: Your keen insight dwarfs our imaginations!\Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either!\Let's all join in!\Why?!\When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best\on Juvia, the water-manipulating wizard! response:	What, you're going out there too?
context: Isn't it more like she just came ready to have a good time?\You three can't just sit back and watch either!\Let's all join in!\Why?!\When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best\on Juvia, the water-manipulating wizard!\What, you're going out there too? response:	A woman in love has to battle at a time like this.
context: You three can't just sit back and watch either!\Let's all join in!\Why?!\When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best\on Juvia, the water-manipulating wizard!\What, you're going out there too?\A woman in love has to battle at a time like this. response:	I'm sick of hearin' about it...
context: Let's all join in!\Why?!\When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best\on Juvia, the water-manipulating wizard!\What, you're going out there too?\A woman in love has to battle at a time like this.\I'm sick of hearin' about it... response:	I think this has gotten out of hand...
context: Why?!\When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best\on Juvia, the water-manipulating wizard!\What, you're going out there too?\A woman in love has to battle at a time like this.\I'm sick of hearin' about it...\I think this has gotten out of hand... response:	Well, it's not so bad as a fun little stunt...
context: When other people from the cheering section take the field, doing nothing is not an option!\Swimsuits look best\on Juvia, the water-manipulating wizard!\What, you're going out there too?\A woman in love has to battle at a time like this.\I'm sick of hearin' about it...\I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt... response:	It's chaos here!
context: Swimsuits look best\on Juvia, the water-manipulating wizard!\What, you're going out there too?\A woman in love has to battle at a time like this.\I'm sick of hearin' about it...\I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt...\It's chaos here! response:	And yet, the crowd is eating it up, so we'll go with it!
context: on Juvia, the water-manipulating wizard!\What, you're going out there too?\A woman in love has to battle at a time like this.\I'm sick of hearin' about it...\I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt...\It's chaos here!\And yet, the crowd is eating it up, so we'll go with it! response:	Not to mention we'd have a riot on our hands if we put a stop to the fun now!
context: What, you're going out there too?\A woman in love has to battle at a time like this.\I'm sick of hearin' about it...\I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt...\It's chaos here!\And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now! response:	This is great! So cool!
context: A woman in love has to battle at a time like this.\I'm sick of hearin' about it...\I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt...\It's chaos here!\And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool! response:	It's settled!
context: I'm sick of hearin' about it...\I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt...\It's chaos here!\And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool!\It's settled! response:	The next Weekly Sorcerer cover story will be a wizard swimsuit competition!
context: I think this has gotten out of hand...\Well, it's not so bad as a fun little stunt...\It's chaos here!\And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool!\It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition! response:	Still and all,
context: Well, it's not so bad as a fun little stunt...\It's chaos here!\And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool!\It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all, response:	this match is just between Mirajane and Jenny!
context: It's chaos here!\And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool!\It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all,\this match is just between Mirajane and Jenny! response:	In that case, there's no point in us being out here!
context: And yet, the crowd is eating it up, so we'll go with it!\Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool!\It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all,\this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here! response:	Oh, the main thing is that we have fun!
context: Not to mention we'd have a riot on our hands if we put a stop to the fun now!\This is great! So cool!\It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all,\this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here!\Oh, the main thing is that we have fun! response:	How is it that a ghost like you gets such a kick out of this?
context: This is great! So cool!\It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all,\this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here!\Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this? response:	I bet anything her personality
context: It's settled!\The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all,\this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here!\Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this?\I bet anything her personality response:	has an effect on the mood of our guild!
context: The next Weekly Sorcerer cover story will be a wizard swimsuit competition!\Still and all,\this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here!\Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this?\I bet anything her personality\has an effect on the mood of our guild! response:	What, you're here too?
context: Still and all,\this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here!\Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this?\I bet anything her personality\has an effect on the mood of our guild!\What, you're here too? response:	I won't let your people hog the spotlight.
context: this match is just between Mirajane and Jenny!\In that case, there's no point in us being out here!\Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this?\I bet anything her personality\has an effect on the mood of our guild!\What, you're here too?\I won't let your people hog the spotlight. response:	The next theme is school swimsuits!
context: In that case, there's no point in us being out here!\Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this?\I bet anything her personality\has an effect on the mood of our guild!\What, you're here too?\I won't let your people hog the spotlight.\The next theme is school swimsuits! response:	Why are we suddenly in weird fetish swimwear?
context: Oh, the main thing is that we have fun!\How is it that a ghost like you gets such a kick out of this?\I bet anything her personality\has an effect on the mood of our guild!\What, you're here too?\I won't let your people hog the spotlight.\The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear? response:	You don't really look out of place in one, Wendy.
context: How is it that a ghost like you gets such a kick out of this?\I bet anything her personality\has an effect on the mood of our guild!\What, you're here too?\I won't let your people hog the spotlight.\The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy. response:	That doesn't make me happy!
context: I bet anything her personality\has an effect on the mood of our guild!\What, you're here too?\I won't let your people hog the spotlight.\The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy.\That doesn't make me happy! response:	Next up is bikinis and thigh-high socks!
context: has an effect on the mood of our guild!\What, you're here too?\I won't let your people hog the spotlight.\The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy.\That doesn't make me happy!\Next up is bikinis and thigh-high socks! response:	For some reason, this feels even more embarrassing than the swimsuit alone...
context: What, you're here too?\I won't let your people hog the spotlight.\The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy.\That doesn't make me happy!\Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone... response:	Moving on to girls in glasses!
context: I won't let your people hog the spotlight.\The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy.\That doesn't make me happy!\Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses! response:	This isn't any change for me...
context: The next theme is school swimsuits!\Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy.\That doesn't make me happy!\Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses!\This isn't any change for me... response:	Cat ears!
context: Why are we suddenly in weird fetish swimwear?\You don't really look out of place in one, Wendy.\That doesn't make me happy!\Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses!\This isn't any change for me...\Cat ears! response:	Is there any point for me to wear them?
context: You don't really look out of place in one, Wendy.\That doesn't make me happy!\Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses!\This isn't any change for me...\Cat ears!\Is there any point for me to wear them? response:	Bondage!
context: That doesn't make me happy!\Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses!\This isn't any change for me...\Cat ears!\Is there any point for me to wear them?\Bondage! response:	This is also a form of love!
context: Next up is bikinis and thigh-high socks!\For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses!\This isn't any change for me...\Cat ears!\Is there any point for me to wear them?\Bondage!\This is also a form of love! response:	You're too into it!
context: For some reason, this feels even more embarrassing than the swimsuit alone...\Moving on to girls in glasses!\This isn't any change for me...\Cat ears!\Is there any point for me to wear them?\Bondage!\This is also a form of love!\You're too into it! response:	Well, Erza? Are you about ready to admit defeat?
context: Moving on to girls in glasses!\This isn't any change for me...\Cat ears!\Is there any point for me to wear them?\Bondage!\This is also a form of love!\You're too into it!\Well, Erza? Are you about ready to admit defeat? response:	Did you say something?
context: This isn't any change for me...\Cat ears!\Is there any point for me to wear them?\Bondage!\This is also a form of love!\You're too into it!\Well, Erza? Are you about ready to admit defeat?\Did you say something? response:	I lose...
context: Cat ears!\Is there any point for me to wear them?\Bondage!\This is also a form of love!\You're too into it!\Well, Erza? Are you about ready to admit defeat?\Did you say something?\I lose... response:	We're gettin' further and further into fetish territory!
context: Is there any point for me to wear them?\Bondage!\This is also a form of love!\You're too into it!\Well, Erza? Are you about ready to admit defeat?\Did you say something?\I lose...\We're gettin' further and further into fetish territory! response:	Yeah... I don't mind...
context: Bondage!\This is also a form of love!\You're too into it!\Well, Erza? Are you about ready to admit defeat?\Did you say something?\I lose...\We're gettin' further and further into fetish territory!\Yeah... I don't mind... response:	The next theme is wedding dress!
context: This is also a form of love!\You're too into it!\Well, Erza? Are you about ready to admit defeat?\Did you say something?\I lose...\We're gettin' further and further into fetish territory!\Yeah... I don't mind...\The next theme is wedding dress! response:	Prepare a partner, then get into bridal gear!
context: You're too into it!\Well, Erza? Are you about ready to admit defeat?\Did you say something?\I lose...\We're gettin' further and further into fetish territory!\Yeah... I don't mind...\The next theme is wedding dress!\Prepare a partner, then get into bridal gear! response:	I'm sorry for suddenly dragging you into this, Master.
context: Well, Erza? Are you about ready to admit defeat?\Did you say something?\I lose...\We're gettin' further and further into fetish territory!\Yeah... I don't mind...\The next theme is wedding dress!\Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master. response:	This is all part of the job of being master...
context: Did you say something?\I lose...\We're gettin' further and further into fetish territory!\Yeah... I don't mind...\The next theme is wedding dress!\Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master... response:	Well, you were at hand...
context: I lose...\We're gettin' further and further into fetish territory!\Yeah... I don't mind...\The next theme is wedding dress!\Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master...\Well, you were at hand... response:	That's actually even more of a turn-on...
context: We're gettin' further and further into fetish territory!\Yeah... I don't mind...\The next theme is wedding dress!\Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master...\Well, you were at hand...\That's actually even more of a turn-on... response:	I'm Levy's groom!
context: Yeah... I don't mind...\The next theme is wedding dress!\Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master...\Well, you were at hand...\That's actually even more of a turn-on...\I'm Levy's groom! response:	She already rejected you!
context: The next theme is wedding dress!\Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master...\Well, you were at hand...\That's actually even more of a turn-on...\I'm Levy's groom!\She already rejected you! response:	It's the same with you!
context: Prepare a partner, then get into bridal gear!\I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master...\Well, you were at hand...\That's actually even more of a turn-on...\I'm Levy's groom!\She already rejected you!\It's the same with you! response:	You're not paired up with anyone?
context: I'm sorry for suddenly dragging you into this, Master.\This is all part of the job of being master...\Well, you were at hand...\That's actually even more of a turn-on...\I'm Levy's groom!\She already rejected you!\It's the same with you!\You're not paired up with anyone? response:	This is ridiculous. I'm better off just taking a nap.
context: This is all part of the job of being master...\Well, you were at hand...\That's actually even more of a turn-on...\I'm Levy's groom!\She already rejected you!\It's the same with you!\You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap. response:	You guys aren't going out there?
context: Well, you were at hand...\That's actually even more of a turn-on...\I'm Levy's groom!\She already rejected you!\It's the same with you!\You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there? response:	No. If something should happen...
context: That's actually even more of a turn-on...\I'm Levy's groom!\She already rejected you!\It's the same with you!\You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there?\No. If something should happen... response:	If my wife happened to see me...
context: I'm Levy's groom!\She already rejected you!\It's the same with you!\You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there?\No. If something should happen...\If my wife happened to see me... response:	I'm the groom for you, right, Carla?
context: She already rejected you!\It's the same with you!\You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there?\No. If something should happen...\If my wife happened to see me...\I'm the groom for you, right, Carla? response:	Well, since we are both Exceeds...
context: It's the same with you!\You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there?\No. If something should happen...\If my wife happened to see me...\I'm the groom for you, right, Carla?\Well, since we are both Exceeds... response:	Juvia! I'm the only one for you...
context: You're not paired up with anyone?\This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there?\No. If something should happen...\If my wife happened to see me...\I'm the groom for you, right, Carla?\Well, since we are both Exceeds...\Juvia! I'm the only one for you... response:	Leon-sama! But Juvia is...
context: This is ridiculous. I'm better off just taking a nap.\You guys aren't going out there?\No. If something should happen...\If my wife happened to see me...\I'm the groom for you, right, Carla?\Well, since we are both Exceeds...\Juvia! I'm the only one for you...\Leon-sama! But Juvia is... response:	Gray-sama!
context: You guys aren't going out there?\No. If something should happen...\If my wife happened to see me...\I'm the groom for you, right, Carla?\Well, since we are both Exceeds...\Juvia! I'm the only one for you...\Leon-sama! But Juvia is...\Gray-sama! response:	It's no fun letting a teammate get snatched by a jerk from another guild.
context: No. If something should happen...\If my wife happened to see me...\I'm the groom for you, right, Carla?\Well, since we are both Exceeds...\Juvia! I'm the only one for you...\Leon-sama! But Juvia is...\Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild. response:	Juvia is so happy!
context: If my wife happened to see me...\I'm the groom for you, right, Carla?\Well, since we are both Exceeds...\Juvia! I'm the only one for you...\Leon-sama! But Juvia is...\Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy! response:	Our love is steadfast!
context: I'm the groom for you, right, Carla?\Well, since we are both Exceeds...\Juvia! I'm the only one for you...\Leon-sama! But Juvia is...\Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy!\Our love is steadfast! response:	Don't be so clingy!
context: Well, since we are both Exceeds...\Juvia! I'm the only one for you...\Leon-sama! But Juvia is...\Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy!\Our love is steadfast!\Don't be so clingy! response:	You'll make me fall in love with you even more...
context: Juvia! I'm the only one for you...\Leon-sama! But Juvia is...\Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy!\Our love is steadfast!\Don't be so clingy!\You'll make me fall in love with you even more... response:	Who should I...?
context: Leon-sama! But Juvia is...\Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy!\Our love is steadfast!\Don't be so clingy!\You'll make me fall in love with you even more...\Who should I...? response:	Loke!
context: Gray-sama!\It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy!\Our love is steadfast!\Don't be so clingy!\You'll make me fall in love with you even more...\Who should I...?\Loke! response:	Let's take this opportunity
context: It's no fun letting a teammate get snatched by a jerk from another guild.\Juvia is so happy!\Our love is steadfast!\Don't be so clingy!\You'll make me fall in love with you even more...\Who should I...?\Loke!\Let's take this opportunity response:	and really get married!
context: Juvia is so happy!\Our love is steadfast!\Don't be so clingy!\You'll make me fall in love with you even more...\Who should I...?\Loke!\Let's take this opportunity\and really get married! response:	Natsu!
context: Our love is steadfast!\Don't be so clingy!\You'll make me fall in love with you even more...\Who should I...?\Loke!\Let's take this opportunity\and really get married!\Natsu! response:	You look good in that!
context: Don't be so clingy!\You'll make me fall in love with you even more...\Who should I...?\Loke!\Let's take this opportunity\and really get married!\Natsu!\You look good in that! response:	You too, Natsu!
context: You'll make me fall in love with you even more...\Who should I...?\Loke!\Let's take this opportunity\and really get married!\Natsu!\You look good in that!\You too, Natsu! response:	When did this...?!
context: Who should I...?\Loke!\Let's take this opportunity\and really get married!\Natsu!\You look good in that!\You too, Natsu!\When did this...?! response:	Come to think of it, when we were kids, I imagined that we would get...
context: Loke!\Let's take this opportunity\and really get married!\Natsu!\You look good in that!\You too, Natsu!\When did this...?!\Come to think of it, when we were kids, I imagined that we would get... response:	Lucy, what are you doing?!
context: Let's take this opportunity\and really get married!\Natsu!\You look good in that!\You too, Natsu!\When did this...?!\Come to think of it, when we were kids, I imagined that we would get...\Lucy, what are you doing?! response:	I'm sorry!
