context: It's finally time to start school... response:	The first day is so exciting, isn't it?
context: Um, um... well... I mean...\No. Nothing.\I see. So, um, are you hoping to join the club?\Y-Yes!\What's your name?\Nakajima Yua.\Yua-chan? That's a nice name.\Let's do our best together. response:	Th-Th...
context: No. Nothing.\I see. So, um, are you hoping to join the club?\Y-Yes!\What's your name?\Nakajima Yua.\Yua-chan? That's a nice name.\Let's do our best together.\Th-Th... response:	Thank you for having me!
context: I see. So, um, are you hoping to join the club?\Y-Yes!\What's your name?\Nakajima Yua.\Yua-chan? That's a nice name.\Let's do our best together.\Th-Th...\Thank you for having me! response:	Well, I'll be going now!
context: Y-Yes!\What's your name?\Nakajima Yua.\Yua-chan? That's a nice name.\Let's do our best together.\Th-Th...\Thank you for having me!\Well, I'll be going now! response:	Huh? Did I do something to her?
context: What's your name?\Nakajima Yua.\Yua-chan? That's a nice name.\Let's do our best together.\Th-Th...\Thank you for having me!\Well, I'll be going now!\Huh? Did I do something to her? response:	At any rate, you saved Hina-chan.
context: Nakajima Yua.\Yua-chan? That's a nice name.\Let's do our best together.\Th-Th...\Thank you for having me!\Well, I'll be going now!\Huh? Did I do something to her?\At any rate, you saved Hina-chan. response:	Huh?
context: Yua-chan? That's a nice name.\Let's do our best together.\Th-Th...\Thank you for having me!\Well, I'll be going now!\Huh? Did I do something to her?\At any rate, you saved Hina-chan.\Huh? response:	You make such delicious coffee, Mayu-chan.
context: Let's do our best together.\Th-Th...\Thank you for having me!\Well, I'll be going now!\Huh? Did I do something to her?\At any rate, you saved Hina-chan.\Huh?\You make such delicious coffee, Mayu-chan. response:	Thanks.
context: Th-Th...\Thank you for having me!\Well, I'll be going now!\Huh? Did I do something to her?\At any rate, you saved Hina-chan.\Huh?\You make such delicious coffee, Mayu-chan.\Thanks. response:	By the way, I heard you two joined the theater club?
context: Thank you for having me!\Well, I'll be going now!\Huh? Did I do something to her?\At any rate, you saved Hina-chan.\Huh?\You make such delicious coffee, Mayu-chan.\Thanks.\By the way, I heard you two joined the theater club? response:	Yeah!
context: Well, I'll be going now!\Huh? Did I do something to her?\At any rate, you saved Hina-chan.\Huh?\You make such delicious coffee, Mayu-chan.\Thanks.\By the way, I heard you two joined the theater club?\Yeah! response:	It's just a society now, though.
context: Huh? Did I do something to her?\At any rate, you saved Hina-chan.\Huh?\You make such delicious coffee, Mayu-chan.\Thanks.\By the way, I heard you two joined the theater club?\Yeah!\It's just a society now, though. response:	But it's the theater club at its core, right?
context: At any rate, you saved Hina-chan.\Huh?\You make such delicious coffee, Mayu-chan.\Thanks.\By the way, I heard you two joined the theater club?\Yeah!\It's just a society now, though.\But it's the theater club at its core, right? response:	Yeah. All the club members are joining, too.
context: Huh?\You make such delicious coffee, Mayu-chan.\Thanks.\By the way, I heard you two joined the theater club?\Yeah!\It's just a society now, though.\But it's the theater club at its core, right?\Yeah. All the club members are joining, too. response:	In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.
context: You make such delicious coffee, Mayu-chan.\Thanks.\By the way, I heard you two joined the theater club?\Yeah!\It's just a society now, though.\But it's the theater club at its core, right?\Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true. response:	Yeah!
context: Thanks.\By the way, I heard you two joined the theater club?\Yeah!\It's just a society now, though.\But it's the theater club at its core, right?\Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah! response:	Wait... But we've only just formed our theater troupe.
context: By the way, I heard you two joined the theater club?\Yeah!\It's just a society now, though.\But it's the theater club at its core, right?\Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah!\Wait... But we've only just formed our theater troupe. response:	Was it okay for us to join the theater club?
context: Yeah!\It's just a society now, though.\But it's the theater club at its core, right?\Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah!\Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club? response:	Why don't you just do both?
context: It's just a society now, though.\But it's the theater club at its core, right?\Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah!\Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club?\Why don't you just do both? response:	We can do both?
context: But it's the theater club at its core, right?\Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah!\Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club?\Why don't you just do both?\We can do both? response:	Sounds like you'll be busy.
context: Yeah. All the club members are joining, too.\In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah!\Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club?\Why don't you just do both?\We can do both?\Sounds like you'll be busy. response:	That's true.
context: In any case, Hina-chan's goal of being in theater at Fujimiya High has come true.\Yeah!\Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club?\Why don't you just do both?\We can do both?\Sounds like you'll be busy.\That's true. response:	There's another hurdle Hina-chan needs to get over first, after all.
context: Yeah!\Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club?\Why don't you just do both?\We can do both?\Sounds like you'll be busy.\That's true.\There's another hurdle Hina-chan needs to get over first, after all. response:	Hurdle?
context: Wait... But we've only just formed our theater troupe.\Was it okay for us to join the theater club?\Why don't you just do both?\We can do both?\Sounds like you'll be busy.\That's true.\There's another hurdle Hina-chan needs to get over first, after all.\Hurdle? response:	I mean getting used to being in front of people!
context: Was it okay for us to join the theater club?\Why don't you just do both?\We can do both?\Sounds like you'll be busy.\That's true.\There's another hurdle Hina-chan needs to get over first, after all.\Hurdle?\I mean getting used to being in front of people! response:	I-In front of people...
context: Why don't you just do both?\We can do both?\Sounds like you'll be busy.\That's true.\There's another hurdle Hina-chan needs to get over first, after all.\Hurdle?\I mean getting used to being in front of people!\I-In front of people... response:	Then how about working part-time in the coffee shop?
context: We can do both?\Sounds like you'll be busy.\That's true.\There's another hurdle Hina-chan needs to get over first, after all.\Hurdle?\I mean getting used to being in front of people!\I-In front of people...\Then how about working part-time in the coffee shop? response:	That sounds good. It's a service industry, after all.
context: Sounds like you'll be busy.\That's true.\There's another hurdle Hina-chan needs to get over first, after all.\Hurdle?\I mean getting used to being in front of people!\I-In front of people...\Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all. response:	Okay, it's settled!
context: That's true.\There's another hurdle Hina-chan needs to get over first, after all.\Hurdle?\I mean getting used to being in front of people!\I-In front of people...\Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all.\Okay, it's settled! response:	Hina-chan, try working here on your next day off from school.
context: There's another hurdle Hina-chan needs to get over first, after all.\Hurdle?\I mean getting used to being in front of people!\I-In front of people...\Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all.\Okay, it's settled!\Hina-chan, try working here on your next day off from school. response:	Ah... u-um...
context: Hurdle?\I mean getting used to being in front of people!\I-In front of people...\Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all.\Okay, it's settled!\Hina-chan, try working here on your next day off from school.\Ah... u-um... response:	Don't worry! Leave everything to me!
context: I mean getting used to being in front of people!\I-In front of people...\Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all.\Okay, it's settled!\Hina-chan, try working here on your next day off from school.\Ah... u-um...\Don't worry! Leave everything to me! response:	U-Um...
context: I-In front of people...\Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all.\Okay, it's settled!\Hina-chan, try working here on your next day off from school.\Ah... u-um...\Don't worry! Leave everything to me!\U-Um... response:	Okay.
context: Then how about working part-time in the coffee shop?\That sounds good. It's a service industry, after all.\Okay, it's settled!\Hina-chan, try working here on your next day off from school.\Ah... u-um...\Don't worry! Leave everything to me!\U-Um...\Okay. response:	I let Mayu-chan talk me into agreeing, but...
context: That sounds good. It's a service industry, after all.\Okay, it's settled!\Hina-chan, try working here on your next day off from school.\Ah... u-um...\Don't worry! Leave everything to me!\U-Um...\Okay.\I let Mayu-chan talk me into agreeing, but... response:	Let's see...
context: Okay, it's settled!\Hina-chan, try working here on your next day off from school.\Ah... u-um...\Don't worry! Leave everything to me!\U-Um...\Okay.\I let Mayu-chan talk me into agreeing, but...\Let's see... response:	Theater troupe, theater club, serving customers part-time...
context: Hina-chan, try working here on your next day off from school.\Ah... u-um...\Don't worry! Leave everything to me!\U-Um...\Okay.\I let Mayu-chan talk me into agreeing, but...\Let's see...\Theater troupe, theater club, serving customers part-time... response:	How am I gonna do this?!
context: Ah... u-um...\Don't worry! Leave everything to me!\U-Um...\Okay.\I let Mayu-chan talk me into agreeing, but...\Let's see...\Theater troupe, theater club, serving customers part-time...\How am I gonna do this?! response:	But as long as I don't get nervous, things seem to work out okay...
context: Don't worry! Leave everything to me!\U-Um...\Okay.\I let Mayu-chan talk me into agreeing, but...\Let's see...\Theater troupe, theater club, serving customers part-time...\How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay... response:	I guess all I can do is try my best.
context: U-Um...\Okay.\I let Mayu-chan talk me into agreeing, but...\Let's see...\Theater troupe, theater club, serving customers part-time...\How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best. response:	Fujimiya Girls' High
context: Okay.\I let Mayu-chan talk me into agreeing, but...\Let's see...\Theater troupe, theater club, serving customers part-time...\How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best.\Fujimiya Girls' High response:	I may be mistaken, but that's what I think.
context: I let Mayu-chan talk me into agreeing, but...\Let's see...\Theater troupe, theater club, serving customers part-time...\How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best.\Fujimiya Girls' High\I may be mistaken, but that's what I think. response:	At any rate, the bear's gall of Nametoko Mountain is well-known.
context: Let's see...\Theater troupe, theater club, serving customers part-time...\How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best.\Fujimiya Girls' High\I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known. response:	Okay, the next passage...
context: Theater troupe, theater club, serving customers part-time...\How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best.\Fujimiya Girls' High\I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage... response:	Sakuragi-san.
context: How am I gonna do this?!\But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best.\Fujimiya Girls' High\I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage...\Sakuragi-san. response:	Y-Yes!
context: But as long as I don't get nervous, things seem to work out okay...\I guess all I can do is try my best.\Fujimiya Girls' High\I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage...\Sakuragi-san.\Y-Yes! response:	I-It cures s-stomachaches and m-makes wounds disappear.
context: I guess all I can do is try my best.\Fujimiya Girls' High\I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage...\Sakuragi-san.\Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear. response:	A-At the N-N-Namari-no-Yu entrance...
context: Fujimiya Girls' High\I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage...\Sakuragi-san.\Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance... response:	Sensei!
context: I may be mistaken, but that's what I think.\At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage...\Sakuragi-san.\Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance...\Sensei! response:	I'll read it for her.
context: At any rate, the bear's gall of Nametoko Mountain is well-known.\Okay, the next passage...\Sakuragi-san.\Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance...\Sensei!\I'll read it for her. response:	Uh...
context: Okay, the next passage...\Sakuragi-san.\Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance...\Sensei!\I'll read it for her.\Uh... response:	O-Okay, go ahead, then.
context: Sakuragi-san.\Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance...\Sensei!\I'll read it for her.\Uh...\O-Okay, go ahead, then. response:	Sakuragi-san, you can sit down.
context: Y-Yes!\I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance...\Sensei!\I'll read it for her.\Uh...\O-Okay, go ahead, then.\Sakuragi-san, you can sit down. response:	O-Okay...
context: I-It cures s-stomachaches and m-makes wounds disappear.\A-At the N-N-Namari-no-Yu entrance...\Sensei!\I'll read it for her.\Uh...\O-Okay, go ahead, then.\Sakuragi-san, you can sit down.\O-Okay... response:	It cures stomachaches and makes wounds disappear.
context: A-At the N-N-Namari-no-Yu entrance...\Sensei!\I'll read it for her.\Uh...\O-Okay, go ahead, then.\Sakuragi-san, you can sit down.\O-Okay...\It cures stomachaches and makes wounds disappear. response:	At the Namari-no-Yu entrance,
context: Sensei!\I'll read it for her.\Uh...\O-Okay, go ahead, then.\Sakuragi-san, you can sit down.\O-Okay...\It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance, response:	a sign has long stood that reads,'Bear's gall here.'
context: I'll read it for her.\Uh...\O-Okay, go ahead, then.\Sakuragi-san, you can sit down.\O-Okay...\It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.' response:	Isn't she... that scary girl?
context: Uh...\O-Okay, go ahead, then.\Sakuragi-san, you can sit down.\O-Okay...\It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl? response:	Oh, darn...
context: O-Okay, go ahead, then.\Sakuragi-san, you can sit down.\O-Okay...\It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl?\Oh, darn... response:	Uh... Sakuragi-san.
context: Sakuragi-san, you can sit down.\O-Okay...\It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl?\Oh, darn...\Uh... Sakuragi-san. response:	Y-Yes?
context: O-Okay...\It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl?\Oh, darn...\Uh... Sakuragi-san.\Y-Yes? response:	Can you help me carry the handouts on the desk here?
context: It cures stomachaches and makes wounds disappear.\At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl?\Oh, darn...\Uh... Sakuragi-san.\Y-Yes?\Can you help me carry the handouts on the desk here? response:	U-U-U-Uh...
context: At the Namari-no-Yu entrance,\a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl?\Oh, darn...\Uh... Sakuragi-san.\Y-Yes?\Can you help me carry the handouts on the desk here?\U-U-U-Uh... response:	I'll carry them!
context: a sign has long stood that reads,'Bear's gall here.'\Isn't she... that scary girl?\Oh, darn...\Uh... Sakuragi-san.\Y-Yes?\Can you help me carry the handouts on the desk here?\U-U-U-Uh...\I'll carry them! response:	Hmph!
context: Isn't she... that scary girl?\Oh, darn...\Uh... Sakuragi-san.\Y-Yes?\Can you help me carry the handouts on the desk here?\U-U-U-Uh...\I'll carry them!\Hmph! response:	Okay... Sakuragi-san.
context: Oh, darn...\Uh... Sakuragi-san.\Y-Yes?\Can you help me carry the handouts on the desk here?\U-U-U-Uh...\I'll carry them!\Hmph!\Okay... Sakuragi-san. response:	Y-Yes! Um...
context: Uh... Sakuragi-san.\Y-Yes?\Can you help me carry the handouts on the desk here?\U-U-U-Uh...\I'll carry them!\Hmph!\Okay... Sakuragi-san.\Y-Yes! Um... response:	I'll answer it!
context: Y-Yes?\Can you help me carry the handouts on the desk here?\U-U-U-Uh...\I'll carry them!\Hmph!\Okay... Sakuragi-san.\Y-Yes! Um...\I'll answer it! response:	Sakuragi-san.
context: Can you help me carry the handouts on the desk here?\U-U-U-Uh...\I'll carry them!\Hmph!\Okay... Sakuragi-san.\Y-Yes! Um...\I'll answer it!\Sakuragi-san. response:	Y-Yes!
context: U-U-U-Uh...\I'll carry them!\Hmph!\Okay... Sakuragi-san.\Y-Yes! Um...\I'll answer it!\Sakuragi-san.\Y-Yes! response:	Let me handle it!
context: I'll carry them!\Hmph!\Okay... Sakuragi-san.\Y-Yes! Um...\I'll answer it!\Sakuragi-san.\Y-Yes!\Let me handle it! response:	Sakuragi-san.
context: Hmph!\Okay... Sakuragi-san.\Y-Yes! Um...\I'll answer it!\Sakuragi-san.\Y-Yes!\Let me handle it!\Sakuragi-san. response:	Y-Ye
context: Okay... Sakuragi-san.\Y-Yes! Um...\I'll answer it!\Sakuragi-san.\Y-Yes!\Let me handle it!\Sakuragi-san.\Y-Ye response:	I'll go!
context: Y-Yes! Um...\I'll answer it!\Sakuragi-san.\Y-Yes!\Let me handle it!\Sakuragi-san.\Y-Ye\I'll go! response:	Sakuragi-san.
context: I'll answer it!\Sakuragi-san.\Y-Yes!\Let me handle it!\Sakuragi-san.\Y-Ye\I'll go!\Sakuragi-san. response:	I'll answer it!
context: Sakuragi-san.\Y-Yes!\Let me handle it!\Sakuragi-san.\Y-Ye\I'll go!\Sakuragi-san.\I'll answer it! response:	Sakuragi-san.
context: Y-Yes!\Let me handle it!\Sakuragi-san.\Y-Ye\I'll go!\Sakuragi-san.\I'll answer it!\Sakuragi-san. response:	I'll take it!
context: Let me handle it!\Sakuragi-san.\Y-Ye\I'll go!\Sakuragi-san.\I'll answer it!\Sakuragi-san.\I'll take it! response:	Sakuragi-san.
context: Sakuragi-san.\Y-Ye\I'll go!\Sakuragi-san.\I'll answer it!\Sakuragi-san.\I'll take it!\Sakuragi-san. response:	I'll do it for her!
context: Y-Ye\I'll go!\Sakuragi-san.\I'll answer it!\Sakuragi-san.\I'll take it!\Sakuragi-san.\I'll do it for her! response:	Sakuragi-san.
context: I'll go!\Sakuragi-san.\I'll answer it!\Sakuragi-san.\I'll take it!\Sakuragi-san.\I'll do it for her!\Sakuragi-san. response:	Let me handle it!
context: Sakuragi-san.\I'll answer it!\Sakuragi-san.\I'll take it!\Sakuragi-san.\I'll do it for her!\Sakuragi-san.\Let me handle it! response:	Sakuragi-san.
context: I'll answer it!\Sakuragi-san.\I'll take it!\Sakuragi-san.\I'll do it for her!\Sakuragi-san.\Let me handle it!\Sakuragi-san. response:	I'll do that!
context: Sakuragi-san.\I'll take it!\Sakuragi-san.\I'll do it for her!\Sakuragi-san.\Let me handle it!\Sakuragi-san.\I'll do that! response:	Sakuragi-san.
context: I'll take it!\Sakuragi-san.\I'll do it for her!\Sakuragi-san.\Let me handle it!\Sakuragi-san.\I'll do that!\Sakuragi-san. response:	I'll carry it!
context: Sakuragi-san.\I'll do it for her!\Sakuragi-san.\Let me handle it!\Sakuragi-san.\I'll do that!\Sakuragi-san.\I'll carry it! response:	Sakuragi-san.
context: I'll do it for her!\Sakuragi-san.\Let me handle it!\Sakuragi-san.\I'll do that!\Sakuragi-san.\I'll carry it!\Sakuragi-san. response:	I'll do it for her!
context: Sakuragi-san.\Let me handle it!\Sakuragi-san.\I'll do that!\Sakuragi-san.\I'll carry it!\Sakuragi-san.\I'll do it for her! response:	I'll do that!
context: Let me handle it!\Sakuragi-san.\I'll do that!\Sakuragi-san.\I'll carry it!\Sakuragi-san.\I'll do it for her!\I'll do that! response:	Hina-chan!
context: Sakuragi-san.\I'll do that!\Sakuragi-san.\I'll carry it!\Sakuragi-san.\I'll do it for her!\I'll do that!\Hina-chan! response:	Y-Yes?
context: I'll do that!\Sakuragi-san.\I'll carry it!\Sakuragi-san.\I'll do it for her!\I'll do that!\Hina-chan!\Y-Yes? response:	Let's head home.
context: Sakuragi-san.\I'll carry it!\Sakuragi-san.\I'll do it for her!\I'll do that!\Hina-chan!\Y-Yes?\Let's head home. response:	Okay.
context: I'll carry it!\Sakuragi-san.\I'll do it for her!\I'll do that!\Hina-chan!\Y-Yes?\Let's head home.\Okay. response:	What should we eat on the way home today?
context: Sakuragi-san.\I'll do it for her!\I'll do that!\Hina-chan!\Y-Yes?\Let's head home.\Okay.\What should we eat on the way home today? response:	We're having dinner as soon as we get home.
context: I'll do it for her!\I'll do that!\Hina-chan!\Y-Yes?\Let's head home.\Okay.\What should we eat on the way home today?\We're having dinner as soon as we get home. response:	Eating books to hold myself over is kinda...
context: I'll do that!\Hina-chan!\Y-Yes?\Let's head home.\Okay.\What should we eat on the way home today?\We're having dinner as soon as we get home.\Eating books to hold myself over is kinda... response:	The desserts there are the best!
context: Hina-chan!\Y-Yes?\Let's head home.\Okay.\What should we eat on the way home today?\We're having dinner as soon as we get home.\Eating books to hold myself over is kinda...\The desserts there are the best! response:	Really?
context: Y-Yes?\Let's head home.\Okay.\What should we eat on the way home today?\We're having dinner as soon as we get home.\Eating books to hold myself over is kinda...\The desserts there are the best!\Really? response:	Hmm... Oh!
context: Let's head home.\Okay.\What should we eat on the way home today?\We're having dinner as soon as we get home.\Eating books to hold myself over is kinda...\The desserts there are the best!\Really?\Hmm... Oh! response:	Wait here a second, okay?
context: Okay.\What should we eat on the way home today?\We're having dinner as soon as we get home.\Eating books to hold myself over is kinda...\The desserts there are the best!\Really?\Hmm... Oh!\Wait here a second, okay? response:	Excuse me! I'd like one of these and one of these.
context: What should we eat on the way home today?\We're having dinner as soon as we get home.\Eating books to hold myself over is kinda...\The desserts there are the best!\Really?\Hmm... Oh!\Wait here a second, okay?\Excuse me! I'd like one of these and one of these. response:	Um...
context: We're having dinner as soon as we get home.\Eating books to hold myself over is kinda...\The desserts there are the best!\Really?\Hmm... Oh!\Wait here a second, okay?\Excuse me! I'd like one of these and one of these.\Um... response:	Excuse me, but which way is the station?
context: Eating books to hold myself over is kinda...\The desserts there are the best!\Really?\Hmm... Oh!\Wait here a second, okay?\Excuse me! I'd like one of these and one of these.\Um...\Excuse me, but which way is the station? response:	U-Um... I... uh...
context: The desserts there are the best!\Really?\Hmm... Oh!\Wait here a second, okay?\Excuse me! I'd like one of these and one of these.\Um...\Excuse me, but which way is the station?\U-Um... I... uh... response:	I'll show you the way!
context: Really?\Hmm... Oh!\Wait here a second, okay?\Excuse me! I'd like one of these and one of these.\Um...\Excuse me, but which way is the station?\U-Um... I... uh...\I'll show you the way! response:	Please, come with me.
context: Hmm... Oh!\Wait here a second, okay?\Excuse me! I'd like one of these and one of these.\Um...\Excuse me, but which way is the station?\U-Um... I... uh...\I'll show you the way!\Please, come with me. response:	Thank you so much.
context: Wait here a second, okay?\Excuse me! I'd like one of these and one of these.\Um...\Excuse me, but which way is the station?\U-Um... I... uh...\I'll show you the way!\Please, come with me.\Thank you so much. response:	You need to get to the station, right?
context: Excuse me! I'd like one of these and one of these.\Um...\Excuse me, but which way is the station?\U-Um... I... uh...\I'll show you the way!\Please, come with me.\Thank you so much.\You need to get to the station, right? response:	Just turn left at that traffic signal there,
context: Um...\Excuse me, but which way is the station?\U-Um... I... uh...\I'll show you the way!\Please, come with me.\Thank you so much.\You need to get to the station, right?\Just turn left at that traffic signal there, response:	then go straight, and you'll see it right away.
context: Excuse me, but which way is the station?\U-Um... I... uh...\I'll show you the way!\Please, come with me.\Thank you so much.\You need to get to the station, right?\Just turn left at that traffic signal there,\then go straight, and you'll see it right away. response:	Oh, thank you. You've been such a big help.
context: U-Um... I... uh...\I'll show you the way!\Please, come with me.\Thank you so much.\You need to get to the station, right?\Just turn left at that traffic signal there,\then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help. response:	This'll show everyone that I can do what that little failure can't!
context: I'll show you the way!\Please, come with me.\Thank you so much.\You need to get to the station, right?\Just turn left at that traffic signal there,\then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't! response:	How was that? Do you see what a failshrimp you are now?
context: Please, come with me.\Thank you so much.\You need to get to the station, right?\Just turn left at that traffic signal there,\then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now? response:	The one fit for Chiaki-senpai is me, Nakajima Yu
context: Thank you so much.\You need to get to the station, right?\Just turn left at that traffic signal there,\then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu response:	Did I take that too far?
context: You need to get to the station, right?\Just turn left at that traffic signal there,\then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far? response:	No!
context: Just turn left at that traffic signal there,\then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far?\No! response:	Don't think that way, Yua! You must harden your heart!
context: then go straight, and you'll see it right away.\Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far?\No!\Don't think that way, Yua! You must harden your heart! response:	Look nowhere but forward!
context: Oh, thank you. You've been such a big help.\This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far?\No!\Don't think that way, Yua! You must harden your heart!\Look nowhere but forward! response:	She's so nice...
context: This'll show everyone that I can do what that little failure can't!\How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far?\No!\Don't think that way, Yua! You must harden your heart!\Look nowhere but forward!\She's so nice... response:	She always covers for me when I fall short.
context: How was that? Do you see what a failshrimp you are now?\The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far?\No!\Don't think that way, Yua! You must harden your heart!\Look nowhere but forward!\She's so nice...\She always covers for me when I fall short. response:	Maybe we can be friends...
context: The one fit for Chiaki-senpai is me, Nakajima Yu\Did I take that too far?\No!\Don't think that way, Yua! You must harden your heart!\Look nowhere but forward!\She's so nice...\She always covers for me when I fall short.\Maybe we can be friends... response:	Here you go.
context: Did I take that too far?\No!\Don't think that way, Yua! You must harden your heart!\Look nowhere but forward!\She's so nice...\She always covers for me when I fall short.\Maybe we can be friends...\Here you go. response:	Oh... uh...
context: No!\Don't think that way, Yua! You must harden your heart!\Look nowhere but forward!\She's so nice...\She always covers for me when I fall short.\Maybe we can be friends...\Here you go.\Oh... uh... response:	Actually putting on that uniform might be kind of embarrassing...
context: Don't think that way, Yua! You must harden your heart!\Look nowhere but forward!\She's so nice...\She always covers for me when I fall short.\Maybe we can be friends...\Here you go.\Oh... uh...\Actually putting on that uniform might be kind of embarrassing... response:	You need guts, too!
context: Look nowhere but forward!\She's so nice...\She always covers for me when I fall short.\Maybe we can be friends...\Here you go.\Oh... uh...\Actually putting on that uniform might be kind of embarrassing...\You need guts, too! response:	Guts?
context: She's so nice...\She always covers for me when I fall short.\Maybe we can be friends...\Here you go.\Oh... uh...\Actually putting on that uniform might be kind of embarrassing...\You need guts, too!\Guts? response:	Could I work at the used bookstore, maybe?
context: She always covers for me when I fall short.\Maybe we can be friends...\Here you go.\Oh... uh...\Actually putting on that uniform might be kind of embarrassing...\You need guts, too!\Guts?\Could I work at the used bookstore, maybe? response:	The bookstore is closed today.
