context: The S Class Wizard Advancement Exam has finally begun! response:	The first test is to choose a battle route,
context: Speaking of which... Was he always that weak?\Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger.\Huh? I can't remember.\Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did... response:	He... Who was his partner last time?
context: Putting Wendy aside... I thought he was stronger before.\It's that we've gotten stronger.\Huh? I can't remember.\Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did...\He... Who was his partner last time? response:	Huh? Who was it, again?
context: It's that we've gotten stronger.\Huh? I can't remember.\Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did...\He... Who was his partner last time?\Huh? Who was it, again? response:	Why is it? I can't remember at all...
context: Huh? I can't remember.\Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did...\He... Who was his partner last time?\Huh? Who was it, again?\Why is it? I can't remember at all... response:	Neither can I.
context: Have I fought with him before?\Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did...\He... Who was his partner last time?\Huh? Who was it, again?\Why is it? I can't remember at all...\Neither can I. response:	I can tell something is hazy about my memories of Mest.
context: Oh? Memory loss now, too? Lucy'll think that's hot.\Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did...\He... Who was his partner last time?\Huh? Who was it, again?\Why is it? I can't remember at all...\Neither can I.\I can tell something is hazy about my memories of Mest. response:	It's true... It's like my memories of Mest are broken off somewhere.
context: Hmm... Mest said that he got pretty far in last year's exam...\Yes, he did...\He... Who was his partner last time?\Huh? Who was it, again?\Why is it? I can't remember at all...\Neither can I.\I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere. response:	Gray, Loke!
context: Yes, he did...\He... Who was his partner last time?\Huh? Who was it, again?\Why is it? I can't remember at all...\Neither can I.\I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke! response:	I figured you two would pass the first test!
context: He... Who was his partner last time?\Huh? Who was it, again?\Why is it? I can't remember at all...\Neither can I.\I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke!\I figured you two would pass the first test! response:	Congratulations, for now.
context: Huh? Who was it, again?\Why is it? I can't remember at all...\Neither can I.\I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke!\I figured you two would pass the first test!\Congratulations, for now. response:	We were lucky and got the peaceful route.
context: Why is it? I can't remember at all...\Neither can I.\I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke!\I figured you two would pass the first test!\Congratulations, for now.\We were lucky and got the peaceful route. response:	Lucky?! I didn't get to smack anyone!
context: Neither can I.\I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke!\I figured you two would pass the first test!\Congratulations, for now.\We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone! response:	So we're the only ones to pass the first exam?
context: I can tell something is hazy about my memories of Mest.\It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke!\I figured you two would pass the first test!\Congratulations, for now.\We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam? response:	Where's Natsu?
context: It's true... It's like my memories of Mest are broken off somewhere.\Gray, Loke!\I figured you two would pass the first test!\Congratulations, for now.\We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam?\Where's Natsu? response:	He's over there.
context: Gray, Loke!\I figured you two would pass the first test!\Congratulations, for now.\We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam?\Where's Natsu?\He's over there. response:	What's wrong with him?
context: I figured you two would pass the first test!\Congratulations, for now.\We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam?\Where's Natsu?\He's over there.\What's wrong with him? response:	What happened?
context: Congratulations, for now.\We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam?\Where's Natsu?\He's over there.\What's wrong with him?\What happened? response:	You see...
context: We were lucky and got the peaceful route.\Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam?\Where's Natsu?\He's over there.\What's wrong with him?\What happened?\You see... response:	Now then, I think everyone is here.
context: Lucky?! I didn't get to smack anyone!\So we're the only ones to pass the first exam?\Where's Natsu?\He's over there.\What's wrong with him?\What happened?\You see...\Now then, I think everyone is here. response:	Master!
context: So we're the only ones to pass the first exam?\Where's Natsu?\He's over there.\What's wrong with him?\What happened?\You see...\Now then, I think everyone is here.\Master! response:	I will now announce the results, to date.
context: Where's Natsu?\He's over there.\What's wrong with him?\What happened?\You see...\Now then, I think everyone is here.\Master!\I will now announce the results, to date. response:	Cana and Lucy defeated Fried and Bickslow in battle, and passed through!
context: He's over there.\What's wrong with him?\What happened?\You see...\Now then, I think everyone is here.\Master!\I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through! response:	What?!
context: What's wrong with him?\What happened?\You see...\Now then, I think everyone is here.\Master!\I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?! response:	Natsu and Happy managed to get past Gildarts somehow, and passed through!
context: What happened?\You see...\Now then, I think everyone is here.\Master!\I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through! response:	You've gotta be kiddin' me!
context: You see...\Now then, I think everyone is here.\Master!\I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me! response:	I didn't do anything, though.
context: Now then, I think everyone is here.\Master!\I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me!\I didn't do anything, though. response:	Levy and Gajeel passed through the peaceful route with good luck!
context: Master!\I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me!\I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck! response:	You're sayin' I got good luck?!
context: I will now announce the results, to date.\Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me!\I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?! response:	Gray and Loke defeated Mest and Wendy in battle, and passed through!
context: Cana and Lucy defeated Fried and Bickslow in battle, and passed through!\What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me!\I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through! response:	Did Juvia fail?
context: What?!\Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me!\I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail? response:	W-What, Gramps?
context: Natsu and Happy managed to get past Gildarts somehow, and passed through!\You've gotta be kiddin' me!\I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail?\W-What, Gramps? response:	Juvia and Lisanna hit upon... her.
context: You've gotta be kiddin' me!\I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail?\W-What, Gramps?\Juvia and Lisanna hit upon... her. response:	That female knight who knows not the meaning of holding back!
context: I didn't do anything, though.\Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail?\W-What, Gramps?\Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back! response:	The End.
context: Levy and Gajeel passed through the peaceful route with good luck!\You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail?\W-What, Gramps?\Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back!\The End. response:	We lose.
context: You're sayin' I got good luck?!\Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail?\W-What, Gramps?\Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back!\The End.\We lose. response:	Then all that's left is Elfman and Evergreen.
context: Gray and Loke defeated Mest and Wendy in battle, and passed through!\Did Juvia fail?\W-What, Gramps?\Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back!\The End.\We lose.\Then all that's left is Elfman and Evergreen. response:	But if we consider what's left, they must have taken the route...
context: Did Juvia fail?\W-What, Gramps?\Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back!\The End.\We lose.\Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route... response:	Mirajane...
context: W-What, Gramps?\Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back!\The End.\We lose.\Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route...\Mirajane... response:	Sucks to be them.
context: Juvia and Lisanna hit upon... her.\That female knight who knows not the meaning of holding back!\The End.\We lose.\Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route...\Mirajane...\Sucks to be them. response:	Well, I could still have won.
context: That female knight who knows not the meaning of holding back!\The End.\We lose.\Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route...\Mirajane...\Sucks to be them.\Well, I could still have won. response:	Hold it!
context: The End.\We lose.\Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route...\Mirajane...\Sucks to be them.\Well, I could still have won.\Hold it! response:	We beat Oneechan!
context: We lose.\Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route...\Mirajane...\Sucks to be them.\Well, I could still have won.\Hold it!\We beat Oneechan! response:	We've passed through the first test!
context: Then all that's left is Elfman and Evergreen.\But if we consider what's left, they must have taken the route...\Mirajane...\Sucks to be them.\Well, I could still have won.\Hold it!\We beat Oneechan!\We've passed through the first test! response:	Incredible!
context: But if we consider what's left, they must have taken the route...\Mirajane...\Sucks to be them.\Well, I could still have won.\Hold it!\We beat Oneechan!\We've passed through the first test!\Incredible! response:	How did you beat Mira?!
context: Mirajane...\Sucks to be them.\Well, I could still have won.\Hold it!\We beat Oneechan!\We've passed through the first test!\Incredible!\How did you beat Mira?! response:	I can't say... As a Man.
context: Sucks to be them.\Well, I could still have won.\Hold it!\We beat Oneechan!\We've passed through the first test!\Incredible!\How did you beat Mira?!\I can't say... As a Man. response:	Let's just say we managed to find an opening to slip through.
context: Well, I could still have won.\Hold it!\We beat Oneechan!\We've passed through the first test!\Incredible!\How did you beat Mira?!\I can't say... As a Man.\Let's just say we managed to find an opening to slip through. response:	What the heck did they do, I wonder?
context: Hold it!\We beat Oneechan!\We've passed through the first test!\Incredible!\How did you beat Mira?!\I can't say... As a Man.\Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder? response:	Natsu and Happy, Gray and Loke,
context: We beat Oneechan!\We've passed through the first test!\Incredible!\How did you beat Mira?!\I can't say... As a Man.\Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke, response:	Levy and Gajeel, Cana and Lucy,
context: We've passed through the first test!\Incredible!\How did you beat Mira?!\I can't say... As a Man.\Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy, response:	Elfman and Evergreen.
context: Incredible!\How did you beat Mira?!\I can't say... As a Man.\Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen. response:	Those five teams.
context: How did you beat Mira?!\I can't say... As a Man.\Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen.\Those five teams. response:	Now we will begin the second test!
context: I can't say... As a Man.\Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen.\Those five teams.\Now we will begin the second test! response:	Natsu, how long are you going to sulk?
context: Let's just say we managed to find an opening to slip through.\What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen.\Those five teams.\Now we will begin the second test!\Natsu, how long are you going to sulk? response:	No... Just thinking about something.
context: What the heck did they do, I wonder?\Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen.\Those five teams.\Now we will begin the second test!\Natsu, how long are you going to sulk?\No... Just thinking about something. response:	Natsu is! Thinking about! Something!
context: Natsu and Happy, Gray and Loke,\Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen.\Those five teams.\Now we will begin the second test!\Natsu, how long are you going to sulk?\No... Just thinking about something.\Natsu is! Thinking about! Something! response:	How little do you take him for?
context: Levy and Gajeel, Cana and Lucy,\Elfman and Evergreen.\Those five teams.\Now we will begin the second test!\Natsu, how long are you going to sulk?\No... Just thinking about something.\Natsu is! Thinking about! Something!\How little do you take him for? response:	Let's fight again sometime.
context: Elfman and Evergreen.\Those five teams.\Now we will begin the second test!\Natsu, how long are you going to sulk?\No... Just thinking about something.\Natsu is! Thinking about! Something!\How little do you take him for?\Let's fight again sometime. response:	Get out there and become an S Class wizard, Natsu.
context: Those five teams.\Now we will begin the second test!\Natsu, how long are you going to sulk?\No... Just thinking about something.\Natsu is! Thinking about! Something!\How little do you take him for?\Let's fight again sometime.\Get out there and become an S Class wizard, Natsu. response:	I hear you, Gildarts.
context: Now we will begin the second test!\Natsu, how long are you going to sulk?\No... Just thinking about something.\Natsu is! Thinking about! Something!\How little do you take him for?\Let's fight again sometime.\Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts. response:	Gray, Cana, Levy, Elfman!
context: Natsu, how long are you going to sulk?\No... Just thinking about something.\Natsu is! Thinking about! Something!\How little do you take him for?\Let's fight again sometime.\Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts.\Gray, Cana, Levy, Elfman! response:	Let's fight and see just who'll become an S Class wizard!
context: No... Just thinking about something.\Natsu is! Thinking about! Something!\How little do you take him for?\Let's fight again sometime.\Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts.\Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard! response:	You, especially, I ain't gonna lose to.
context: Natsu is! Thinking about! Something!\How little do you take him for?\Let's fight again sometime.\Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts.\Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to. response:	Neither will I.
context: How little do you take him for?\Let's fight again sometime.\Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts.\Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to.\Neither will I. response:	As a Man, I will take on that challenge!
context: Let's fight again sometime.\Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts.\Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to.\Neither will I.\As a Man, I will take on that challenge! response:	I'm gettin' fired up!
context: Get out there and become an S Class wizard, Natsu.\I hear you, Gildarts.\Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to.\Neither will I.\As a Man, I will take on that challenge!\I'm gettin' fired up! response:	Aye, sir!
context: I hear you, Gildarts.\Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to.\Neither will I.\As a Man, I will take on that challenge!\I'm gettin' fired up!\Aye, sir! response:	I'm gonna make Cana S Class, no matter what!
context: Gray, Cana, Levy, Elfman!\Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to.\Neither will I.\As a Man, I will take on that challenge!\I'm gettin' fired up!\Aye, sir!\I'm gonna make Cana S Class, no matter what! response:	Even if I'm fighting you, Lucy, I won't hold back.
context: Let's fight and see just who'll become an S Class wizard!\You, especially, I ain't gonna lose to.\Neither will I.\As a Man, I will take on that challenge!\I'm gettin' fired up!\Aye, sir!\I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back. response:	Keep barkin', strays.
context: You, especially, I ain't gonna lose to.\Neither will I.\As a Man, I will take on that challenge!\I'm gettin' fired up!\Aye, sir!\I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays. response:	Those who would be Men!
context: Neither will I.\As a Man, I will take on that challenge!\I'm gettin' fired up!\Aye, sir!\I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays.\Those who would be Men! response:	Elfman, get it together!
context: As a Man, I will take on that challenge!\I'm gettin' fired up!\Aye, sir!\I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays.\Those who would be Men!\Elfman, get it together! response:	Doesn't look good for those two.
context: I'm gettin' fired up!\Aye, sir!\I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays.\Those who would be Men!\Elfman, get it together!\Doesn't look good for those two. response:	Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!
context: Aye, sir!\I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays.\Those who would be Men!\Elfman, get it together!\Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam! response:	The second test is searching for the grave of Mavis, our founding Guild Master.
context: I'm gonna make Cana S Class, no matter what!\Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays.\Those who would be Men!\Elfman, get it together!\Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master. response:	Founding Guild Master?
context: Even if I'm fighting you, Lucy, I won't hold back.\Keep barkin', strays.\Those who would be Men!\Elfman, get it together!\Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master? response:	Mavis's grave...
context: Keep barkin', strays.\Those who would be Men!\Elfman, get it together!\Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master?\Mavis's grave... response:	Huh? That sounds easy!
context: Those who would be Men!\Elfman, get it together!\Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master?\Mavis's grave...\Huh? That sounds easy! response:	Aye!
context: Elfman, get it together!\Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master?\Mavis's grave...\Huh? That sounds easy!\Aye! response:	You have only 6 hours!
context: Doesn't look good for those two.\Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master?\Mavis's grave...\Huh? That sounds easy!\Aye!\You have only 6 hours! response:	Hear that? I said 6 hours.
context: Now then, I will announce the details for the second test of the S Class Wizard Advancement Exam!\The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master?\Mavis's grave...\Huh? That sounds easy!\Aye!\You have only 6 hours!\Hear that? I said 6 hours. response:	I'll be waiting at Mavis's grave.
context: The second test is searching for the grave of Mavis, our founding Guild Master.\Founding Guild Master?\Mavis's grave...\Huh? That sounds easy!\Aye!\You have only 6 hours!\Hear that? I said 6 hours.\I'll be waiting at Mavis's grave. response:	Righto! Let's go, Happy!
context: Founding Guild Master?\Mavis's grave...\Huh? That sounds easy!\Aye!\You have only 6 hours!\Hear that? I said 6 hours.\I'll be waiting at Mavis's grave.\Righto! Let's go, Happy! response:	Aye, sir!
context: Mavis's grave...\Huh? That sounds easy!\Aye!\You have only 6 hours!\Hear that? I said 6 hours.\I'll be waiting at Mavis's grave.\Righto! Let's go, Happy!\Aye, sir! response:	Around that time, Wendy...
context: Huh? That sounds easy!\Aye!\You have only 6 hours!\Hear that? I said 6 hours.\I'll be waiting at Mavis's grave.\Righto! Let's go, Happy!\Aye, sir!\Around that time, Wendy... response:	How long are you going to stay like that?
context: Aye!\You have only 6 hours!\Hear that? I said 6 hours.\I'll be waiting at Mavis's grave.\Righto! Let's go, Happy!\Aye, sir!\Around that time, Wendy...\How long are you going to stay like that? response:	Because... Because...
context: You have only 6 hours!\Hear that? I said 6 hours.\I'll be waiting at Mavis's grave.\Righto! Let's go, Happy!\Aye, sir!\Around that time, Wendy...\How long are you going to stay like that?\Because... Because... response:	So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?
context: Hear that? I said 6 hours.\I'll be waiting at Mavis's grave.\Righto! Let's go, Happy!\Aye, sir!\Around that time, Wendy...\How long are you going to stay like that?\Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground? response:	Because it's where its founding Guild Master, Mavis, rests.
context: I'll be waiting at Mavis's grave.\Righto! Let's go, Happy!\Aye, sir!\Around that time, Wendy...\How long are you going to stay like that?\Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests. response:	Right. But that's not all.
context: Righto! Let's go, Happy!\Aye, sir!\Around that time, Wendy...\How long are you going to stay like that?\Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all. response:	This island is usually hidden by a powerful barrier.
context: Aye, sir!\Around that time, Wendy...\How long are you going to stay like that?\Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all.\This island is usually hidden by a powerful barrier. response:	No matter what magic you use, you wouldn't be able to find it, I hear.
context: Around that time, Wendy...\How long are you going to stay like that?\Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all.\This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear. response:	And that's because there's more here than just Mavis's grave.
context: How long are you going to stay like that?\Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all.\This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave. response:	Apparently, a big secret relating to Fairy Tail is hidden on this island.
context: Because... Because...\So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all.\This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island. response:	What could that be?
context: So, Wendy... Do you know why this island is called Fairy Tail's Holy Ground?\Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all.\This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be? response:	Don't ask me.
context: Because it's where its founding Guild Master, Mavis, rests.\Right. But that's not all.\This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be?\Don't ask me. response:	How about it? Want to explore?
context: Right. But that's not all.\This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be?\Don't ask me.\How about it? Want to explore? response:	The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.
context: This island is usually hidden by a powerful barrier.\No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be?\Don't ask me.\How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world. response:	I heard that he would put everyone to sleep so as not to show his face in the guild.
context: No matter what magic you use, you wouldn't be able to find it, I hear.\And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be?\Don't ask me.\How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild. response:	It's difficult for me to think he'd take on a disciple.
context: And that's because there's more here than just Mavis's grave.\Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be?\Don't ask me.\How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple. response:	What are you trying to say?
context: Apparently, a big secret relating to Fairy Tail is hidden on this island.\What could that be?\Don't ask me.\How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple.\What are you trying to say? response:	It's a pretty out-there hypothesis, however...
context: What could that be?\Don't ask me.\How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple.\What are you trying to say?\It's a pretty out-there hypothesis, however... response:	What a pretty place!
context: Don't ask me.\How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple.\What are you trying to say?\It's a pretty out-there hypothesis, however...\What a pretty place! response:	Be careful.
context: How about it? Want to explore?\The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple.\What are you trying to say?\It's a pretty out-there hypothesis, however...\What a pretty place!\Be careful. response:	Is Mest really a member of the guild?
context: The Prince... I mean, Mystogan, tried to avoid contact with the people of this world.\I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple.\What are you trying to say?\It's a pretty out-there hypothesis, however...\What a pretty place!\Be careful.\Is Mest really a member of the guild? response:	What's this?!
context: I heard that he would put everyone to sleep so as not to show his face in the guild.\It's difficult for me to think he'd take on a disciple.\What are you trying to say?\It's a pretty out-there hypothesis, however...\What a pretty place!\Be careful.\Is Mest really a member of the guild?\What's this?! response:	Hurry, Lucy!
context: It's difficult for me to think he'd take on a disciple.\What are you trying to say?\It's a pretty out-there hypothesis, however...\What a pretty place!\Be careful.\Is Mest really a member of the guild?\What's this?!\Hurry, Lucy! response:	This island is nuts...
