context: Nanami-sama and the chief, response:	and the serious battle between the Princess and Rebecca-sama!
context: The only ones at our house are Kanata and myself,\so please stay as long as you wish.\Here you go, Princess.\Thank you!\Yukikaze's tail pillow!\It's just as fluffy and soft as I remember!\Sink, want to try it, too?\It's really fluffy! response:	Uh, I guess I'll try later.
context: so please stay as long as you wish.\Here you go, Princess.\Thank you!\Yukikaze's tail pillow!\It's just as fluffy and soft as I remember!\Sink, want to try it, too?\It's really fluffy!\Uh, I guess I'll try later. response:	Here you go.
context: Here you go, Princess.\Thank you!\Yukikaze's tail pillow!\It's just as fluffy and soft as I remember!\Sink, want to try it, too?\It's really fluffy!\Uh, I guess I'll try later.\Here you go. response:	Thank you!
context: Thank you!\Yukikaze's tail pillow!\It's just as fluffy and soft as I remember!\Sink, want to try it, too?\It's really fluffy!\Uh, I guess I'll try later.\Here you go.\Thank you! response:	You two really get along well.
context: Yukikaze's tail pillow!\It's just as fluffy and soft as I remember!\Sink, want to try it, too?\It's really fluffy!\Uh, I guess I'll try later.\Here you go.\Thank you!\You two really get along well. response:	She played with me a lot when I was smaller.
context: It's just as fluffy and soft as I remember!\Sink, want to try it, too?\It's really fluffy!\Uh, I guess I'll try later.\Here you go.\Thank you!\You two really get along well.\She played with me a lot when I was smaller. response:	No no, you were the one who took care of me.
context: Sink, want to try it, too?\It's really fluffy!\Uh, I guess I'll try later.\Here you go.\Thank you!\You two really get along well.\She played with me a lot when I was smaller.\No no, you were the one who took care of me. response:	When you were young, I was a tiny thing, too.
context: It's really fluffy!\Uh, I guess I'll try later.\Here you go.\Thank you!\You two really get along well.\She played with me a lot when I was smaller.\No no, you were the one who took care of me.\When you were young, I was a tiny thing, too. response:	Oh, really?
context: Uh, I guess I'll try later.\Here you go.\Thank you!\You two really get along well.\She played with me a lot when I was smaller.\No no, you were the one who took care of me.\When you were young, I was a tiny thing, too.\Oh, really? response:	Right, Kanata-san?
context: Here you go.\Thank you!\You two really get along well.\She played with me a lot when I was smaller.\No no, you were the one who took care of me.\When you were young, I was a tiny thing, too.\Oh, really?\Right, Kanata-san? response:	Yes, you're right.
context: Thank you!\You two really get along well.\She played with me a lot when I was smaller.\No no, you were the one who took care of me.\When you were young, I was a tiny thing, too.\Oh, really?\Right, Kanata-san?\Yes, you're right. response:	I suspect that it's thanks to the Princess and
context: You two really get along well.\She played with me a lot when I was smaller.\No no, you were the one who took care of me.\When you were young, I was a tiny thing, too.\Oh, really?\Right, Kanata-san?\Yes, you're right.\I suspect that it's thanks to the Princess and response:	Ecle and the others that Yuki-chan
context: She played with me a lot when I was smaller.\No no, you were the one who took care of me.\When you were young, I was a tiny thing, too.\Oh, really?\Right, Kanata-san?\Yes, you're right.\I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan response:	grew into what she is now.
context: No no, you were the one who took care of me.\When you were young, I was a tiny thing, too.\Oh, really?\Right, Kanata-san?\Yes, you're right.\I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan\grew into what she is now. response:	Normally local gods grow bigger when their god rank
context: When you were young, I was a tiny thing, too.\Oh, really?\Right, Kanata-san?\Yes, you're right.\I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan\grew into what she is now.\Normally local gods grow bigger when their god rank response:	goes up after they've done enough virtuous deeds.
context: Oh, really?\Right, Kanata-san?\Yes, you're right.\I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan\grew into what she is now.\Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds. response:	From the time the lady picked me up
context: Right, Kanata-san?\Yes, you're right.\I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan\grew into what she is now.\Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds.\From the time the lady picked me up response:	until very recently, I was always a tiny thing...
context: Yes, you're right.\I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan\grew into what she is now.\Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds.\From the time the lady picked me up\until very recently, I was always a tiny thing... response:	There was even a time
context: I suspect that it's thanks to the Princess and\Ecle and the others that Yuki-chan\grew into what she is now.\Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds.\From the time the lady picked me up\until very recently, I was always a tiny thing...\There was even a time response:	when you were smaller than Ecle or myself.
context: Ecle and the others that Yuki-chan\grew into what she is now.\Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds.\From the time the lady picked me up\until very recently, I was always a tiny thing...\There was even a time\when you were smaller than Ecle or myself. response:	Yes, but I guess seeing you get bigger each day
context: grew into what she is now.\Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds.\From the time the lady picked me up\until very recently, I was always a tiny thing...\There was even a time\when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day response:	made me want to be bigger, too.
context: Normally local gods grow bigger when their god rank\goes up after they've done enough virtuous deeds.\From the time the lady picked me up\until very recently, I was always a tiny thing...\There was even a time\when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day\made me want to be bigger, too. response:	So I trained really hard
context: goes up after they've done enough virtuous deeds.\From the time the lady picked me up\until very recently, I was always a tiny thing...\There was even a time\when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day\made me want to be bigger, too.\So I trained really hard response:	and when I realized what had happened,
context: From the time the lady picked me up\until very recently, I was always a tiny thing...\There was even a time\when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day\made me want to be bigger, too.\So I trained really hard\and when I realized what had happened, response:	I was this big.
context: until very recently, I was always a tiny thing...\There was even a time\when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day\made me want to be bigger, too.\So I trained really hard\and when I realized what had happened,\I was this big. response:	It was hard to keep her clothed
context: There was even a time\when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day\made me want to be bigger, too.\So I trained really hard\and when I realized what had happened,\I was this big.\It was hard to keep her clothed response:	because she grew so quickly!
context: when you were smaller than Ecle or myself.\Yes, but I guess seeing you get bigger each day\made me want to be bigger, too.\So I trained really hard\and when I realized what had happened,\I was this big.\It was hard to keep her clothed\because she grew so quickly! response:	But I really think I won't get any taller than this.
context: Yes, but I guess seeing you get bigger each day\made me want to be bigger, too.\So I trained really hard\and when I realized what had happened,\I was this big.\It was hard to keep her clothed\because she grew so quickly!\But I really think I won't get any taller than this. response:	Thank you for the meal!
context: made me want to be bigger, too.\So I trained really hard\and when I realized what had happened,\I was this big.\It was hard to keep her clothed\because she grew so quickly!\But I really think I won't get any taller than this.\Thank you for the meal! response:	Uh, Princess?
context: So I trained really hard\and when I realized what had happened,\I was this big.\It was hard to keep her clothed\because she grew so quickly!\But I really think I won't get any taller than this.\Thank you for the meal!\Uh, Princess? response:	Did something happen?
context: and when I realized what had happened,\I was this big.\It was hard to keep her clothed\because she grew so quickly!\But I really think I won't get any taller than this.\Thank you for the meal!\Uh, Princess?\Did something happen? response:	No, I just saw something on the ground...
context: I was this big.\It was hard to keep her clothed\because she grew so quickly!\But I really think I won't get any taller than this.\Thank you for the meal!\Uh, Princess?\Did something happen?\No, I just saw something on the ground... response:	See, this.
context: It was hard to keep her clothed\because she grew so quickly!\But I really think I won't get any taller than this.\Thank you for the meal!\Uh, Princess?\Did something happen?\No, I just saw something on the ground...\See, this. response:	A jewel? Or egg?
context: because she grew so quickly!\But I really think I won't get any taller than this.\Thank you for the meal!\Uh, Princess?\Did something happen?\No, I just saw something on the ground...\See, this.\A jewel? Or egg? response:	I've never seen that before.
context: But I really think I won't get any taller than this.\Thank you for the meal!\Uh, Princess?\Did something happen?\No, I just saw something on the ground...\See, this.\A jewel? Or egg?\I've never seen that before. response:	Does it belong to Isuka-san or Adel-sama?
context: Thank you for the meal!\Uh, Princess?\Did something happen?\No, I just saw something on the ground...\See, this.\A jewel? Or egg?\I've never seen that before.\Does it belong to Isuka-san or Adel-sama? response:	Princess! Yuki-chan! Hero!
context: Uh, Princess?\Did something happen?\No, I just saw something on the ground...\See, this.\A jewel? Or egg?\I've never seen that before.\Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero! response:	An... animal?
context: Did something happen?\No, I just saw something on the ground...\See, this.\A jewel? Or egg?\I've never seen that before.\Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero!\An... animal? response:	A local god?
context: No, I just saw something on the ground...\See, this.\A jewel? Or egg?\I've never seen that before.\Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero!\An... animal?\A local god? response:	Are you all okay?!
context: See, this.\A jewel? Or egg?\I've never seen that before.\Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero!\An... animal?\A local god?\Are you all okay?! response:	What happened?
context: A jewel? Or egg?\I've never seen that before.\Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero!\An... animal?\A local god?\Are you all okay?!\What happened? response:	Uh, Hero?
context: I've never seen that before.\Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero!\An... animal?\A local god?\Are you all okay?!\What happened?\Uh, Hero? response:	Yes?
context: Does it belong to Isuka-san or Adel-sama?\Princess! Yuki-chan! Hero!\An... animal?\A local god?\Are you all okay?!\What happened?\Uh, Hero?\Yes? response:	Huh? No, I didn't mean you, Yuki-chan.
context: Princess! Yuki-chan! Hero!\An... animal?\A local god?\Are you all okay?!\What happened?\Uh, Hero?\Yes?\Huh? No, I didn't mean you, Yuki-chan. response:	No, I'm over here.
context: An... animal?\A local god?\Are you all okay?!\What happened?\Uh, Hero?\Yes?\Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here. response:	Why am I over there?!
context: A local god?\Are you all okay?!\What happened?\Uh, Hero?\Yes?\Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here.\Why am I over there?! response:	This is...
context: Are you all okay?!\What happened?\Uh, Hero?\Yes?\Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here.\Why am I over there?!\This is... response:	Y-Yukki...
context: What happened?\Uh, Hero?\Yes?\Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here.\Why am I over there?!\This is...\Y-Yukki... response:	I am over there, this is the Princess' body...
context: Uh, Hero?\Yes?\Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here.\Why am I over there?!\This is...\Y-Yukki...\I am over there, this is the Princess' body... response:	I am Sink...
context: Yes?\Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here.\Why am I over there?!\This is...\Y-Yukki...\I am over there, this is the Princess' body...\I am Sink... response:	And the Princess is me, Yukikaze...
context: Huh? No, I didn't mean you, Yuki-chan.\No, I'm over here.\Why am I over there?!\This is...\Y-Yukki...\I am over there, this is the Princess' body...\I am Sink...\And the Princess is me, Yukikaze... response:	We got switched around...
context: No, I'm over here.\Why am I over there?!\This is...\Y-Yukki...\I am over there, this is the Princess' body...\I am Sink...\And the Princess is me, Yukikaze...\We got switched around... response:	Could it be?
context: Why am I over there?!\This is...\Y-Yukki...\I am over there, this is the Princess' body...\I am Sink...\And the Princess is me, Yukikaze...\We got switched around...\Could it be? response:	Princess?
context: This is...\Y-Yukki...\I am over there, this is the Princess' body...\I am Sink...\And the Princess is me, Yukikaze...\We got switched around...\Could it be?\Princess? response:	Th-then who's inside the Hero who just left?
context: Y-Yukki...\I am over there, this is the Princess' body...\I am Sink...\And the Princess is me, Yukikaze...\We got switched around...\Could it be?\Princess?\Th-then who's inside the Hero who just left? response:	Probably what was in this little thing before...
context: I am over there, this is the Princess' body...\I am Sink...\And the Princess is me, Yukikaze...\We got switched around...\Could it be?\Princess?\Th-then who's inside the Hero who just left?\Probably what was in this little thing before... response:	We'll have to catch it quickly!
context: I am Sink...\And the Princess is me, Yukikaze...\We got switched around...\Could it be?\Princess?\Th-then who's inside the Hero who just left?\Probably what was in this little thing before...\We'll have to catch it quickly! response:	Let's call for help! Brave Connect On!
context: And the Princess is me, Yukikaze...\We got switched around...\Could it be?\Princess?\Th-then who's inside the Hero who just left?\Probably what was in this little thing before...\We'll have to catch it quickly!\Let's call for help! Brave Connect On! response:	It won't work...
context: We got switched around...\Could it be?\Princess?\Th-then who's inside the Hero who just left?\Probably what was in this little thing before...\We'll have to catch it quickly!\Let's call for help! Brave Connect On!\It won't work... response:	I see, it makes sense that our moves
context: Could it be?\Princess?\Th-then who's inside the Hero who just left?\Probably what was in this little thing before...\We'll have to catch it quickly!\Let's call for help! Brave Connect On!\It won't work...\I see, it makes sense that our moves response:	won't work with a different body.
context: Princess?\Th-then who's inside the Hero who just left?\Probably what was in this little thing before...\We'll have to catch it quickly!\Let's call for help! Brave Connect On!\It won't work...\I see, it makes sense that our moves\won't work with a different body. response:	Sink, we'll have to chase the escaped Sink!
context: Th-then who's inside the Hero who just left?\Probably what was in this little thing before...\We'll have to catch it quickly!\Let's call for help! Brave Connect On!\It won't work...\I see, it makes sense that our moves\won't work with a different body.\Sink, we'll have to chase the escaped Sink! response:	All right, Princes- I mean Yukki!
context: Probably what was in this little thing before...\We'll have to catch it quickly!\Let's call for help! Brave Connect On!\It won't work...\I see, it makes sense that our moves\won't work with a different body.\Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki! response:	But you can't run around like that.
context: We'll have to catch it quickly!\Let's call for help! Brave Connect On!\It won't work...\I see, it makes sense that our moves\won't work with a different body.\Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki!\But you can't run around like that. response:	I'll get my clothes- whoa?!
context: Let's call for help! Brave Connect On!\It won't work...\I see, it makes sense that our moves\won't work with a different body.\Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki!\But you can't run around like that.\I'll get my clothes- whoa?! response:	My legs won't move like I want them to...
context: It won't work...\I see, it makes sense that our moves\won't work with a different body.\Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki!\But you can't run around like that.\I'll get my clothes- whoa?!\My legs won't move like I want them to... response:	Princ- Yukki!
context: I see, it makes sense that our moves\won't work with a different body.\Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki!\But you can't run around like that.\I'll get my clothes- whoa?!\My legs won't move like I want them to...\Princ- Yukki! response:	All done.
context: won't work with a different body.\Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki!\But you can't run around like that.\I'll get my clothes- whoa?!\My legs won't move like I want them to...\Princ- Yukki!\All done. response:	I will hurry and find myself!
context: Sink, we'll have to chase the escaped Sink!\All right, Princes- I mean Yukki!\But you can't run around like that.\I'll get my clothes- whoa?!\My legs won't move like I want them to...\Princ- Yukki!\All done.\I will hurry and find myself! response:	Yukki, you keep the Princess' body safe!
context: All right, Princes- I mean Yukki!\But you can't run around like that.\I'll get my clothes- whoa?!\My legs won't move like I want them to...\Princ- Yukki!\All done.\I will hurry and find myself!\Yukki, you keep the Princess' body safe! response:	Roger.
context: But you can't run around like that.\I'll get my clothes- whoa?!\My legs won't move like I want them to...\Princ- Yukki!\All done.\I will hurry and find myself!\Yukki, you keep the Princess' body safe!\Roger. response:	I'll make sure to treat Yukki's body carefully!
context: I'll get my clothes- whoa?!\My legs won't move like I want them to...\Princ- Yukki!\All done.\I will hurry and find myself!\Yukki, you keep the Princess' body safe!\Roger.\I'll make sure to treat Yukki's body carefully! response:	But still, we can't just leave it all to Sink alone.
context: My legs won't move like I want them to...\Princ- Yukki!\All done.\I will hurry and find myself!\Yukki, you keep the Princess' body safe!\Roger.\I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone. response:	Don't worry Prince- Yuki-chan.
context: Princ- Yukki!\All done.\I will hurry and find myself!\Yukki, you keep the Princess' body safe!\Roger.\I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan. response:	The Secret Squad's already on the hunt.
context: All done.\I will hurry and find myself!\Yukki, you keep the Princess' body safe!\Roger.\I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt. response:	I jumped too far!
context: I will hurry and find myself!\Yukki, you keep the Princess' body safe!\Roger.\I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt.\I jumped too far! response:	I have to remember how Yukki runs and moves.
context: Yukki, you keep the Princess' body safe!\Roger.\I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt.\I jumped too far!\I have to remember how Yukki runs and moves. response:	That's the sign to meet up!
context: Roger.\I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt.\I jumped too far!\I have to remember how Yukki runs and moves.\That's the sign to meet up! response:	Princess, Yukki!
context: I'll make sure to treat Yukki's body carefully!\But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt.\I jumped too far!\I have to remember how Yukki runs and moves.\That's the sign to meet up!\Princess, Yukki! response:	Sink!
context: But still, we can't just leave it all to Sink alone.\Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt.\I jumped too far!\I have to remember how Yukki runs and moves.\That's the sign to meet up!\Princess, Yukki!\Sink! response:	We found out where your body is.
context: Don't worry Prince- Yuki-chan.\The Secret Squad's already on the hunt.\I jumped too far!\I have to remember how Yukki runs and moves.\That's the sign to meet up!\Princess, Yukki!\Sink!\We found out where your body is. response:	Really?
context: The Secret Squad's already on the hunt.\I jumped too far!\I have to remember how Yukki runs and moves.\That's the sign to meet up!\Princess, Yukki!\Sink!\We found out where your body is.\Really? response:	It's through the eastern path, by the the old pine tree.
context: I jumped too far!\I have to remember how Yukki runs and moves.\That's the sign to meet up!\Princess, Yukki!\Sink!\We found out where your body is.\Really?\It's through the eastern path, by the the old pine tree. response:	The Secret Squad's got it surrounded,
context: I have to remember how Yukki runs and moves.\That's the sign to meet up!\Princess, Yukki!\Sink!\We found out where your body is.\Really?\It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded, response:	but then it climbed up the tree...
context: That's the sign to meet up!\Princess, Yukki!\Sink!\We found out where your body is.\Really?\It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded,\but then it climbed up the tree... response:	Nice work Secret Squad!
context: Princess, Yukki!\Sink!\We found out where your body is.\Really?\It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded,\but then it climbed up the tree...\Nice work Secret Squad! response:	Then we can catch it right away!
context: Sink!\We found out where your body is.\Really?\It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded,\but then it climbed up the tree...\Nice work Secret Squad!\Then we can catch it right away! response:	Can you do it?
context: We found out where your body is.\Really?\It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded,\but then it climbed up the tree...\Nice work Secret Squad!\Then we can catch it right away!\Can you do it? response:	Yes! Let's catch it with teamwork!
context: Really?\It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded,\but then it climbed up the tree...\Nice work Secret Squad!\Then we can catch it right away!\Can you do it?\Yes! Let's catch it with teamwork! response:	Yup!
context: It's through the eastern path, by the the old pine tree.\The Secret Squad's got it surrounded,\but then it climbed up the tree...\Nice work Secret Squad!\Then we can catch it right away!\Can you do it?\Yes! Let's catch it with teamwork!\Yup! response:	Hero Style Ninja Art - Lightning Blossom!
context: The Secret Squad's got it surrounded,\but then it climbed up the tree...\Nice work Secret Squad!\Then we can catch it right away!\Can you do it?\Yes! Let's catch it with teamwork!\Yup!\Hero Style Ninja Art - Lightning Blossom! response:	Holy Ray!
context: but then it climbed up the tree...\Nice work Secret Squad!\Then we can catch it right away!\Can you do it?\Yes! Let's catch it with teamwork!\Yup!\Hero Style Ninja Art - Lightning Blossom!\Holy Ray! response:	There!
context: Nice work Secret Squad!\Then we can catch it right away!\Can you do it?\Yes! Let's catch it with teamwork!\Yup!\Hero Style Ninja Art - Lightning Blossom!\Holy Ray!\There! response:	Hero Kick!
context: Then we can catch it right away!\Can you do it?\Yes! Let's catch it with teamwork!\Yup!\Hero Style Ninja Art - Lightning Blossom!\Holy Ray!\There!\Hero Kick! response:	Prince- Yuki-chan!
context: Can you do it?\Yes! Let's catch it with teamwork!\Yup!\Hero Style Ninja Art - Lightning Blossom!\Holy Ray!\There!\Hero Kick!\Prince- Yuki-chan! response:	Why you...
context: Yes! Let's catch it with teamwork!\Yup!\Hero Style Ninja Art - Lightning Blossom!\Holy Ray!\There!\Hero Kick!\Prince- Yuki-chan!\Why you... response:	Braze Drive - Hurricane!
context: Yup!\Hero Style Ninja Art - Lightning Blossom!\Holy Ray!\There!\Hero Kick!\Prince- Yuki-chan!\Why you...\Braze Drive - Hurricane! response:	Justice is served!
context: Hero Style Ninja Art - Lightning Blossom!\Holy Ray!\There!\Hero Kick!\Prince- Yuki-chan!\Why you...\Braze Drive - Hurricane!\Justice is served! response:	Princess, Yukki, Kanata-san. Are you all right?
context: Holy Ray!\There!\Hero Kick!\Prince- Yuki-chan!\Why you...\Braze Drive - Hurricane!\Justice is served!\Princess, Yukki, Kanata-san. Are you all right? response:	Y-Yes.
context: There!\Hero Kick!\Prince- Yuki-chan!\Why you...\Braze Drive - Hurricane!\Justice is served!\Princess, Yukki, Kanata-san. Are you all right?\Y-Yes. response:	Sink, well done!
context: Hero Kick!\Prince- Yuki-chan!\Why you...\Braze Drive - Hurricane!\Justice is served!\Princess, Yukki, Kanata-san. Are you all right?\Y-Yes.\Sink, well done! response:	Don't tell me it's happening again...
context: Prince- Yuki-chan!\Why you...\Braze Drive - Hurricane!\Justice is served!\Princess, Yukki, Kanata-san. Are you all right?\Y-Yes.\Sink, well done!\Don't tell me it's happening again... response:	Let's confirm.
context: Why you...\Braze Drive - Hurricane!\Justice is served!\Princess, Yukki, Kanata-san. Are you all right?\Y-Yes.\Sink, well done!\Don't tell me it's happening again...\Let's confirm. response:	I'm still Sink in Yukki.
context: Braze Drive - Hurricane!\Justice is served!\Princess, Yukki, Kanata-san. Are you all right?\Y-Yes.\Sink, well done!\Don't tell me it's happening again...\Let's confirm.\I'm still Sink in Yukki. response:	I'm Millihiore. I'm back.
context: Justice is served!\Princess, Yukki, Kanata-san. Are you all right?\Y-Yes.\Sink, well done!\Don't tell me it's happening again...\Let's confirm.\I'm still Sink in Yukki.\I'm Millihiore. I'm back. response:	Inside Sink is me indeed.
context: Princess, Yukki, Kanata-san. Are you all right?\Y-Yes.\Sink, well done!\Don't tell me it's happening again...\Let's confirm.\I'm still Sink in Yukki.\I'm Millihiore. I'm back.\Inside Sink is me indeed. response:	That means...
context: Y-Yes.\Sink, well done!\Don't tell me it's happening again...\Let's confirm.\I'm still Sink in Yukki.\I'm Millihiore. I'm back.\Inside Sink is me indeed.\That means... response:	The monster and the Princess are back in
context: Sink, well done!\Don't tell me it's happening again...\Let's confirm.\I'm still Sink in Yukki.\I'm Millihiore. I'm back.\Inside Sink is me indeed.\That means...\The monster and the Princess are back in response:	their own bodies while Yukki and myself are switched?
context: Don't tell me it's happening again...\Let's confirm.\I'm still Sink in Yukki.\I'm Millihiore. I'm back.\Inside Sink is me indeed.\That means...\The monster and the Princess are back in\their own bodies while Yukki and myself are switched? response:	That's all thanks to your quick judgment.
context: Let's confirm.\I'm still Sink in Yukki.\I'm Millihiore. I'm back.\Inside Sink is me indeed.\That means...\The monster and the Princess are back in\their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment. response:	Nicely done.
context: I'm still Sink in Yukki.\I'm Millihiore. I'm back.\Inside Sink is me indeed.\That means...\The monster and the Princess are back in\their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment.\Nicely done. response:	It would have been nice if you two could
context: I'm Millihiore. I'm back.\Inside Sink is me indeed.\That means...\The monster and the Princess are back in\their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment.\Nicely done.\It would have been nice if you two could response:	have returned to normal as well.
context: Inside Sink is me indeed.\That means...\The monster and the Princess are back in\their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment.\Nicely done.\It would have been nice if you two could\have returned to normal as well. response:	I remembered that Sink was holding
context: That means...\The monster and the Princess are back in\their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment.\Nicely done.\It would have been nice if you two could\have returned to normal as well.\I remembered that Sink was holding response:	that jewel when we first got switched.
context: The monster and the Princess are back in\their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment.\Nicely done.\It would have been nice if you two could\have returned to normal as well.\I remembered that Sink was holding\that jewel when we first got switched. response:	So I thought that this little guy maybe
context: their own bodies while Yukki and myself are switched?\That's all thanks to your quick judgment.\Nicely done.\It would have been nice if you two could\have returned to normal as well.\I remembered that Sink was holding\that jewel when we first got switched.\So I thought that this little guy maybe response:	switches bodies with the one closest to it.
context: That's all thanks to your quick judgment.\Nicely done.\It would have been nice if you two could\have returned to normal as well.\I remembered that Sink was holding\that jewel when we first got switched.\So I thought that this little guy maybe\switches bodies with the one closest to it. response:	And when that happens,
context: Nicely done.\It would have been nice if you two could\have returned to normal as well.\I remembered that Sink was holding\that jewel when we first got switched.\So I thought that this little guy maybe\switches bodies with the one closest to it.\And when that happens, response:	those who are close to it also get switched.
context: It would have been nice if you two could\have returned to normal as well.\I remembered that Sink was holding\that jewel when we first got switched.\So I thought that this little guy maybe\switches bodies with the one closest to it.\And when that happens,\those who are close to it also get switched. response:	Yes, probably.
context: have returned to normal as well.\I remembered that Sink was holding\that jewel when we first got switched.\So I thought that this little guy maybe\switches bodies with the one closest to it.\And when that happens,\those who are close to it also get switched.\Yes, probably. response:	But I'm glad that at least the
context: I remembered that Sink was holding\that jewel when we first got switched.\So I thought that this little guy maybe\switches bodies with the one closest to it.\And when that happens,\those who are close to it also get switched.\Yes, probably.\But I'm glad that at least the response:	Princess was able to get her body back.
context: that jewel when we first got switched.\So I thought that this little guy maybe\switches bodies with the one closest to it.\And when that happens,\those who are close to it also get switched.\Yes, probably.\But I'm glad that at least the\Princess was able to get her body back. response:	Let's quickly find a way to get Sink and
context: So I thought that this little guy maybe\switches bodies with the one closest to it.\And when that happens,\those who are close to it also get switched.\Yes, probably.\But I'm glad that at least the\Princess was able to get her body back.\Let's quickly find a way to get Sink and response:	Yukikaze back to normal.
context: switches bodies with the one closest to it.\And when that happens,\those who are close to it also get switched.\Yes, probably.\But I'm glad that at least the\Princess was able to get her body back.\Let's quickly find a way to get Sink and\Yukikaze back to normal. response:	Yeah.
context: And when that happens,\those who are close to it also get switched.\Yes, probably.\But I'm glad that at least the\Princess was able to get her body back.\Let's quickly find a way to get Sink and\Yukikaze back to normal.\Yeah. response:	Yukki, can you try using the Brave Connect?
context: those who are close to it also get switched.\Yes, probably.\But I'm glad that at least the\Princess was able to get her body back.\Let's quickly find a way to get Sink and\Yukikaze back to normal.\Yeah.\Yukki, can you try using the Brave Connect? response:	I'll try.
context: Yes, probably.\But I'm glad that at least the\Princess was able to get her body back.\Let's quickly find a way to get Sink and\Yukikaze back to normal.\Yeah.\Yukki, can you try using the Brave Connect?\I'll try. response:	Brave Connect On!
context: But I'm glad that at least the\Princess was able to get her body back.\Let's quickly find a way to get Sink and\Yukikaze back to normal.\Yeah.\Yukki, can you try using the Brave Connect?\I'll try.\Brave Connect On! response:	I-I'm sorry!
context: Princess was able to get her body back.\Let's quickly find a way to get Sink and\Yukikaze back to normal.\Yeah.\Yukki, can you try using the Brave Connect?\I'll try.\Brave Connect On!\I-I'm sorry! response:	I forgot that thing there.
context: Let's quickly find a way to get Sink and\Yukikaze back to normal.\Yeah.\Yukki, can you try using the Brave Connect?\I'll try.\Brave Connect On!\I-I'm sorry!\I forgot that thing there. response:	That little one isn't a monster, but a sprite.
