context: Closed today for my daughter's culture fair -Kokageya response:	It's raining.
context: By the time the dismissal procedure is over,\the culture fair will be long finished.\The vocal club and the wind instrument club will be\your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have\been practicing it recently.\Is it all right to use this? response:	Yes!
context: the culture fair will be long finished.\The vocal club and the wind instrument club will be\your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have\been practicing it recently.\Is it all right to use this?\Yes! response:	Miyamoto-san.
context: The vocal club and the wind instrument club will be\your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have\been practicing it recently.\Is it all right to use this?\Yes!\Miyamoto-san. response:	Would you let me conduct
context: your main pillars of support from the music school.\This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have\been practicing it recently.\Is it all right to use this?\Yes!\Miyamoto-san.\Would you let me conduct response:	this stage you've set up?
context: This is the sheet music for the chorus and the accompaniment.\The vocal club and the wind instrument club have\been practicing it recently.\Is it all right to use this?\Yes!\Miyamoto-san.\Would you let me conduct\this stage you've set up? response:	Of course! We'd love that!
context: The vocal club and the wind instrument club have\been practicing it recently.\Is it all right to use this?\Yes!\Miyamoto-san.\Would you let me conduct\this stage you've set up?\Of course! We'd love that! response:	I said enough!
context: been practicing it recently.\Is it all right to use this?\Yes!\Miyamoto-san.\Would you let me conduct\this stage you've set up?\Of course! We'd love that!\I said enough! response:	I have no intention of unlocking the school gate or the gym.
context: Is it all right to use this?\Yes!\Miyamoto-san.\Would you let me conduct\this stage you've set up?\Of course! We'd love that!\I said enough!\I have no intention of unlocking the school gate or the gym. response:	I sent the security guards at the parking lot away.
context: Yes!\Miyamoto-san.\Would you let me conduct\this stage you've set up?\Of course! We'd love that!\I said enough!\I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away. response:	We will guide the guests inside from there.
context: Miyamoto-san.\Would you let me conduct\this stage you've set up?\Of course! We'd love that!\I said enough!\I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away.\We will guide the guests inside from there. response:	What about the stage?
context: Would you let me conduct\this stage you've set up?\Of course! We'd love that!\I said enough!\I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away.\We will guide the guests inside from there.\What about the stage? response:	The rain has stopped.
context: this stage you've set up?\Of course! We'd love that!\I said enough!\I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away.\We will guide the guests inside from there.\What about the stage?\The rain has stopped. response:	This is so stupid.
context: Of course! We'd love that!\I said enough!\I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away.\We will guide the guests inside from there.\What about the stage?\The rain has stopped.\This is so stupid. response:	It's not like anyone will come.
context: I said enough!\I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away.\We will guide the guests inside from there.\What about the stage?\The rain has stopped.\This is so stupid.\It's not like anyone will come. response:	Oh, looks like I'm early.
context: I have no intention of unlocking the school gate or the gym.\I sent the security guards at the parking lot away.\We will guide the guests inside from there.\What about the stage?\The rain has stopped.\This is so stupid.\It's not like anyone will come.\Oh, looks like I'm early. response:	This is the place, right?
context: I sent the security guards at the parking lot away.\We will guide the guests inside from there.\What about the stage?\The rain has stopped.\This is so stupid.\It's not like anyone will come.\Oh, looks like I'm early.\This is the place, right? response:	For the White Festival?
context: We will guide the guests inside from there.\What about the stage?\The rain has stopped.\This is so stupid.\It's not like anyone will come.\Oh, looks like I'm early.\This is the place, right?\For the White Festival? response:	Watermelon, watermelon!
context: What about the stage?\The rain has stopped.\This is so stupid.\It's not like anyone will come.\Oh, looks like I'm early.\This is the place, right?\For the White Festival?\Watermelon, watermelon! response:	Yeah!
context: The rain has stopped.\This is so stupid.\It's not like anyone will come.\Oh, looks like I'm early.\This is the place, right?\For the White Festival?\Watermelon, watermelon!\Yeah! response:	We're not the first ones here.
context: This is so stupid.\It's not like anyone will come.\Oh, looks like I'm early.\This is the place, right?\For the White Festival?\Watermelon, watermelon!\Yeah!\We're not the first ones here. response:	It doesn't matter.
context: It's not like anyone will come.\Oh, looks like I'm early.\This is the place, right?\For the White Festival?\Watermelon, watermelon!\Yeah!\We're not the first ones here.\It doesn't matter. response:	You better sing well.
context: Oh, looks like I'm early.\This is the place, right?\For the White Festival?\Watermelon, watermelon!\Yeah!\We're not the first ones here.\It doesn't matter.\You better sing well. response:	He's like a mini Konatsu!
context: This is the place, right?\For the White Festival?\Watermelon, watermelon!\Yeah!\We're not the first ones here.\It doesn't matter.\You better sing well.\He's like a mini Konatsu! response:	Pardon me?
context: For the White Festival?\Watermelon, watermelon!\Yeah!\We're not the first ones here.\It doesn't matter.\You better sing well.\He's like a mini Konatsu!\Pardon me? response:	You're way too early!
context: Watermelon, watermelon!\Yeah!\We're not the first ones here.\It doesn't matter.\You better sing well.\He's like a mini Konatsu!\Pardon me?\You're way too early! response:	Ridiculous. We're leaving.
context: Yeah!\We're not the first ones here.\It doesn't matter.\You better sing well.\He's like a mini Konatsu!\Pardon me?\You're way too early!\Ridiculous. We're leaving. response:	Hurry along, the other students are setting up inside.
context: We're not the first ones here.\It doesn't matter.\You better sing well.\He's like a mini Konatsu!\Pardon me?\You're way too early!\Ridiculous. We're leaving.\Hurry along, the other students are setting up inside. response:	Okay!
context: It doesn't matter.\You better sing well.\He's like a mini Konatsu!\Pardon me?\You're way too early!\Ridiculous. We're leaving.\Hurry along, the other students are setting up inside.\Okay! response:	Let's go!
context: You better sing well.\He's like a mini Konatsu!\Pardon me?\You're way too early!\Ridiculous. We're leaving.\Hurry along, the other students are setting up inside.\Okay!\Let's go! response:	Yeah!
context: He's like a mini Konatsu!\Pardon me?\You're way too early!\Ridiculous. We're leaving.\Hurry along, the other students are setting up inside.\Okay!\Let's go!\Yeah! response:	Ueno-san!
context: Pardon me?\You're way too early!\Ridiculous. We're leaving.\Hurry along, the other students are setting up inside.\Okay!\Let's go!\Yeah!\Ueno-san! response:	I knew you'd come!
context: You're way too early!\Ridiculous. We're leaving.\Hurry along, the other students are setting up inside.\Okay!\Let's go!\Yeah!\Ueno-san!\I knew you'd come! response:	Hirohata-san asked the vice principal.
context: Ridiculous. We're leaving.\Hurry along, the other students are setting up inside.\Okay!\Let's go!\Yeah!\Ueno-san!\I knew you'd come!\Hirohata-san asked the vice principal. response:	Hey, don't make up weird stuff!
context: Hurry along, the other students are setting up inside.\Okay!\Let's go!\Yeah!\Ueno-san!\I knew you'd come!\Hirohata-san asked the vice principal.\Hey, don't make up weird stuff! response:	Hirohata-san, thank you.
context: Okay!\Let's go!\Yeah!\Ueno-san!\I knew you'd come!\Hirohata-san asked the vice principal.\Hey, don't make up weird stuff!\Hirohata-san, thank you. response:	Well, the vocal club needed a goal to work toward.
context: Let's go!\Yeah!\Ueno-san!\I knew you'd come!\Hirohata-san asked the vice principal.\Hey, don't make up weird stuff!\Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward. response:	General Building Music Building
context: Yeah!\Ueno-san!\I knew you'd come!\Hirohata-san asked the vice principal.\Hey, don't make up weird stuff!\Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward.\General Building Music Building response:	I guess this is stage left.
context: Ueno-san!\I knew you'd come!\Hirohata-san asked the vice principal.\Hey, don't make up weird stuff!\Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward.\General Building Music Building\I guess this is stage left. response:	Then the piano would be here.
context: I knew you'd come!\Hirohata-san asked the vice principal.\Hey, don't make up weird stuff!\Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward.\General Building Music Building\I guess this is stage left.\Then the piano would be here. response:	And the orchestra pit is there?
context: Hirohata-san asked the vice principal.\Hey, don't make up weird stuff!\Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward.\General Building Music Building\I guess this is stage left.\Then the piano would be here.\And the orchestra pit is there? response:	Yup.
context: Hey, don't make up weird stuff!\Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward.\General Building Music Building\I guess this is stage left.\Then the piano would be here.\And the orchestra pit is there?\Yup. response:	The quality is amazing.
context: Hirohata-san, thank you.\Well, the vocal club needed a goal to work toward.\General Building Music Building\I guess this is stage left.\Then the piano would be here.\And the orchestra pit is there?\Yup.\The quality is amazing. response:	That's nice. Could you help?
context: Well, the vocal club needed a goal to work toward.\General Building Music Building\I guess this is stage left.\Then the piano would be here.\And the orchestra pit is there?\Yup.\The quality is amazing.\That's nice. Could you help? response:	We can rehearse once at most, if that.
context: General Building Music Building\I guess this is stage left.\Then the piano would be here.\And the orchestra pit is there?\Yup.\The quality is amazing.\That's nice. Could you help?\We can rehearse once at most, if that. response:	Just do it like you practiced, and we'll adjust on our side.
context: I guess this is stage left.\Then the piano would be here.\And the orchestra pit is there?\Yup.\The quality is amazing.\That's nice. Could you help?\We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side. response:	Impressive!
context: Then the piano would be here.\And the orchestra pit is there?\Yup.\The quality is amazing.\That's nice. Could you help?\We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side.\Impressive! response:	White Festival
context: And the orchestra pit is there?\Yup.\The quality is amazing.\That's nice. Could you help?\We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side.\Impressive!\White Festival response:	Please enter here for the White Festival!
context: Yup.\The quality is amazing.\That's nice. Could you help?\We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side.\Impressive!\White Festival\Please enter here for the White Festival! response:	The White Festival is this way.
context: The quality is amazing.\That's nice. Could you help?\We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side.\Impressive!\White Festival\Please enter here for the White Festival!\The White Festival is this way. response:	Thank goodness it stopped raining.
context: That's nice. Could you help?\We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side.\Impressive!\White Festival\Please enter here for the White Festival!\The White Festival is this way.\Thank goodness it stopped raining. response:	Yeah.
context: We can rehearse once at most, if that.\Just do it like you practiced, and we'll adjust on our side.\Impressive!\White Festival\Please enter here for the White Festival!\The White Festival is this way.\Thank goodness it stopped raining.\Yeah. response:	No weird improv during the real performance!
context: Just do it like you practiced, and we'll adjust on our side.\Impressive!\White Festival\Please enter here for the White Festival!\The White Festival is this way.\Thank goodness it stopped raining.\Yeah.\No weird improv during the real performance! response:	Don't worry.
context: Impressive!\White Festival\Please enter here for the White Festival!\The White Festival is this way.\Thank goodness it stopped raining.\Yeah.\No weird improv during the real performance!\Don't worry. response:	I put a lot of thought into it so it won't ruin the script.
context: White Festival\Please enter here for the White Festival!\The White Festival is this way.\Thank goodness it stopped raining.\Yeah.\No weird improv during the real performance!\Don't worry.\I put a lot of thought into it so it won't ruin the script. response:	That's what I'm worried about!
context: Please enter here for the White Festival!\The White Festival is this way.\Thank goodness it stopped raining.\Yeah.\No weird improv during the real performance!\Don't worry.\I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about! response:	This is the Country of Sound, Shirohama Saga.
context: The White Festival is this way.\Thank goodness it stopped raining.\Yeah.\No weird improv during the real performance!\Don't worry.\I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about!\This is the Country of Sound, Shirohama Saga. response:	Our tale begins as Konacchine sets out on her journey.
context: Thank goodness it stopped raining.\Yeah.\No weird improv during the real performance!\Don't worry.\I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about!\This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey. response:	Here goes!
context: Yeah.\No weird improv during the real performance!\Don't worry.\I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about!\This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey.\Here goes! response:	I cannot remain in this country!
context: No weird improv during the real performance!\Don't worry.\I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about!\This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey.\Here goes!\I cannot remain in this country! response:	Wait!
context: Don't worry.\I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about!\This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey.\Here goes!\I cannot remain in this country!\Wait! response:	Where will you go now?
context: I put a lot of thought into it so it won't ruin the script.\That's what I'm worried about!\This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey.\Here goes!\I cannot remain in this country!\Wait!\Where will you go now? response:	To the faraway land of Amano Iward.
context: That's what I'm worried about!\This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey.\Here goes!\I cannot remain in this country!\Wait!\Where will you go now?\To the faraway land of Amano Iward. response:	Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.
context: This is the Country of Sound, Shirohama Saga.\Our tale begins as Konacchine sets out on her journey.\Here goes!\I cannot remain in this country!\Wait!\Where will you go now?\To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi. response:	And I'm the prince of frogs, Wienaria!
context: Our tale begins as Konacchine sets out on her journey.\Here goes!\I cannot remain in this country!\Wait!\Where will you go now?\To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria! response:	Prince?
context: Here goes!\I cannot remain in this country!\Wait!\Where will you go now?\To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria!\Prince? response:	Damn him.
context: I cannot remain in this country!\Wait!\Where will you go now?\To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria!\Prince?\Damn him. response:	We overcame many difficulties.
context: Wait!\Where will you go now?\To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria!\Prince?\Damn him.\We overcame many difficulties. response:	But now we're finally here.
context: Where will you go now?\To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria!\Prince?\Damn him.\We overcame many difficulties.\But now we're finally here. response:	Though we lost much along the way.
context: To the faraway land of Amano Iward.\Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria!\Prince?\Damn him.\We overcame many difficulties.\But now we're finally here.\Though we lost much along the way. response:	Family and friends.
context: Ribbit, ribbit, ribbit, ribbit! I'm the frog, Taiichi.\And I'm the prince of frogs, Wienaria!\Prince?\Damn him.\We overcame many difficulties.\But now we're finally here.\Though we lost much along the way.\Family and friends. response:	Dreams and pride.
context: And I'm the prince of frogs, Wienaria!\Prince?\Damn him.\We overcame many difficulties.\But now we're finally here.\Though we lost much along the way.\Family and friends.\Dreams and pride. response:	Even our beloved homeland.
context: Prince?\Damn him.\We overcame many difficulties.\But now we're finally here.\Though we lost much along the way.\Family and friends.\Dreams and pride.\Even our beloved homeland. response:	Now, we're alone in a world shrouded in darkness,
context: Damn him.\We overcame many difficulties.\But now we're finally here.\Though we lost much along the way.\Family and friends.\Dreams and pride.\Even our beloved homeland.\Now, we're alone in a world shrouded in darkness, response:	on a path that can't be seen.
context: We overcame many difficulties.\But now we're finally here.\Though we lost much along the way.\Family and friends.\Dreams and pride.\Even our beloved homeland.\Now, we're alone in a world shrouded in darkness,\on a path that can't be seen. response:	Fear not.
context: But now we're finally here.\Though we lost much along the way.\Family and friends.\Dreams and pride.\Even our beloved homeland.\Now, we're alone in a world shrouded in darkness,\on a path that can't be seen.\Fear not. response:	The sound of singing will show us the way.
context: Though we lost much along the way.\Family and friends.\Dreams and pride.\Even our beloved homeland.\Now, we're alone in a world shrouded in darkness,\on a path that can't be seen.\Fear not.\The sound of singing will show us the way. response:	Then let us sing.
context: Family and friends.\Dreams and pride.\Even our beloved homeland.\Now, we're alone in a world shrouded in darkness,\on a path that can't be seen.\Fear not.\The sound of singing will show us the way.\Then let us sing. response:	So that we may be each other's humble guides.
context: Dreams and pride.\Even our beloved homeland.\Now, we're alone in a world shrouded in darkness,\on a path that can't be seen.\Fear not.\The sound of singing will show us the way.\Then let us sing.\So that we may be each other's humble guides. response:	Even if it won't bring about a miracle,
context: Even our beloved homeland.\Now, we're alone in a world shrouded in darkness,\on a path that can't be seen.\Fear not.\The sound of singing will show us the way.\Then let us sing.\So that we may be each other's humble guides.\Even if it won't bring about a miracle, response:	for that single moment of rest...
context: Now, we're alone in a world shrouded in darkness,\on a path that can't be seen.\Fear not.\The sound of singing will show us the way.\Then let us sing.\So that we may be each other's humble guides.\Even if it won't bring about a miracle,\for that single moment of rest... response:	We'll pour our feelings into this song...
context: on a path that can't be seen.\Fear not.\The sound of singing will show us the way.\Then let us sing.\So that we may be each other's humble guides.\Even if it won't bring about a miracle,\for that single moment of rest...\We'll pour our feelings into this song... response:	And start walking again!
context: Fear not.\The sound of singing will show us the way.\Then let us sing.\So that we may be each other's humble guides.\Even if it won't bring about a miracle,\for that single moment of rest...\We'll pour our feelings into this song...\And start walking again! response:	Under the blue sky
context: The sound of singing will show us the way.\Then let us sing.\So that we may be each other's humble guides.\Even if it won't bring about a miracle,\for that single moment of rest...\We'll pour our feelings into this song...\And start walking again!\Under the blue sky response:	we spread our arms wide.
context: Then let us sing.\So that we may be each other's humble guides.\Even if it won't bring about a miracle,\for that single moment of rest...\We'll pour our feelings into this song...\And start walking again!\Under the blue sky\we spread our arms wide. response:	Doubt and pain are proof that we had hope.
context: So that we may be each other's humble guides.\Even if it won't bring about a miracle,\for that single moment of rest...\We'll pour our feelings into this song...\And start walking again!\Under the blue sky\we spread our arms wide.\Doubt and pain are proof that we had hope. response:	We'll go at our own pace.
context: Even if it won't bring about a miracle,\for that single moment of rest...\We'll pour our feelings into this song...\And start walking again!\Under the blue sky\we spread our arms wide.\Doubt and pain are proof that we had hope.\We'll go at our own pace. response:	We'll always have faith.
context: for that single moment of rest...\We'll pour our feelings into this song...\And start walking again!\Under the blue sky\we spread our arms wide.\Doubt and pain are proof that we had hope.\We'll go at our own pace.\We'll always have faith. response:	A passing shower will eventually come to an end.
context: We'll pour our feelings into this song...\And start walking again!\Under the blue sky\we spread our arms wide.\Doubt and pain are proof that we had hope.\We'll go at our own pace.\We'll always have faith.\A passing shower will eventually come to an end. response:	Even filled with tears, our hearts can be free.
context: And start walking again!\Under the blue sky\we spread our arms wide.\Doubt and pain are proof that we had hope.\We'll go at our own pace.\We'll always have faith.\A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free. response:	Because, look, someone will be there to pat our backs.
context: Under the blue sky\we spread our arms wide.\Doubt and pain are proof that we had hope.\We'll go at our own pace.\We'll always have faith.\A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs. response:	This melody will bring out the light
context: we spread our arms wide.\Doubt and pain are proof that we had hope.\We'll go at our own pace.\We'll always have faith.\A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs.\This melody will bring out the light response:	and reflect tomorrow in these sparkling eyes.
context: Doubt and pain are proof that we had hope.\We'll go at our own pace.\We'll always have faith.\A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs.\This melody will bring out the light\and reflect tomorrow in these sparkling eyes. response:	Filled with dreams, our hearts will always be free.
context: We'll go at our own pace.\We'll always have faith.\A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs.\This melody will bring out the light\and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free. response:	Because, look, someone will be there to laugh with us.
context: We'll always have faith.\A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs.\This melody will bring out the light\and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us. response:	This melody beckons the light.
context: A passing shower will eventually come to an end.\Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs.\This melody will bring out the light\and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us.\This melody beckons the light. response:	Even if the path is a winding one, everything will be all right.
context: Even filled with tears, our hearts can be free.\Because, look, someone will be there to pat our backs.\This melody will bring out the light\and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us.\This melody beckons the light.\Even if the path is a winding one, everything will be all right. response:	We can set out with smiles on our faces.
context: Because, look, someone will be there to pat our backs.\This melody will bring out the light\and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us.\This melody beckons the light.\Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces. response:	Jan!
context: This melody will bring out the light\and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us.\This melody beckons the light.\Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces.\Jan! response:	Look at him, with his happy grin.
context: and reflect tomorrow in these sparkling eyes.\Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us.\This melody beckons the light.\Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces.\Jan!\Look at him, with his happy grin. response:	Fall, fall, fall, fall.
context: Filled with dreams, our hearts will always be free.\Because, look, someone will be there to laugh with us.\This melody beckons the light.\Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces.\Jan!\Look at him, with his happy grin.\Fall, fall, fall, fall. response:	He can't help it.
context: Because, look, someone will be there to laugh with us.\This melody beckons the light.\Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces.\Jan!\Look at him, with his happy grin.\Fall, fall, fall, fall.\He can't help it. response:	He was accepted based on his recommendation.
context: This melody beckons the light.\Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces.\Jan!\Look at him, with his happy grin.\Fall, fall, fall, fall.\He can't help it.\He was accepted based on his recommendation. response:	What are you going to do?
context: Even if the path is a winding one, everything will be all right.\We can set out with smiles on our faces.\Jan!\Look at him, with his happy grin.\Fall, fall, fall, fall.\He can't help it.\He was accepted based on his recommendation.\What are you going to do? response:	After graduation.
context: We can set out with smiles on our faces.\Jan!\Look at him, with his happy grin.\Fall, fall, fall, fall.\He can't help it.\He was accepted based on his recommendation.\What are you going to do?\After graduation. response:	Abroad?
context: Jan!\Look at him, with his happy grin.\Fall, fall, fall, fall.\He can't help it.\He was accepted based on his recommendation.\What are you going to do?\After graduation.\Abroad? response:	Yes.
context: Look at him, with his happy grin.\Fall, fall, fall, fall.\He can't help it.\He was accepted based on his recommendation.\What are you going to do?\After graduation.\Abroad?\Yes. response:	There are equestrian schools abroad.
context: Fall, fall, fall, fall.\He can't help it.\He was accepted based on his recommendation.\What are you going to do?\After graduation.\Abroad?\Yes.\There are equestrian schools abroad. response:	If I go, there's a chance I could still be a jockey.
context: He can't help it.\He was accepted based on his recommendation.\What are you going to do?\After graduation.\Abroad?\Yes.\There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey. response:	Seriously?!
context: He was accepted based on his recommendation.\What are you going to do?\After graduation.\Abroad?\Yes.\There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey.\Seriously?! response:	Yes.
context: What are you going to do?\After graduation.\Abroad?\Yes.\There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey.\Seriously?!\Yes. response:	It will be really difficult,
context: After graduation.\Abroad?\Yes.\There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey.\Seriously?!\Yes.\It will be really difficult, response:	but if I come back from there,
context: Abroad?\Yes.\There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey.\Seriously?!\Yes.\It will be really difficult,\but if I come back from there, response:	I might be able to be a jockey here in Japan, too.
context: Yes.\There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey.\Seriously?!\Yes.\It will be really difficult,\but if I come back from there,\I might be able to be a jockey here in Japan, too. response:	That's amazing!
context: There are equestrian schools abroad.\If I go, there's a chance I could still be a jockey.\Seriously?!\Yes.\It will be really difficult,\but if I come back from there,\I might be able to be a jockey here in Japan, too.\That's amazing! response:	How's your dad?
context: If I go, there's a chance I could still be a jockey.\Seriously?!\Yes.\It will be really difficult,\but if I come back from there,\I might be able to be a jockey here in Japan, too.\That's amazing!\How's your dad? response:	Against it.
context: Seriously?!\Yes.\It will be really difficult,\but if I come back from there,\I might be able to be a jockey here in Japan, too.\That's amazing!\How's your dad?\Against it. response:	That school will have exams, right?
context: Yes.\It will be really difficult,\but if I come back from there,\I might be able to be a jockey here in Japan, too.\That's amazing!\How's your dad?\Against it.\That school will have exams, right? response:	That's why I want to go over there as soon as possible,
context: It will be really difficult,\but if I come back from there,\I might be able to be a jockey here in Japan, too.\That's amazing!\How's your dad?\Against it.\That school will have exams, right?\That's why I want to go over there as soon as possible, response:	and start learning the language first.
context: but if I come back from there,\I might be able to be a jockey here in Japan, too.\That's amazing!\How's your dad?\Against it.\That school will have exams, right?\That's why I want to go over there as soon as possible,\and start learning the language first. response:	When's that?
context: I might be able to be a jockey here in Japan, too.\That's amazing!\How's your dad?\Against it.\That school will have exams, right?\That's why I want to go over there as soon as possible,\and start learning the language first.\When's that? response:	Next month.
context: That's amazing!\How's your dad?\Against it.\That school will have exams, right?\That's why I want to go over there as soon as possible,\and start learning the language first.\When's that?\Next month. response:	But what about school?
context: How's your dad?\Against it.\That school will have exams, right?\That's why I want to go over there as soon as possible,\and start learning the language first.\When's that?\Next month.\But what about school? response:	I considered dropping out,
context: Against it.\That school will have exams, right?\That's why I want to go over there as soon as possible,\and start learning the language first.\When's that?\Next month.\But what about school?\I considered dropping out, response:	but when I talked to our teachers,
context: That school will have exams, right?\That's why I want to go over there as soon as possible,\and start learning the language first.\When's that?\Next month.\But what about school?\I considered dropping out,\but when I talked to our teachers, response:	they said they'd still let me graduate.
context: That's why I want to go over there as soon as possible,\and start learning the language first.\When's that?\Next month.\But what about school?\I considered dropping out,\but when I talked to our teachers,\they said they'd still let me graduate. response:	Maybe they don't want to lose
context: and start learning the language first.\When's that?\Next month.\But what about school?\I considered dropping out,\but when I talked to our teachers,\they said they'd still let me graduate.\Maybe they don't want to lose response:	graduates because of what's happening.
context: When's that?\Next month.\But what about school?\I considered dropping out,\but when I talked to our teachers,\they said they'd still let me graduate.\Maybe they don't want to lose\graduates because of what's happening. response:	So it's a done deal?
context: Next month.\But what about school?\I considered dropping out,\but when I talked to our teachers,\they said they'd still let me graduate.\Maybe they don't want to lose\graduates because of what's happening.\So it's a done deal? response:	Yeah.
context: But what about school?\I considered dropping out,\but when I talked to our teachers,\they said they'd still let me graduate.\Maybe they don't want to lose\graduates because of what's happening.\So it's a done deal?\Yeah. response:	Wow, that's fast.
context: I considered dropping out,\but when I talked to our teachers,\they said they'd still let me graduate.\Maybe they don't want to lose\graduates because of what's happening.\So it's a done deal?\Yeah.\Wow, that's fast. response:	For how long?
context: but when I talked to our teachers,\they said they'd still let me graduate.\Maybe they don't want to lose\graduates because of what's happening.\So it's a done deal?\Yeah.\Wow, that's fast.\For how long? response:	Until I'm satisfied.
context: they said they'd still let me graduate.\Maybe they don't want to lose\graduates because of what's happening.\So it's a done deal?\Yeah.\Wow, that's fast.\For how long?\Until I'm satisfied. response:	Do your best!
context: Maybe they don't want to lose\graduates because of what's happening.\So it's a done deal?\Yeah.\Wow, that's fast.\For how long?\Until I'm satisfied.\Do your best! response:	Don't come back crying!
context: graduates because of what's happening.\So it's a done deal?\Yeah.\Wow, that's fast.\For how long?\Until I'm satisfied.\Do your best!\Don't come back crying! response:	Of course!
context: So it's a done deal?\Yeah.\Wow, that's fast.\For how long?\Until I'm satisfied.\Do your best!\Don't come back crying!\Of course! response:	Are you taking Sabure?
