context: You're saying, people who drink that liquor become immortally young? response:	Surprised? You see, I'm an immortal.
context: I can't even prove whether or not you really exist.\In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it.\I have a rather poor imagination,\so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is...\It's not possible that this world would completely go away.\But everyone else but me would disappear if I died. response:	I'm the only one who would not be completely gone from the world.
context: In other words, this world is a creation with me at its center.\So if I die, there's no telling... what will happen to it.\I have a rather poor imagination,\so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is...\It's not possible that this world would completely go away.\But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world. response:	Everyone else is like a dream that I'm having.
context: So if I die, there's no telling... what will happen to it.\I have a rather poor imagination,\so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is...\It's not possible that this world would completely go away.\But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having. response:	So you see, that's why this world is mine.
context: I have a rather poor imagination,\so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is...\It's not possible that this world would completely go away.\But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having.\So you see, that's why this world is mine. response:	Could this be some sort of reward?
context: so I can't imagine what it would be like if I were gone.\So you see, what I'm saying is...\It's not possible that this world would completely go away.\But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having.\So you see, that's why this world is mine.\Could this be some sort of reward? response:	For everything I've done up to now?
context: So you see, what I'm saying is...\It's not possible that this world would completely go away.\But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having.\So you see, that's why this world is mine.\Could this be some sort of reward?\For everything I've done up to now? response:	For having eaten that man?
context: It's not possible that this world would completely go away.\But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having.\So you see, that's why this world is mine.\Could this be some sort of reward?\For everything I've done up to now?\For having eaten that man? response:	Czes, remember, this is an experiment.
context: But everyone else but me would disappear if I died.\I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having.\So you see, that's why this world is mine.\Could this be some sort of reward?\For everything I've done up to now?\For having eaten that man?\Czes, remember, this is an experiment. response:	An experiment to determine the attributes of immortality.
context: I'm the only one who would not be completely gone from the world.\Everyone else is like a dream that I'm having.\So you see, that's why this world is mine.\Could this be some sort of reward?\For everything I've done up to now?\For having eaten that man?\Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality. response:	Here goes.
context: Everyone else is like a dream that I'm having.\So you see, that's why this world is mine.\Could this be some sort of reward?\For everything I've done up to now?\For having eaten that man?\Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality.\Here goes. response:	Fermet, after all of the suffering you put me through, why... why am I...
context: So you see, that's why this world is mine.\Could this be some sort of reward?\For everything I've done up to now?\For having eaten that man?\Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality.\Here goes.\Fermet, after all of the suffering you put me through, why... why am I... response:	Fermet, why are you enjoying this so much?
context: Could this be some sort of reward?\For everything I've done up to now?\For having eaten that man?\Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality.\Here goes.\Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much? response:	Enjoying myself? Is that how it appears?
context: For everything I've done up to now?\For having eaten that man?\Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality.\Here goes.\Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears? response:	It's your imagination, Czes.
context: For having eaten that man?\Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality.\Here goes.\Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears?\It's your imagination, Czes. response:	I'm not enjoying this, Fermet.
context: Czes, remember, this is an experiment.\An experiment to determine the attributes of immortality.\Here goes.\Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears?\It's your imagination, Czes.\I'm not enjoying this, Fermet. response:	Czes, you...
context: An experiment to determine the attributes of immortality.\Here goes.\Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears?\It's your imagination, Czes.\I'm not enjoying this, Fermet.\Czes, you... response:	Fermet didn't have so much as a shred of affection toward me.
context: Here goes.\Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears?\It's your imagination, Czes.\I'm not enjoying this, Fermet.\Czes, you...\Fermet didn't have so much as a shred of affection toward me. response:	All he ever did was enjoy abusing me.
context: Fermet, after all of the suffering you put me through, why... why am I...\Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears?\It's your imagination, Czes.\I'm not enjoying this, Fermet.\Czes, you...\Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me. response:	I'll never trust anyone else again.
context: Fermet, why are you enjoying this so much?\Enjoying myself? Is that how it appears?\It's your imagination, Czes.\I'm not enjoying this, Fermet.\Czes, you...\Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me.\I'll never trust anyone else again. response:	Isaac!
context: Enjoying myself? Is that how it appears?\It's your imagination, Czes.\I'm not enjoying this, Fermet.\Czes, you...\Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me.\I'll never trust anyone else again.\Isaac! response:	Huh? What, Miria?
context: It's your imagination, Czes.\I'm not enjoying this, Fermet.\Czes, you...\Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me.\I'll never trust anyone else again.\Isaac!\Huh? What, Miria? response:	-Czes- kun! -Czes- kun!
context: I'm not enjoying this, Fermet.\Czes, you...\Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me.\I'll never trust anyone else again.\Isaac!\Huh? What, Miria?\-Czes- kun! -Czes- kun! response:	No one... ever...
context: Czes, you...\Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me.\I'll never trust anyone else again.\Isaac!\Huh? What, Miria?\-Czes- kun! -Czes- kun!\No one... ever... response:	Czes- kun!
context: Fermet didn't have so much as a shred of affection toward me.\All he ever did was enjoy abusing me.\I'll never trust anyone else again.\Isaac!\Huh? What, Miria?\-Czes- kun! -Czes- kun!\No one... ever...\Czes- kun! response:	I'll have to devour my friends, before they devour me.
context: All he ever did was enjoy abusing me.\I'll never trust anyone else again.\Isaac!\Huh? What, Miria?\-Czes- kun! -Czes- kun!\No one... ever...\Czes- kun!\I'll have to devour my friends, before they devour me. response:	Czes- kun!
context: I'll never trust anyone else again.\Isaac!\Huh? What, Miria?\-Czes- kun! -Czes- kun!\No one... ever...\Czes- kun!\I'll have to devour my friends, before they devour me.\Czes- kun! response:	Miria, he opened his eyes!
context: Isaac!\Huh? What, Miria?\-Czes- kun! -Czes- kun!\No one... ever...\Czes- kun!\I'll have to devour my friends, before they devour me.\Czes- kun!\Miria, he opened his eyes! response:	He's alive! He's still alive!
context: Huh? What, Miria?\-Czes- kun! -Czes- kun!\No one... ever...\Czes- kun!\I'll have to devour my friends, before they devour me.\Czes- kun!\Miria, he opened his eyes!\He's alive! He's still alive! response:	That's terrific!
context: -Czes- kun! -Czes- kun!\No one... ever...\Czes- kun!\I'll have to devour my friends, before they devour me.\Czes- kun!\Miria, he opened his eyes!\He's alive! He's still alive!\That's terrific! response:	Hang in there! I'm almost there!
context: No one... ever...\Czes- kun!\I'll have to devour my friends, before they devour me.\Czes- kun!\Miria, he opened his eyes!\He's alive! He's still alive!\That's terrific!\Hang in there! I'm almost there! response:	He's...
context: Czes- kun!\I'll have to devour my friends, before they devour me.\Czes- kun!\Miria, he opened his eyes!\He's alive! He's still alive!\That's terrific!\Hang in there! I'm almost there!\He's... response:	Come on, Czes- kun!
context: I'll have to devour my friends, before they devour me.\Czes- kun!\Miria, he opened his eyes!\He's alive! He's still alive!\That's terrific!\Hang in there! I'm almost there!\He's...\Come on, Czes- kun! response:	Don't touch me with your right hand!
context: Czes- kun!\Miria, he opened his eyes!\He's alive! He's still alive!\That's terrific!\Hang in there! I'm almost there!\He's...\Come on, Czes- kun!\Don't touch me with your right hand! response:	Isaac!
context: Miria, he opened his eyes!\He's alive! He's still alive!\That's terrific!\Hang in there! I'm almost there!\He's...\Come on, Czes- kun!\Don't touch me with your right hand!\Isaac! response:	I'm surprised you can stand rattling off such self-serving reasoning.
context: He's alive! He's still alive!\That's terrific!\Hang in there! I'm almost there!\He's...\Come on, Czes- kun!\Don't touch me with your right hand!\Isaac!\I'm surprised you can stand rattling off such self-serving reasoning. response:	It's not just self-serving reasoning. You white suits also killed Tony.
context: That's terrific!\Hang in there! I'm almost there!\He's...\Come on, Czes- kun!\Don't touch me with your right hand!\Isaac!\I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony. response:	Tony, the conductor who was my senior.
context: Hang in there! I'm almost there!\He's...\Come on, Czes- kun!\Don't touch me with your right hand!\Isaac!\I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior. response:	Conductor? You mean, you're the one who killed Dune?!
context: He's...\Come on, Czes- kun!\Don't touch me with your right hand!\Isaac!\I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?! response:	As long as I believe I can do something...
context: Come on, Czes- kun!\Don't touch me with your right hand!\Isaac!\I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something... response:	You bast-
context: Don't touch me with your right hand!\Isaac!\I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something...\You bast- response:	If I use this gun, you would be dead in an instant.
context: Isaac!\I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something...\You bast-\If I use this gun, you would be dead in an instant. response:	But I didn't do that.
context: I'm surprised you can stand rattling off such self-serving reasoning.\It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something...\You bast-\If I use this gun, you would be dead in an instant.\But I didn't do that. response:	That's because I figure that I can take someone like you bare-handed.
context: It's not just self-serving reasoning. You white suits also killed Tony.\Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something...\You bast-\If I use this gun, you would be dead in an instant.\But I didn't do that.\That's because I figure that I can take someone like you bare-handed. response:	Are you humiliated?
context: Tony, the conductor who was my senior.\Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something...\You bast-\If I use this gun, you would be dead in an instant.\But I didn't do that.\That's because I figure that I can take someone like you bare-handed.\Are you humiliated? response:	I shot your ear on purpose just now.
context: Conductor? You mean, you're the one who killed Dune?!\As long as I believe I can do something...\You bast-\If I use this gun, you would be dead in an instant.\But I didn't do that.\That's because I figure that I can take someone like you bare-handed.\Are you humiliated?\I shot your ear on purpose just now. response:	Are you humiliated?
context: As long as I believe I can do something...\You bast-\If I use this gun, you would be dead in an instant.\But I didn't do that.\That's because I figure that I can take someone like you bare-handed.\Are you humiliated?\I shot your ear on purpose just now.\Are you humiliated? response:	Die, as you experience as much humiliation as you can possibly feel.
context: You bast-\If I use this gun, you would be dead in an instant.\But I didn't do that.\That's because I figure that I can take someone like you bare-handed.\Are you humiliated?\I shot your ear on purpose just now.\Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel. response:	That will be your atonement to Tony-
context: If I use this gun, you would be dead in an instant.\But I didn't do that.\That's because I figure that I can take someone like you bare-handed.\Are you humiliated?\I shot your ear on purpose just now.\Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony- response:	no, to my world, which has lost Tony.
context: But I didn't do that.\That's because I figure that I can take someone like you bare-handed.\Are you humiliated?\I shot your ear on purpose just now.\Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony-\no, to my world, which has lost Tony. response:	All right, self-proclaimed ruler of the world,
context: That's because I figure that I can take someone like you bare-handed.\Are you humiliated?\I shot your ear on purpose just now.\Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony-\no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world, response:	how is it you're planning to kill me?
context: Are you humiliated?\I shot your ear on purpose just now.\Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony-\no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world,\how is it you're planning to kill me? response:	I'll prove to you that this world doesn't work the way you want it to.
context: I shot your ear on purpose just now.\Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony-\no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world,\how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to. response:	I'm going to kill you, then dance like mad while I cackle about it!
context: Are you humiliated?\Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony-\no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world,\how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it! response:	Here, in my world, without you in it!
context: Die, as you experience as much humiliation as you can possibly feel.\That will be your atonement to Tony-\no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world,\how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it! response:	Before you do, I have to ask you,
context: That will be your atonement to Tony-\no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world,\how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it!\Before you do, I have to ask you, response:	that woman in the white dress that was with you- is she your girl?
context: no, to my world, which has lost Tony.\All right, self-proclaimed ruler of the world,\how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it!\Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl? response:	Woman? That woman lives in order to be killed by me.
context: All right, self-proclaimed ruler of the world,\how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it!\Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me. response:	She's a woman whose reason in life is to be killed by me someday.
context: how is it you're planning to kill me?\I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it!\Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday. response:	Don't you go getting any funny ideas.
context: I'll prove to you that this world doesn't work the way you want it to.\I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it!\Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas. response:	I'm going to be the one who kills her, understand?
context: I'm going to kill you, then dance like mad while I cackle about it!\Here, in my world, without you in it!\Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand? response:	I see. Now that I've heard that,
context: Here, in my world, without you in it!\Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand?\I see. Now that I've heard that, response:	I'm certain of what's going to happen to you from here on.
context: Before you do, I have to ask you,\that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand?\I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on. response:	You're going to jump off of this train, of your own will.
context: that woman in the white dress that was with you- is she your girl?\Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand?\I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will. response:	Lua! What are you doing?!
context: Woman? That woman lives in order to be killed by me.\She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand?\I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will.\Lua! What are you doing?! response:	We should be making tracks out of here, Boss!
context: She's a woman whose reason in life is to be killed by me someday.\Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand?\I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will.\Lua! What are you doing?!\We should be making tracks out of here, Boss! response:	Huh? Already?
context: Don't you go getting any funny ideas.\I'm going to be the one who kills her, understand?\I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will.\Lua! What are you doing?!\We should be making tracks out of here, Boss!\Huh? Already? response:	We'd best hurry up and rendezvous with Jacuzzi and the others.
context: I'm going to be the one who kills her, understand?\I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will.\Lua! What are you doing?!\We should be making tracks out of here, Boss!\Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others. response:	I hate to see this come to an end, but that would be best, huh?
context: I see. Now that I've heard that,\I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will.\Lua! What are you doing?!\We should be making tracks out of here, Boss!\Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh? response:	W-Why, you...
context: I'm certain of what's going to happen to you from here on.\You're going to jump off of this train, of your own will.\Lua! What are you doing?!\We should be making tracks out of here, Boss!\Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh?\W-Why, you... response:	Checkmate, you scum.
context: You're going to jump off of this train, of your own will.\Lua! What are you doing?!\We should be making tracks out of here, Boss!\Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh?\W-Why, you...\Checkmate, you scum. response:	Who'd have thought you'd be hiding fireworks in your clothes, young lady?
context: Lua! What are you doing?!\We should be making tracks out of here, Boss!\Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh?\W-Why, you...\Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady? response:	It seems that dealing with you as a gentleman has backfired on me.
context: We should be making tracks out of here, Boss!\Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh?\W-Why, you...\Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me. response:	Nice!
context: Huh? Already?\We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh?\W-Why, you...\Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me.\Nice! response:	Jacuzzi!
context: We'd best hurry up and rendezvous with Jacuzzi and the others.\I hate to see this come to an end, but that would be best, huh?\W-Why, you...\Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me.\Nice!\Jacuzzi! response:	Interesting. Is this a trial?
context: I hate to see this come to an end, but that would be best, huh?\W-Why, you...\Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me.\Nice!\Jacuzzi!\Interesting. Is this a trial? response:	A trial, to achieve the same existence that Huey has reached?
context: W-Why, you...\Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me.\Nice!\Jacuzzi!\Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached? response:	If so, it's all the more reason why I can't allow myself to die here.
context: Checkmate, you scum.\Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me.\Nice!\Jacuzzi!\Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here. response:	Nor can I run away!
context: Who'd have thought you'd be hiding fireworks in your clothes, young lady?\It seems that dealing with you as a gentleman has backfired on me.\Nice!\Jacuzzi!\Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away! response:	I will undergo all of the trials here, aboard this train!
context: It seems that dealing with you as a gentleman has backfired on me.\Nice!\Jacuzzi!\Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away!\I will undergo all of the trials here, aboard this train! response:	That was easy!
context: Nice!\Jacuzzi!\Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away!\I will undergo all of the trials here, aboard this train!\That was easy! response:	Let's go, before the girl comes back to life.
context: Jacuzzi!\Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away!\I will undergo all of the trials here, aboard this train!\That was easy!\Let's go, before the girl comes back to life. response:	You're kidding me...
context: Interesting. Is this a trial?\A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away!\I will undergo all of the trials here, aboard this train!\That was easy!\Let's go, before the girl comes back to life.\You're kidding me... response:	I-I-Isaac!
context: A trial, to achieve the same existence that Huey has reached?\If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away!\I will undergo all of the trials here, aboard this train!\That was easy!\Let's go, before the girl comes back to life.\You're kidding me...\I-I-Isaac! response:	W-W-What, Miria?
context: If so, it's all the more reason why I can't allow myself to die here.\Nor can I run away!\I will undergo all of the trials here, aboard this train!\That was easy!\Let's go, before the girl comes back to life.\You're kidding me...\I-I-Isaac!\W-W-What, Miria? response:	I-I-It's a I-I-lucky thing there h-h-happened to b-b-be
context: Nor can I run away!\I will undergo all of the trials here, aboard this train!\That was easy!\Let's go, before the girl comes back to life.\You're kidding me...\I-I-Isaac!\W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be response:	a I-I-large c-c-car out f-f-front, huh?
context: I will undergo all of the trials here, aboard this train!\That was easy!\Let's go, before the girl comes back to life.\You're kidding me...\I-I-Isaac!\W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh? response:	Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,
context: That was easy!\Let's go, before the girl comes back to life.\You're kidding me...\I-I-Isaac!\W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car, response:	b-b-but this was easy, huh?
context: Let's go, before the girl comes back to life.\You're kidding me...\I-I-Isaac!\W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh? response:	I-I-It's just the thing on this n-n-narrow road, huh?
context: You're kidding me...\I-I-Isaac!\W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh? response:	W-W-We can even o-o-outdo a machine gun in this car!
context: I-I-Isaac!\W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car! response:	O-O-Outdo it, all r-r-right!
context: W-W-What, Miria?\I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right! response:	I-I-It's them!
context: I-I-It's a I-I-lucky thing there h-h-happened to b-b-be\a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right!\I-I-It's them! response:	I-I-It's them, all r-r-right!
context: a I-I-large c-c-car out f-f-front, huh?\Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right!\I-I-It's them!\I-I-It's them, all r-r-right! response:	G-G-Got'em!
context: Y-Y-Yeah! W-W-We've never s-s-stolen a b-b-big car,\b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right!\I-I-It's them!\I-I-It's them, all r-r-right!\G-G-Got'em! response:	I-I-Isaac! I-I-In front of us!
context: b-b-but this was easy, huh?\I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right!\I-I-It's them!\I-I-It's them, all r-r-right!\G-G-Got'em!\I-I-Isaac! I-I-In front of us! response:	Lua! Get down from there and run, quickly!
context: I-I-It's just the thing on this n-n-narrow road, huh?\W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right!\I-I-It's them!\I-I-It's them, all r-r-right!\G-G-Got'em!\I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly! response:	No! You can't fight him! You'll be killed! Hurry and run away!
context: W-W-We can even o-o-outdo a machine gun in this car!\O-O-Outdo it, all r-r-right!\I-I-It's them!\I-I-It's them, all r-r-right!\G-G-Got'em!\I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away! response:	You fool! I told you to stay put!
context: O-O-Outdo it, all r-r-right!\I-I-It's them!\I-I-It's them, all r-r-right!\G-G-Got'em!\I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put! response:	Come back, Ladd!
context: I-I-It's them!\I-I-It's them, all r-r-right!\G-G-Got'em!\I-I-Isaac! I-I-In front of us!\Lua! Get down from there and run, quickly!\No! You can't fight him! You'll be killed! Hurry and run away!\You fool! I told you to stay put!\Come back, Ladd! response:	Now then...
