context: It completely dried up. response:	It was a pretty dry season this year.
context: and I was left alone.\I was so, so sad...\And then...\became a spirit.\But one day,\a human appeared and gave me food.\And he would come day after day...\He probably mistook me for a stray dog. response:	But the scent of humans he carried reminded me of the ones who found us.
context: I was so, so sad...\And then...\became a spirit.\But one day,\a human appeared and gave me food.\And he would come day after day...\He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us. response:	When the village was being submerged,
context: And then...\became a spirit.\But one day,\a human appeared and gave me food.\And he would come day after day...\He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged, response:	I was able to sleep peacefully thanks to him.
context: became a spirit.\But one day,\a human appeared and gave me food.\And he would come day after day...\He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged,\I was able to sleep peacefully thanks to him. response:	I see.
context: But one day,\a human appeared and gave me food.\And he would come day after day...\He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged,\I was able to sleep peacefully thanks to him.\I see. response:	How silly.
context: a human appeared and gave me food.\And he would come day after day...\He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged,\I was able to sleep peacefully thanks to him.\I see.\How silly. response:	Natsume.
context: And he would come day after day...\He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged,\I was able to sleep peacefully thanks to him.\I see.\How silly.\Natsume. response:	Here.
context: He probably mistook me for a stray dog.\But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged,\I was able to sleep peacefully thanks to him.\I see.\How silly.\Natsume.\Here. response:	It's Taniozaki's address, the one you talked about the other day.
context: But the scent of humans he carried reminded me of the ones who found us.\When the village was being submerged,\I was able to sleep peacefully thanks to him.\I see.\How silly.\Natsume.\Here.\It's Taniozaki's address, the one you talked about the other day. response:	Thanks, Kitamoto!
context: When the village was being submerged,\I was able to sleep peacefully thanks to him.\I see.\How silly.\Natsume.\Here.\It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto! response:	I can smell him.
context: I was able to sleep peacefully thanks to him.\I see.\How silly.\Natsume.\Here.\It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto!\I can smell him. response:	He's close!
context: I see.\How silly.\Natsume.\Here.\It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto!\I can smell him.\He's close! response:	Why?
context: How silly.\Natsume.\Here.\It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto!\I can smell him.\He's close!\Why? response:	Why can only I see them?
context: Natsume.\Here.\It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto!\I can smell him.\He's close!\Why?\Why can only I see them? response:	She's so... She's so...
context: Here.\It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto!\I can smell him.\He's close!\Why?\Why can only I see them?\She's so... She's so... response:	Why do I see them?
context: It's Taniozaki's address, the one you talked about the other day.\Thanks, Kitamoto!\I can smell him.\He's close!\Why?\Why can only I see them?\She's so... She's so...\Why do I see them? response:	Thank you, Natsume-sama.
context: Thanks, Kitamoto!\I can smell him.\He's close!\Why?\Why can only I see them?\She's so... She's so...\Why do I see them?\Thank you, Natsume-sama. response:	It was like a dream.
context: I can smell him.\He's close!\Why?\Why can only I see them?\She's so... She's so...\Why do I see them?\Thank you, Natsume-sama.\It was like a dream. response:	I have no more regrets.
context: He's close!\Why?\Why can only I see them?\She's so... She's so...\Why do I see them?\Thank you, Natsume-sama.\It was like a dream.\I have no more regrets. response:	I will go back to Futaba.
context: Why?\Why can only I see them?\She's so... She's so...\Why do I see them?\Thank you, Natsume-sama.\It was like a dream.\I have no more regrets.\I will go back to Futaba. response:	If you like him so much,
context: Why can only I see them?\She's so... She's so...\Why do I see them?\Thank you, Natsume-sama.\It was like a dream.\I have no more regrets.\I will go back to Futaba.\If you like him so much, response:	you don't have to go home.
context: She's so... She's so...\Why do I see them?\Thank you, Natsume-sama.\It was like a dream.\I have no more regrets.\I will go back to Futaba.\If you like him so much,\you don't have to go home. response:	There were actually times I thought about possessing you,
context: Why do I see them?\Thank you, Natsume-sama.\It was like a dream.\I have no more regrets.\I will go back to Futaba.\If you like him so much,\you don't have to go home.\There were actually times I thought about possessing you, response:	and telling him, You damned, impertinent human!
context: Thank you, Natsume-sama.\It was like a dream.\I have no more regrets.\I will go back to Futaba.\If you like him so much,\you don't have to go home.\There were actually times I thought about possessing you,\and telling him, You damned, impertinent human! response:	But I want to sleep in the same land as my siblings.
context: It was like a dream.\I have no more regrets.\I will go back to Futaba.\If you like him so much,\you don't have to go home.\There were actually times I thought about possessing you,\and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings. response:	I see.
context: I have no more regrets.\I will go back to Futaba.\If you like him so much,\you don't have to go home.\There were actually times I thought about possessing you,\and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings.\I see. response:	Natsume-sama.
context: I will go back to Futaba.\If you like him so much,\you don't have to go home.\There were actually times I thought about possessing you,\and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings.\I see.\Natsume-sama. response:	Thank you very much, Natsume-sama.
context: If you like him so much,\you don't have to go home.\There were actually times I thought about possessing you,\and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings.\I see.\Natsume-sama.\Thank you very much, Natsume-sama. response:	You still have time until the village submerges again, right?
context: you don't have to go home.\There were actually times I thought about possessing you,\and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings.\I see.\Natsume-sama.\Thank you very much, Natsume-sama.\You still have time until the village submerges again, right? response:	We found who she was looking for,
context: There were actually times I thought about possessing you,\and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings.\I see.\Natsume-sama.\Thank you very much, Natsume-sama.\You still have time until the village submerges again, right?\We found who she was looking for, response:	but I feel like her wish to meet him hasn't been granted.
context: and telling him, You damned, impertinent human!\But I want to sleep in the same land as my siblings.\I see.\Natsume-sama.\Thank you very much, Natsume-sama.\You still have time until the village submerges again, right?\We found who she was looking for,\but I feel like her wish to meet him hasn't been granted. response:	Have I become attached to her?
context: But I want to sleep in the same land as my siblings.\I see.\Natsume-sama.\Thank you very much, Natsume-sama.\You still have time until the village submerges again, right?\We found who she was looking for,\but I feel like her wish to meet him hasn't been granted.\Have I become attached to her? response:	It's him!
context: I see.\Natsume-sama.\Thank you very much, Natsume-sama.\You still have time until the village submerges again, right?\We found who she was looking for,\but I feel like her wish to meet him hasn't been granted.\Have I become attached to her?\It's him! response:	Hey!
context: Natsume-sama.\Thank you very much, Natsume-sama.\You still have time until the village submerges again, right?\We found who she was looking for,\but I feel like her wish to meet him hasn't been granted.\Have I become attached to her?\It's him!\Hey! response:	Hey!
context: Thank you very much, Natsume-sama.\You still have time until the village submerges again, right?\We found who she was looking for,\but I feel like her wish to meet him hasn't been granted.\Have I become attached to her?\It's him!\Hey!\Hey! response:	Hey!
context: You still have time until the village submerges again, right?\We found who she was looking for,\but I feel like her wish to meet him hasn't been granted.\Have I become attached to her?\It's him!\Hey!\Hey!\Hey! response:	Natsume-sama,
context: We found who she was looking for,\but I feel like her wish to meet him hasn't been granted.\Have I become attached to her?\It's him!\Hey!\Hey!\Hey!\Natsume-sama, response:	I'm a bit tired today.
context: but I feel like her wish to meet him hasn't been granted.\Have I become attached to her?\It's him!\Hey!\Hey!\Hey!\Natsume-sama,\I'm a bit tired today. response:	Is it okay if I go rest?
context: Have I become attached to her?\It's him!\Hey!\Hey!\Hey!\Natsume-sama,\I'm a bit tired today.\Is it okay if I go rest? response:	Sure, good night.
context: It's him!\Hey!\Hey!\Hey!\Natsume-sama,\I'm a bit tired today.\Is it okay if I go rest?\Sure, good night. response:	She's probably getting weaker.
context: Hey!\Hey!\Hey!\Natsume-sama,\I'm a bit tired today.\Is it okay if I go rest?\Sure, good night.\She's probably getting weaker. response:	The swallows signaled that her time to remain in that form had lessened.
context: Hey!\Hey!\Natsume-sama,\I'm a bit tired today.\Is it okay if I go rest?\Sure, good night.\She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened. response:	Why are you here again?
context: Hey!\Natsume-sama,\I'm a bit tired today.\Is it okay if I go rest?\Sure, good night.\She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened.\Why are you here again? response:	The Futaba Festival is tonight,
context: Natsume-sama,\I'm a bit tired today.\Is it okay if I go rest?\Sure, good night.\She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened.\Why are you here again?\The Futaba Festival is tonight, response:	so I brought some sake.
context: I'm a bit tired today.\Is it okay if I go rest?\Sure, good night.\She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened.\Why are you here again?\The Futaba Festival is tonight,\so I brought some sake. response:	The Futaba Festival?
context: Is it okay if I go rest?\Sure, good night.\She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened.\Why are you here again?\The Futaba Festival is tonight,\so I brought some sake.\The Futaba Festival? response:	Yes.
context: Sure, good night.\She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened.\Why are you here again?\The Futaba Festival is tonight,\so I brought some sake.\The Futaba Festival?\Yes. response:	Futaba Village lies on the vague boundaries of darkness,
context: She's probably getting weaker.\The swallows signaled that her time to remain in that form had lessened.\Why are you here again?\The Futaba Festival is tonight,\so I brought some sake.\The Futaba Festival?\Yes.\Futaba Village lies on the vague boundaries of darkness, response:	and Ayakashi gather there once a year to hold a festival.
context: The swallows signaled that her time to remain in that form had lessened.\Why are you here again?\The Futaba Festival is tonight,\so I brought some sake.\The Futaba Festival?\Yes.\Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival. response:	And so while the lake is dry, I thought I'd attend it, since it's been a while.
context: Why are you here again?\The Futaba Festival is tonight,\so I brought some sake.\The Futaba Festival?\Yes.\Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while. response:	We'd drink, dance, gamble, and race!
context: The Futaba Festival is tonight,\so I brought some sake.\The Futaba Festival?\Yes.\Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race! response:	And the winner will receive a yukata that will make them appear to be human for a night.
context: so I brought some sake.\The Futaba Festival?\Yes.\Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night. response:	In the literal sense, I'm in a feverish mood for the festival!
context: The Futaba Festival?\Yes.\Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival! response:	What did you say just now?
context: Yes.\Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival!\What did you say just now? response:	A feverish mood!
context: Futaba Village lies on the vague boundaries of darkness,\and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival!\What did you say just now?\A feverish mood! response:	No, the yukata that makes you appear to be human!
context: and Ayakashi gather there once a year to hold a festival.\And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival!\What did you say just now?\A feverish mood!\No, the yukata that makes you appear to be human! response:	Oh? Are you interested in it?
context: And so while the lake is dry, I thought I'd attend it, since it's been a while.\We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival!\What did you say just now?\A feverish mood!\No, the yukata that makes you appear to be human!\Oh? Are you interested in it? response:	Would you like to go, Natsume-dono?
context: We'd drink, dance, gamble, and race!\And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival!\What did you say just now?\A feverish mood!\No, the yukata that makes you appear to be human!\Oh? Are you interested in it?\Would you like to go, Natsume-dono? response:	Where are you going?
context: And the winner will receive a yukata that will make them appear to be human for a night.\In the literal sense, I'm in a feverish mood for the festival!\What did you say just now?\A feverish mood!\No, the yukata that makes you appear to be human!\Oh? Are you interested in it?\Would you like to go, Natsume-dono?\Where are you going? response:	Nyanko-sensei.
context: In the literal sense, I'm in a feverish mood for the festival!\What did you say just now?\A feverish mood!\No, the yukata that makes you appear to be human!\Oh? Are you interested in it?\Would you like to go, Natsume-dono?\Where are you going?\Nyanko-sensei. response:	To the Futaba Festival.
context: What did you say just now?\A feverish mood!\No, the yukata that makes you appear to be human!\Oh? Are you interested in it?\Would you like to go, Natsume-dono?\Where are you going?\Nyanko-sensei.\To the Futaba Festival. response:	What'd you say?
context: A feverish mood!\No, the yukata that makes you appear to be human!\Oh? Are you interested in it?\Would you like to go, Natsume-dono?\Where are you going?\Nyanko-sensei.\To the Futaba Festival.\What'd you say? response:	You'll be eaten if you go to that festival!
context: No, the yukata that makes you appear to be human!\Oh? Are you interested in it?\Would you like to go, Natsume-dono?\Where are you going?\Nyanko-sensei.\To the Futaba Festival.\What'd you say?\You'll be eaten if you go to that festival! response:	You're Madara? Don't get in my way!
context: Oh? Are you interested in it?\Would you like to go, Natsume-dono?\Where are you going?\Nyanko-sensei.\To the Futaba Festival.\What'd you say?\You'll be eaten if you go to that festival!\You're Madara? Don't get in my way! response:	You were going to have Natsume as a snack with your sake, weren't you?
context: Would you like to go, Natsume-dono?\Where are you going?\Nyanko-sensei.\To the Futaba Festival.\What'd you say?\You'll be eaten if you go to that festival!\You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you? response:	What's wrong with eating people?
context: Where are you going?\Nyanko-sensei.\To the Futaba Festival.\What'd you say?\You'll be eaten if you go to that festival!\You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people? response:	You're a real fool to have become attached to them, Madara.
context: Nyanko-sensei.\To the Futaba Festival.\What'd you say?\You'll be eaten if you go to that festival!\You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people?\You're a real fool to have become attached to them, Madara. response:	I'm the one who's going to eat him!
context: To the Futaba Festival.\What'd you say?\You'll be eaten if you go to that festival!\You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people?\You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him! response:	He promised me, fool!
context: What'd you say?\You'll be eaten if you go to that festival!\You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people?\You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him!\He promised me, fool! response:	I didn't promise that!
context: You'll be eaten if you go to that festival!\You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people?\You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him!\He promised me, fool!\I didn't promise that! response:	The story about the yukata wasn't a lie, right?
context: You're Madara? Don't get in my way!\You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people?\You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him!\He promised me, fool!\I didn't promise that!\The story about the yukata wasn't a lie, right? response:	Could you take me, sensei?
context: You were going to have Natsume as a snack with your sake, weren't you?\What's wrong with eating people?\You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him!\He promised me, fool!\I didn't promise that!\The story about the yukata wasn't a lie, right?\Could you take me, sensei? response:	What'd you say?
context: What's wrong with eating people?\You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him!\He promised me, fool!\I didn't promise that!\The story about the yukata wasn't a lie, right?\Could you take me, sensei?\What'd you say? response:	You're going to do something troublesome again?
context: You're a real fool to have become attached to them, Madara.\I'm the one who's going to eat him!\He promised me, fool!\I didn't promise that!\The story about the yukata wasn't a lie, right?\Could you take me, sensei?\What'd you say?\You're going to do something troublesome again? response:	Why would you do it for her?
context: I'm the one who's going to eat him!\He promised me, fool!\I didn't promise that!\The story about the yukata wasn't a lie, right?\Could you take me, sensei?\What'd you say?\You're going to do something troublesome again?\Why would you do it for her? response:	This won't benefit you at all, Natsume-dono. So, why?
context: He promised me, fool!\I didn't promise that!\The story about the yukata wasn't a lie, right?\Could you take me, sensei?\What'd you say?\You're going to do something troublesome again?\Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why? response:	Because I've become attached to her!
context: I didn't promise that!\The story about the yukata wasn't a lie, right?\Could you take me, sensei?\What'd you say?\You're going to do something troublesome again?\Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her! response:	What's so wrong about doing something for a friend?
context: The story about the yukata wasn't a lie, right?\Could you take me, sensei?\What'd you say?\You're going to do something troublesome again?\Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her!\What's so wrong about doing something for a friend? response:	Damned fool! Damned, stupid fool!
context: Could you take me, sensei?\What'd you say?\You're going to do something troublesome again?\Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her!\What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool! response:	This is why I hate kids!
context: What'd you say?\You're going to do something troublesome again?\Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her!\What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool!\This is why I hate kids! response:	Shut up!
context: You're going to do something troublesome again?\Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her!\What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool!\This is why I hate kids!\Shut up! response:	There you go.
context: Why would you do it for her?\This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her!\What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool!\This is why I hate kids!\Shut up!\There you go. response:	I have mixed my blood with the ink,
context: This won't benefit you at all, Natsume-dono. So, why?\Because I've become attached to her!\What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool!\This is why I hate kids!\Shut up!\There you go.\I have mixed my blood with the ink, response:	so no one will notice that you're a human.
context: Because I've become attached to her!\What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool!\This is why I hate kids!\Shut up!\There you go.\I have mixed my blood with the ink,\so no one will notice that you're a human. response:	Why are you doing all this?
context: What's so wrong about doing something for a friend?\Damned fool! Damned, stupid fool!\This is why I hate kids!\Shut up!\There you go.\I have mixed my blood with the ink,\so no one will notice that you're a human.\Why are you doing all this? response:	Because it's interesting.
context: Damned fool! Damned, stupid fool!\This is why I hate kids!\Shut up!\There you go.\I have mixed my blood with the ink,\so no one will notice that you're a human.\Why are you doing all this?\Because it's interesting. response:	More interesting than eating you.
context: This is why I hate kids!\Shut up!\There you go.\I have mixed my blood with the ink,\so no one will notice that you're a human.\Why are you doing all this?\Because it's interesting.\More interesting than eating you. response:	The one who touches the yukata first without using their power is the winner.
context: Shut up!\There you go.\I have mixed my blood with the ink,\so no one will notice that you're a human.\Why are you doing all this?\Because it's interesting.\More interesting than eating you.\The one who touches the yukata first without using their power is the winner. response:	It's about to begin.
context: There you go.\I have mixed my blood with the ink,\so no one will notice that you're a human.\Why are you doing all this?\Because it's interesting.\More interesting than eating you.\The one who touches the yukata first without using their power is the winner.\It's about to begin. response:	Take care.
context: I have mixed my blood with the ink,\so no one will notice that you're a human.\Why are you doing all this?\Because it's interesting.\More interesting than eating you.\The one who touches the yukata first without using their power is the winner.\It's about to begin.\Take care. response:	So, you'll be staying behind in this village?
context: so no one will notice that you're a human.\Why are you doing all this?\Because it's interesting.\More interesting than eating you.\The one who touches the yukata first without using their power is the winner.\It's about to begin.\Take care.\So, you'll be staying behind in this village? response:	Even though it's going to be submerged?
context: Why are you doing all this?\Because it's interesting.\More interesting than eating you.\The one who touches the yukata first without using their power is the winner.\It's about to begin.\Take care.\So, you'll be staying behind in this village?\Even though it's going to be submerged? response:	Everyone has something that's hard to leave behind.
context: Because it's interesting.\More interesting than eating you.\The one who touches the yukata first without using their power is the winner.\It's about to begin.\Take care.\So, you'll be staying behind in this village?\Even though it's going to be submerged?\Everyone has something that's hard to leave behind. response:	I see.
context: More interesting than eating you.\The one who touches the yukata first without using their power is the winner.\It's about to begin.\Take care.\So, you'll be staying behind in this village?\Even though it's going to be submerged?\Everyone has something that's hard to leave behind.\I see. response:	Thank you, Tarusaru.
context: The one who touches the yukata first without using their power is the winner.\It's about to begin.\Take care.\So, you'll be staying behind in this village?\Even though it's going to be submerged?\Everyone has something that's hard to leave behind.\I see.\Thank you, Tarusaru. response:	He truly is similar to Natsume Reiko.
context: It's about to begin.\Take care.\So, you'll be staying behind in this village?\Even though it's going to be submerged?\Everyone has something that's hard to leave behind.\I see.\Thank you, Tarusaru.\He truly is similar to Natsume Reiko. response:	However, Reiko didn't talk as much.
context: Take care.\So, you'll be staying behind in this village?\Even though it's going to be submerged?\Everyone has something that's hard to leave behind.\I see.\Thank you, Tarusaru.\He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much. response:	It's begun.
context: So, you'll be staying behind in this village?\Even though it's going to be submerged?\Everyone has something that's hard to leave behind.\I see.\Thank you, Tarusaru.\He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much.\It's begun. response:	He won't be able to win with his short arms and legs.
context: Even though it's going to be submerged?\Everyone has something that's hard to leave behind.\I see.\Thank you, Tarusaru.\He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much.\It's begun.\He won't be able to win with his short arms and legs. response:	You got it. He's so stupid, I can't handle it.
context: Everyone has something that's hard to leave behind.\I see.\Thank you, Tarusaru.\He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much.\It's begun.\He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it. response:	Sensei!
context: I see.\Thank you, Tarusaru.\He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much.\It's begun.\He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it.\Sensei! response:	Let's go, Natsume!
context: Thank you, Tarusaru.\He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much.\It's begun.\He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it.\Sensei!\Let's go, Natsume! response:	Where?
context: He truly is similar to Natsume Reiko.\However, Reiko didn't talk as much.\It's begun.\He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it.\Sensei!\Let's go, Natsume!\Where? response:	Where is he?
context: However, Reiko didn't talk as much.\It's begun.\He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it.\Sensei!\Let's go, Natsume!\Where?\Where is he? response:	Will he come again today?
context: It's begun.\He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it.\Sensei!\Let's go, Natsume!\Where?\Where is he?\Will he come again today? response:	Tsubame.
context: He won't be able to win with his short arms and legs.\You got it. He's so stupid, I can't handle it.\Sensei!\Let's go, Natsume!\Where?\Where is he?\Will he come again today?\Tsubame. response:	Tsubame.
context: You got it. He's so stupid, I can't handle it.\Sensei!\Let's go, Natsume!\Where?\Where is he?\Will he come again today?\Tsubame.\Tsubame. response:	Wake up, Tsubame.
context: Sensei!\Let's go, Natsume!\Where?\Where is he?\Will he come again today?\Tsubame.\Tsubame.\Wake up, Tsubame. response:	Tsubame.
context: Let's go, Natsume!\Where?\Where is he?\Will he come again today?\Tsubame.\Tsubame.\Wake up, Tsubame.\Tsubame. response:	Natsume-sama?
context: Where?\Where is he?\Will he come again today?\Tsubame.\Tsubame.\Wake up, Tsubame.\Tsubame.\Natsume-sama? response:	I'm happy you came back early.
context: Where is he?\Will he come again today?\Tsubame.\Tsubame.\Wake up, Tsubame.\Tsubame.\Natsume-sama?\I'm happy you came back early. response:	It will rain later in the nigh-
context: Will he come again today?\Tsubame.\Tsubame.\Wake up, Tsubame.\Tsubame.\Natsume-sama?\I'm happy you came back early.\It will rain later in the nigh- response:	Tsubame.
context: Tsubame.\Tsubame.\Wake up, Tsubame.\Tsubame.\Natsume-sama?\I'm happy you came back early.\It will rain later in the nigh-\Tsubame. response:	Taniozaki-san is at the neighborhood festival right now.
context: Tsubame.\Wake up, Tsubame.\Tsubame.\Natsume-sama?\I'm happy you came back early.\It will rain later in the nigh-\Tsubame.\Taniozaki-san is at the neighborhood festival right now. response:	Wear this and go.
context: Wake up, Tsubame.\Tsubame.\Natsume-sama?\I'm happy you came back early.\It will rain later in the nigh-\Tsubame.\Taniozaki-san is at the neighborhood festival right now.\Wear this and go. response:	This yukata is...
context: Tsubame.\Natsume-sama?\I'm happy you came back early.\It will rain later in the nigh-\Tsubame.\Taniozaki-san is at the neighborhood festival right now.\Wear this and go.\This yukata is... response:	Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,
context: Natsume-sama?\I'm happy you came back early.\It will rain later in the nigh-\Tsubame.\Taniozaki-san is at the neighborhood festival right now.\Wear this and go.\This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him, response:	but if you still want to, then go on.
context: I'm happy you came back early.\It will rain later in the nigh-\Tsubame.\Taniozaki-san is at the neighborhood festival right now.\Wear this and go.\This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on. response:	Natsume-sama...
context: It will rain later in the nigh-\Tsubame.\Taniozaki-san is at the neighborhood festival right now.\Wear this and go.\This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on.\Natsume-sama... response:	Tsubame, thank you for not hating people.
context: Tsubame.\Taniozaki-san is at the neighborhood festival right now.\Wear this and go.\This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on.\Natsume-sama...\Tsubame, thank you for not hating people. response:	I love kind people!
context: Taniozaki-san is at the neighborhood festival right now.\Wear this and go.\This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on.\Natsume-sama...\Tsubame, thank you for not hating people.\I love kind people! response:	I love warm people, too!
context: Wear this and go.\This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on.\Natsume-sama...\Tsubame, thank you for not hating people.\I love kind people!\I love warm people, too! response:	That's why I love people!
context: This yukata is...\Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on.\Natsume-sama...\Tsubame, thank you for not hating people.\I love kind people!\I love warm people, too!\That's why I love people! response:	Natsume-sama...
context: Your powers are weak, Tsubame, so I'm not sure if you'll be able to talk to him,\but if you still want to, then go on.\Natsume-sama...\Tsubame, thank you for not hating people.\I love kind people!\I love warm people, too!\That's why I love people!\Natsume-sama... response:	Thank you, thank you!
context: but if you still want to, then go on.\Natsume-sama...\Tsubame, thank you for not hating people.\I love kind people!\I love warm people, too!\That's why I love people!\Natsume-sama...\Thank you, thank you! response:	I'm going now, Natsume-sama!
context: Natsume-sama...\Tsubame, thank you for not hating people.\I love kind people!\I love warm people, too!\That's why I love people!\Natsume-sama...\Thank you, thank you!\I'm going now, Natsume-sama! response:	I'm going now!
context: Tsubame, thank you for not hating people.\I love kind people!\I love warm people, too!\That's why I love people!\Natsume-sama...\Thank you, thank you!\I'm going now, Natsume-sama!\I'm going now! response:	And just as Tsubame said, it rained late in the night.
